{' Yes': -0.004563751, 'Yes': -5.56492, ' Generally': -7.484099, ' yes': -9.14964, ' ': -11.00072}
{' Yes': -0.46869954, ' No': -1.257722, '\n': -3.207364, 'No': -3.8683462, 'Yes': -4.130973}
{' Yes': -0.74391174, ' No': -0.9283066, '\n': -3.4074476, 'No': -3.4208984, ' Don': -3.600403}
{' No': -0.32549804, ' Yes': -1.6972384, 'No': -3.0327506, '\n': -3.7169678, ' A': -4.6534796}
{' No': -0.5015465, ' Yes': -1.4177967, ' Don': -2.5761123, 'No': -3.246114, '\n': -4.0467296}
{' No': -0.13247736, ' Yes': -2.4399056, 'No': -4.262074, '\n': -4.3425584, ' ': -4.8863873}
{' No': -0.11909989, ' Yes': -2.6582766, 'No': -3.9286914, '\n': -4.576829, ' ': -5.283744}
{' No': -0.08503897, 'No': -2.841869, ' Yes': -4.6972365, '\n': -4.7861114, ' ': -5.6763906}
{' No': -0.12679505, ' Yes': -2.9326131, 'No': -2.9918308, '\n': -5.0156193, ' ': -5.2701473}
{' Yes': -0.3020565, ' No': -1.5506375, '\n': -4.330594, ' ': -4.8264456, 'Yes': -4.86959}
{' Yes': -0.036159724, 'Yes': -4.3641534, ' No': -4.9240665, ' yes': -5.3321896, ' Don': -5.9003487}
{' No': -0.043645896, 'No': -3.5230942, ' Generally': -4.4957194, ' A': -7.7370496, ' Yes': -7.9027576}
{' No': -0.04939373, 'No': -3.6220043, ' Generally': -4.153453, ' Don': -6.1244035, ' On': -7.368569}
{' No': -0.07776656, 'No': -2.6621914, ' Generally': -5.7016196, ' A': -7.778951, ' ': -7.839152}
{' No': -0.09555063, 'No': -2.466032, ' Don': -5.779447, ' Generally': -6.339927, ' ': -7.860726}
{' No': -0.085154295, 'No': -2.573689, '\n': -6.459101, ' Generally': -6.8297415, ' ': -6.934879}
{' No': -0.11551452, 'No': -2.3561113, ' Don': -4.679662, '\n': -6.6177115, ' ': -6.647501}
{' No': -0.032045644, 'No': -3.7051125, ' Generally': -5.2101593, ' A': -7.760843, ' ': -8.832695}
{' No': -0.058498867, 'No': -3.13789, ' Don': -4.8875337, ' Generally': -5.5192094, ' Wolves': -7.337006}
{' No': -0.13021436, 'No': -2.225618, ' Generally': -5.4439273, '\n': -5.616086, ' ': -6.157187}
{' No': -0.17908925, 'No': -2.0981793, ' Don': -3.994412, '\n': -5.066727, ' ': -5.4382787}
{' No': -0.10683788, 'No': -2.5331457, ' Generally': -4.500549, ' A': -5.5682616, ' Don': -6.216053}
{' No': -0.15633658, 'No': -2.339566, ' Don': -3.7234294, ' Wolves': -4.3791113, ' Generally': -5.051432}
{' No': -0.007854856, 'No': -4.975636, ' ': -7.7628174, '\n': -8.272614, ' A': -9.087087}
{' No': -0.009974006, 'No': -4.881314, '\n': -6.9646573, ' ': -7.4379864, ' Generally': -7.82152}
{' No': -0.10307146, 'No': -2.38604, '\n': -5.753584, ' ': -6.852925, ' A': -7.132392}
{' No': -0.062866256, 'No': -2.885269, ' Don': -6.416307, ' ': -6.681854, '\n': -7.0599246}
{' No': -0.17012385, 'No': -2.258827, '\n': -3.0938525, ' ': -5.393842, ' A': -6.6144223}
{' No': -0.24136671, 'No': -2.2561123, '\n': -2.3434803, ' ': -4.6511526, ' Don': -5.9658446}
{' No': -0.011401821, 'No': -4.521844, ' ': -7.9681616, ' A': -9.745524, '\n': -10.309974}
{' No': -0.015862297, 'No': -4.1865454, ' ': -8.247065, ' Don': -9.3117895, '\n': -9.598405}
{' No': -0.23362, 'No': -1.650557, '\n': -4.795191, ' ': -5.4491415, ' A': -5.957123}
{' No': -0.25248283, 'No': -1.5798982, '\n': -4.8552985, ' ': -5.1031694, ' Don': -6.2897105}
{' No': -0.05829673, 'No': -3.0281796, ' A': -5.6512275, ' ': -6.443506, ' Generally': -6.4899044}
{' No': -0.08244406, 'No': -2.7092597, ' Wolves': -5.523719, ' Don': -5.779759, ' ': -6.1577597}
{' No': -0.13088007, 'No': -2.182403, ' A': -5.591883, ' Generally': -6.4027944, ' ': -6.9310384}
{' No': -0.1415119, 'No': -2.126955, ' Don': -5.3714747, ' Wolves': -6.362455, ' Generally': -6.5213666}
{' No': -0.1308512, 'No': -2.1041596, ' ': -7.936219, ' no': -9.453448, ' Generally': -9.693479}
{' No': -0.19623499, 'No': -1.7393488, ' Don': -6.94415, ' Generally': -7.134425, ' ': -8.241157}
{' No': -0.20099169, 'No': -1.7143145, ' ': -7.305316, ' A': -7.773813, ' Generally': -8.021386}
{' No': -0.1814546, 'No': -1.8549813, ' Don': -5.0862684, ' Generally': -6.8825617, ' ': -7.228121}
{' No': -0.03282171, 'No': -3.4515667, ' ': -8.560383, ' A': -8.708169, ' Generally': -9.374099}
{' No': -0.056007132, 'No': -2.9438815, ' Don': -7.141598, ' ': -7.9885144, ' Generally': -8.086218}
{'No': -0.6928251, ' No': -0.7185495, ' Don': -5.4109797, '\n': -6.215538, ' Generally': -6.32051}
{' No': -0.5665383, 'No': -0.9832349, ' Don': -3.3294241, ' Wolves': -4.6357045, ' Generally': -5.2998815}
{' No': -0.14053829, 'No': -2.1612787, ' Don': -5.4102297, ' A': -5.692884, ' Generally': -5.8040776}
{' No': -0.20130911, 'No': -2.0036218, ' Don': -3.9869766, ' Generally': -4.428274, ' Wolves': -4.9147887}
{' No': -0.024127195, 'No': -3.9915364, ' ': -5.9817877, ' no': -6.266681, '\n': -7.7177434}
{' No': -0.019755112, 'No': -4.1596546, ' ': -6.19614, ' no': -6.978366, '\n': -7.170555}
{' No': -0.13270167, 'No': -2.1370256, '\n': -6.0200286, ' ': -6.3571486, ' no': -7.2392526}
{' No': -0.12863739, 'No': -2.1744711, '\n': -5.681001, ' ': -6.2849383, ' Generally': -7.3477073}
{' No': -0.30374095, 'No': -1.5907148, '\n': -2.9680989, ' ': -5.4107704, ' A': -6.915804}
{' No': -0.31740516, 'No': -1.6030248, '\n': -2.763511, ' ': -5.205241, ' Don': -7.0870805}
{' No': -0.04304796, 'No': -3.217219, ' ': -6.994341, '\n': -7.445016, ' no': -8.050412}
{' No': -0.04794032, 'No': -3.100913, ' ': -7.424536, '\n': -7.5465765, ' no': -8.685506}
{' No': -0.41502622, 'No': -1.2450587, '\n': -3.1502802, ' ': -5.3212085, ' no': -6.2840896}
{' No': -0.32215506, 'No': -1.401209, '\n': -3.810463, ' ': -5.355919, ' no': -7.0541935}
{' No': -0.10674756, 'No': -2.6297936, ' no': -4.297322, ' A': -5.3671865, ' ': -5.9008474}
{' No': -0.12565038, 'No': -2.337282, ' no': -4.9361157, '\n': -5.5927873, ' ': -5.758673}
{' No': -0.015758688, 'No': -4.608406, '\n': -5.5502257, ' ': -6.716621, ' A': -8.175471}
{' No': -0.016244724, 'No': -4.69029, '\n': -5.260235, ' ': -6.8994207, ' Generally': -7.9373107}
{' No': -0.095678985, 'No': -2.7385201, '\n': -3.7851012, ' ': -5.8212166, ' Generally': -7.925129}
{' No': -0.09531784, 'No': -3.0560737, '\n': -3.2596648, ' ': -5.527279, ' Don': -7.3551116}
{' No': -0.08896698, 'No': -2.7873635, '\n': -3.9398847, ' ': -5.8981094, ' A': -7.096807}
{' No': -0.07186903, 'No': -2.9891222, '\n': -4.2261105, ' ': -5.767833, ' Don': -7.1317687}
{' No': -0.0238217, 'No': -4.0032506, '\n': -5.819853, ' ': -6.229233, ' A': -8.718218}
{' No': -0.035788503, 'No': -3.6715972, '\n': -5.0097723, ' ': -6.033061, ' Don': -8.278349}
{' No': -0.062171277, 'No': -2.9528475, '\n': -5.298171, ' ': -6.1456103, ' A': -7.5508494}
{' No': -0.050947253, 'No': -3.1374185, '\n': -5.7464366, ' ': -5.893524, ' Don': -9.511806}
{' No': -0.0384511, 'No': -3.5664432, '\n': -5.640795, ' ': -5.880732, ' A': -6.352703}
{' No': -0.049559943, 'No': -3.3125126, '\n': -5.667982, ' ': -5.780649, ' Don': -6.163745}
{' Yes': -0.024148382, ' Generally': -4.050134, 'Yes': -5.3428736, ' On': -8.1818, ' In': -8.252433}
{' Yes': -0.4635218, ' Generally': -1.3419265, ' No': -3.1853619, ' On': -4.10762, ' In': -4.234096}
{' Yes': -0.22141016, ' No': -2.3431334, ' Generally': -2.6183789, 'Yes': -4.5949717, 'No': -4.811559}
{' Yes': -0.7981185, ' No': -1.1186312, ' Generally': -2.1819704, ' Wolves': -3.0324895, 'No': -3.7157075}
{' Yes': -0.24507944, ' No': -1.9294248, ' Generally': -3.609585, 'No': -4.178612, 'Yes': -4.253321}
{' No': -0.78194135, ' Yes': -1.2453336, ' Wolves': -2.4340277, ' Generally': -2.913886, 'No': -3.0143993}
{' Yes': -0.105798714, ' Generally': -2.6251125, ' No': -4.307579, 'Yes': -5.5881596, ' Wolves': -6.2165804}
{' Generally': -1.2600137, ' Yes': -1.317917, ' No': -1.4294188, ' Wolves': -2.244921, ' On': -3.5012054}
{' Yes': -0.23045716, ' No': -2.1529787, ' Generally': -3.4955096, 'Yes': -3.8989713, 'No': -4.157091}
{' No': -0.30664384, 'No': -2.3736012, ' Yes': -2.4232974, ' Generally': -3.4224198, ' Wolves': -4.262685}
{' Yes': -0.10440511, ' Generally': -3.2172685, ' No': -3.3312004, 'Yes': -4.563212, 'No': -5.8180904}
{' Yes': -0.331692, ' No': -2.2470744, ' Generally': -2.596228, ' Wolves': -2.9671364, 'No': -4.2775774}
{' Yes': -0.010303006, ' Generally': -5.864583, 'Yes': -5.961885, ' No': -6.1366744, '\n': -6.934976}
{' Yes': -0.21554801, ' No': -2.0191026, ' Generally': -3.3878844, '\n': -4.81795, ' Wolves': -4.9488354}
{' Yes': -0.68524694, ' No': -0.9199309, ' Generally': -3.3486838, 'No': -3.5327961, ' A': -4.798459}
{' Yes': -0.76399016, ' No': -1.1597097, ' Wolves': -2.358522, ' Generally': -2.6681325, 'No': -3.9435613}
{' No': -0.89435863, ' Yes': -1.0086774, '\n': -2.2496462, 'No': -2.951848, ' A': -3.657725}
{' No': -0.7863597, '\n': -1.3856524, ' Yes': -2.5750673, 'No': -2.598095, ' Wolves': -2.8790665}
{' Yes': -0.5131957, ' No': -0.9513614, 'No': -5.0343695, 'Yes': -5.9583917, ' Generally': -6.10475}
{' No': -0.58786505, ' Yes': -0.9087554, ' Wolves': -4.0071363, 'No': -4.544862, ' Generally': -5.19324}
{' No': -0.5312484, 'No': -1.6190932, ' Yes': -2.0077593, '\n': -3.3476298, ' ': -4.142257}
{' No': -0.37190452, 'No': -1.5035688, '\n': -3.4467585, ' Yes': -4.008747, ' ': -4.025875}
{' Yes': -0.021333165, 'Yes': -4.862262, ' No': -5.3250647, ' yes': -5.608217, ' Generally': -6.4613876}
{' Yes': -0.1298706, ' No': -2.768342, ' Wolves': -3.9494069, 'Yes': -4.445094, ' Generally': -4.724289}
{' Yes': -0.26583448, ' No': -2.2644553, ' Generally': -2.997579, 'Yes': -3.700474, 'No': -3.9608243}
{' No': -0.80498576, ' Yes': -1.343785, 'No': -2.5309885, ' Wolves': -2.5625455, ' Generally': -2.6531408}
{' No': -0.13704832, 'No': -2.2149482, ' Yes': -4.414426, ' Generally': -5.267299, ' ': -7.5095854}
{' No': -0.50257874, ' Yes': -1.8954258, 'No': -1.9328747, ' Generally': -2.7627602, ' Wolves': -4.117046}
{' Yes': -0.36526597, ' No': -1.5425712, 'No': -3.0211802, 'Yes': -3.6178277, ' Generally': -4.3759203}
{' No': -0.43325943, ' Yes': -1.7526317, 'No': -1.9680703, ' Generally': -4.4282126, 'Yes': -4.600141}
{' Yes': -0.54247975, ' No': -0.964223, 'No': -4.0652914, ' Generally': -4.5191813, 'Yes': -5.062936}
{' Yes': -0.7528653, ' No': -0.86285067, ' Generally': -3.2202685, 'No': -3.5816596, ' Wolves': -3.6457465}
{' No': -0.92379147, 'No': -0.9281174, ' Yes': -2.4356208, ' Generally': -3.0781074, ' Wolves': -3.4695525}
{' No': -0.8488015, 'No': -1.1816052, ' Wolves': -2.2147532, ' Generally': -2.7902725, ' Yes': -3.4860733}
{' No': -0.6924694, ' Yes': -1.0465534, 'No': -2.3893075, ' Generally': -3.3061454, 'Yes': -4.572247}
{' Yes': -0.4213964, ' No': -2.2097037, ' Generally': -2.3708746, ' Wolves': -2.5531006, 'No': -3.9050016}
{' Yes': -0.08848935, ' yes': -2.693487, 'Yes': -4.919198, ' ': -5.743542, ' No': -5.848328}
{' Yes': -0.4123775, ' No': -1.2689679, ' yes': -3.6366608, 'No': -4.8812456, ' ': -5.2572365}
{' Yes': -0.13458613, ' No': -2.759979, 'Yes': -3.9332273, ' Generally': -4.178234, 'No': -4.7622924}
{' Yes': -0.47618422, ' No': -1.5396914, ' Generally': -3.0144303, 'No': -3.457427, ' Wolves': -3.8665724}
{' Yes': -0.46389058, ' No': -1.8882221, '\n': -2.130711, 'No': -3.3640578, 'Yes': -3.4251463}
{' Yes': -0.66453487, '\n': -1.54289, ' No': -2.419719, ' Wolves': -2.9671242, 'No': -3.2657957}
{' Yes': -0.030731687, ' No': -4.324713, 'Yes': -4.6774507, ' yes': -5.883379, '\n': -6.5003457}
{' Yes': -0.29081234, ' No': -1.636567, ' Generally': -4.292233, 'No': -4.4502892, ' Wolves': -4.5733}
{' No': -0.53413826, 'No': -1.3776996, '\n': -2.2046838, ' Yes': -3.6073706, ' ': -4.4550385}
{' No': -0.63734406, 'No': -1.4474369, ' Yes': -1.9105585, '\n': -3.0349357, 'Yes': -4.1677904}
{' Yes': -0.10567501, ' yes': -2.8013995, 'Yes': -4.2886815, ' No': -4.53864, '\n': -5.104225}
{' Yes': -0.3310056, ' No': -1.8606666, ' yes': -2.8511546, 'No': -4.2345576, '\n': -4.243504}
{' Yes': -0.020703278, ' No': -4.801768, ' Generally': -5.598742, '\n': -5.7008805, 'Yes': -5.7931848}
{' Yes': -0.32283503, ' No': -1.7246276, ' Generally': -3.328826, '\n': -3.3949077, ' Wolves': -4.7461824}
{' Yes': -0.640448, ' No': -1.0188965, '\n': -3.208151, 'No': -3.6364427, ' Generally': -3.8935645}
{' No': -0.5077676, ' Yes': -1.8453397, '\n': -2.5006552, 'No': -3.0168693, ' Generally': -3.192147}
{' Yes': -0.11947477, ' No': -3.0423052, '\n': -3.5602133, 'Yes': -4.218071, ' A': -4.9499435}
{' No': -0.8035195, ' Yes': -1.1917908, '\n': -2.549871, ' Wolves': -2.6369698, 'No': -3.3073113}
{' Yes': -0.11064344, ' No': -2.5536788, '\n': -4.406149, ' ': -5.0373034, 'Yes': -5.586406}
{' Yes': -0.20219463, ' No': -2.1663194, '\n': -3.442158, ' Generally': -4.6186543, ' ': -4.691246}
{' No': -0.23215847, ' Yes': -2.254045, 'No': -2.7769046, '\n': -3.7214334, ' ': -4.9270873}
{' No': -0.14702143, 'No': -2.6758416, ' Yes': -3.3712246, '\n': -4.0645704, ' ': -4.562648}
{' Yes': -0.03539278, ' No': -4.6495876, 'Yes': -4.9319725, '\n': -5.197096, ' yes': -5.5517993}
{' Yes': -0.14356232, ' No': -2.4138603, ' Generally': -4.751802, ' Wolves': -4.7758274, 'Yes': -4.790659}
{' Yes': -0.34681424, ' Generally': -1.8652754, ' It': -2.3945303, ' On': -4.4870234, ' In': -4.6582117}
{' It': -0.74506235, ' Generally': -1.3346658, ' No': -2.6884272, ' Yes': -2.9458203, ' That': -3.3100321}
{' It': -1.2236434, ' Generally': -1.3296596, ' Yes': -1.3393546, ' No': -3.0772715, ' Wolves': -3.759654}
{' It': -0.5715104, ' No': -2.018074, ' Generally': -2.1018028, ' That': -2.9854507, ' Wolves': -3.775524}
{' Yes': -0.69823146, ' It': -1.2254894, ' Generally': -2.7150276, ' No': -3.2455661, ' That': -3.438786}
{' It': -0.83526105, ' No': -1.8806789, ' That': -2.3835952, ' Generally': -2.5111988, ' Wolves': -2.985915}
{' Yes': -0.7172128, ' Generally': -1.4828244, ' It': -2.0700858, ' On': -3.2797222, ' Wolves': -3.3449688}
{' It': -1.0171689, ' Generally': -1.3735855, ' Wolves': -2.5976837, ' No': -2.7037172, ' On': -2.9581401}
{' Yes': -0.39236265, ' Generally': -2.1566982, ' It': -2.7919118, ' No': -2.853132, 'Yes': -4.134021}
{' No': -1.3761356, ' It': -1.4551854, ' Yes': -2.099387, ' Generally': -2.1838062, ' That': -2.8457057}
{' Yes': -0.42674878, ' Generally': -1.6930431, ' It': -2.9251387, ' Wolves': -4.4176493, ' On': -4.471171}
{' Yes': -1.5821685, ' Generally': -1.7428285, ' No': -1.9228554, ' Bears': -2.0279026, ' It': -2.2571392}
{' Yes': -0.12632796, ' Generally': -3.1190205, ' It': -3.2015672, ' In': -5.153439, ' No': -5.537341}
{' It': -0.6844341, ' No': -1.6447326, ' Generally': -2.431638, ' Yes': -3.219697, ' That': -3.3651097}
{' Yes': -0.6023054, ' It': -1.5976572, ' Generally': -2.1901045, ' No': -3.2534244, '\n': -4.3791704}
{' No': -1.1329123, ' It': -1.2976613, ' Generally': -1.936072, ' Wolves': -2.7675805, ' Yes': -3.1576293}
{' Yes': -0.28949165, '\n': -2.4094849, ' It': -3.3136442, ' Generally': -3.3315928, ' No': -3.6559808}
{'\n': -1.3129511, ' No': -1.5469618, ' It': -1.6883212, ' Generally': -2.7042131, ' ': -2.75682}
{' Yes': -0.14149342, ' It': -2.7826524, ' No': -3.743172, ' Generally': -3.752871, ' A': -5.317}
{' Yes': -1.2166648, ' It': -1.4286437, ' No': -1.4738308, ' Wolves': -2.5409656, ' Generally': -2.8353782}
{' Yes': -0.34644893, ' No': -2.3424091, 'Yes': -2.8679101, '\n': -3.2493987, 'No': -3.309221}
{' No': -0.841425, 'No': -1.6987038, '\n': -2.5884745, ' Bears': -2.6474354, ' Wolves': -2.7686195}
{' Yes': -0.05060203, ' Generally': -4.197651, 'Yes': -4.733773, ' It': -5.0986843, ' A': -5.202524}
{' Yes': -0.6449923, ' No': -2.0350585, ' It': -2.7106547, ' Wolves': -2.7589507, ' Generally': -2.7852957}
{' Yes': -0.5583354, ' It': -1.6912947, ' Generally': -2.4852743, ' No': -3.33912, ' A': -3.9214602}
{' It': -1.3232354, ' No': -1.497441, ' Bears': -2.3700733, ' Yes': -2.3863494, ' Wolves': -2.8192546}
{' It': -1.0043699, ' Yes': -1.42626, ' No': -1.5856342, ' Generally': -2.3564186, 'No': -3.02709}
{' It': -1.1303366, ' No': -1.4864482, ' Generally': -1.7352123, ' Yes': -2.882166, 'No': -2.902933}
{' Yes': -0.3371925, ' No': -2.3420486, ' It': -2.6432705, 'Yes': -3.2671697, ' Generally': -3.3811874}
{' No': -0.9522667, ' Yes': -1.8831556, ' It': -1.9995824, 'No': -2.5912645, ' Bears': -2.7468548}
{' Yes': -0.2878628, ' Generally': -2.3239403, ' No': -2.985567, ' It': -3.0330331, ' Wolves': -4.655837}
{' It': -1.2393444, ' No': -1.322417, ' Wolves': -2.1807656, ' Generally': -2.2605941, ' Yes': -2.838282}
{' It': -1.2972859, 'No': -1.479596, ' No': -1.7796048, ' Generally': -2.4160564, ' Yes': -2.7625227}
{' It': -1.183854, ' Generally': -2.179988, ' No': -2.394531, ' Bears': -2.5307598, ' Yes': -2.552803}
{' Yes': -0.21464603, ' It': -2.725787, ' Generally': -2.9219613, 'Yes': -3.6563342, ' No': -4.745728}
{' Yes': -1.2618569, ' It': -1.6519154, ' Generally': -1.9874943, ' No': -2.5774553, ' Bears': -2.6883}
{' Yes': -0.06379967, ' yes': -3.776881, ' It': -4.3597918, 'Yes': -5.0183268, '\n': -5.265993}
{' It': -1.0415357, ' No': -1.4752802, ' Yes': -1.536174, '\n': -3.0644476, ' ': -3.524217}
{' Yes': -0.29833364, ' It': -2.135446, ' Generally': -2.7276397, 'Yes': -4.222696, '\n': -4.878546}
{' It': -0.52445185, ' No': -2.4597032, ' Generally': -2.5315528, ' Yes': -2.7353396, ' That': -3.3400671}
{' Yes': -0.22689648, '\n': -2.3434184, 'Yes': -3.3293993, ' It': -3.8446524, ' Generally': -4.3871055}
{'\n': -1.1509908, ' Yes': -1.635137, ' It': -2.1283524, ' Bears': -2.4874759, ' No': -2.5524895}
{' Yes': -0.10475631, ' Generally': -3.2241638, ' It': -3.679173, 'Yes': -4.6387925, ' No': -5.289005}
{' It': -1.1099308, ' No': -1.4066511, ' Yes': -2.1537273, ' Generally': -2.367049, ' Bears': -2.4998825}
{' Yes': -1.1796341, '\n': -1.5121708, ' No': -1.5961114, 'No': -2.049862, 'Yes': -3.2751408}
{' Yes': -1.0878354, ' No': -1.3910581, 'No': -1.8960019, '\n': -2.3725681, ' Bears': -2.8437986}
{' Yes': -0.13464552, ' yes': -3.1215668, ' It': -3.6852376, 'Yes': -4.2989216, ' Generally': -4.423828}
{' Yes': -1.1052049, ' No': -1.6985468, ' It': -1.7793745, ' Bears': -2.7680027, ' Generally': -3.0578203}
{' Yes': -0.09885887, ' Generally': -3.1069765, ' It': -4.1234884, '\n': -4.457238, ' In': -5.5656023}
{' It': -1.0845487, ' No': -1.1803396, ' Generally': -2.4706018, '\n': -2.4996545, ' That': -3.3108537}
{' Yes': -0.46601656, ' Generally': -2.1419768, ' It': -2.431768, '\n': -3.0598445, ' No': -3.263273}
{' No': -1.2016907, ' It': -1.6945761, '\n': -1.7174089, ' Generally': -2.1961918, ' Bears': -3.2873905}
{' Yes': -0.14282288, '\n': -3.1933522, ' It': -3.782042, ' Generally': -3.9845889, 'Yes': -4.2183785}
{' No': -1.0806103, ' It': -1.354208, ' Bears': -2.4149933, '\n': -2.5034199, ' Generally': -2.7985876}
{' Yes': -0.68793076, ' No': -1.6674114, ' Generally': -2.1460187, ' It': -2.6421695, '\n': -3.1604514}
{' No': -0.7084819, ' It': -2.1610937, '\n': -2.3405316, ' Generally': -2.4553826, ' Bears': -3.2371247}
{' Yes': -0.23051743, ' No': -2.1782064, '\n': -3.4987345, 'Yes': -4.0341406, ' Generally': -4.3606615}
{' No': -0.539476, ' Bears': -2.056642, ' Yes': -2.2768645, 'No': -3.0855079, '\n': -3.2537358}
{' Yes': -0.08073877, ' Generally': -4.0780015, '\n': -4.368546, ' It': -4.508431, 'Yes': -4.8357425}
{' Yes': -0.5189534, ' No': -2.3493996, ' It': -2.6418095, ' Bears': -2.7412128, ' Generally': -3.1300182}
{' Yes': -0.19562574, ' Generally': -2.1051106, ' It': -3.5169451, ' No': -4.986887, ' In': -5.2033367}
{' Yes': -0.6352979, ' Generally': -1.3639491, ' It': -2.2779465, ' In': -3.281746, ' On': -3.6164703}
{' Yes': -1.0106322, ' Generally': -1.1683604, ' No': -1.8935117, ' It': -2.679379, ' Bears': -3.6331604}
{' Yes': -0.66076785, ' Generally': -1.5782845, ' It': -2.51419, ' No': -2.6253998, ' In': -3.3610377}
{' No': -0.90179604, ' It': -1.6236951, ' Yes': -1.7200848, ' Generally': -2.4491708, 'No': -3.1455092}
{' No': -1.4416798, ' It': -1.573117, ' Yes': -1.6431378, ' Generally': -2.3101053, ' Bears': -2.6444786}
{' Yes': -0.42029628, ' Generally': -1.3908201, ' It': -3.9823422, ' In': -4.097485, ' No': -4.1492543}
{' Yes': -0.5866236, ' Generally': -1.4014353, ' On': -2.8850317, ' In': -3.1983922, ' It': -3.3473275}
{' Yes': -0.7022203, ' No': -1.7758993, ' Generally': -1.9790375, ' It': -3.0173695, ' Bears': -3.4448025}
{' No': -0.86105174, ' Yes': -1.6971837, ' Generally': -2.3973162, 'No': -2.5679092, ' It': -2.7313538}
{' Yes': -0.2471415, ' Generally': -2.2274613, ' No': -3.042851, ' Bears': -4.5667205, ' It': -4.7375436}
{' Yes': -0.26845434, ' Generally': -2.3314998, ' No': -2.9497554, ' Bears': -3.9544082, ' In': -4.3131967}
{' Yes': -0.049725, ' No': -3.7659533, ' Generally': -4.3438, ' It': -5.507786, 'Yes': -6.049392}
{' Yes': -0.71631414, ' Generally': -1.8189752, ' No': -1.909954, ' It': -2.1751308, ' In': -3.6175668}
{' No': -0.8248842, ' It': -1.7026156, ' Yes': -1.9389608, ' Generally': -2.3075292, 'No': -3.0716398}
{' Yes': -0.45106208, ' Generally': -2.2051742, ' It': -2.4266918, ' No': -2.4998593, ' In': -4.307584}
{' No': -0.28692803, 'No': -2.1702745, '\n': -2.8880382, ' Generally': -3.9854639, ' Yes': -4.1471725}
{' No': -0.8797034, '\n': -1.6303099, 'No': -2.4633179, ' Generally': -2.6473005, ' ': -2.7825334}
{' No': -0.22039989, ' Yes': -2.208519, ' It': -2.8392503, 'No': -4.304676, ' Generally': -5.0575886}
{' Yes': -0.55403566, ' No': -1.3556619, ' It': -2.5804162, ' Generally': -3.218001, ' Bears': -4.6014466}
{' No': -0.4932382, 'No': -1.4108826, '\n': -3.1782203, ' Yes': -3.3521001, ' ': -3.9985034}
{' No': -0.497291, 'No': -1.2387252, '\n': -3.5518286, ' ': -4.0321965, ' Yes': -4.043654}
{' Yes': -0.49474797, ' No': -1.3771237, ' Generally': -3.1361833, ' It': -3.5118568, 'No': -4.1767445}
{' Yes': -0.33475122, ' No': -2.1363049, ' Generally': -2.9203205, ' It': -3.7390325, ' Bears': -3.8105853}
{' Yes': -0.5094662, ' No': -1.9854298, ' Generally': -2.4591904, ' It': -2.8145657, 'No': -3.5824172}
{' Yes': -0.45586234, ' Generally': -2.5033362, ' No': -2.5194163, ' It': -2.8638468, ' Bears': -3.393612}
{' No': -0.29189557, 'No': -1.7542138, ' Generally': -3.483145, ' Yes': -3.7735145, ' It': -4.2148175}
{' Yes': -0.96089625, ' No': -1.5792128, ' Generally': -1.7595872, ' It': -2.539748, 'No': -2.7958016}
{' Yes': -0.5243427, ' No': -1.5941136, ' It': -2.7692957, 'No': -2.8923388, ' Generally': -3.164876}
{' No': -0.72879606, ' Yes': -1.4387437, 'No': -2.0211906, ' Generally': -3.032402, ' Bears': -3.2402685}
{' Yes': -0.61634797, ' No': -0.9336507, ' Generally': -3.6085222, 'No': -3.9358096, ' Bears': -4.79586}
{' Yes': -0.4849458, ' No': -1.7699704, ' Generally': -2.342652, ' Bears': -3.0081944, ' It': -4.0662036}
{' Bears': -1.5559478, 'No': -1.6038872, ' Yes': -1.6160102, ' No': -1.8505454, ' Generally': -2.3453116}
{' No': -1.7882553, 'No': -1.856735, ' Yes': -1.8703133, ' Bears': -1.8978707, ' Generally': -2.0013347}
{' Yes': -0.2602547, ' Generally': -2.6385334, ' No': -2.6413314, ' Bears': -3.1351018, 'Yes': -4.116692}
{' Yes': -0.28646818, ' Generally': -2.6517045, ' Bears': -2.8400073, ' No': -2.9217012, 'Yes': -4.0615106}
{' Yes': -0.069407724, ' yes': -3.1816912, 'Yes': -4.877919, ' No': -5.1828403, ' It': -5.5419645}
{' Yes': -0.2010177, ' It': -2.8229165, ' No': -2.9580998, ' Generally': -3.9911692, ' yes': -4.0483494}
{' Yes': -0.98960584, ' It': -1.0787764, ' No': -2.3672113, ' Generally': -2.4191885, '\n': -4.063292}
{' Yes': -0.6106998, ' It': -1.5186379, ' Generally': -2.4681349, ' No': -3.3401175, '\n': -3.8825016}
{' Yes': -0.5625014, '\n': -2.0206997, ' No': -2.0738845, 'No': -3.1125884, 'Yes': -3.4437418}
{' Yes': -0.56402993, '\n': -1.7993948, ' No': -2.816988, ' Generally': -3.2405586, 'Yes': -3.3067026}
{' Yes': -0.19660017, ' No': -2.3999443, ' It': -3.3690243, ' Generally': -3.894516, 'Yes': -4.8009167}
{' Yes': -0.3685808, ' No': -2.3686075, ' It': -2.620429, ' Generally': -2.784415, '\n': -4.2383246}
{' No': -0.6637399, 'No': -1.2319697, '\n': -2.1859605, ' Yes': -3.1708484, ' ': -4.3009744}
{' No': -0.6485353, 'No': -1.1436887, ' Yes': -2.7985215, '\n': -2.947144, ' ': -4.2874513}
