{' No': -9.308281, ' ': -12.225896, ' Yes': -0.0017987726, ' yes': -10.136244, 'Yes': -6.40177}
{' No': -0.006570284, ' ': -11.20555, 'No': -5.128717, ' Yes': -7.40904, 'Yes': -12.769991}
{' No': -0.025851417, ' ': -10.440116, 'No': -3.6930149, ' Yes': -7.458022, 'Yes': -11.579286}
{' No': -0.044958778, ' ': -9.511166, 'No': -3.1621406, ' Yes': -6.4988575, 'Yes': -10.191971}
{' No': -0.009101274, ' ': -11.600474, 'No': -4.781381, ' Yes': -7.3228254, 'Yes': -12.374074}
{' No': -0.035161108, ' ': -9.11315, 'No': -3.5199482, ' Yes': -5.3521986, 'Yes': -9.475963}
{' No': -0.031267732, ' ': -8.927557, 'No': -4.0228734, ' Yes': -4.3715253, 'Yes': -9.181198}
{' No': -0.2616039, ' ': -9.672572, 'No': -7.014293, ' Yes': -1.4743075, 'Yes': -8.325215}
{' No': -0.0269819, ' ': -9.554859, 'No': -4.493035, ' Yes': -4.184056, 'Yes': -9.071848}
{' No': -0.0849779, ' ': -8.38993, 'No': -4.573829, ' Yes': -2.6547217, 'Yes': -7.581104}
{' No': -0.0073829163, ' ': -10.1223345, 'No': -6.2869463, ' Yes': -5.2145324, 'Yes': -11.292412}
{' No': -0.054862335, ' ': -7.788808, 'No': -4.8263903, ' Yes': -3.1129045, 'Yes': -8.035716}
{' No': -0.49669418, ' ': -7.3881617, 'No': -4.9749465, ' Yes': -0.9654309, 'Yes': -5.9238563}
{' No': -0.022949992, ' ': -9.904246, 'No': -3.9729736, ' Yes': -5.5821157, 'Yes': -10.154735}
{' No': -0.042366933, ' ': -10.912599, 'No': -3.3190486, ' Yes': -5.2663603, 'Yes': -9.127023}
{' No': -0.10302718, ' ': -9.407055, 'No': -3.289249, ' Yes': -2.8257747, 'Yes': -6.6998215}
{' No': -0.016052587, ' ': -10.48456, 'No': -4.9154058, ' Yes': -4.7667885, 'Yes': -9.951068}
{' No': -0.32706144, ' ': -8.749476, 'No': -3.35933, ' Yes': -1.4321868, 'Yes': -5.2757807}
{' No': -1.9955704, 'No': -4.859601, ' Yes': -0.1701273, ' yes': -7.2228484, 'Yes': -4.4424105}
{' No': -0.008634084, ' ': -8.846173, 'No': -6.5805883, ' Yes': -4.957116, 'Yes': -11.3885765}
{' No': -0.014856871, ' ': -9.071336, 'No': -4.4467397, ' Yes': -5.8532915, 'Yes': -10.437145}
{' No': -0.08826582, ' ': -8.062699, 'No': -4.910165, ' Yes': -2.5740883, 'Yes': -7.603944}
{' No': -0.0042917025, '\n': -12.084184, ' ': -8.870785, 'No': -5.7709365, ' Yes': -6.9007397}
{' No': -0.01620111, '\n': -8.910585, ' ': -7.8453445, 'No': -4.653677, ' Yes': -5.1245003}
{' No': -0.022855038, '\n': -8.142986, ' ': -6.975787, 'No': -4.6090503, ' Yes': -4.4896727}
{' No': -0.023800397, '\n': -10.498714, ' ': -9.183733, 'No': -7.052461, ' Yes': -3.794453}
{' No': -0.007227111, ' ': -9.430224, 'No': -5.4500585, ' Yes': -5.8795137, 'Yes': -11.406291}
{' No': -0.054354075, '\n': -7.660837, ' ': -7.917694, 'No': -5.168261, ' Yes': -3.0761147}
{' No': -0.005818555, '\n': -11.653202, ' ': -9.148931, 'No': -6.8391085, ' Yes': -5.380849}
{' No': -0.12535089, '\n': -7.1358676, ' ': -7.155961, 'No': -5.2727447, ' Yes': -2.2028348}
{' No': -0.029647065, '\n': -9.573985, ' ': -8.288785, 'No': -6.3933306, ' Yes': -3.6057348}
{' YES': -11.699458, ' ': -12.213754, ' Yes': -0.0029252837, ' yes': -9.85871, 'Yes': -5.8595247}
{' YES': -11.227297, ' ': -11.559056, ' Yes': -0.011251653, ' yes': -8.995691, 'Yes': -4.5070114}
{' YES': -10.85985, ' ': -11.164122, ' Yes': -0.016913153, ' yes': -9.165289, 'Yes': -4.0970254}
{' YES': -12.070408, ' ': -12.525577, ' Yes': -0.004848271, ' yes': -10.219032, 'Yes': -5.341659}
{' ': -11.0674095, ' Yes': -0.017479455, ' yes': -9.349066, 'Yes': -4.0629144, 'yes': -11.241919}
{' YES': -11.650335, ' ': -10.646394, ' Yes': -0.008631739, ' yes': -9.116448, 'Yes': -4.7742624}
{' YES': -11.609855, ' ': -11.534613, ' Yes': -0.00094745896, ' yes': -9.4957075, 'Yes': -7.0713205}
{' YES': -11.214887, ' ': -10.718726, ' Yes': -0.0074172635, ' yes': -9.125411, 'Yes': -4.9292693}
{'\n': -9.993065, ' ': -9.867321, ' Yes': -0.0071324967, ' yes': -8.942511, 'Yes': -4.9829016}
{' YES': -11.937378, ' ': -11.560075, ' Yes': -0.0015639514, ' yes': -9.72883, 'Yes': -6.5140204}
{'\n': -9.714933, ' ': -9.194595, ' Yes': -0.008966249, ' yes': -9.098792, 'Yes': -4.7529464}
{'\n': -9.444557, ' ': -9.24655, ' Yes': -0.009529151, ' yes': -7.754499, 'Yes': -4.7305756}
{' YES': -11.280813, ' Yes': -0.008345663, ' yes': -8.318578, 'Yes': -4.8252, 'yes': -10.992763}
{' YES': -12.339843, ' Yes': -0.020252408, ' yes': -9.251728, 'Yes': -3.9154243, 'yes': -11.190406}
{' ': -11.06204, ' Yes': -0.02625097, ' yes': -8.355573, 'Yes': -3.6645527, 'yes': -10.55593}
{' YES': -11.938742, ' Yes': -0.006674265, ' yes': -8.764366, 'Yes': -5.0400414, 'yes': -11.490402}
{' ': -11.009027, ' Yes': -0.024009053, ' yes': -8.448997, 'Yes': -3.7531788, 'yes': -10.217456}
{' ': -10.48305, ' Yes': -0.018480228, ' yes': -7.5866046, 'Yes': -4.0338554, 'yes': -10.048245}
{' YES': -11.312184, ' ': -10.4026375, ' Yes': -0.002151614, ' yes': -7.9699736, 'Yes': -6.3500357}
{' ': -9.786714, ' Yes': -0.012213994, ' yes': -7.780563, 'Yes': -4.4558992, 'yes': -10.369045}
{'\n': -10.455391, ' ': -9.7212925, ' Yes': -0.0072899098, ' yes': -8.903837, 'Yes': -4.9589844}
{' ': -10.200244, ' Yes': -0.0038329726, ' yes': -8.2115, 'Yes': -5.6591845, 'yes': -11.143119}
{'\n': -9.809204, ' ': -9.185144, ' Yes': -0.009430349, ' yes': -8.785048, 'Yes': -4.705336}
{'\n': -8.173057, ' ': -8.241688, ' Yes': -0.013512934, ' yes': -6.1990724, 'Yes': -4.534248}
{' YES': -10.833549, ' ': -10.626533, ' Yes': -0.0011457329, ' yes': -9.768659, 'Yes': -6.8835077}
{' YES': -10.852797, ' ': -10.061983, ' Yes': -0.00487768, ' yes': -9.331541, 'Yes': -5.361204}
{'\n': -8.877944, ' ': -9.406686, ' Yes': -0.005038753, ' yes': -9.468711, 'Yes': -5.358108}
{' YES': -11.4652405, ' ': -10.438047, ' Yes': -0.0012498095, ' yes': -10.074198, 'Yes': -6.7629433}
{'\n': -8.547553, ' ': -9.021472, ' Yes': -0.0074878833, ' yes': -9.746047, 'Yes': -4.9514422}
{'\n': -10.031161, ' ': -9.852181, ' Yes': -0.0016821612, ' yes': -9.747378, 'Yes': -6.4906244}
{' No': -7.6152563, ' ': -11.730212, ' Yes': -0.0025397185, ' yes': -10.459111, 'Yes': -6.21416}
{' No': -7.0250483, ' ': -10.376969, ' Yes': -0.009980388, ' yes': -9.222514, 'Yes': -4.724921}
{' No': -5.854175, 'No': -8.656307, ' Yes': -0.020908182, ' yes': -9.446868, 'Yes': -4.0452113}
{' No': -7.7800236, ' ': -11.371327, ' Yes': -0.0044749556, ' yes': -10.5233555, 'Yes': -5.5218563}
{' No': -7.4747496, ' ': -10.19967, ' Yes': -0.016344994, ' yes': -9.423451, 'Yes': -4.1685853}
{' No': -10.05957, ' ': -10.704024, ' Yes': -0.007153327, ' yes': -9.023344, 'Yes': -4.971993}
{' YES': -12.349749, ' ': -11.048788, ' Yes': -0.00078954885, ' yes': -9.37114, 'Yes': -7.298425}
{' No': -7.941476, ' ': -9.791518, ' Yes': -0.0060190554, ' yes': -9.243436, 'Yes': -5.2079477}
{' No': -8.760085, ' ': -9.257432, ' Yes': -0.006018755, ' yes': -9.198783, 'Yes': -5.1851835}
{' No': -8.268402, ' ': -10.378498, ' Yes': -0.0016023975, ' yes': -9.831638, 'Yes': -6.6832657}
{' No': -8.900935, ' ': -8.187745, ' Yes': -0.006702106, ' yes': -9.210431, 'Yes': -5.1062655}
{' No': -9.50615, ' ': -8.817443, ' Yes': -0.005357566, ' yes': -7.9153814, 'Yes': -5.365312}
{' No': -8.716902, ' ': -11.147866, ' Yes': -0.006921808, ' yes': -8.308359, 'Yes': -5.0434303}
{' No': -11.428688, ' Yes': -0.009444004, ' yes': -9.15906, 'Yes': -4.6809163, 'yes': -11.804281}
{' ': -10.708624, ' Yes': -0.017923914, ' yes': -8.335678, 'Yes': -4.0479603, 'yes': -10.894121}
{' No': -8.440592, ' ': -11.576053, ' Yes': -0.003949713, ' yes': -9.138186, 'Yes': -5.6272388}
{' ': -10.695995, ' Yes': -0.02116074, ' yes': -8.430697, 'Yes': -3.880055, 'yes': -10.461504}
{' ': -10.98115, ' Yes': -0.01386274, ' yes': -7.513521, 'Yes': -4.330452, 'yes': -10.436077}
{' No': -11.915141, ' ': -9.956578, ' Yes': -0.0015403706, ' yes': -7.7935586, 'Yes': -6.8501577}
{' No': -7.31423, ' ': -8.970211, ' Yes': -0.0086650485, ' yes': -8.134975, 'Yes': -4.892645}
{' No': -9.991018, ' ': -9.107193, ' Yes': -0.0058242506, ' yes': -8.874877, 'Yes': -5.2054453}
{' No': -6.2338314, ' ': -8.300032, ' Yes': -0.004658301, ' yes': -8.492668, 'Yes': -6.120262}
{' No': -8.710835, ' ': -7.6693773, ' Yes': -0.008500565, ' yes': -8.54873, 'Yes': -4.8981586}
{' No': -8.35006, ' ': -7.465829, ' Yes': -0.008983029, ' yes': -6.2088504, 'Yes': -5.1338015}
{' No': -10.102956, ' ': -9.879771, ' Yes': -0.0009170917, ' yes': -9.908698, 'Yes': -7.191659}
{' No': -6.8832636, ' ': -8.80041, ' Yes': -0.0049225427, ' yes': -9.396749, 'Yes': -5.6231527}
{' No': -7.6852474, '\n': -8.2353325, ' ': -8.482954, ' Yes': -0.005952858, 'Yes': -5.3150325}
{' No': -5.4190245, ' ': -8.609958, ' Yes': -0.0055404725, ' yes': -9.981643, 'Yes': -7.0843215}
{' No': -8.647109, '\n': -7.37569, ' ': -7.7025633, ' Yes': -0.0075031375, 'Yes': -5.092609}
{'\n': -10.523019, ' ': -9.399383, ' Yes': -0.001258403, ' yes': -9.67055, 'Yes': -6.8545732}
{' No': -0.0055076303, ' ': -11.222057, 'No': -5.2073355, ' no': -14.235543, ' NO': -13.504148}
{' No': -0.019772802, ' ': -10.51184, 'No': -3.9351685, ' no': -13.229139, ' NO': -12.247601}
{' No': -0.035418775, ' ': -9.830422, 'No': -3.3600378, ' no': -13.326776, ' NO': -12.1728735}
{' No': -0.010074067, ' ': -11.175667, 'No': -4.604579, ' no': -14.117736, ' NO': -13.2297125}
{' No': -0.02687236, '\n': -11.268109, ' ': -9.386344, 'No': -3.6341968, ' NO': -12.439559}
{' No': -0.023861377, '\n': -12.116067, ' ': -9.319708, 'No': -3.7522335, ' no': -12.214055}
{' No': -0.0014220575, '\n': -12.166633, ' ': -10.368091, 'No': -6.585162, ' NO': -13.261934}
{' No': -0.009753149, '\n': -11.975055, ' ': -9.834469, 'No': -4.6418734, ' NO': -12.944961}
{' No': -0.009704759, '\n': -9.306093, ' ': -8.794359, 'No': -4.6665154, ' NO': -12.590935}
{' No': -0.0021861412, '\n': -12.937671, ' ': -10.563988, 'No': -6.1412144, ' NO': -13.336527}
{' No': -0.008729801, '\n': -9.168415, ' ': -8.459751, 'No': -4.7837768, ' NO': -12.643135}
{' No': -0.010448453, '\n': -9.069048, ' ': -8.705107, 'No': -4.595999, ' no': -11.530199}
{' No': -0.012111908, ' ': -10.100279, 'No': -4.4246464, ' no': -11.637944, ' NO': -12.346479}
{' No': -0.022776129, ' ': -11.066792, 'No': -3.794369, ' no': -13.088709, ' NO': -13.38341}
{' No': -0.051714312, '\n': -11.369688, ' ': -9.506163, 'No': -2.9899046, ' no': -11.9798765}
{' No': -0.006556783, ' ': -10.648988, 'No': -5.035619, ' no': -12.36375, ' NO': -12.776967}
{' No': -0.04356246, '\n': -11.280533, ' ': -9.339281, 'No': -3.158234, ' no': -11.772616}
{' No': -0.037496235, '\n': -10.510088, ' ': -9.177765, 'No': -3.307302, ' no': -10.794816}
{' No': -0.0019432271, '\n': -11.482342, ' ': -9.245103, 'No': -6.3064775, ' no': -11.94821}
{' No': -0.012583267, '\n': -11.900926, ' ': -9.1276, 'No': -4.3920255, ' no': -11.8542}
{' No': -0.010239174, '\n': -9.567184, ' ': -8.545597, 'No': -4.613911, ' no': -12.667997}
{' No': -0.003672149, '\n': -11.822342, ' ': -9.190375, 'No': -5.642258, ' no': -12.05117}
{' No': -0.0077600777, '\n': -8.554585, ' ': -7.924874, 'No': -4.93953, ' no': -11.721272}
{' No': -0.012378245, '\n': -8.661502, ' ': -7.8237886, 'No': -4.45079, ' no': -10.059202}
{' No': -0.00095247134, '\n': -10.620665, ' ': -9.693563, 'No': -7.05592, ' NO': -13.090509}
{' No': -0.005620252, '\n': -10.970876, ' ': -9.300975, 'No': -5.2050505, ' NO': -12.317159}
{' No': -0.0075605493, '\n': -7.6929665, ' ': -8.260797, 'No': -4.9896255, ' NO': -12.489748}
{' No': -0.001625263, '\n': -11.064419, ' ': -9.280458, 'No': -6.4965363, ' NO': -12.446672}
{' No': -0.007750407, '\n': -7.761847, ' ': -8.117907, 'No': -4.9636464, ' NO': -12.506524}
{' No': -0.002422482, '\n': -9.835606, ' ': -9.102983, 'No': -6.096491, ' NO': -13.375316}
{' No': -0.004922662, ' ': -11.482515, 'No': -5.3991427, ' Yes': -7.8857036, 'Yes': -13.356382}
{' No': -0.021672074, ' ': -10.3937845, 'No': -3.8753479, ' Yes': -7.3489666, 'Yes': -11.528764}
{' No': -0.03933763, ' ': -9.839469, 'No': -3.300408, ' Yes': -6.4358754, 'Yes': -10.157391}
{' No': -0.008094821, ' ': -11.458731, 'No': -4.860525, ' Yes': -8.108118, 'Yes': -13.067776}
{' No': -0.03158621, ' ': -9.440651, 'No': -3.605919, ' Yes': -5.581591, 'Yes': -9.699299}
{' No': -0.041895248, ' ': -9.065701, 'No': -3.9792025, ' Yes': -3.8168528, 'Yes': -8.544422}
{' No': -0.05467327, ' ': -10.019504, 'No': -7.035367, ' Yes': -2.9524505, 'Yes': -9.828261}
{' No': -0.014269077, ' ': -9.748016, 'No': -4.877032, ' Yes': -5.045944, 'Yes': -10.024344}
{' No': -0.0470226, ' ': -8.771889, 'No': -5.031319, ' Yes': -3.2459702, 'Yes': -8.34284}
{' No': -0.002959476, ' ': -10.359107, 'No': -6.4248896, ' Yes': -6.649308, 'Yes': -12.677245}
{' No': -0.1390369, ' ': -7.4859486, 'No': -4.7528806, ' Yes': -2.1251266, 'Yes': -6.970907}
{' No': -0.2049261, ' ': -7.599543, 'No': -4.858439, ' Yes': -1.7397008, 'Yes': -6.758856}
{' No': -0.013121819, ' ': -10.43608, 'No': -4.5259542, ' Yes': -6.1419516, 'Yes': -10.871756}
{' No': -0.028298758, ' ': -11.516508, 'No': -3.6610672, ' Yes': -6.1436872, 'Yes': -10.242274}
{' No': -0.060225982, ' ': -9.604695, 'No': -3.4051986, ' Yes': -3.7030098, 'Yes': -7.590793}
{' No': -0.011302468, ' ': -10.788737, 'No': -5.0353484, ' Yes': -5.364108, 'Yes': -10.53931}
{' No': -0.13262476, ' ': -8.894418, 'No': -3.258065, ' Yes': -2.4810705, 'Yes': -6.2760987}
{' No': -0.65414864, 'No': -3.8090558, ' Yes': -0.7954795, ' yes': -7.896212, 'Yes': -5.1391187}
{' No': -0.0062471856, ' ': -8.708817, 'No': -6.5424423, ' Yes': -5.3841577, ' no': -11.601061}
{' No': -0.011308257, ' ': -9.098495, 'No': -4.6198783, ' Yes': -6.683238, 'Yes': -11.257234}
{' No': -0.089807644, ' ': -8.094952, 'No': -5.0323505, ' Yes': -2.5446417, 'Yes': -7.625007}
{' No': -0.0036569561, '\n': -11.932992, ' ': -8.9679985, 'No': -5.799317, ' Yes': -7.6476765}
{' No': -0.015877435, '\n': -8.598627, ' ': -7.5692177, 'No': -4.642737, ' Yes': -5.2298803}
{' No': -0.018218147, '\n': -8.115659, ' ': -7.140418, 'No': -4.5889826, ' Yes': -5.0144396}
{' No': -0.007737251, '\n': -10.762632, ' ': -9.589917, 'No': -7.381686, ' Yes': -4.9639235}
{' No': -0.004647046, '\n': -11.501201, ' ': -9.56799, 'No': -5.648705, ' Yes': -6.883087}
{' No': -0.025108168, '\n': -7.826853, ' ': -8.059856, 'No': -5.344957, ' Yes': -3.952036}
{' No': -0.0016861609, '\n': -12.145822, ' ': -9.635015, 'No': -7.0767417, ' Yes': -7.175569}
{' No': -0.029248856, '\n': -7.838163, ' ': -7.5982504, 'No': -5.0359473, ' Yes': -3.8499563}
{' No': -0.009687967, '\n': -9.81156, ' ': -8.674208, 'No': -6.589909, ' Yes': -4.8252015}
{' YES': -11.63446, ' ': -12.068648, ' Yes': -0.0028702274, ' yes': -10.010273, 'Yes': -5.876891}
{' YES': -10.876502, ' ': -11.334499, ' Yes': -0.010839607, ' yes': -9.070201, 'Yes': -4.544582}
{' YES': -10.762884, ' ': -11.340573, ' Yes': -0.016453024, ' yes': -9.290571, 'Yes': -4.1238365}
{' YES': -11.784396, ' ': -12.451046, ' Yes': -0.004718368, ' yes': -10.354369, 'Yes': -5.368493}
{' ': -10.818885, ' Yes': -0.017112192, ' yes': -9.303382, 'Yes': -4.085052, 'yes': -11.041696}
{' YES': -11.243832, ' ': -10.751602, ' Yes': -0.009288841, ' yes': -9.038919, 'Yes': -4.701483}
{' YES': -11.418465, ' ': -11.907687, ' Yes': -0.00096726825, ' yes': -9.615974, 'Yes': -7.0364475}
{' YES': -10.977759, ' ': -10.724399, ' Yes': -0.0060227737, ' yes': -9.290004, 'Yes': -5.139402}
{'\n': -10.2418, ' ': -9.956415, ' Yes': -0.0054385276, ' yes': -9.281528, 'Yes': -5.2541203}
{' YES': -11.575962, ' ': -11.515809, ' Yes': -0.0015252677, ' yes': -9.888097, 'Yes': -6.5365324}
{'\n': -9.423316, ' ': -9.0979185, ' Yes': -0.009671115, ' yes': -9.074291, 'Yes': -4.6793485}
{'\n': -9.560042, ' ': -9.24994, ' Yes': -0.00893564, ' yes': -7.911641, 'Yes': -4.7910933}
{' YES': -11.02949, ' Yes': -0.0075054183, ' yes': -8.52876, 'Yes': -4.9281006, 'yes': -11.26926}
{' YES': -12.13091, ' Yes': -0.019542173, ' yes': -9.306336, 'Yes': -3.9507647, 'yes': -11.18398}
{' YES': -10.794315, ' Yes': -0.021379443, ' yes': -8.40649, 'Yes': -3.8697298, 'yes': -10.548998}
{' YES': -11.604512, ' Yes': -0.005664968, ' yes': -9.075181, 'Yes': -5.200491, 'yes': -11.953548}
{' ': -10.772825, ' Yes': -0.026314117, ' yes': -8.4676075, 'Yes': -3.6621437, 'yes': -10.050505}
{' ': -10.389707, ' Yes': -0.020815492, ' yes': -7.6750646, 'Yes': -3.910807, 'yes': -9.958556}
{' YES': -11.419125, ' ': -10.856501, ' Yes': -0.0016260996, ' yes': -8.376671, 'Yes': -6.603312}
{' ': -9.582883, ' Yes': -0.011789002, ' yes': -7.685895, 'Yes': -4.4986205, 'yes': -10.27045}
{'\n': -10.710417, ' ': -9.746725, ' Yes': -0.0068416893, ' yes': -9.103266, 'Yes': -5.0196075}
{' YES': -11.0224285, ' ': -9.855997, ' Yes': -0.0041619893, ' yes': -8.243113, 'Yes': -5.5733104}
{'\n': -9.676819, ' ': -8.98101, ' Yes': -0.010508384, ' yes': -8.808603, 'Yes': -4.597138}
{'\n': -8.259044, ' ': -8.201594, ' Yes': -0.014168715, ' yes': -6.1332293, 'Yes': -4.489205}
{' YES': -10.973755, ' ': -11.038162, ' Yes': -0.0008358393, ' yes': -10.0348835, 'Yes': -7.2020626}
{' YES': -10.850541, ' ': -10.20938, ' Yes': -0.004155588, ' yes': -9.622029, 'Yes': -5.5197}
{'\n': -9.049836, ' ': -9.6945505, ' Yes': -0.0051592924, ' yes': -9.73552, 'Yes': -5.3199687}
{' YES': -11.429402, ' ': -10.658061, ' Yes': -0.0011663195, ' yes': -10.287199, 'Yes': -6.822968}
{'\n': -8.64878, ' ': -9.018805, ' Yes': -0.0068856194, ' yes': -9.958715, 'Yes': -5.0351105}
{'\n': -10.208177, ' ': -9.942029, ' Yes': -0.001540489, ' yes': -9.910409, 'Yes': -6.573205}
{' No': -10.948424, ' ': -12.209338, ' Yes': -0.0014150739, ' yes': -10.496704, 'Yes': -6.5998263}
{' No': -9.441993, ' ': -10.672568, ' Yes': -0.008715851, ' yes': -9.156596, 'Yes': -4.773347}
{' No': -8.1535, ' ': -10.304455, ' Yes': -0.016260477, ' yes': -9.21833, 'Yes': -4.15564}
{' No': -11.217278, ' ': -12.1441145, ' Yes': -0.003028766, ' yes': -10.622605, 'Yes': -5.816858}
{' No': -8.060171, ' ': -10.000894, ' Yes': -0.01521701, ' yes': -9.386694, 'Yes': -4.2254434}
{' No': -10.047117, ' ': -10.569996, ' Yes': -0.0059382846, ' yes': -8.923046, 'Yes': -5.1663194}
{' YES': -12.352593, ' ': -11.087011, ' Yes': -0.00063524215, ' yes': -9.510315, 'Yes': -7.5273943}
{' No': -10.831666, ' ': -10.214994, ' Yes': -0.005217529, ' yes': -9.27558, 'Yes': -5.2904153}
{' No': -10.323206, ' ': -9.63488, ' Yes': -0.0056554973, ' yes': -9.092733, 'Yes': -5.2212677}
{' No': -11.611583, ' ': -10.800194, ' Yes': -0.0013125349, ' yes': -9.88084, 'Yes': -6.7050095}
{'\n': -10.037455, ' ': -8.557319, ' Yes': -0.0072586914, ' yes': -8.985702, 'Yes': -4.9861135}
{'\n': -10.243659, ' ': -8.895475, ' Yes': -0.005203389, ' yes': -7.7854037, 'Yes': -5.3901443}
{' No': -9.386499, ' ': -10.928145, ' Yes': -0.006873195, ' yes': -8.044615, 'Yes': -5.051053}
{' ': -12.583646, ' Yes': -0.010699828, ' yes': -9.215533, 'Yes': -4.553701, 'yes': -11.7328615}
{' ': -10.499724, ' Yes': -0.015829958, ' yes': -8.257724, 'Yes': -4.174359, 'yes': -10.932286}
{' No': -11.48877, ' ': -11.618816, ' Yes': -0.0040193703, ' yes': -8.953526, 'Yes': -5.559059}
{' ': -10.5407, ' Yes': -0.018712735, ' yes': -8.278149, 'Yes': -4.0056205, 'yes': -10.407859}
{' ': -10.244401, ' Yes': -0.015839467, ' yes': -7.217161, 'Yes': -4.207608, 'yes': -10.0741205}
{' ': -9.706342, ' Yes': -0.0015689667, ' yes': -7.808608, 'Yes': -6.8269315, 'yes': -11.984758}
{' No': -9.652819, ' ': -9.259285, ' Yes': -0.0074543157, ' yes': -8.128803, 'Yes': -4.9699154}
{' No': -10.785013, ' ': -8.821924, ' Yes': -0.006315746, ' yes': -8.616346, 'Yes': -5.130726}
{' No': -8.981139, ' ': -8.850295, ' Yes': -0.0026163892, ' yes': -8.547983, 'Yes': -6.151908}
{'\n': -9.465114, ' ': -8.134027, ' Yes': -0.0063853855, ' yes': -8.837562, 'Yes': -5.155128}
{'\n': -9.075932, ' ': -7.6628766, ' Yes': -0.008295659, ' yes': -6.1064916, 'Yes': -5.231362}
{'\n': -11.746212, ' ': -10.169338, ' Yes': -0.00072351756, ' yes': -10.018837, 'Yes': -7.381754}
{' No': -8.364623, ' ': -9.093654, ' Yes': -0.003953363, ' yes': -9.471917, 'Yes': -5.6546717}
{' No': -9.379009, '\n': -8.973524, ' ': -8.881376, ' Yes': -0.0047265715, 'Yes': -5.450817}
{' No': -8.9236145, ' ': -9.36511, ' Yes': -0.00105915, ' yes': -10.159971, 'Yes': -7.1447244}
{'\n': -7.8747215, ' ': -7.98739, ' Yes': -0.006269801, ' yes': -9.762716, 'Yes': -5.215252}
{'\n': -10.210222, ' ': -9.1718235, ' Yes': -0.0012342327, ' yes': -9.695084, 'Yes': -6.8881245}
{' No': -0.0037986266, ' ': -11.150645, 'No': -5.579398, ' no': -14.527519, ' NO': -13.791881}
{' No': -0.017555153, ' ': -10.174078, 'No': -4.0538845, ' no': -13.150449, ' NO': -12.312981}
{' No': -0.036074318, '\n': -12.974774, ' ': -9.78532, 'No': -3.3420854, ' NO': -12.394535}
{' No': -0.0074892044, ' ': -11.201709, 'No': -4.900286, ' no': -14.293006, ' NO': -13.442343}
{' No': -0.025016738, '\n': -11.595632, ' ': -9.161098, 'No': -3.7058618, ' NO': -12.44738}
{' No': -0.017694319, '\n': -12.29244, ' ': -9.107525, 'No': -4.051025, ' no': -12.285643}
{' No': -0.0012438417, '\n': -12.377464, ' ': -10.225109, 'No': -6.726551, ' NO': -13.213117}
{' No': -0.009168045, '\n': -11.948223, ' ': -9.468518, 'No': -4.7066107, ' NO': -12.784275}
{' No': -0.008715972, '\n': -9.638118, ' ': -8.654567, 'No': -4.776263, ' no': -12.65318}
{' No': -0.0021632027, '\n': -12.73792, ' ': -10.215258, 'No': -6.1575737, ' NO': -13.256059}
{' No': -0.009900201, '\n': -9.186022, ' ': -8.273075, 'No': -4.6585546, ' no': -12.465832}
{' No': -0.008812422, '\n': -9.534807, ' ': -8.502918, 'No': -4.769926, ' no': -11.720463}
{' No': -0.01068097, ' ': -9.962416, 'No': -4.5511436, ' no': -11.510107, ' NO': -12.15612}
{' No': -0.02620055, ' ': -10.866519, 'No': -3.6561022, 'no': -13.05463, ' no': -12.774261}
{' No': -0.05218519, '\n': -11.3053055, ' ': -9.278832, 'No': -2.98152, ' no': -11.74501}
{' No': -0.0060354266, ' ': -10.397878, 'No': -5.119902, ' no': -12.279406, ' NO': -12.77869}
{' No': -0.047241278, '\n': -11.420608, ' ': -9.25915, 'No': -3.0789163, ' no': -11.533461}
{' No': -0.04479053, '\n': -10.144155, ' ': -8.907454, 'No': -3.1337588, ' no': -10.539889}
{' No': -0.0017855753, '\n': -11.46729, ' ': -8.921703, 'No': -6.419646, ' no': -11.865041}
{' No': -0.013073808, '\n': -11.667383, ' ': -8.808533, 'No': -4.357127, ' no': -11.780479}
{' No': -0.010061179, '\n': -9.281149, ' ': -8.207398, 'No': -4.6425395, ' no': -12.389654}
{' No': -0.0034663156, '\n': -11.623442, ' ': -8.795483, 'No': -5.7175255, ' no': -11.909502}
{' No': -0.008062373, '\n': -8.6834545, ' ': -7.973758, 'No': -4.892536, ' no': -12.07431}
{' No': -0.011654944, '\n': -8.550815, ' ': -7.4686017, 'No': -4.532712, ' no': -9.824731}
{' No': -0.0011435862, '\n': -10.816483, ' ': -9.374642, 'No': -6.8743405, ' NO': -12.942136}
{' No': -0.006129995, '\n': -11.243909, ' ': -9.031967, 'No': -5.1205955, ' NO': -12.658885}
{' No': -0.0076428913, '\n': -7.6318707, ' ': -7.9077134, 'No': -4.9980597, ' NO': -12.713342}
{' No': -0.001550279, '\n': -11.26988, ' ': -9.000864, 'No': -6.565751, ' NO': -12.793732}
{' No': -0.006776577, '\n': -8.002336, ' ': -7.7361903, 'No': -5.120659, ' NO': -12.680669}
{' No': -0.0025934412, '\n': -9.639319, ' ': -8.394376, 'No': -6.0776033, ' no': -12.924027}
{' No': -0.007318071, ' ': -11.625928, 'No': -5.245977, ' Yes': -6.2130804, 'Yes': -11.63035}
{' No': -0.027060714, ' ': -10.394892, 'No': -3.6995096, ' Yes': -6.2675023, 'Yes': -10.48668}
{' No': -0.044330157, ' ': -9.765552, 'No': -3.1590724, ' Yes': -7.119029, 'Yes': -10.741246}
