{' On': -8.312587, ' Generally': -4.545278, ' A': -8.284638, ' Yes': -0.018477857, 'Yes': -5.053342}
{' No': -0.19913706, ' ': -7.3890452, 'No': -1.7235054, ' A': -7.965476, ' It': -8.014207}
{' No': -0.16282968, ' ': -6.7122774, 'No': -2.0447152, ' Yes': -7.627081, ' Cam': -4.0493917}
{' No': -0.03981468, ' ': -8.206331, ' Generally': -8.6612425, 'No': -3.2697568, ' A': -8.290155}
{' No': -0.06103503, 'Cam': -8.589043, ' ': -7.279906, 'No': -3.0730758, ' Cam': -4.47907}
{' No': -0.75988454, '\n': -6.4215283, ' ': -6.423368, 'No': -0.6455104, ' It': -6.572737}
{' No': -0.56396663, 'Cam': -5.640445, ' ': -6.05514, 'No': -1.022642, ' Cam': -2.8895798}
{' No': -0.13034907, ' ': -7.473906, ' Generally': -7.576836, 'No': -2.1308794, ' A': -7.233566}
{' No': -0.24759808, ' Generally': -5.9709353, 'No': -1.8987876, ' Yes': -5.733056, ' Cam': -2.8645928}
{' No': -0.031129004, '\n': -7.3851247, ' ': -5.7380605, 'No': -3.7300634, ' no': -5.9626036}
{' No': -0.024735041, '\n': -7.005356, ' ': -5.8890476, 'No': -3.9890938, ' no': -6.7258935}
{' No': -0.133146, '\n': -6.709856, ' ': -6.309317, 'No': -2.1294935, ' A': -7.211896}
{' No': -0.113584265, '\n': -5.5126553, ' ': -5.874059, 'No': -2.3451135, ' Cam': -5.578836}
{' No': -0.2798617, '\n': -3.635155, ' ': -5.162306, 'No': -1.5726302, ' A': -5.941294}
{' No': -0.2576533, '\n': -3.271981, ' ': -5.029668, 'No': -1.7753552, ' Cam': -4.5135584}
{' No': -0.052883316, '\n': -8.305882, ' ': -7.4406757, 'No': -2.9917564, ' no': -8.280711}
{' No': -0.045243055, '\n': -7.756365, ' ': -7.179606, 'No': -3.1717973, ' Cam': -7.1309357}
{' No': -0.38406086, '\n': -3.8727353, ' ': -5.1935663, 'No': -1.2424612, ' no': -6.277491}
{' No': -0.30955455, '\n': -3.8496296, ' ': -4.8628125, 'No': -1.4574865, ' no': -6.287801}
{' No': -0.10178617, ' ': -5.4956822, 'No': -2.8030417, ' A': -4.789988, ' no': -4.534193}
{' No': -0.11317503, '\n': -4.949632, 'No': -2.767262, ' no': -4.6376796, ' Cam': -3.9493005}
{' No': -0.025091426, '\n': -5.6331654, ' ': -6.2599545, 'No': -4.0222435, ' A': -7.3987784}
{' No': -0.03755317, '\n': -4.421987, ' ': -5.6820784, 'No': -4.0154815, ' Cam': -5.832701}
{' No': -0.07883111, '\n': -4.6059856, ' ': -5.758545, 'No': -2.7879565, ' A': -7.5264797}
{' No': -0.090838484, '\n': -3.918965, ' ': -5.4511404, 'No': -2.9507265, ' Cam': -4.631976}
{' No': -0.08340623, '\n': -4.2892756, ' ': -5.498306, 'No': -2.8107584, ' A': -6.7357535}
{' No': -0.06336095, '\n': -4.347979, ' ': -5.408011, 'No': -3.2757936, ' Cam': -5.16002}
{' No': -0.028641935, '\n': -6.2287526, ' ': -6.0051923, 'No': -3.7548304, ' A': -8.646249}
{' No': -0.036946993, '\n': -5.427564, ' ': -5.865354, 'No': -3.6121328, ' Cam': -6.2983356}
{' No': -0.05919957, '\n': -5.800801, ' ': -5.7566304, 'No': -2.9887993, ' A': -7.259011}
{' No': -0.05074437, '\n': -5.488206, ' ': -5.1846933, 'No': -3.257226, ' Cam': -6.9496207}
{' No': -0.060836047, '\n': -5.38177, ' ': -5.2843122, 'No': -3.3983088, ' A': -4.771123}
{' No': -0.06749576, '\n': -5.5642195, ' ': -5.4175887, 'No': -3.4396422, ' Cam': -3.8606262}
{' No': -0.02434056, '\n': -8.375204, ' ': -8.622561, ' Generally': -7.712332, 'No': -3.7800813}
{' No': -0.022990547, '\n': -7.150531, ' Generally': -7.2994695, 'No': -4.005012, ' Cam': -6.072697}
{' No': -0.06005469, ' ': -7.404648, ' Generally': -6.139511, 'No': -2.9083326, ' It': -8.651692}
{' No': -0.15196417, ' ': -6.3483577, ' Generally': -5.3101063, 'No': -2.1067028, ' Cam': -4.779381}
{' No': -0.064848974, '\n': -6.109601, ' ': -6.1931505, ' Generally': -7.2349787, 'No': -2.8728476}
{' No': -0.14794387, '\n': -4.2038083, ' ': -4.887829, 'No': -2.2752347, ' Cam': -4.929207}
{' No': -0.038763896, ' ': -8.834572, ' Generally': -7.6333547, 'No': -3.2934883, ' A': -9.347137}
{' No': -0.07335744, ' ': -8.048676, ' Generally': -7.1247168, 'No': -2.7279117, ' Cam': -5.6164556}
{' No': -0.13187397, '\n': -5.438057, ' ': -5.6509495, ' Generally': -7.322044, 'No': -2.1739519}
{' No': -0.23810446, '\n': -3.722447, ' ': -4.670857, 'No': -1.8879648, ' Cam': -4.2715173}
{' No': -0.12916337, ' ': -6.65037, ' Generally': -5.1578307, 'No': -2.2154043, ' A': -6.731977}
{' No': -0.15179685, ' ': -5.5940113, ' Generally': -4.588286, 'No': -2.2255063, ' Cam': -4.532162}
{' No': -0.007424229, '\n': -6.976138, ' ': -7.5472703, ' Generally': -9.444847, 'No': -5.1676908}
{' No': -0.012458933, '\n': -5.658565, ' ': -6.9677734, 'No': -4.9702816, ' Cam': -7.376659}
{' No': -0.05934137, '\n': -4.929226, ' ': -5.832294, ' Generally': -8.555213, 'No': -3.062452}
{' No': -0.076312326, '\n': -4.8935556, ' ': -5.713788, 'No': -2.8190012, ' Cam': -6.5610347}
{' No': -0.24723086, '\n': -1.8656296, ' ': -4.279751, 'No': -3.0159247, ' A': -7.172951}
{' No': -0.43522957, '\n': -1.2423451, ' ': -3.8497212, 'No': -3.223718, ' Cam': -6.5854297}
{' No': -0.011562803, '\n': -9.453211, ' ': -7.933216, 'No': -4.512827, ' A': -10.629489}
{' No': -0.018958421, '\n': -8.152705, ' ': -7.4667897, 'No': -4.047042, ' Cam': -8.11938}
{' No': -0.17684479, '\n': -3.6235664, ' ': -4.386859, 'No': -2.1031828, ' A': -8.303305}
{' No': -0.15165928, '\n': -3.6704447, ' ': -4.693737, 'No': -2.2509882, ' Cam': -8.718438}
{' No': -0.044960715, '\n': -6.6629395, ' ': -6.1604314, 'No': -3.274855, ' A': -6.8209715}
{' No': -0.059936464, '\n': -6.0615973, ' ': -5.7272034, 'No': -2.9913006, ' Cam': -7.098085}
{' No': -0.087462164, ' ': -7.4084997, ' Generally': -6.5072436, 'No': -2.5414243, ' A': -6.7942266}
{' No': -0.19332145, '\n': -5.994003, ' Generally': -5.8539066, 'No': -1.8340609, ' Cam': -5.492879}
{' No': -0.15628313, ' ': -8.324504, 'No': -1.935496, 'no': -11.069128, ' no': -11.116112}
{' No': -0.20510207, ' ': -7.2801523, ' Generally': -6.7837257, 'No': -1.7066814, ' Cam': -7.0921063}
{' No': -0.17562966, '\n': -9.187119, ' ': -7.7099676, 'No': -1.8305844, ' Yes': -10.228776}
{' No': -0.25248474, '\n': -6.516717, ' ': -6.3975735, 'No': -1.5212607, ' Cam': -8.2590475}
{' No': -0.04660867, '\n': -10.673034, ' ': -7.817211, ' Generally': -10.480429, 'No': -3.1012294}
{' No': -0.097242735, ' ': -7.385479, ' Generally': -7.6366878, 'No': -2.3972707, ' Cam': -8.636014}
{' No': -0.4556762, '\n': -6.383633, ' ': -6.4553475, ' Generally': -9.178419, 'No': -1.0155592}
{' No': -0.49623728, '\n': -6.200195, ' ': -6.181057, 'No': -0.9726472, ' Cam': -5.3160996}
{' No': -0.22979991, '\n': -6.7865205, ' ': -7.2958384, 'No': -1.5955777, ' Camel': -8.389229}
{' No': -0.37000895, '\n': -8.039544, ' ': -7.0583696, 'No': -1.1812805, ' Cam': -7.505966}
{' No': -0.0025808313, '\n': -10.131899, ' ': -7.5146008, 'No': -6.3039265, ' no': -8.862101}
{' No': -0.005154079, '\n': -7.8270745, ' ': -7.4555035, 'No': -5.5983715, ' Cam': -8.709086}
{' No': -0.10754192, '\n': -5.897125, ' ': -6.803306, ' Generally': -8.542499, 'No': -2.3281515}
{' No': -0.112911806, '\n': -5.369864, ' ': -6.36183, ' Generally': -7.7190595, 'No': -2.3099027}
{' No': -0.24288774, '\n': -2.2361948, ' ': -4.968481, 'No': -2.294489, ' A': -7.936034}
{' No': -0.31754884, '\n': -1.7949753, ' ': -4.6720304, 'No': -2.3748817, ' Cam': -6.573145}
{' No': -0.018907033, '\n': -7.564611, ' ': -7.661754, 'No': -4.0395823, ' no': -9.839395}
{' No': -0.036671374, '\n': -6.5704308, ' ': -7.3217664, 'No': -3.4061306, ' Cam': -8.177836}
{' No': -0.38700554, '\n': -2.4320095, ' ': -4.5968947, 'No': -1.5097511, ' no': -7.0241265}
{' No': -0.2687075, '\n': -2.6885357, ' ': -4.654788, 'No': -1.8624786, ' no': -6.9604855}
{' No': -0.03951657, '\n': -5.820366, ' ': -6.05726, 'No': -3.54949, ' no': -6.028345}
{' No': -0.061973844, '\n': -6.0355277, ' ': -5.987447, 'No': -2.9558985, ' no': -6.2256227}
{' No': -0.01594587, '\n': -5.0307813, ' ': -6.137863, 'No': -5.1218076, ' A': -7.8364744}
{' No': -0.07222986, '\n': -2.9753022, ' ': -5.0668035, 'No': -4.530461, ' Cam': -6.951842}
{' No': -0.096706115, '\n': -3.5661712, ' ': -5.1663814, ' Generally': -7.442883, 'No': -2.8757112}
{' No': -0.35949984, '\n': -1.4109505, ' ': -4.1407022, 'No': -3.2290142, ' Cam': -6.7445483}
{' No': -0.13993062, '\n': -2.6267793, ' ': -4.5160847, 'No': -3.0814912, ' A': -7.351993}
{' No': -0.2188977, '\n': -1.933028, ' ': -4.05255, 'No': -3.4324825, ' Cam': -6.906649}
{' No': -0.023612415, '\n': -5.269567, ' ': -5.364253, 'No': -4.3430815, ' A': -8.575726}
{' No': -0.08095286, '\n': -3.1272786, ' ': -4.674802, 'No': -3.7729387, ' Cam': -6.829858}
{' No': -0.039581366, '\n': -5.730207, ' ': -5.841697, 'No': -3.4429166, ' A': -7.8390822}
{' No': -0.060419776, '\n': -3.7639263, ' ': -4.7552805, 'No': -3.6560044, ' Cam': -7.6480083}
{' No': -0.053554375, '\n': -4.580234, ' ': -5.0025063, 'No': -3.6078718, ' A': -5.784535}
{' No': -0.08284272, '\n': -3.9496446, ' ': -4.8589005, 'No': -3.0557144, ' Cam': -5.829972}
{' No': -4.1069555, 'No': -8.278724, ' A': -7.93432, ' Yes': -0.022015909, 'Yes': -5.4415565}
{' No': -4.1862, ' Tigers': -7.108849, ' Generally': -7.552363, ' Yes': -0.022017555, 'Yes': -5.4088297}
{' No': -3.2585597, ' ': -7.4664454, 'No': -5.9891467, ' Yes': -0.06054851, 'Yes': -4.1129546}
{' No': -3.040027, ' ': -6.647176, 'No': -5.7444086, ' Yes': -0.071689144, 'Yes': -4.1572146}
{' No': -0.93519664, ' ': -5.350751, 'No': -3.447524, ' Yes': -0.5983704, 'Yes': -4.1330895}
{' No': -1.9812002, ' ': -5.2268114, 'No': -4.462014, ' Yes': -0.20723258, 'Yes': -3.7533443}
{' No': -3.9995124, 'No': -8.064932, ' A': -7.368272, ' Yes': -0.024720134, 'Yes': -5.3618383}
{' No': -3.4530144, ' Tigers': -5.8640594, 'No': -7.0903435, ' Yes': -0.04368219, 'Yes': -5.0251803}
{' No': -0.15786934, '\n': -5.8995433, ' ': -5.411264, 'No': -2.0898645, ' Yes': -4.554125}
{' No': -0.19147985, '\n': -5.1490183, ' ': -4.6866903, 'No': -2.4540033, ' Yes': -2.7465413}
{' No': -0.38011563, 'No': -3.217125, ' A': -5.195572, ' Yes': -1.3524743, 'Yes': -5.3873215}
{' No': -0.91448605, ' Tigers': -3.9959583, 'No': -3.1956923, ' Yes': -0.6591702, 'Yes': -4.1476746}
{' No': -3.0662043, ' ': -6.2331843, ' A': -7.2664237, ' Yes': -0.053883065, 'Yes': -6.23262}
{' No': -2.5141163, '\n': -6.4437656, ' ': -6.0912585, ' Yes': -0.093608886, 'Yes': -5.964922}
{' No': -0.045988135, '\n': -6.13845, ' ': -5.8567004, 'No': -3.3222291, ' Yes': -5.9417815}
{' No': -0.15776667, ' Tigers': -6.0210834, ' ': -5.478756, 'No': -3.8763068, ' Yes': -2.1604066}
{' No': -0.17488007, '\n': -2.8378344, ' ': -4.2552233, 'No': -2.687869, ' Yes': -4.5935946}
{' No': -0.22522776, ' Tigers': -4.712958, '\n': -2.2190785, ' ': -3.973702, 'No': -2.8663962}
{' No': -0.06704586, ' ': -5.8918533, 'No': -5.3924603, ' A': -8.2829485, ' Yes': -2.868382}
{' No': -0.09446894, ' ': -6.474954, 'No': -4.9681773, ' Yes': -2.5175397, 'Yes': -7.9012046}
{' No': -0.23695105, '\n': -4.106616, ' ': -4.4106855, 'No': -1.7306664, ' A': -5.90762}
{' No': -0.22065693, ' Tigers': -7.054606, '\n': -3.83233, ' ': -4.2138896, 'No': -1.8403393}
{' No': -1.931243, ' ': -5.109733, ' A': -5.203515, ' Yes': -0.19092447, 'Yes': -4.8426423}
{' No': -2.0459754, ' ': -4.99036, ' Yes': -0.18578783, ' yes': -5.136764, 'Yes': -4.2656407}
{' No': -0.5409377, 'No': -2.653643, ' A': -4.719242, ' Yes': -1.153908, 'Yes': -4.267145}
{' No': -1.8158329, 'No': -3.849177, ' Yes': -0.27764782, ' yes': -4.7685313, 'Yes': -3.2479424}
{' No': -0.13554138, ' ': -6.800433, 'No': -2.5041137, ' Yes': -3.170684, 'Yes': -6.4276934}
{' No': -0.59921265, ' ': -7.0361767, 'No': -2.2845821, ' Yes': -1.1141626, 'Yes': -3.9689026}
{' No': -0.6739246, ' ': -5.579991, 'No': -2.3831475, ' Yes': -0.99590415, 'Yes': -3.7669652}
{' No': -0.89874274, ' ': -5.7292366, 'No': -2.5727615, ' Yes': -0.74218553, 'Yes': -3.3991375}
{' No': -0.18182336, ' ': -7.31154, 'No': -4.064615, ' Yes': -1.9204841, 'Yes': -6.5488286}
{' No': -4.708168, 'No': -7.8434124, ' Yes': -0.023565669, ' yes': -7.577078, 'Yes': -4.3568063}
{' No': -0.5254338, ' Tigers': -6.0453672, ' ': -6.1865444, 'No': -0.9217904, ' Yes': -5.870346}
{' No': -0.72653013, ' Tigers': -3.1154325, 'No': -0.981947, ' Yes': -2.9268513, 'Yes': -4.0445385}
{' No': -0.0909454, ' Tigers': -7.3480372, ' ': -7.033563, 'No': -2.5114145, ' Yes': -5.9388895}
{' No': -1.0169166, ' Tigers': -3.7186184, 'No': -3.131533, ' Yes': -0.6088127, 'Yes': -3.92923}
{' No': -4.0200214, ' ': -4.918417, ' Yes': -0.08878933, ' yes': -3.039759, 'Yes': -4.898259}
{' No': -3.2769551, ' ': -5.104359, ' Yes': -0.08009785, ' yes': -3.7961755, 'Yes': -5.0194764}
{' No': -0.8966155, ' ': -4.373504, 'No': -3.48776, ' Yes': -0.6677908, 'Yes': -4.162563}
{' No': -2.2539415, '\n': -4.4449034, ' ': -4.777976, ' Yes': -0.18266408, 'Yes': -3.6796331}
{' No': -0.63892865, '\n': -1.9740728, ' ': -3.5488358, 'No': -2.5442705, ' Yes': -1.680896}
{' No': -0.6021982, '\n': -1.6414342, ' ': -3.3681386, 'No': -2.2679582, ' Yes': -2.5780911}
{' No': -1.7820113, ' ': -5.3238144, 'No': -5.826838, ' Yes': -0.20876147, 'Yes': -4.8864746}
{' No': -1.7939702, 'No': -5.5249653, ' Yes': -0.20934674, ' yes': -5.777633, 'Yes': -4.7284164}
{' No': -0.42540672, '\n': -2.3234627, ' ': -4.1188173, 'No': -1.5115081, ' Yes': -5.5894437}
{' No': -0.3308548, '\n': -2.7768986, ' ': -3.8894658, 'No': -1.6835903, ' Yes': -5.3006516}
{' No': -3.392846, '\n': -4.9725285, ' Yes': -0.16285051, ' yes': -2.4999378, 'Yes': -4.197049}
{' No': -2.7223554, '\n': -4.5622783, ' Yes': -0.22776085, ' yes': -2.4293675, 'Yes': -3.9317727}
{' No': -2.6424596, '\n': -4.929506, ' ': -5.668357, ' Yes': -0.091844246, 'Yes': -5.786752}
{' No': -0.7197319, '\n': -3.5132499, ' ': -4.8536105, 'No': -5.308774, ' Yes': -0.76311654}
{' No': -0.3234483, '\n': -3.2751884, ' ': -4.5632305, 'No': -3.5644112, ' Yes': -1.6417123}
{' No': -0.1872604, '\n': -2.7498767, ' ': -4.590836, 'No': -3.3567052, ' Yes': -2.8693702}
{' No': -0.23574784, '\n': -3.1201205, 'No': -3.550754, ' A': -4.3044887, ' Yes': -2.2262359}
{' No': -0.1285288, ' Tigers': -4.4238873, '\n': -3.3952713, 'No': -3.6153567, ' Yes': -3.3563194}
{' No': -0.16386001, '\n': -4.59872, ' ': -4.4273677, 'No': -4.78934, ' Yes': -2.1425624}
{' No': -0.15472412, '\n': -3.757221, ' ': -4.3409023, 'No': -4.2266307, ' Yes': -2.4031525}
{' No': -0.065657966, '\n': -4.442731, ' ': -5.116353, 'No': -3.156751, ' Yes': -6.435939}
{' No': -0.06472103, '\n': -4.613282, ' ': -4.821337, 'No': -3.1519287, ' Yes': -6.8830676}
{' No': -2.2614708, '\n': -4.537237, ' ': -4.638122, ' Yes': -0.15510562, 'Yes': -4.9246497}
{' No': -2.2797658, '\n': -5.0304704, ' ': -4.869936, ' Yes': -0.15118971, 'Yes': -4.497141}
{' No': -1.1981744, 'No': -5.5123525, ' A': -7.4727, ' Yes': -0.37221235, 'Yes': -5.7437906}
{' No': -0.1412666, ' Tigers': -4.96361, 'No': -4.5211987, ' Yes': -2.191237, 'Yes': -7.2475114}
{' No': -2.9960177, ' Generally': -6.8936105, 'No': -5.9587903, ' Yes': -0.07138484, 'Yes': -4.331904}
{' No': -1.2040226, ' Tigers': -4.3364935, 'No': -3.9459486, ' Yes': -0.43174863, 'Yes': -4.367551}
{' No': -1.5001239, '\n': -4.678346, 'No': -4.5480456, ' Yes': -0.3117312, 'Yes': -4.222692}
{' No': -0.5020114, ' Tigers': -4.069352, '\n': -3.3605967, 'No': -3.0053892, ' Yes': -1.3191539}
{' No': -0.68866056, 'No': -4.3044076, ' A': -5.9970818, ' Yes': -0.74110496, 'Yes': -5.4890866}
{' No': -0.115891464, ' Tigers': -5.04259, 'No': -2.9488304, ' Yes': -3.0401123, 'Yes': -6.7792263}
{' No': -0.17818244, '\n': -4.610819, ' ': -4.851602, 'No': -2.394245, ' Yes': -3.1536176}
{' No': -0.40876997, ' Tigers': -3.510771, '\n': -3.0439608, 'No': -2.3708384, ' Yes': -2.027012}
{' No': -1.4603492, ' Generally': -5.237563, 'No': -3.9537039, ' Yes': -0.33405596, 'Yes': -4.127803}
{' No': -0.16051432, ' Tigers': -4.238178, ' ': -5.58846, 'No': -2.3408349, ' Yes': -3.5664287}
{' No': -2.777014, '\n': -6.1327477, ' ': -6.0790234, ' Yes': -0.07167852, 'Yes': -6.3829837}
{' No': -0.14450641, '\n': -4.9184184, ' ': -5.9606147, 'No': -5.9011893, ' Yes': -2.1092377}
{' No': -0.086121686, '\n': -3.5781372, ' ': -4.794593, 'No': -3.609685, ' Yes': -4.227256}
{' No': -0.06713223, '\n': -4.1194925, ' ': -5.3561816, 'No': -3.3852322, ' Yes': -4.892898}
{' No': -0.8768742, '\n': -0.86074764, ' ': -3.2223961, 'No': -3.7965078, ' Yes': -2.5316956}
{' No': -0.6237351, ' Tigers': -5.56657, '\n': -0.8937375, ' ': -3.6072574, 'No': -3.8181052}
{' No': -0.043948915, '\n': -6.870422, ' ': -5.6314936, 'No': -5.609622, ' Yes': -3.3878877}
{' No': -0.015975425, '\n': -6.6943984, ' ': -6.4916015, 'No': -5.1670904, ' Yes': -5.025075}
{' No': -0.2203594, '\n': -2.7053065, ' ': -4.215709, 'No': -2.1968246, ' A': -5.867088}
{' No': -0.21612734, ' Tigers': -5.987669, '\n': -2.4367733, ' ': -4.1313095, 'No': -2.4462564}
{' No': -1.6194175, '\n': -4.5850163, ' ': -4.456894, ' Yes': -0.27566567, 'Yes': -4.8922615}
{' No': -0.081597276, '\n': -4.5185285, ' ': -4.5860105, 'No': -3.25969, ' Yes': -4.225379}
{' No': -1.4890014, 'No': -3.6490757, ' A': -5.307546, ' Yes': -0.34235117, 'Yes': -3.6050804}
{' No': -0.20610118, ' Tigers': -4.715565, '\n': -5.5470853, 'No': -2.0767524, ' Yes': -3.2474656}
{' No': -1.7606493, ' ': -6.434626, 'No': -3.79694, ' Yes': -0.26689962, 'Yes': -3.2927728}
{' No': -0.2233804, ' Tigers': -5.847375, 'No': -2.2580085, ' Yes': -2.4484076, 'Yes': -5.362916}
{' No': -3.004779, ' ': -6.0309496, 'No': -4.515064, ' Yes': -0.13874193, 'Yes': -2.7430432}
{' No': -0.42759007, '\n': -5.1547685, 'No': -1.7051895, ' Yes': -1.9983317, 'Yes': -4.202433}
{' No': -2.2527473, ' ': -6.3957405, 'No': -6.1135244, ' Yes': -0.12662572, 'Yes': -4.700833}
{' No': -0.12830183, ' ': -7.112848, 'No': -3.0135994, ' Yes': -2.692135, 'Yes': -6.337009}
{' No': -0.43194607, '\n': -6.593762, ' ': -6.1383758, 'No': -1.0711844, ' Yes': -6.4474506}
{' No': -0.6771642, ' Tigers': -3.4671571, 'No': -1.2074127, ' Yes': -2.2768383, 'Yes': -3.5639665}
{' No': -0.19304278, '\n': -6.226683, ' ': -6.1643043, 'No': -1.8001136, ' Yes': -6.190535}
{' No': -0.23631191, ' Tigers': -5.3127923, ' ': -6.3782134, 'No': -1.6169804, ' Yes': -5.7316103}
{' No': -3.3687582, ' ': -5.204457, ' Yes': -0.053561296, ' yes': -4.9288054, 'Yes': -5.848248}
{' No': -0.9640711, '\n': -6.268322, ' ': -5.3793697, ' Yes': -0.49742106, ' yes': -6.48367}
{' No': -1.1729286, '\n': -3.3692636, 'No': -3.7284954, ' Yes': -0.5349891, 'Yes': -3.8075166}
{' No': -0.122371316, '\n': -3.4986145, ' ': -4.9863524, 'No': -2.796165, ' Yes': -4.1992393}
{' No': -1.109043, '\n': -0.76531386, ' ': -3.5568786, 'No': -3.4578662, ' Yes': -2.0739706}
{' No': -0.8797959, ' Tigers': -4.5440946, '\n': -0.6960838, ' ': -3.7023134, 'No': -3.233931}
{' No': -2.3088918, '\n': -5.51771, ' ': -5.3923244, ' Yes': -0.12308359, 'Yes': -5.413714}
{' No': -0.1598674, '\n': -4.9147787, ' ': -6.05296, 'No': -4.104731, ' Yes': -2.1248791}
{' No': -0.37252548, '\n': -1.8760846, ' ': -4.4896803, 'No': -1.9567368, ' no': -6.5215225}
{' No': -0.26112366, ' Tigers': -6.529031, '\n': -2.1740532, ' ': -4.3433332, 'No': -2.332651}
{' No': -4.591493, '\n': -4.3825603, ' Yes': -0.10949657, ' yes': -2.7800975, 'Yes': -4.382829}
{' No': -0.4061516, '\n': -3.4143512, ' ': -4.5325766, 'No': -3.5486362, ' Yes': -1.468684}
{' No': -2.2344437, '\n': -3.8136024, ' ': -4.980282, ' Yes': -0.15169737, 'Yes': -5.9774003}
{' No': -0.17400432, '\n': -3.1518195, ' ': -4.696614, 'No': -5.172976, ' Yes': -2.2968013}
{' No': -0.27803668, '\n': -1.9826417, ' ': -4.1005216, 'No': -3.7056448, ' Yes': -2.825066}
{' No': -0.35170832, '\n': -1.4283456, ' ': -3.9150662, 'No': -3.7104042, ' Yes': -4.7352624}
{' No': -0.21555828, '\n': -2.1429017, ' ': -3.9609365, 'No': -3.6728754, ' Yes': -3.867694}
{' No': -0.40653867, ' Tigers': -4.261622, '\n': -1.3141506, ' ': -3.5541577, 'No': -4.0780435}
{' No': -0.2824648, '\n': -2.988275, ' ': -3.6454446, 'No': -5.339399, ' Yes': -1.836952}
{' No': -0.27076036, '\n': -1.9415158, ' ': -3.4136684, 'No': -4.3486695, ' Yes': -3.1581254}
{' No': -0.07481095, '\n': -3.706885, 'No': -3.8030612, ' A': -5.0370264, ' Yes': -4.447499}
{' No': -0.07380447, ' Tigers': -5.3094916, '\n': -3.3436084, ' ': -4.6588206, 'No': -3.879766}
{' No': -1.7333262, '\n': -3.0056365, ' ': -3.7864554, ' A': -4.4394073, ' Yes': -0.32522422}
{' No': -0.7287183, ' Tigers': -3.4183965, '\n': -2.7953935, ' ': -3.855208, ' Yes': -0.9927812}
{' No': -0.02714143, ' Generally': -6.6453395, 'No': -3.8326657, ' A': -6.5157194, ' Yes': -6.5337152}
{' No': -0.024970045, ' Tigers': -5.321082, ' ': -8.064842, ' Generally': -6.8922253, 'No': -4.038539}
{' No': -0.07311104, ' ': -7.6494503, ' Generally': -8.373386, 'No': -2.6727202, ' A': -7.9241576}
{' No': -0.070386656, ' Tigers': -6.33616, ' ': -7.049682, ' Generally': -8.639265, 'No': -2.7355134}
{' No': -0.08879208, '\n': -6.933964, ' ': -6.5659437, 'No': -2.5084164, ' A': -7.699343}
{' No': -0.07799878, ' Tigers': -5.3511825, '\n': -6.4502115, ' ': -5.7649946, 'No': -2.7359521}
{' No': -0.025252422, ' Tigers': -8.171027, ' Generally': -8.189024, 'No': -3.7498157, ' A': -7.658679}
{' No': -0.03049434, ' Tigers': -5.161491, ' ': -7.8936925, ' Generally': -7.963264, 'No': -3.759727}
{' No': -0.1577488, '\n': -6.6971025, ' ': -5.8898387, 'No': -1.9814278, ' A': -6.7728686}
{' No': -0.124210455, ' Tigers': -5.108058, '\n': -5.2044086, ' ': -4.9451513, 'No': -2.3584175}
{' No': -0.081595466, ' Tigers': -5.232091, 'No': -2.8485022, ' A': -5.333105, ' Yes': -5.678145}
{' No': -0.11109501, ' Tigers': -4.2223754, ' ': -5.8496766, ' Generally': -7.278476, 'No': -2.4801154}
{' No': -0.0079482775, '\n': -7.2289295, ' ': -6.771832, 'No': -5.20199, ' A': -7.8501825}
{' No': -0.011851789, ' Tigers': -6.9055514, '\n': -6.6421175, ' ': -6.5239935, 'No': -4.8584285}
{' No': -0.07067345, '\n': -5.991366, ' ': -6.3140965, 'No': -2.7808154, ' A': -6.5520267}
{' No': -0.03523341, ' Tigers': -5.897372, '\n': -7.0415435, ' ': -6.1523232, 'No': -3.5569692}
{' No': -0.13440461, '\n': -3.2479053, ' ': -4.9021525, 'No': -2.5863776, ' A': -5.7392683}
{' No': -0.27056628, ' Tigers': -4.721574, '\n': -2.0039666, ' ': -3.9103653, 'No': -2.6347344}
{' No': -0.0136006605, '\n': -9.114081, ' ': -7.0950766, 'No': -4.392419, ' A': -8.973123}
{' No': -0.014384383, ' Tigers': -7.965901, '\n': -9.300107, ' ': -7.5536904, 'No': -4.323352}
{' No': -0.22627452, '\n': -4.486806, ' ': -4.723811, 'No': -1.7285919, ' A': -5.7868304}
{' No': -0.21180016, ' Tigers': -6.3467526, '\n': -4.2054715, ' ': -4.417896, 'No': -1.8279861}
{' No': -0.04525927, '\n': -7.2294135, ' ': -5.896437, 'No': -3.3873308, ' A': -5.3513217}
{' No': -0.06525679, ' Tigers': -4.386288, '\n': -6.440196, ' ': -5.415046, 'No': -3.1880915}
{' No': -0.14579643, 'No': -2.1331391, ' A': -4.804313, ' Yes': -6.0912604, ' no': -6.493959}
{' No': -0.14328644, ' Tigers': -4.5254016, '\n': -6.237679, ' ': -6.107269, 'No': -2.171769}
{' No': -0.1799809, ' ': -7.5045137, 'No': -1.8093717, 'no': -9.390549, ' no': -8.824281}
{' No': -0.15653779, ' Tigers': -7.706054, ' ': -7.7321815, ' Generally': -8.932057, 'No': -1.9412801}
{' No': -0.22470726, ' ': -6.742116, 'No': -1.620257, ' A': -8.032774, ' Yes': -6.9355817}
{' No': -0.16868427, ' Tigers': -5.7836013, ' ': -6.262973, 'No': -1.922867, ' Yes': -6.1851726}
{' No': -0.031953823, ' ': -8.2497225, 'No': -3.4779336, ' A': -9.315374, ' no': -9.437951}
