{' No': -0.21113746, ' Yes': -1.686834, 'No': -5.565593, ' Not': -7.585437, 'Yes': -7.616578}
{' Yes': -0.0016742795, 'Yes': -6.9839325, ' No': -8.207772, ' The': -8.729672, '\n': -8.826045}
{' Yes': -0.59175754, ' No': -0.8099868, ' The': -7.8435407, 'No': -7.8785233, 'Yes': -8.015453}
{' Yes': -0.3594001, ' No': -1.2024214, 'Yes': -7.7575336, 'No': -8.280521, ' The': -8.452551}
{' Yes': -0.004225858, ' No': -5.874558, 'Yes': -6.9107494, ' yes': -8.841005, ' The': -8.959261}
{' Yes': -0.010155833, ' No': -4.8631983, 'Yes': -6.9232106, ' The': -7.033389, ' yes': -8.586022}
{' No': -0.0012775599, 'No': -7.5543966, ' Yes': -8.169881, '\n': -8.329394, ' ': -9.006433}
{' No': -0.0014813296, 'No': -6.649409, '\n': -9.637079, ' Yes': -9.970085, ' ': -10.064584}
{' Unt': -0.24941759, ' Un': -2.021949, ' False': -3.4237225, ' ': -3.7143812, 'Unt': -3.981765}
{' No': -0.0037030203, ' False': -6.0868783, ' Yes': -6.916767, 'No': -8.548397, ' ': -9.076868}
{' Yes': -0.002283574, 'Yes': -6.59878, ' yes': -8.188059, '\n': -8.246838, ' No': -8.787918}
{' Yes': -0.003229488, ' No': -6.17288, 'Yes': -7.624416, ' ': -8.500338, ' The': -8.6166935}
{' Yes': -0.499124, ' No': -1.1057105, ' Spice': -2.9238446, ' Sp': -5.749311, 'Yes': -6.211279}
{' Yes': -0.0016437114, ' No': -7.1476545, 'Yes': -7.1920557, ' yes': -10.546189, ' ': -10.5531}
{' Yes': -0.00033617954, 'Yes': -8.305771, ' yes': -10.023935, ' ': -10.643232, ' YES': -11.645516}
{' Yes': -0.0009024769, 'Yes': -7.444927, ' yes': -9.229717, ' No': -9.468127, ' ': -9.628369}
{' Yes': -0.030767089, ' No': -3.5490031, 'Yes': -7.458289, ' Crack': -8.172021, ' The': -8.43028}
{' Yes': -0.01807897, ' No': -4.101239, 'Yes': -7.0823164, ' ': -8.516423, ' The': -8.998885}
{' Yes': -0.008949952, ' No': -5.6193795, 'Yes': -6.1570916, '\n': -6.3953247, ' ': -7.6453795}
{' Yes': -0.021451361, ' No': -4.0399413, 'Yes': -6.740167, ' Ar': -7.1582165, ' The': -7.523768}
{' Yes': -0.0018914512, ' No': -6.6415186, 'Yes': -8.014247, ' The': -9.192307, ' yes': -9.424062}
{' Yes': -0.000846937, 'Yes': -7.7101345, ' No': -8.6387615, ' yes': -9.108858, ' The': -10.076893}
{' Yes': -0.06054078, ' No': -3.2171378, ' Early': -4.3284965, 'Yes': -6.151187, ' Earl': -7.520789}
{' Yes': -0.001339094, 'Yes': -7.584739, ' yes': -7.8307014, ' The': -8.245221, ' No': -9.446782}
{' Yes': -0.0041198554, ' No': -5.7291427, 'Yes': -7.280275, ' yes': -9.872407, ' The': -10.099682}
{' Yes': -0.0060037035, ' No': -5.257512, 'Yes': -7.284776, ' yes': -10.113835, '\n': -11.018844}
{' No': -0.43895847, ' Yes': -1.0485756, ' Ocean': -5.7828765, ' The': -7.2153196, 'No': -7.7159986}
{' No': -0.17257941, ' Yes': -1.9057167, ' Ocean': -4.883602, 'No': -6.690892, ' The': -8.168894}
{' No': -0.09329627, ' Yes': -2.4514887, 'No': -6.2685776, ' ': -7.9749184, ' The': -8.118486}
{' Yes': -0.052548483, ' No': -3.0051374, 'Yes': -6.986661, ' The': -7.9614954, '\n': -9.053874}
{' Yes': -0.0034829439, ' No': -5.891351, 'Yes': -7.3152943, ' yes': -10.512805, '\n': -11.864393}
{' Yes': -0.0017260432, ' No': -6.804704, 'Yes': -7.861458, ' The': -9.255692, ' yes': -9.482096}
{' Yes': -0.013032137, ' No': -4.5397043, ' The': -6.8332925, 'Yes': -7.2139535, ' yes': -8.907268}
{' Yes': -0.00077213027, 'Yes': -7.3744445, ' No': -9.364566, ' yes': -10.303479, ' YES': -11.834316}
{' Yes': -0.0082116425, ' No': -4.9077916, 'Yes': -7.943903, ' The': -8.325813, ' yes': -9.139816}
{' Yes': -0.017098002, ' No': -4.275368, ' Guard': -6.3226876, 'Yes': -7.692625, ' yes': -8.254849}
{' Yes': -0.004086699, ' No': -6.36688, 'Yes': -6.66153, ' Sweet': -7.070042, ' ': -9.44732}
{' Yes': -0.0016792956, 'Yes': -6.87542, ' No': -7.7216725, ' yes': -9.204104, ' The': -10.287712}
{' Yes': -0.000597132, 'Yes': -7.6527553, ' No': -9.507071, ' yes': -10.587105, ' ': -11.647399}
{' Yes': -0.07779027, ' No': -2.6318884, 'Yes': -6.2593927, 'No': -8.251021, '\n': -8.348698}
{' Yes': -0.0025287804, ' No': -6.5189605, 'Yes': -7.136911, ' yes': -8.926133, '\n': -10.086448}
{' Yes': -0.1961698, ' No': -1.7311486, 'Yes': -7.602204, ' The': -8.88516, ' yes': -9.08157}
{' No': -0.28359425, ' Yes': -1.404524, 'No': -7.406296, 'Yes': -8.404736, ' The': -8.409872}
{' Yes': -0.40210518, ' No': -1.1072215, 'Yes': -7.9451404, 'No': -8.60146, ' ': -10.287909}
{' Yes': -0.0049484214, ' No': -5.661024, 'Yes': -6.896744, ' yes': -8.758011, ' The': -8.876844}
{' Yes': -0.002040156, ' No': -6.8823137, 'Yes': -7.160121, ' yes': -9.573606, '\n': -9.994866}
{' Yes': -0.04471242, ' No': -3.1606102, 'Yes': -7.618553, ' The': -7.977344, '\n': -8.514717}
{' Yes': -0.04063889, ' No': -3.274102, ' The': -7.267621, 'Yes': -7.326573, ' yes': -8.100466}
{' Yes': -0.2587251, ' No': -1.4825486, 'Yes': -7.584874, ' yes': -9.047566, 'No': -9.251376}
{' Yes': -0.0030679847, ' No': -6.2571397, 'Yes': -7.1872435, ' yes': -8.400369, ' The': -9.540885}
{' Yes': -0.00072071474, 'Yes': -7.891546, ' The': -9.080651, ' yes': -9.221999, ' No': -9.314231}
{' Yes': -0.0011565931, 'Yes': -6.97192, ' yes': -9.432728, ' No': -9.495287, '\n': -10.711613}
{' Yes': -0.30378395, ' No': -1.3422648, 'Yes': -8.065969, ' The': -9.342668, 'No': -9.484972}
{' Yes': -0.069478005, ' No': -2.7153537, 'Yes': -7.6075444, ' The': -8.676318, ' yes': -9.356526}
{' Yes': -0.00041208262, 'Yes': -8.070309, ' yes': -10.55649, ' ': -10.925859, ' No': -11.040085}
{' Yes': -0.005455605, ' No': -5.503918, ' The': -7.460345, 'Yes': -7.5497136, ' yes': -9.077645}
{' Yes': -0.010132469, ' Rough': -4.690163, 'Yes': -7.694008, ' ': -8.738841, ' No': -8.778686}
{' Yes': -0.043676842, ' No': -3.6436942, ' Rough': -4.173363, 'Yes': -7.4100003, ' ': -8.1799}
{' Yes': -0.0017207896, 'Yes': -6.5330563, ' yes': -8.941288, ' YES': -10.098953, '\n': -10.202799}
{' Yes': -0.0017950686, 'Yes': -7.025434, ' No': -7.4544005, ' yes': -8.965122, '\n': -9.279018}
{' Yes': -0.0008072649, 'Yes': -7.491282, ' No': -8.775906, ' yes': -9.709578, '\n': -11.496008}
{' Yes': -0.088300005, ' No': -2.4795945, 'Yes': -7.577088, ' yes': -9.190888, 'No': -10.043992}
{' Yes': -0.030375933, ' No': -3.580192, 'Yes': -6.751083, ' The': -7.582896, ' yes': -8.495938}
{' Yes': -0.11540346, ' No': -2.2464173, 'Yes': -6.358281, ' The': -7.2505937, ' yes': -8.405517}
{' Yes': -0.0009521147, 'Yes': -7.350029, ' The': -9.413395, ' Store': -9.480091, ' yes': -9.961622}
{' Yes': -0.00043366966, 'Yes': -8.090494, ' yes': -9.844483, '\n': -10.530308, ' ': -10.669595}
{' Yes': -0.002547664, ' No': -6.526143, 'Yes': -7.4089537, ' The': -8.368453, ' yes': -9.335357}
{' Yes': -0.0010238267, 'Yes': -7.3642282, ' No': -8.271892, ' yes': -9.694781, ' ': -10.627429}
{' Yes': -0.06777874, ' No': -2.739566, 'Yes': -7.5822783, ' yes': -8.654674, '\n': -9.3754225}
{' Yes': -0.004713396, ' No': -5.5528264, 'Yes': -7.414999, ' yes': -9.415836, ' Parts': -9.779966}
{' Yes': -0.008887106, ' No': -5.14407, ' The': -6.4284043, 'Yes': -6.85936, ' yes': -8.712953}
{' Yes': -0.03281063, ' No': -3.637055, 'Yes': -5.8751493, ' Sh': -6.85721, ' Sho': -6.9853616}
{' Yes': -0.0019932704, 'Yes': -6.462805, ' Sy': -9.010565, ' No': -9.066086, ' ': -9.084196}
{' Yes': -0.0024927494, 'Yes': -6.7522907, ' No': -6.9545765, ' yes': -8.921043, ' Sy': -9.158586}
{' Yes': -0.0006650631, 'Yes': -7.7357574, ' yes': -9.535998, ' No': -9.757007, '\n': -10.148505}
{' Yes': -0.0006126357, 'Yes': -7.891416, ' yes': -9.04409, ' ': -10.1430855, ' No': -10.291307}
{' Yes': -0.007936561, ' No': -4.922905, 'Yes': -7.75626, ' yes': -9.278147, ' The': -9.752975}
{' Yes': -0.005070925, ' No': -5.568473, 'Yes': -7.312188, ' yes': -8.1982565, '\n': -9.075131}
{' Yes': -0.0008249228, 'Yes': -7.200442, ' No': -10.092312, ' yes': -10.5909815, ' ': -12.121036}
{' Yes': -0.0059987297, ' No': -5.266033, 'Yes': -7.2210536, ' yes': -10.3129635, ' The': -10.911571}
{' Yes': -0.0023457662, ' No': -7.03849, 'Yes': -7.4589796, ' Arrow': -7.5454187, ' ': -8.911844}
{' Yes': -0.0008332749, 'Yes': -7.6133204, ' No': -8.938697, ' The': -9.485898, ' yes': -9.93332}
{' Yes': -0.019952163, ' No': -3.9867852, 'Yes': -7.4237604, ' The': -8.143867, ' yes': -8.855823}
{' Yes': -0.0111182025, ' No': -4.6265106, 'Yes': -7.1773086, ' yes': -8.567871, ' The': -8.764357}
{' Yes': -0.0008564793, 'Yes': -7.4587665, ' No': -8.767527, ' yes': -9.565791, ' The': -10.756958}
{' Yes': -0.0006397749, 'Yes': -8.084892, ' No': -8.301617, ' yes': -10.352184, ' ': -11.07629}
{' Yes': -0.0016693826, 'Yes': -7.0341554, ' No': -7.83749, ' The': -8.667009, ' Heart': -9.345978}
{' Yes': -0.0135355275, ' Heart': -4.5622187, ' No': -6.390069, 'Yes': -7.078168, ' The': -8.878306}
{' Yes': -0.002960194, ' No': -5.9990883, 'Yes': -7.945642, ' The': -10.03689, ' yes': -10.275667}
{' Yes': -0.00042019345, 'Yes': -7.9837284, ' ': -10.876347, ' Horse': -11.207478, ' yes': -11.302784}
{' No': -0.028258534, ' Yes': -3.6476257, 'No': -6.4424047, ' The': -9.51792, ' ': -9.737907}
{' Yes': -0.05764502, ' No': -2.9416592, 'Yes': -6.4563074, ' The': -6.7618694, 'No': -8.875117}
{' Yes': -0.046872612, ' No': -3.1815884, 'Yes': -5.712065, ' Pizza': -7.599959, 'No': -8.174365}
{' Yes': -0.52766114, ' No': -0.89896286, 'Yes': -6.4462357, 'No': -6.6490884, ' yes': -10.06937}
{' Yes': -0.0024473355, 'Yes': -6.2450275, ' The': -8.049263, ' yes': -9.286177, ' ': -10.673452}
{' Yes': -0.002131783, 'Yes': -6.201429, ' yes': -9.808917, ' ': -11.200276, ' The': -11.275468}
{' Yes': -0.016090138, ' Laugh': -4.7148337, ' No': -5.7180986, 'Yes': -6.341565, ' G': -7.166187}
{' Yes': -0.0011511039, 'Yes': -6.92812, ' yes': -9.314005, ' No': -10.704517, ' ': -10.793958}
{' Yes': -0.0031543847, 'Yes': -6.3852606, ' No': -6.700356, ' yes': -9.401988, ' The': -9.451146}
{' Yes': -0.0024607198, ' No': -6.6798325, 'Yes': -6.8613048, ' yes': -9.827379, ' The': -10.539293}
{' Yes': -0.021090368, ' No': -3.9507911, 'Yes': -6.580347, ' The': -9.200283, ' yes': -10.0642}
{' Yes': -0.0025361339, 'Yes': -6.6931696, ' No': -6.9099646, ' The': -8.839847, ' yes': -9.383693}
{' Yes': -0.0022410983, 'Yes': -6.158102, ' yes': -10.000505, ' The': -10.421738, ' ': -11.432528}
{' Yes': -0.0027918632, 'Yes': -6.1674376, ' No': -7.957843, ' Plane': -8.6900835, ' yes': -9.510921}
{' Yes': -0.007878947, ' Found': -5.287042, 'Yes': -6.433309, ' No': -7.400253, ' The': -8.824724}
{' Yes': -0.0020656027, 'Yes': -6.727388, ' No': -7.808629, ' The': -8.416923, ' yes': -9.287857}
{' Yes': -0.0014258779, 'Yes': -6.812896, ' Uncle': -8.464213, ' yes': -9.8624735, ' ': -10.279004}
{' Yes': -0.0014056433, 'Yes': -6.8736835, ' No': -8.632037, ' yes': -9.36239, ' The': -9.672265}
{' Yes': -0.16130877, ' No': -1.9245896, ' The': -6.6575, 'Yes': -6.772995, 'No': -8.002394}
{' Yes': -0.019409012, ' No': -4.059646, 'Yes': -6.3871856, ' The': -9.598564, 'No': -9.709633}
{' Yes': -0.0017778117, 'Yes': -6.5737286, ' The': -8.993479, ' yes': -9.114382, '\n': -9.804279}
{' Yes': -0.0016640708, 'Yes': -6.5311017, ' yes': -9.186541, ' YES': -10.347865, ' The': -10.781038}
{' Yes': -0.033797514, ' No': -3.4533777, 'Yes': -6.7800455, ' The': -8.1409235, ' yes': -9.700639}
{' Yes': -0.0034003465, ' No': -6.1588583, 'Yes': -6.860516, ' yes': -9.346453, ' The': -9.454892}
{' Yes': -0.016512467, ' No': -4.417805, 'Yes': -5.6550446, ' The': -7.910597, ' ': -9.135498}
{' Yes': -0.013723625, ' No': -4.858961, 'Yes': -5.9091315, ' The': -5.9448357, '\n': -8.4692}
{' Yes': -0.1568138, ' No': -1.9420828, 'Yes': -6.8216524, 'No': -8.283198, ' The': -8.6751795}
{' Yes': -0.0023464833, 'Yes': -6.619869, ' No': -7.3063946, ' The': -9.38121, ' Short': -9.422297}
{' Yes': -0.0028348994, 'Yes': -5.991688, ' No': -8.787176, ' yes': -9.440523, ' ': -10.125172}
{' Yes': -0.02536839, ' No': -3.7981057, 'Yes': -6.1627197, ' yes': -8.629955, ' The': -8.882589}
{' Yes': -0.4573271, ' No': -1.0122797, ' The': -6.484022, 'Yes': -6.860741, 'No': -7.344712}
{' No': -0.11217672, ' Yes': -2.2778049, 'No': -5.9921646, ' The': -7.8309994, 'Yes': -8.345992}
{' Yes': -0.0014514871, 'Yes': -6.696201, ' The': -9.068191, ' yes': -9.847224, ' No': -10.923008}
{' Yes': -0.0007945584, 'Yes': -7.257022, ' yes': -9.719716, ' YES': -11.5720215, ' The': -11.585156}
{' Yes': -0.0020133997, 'Yes': -6.493138, ' No': -8.038766, ' yes': -9.578314, '\n': -10.077007}
{' No': -0.09190201, ' Yes': -2.463545, 'No': -6.12673, 'Yes': -8.543737, ' ': -8.939346}
{' Yes': -0.0014878974, 'Yes': -6.6280303, ' yes': -9.642069, ' The': -10.225708, ' ': -10.526758}
{' Yes': -0.0009999595, 'Yes': -6.9933224, ' yes': -10.069048, ' The': -11.356287, ' No': -11.585033}
{' Yes': -0.001858009, 'Yes': -6.4202266, ' No': -9.477102, ' The': -9.770853, ' yes': -9.868698}
{' Yes': -0.03850134, ' No': -3.3354945, 'Yes': -6.329974, 'No': -9.200973, ' ': -9.209516}
{' Yes': -0.037000056, ' No': -3.363847, 'Yes': -6.540076, 'No': -9.239791, ' The': -9.365125}
{' Yes': -0.011149305, ' No': -4.669152, 'Yes': -6.5292625, ' yes': -9.117099, ' ': -9.9483385}
{' Yes': -0.018479498, ' No': -4.147874, 'Yes': -6.093699, ' The': -9.265672, ' yes': -9.904023}
{' Yes': -0.0019990054, 'Yes': -6.2477016, ' yes': -10.704468, ' The': -11.194603, ' YES': -11.451281}
{' Yes': -0.029142259, ' No': -3.61705, 'Yes': -6.4370565, 'No': -9.394723, ' The': -9.523941}
{' Yes': -0.0052338876, ' No': -5.534794, 'Yes': -6.923034, ' The': -8.902729, ' yes': -9.767752}
{' Yes': -0.0015592938, 'Yes': -6.7204432, ' No': -8.244511, ' yes': -10.135077, ' Shirt': -11.049227}
{' Yes': -0.0009476983, 'Yes': -7.0562735, ' yes': -10.369451, ' No': -10.402331, ' The': -11.794682}
{' Yes': -0.045195907, ' No': -3.1616108, 'Yes': -6.4383287, ' The': -9.42068, 'No': -9.516734}
{' Yes': -0.012476735, ' No': -4.5662756, 'Yes': -6.543753, ' The': -7.7182236, '\n': -10.503998}
{' Yes': -0.003408539, 'Yes': -6.3344493, ' The': -7.215467, '\n': -8.106121, ' No': -8.392586}
{' Yes': -0.08494526, ' Board': -2.859485, ' No': -4.222093, 'Yes': -5.571503, ' The': -6.5796676}
{' Yes': -0.0042669214, 'Yes': -5.8916836, ' No': -7.0853996, ' The': -7.817741, ' yes': -8.900927}
{' Yes': -0.007938604, ' No': -5.030428, 'Yes': -6.9357333, ' The': -8.557127, ' yes': -8.946365}
{' Yes': -0.015013628, ' No': -4.317136, 'Yes': -6.702498, ' The': -8.833686, ' yes': -9.524053}
{' Yes': -0.06304196, ' No': -2.8646374, 'Yes': -6.099703, ' The': -6.9505005, '\n': -8.069567}
{' Yes': -0.0016437114, 'Yes': -6.6776953, ' No': -8.296725, ' yes': -9.537639, ' The': -10.367349}
{' Yes': -0.2280751, ' No': -1.601532, 'Yes': -6.7740054, ' The': -7.5983024, 'No': -7.598673}
{' Yes': -0.043817945, ' No': -3.173302, 'Yes': -7.10223, ' The': -9.941404, ' yes': -10.114498}
{' Yes': -0.0022874572, ' No': -6.773043, 'Yes': -6.8696365, ' yes': -9.66778, ' ': -10.943459}
{' Yes': -0.17416236, ' No': -1.8436894, 'Yes': -7.146431, ' The': -7.9629917, 'No': -8.532982}
{' Yes': -0.0026529026, 'Yes': -6.7299576, ' No': -6.738062, ' The': -8.770463, ' yes': -9.683763}
{' Yes': -0.0015208486, 'Yes': -6.719059, ' No': -8.7141075, ' The': -9.766222, ' yes': -9.843676}
{' Yes': -0.044635944, ' Women': -3.1962395, 'Yes': -6.6504693, ' ': -7.2105236, ' No': -7.911913}
{' Yes': -0.010584945, 'Yes': -5.148816, ' No': -5.581561, ' yes': -8.141057, ' The': -8.93824}
{' Yes': -0.006636223, ' No': -5.3824944, 'Yes': -6.4998574, ' yes': -8.318131, '\n': -8.969864}
{' Yes': -0.4608411, ' No': -1.0027094, 'Yes': -6.910348, 'No': -7.2112055, ' The': -7.9709673}
{' Yes': -0.0022881734, 'Yes': -6.67657, ' No': -7.3394556, ' The': -8.665364, ' yes': -9.18941}
{' Yes': -0.0020871616, ' No': -6.7110963, 'Yes': -7.1899247, ' The': -10.116005, ' yes': -10.680836}
{' Yes': -0.043118097, ' No': -3.1939816, 'Yes': -6.990878, ' The': -9.628559, ' yes': -9.68071}
{' Yes': -0.0009865378, 'Yes': -6.981024, ' yes': -10.273161, ' ': -11.635366, ' The': -12.135779}
{' Yes': -0.0015477728, 'Yes': -6.513842, ' yes': -10.062175, ' ': -11.688747, '\n': -12.226893}
{' Yes': -0.029602246, ' No': -3.5939715, 'Yes': -6.634229, ' ': -8.717244, 'No': -9.768963}
{' Yes': -0.0015858605, 'Yes': -6.969262, ' No': -7.5242043, ' yes': -9.646545, ' ': -11.153931}
{' No': -0.1279693, ' Yes': -2.1335998, 'No': -6.9028826, ' ': -8.794349, ' The': -8.93139}
{' No': -0.16455394, ' Yes': -1.9100085, 'No': -5.9912696, 'Yes': -7.928252, ' The': -8.118365}
{' No': -0.004359589, ' Yes': -6.1176677, 'No': -6.2024245, ' ': -9.9578495, '\n': -10.45737}
{' No': -0.34215853, ' Yes': -1.2544854, 'No': -6.4753394, ' The': -6.8007936, 'Yes': -7.5052214}
{' Yes': -0.007562412, ' No': -5.113479, 'Yes': -6.6277175, ' yes': -9.361187, ' The': -10.161994}
{' Yes': -0.004447535, ' No': -5.927808, 'Yes': -6.644922, ' yes': -8.729539, ' The': -8.771226}
{' Yes': -0.004503697, 'Yes': -5.969725, ' No': -6.3981576, ' yes': -9.640753, ' The': -9.665304}
{' Yes': -0.10415398, ' No': -2.3560574, 'Yes': -5.8534975, ' The': -7.60665, 'No': -8.0616865}
{' No': -0.0070528984, 'No': -4.9797015, ' Yes': -9.73891, ' ': -9.746076, ' no': -11.137338}
{' Yes': -0.5503825, ' No': -0.86533153, 'No': -7.1329155, 'Yes': -7.225549, ' The': -7.5710487}
{' Yes': -0.010560187, ' No': -4.8640223, 'Yes': -6.5044413, ' The': -7.546132, ' yes': -8.413882}
{' Yes': -0.033228125, ' No': -3.4768603, 'Yes': -7.1065116, ' The': -7.576368, ' yes': -8.980571}
{' Yes': -0.06812993, ' No': -2.7419236, 'Yes': -7.1672645, ' The': -8.014949, 'No': -9.114108}
{' Yes': -0.0014199099, 'Yes': -6.927972, ' No': -8.395938, ' yes': -9.224896, ' The': -9.852061}
{' Yes': -0.6298777, ' No': -0.76565224, 'No': -7.0006185, 'Yes': -7.1397934, ' The': -8.0161}
{' Yes': -0.0024631117, ' No': -6.659253, 'Yes': -6.874224, ' yes': -9.437428, ' The': -10.847495}
{' Yes': -0.046739012, ' No': -3.1275399, 'Yes': -6.7236433, ' The': -7.893918, 'No': -9.465959}
{' Yes': -0.413149, ' No': -1.091574, 'Yes': -6.664142, 'No': -6.8794384, ' The': -8.723815}
{' Yes': -0.1254321, ' No': -2.1578133, 'Yes': -6.498318, ' The': -7.9221716, 'No': -8.18233}
{' Yes': -0.04970721, ' No': -3.0922942, 'Yes': -6.2497897, ' The': -7.543872, 'No': -8.649425}
{' Yes': -0.06885153, ' No': -2.7235947, 'Yes': -7.3916717, 'No': -9.655791, ' The': -9.923221}
{' Yes': -0.004016438, ' No': -6.053258, 'Yes': -6.498748, ' yes': -9.894681, ' The': -10.002272}
{' Yes': -0.0015494456, 'Yes': -6.5440927, ' yes': -10.235356, ' ': -10.294299, ' The': -11.165378}
{' Yes': -0.0017761398, 'Yes': -6.45695, ' yes': -9.488724, ' The': -9.732212, ' YES': -10.785818}
{' Yes': -0.002116789, 'Yes': -6.5244074, ' E': -8.558007, ' yes': -8.735275, ' YES': -8.978101}
{' No': -0.76628864, ' Yes': -1.1278647, 'rupt': -2.4702375, ' E': -3.3884542, ' erupt': -4.1778936}
{' Yes': -0.001202663, 'Yes': -6.8482122, ' yes': -9.555142, ' The': -10.569118, '\n': -10.634961}
{' Yes': -0.0014164473, 'Yes': -6.691815, ' No': -9.745925, ' yes': -9.80424, ' The': -10.263774}
{' Yes': -0.0049088853, ' No': -5.651843, 'Yes': -6.8577933, ' The': -8.384849, ' yes': -10.285958}
{' Yes': -0.041836515, ' No': -3.2371185, 'Yes': -6.8116307, ' The': -8.052132, ' yes': -9.308958}
{' Yes': -0.13245498, ' No': -2.0973501, 'Yes': -7.293219, 'No': -8.856938, ' ': -9.139944}
{' Yes': -0.0116291335, ' No': -4.6089683, 'Yes': -6.7087727, ' The': -8.764397, ' yes': -9.407728}
{' Yes': -0.020558096, ' Still': -4.0479646, 'Yes': -6.341925, ' No': -7.3738937, ' yes': -8.724545}
{' Yes': -0.0026992795, 'Yes': -6.836914, ' No': -7.205335, ' The': -7.5690346, ' yes': -8.592987}
{' Yes': -0.01642382, ' No': -4.2953963, 'Yes': -6.010755, '\n': -9.545943, 'No': -9.550324}
{' Yes': -0.0016626373, 'Yes': -6.555112, ' No': -8.583595, ' yes': -10.333289, ' ': -12.102906}
{' Yes': -0.0014209846, 'Yes': -6.646724, ' The': -9.931606, ' yes': -10.223974, ' YES': -11.66763}
{' Yes': -0.0015135065, 'Yes': -6.7348638, ' The': -9.092406, ' yes': -9.582638, ' No': -9.794902}
{' No': -0.08942438, ' Yes': -2.4954891, 'No': -6.038063, ' The': -8.261779, ' ': -8.942342}
{' No': -0.6490575, ' Yes': -0.7447205, 'No': -6.6862297, 'Yes': -7.254301, ' The': -8.268021}
{' Yes': -0.0048286854, ' No': -6.0630307, 'Yes': -6.180533, ' The': -8.510374, ' yes': -9.162042}
{' Yes': -0.004899659, ' No': -6.14496, 'Yes': -6.4557815, ' The': -7.058067, ' yes': -8.812397}
{' No': -0.003057761, 'No': -6.114761, '\n': -8.028542, ' Yes': -8.451851, ' ': -8.686501}
{' No': -0.0031610818, 'No': -5.8561635, '\n': -9.257348, ' Yes': -9.363916, ' ': -9.700887}
{' Unt': -0.7305798, ' Un': -1.4453356, ' ': -2.263638, 'Unt': -2.6154826, ' False': -3.3646472}
{' No': -0.026824785, ' Yes': -3.672468, 'No': -7.298045, ' False': -8.619111, ' ': -9.521342}
{' Yes': -0.00319917, 'Yes': -6.0107174, ' The': -8.193916, ' yes': -8.476593, ' No': -9.005726}
{' Yes': -0.0024914343, 'Yes': -6.6504154, ' No': -7.1092496, ' The': -8.617151, ' yes': -9.414322}
{' Yes': -0.2910049, ' No': -1.4221541, ' Spice': -5.0366044, 'Yes': -6.0210104, ' ': -7.2796526}
{' Yes': -0.0030116665, 'Yes': -6.2709675, ' No': -6.9664683, ' yes': -9.6402235, ' ': -10.452311}
{' Yes': -0.00077630725, 'Yes': -7.2583256, ' yes': -10.137106, ' ': -11.061779, ' YES': -11.6244755}
{' Yes': -0.0015076578, 'Yes': -6.629605, ' yes': -9.559488, ' ': -9.787321, ' YES': -10.80792}
{' Yes': -0.005175529, ' No': -5.498614, 'Yes': -7.120152, ' The': -8.941829, ' yes': -9.715862}
{' Yes': -0.104348406, ' No': -2.3677301, 'Yes': -5.729882, 'No': -7.1789136, ' The': -7.333541}
{' Yes': -0.02113779, 'Yes': -4.347996, '\n': -5.878847, ' No': -6.1587496, ' The': -6.7963934}
{' Yes': -0.0025117514, 'Yes': -6.435401, ' No': -7.274968, ' yes': -9.413999, ' The': -9.434163}
{' Yes': -0.0015639514, 'Yes': -7.0087337, ' No': -7.5534086, ' yes': -9.847791, ' The': -9.900921}
{' Yes': -0.0012255172, 'Yes': -7.0036306, ' No': -8.953001, ' yes': -9.371562, ' The': -9.829417}
{' Yes': -0.023996964, ' No': -4.2228646, 'Yes': -5.4832654, ' Early': -5.7298055, ' ': -7.6259027}
{' Yes': -0.0016534413, 'Yes': -6.8890777, ' No': -7.824466, ' yes': -9.005241, ' The': -10.048545}
{' Yes': -0.0025212516, 'Yes': -6.450044, ' No': -7.142877, ' The': -9.940983, ' yes': -10.066716}
{' Yes': -0.0051756483, ' No': -5.6882424, 'Yes': -6.397061, ' yes': -10.235262, '\n': -10.4426985}
{' Yes': -0.5271997, ' No': -0.89770794, 'Yes': -7.2321095, 'No': -7.248139, ' The': -7.35492}
{' No': -0.1932589, ' Yes': -1.7625986, 'No': -5.976767, ' The': -7.371752, 'Yes': -8.000615}
{' No': -0.23983511, ' Yes': -1.5724672, 'No': -5.52584, ' The': -7.3173704, 'Yes': -7.351441}
{' No': -0.3541307, ' Yes': -1.2245207, 'No': -6.194348, ' The': -6.907517, 'Yes': -7.248584}
{' Yes': -0.0026197357, 'Yes': -6.1328244, ' No': -7.8519297, ' yes': -10.433335, '\n': -11.288399}
{' Yes': -0.0045004026, ' No': -5.7796655, 'Yes': -6.7451506, ' The': -9.510718, ' yes': -9.810393}
{' Yes': -0.0022158881, 'Yes': -6.6434526, ' The': -7.8699026, ' No': -7.8821445, ' yes': -9.643544}
{' Yes': -0.0016491453, 'Yes': -6.457293, ' yes': -10.377567, ' No': -11.27941, ' YES': -11.425326}
{' Yes': -0.007041615, ' No': -5.1118846, 'Yes': -7.2618613, ' The': -8.742871, ' yes': -9.490257}
{' Yes': -0.010247662, ' No': -4.70799, 'Yes': -7.1079283, ' The': -8.856814, ' yes': -9.194648}
{' Yes': -0.0019045275, 'Yes': -6.421569, ' No': -8.52493, ' yes': -10.431615, ' ': -10.875764}
{' Yes': -0.0031609617, 'Yes': -6.206743, ' No': -6.9407825, ' yes': -9.772743, ' The': -9.812725}
{' Yes': -0.0015464588, 'Yes': -6.635928, ' No': -8.696477, ' yes': -10.326779, ' ': -11.14903}
