{' Up': -0.2724869, ' up': -1.4387046, ' "': -7.1159296, ' UP': -8.748977, ' Down': -9.052027}
{' Down': -0.44821537, ' down': -1.0338953, ' Up': -5.624353, ' up': -6.5148926, 'down': -7.9833465}
{' Up': -0.37522143, ' up': -1.1632788, ' Down': -8.996112, ' down': -9.193171, ' UP': -9.458508}
{' down': -0.46486762, ' Down': -0.991046, 'down': -7.720435, 'Down': -9.03156, ' DOWN': -10.545991}
{' Up': -0.27202845, ' Down': -1.7589574, ' up': -3.3055558, ' down': -3.5644195, ' "': -7.888514}
{' Down': -0.13781498, ' down': -2.1590896, ' Up': -4.5214763, 'down': -6.8908725, ' up': -7.1852655}
{' Up': -0.07193148, ' up': -2.9199557, ' Down': -4.3349433, ' down': -6.2484665, 'up': -8.672729}
{' Down': -0.33547765, ' down': -1.2648103, 'down': -6.188932, 'Down': -7.4589763, ' Up': -10.3443575}
{' Up': -0.34020662, ' Down': -1.3214401, ' down': -4.3036976, ' up': -5.078354, ' "': -6.893219}
{' Down': -0.07822911, ' down': -2.6314824, ' Up': -6.689349, 'down': -7.002792, 'Down': -7.0457907}
{' Up': -0.015623048, ' up': -4.4721355, ' Down': -5.6955204, 'Up': -8.298819, ' down': -8.578062}
{' Down': -0.10914365, ' down': -2.2897065, 'down': -6.8102846, 'Down': -7.0062475, ' "': -10.062963}
{' Up': -0.39335102, ' up': -1.6203636, ' Down': -2.7406218, ' down': -2.7824328, ' "': -7.883007}
{' Down': -0.5357203, ' down': -0.96981573, ' Up': -3.669475, ' up': -4.793821, 'down': -6.7111654}
{' up': -0.5043948, ' Up': -0.93415856, ' down': -6.2983403, ' Down': -7.2692947, 'up': -7.670559}
{' down': -0.24843115, ' Down': -1.5260648, 'down': -6.104472, 'Down': -8.173174, ' DOWN': -10.746021}
{' Up': -0.20342624, ' Down': -1.8093832, ' down': -4.651268, ' up': -4.706163, ' "': -7.4786315}
{' Down': -0.046963945, ' down': -3.1762686, 'Down': -6.2593064, ' Up': -6.8096604, 'down': -6.9624796}
{' Up': -0.006619661, ' up': -5.145423, 'Up': -7.7370024, ' UP': -8.747209, 'up': -9.373319}
{' Down': -0.09269485, ' down': -2.4695604, 'Down': -6.195638, 'down': -6.3243494, ' DOWN': -9.902486}
{' Up': -0.0633247, ' Down': -3.0696568, ' up': -4.4077077, ' down': -6.092141, ' "': -7.9955664}
{' Down': -0.03722739, ' down': -3.3856752, ' Up': -6.120475, 'Down': -8.516585, 'down': -8.667689}
{' Up': -0.032655247, ' up': -3.4502501, ' Down': -8.659784, ' UP': -9.33306, 'Up': -9.582051}
{' Down': -0.19364765, ' down': -1.7421132, 'down': -7.396683, 'Down': -8.338291, ' "': -10.542074}
{' down': -0.8030412, ' Down': -1.1416299, ' Up': -1.9115998, ' up': -2.6588132, 'down': -4.7271037}
{' down': -0.602011, ' Down': -1.0132773, ' Up': -3.187958, ' up': -3.5373328, 'down': -4.28417}
{' Up': -0.5502493, ' up': -0.9597648, ' down': -3.9654465, ' Down': -4.3367157, 'up': -5.4591026}
{' down': -0.41883177, ' Down': -1.1182184, 'down': -4.447539, 'Down': -5.6814504, ' ': -9.148432}
{' Up': -1.0200642, ' Down': -1.0809411, ' down': -1.5998296, ' up': -2.3229587, 'Down': -9.233785}
{' Down': -0.78602093, ' down': -1.2882793, ' Up': -1.5770118, ' up': -2.7866428, 'down': -8.628961}
{' Up': -0.7078793, ' up': -1.4548981, ' Down': -1.8296044, ' down': -2.1778688, 'down': -10.258727}
{' Down': -0.7244138, ' down': -0.7267484, ' Up': -3.7752352, ' up': -4.7442408, 'down': -8.876939}
{' Up': -0.7970972, ' Down': -1.0747519, ' down': -2.0180426, ' up': -2.59727, 'Down': -8.330081}
{' Down': -0.7043857, ' Up': -1.3573016, ' down': -1.6305236, ' up': -2.963863, 'down': -7.948831}
{' Up': -0.50290185, ' Down': -1.7758472, ' up': -1.9140785, ' down': -2.5513122, 'down': -8.918417}
{' Down': -0.45070934, ' down': -1.2901182, ' Up': -2.5884142, ' up': -4.467946, 'down': -7.6289644}
{' Down': -0.53558296, ' down': -1.5025878, ' Up': -1.7562442, ' up': -4.008735, 'Down': -7.3908606}
{' Up': -0.12789078, ' up': -2.8787205, ' Down': -2.9534636, ' down': -4.484889, 'Up': -8.702865}
{' Up': -0.20353678, ' Down': -2.4278467, ' up': -2.6023955, ' down': -3.84193, 'Up': -8.86841}
{' Down': -0.41086704, ' down': -1.1726393, ' Up': -3.7904236, ' up': -5.7038436, 'down': -7.212676}
{' up': -0.93985105, ' Up': -1.3016177, ' down': -1.3514341, ' Down': -2.5510914, 'down': -8.789131}
{' down': -1.0017728, ' Down': -1.423707, ' Up': -1.5994883, ' up': -1.6641892, 'down': -8.163251}
{' up': -0.9083926, ' Up': -1.212504, ' down': -1.6308104, ' Down': -2.272744, 'down': -8.489655}
{' down': -0.3799475, ' Down': -1.766426, ' up': -2.4405687, ' Up': -2.8620145, 'down': -7.431482}
{' Down': -0.5132704, ' Up': -1.2748882, ' down': -2.241435, ' up': -4.3191843, 'Down': -6.5362935}
{' Up': -0.14349736, ' Down': -2.370081, ' up': -3.5382876, ' down': -4.587187, 'Up': -7.7520638}
{' Up': -0.111743785, ' up': -2.7619605, ' Down': -3.3904548, ' down': -4.8041816, 'Up': -7.8380427}
{' Down': -0.29739863, ' down': -1.3921252, ' Up': -5.260686, 'Down': -6.4183526, 'down': -6.5925756}
{' Up': -0.6141322, ' Down': -1.3333076, ' down': -2.1046717, ' up': -2.6167338, 'down': -8.857634}
{' Up': -0.18267569, ' up': -2.1542122, ' Down': -3.311019, ' down': -4.2478876, 'Up': -9.854045}
{' Down': -0.7756438, ' Up': -1.0819907, ' down': -1.9540113, ' up': -2.8365626, 'down': -8.744571}
{' Up': -0.82816267, ' Down': -0.89743966, ' down': -2.1367946, ' up': -3.2924647, 'down': -8.7637}
{' Up': -0.65396285, ' up': -0.8171366, ' down': -3.6781707, ' Down': -4.605449, 'Up': -6.4197764}
{' down': -0.7632272, ' Down': -1.3215235, ' Up': -1.9805636, ' up': -2.0920007, 'down': -5.939107}
{' up': -0.9276685, ' down': -1.1556634, ' Up': -1.6205511, ' Down': -2.4329462, 'down': -6.3388333}
{' down': -0.78987867, ' Up': -1.6085757, ' up': -1.7123715, ' Down': -1.8375243, 'down': -5.752458}
{' Down': -0.26962402, ' down': -2.1067727, ' Up': -2.3114026, ' up': -4.2051916, 'Down': -8.04391}
{' Down': -0.40947998, ' down': -1.0983284, ' Up': -6.524462, ' up': -7.683949, 'down': -8.130602}
{' Up': -0.17400558, ' up': -1.962326, ' Down': -4.3396587, ' down': -5.1607265, ' "': -8.898429}
{' Down': -0.30783597, ' down': -1.3355287, ' Up': -6.928712, ' up': -7.5814257, 'down': -8.389171}
{' Down': -0.1301722, ' down': -2.136314, ' Up': -6.3435736, 'Down': -6.8455973, 'down': -7.082191}
{' Down': -0.33412856, ' down': -1.2723191, 'down': -6.6371374, ' Up': -6.7888894, 'Down': -6.805125}
{' Up': -0.112024084, ' up': -2.8742042, ' Down': -3.194675, ' down': -4.8659835, 'Up': -8.096785}
{' Down': -0.18248887, ' down': -1.8282484, ' Up': -5.6853194, 'down': -6.850053, 'Down': -6.8794947}
{' Down': -0.2545467, ' down': -1.6263024, ' Up': -3.8058884, ' up': -6.016105, 'Down': -6.310377}
{' Down': -0.5690328, ' down': -0.8440744, 'down': -6.2396445, 'Down': -6.3603177, ' Up': -9.068729}
{' Down': -0.99872756, ' Up': -1.044975, ' down': -1.4957597, ' up': -2.9483488, 'down': -6.7580104}
{' Down': -0.3909619, ' down': -1.2153122, ' Up': -3.9380848, ' up': -5.7520266, 'down': -6.0422297}
{' down': -0.5635634, ' Down': -0.8740378, ' up': -5.163636, ' Up': -5.17203, 'down': -6.6012177}
{' down': -0.34338373, ' Down': -1.2972851, ' up': -4.8323383, ' Up': -4.8906875, 'down': -6.6865764}
{' up': -0.90353674, ' Up': -1.1963682, ' down': -1.4389639, ' Down': -2.918187, 'down': -7.6870413}
{' down': -0.39882946, ' Down': -1.2330276, ' up': -3.8393848, ' Up': -4.308299, 'down': -6.305186}
{' Down': -0.327438, ' down': -1.336332, ' Up': -5.061935, 'Down': -5.2398543, 'down': -5.6407084}
{' Down': -0.5423435, ' down': -0.89305514, 'Down': -5.3414326, 'down': -5.49473, ' DOWN': -8.3527}
{' down': -0.58625525, ' Down': -0.93311214, ' Up': -3.5705347, 'down': -4.816497, ' up': -4.851617}
{' Down': -0.38999143, ' down': -1.3464657, ' Up': -3.0085692, ' up': -5.3576274, 'Down': -5.5078044}
{' Down': -0.43579367, ' Up': -1.2775677, ' down': -2.804013, ' up': -4.3767996, 'Down': -7.5909905}
{' Down': -0.18269384, ' down': -1.8042072, 'down': -6.7711425, 'Down': -7.096296, ' Up': -8.169603}
{' Up': -0.11700302, ' up': -2.8580918, ' Down': -3.1409342, ' down': -4.765597, ' "': -7.1438046}
{' Down': -0.08330763, ' down': -2.5435452, ' Up': -7.6455097, 'down': -7.819433, 'Down': -7.8859572}
{' down': -0.2616505, ' up': -2.1727986, ' Down': -2.5797236, ' Up': -3.5160391, 'down': -4.846997}
{' down': -0.0856541, ' Down': -2.9537287, ' up': -4.334172, 'down': -4.3899865, ' Up': -6.2571964}
{' down': -1.1066086, ' Up': -1.2449543, ' up': -1.4222327, ' Down': -2.0630028, 'down': -5.0345984}
{' down': -0.5831774, ' up': -1.3098944, ' Up': -2.479326, ' Down': -2.5476148, 'down': -5.0517135}
{' Down': -0.48627695, ' down': -1.1844887, ' Up': -2.6964056, ' up': -4.52216, 'down': -7.6458917}
{' Down': -0.75782996, ' down': -0.7830814, ' Up': -3.0065749, ' up': -3.7381902, 'down': -7.304769}
{' Up': -0.35846704, ' up': -1.7452029, ' Down': -2.586847, ' down': -2.9751413, ' UP': -9.284964}
{' down': -0.4731939, ' Down': -0.9820135, ' Up': -6.726068, ' up': -7.363703, 'down': -7.780168}
{' down': -0.36490282, ' Down': -1.3471949, ' up': -3.746075, ' Up': -3.9360678, 'down': -6.199379}
{' down': -0.73329324, ' Down': -0.8204839, ' Up': -3.0527549, ' up': -3.5190217, 'down': -6.365667}
{' down': -0.6824066, ' Down': -1.3681043, ' up': -1.9796516, ' Up': -2.3091252, 'down': -6.3596263}
{' down': -0.14072366, ' Down': -2.1254516, ' up': -5.077253, 'down': -5.816812, ' Up': -6.061803}
{' down': -0.3956725, ' Down': -1.2050253, ' Up': -4.2928376, ' up': -4.866862, 'down': -5.5011315}
{' Down': -0.7360562, ' down': -0.8313149, ' Up': -2.7511585, ' up': -4.075646, 'down': -5.9052153}
{' Up': -0.60418856, ' up': -1.5776592, ' Down': -2.0855386, ' down': -2.1097238, 'down': -7.640819}
{' down': -0.23165482, ' Down': -1.5916593, 'down': -6.0862074, 'Down': -7.5307612, ' up': -8.811816}
{' down': -0.5964344, ' Down': -0.96034724, ' Up': -3.0474482, ' up': -4.066848, 'down': -6.7363386}
{' down': -0.49389553, ' Down': -1.7004193, ' up': -2.2346926, ' Up': -2.3162735, 'down': -6.9181657}
{' down': -1.0239311, ' Up': -1.4039971, ' Down': -1.5593886, ' up': -1.6928668, 'down': -7.630294}
{' down': -0.21328144, ' Down': -1.7166994, ' up': -5.1511326, ' Up': -5.2507267, 'down': -6.879759}
{' down': -0.66176146, ' Down': -0.8039047, ' Up': -3.8322194, ' up': -5.075591, 'down': -5.296785}
{' Down': -0.6569586, ' down': -0.9130011, ' Up': -2.806815, ' up': -4.4425225, 'down': -5.50945}
{' Down': -0.5426703, ' Up': -1.2148103, ' down': -2.2670717, ' up': -4.1738234, 'Down': -6.444358}
{' Down': -0.5958335, ' down': -0.81848204, 'down': -5.928925, ' Up': -6.075432, 'Down': -6.1765146}
{' Down': -0.3729002, ' down': -1.873152, ' Up': -1.919531, ' up': -4.7444267, 'down': -6.565571}
{' Down': -0.44139174, ' down': -1.5810726, ' Up': -2.0007293, ' up': -4.3098073, 'down': -6.428683}
{' Up': -0.17159781, ' up': -2.0333416, ' Down': -3.968059, ' down': -4.908889, ' UP': -8.602701}
{' down': -0.5011518, ' Down': -0.9385316, 'down': -6.153852, 'Down': -8.098932, ' Up': -8.133995}
{' down': -0.09278523, ' Down': -2.959284, ' up': -3.8982944, 'down': -4.5453954, ' Up': -5.4121113}
{' down': -0.08196228, ' Down': -3.0472105, ' up': -3.9730563, 'down': -4.743665, ' Up': -6.0463595}
{' up': -0.6594118, ' down': -0.91365933, ' Up': -2.9363737, ' Down': -3.7675223, 'down': -5.73697}
{' down': -0.042032436, ' Down': -3.5831566, 'down': -4.5629883, ' up': -6.5606704, 'Down': -6.964584}
{' Down': -0.08258834, ' down': -2.540518, 'Down': -8.65878, ' Up': -8.962897, 'down': -9.13609}
{' Up': -0.0852203, ' up': -2.558382, ' Down': -5.722494, ' down': -7.2003074, ' UP': -9.136787}
{' Down': -0.5768869, ' down': -0.82590854, 'down': -8.2085905, 'Down': -8.51699, ' DOWN': -10.645461}
{' Up': -0.13585964, ' up': -2.0722437, ' Down': -7.304269, ' down': -8.246343, ' UP': -9.451501}
{' Down': -0.1916666, ' Up': -1.8994588, ' down': -3.891097, ' up': -5.8081822, 'Down': -7.027035}
{' Up': -0.76667225, ' Down': -0.8186837, ' down': -2.7114086, ' up': -3.6445844, 'down': -7.352691}
{' Up': -0.100830734, ' up': -3.0260663, ' Down': -3.173239, ' down': -5.327662, 'Up': -8.104251}
{' Down': -0.47786683, ' Up': -1.0886589, ' down': -3.5956511, ' up': -4.223884, 'Down': -7.499084}
{' Down': -0.08629724, ' Up': -2.8094263, ' down': -3.8915873, ' up': -7.019389, 'Down': -7.156739}
{' Down': -0.33016223, ' Up': -1.5566751, ' down': -2.7588675, ' up': -5.2762737, 'Down': -7.063446}
{' Up': -0.41752493, ' Down': -1.2757212, ' up': -3.4162242, ' down': -3.5636907, 'Down': -8.1273}
{' Down': -0.29122874, ' Up': -1.5174956, ' down': -3.6456215, ' up': -5.064542, 'Down': -7.499274}
{' Down': -0.7355594, ' down': -0.86844635, ' Up': -2.7161214, ' up': -3.4278657, 'down': -6.443359}
{' Up': -0.603957, ' up': -0.96923715, ' down': -3.0226638, ' Down': -3.717915, ' "': -8.075093}
{' down': -0.9229436, ' Up': -1.5712705, ' Down': -1.5797943, ' up': -1.6804587, 'down': -6.617876}
{' Up': -0.7233285, ' up': -1.1707715, ' down': -2.2617557, ' Down': -2.3097847, 'down': -7.807778}
{' Down': -0.1961218, ' Up': -1.9560302, ' down': -3.515999, 'Down': -5.8254185, ' up': -5.930205}
{' Down': -0.38207585, ' Up': -1.6345669, ' down': -2.2371001, ' up': -4.6664042, 'Down': -5.618066}
{' Up': -0.655567, ' Down': -1.0527896, ' down': -2.4950235, ' up': -3.0671768, 'Down': -6.88659}
{' Down': -0.2999566, ' Up': -1.7025597, ' down': -2.7652924, ' up': -4.5438204, 'Down': -6.3570757}
{' Down': -0.07557736, ' down': -2.7126946, ' Up': -5.3067937, 'Down': -7.4100285, 'down': -7.6296635}
{' Up': -0.17949308, ' Down': -2.0847511, ' up': -3.5554714, ' down': -4.551277, ' "': -8.153344}
{' Down': -0.054583874, ' down': -2.9432042, 'Down': -8.422318, 'down': -8.687715, ' DOWN': -10.983024}
{' Up': -0.011524154, ' up': -4.4898624, 'Up': -9.483908, ' Down': -9.542549, ' UP': -9.76457}
{' Up': -1.0753745, ' down': -1.400257, ' Down': -1.5036391, ' up': -1.7254981, 'down': -5.234335}
{' down': -0.5103341, ' Down': -1.0469056, ' Up': -3.8526819, ' up': -4.4021606, 'down': -4.5482845}
{' Up': -0.47875836, ' up': -1.0285496, ' down': -4.6305256, ' Down': -4.8466344, 'Up': -6.1204147}
{' down': -0.9805721, ' Down': -1.1037239, ' Up': -1.8400443, ' up': -2.0880568, 'down': -5.081478}
{' down': -0.21259888, ' Down': -1.664486, 'down': -6.7520537, 'Down': -8.1890335, ' Even': -8.385416}
{' Up': -0.45121756, ' up': -1.0260104, ' down': -6.103788, ' Down': -6.324449, ' UP': -7.877675}
{' down': -0.2505034, ' Down': -1.5186633, 'down': -6.973198, ' up': -7.3636928, ' Up': -8.104343}
{' up': -0.44758916, ' Up': -1.0281231, ' UP': -6.5198216, ' down': -6.878205, ' Down': -8.189495}
{' down': -0.06551909, ' Down': -2.8972487, 'down': -5.555722, ' even': -6.2534266, ' Even': -6.6316447}
{' up': -0.23349187, ' Up': -1.6346817, ' e': -4.998178, ' even': -6.4369383, 'up': -6.443511}
{' down': -0.060245413, ' Down': -2.9718432, 'down': -5.527914, ' e': -5.9518085, 'Down': -7.9311953}
{' up': -0.43679374, ' Up': -1.044412, ' UP': -7.2505574, 'up': -7.38366, 'Up': -7.647142}
{' down': -0.097377144, ' Down': -2.5784085, ' even': -5.232295, 'down': -5.307649, ' Even': -5.572131}
{' up': -0.50756395, ' Up': -0.9613679, ' e': -4.738324, ' Even': -6.514638, ' even': -6.6580176}
{' down': -0.3634117, ' e': -1.34146, ' Down': -3.3879418, 'down': -5.4081774, ' up': -6.420621}
{' up': -0.22819754, ' Up': -1.609709, ' e': -6.4804397, 'up': -6.8918056, ' UP': -7.4142056}
{' down': -0.044482388, ' Down': -3.9187958, ' e': -4.723967, ' even': -4.9842367, 'down': -5.4307313}
{' up': -0.15993832, ' Up': -1.9952521, ' e': -4.837617, 'up': -6.4671826, ' ': -7.241837}
{' down': -0.066830635, ' Down': -3.0790775, ' e': -4.3862867, 'down': -5.4673204, ' up': -6.838503}
{' up': -0.14107879, ' Up': -2.0498827, 'up': -7.032949, ' UP': -7.2368503, ' e': -7.334352}
{' down': -0.2494091, ' Down': -1.5663629, 'down': -4.8291664, 'Down': -6.5070915, ' even': -6.9255795}
{' Up': -0.5531518, ' up': -0.8873574, 'up': -5.883025, ' even': -6.082805, ' Even': -6.18975}
{' down': -0.23053649, ' Down': -1.6912947, 'down': -4.558207, ' e': -4.967084, 'Down': -6.114559}
{' up': -0.5983633, ' Up': -0.80873233, 'up': -6.3630476, 'Up': -6.6442804, ' UP': -6.6932116}
{' down': -0.9402714, ' e': -1.170519, ' even': -2.0394936, ' Even': -2.324072, ' Down': -2.871496}
{' e': -0.48700798, ' up': -1.5068157, ' Up': -1.9130601, ' Even': -4.9281836, ' even': -5.2552114}
{' e': -0.43012556, ' down': -1.3153985, ' Down': -2.7472813, ' up': -4.992999, ' Up': -6.070617}
{' up': -0.62360466, ' Up': -0.84196943, ' e': -3.5318763, ' UP': -6.3324914, 'up': -7.2307105}
{' down': -0.102163576, 'down': -2.9284384, ' Down': -3.424734, 'Down': -5.623575, ' even': -5.925001}
{' up': -0.25092763, ' Up': -1.6500366, 'up': -3.774529, 'Up': -5.504149, ' ': -6.9086614}
{' down': -0.05904325, 'down': -3.4086812, ' Down': -3.9164975, ' e': -6.230441, 'Down': -6.4810705}
{' up': -0.15547843, ' Up': -2.0847158, 'up': -4.254645, 'Up': -5.614768, ' UP': -6.636484}
{' Down': -0.8825434, ' Up': -1.3055191, ' down': -1.4562701, ' up': -2.5170667, 'down': -7.6591945}
{' Down': -0.28499657, ' down': -1.5851846, ' Up': -3.26483, ' up': -5.442141, 'Down': -8.268166}
{' Down': -0.3327777, ' down': -1.2840068, ' Up': -5.331633, ' up': -7.101826, 'down': -8.426622}
{' Down': -0.93043226, ' Up': -1.0404996, ' down': -1.9164342, ' up': -2.2550879, 'Down': -9.021798}
{' Down': -0.14920175, ' down': -2.6347096, ' Up': -2.7931836, ' up': -5.395417, 'Down': -7.313443}
{' Up': -0.78768766, ' Down': -0.848492, ' down': -2.5427537, ' up': -3.281668, 'Down': -7.977247}
{' Down': -0.27273747, ' down': -1.8737316, ' Up': -2.5748117, ' up': -4.863922, 'Down': -7.2750297}
{' Up': -0.59015876, ' Down': -1.0184995, ' up': -3.0811424, ' down': -3.2695217, 'Down': -8.148972}
{' Up': -0.6482782, ' Down': -0.7966756, ' down': -4.00684, ' up': -4.889445, 'Down': -8.200694}
{' Down': -0.102442205, ' down': -2.6191335, ' Up': -3.766909, 'Down': -7.5197015, ' up': -7.568665}
{' Down': -0.1709098, ' down': -2.2265167, ' Up': -3.0729275, ' up': -6.2567387, 'Down': -7.463119}
{' Up': -0.60028726, ' Down': -0.88825506, ' down': -3.7070663, ' up': -4.2091565, 'Down': -8.277361}
{' Down': -0.8194486, ' Up': -1.1594679, ' down': -1.8723623, ' up': -2.3989391, 'Down': -7.650478}
{' Up': -0.6519178, ' Down': -1.3948759, ' down': -2.136865, ' up': -2.1879077, 'Down': -8.070474}
{' Down': -0.94119895, ' down': -1.2718778, ' Up': -1.4028287, ' up': -2.4977937, 'Down': -7.5206413}
{' Up': -0.8361128, ' Down': -1.5164374, ' up': -1.5529402, ' down': -2.006872, 'down': -8.018769}
{' Down': -0.63016194, ' Up': -0.848479, ' down': -3.5096767, ' up': -4.82224, 'Down': -7.093727}
{' Down': -0.07603472, ' down': -2.8660815, ' Up': -4.268715, 'Down': -6.5166874, 'down': -7.6306205}
{' Down': -0.16385762, ' down': -2.1121857, ' Up': -3.6095247, 'Down': -6.643389, ' up': -6.931102}
{' Down': -0.4067305, ' Up': -1.2238711, ' down': -3.4028392, ' up': -5.1860023, 'Down': -7.2287617}
{' Up': -0.12306209, ' Down': -2.2824898, ' up': -4.808267, ' down': -5.2543826, ' UP': -8.966915}
{' Down': -0.09821853, ' Up': -2.9991508, ' down': -3.161161, ' up': -7.2683897, 'Down': -7.878396}
{' Down': -0.11747096, ' Up': -2.7100422, ' down': -3.1552172, ' up': -6.7681556, 'Down': -8.144742}
{' Up': -0.4610197, ' Down': -1.0504324, ' down': -4.58955, ' up': -4.6904736, 'Down': -9.367649}
{' Down': -1.050163, ' down': -1.0647447, ' Up': -1.5679508, ' up': -2.4029288, 'down': -5.7655864}
{' Up': -0.88519675, ' Down': -1.2432367, ' down': -1.6260339, ' up': -2.3472083, 'down': -6.0552216}
{' down': -0.5340284, ' Down': -1.1430525, ' Up': -2.9462843, ' up': -3.3968272, 'down': -5.171159}
{' up': -1.1335739, ' Up': -1.2211443, ' down': -1.3867649, ' Down': -2.051371, 'down': -6.2439632}
{' Up': -0.28288707, ' up': -1.4345613, ' Down': -5.4442506, ' down': -5.615683, ' UP': -9.571478}
{' Down': -0.5068208, ' down': -0.9334584, ' Up': -5.984743, ' up': -6.7035584, 'down': -7.6829205}
{' Up': -0.41852045, ' up': -1.0741658, ' Down': -8.9936695, ' down': -9.047827, 'up': -9.590172}
{' down': -0.3026215, ' Down': -1.3455864, 'down': -7.3735614, 'Down': -9.403152, ' DOWN': -11.176028}
{' Up': -0.42398673, ' Down': -1.2601169, ' down': -3.2916813, ' up': -3.748936, ' "': -7.50581}
{' Down': -0.15892923, ' down': -2.469913, ' Up': -2.8589585, ' up': -5.744088, 'down': -6.8823543}
{' Up': -0.06257661, ' up': -3.058039, ' Down': -4.4455566, ' down': -6.4816303, 'Up': -8.699039}
{' Down': -0.19773838, ' down': -1.7337471, 'down': -6.266471, 'Down': -7.284379, ' Up': -8.934646}
{' Up': -0.5207601, ' Down': -0.9502073, ' down': -4.3472695, ' up': -5.638949, ' "': -6.315665}
{' Down': -0.046966568, ' down': -3.3794687, ' Up': -4.6544952, 'Down': -6.8910494, 'down': -7.209535}
{' Up': -0.09285154, ' Down': -2.6164987, ' up': -4.457109, ' down': -5.7297053, ' "': -8.386596}
{' Down': -0.068116724, ' down': -2.7531676, 'Down': -6.899907, 'down': -6.9275756, ' "': -9.3263445}
{' Up': -1.0121909, ' Down': -1.1174271, ' down': -1.4778852, ' up': -2.5300572, 'down': -7.2676625}
{' Down': -0.72523695, ' down': -1.4497949, ' Up': -1.4672529, ' up': -3.0186212, 'down': -6.8750744}
{' up': -0.61169696, ' Up': -0.8042113, ' down': -5.0891123, ' Down': -5.758748, 'up': -7.528794}
{' down': -0.21908534, ' Down': -1.6410958, 'down': -6.074752, 'Down': -8.2858515, ' up': -8.457637}
{' Up': -0.24490263, ' Down': -1.6140318, ' down': -4.7056475, ' up': -5.04165, ' "': -6.477698}
{' Down': -0.04626053, ' down': -3.1917603, 'Down': -6.317819, ' Up': -6.725866, 'down': -7.0739164}
{' Up': -0.009429145, ' up': -4.8575315, ' Down': -7.191205, 'Up': -7.542313, ' UP': -9.062224}
{' Down': -0.10505717, ' down': -2.3440192, 'Down': -6.2335954, 'down': -6.35899, ' DOWN': -10.100417}
{' Up': -0.06842688, ' Down': -2.8868372, ' up': -4.8325415, ' down': -6.277844, ' "': -7.8196473}
{' Down': -0.026403282, ' down': -3.779264, ' Up': -5.8924804, 'Down': -8.49697, 'down': -8.862036}
{' Up': -0.025624888, ' up': -3.732944, ' Down': -6.8036985, 'Up': -9.197574, ' down': -9.617644}
{' Down': -0.17399798, ' down': -1.8408777, 'down': -7.3015094, 'Down': -8.203762, ' "': -9.92333}
{' Down': -0.6127067, ' down': -0.97065896, ' Up': -2.9839835, 'down': -4.457666, ' up': -4.6910377}
{' Up': -0.6191222, ' up': -1.3618475, ' down': -2.2140374, ' Down': -2.4758842, 'up': -5.443291}
{' Up': -0.5963489, ' up': -1.1019223, ' down': -2.7476168, ' Down': -3.1376598, 'up': -5.5169916}
{' Down': -0.52508587, ' down': -0.94961584, 'down': -4.348374, 'Down': -4.940083, ' Up': -7.212469}
{' Down': -1.018706, ' Up': -1.1295724, ' down': -1.4897124, ' up': -2.4075875, 'down': -9.025854}
{' Down': -0.71400464, ' down': -1.4658834, ' Up': -1.4689351, ' up': -3.020262, 'down': -8.449146}
{' Up': -0.7688935, ' up': -1.1743098, ' down': -2.1650307, ' Down': -2.1845467, 'down': -9.742896}
{' down': -0.7161713, ' Down': -0.7218401, ' Up': -4.005989, ' up': -4.961975, 'down': -8.565149}
{' Up': -0.63824785, ' Down': -1.1253102, ' down': -2.4967186, ' up': -2.7439091, 'Down': -8.34072}
{' Down': -0.5604384, ' Up': -1.280535, ' down': -2.1369133, ' up': -3.4323428, 'Down': -7.844969}
{' Up': -0.5120477, ' Down': -1.450879, ' up': -2.3274355, ' down': -2.683879, 'Down': -8.691191}
{' Down': -0.39743644, ' down': -1.5863516, ' Up': -2.2314608, ' up': -4.2139816, 'Down': -7.4776635}
{' Down': -0.7620368, ' Up': -1.2402244, ' down': -1.5720286, ' up': -3.345731, 'Down': -7.657346}
{' Up': -0.20111865, ' Down': -2.2829971, ' up': -2.8560715, ' down': -3.8076668, 'Up': -8.734493}
{' Up': -0.1851793, ' up': -2.4016535, ' Down': -2.8207476, ' down': -3.9851537, 'Up': -8.968227}
{' Down': -0.42605892, ' down': -1.2153884, ' Up': -3.139094, ' up': -5.144223, 'Down': -7.489901}
{' up': -0.7710372, ' down': -1.3610871, ' Up': -1.480016, ' Down': -2.9346151, 'down': -9.013377}
{' down': -0.8187183, ' up': -1.3877909, ' Up': -1.8305857, ' Down': -1.9071199, 'down': -8.115977}
{' up': -0.59604114, ' down': -1.5182424, ' Up': -1.7052673, ' Down': -3.041819, 'down': -8.589401}
{' down': -0.2879303, ' Down': -2.2204978, ' up': -2.3200176, ' Up': -3.1537676, 'down': -7.675521}
{' Down': -0.6526369, ' Up': -0.98847723, ' down': -2.4343598, ' up': -4.03, 'Down': -6.9172225}
{' Up': -0.32419854, ' Down': -1.4647892, ' up': -3.7797859, ' down': -3.8224778, 'Down': -7.835509}
{' Up': -0.14697835, ' Down': -2.4134102, ' up': -3.3510246, ' down': -4.4653563, 'Up': -8.118105}
{' Down': -0.33728203, ' down': -1.3403603, ' Up': -3.898546, ' up': -6.1630306, 'Down': -6.7422905}
{' Up': -0.31206006, ' Down': -2.0193868, ' up': -2.4618976, ' down': -3.00273, 'down': -9.349323}
