{' Yes': -0.023977548, ' No': -3.916216, 'Yes': -5.6816344, ' The': -8.715471, 'No': -9.452027}
{' Yes': -0.16491629, ' No': -1.9908459, ' Pain': -4.4206, 'Yes': -6.17521, 'No': -7.0566244}
{' No': -0.052421905, ' Yes': -3.0142426, 'No': -6.650879, ' Pain': -8.398062, ' The': -8.941883}
{' Yes': -0.1259159, ' No': -2.1439002, 'Yes': -7.209833, ' The': -9.036417, 'No': -9.345123}
{' No': -0.0014960166, 'No': -6.522955, ' ': -11.707384, ' Yes': -11.750385, ' Not': -12.971164}
{' No': -0.60407495, ' Yes': -0.7984758, ' The': -6.5065384, 'No': -7.2810874, 'Yes': -7.3524184}
{' No': -0.2008888, ' Yes': -1.7149535, 'No': -6.9311, 'Yes': -7.9320726, ' The': -8.185305}
{' Yes': -0.10276788, ' Dive': -2.580059, ' No': -3.8869152, 'Yes': -7.039233, ' yes': -8.703026}
{' Yes': -0.46848375, ' No': -0.9893462, 'Yes': -6.845122, 'No': -7.7690487, ' Dive': -8.0519085}
{' Yes': -0.001711175, 'Yes': -6.591793, ' yes': -9.075565, ' No': -9.123533, ' The': -9.751949}
{' Yes': -0.0033443072, ' No': -6.324216, 'Yes': -6.7535233, ' yes': -8.812024, ' ': -9.223744}
{' Yes': -0.0030557308, 'Yes': -6.1390457, ' Bush': -7.698215, ' ': -8.897375, ' yes': -9.170024}
{' Yes': -0.0022056126, 'Yes': -7.235367, ' No': -7.50445, ' Bush': -7.6022873, ' yes': -8.748133}
{' Yes': -0.060889766, ' No': -2.853454, ' Near': -7.518651, 'Yes': -7.6227064, ' The': -8.990098}
{' Yes': -0.11922157, ' No': -2.4106052, ' Near': -3.9008186, 'Yes': -7.2978525, ' yes': -7.5867825}
{' No': -0.03451653, ' Yes': -3.44407, 'No': -6.5828443, ' Mile': -8.585555, ' The': -8.771268}
{' Yes': -0.22929473, ' No': -1.5936764, 'Yes': -6.769209, 'No': -8.285644, ' Mile': -9.011338}
{' Yes': -0.00510663, ' No': -5.5272527, 'Yes': -7.118315, ' yes': -8.780222, ' The': -9.973133}
{' Yes': -0.01062657, ' No': -5.0180426, ' Navy': -6.1104684, 'Yes': -6.9112263, ' yes': -8.165867}
{' No': -0.00190608, 'No': -6.5363107, ' Not': -8.202656, ' Yes': -9.5950775, ' ': -10.096638}
{' No': -0.0011352313, 'No': -7.210623, ' Yes': -8.505884, ' ': -9.906046, ' The': -9.963791}
{' No': -0.14168872, ' Yes': -2.0372288, 'No': -7.0408187, ' The': -8.151658, ' ': -8.780278}
{' Yes': -0.4564687, ' No': -1.0056916, 'Yes': -8.382814, 'No': -8.77649, ' Unfortunately': -9.227876}
{' No': -0.024303792, ' Yes': -3.7671492, 'No': -7.401995, ' The': -8.9783325, ' ': -9.820057}
{' No': -0.0021682796, ' Yes': -6.606111, 'No': -7.372621, ' The': -9.758745, '\n': -10.087679}
{' Yes': -0.024161264, ' No': -3.8015928, 'Yes': -6.688687, ' yes': -9.6172, ' The': -9.833099}
{' No': -0.632326, ' Yes': -0.7619952, 'No': -7.5615807, ' The': -7.570997, 'Yes': -7.6258698}
{' No': -0.21471421, ' Yes': -1.6525252, 'No': -7.067341, 'Yes': -8.309482, ' ': -8.34042}
{' Yes': -0.29086983, ' No': -1.382209, 'Yes': -7.2674947, 'No': -8.499254, ' yes': -8.721858}
{' Yes': -0.06767617, ' No': -2.7419698, 'Yes': -7.3697443, ' The': -9.349399, ' yes': -9.4302225}
{' Yes': -0.32928702, ' No': -1.2760682, 'Yes': -7.6748714, 'No': -8.238752, ' The': -8.252787}
{' Yes': -0.0012883609, 'Yes': -6.7501345, ' yes': -10.192071, ' The': -10.819455, ' YES': -10.82495}
{' Yes': -0.0014748238, 'Yes': -6.8187203, ' No': -8.515476, ' yes': -9.1676655, ' YES': -9.774454}
{' Yes': -0.012174108, ' No': -4.4716578, 'Yes': -7.7703557, ' yes': -8.936608, ' ': -10.157428}
{' Yes': -0.0029271366, ' No': -6.7007556, 'Yes': -6.812593, ' The': -8.330991, '\n': -8.874576}
{' Yes': -0.09292245, ' No': -2.466841, ' Tool': -6.451196, 'Yes': -7.1571617, ' Too': -7.2377276}
{' No': -0.37653732, ' Yes': -1.1923162, ' Too': -5.3308754, ' Tool': -6.4830604, ' ': -6.65036}
{' No': -0.6916242, ' Yes': -0.6981512, 'No': -7.689791, 'Yes': -7.8678975, ' The': -7.8947587}
{' No': -0.2854847, ' Yes': -1.3970816, 'No': -7.403889, 'Yes': -8.163658, ' The': -10.306515}
{' Yes': -0.0075287204, ' No': -5.062504, 'Yes': -7.279812, ' yes': -8.355459, ' ': -9.31801}
{' Yes': -0.0008863669, 'Yes': -7.4149003, ' No': -9.03112, ' yes': -9.286713, ' ': -10.52926}
{' Yes': -0.18755703, ' No': -1.7709863, 'Yes': -7.529708, ' yes': -9.009828, 'No': -9.162671}
{' Yes': -0.052696753, ' No': -3.0418208, 'Yes': -6.152306, ' The': -7.2655087, ' Last': -8.2725315}
{' No': -0.014628886, ' Yes': -4.360521, ' Door': -6.9471107, 'No': -7.425042, ' ': -9.601388}
{' No': -0.08624247, ' Door': -3.1400676, ' Yes': -3.297277, 'No': -6.7709155, ' ': -7.2316637}
{' No': -0.0270056, ' Yes': -3.6761637, 'No': -7.2812166, ' ': -8.405064, ' The': -8.576145}
{' Yes': -0.29011014, ' No': -1.3925787, 'Yes': -6.4034157, ' YES': -7.430576, ' The': -7.9746695}
{' No': -0.2618547, ' Yes': -1.472897, 'No': -7.5235353, 'Yes': -8.408831, ' The': -8.838459}
{' No': -0.31585076, ' Yes': -1.3105749, 'No': -7.6136737, 'Yes': -8.058778, '\n': -9.041754}
{' Yes': -0.15355437, ' No': -1.9618925, 'Yes': -7.029481, '\n': -8.106553, ' yes': -8.724496}
{' Yes': -0.09443284, ' No': -2.418497, 'Yes': -7.4572406, ' yes': -8.606751, ' ': -8.997558}
{' Yes': -0.114713594, ' No': -2.2303483, 'Yes': -7.5567966, ' ': -9.3746, '\n': -9.402166}
{' Yes': -0.021935547, ' No': -3.8675108, 'Yes': -7.5182695, ' yes': -9.781505, ' ': -9.8194685}
{' Yes': -0.026238056, ' No': -3.765587, ' Most': -6.19426, 'Yes': -7.7558274, ' ': -8.999138}
{' Yes': -0.2478807, ' No': -1.6324173, ' Most': -3.7921271, 'Yes': -7.0191145, 'No': -8.430486}
{' Yes': -0.04118656, ' No': -3.2501538, 'Yes': -7.236898, ' The': -8.053847, '\n': -8.476266}
{' Yes': -0.0027061522, ' No': -6.0885954, 'Yes': -8.038596, ' yes': -9.4915495, ' ': -11.609581}
{' No': -0.3696703, ' Yes': -1.1785921, 'No': -7.750337, 'Yes': -7.820352, ' The': -8.965768}
{' Yes': -0.09207001, ' No': -2.4518895, 'Yes': -6.691736, ' The': -8.148455, ' yes': -9.071774}
{' Yes': -0.36347437, ' No': -1.1928962, ' The': -7.8411145, 'Yes': -7.9822755, ' ': -8.599467}
{' Yes': -0.01590608, ' No': -4.2256017, 'Yes': -7.12225, ' yes': -8.878908, ' The': -9.385361}
{' No': -0.10214654, ' Yes': -2.3514445, 'No': -6.5739727, 'Yes': -8.74126, ' ': -8.975648}
{' Yes': -0.10985149, ' No': -2.2803628, 'Yes': -7.1088862, ' The': -7.4597387, 'No': -9.12518}
{' No': -0.009854873, ' Yes': -4.7360225, 'No': -7.0132785, ' ': -9.726376, ' no': -10.86779}
{' No': -0.19713509, ' Yes': -1.7290527, 'No': -7.0480256, ' The': -8.3851595, 'Yes': -8.781121}
{' Yes': -0.019620584, ' No': -4.045774, 'Yes': -6.3562293, ' yes': -9.5809355, ' The': -10.385293}
{' Yes': -0.0019545152, 'Yes': -7.0677114, ' No': -7.1208906, ' yes': -8.865554, ' The': -9.53255}
{' Yes': -0.13327558, ' No': -2.0927558, 'Yes': -7.2243705, ' yes': -8.260032, ' The': -8.695224}
{' Yes': -0.011795158, ' No': -4.509426, 'Yes': -7.511497, ' yes': -9.351938, ' ': -10.640116}
{' Yes': -0.038246777, ' No': -3.2975736, 'Yes': -7.878063, ' yes': -9.334724, ' ': -10.346624}
{' Yes': -0.043626714, ' No': -3.168747, 'Yes': -7.635816, ' yes': -9.451969, 'No': -10.53785}
{' Yes': -0.00347104, ' No': -5.9142356, 'Yes': -7.2627687, ' yes': -10.403112, ' ': -10.960193}
{' Yes': -0.07586424, ' No': -2.629821, 'Yes': -7.2381444, ' yes': -9.356973, ' The': -9.939237}
{' No': -0.016454902, ' Yes': -4.244524, 'No': -6.6789107, ' The': -8.052592, ' ': -8.737791}
{' No': -0.5924983, ' Yes': -0.80741847, 'No': -7.7275634, 'Yes': -7.799417, ' yes': -9.453725}
{' No': -0.31820208, ' Yes': -1.3037578, 'No': -7.684142, 'Yes': -8.252025, ' ': -8.438474}
{' No': -0.47090724, ' Yes': -0.98449326, 'No': -7.1874213, 'Yes': -7.237783, ' yes': -9.023499}
{' No': -0.47235712, ' Yes': -0.98076856, 'No': -7.526682, 'Yes': -8.016045, ' The': -8.532816}
{' No': -0.29482493, ' Yes': -1.3704818, 'No': -7.285911, 'Yes': -8.239405, ' The': -9.008011}
{' No': -0.059766997, ' Yes': -2.8585017, 'No': -7.695763, ' ': -9.791645, '\n': -9.90003}
{' No': -0.42251125, ' Yes': -1.0674679, 'No': -8.023635, 'Yes': -8.385818, '\n': -9.962142}
{' Yes': -0.019924132, ' No': -4.00386, 'Yes': -7.101039, '\n': -8.092328, ' ': -8.8602495}
{' Yes': -0.0259187, ' No': -3.7413306, ' The': -7.2414393, 'Yes': -7.601646, ' ': -8.566504}
{' Yes': -0.0065932637, ' No': -5.5260363, ' The': -6.4071836, 'Yes': -7.6095366, ' yes': -8.147161}
{' Yes': -0.026229734, ' No': -3.7000387, 'Yes': -7.279865, ' yes': -8.177257, ' ': -9.676309}
{' Yes': -0.22123383, ' No': -1.6402286, 'Yes': -6.198796, ' The': -6.4995503, 'No': -7.563652}
{' Yes': -0.018731803, ' No': -4.172588, 'Yes': -5.979653, ' The': -8.066065, '\n': -9.129822}
{' No': -0.060778845, ' Yes': -2.9028196, 'No': -5.710791, ' The': -8.286151, ' ': -8.576544}
{' Yes': -0.2921446, ' No': -1.3797854, 'Yes': -7.193821, 'No': -8.02799, ' The': -8.164518}
{' Yes': -0.17177267, ' No': -1.8901355, 'Yes': -5.413792, 'No': -6.857014, ' The': -7.272801}
{' Yes': -0.38301763, ' No': -1.1510459, 'Yes': -7.0808682, 'No': -7.548411, ' The': -8.473331}
{' No': -0.010472787, 'No': -5.185722, ' Yes': -5.4122214, '\n': -9.136878, ' ': -9.286228}
{' Yes': -0.010978385, ' No': -4.696729, 'Yes': -6.5110183, ' The': -8.990016, ' yes': -9.696601}
{' Yes': -0.029430415, ' No': -3.6546495, 'Yes': -5.9124064, 'No': -9.274386, ' Wife': -9.388265}
{' No': -0.057111565, ' Yes': -2.9335747, 'No': -6.193975, 'Yes': -9.129735, ' ': -9.733332}
{' Yes': -0.029734738, ' No': -3.5998106, 'Yes': -6.663354, ' ': -8.564253, '\n': -8.733399}
{' Yes': -0.08820483, ' No': -2.49908, 'Yes': -6.5170717, '\n': -8.604847, ' The': -8.662072}
{' No': -0.37053642, ' Yes': -1.1965423, 'No': -5.243873, 'Yes': -6.3930926, ' ': -8.936238}
{' Yes': -0.026752602, ' No': -3.762268, 'Yes': -5.8672175, 'No': -8.89143, ' yes': -9.436892}
{' Yes': -0.003811012, ' No': -6.0603504, 'Yes': -6.65844, ' yes': -9.587187, ' The': -9.745138}
{' No': -0.023476087, 'No': -4.0879006, ' Yes': -5.1208043, 'Yes': -9.193076, ' Not': -9.286053}
{' Yes': -0.0066610025, ' No': -5.2062345, 'Yes': -7.2247567, ' yes': -8.329569, ' ': -9.515094}
{' No': -0.2512017, ' Yes': -1.5239011, 'No': -6.049125, ' The': -7.3595095, 'Yes': -7.384332}
{' Yes': -0.037320998, ' No': -3.3918169, 'Yes': -6.008329, ' The': -8.519924, ' yes': -8.988085}
{' Yes': -0.007335003, ' No': -5.20354, 'Yes': -6.618112, ' The': -8.391334, ' yes': -8.745511}
{' No': -0.44070214, ' Yes': -1.0442351, 'No': -6.1391783, 'Yes': -6.5551524, ' The': -7.6071463}
{' Yes': -0.23136878, ' No': -1.61746, 'Yes': -5.3860793, ' The': -6.366771, 'No': -6.708286}
{' No': -0.006343938, 'No': -5.1077876, ' Yes': -8.450306, ' ': -10.450222, ' The': -11.681377}
{' No': -0.020106073, ' Yes': -4.184544, 'No': -5.4188924, 'Yes': -9.59475, '\n': -10.002717}
{' No': -0.65969867, ' Yes': -0.73396903, 'No': -6.8890414, ' The': -7.119164, 'Yes': -7.394938}
{' Yes': -0.54326457, ' No': -0.87466824, 'No': -6.9098663, 'Yes': -7.0417075, ' The': -9.077591}
{' Yes': -0.008503749, ' No': -4.9167485, 'Yes': -7.0973387, ' The': -8.859431, ' yes': -9.402118}
{' Yes': -0.5440498, ' No': -0.8734279, 'Yes': -7.197004, 'No': -7.420787, ' The': -7.675731}
{' Yes': -0.09341804, ' No': -2.440195, 'Yes': -6.910629, ' The': -7.322927, ' yes': -8.990939}
{' Yes': -0.05444855, ' No': -2.9702504, 'Yes': -6.77581, ' The': -8.067897, ' yes': -9.215934}
{' Yes': -0.020084428, 'Yes': -4.247223, ' No': -5.225492, 'No': -9.35428, ' yes': -9.913248}
{' Yes': -0.0661622, ' No': -2.7852285, 'Yes': -6.5713286, ' The': -7.5244594, 'No': -9.233658}
{' Yes': -0.0014807344, 'Yes': -6.704844, ' The': -9.016868, ' yes': -9.392305, ' ': -10.7485075}
{' Yes': -0.02688742, ' No': -3.706964, 'Yes': -6.483638, ' yes': -8.338212, ' The': -9.507258}
{' Yes': -0.15119928, ' No': -1.9872836, 'Yes': -6.474157, ' Dirt': -7.275987, 'No': -7.685104}
{' No': -0.11475698, ' Yes': -2.256471, 'No': -5.9095774, ' The': -8.05156, 'Yes': -8.458344}
{' Yes': -0.01145391, ' No': -4.776886, 'Yes': -6.570711, ' The': -6.8391685, ' yes': -7.948511}
{' Yes': -0.22627977, ' No': -1.6552482, ' The': -5.2667146, 'Yes': -5.9118447, 'No': -6.707695}
{' False': -0.04603263, ' No': -3.2701876, 'False': -5.179566, 'No': -6.691914, ' ': -9.1788645}
{' No': -0.0040737726, 'No': -6.0204153, ' Yes': -6.4741793, ' ': -9.912183, '\n': -11.205828}
{' Yes': -0.06053749, ' No': -2.9259357, 'Yes': -5.941932, ' The': -6.6934867, ' Rain': -7.609422}
{' Yes': -0.28867367, ' No': -1.4541954, ' Rain': -4.369957, 'Yes': -6.4906554, 'No': -6.7437725}
{' No': -0.053664867, ' Yes': -3.008428, 'No': -6.0420604, ' Not': -8.789977, ' ': -9.092534}
{' No': -0.002550893, 'No': -6.2465467, ' Yes': -7.4774446, ' ': -10.586003, '\n': -11.785543}
{' No': -0.29173166, ' Yes': -1.389861, 'No': -5.9664197, 'Yes': -7.251456, ' Not': -8.153252}
{' Yes': -0.2317244, ' No': -1.5880227, 'Yes': -6.77643, ' The': -7.2900643, 'No': -8.183588}
{' No': -0.03039922, ' Yes': -3.5620477, 'No': -6.616125, ' The': -9.501312, ' ': -9.6724415}
{' No': -0.11499642, ' Yes': -2.2532122, 'No': -5.95129, ' The': -7.7442646, 'Yes': -8.276381}
{' Yes': -0.026264431, ' No': -3.723183, 'Yes': -6.6447887, ' The': -8.507734, ' yes': -9.295786}
{' Yes': -0.017311571, ' No': -4.1802297, 'Yes': -6.6422405, ' The': -8.207258, ' yes': -8.648361}
{' No': -0.40704218, ' Yes': -1.1048781, 'No': -6.711312, ' The': -6.868136, 'Yes': -7.432896}
{' No': -0.027485253, ' Yes': -3.7751734, 'No': -5.59796, ' ': -8.797837, ' The': -8.894606}
{' Yes': -0.0016420396, 'Yes': -6.6246886, ' No': -8.793082, ' yes': -9.356566, ' ': -10.377244}
{' Yes': -0.089150205, ' No': -2.4854953, 'Yes': -6.478766, 'No': -8.407722, ' The': -9.308781}
{' Yes': -0.038165778, ' No': -3.4011776, ' The': -5.921476, 'Yes': -7.1532874, ' yes': -7.969423}
{' Yes': -0.06486106, ' No': -2.81212, 'Yes': -6.5307856, ' The': -7.1986, ' yes': -8.707815}
{' No': -0.0065951226, ' Yes': -5.4190307, 'No': -6.191191, ' ': -10.056171, ' The': -10.807921}
{' No': -0.37244123, ' Yes': -1.1899097, 'No': -5.8320427, ' The': -6.408985, 'Yes': -7.0137486}
{' Yes': -0.027477592, ' No': -3.9175684, 'Yes': -5.354134, ' The': -6.8235397, ' Tw': -8.081993}
{' Yes': -0.0022462946, 'Yes': -6.3459578, ' No': -8.651565, ' yes': -9.143424, ' ': -9.4647}
{' Yes': -0.0044721426, ' No': -5.9916086, 'Yes': -6.368213, ' The': -9.168756, ' yes': -9.484706}
{' Yes': -0.016992994, ' No': -4.1822033, 'Yes': -6.593813, ' yes': -9.210472, ' ': -10.390207}
{' Yes': -0.0026558915, 'Yes': -6.2506146, ' No': -8.0571575, ' Deer': -8.937849, ' yes': -9.057488}
{' Yes': -0.00265876, 'Yes': -6.319959, ' No': -7.47162, ' The': -9.156086, ' yes': -9.218046}
{' Yes': -0.075505815, ' No': -2.6494613, 'Yes': -6.5309954, ' The': -8.469159, ' yes': -9.016946}
{' Yes': -0.11127367, ' No': -2.2875545, 'Yes': -6.3120275, ' The': -6.6224027, 'No': -8.32771}
{' Yes': -0.60041094, ' No': -0.79861313, 'Yes': -7.3710594, 'No': -7.5548472, ' The': -8.7823715}
{' No': -0.031491973, ' Yes': -3.5421996, 'No': -6.3132358, '\n': -9.806767, 'Yes': -9.883215}
{' Yes': -0.029859584, ' No': -3.6036339, 'Yes': -6.417902, ' yes': -8.720452, ' The': -8.859317}
{' Yes': -0.068934605, ' No': -2.7433786, 'Yes': -6.4079022, ' yes': -8.34195, 'No': -9.023}
{' Yes': -0.44083422, ' No': -1.0392383, 'Yes': -6.8963227, 'No': -7.2841496, ' The': -7.3139405}
{' Yes': -0.27590063, ' No': -1.438504, 'Yes': -6.1166363, 'No': -7.21443, ' The': -7.6960354}
{' Yes': -0.0059060296, ' No': -5.5229673, 'Yes': -6.622393, ' The': -7.7825127, ' yes': -9.601065}
{' Yes': -0.014558727, ' No': -4.490156, 'Yes': -5.902292, ' The': -8.017965, ' ': -9.768448}
{' Yes': -0.31210616, ' No': -1.3234491, 'Yes': -6.861851, 'No': -7.8938413, ' The': -8.770036}
{' No': -0.2100867, ' Yes': -1.6729468, 'No': -6.7586155, 'Yes': -8.09568, ' ': -8.835161}
{' No': -0.07923537, ' Yes': -2.6040823, 'No': -6.405133, ' Lion': -7.9573307, 'Yes': -9.246683}
{' No': -0.16994333, ' Yes': -1.8693393, 'No': -6.4571443, 'Yes': -8.326508, ' The': -8.806002}
{' Yes': -0.09789743, ' No': -2.4039066, 'Yes': -6.4548893, ' The': -7.3783913, ' ': -8.388002}
{' Yes': -0.007969065, ' No': -5.237652, 'Yes': -6.141187, ' yes': -8.724482, ' The': -8.794665}
{' Yes': -0.0022902056, 'Yes': -6.181337, ' The': -9.151547, ' yes': -9.938371, ' No': -10.357755}
{' Yes': -0.020492448, ' No': -4.013889, 'Yes': -6.4198565, ' The': -7.940309, ' yes': -9.516463}
{' Yes': -0.13232644, ' No': -2.107937, 'Yes': -6.501501, 'No': -7.9701734, ' The': -8.132282}
{' Yes': -0.3084035, ' No': -1.3488564, ' Wind': -5.7407994, 'Yes': -6.564457, 'No': -6.9359417}
{' Yes': -0.1936831, ' No': -1.7491908, 'Yes': -6.8288927, ' The': -7.897653, 'No': -8.149035}
{' Yes': -0.008084369, ' No': -5.0870733, 'Yes': -6.6508484, ' The': -8.353918, '\n': -9.066572}
{' No': -0.013926684, 'No': -4.8511515, ' Yes': -5.791339, ' Dis': -6.4412856, ' Hate': -7.144269}
{' No': -0.38002214, ' Yes': -1.1594774, 'No': -6.747144, 'Yes': -7.431673, ' The': -7.9020767}
{' No': -0.032487016, ' Yes': -3.4892018, 'No': -6.7201815, ' The': -9.349563, 'Yes': -9.967187}
{' No': -0.26328433, ' Yes': -1.4732472, 'No': -6.4734664, 'Yes': -7.9973354, ' The': -8.403892}
{' Yes': -0.01853123, ' No': -4.0873313, 'Yes': -6.874764, ' The': -8.0442705, ' ': -9.418588}
{' Yes': -0.17753993, ' No': -1.8274404, 'Yes': -6.7276, 'No': -7.7697277, ' The': -9.599335}
{' Yes': -0.054908365, ' No': -2.9674373, 'Yes': -6.473266, 'No': -8.867198, ' The': -9.131549}
{' Yes': -0.015754148, ' No': -4.2251654, 'Yes': -7.047765, ' yes': -9.620181, 'No': -10.638309}
{' Yes': -0.0064712926, ' No': -5.6164026, 'Yes': -6.084331, ' The': -8.015458, '\n': -9.471135}
{' No': -0.24243106, ' Yes': -1.5489743, 'No': -6.5105047, ' The': -7.755097, 'Yes': -7.8334723}
{' Yes': -0.13253719, ' No': -2.1106122, 'Yes': -6.5410743, ' The': -7.253738, ' ': -8.3062315}
{' Yes': -0.0308387, ' No': -3.6545167, 'Yes': -5.800536, ' The': -7.2650285, '\n': -8.300942}
{' No': -0.60270476, ' Yes': -0.7976701, 'No': -6.9918437, 'Yes': -7.3986926, ' Skin': -7.7549763}
{' Yes': -0.22231288, ' No': -1.621336, 'Yes': -6.786281, 'No': -8.073187, ' Skin': -9.666397}
{' No': -0.63771325, ' Yes': -0.75843126, 'No': -6.999303, 'Yes': -7.074809, ' The': -7.120393}
{' No': -0.1058223, ' Yes': -2.4483516, ' So': -5.041638, 'No': -5.35105, ' Nope': -6.550017}
{' Yes': -0.008245295, ' No': -5.0974936, 'Yes': -6.295587, ' ': -9.597153, ' The': -9.737821}
{' Yes': -0.0030516053, 'Yes': -6.3512206, ' No': -6.839721, ' yes': -9.385828, ' The': -9.5133295}
{' No': -0.06017331, ' Yes': -2.9301147, 'No': -5.3543625, 'Yes': -8.370571, ' ': -11.177361}
{' Yes': -0.2742105, ' No': -1.4536422, 'Yes': -5.4947147, 'No': -6.556446, ' The': -8.760307}
{' No': -0.59909034, ' Yes': -0.8008936, 'No': -7.1618366, 'Yes': -7.2776847, ' The': -9.327575}
{' Yes': -0.013995589, ' No': -4.4158983, 'Yes': -6.521587, ' yes': -8.942727, ' The': -9.688699}
{' Yes': -0.22504851, ' No': -1.6147903, 'Yes': -6.3645, 'No': -7.797352, ' The': -8.4518795}
{' Yes': -0.2696508, ' No': -1.4495729, 'Yes': -6.7478538, 'No': -7.91526, ' ': -9.959125}
{' No': -0.04593053, ' Yes': -3.1786208, 'No': -5.8678484, 'Yes': -8.908416, ' The': -9.206386}
{' No': -0.01675173, ' Yes': -4.2660303, 'No': -6.087395, ' The': -9.142301, ' ': -9.953975}
{' Yes': -0.004588064, ' No': -5.7173786, 'Yes': -6.778675, ' yes': -9.843194, ' The': -9.910919}
{' Yes': -0.04400441, ' No': -3.1918674, 'Yes': -6.5730352, ' The': -8.108212, ' yes': -9.081691}
{' No': -0.2595717, ' Yes': -1.4974791, 'No': -5.6844425, 'Yes': -7.3709297, ' The': -8.230545}
{' Yes': -0.11080844, ' No': -2.3001585, 'Yes': -5.637221, 'No': -7.378836, ' yes': -8.947196}
{' Yes': -0.047200922, ' No': -3.1525474, 'Yes': -5.9779124, 'No': -8.143401, ' The': -8.264874}
{' No': -0.29342347, ' Yes': -1.3917416, 'No': -5.8595414, ' The': -6.811571, 'Yes': -7.437336}
{' Yes': -0.49340096, ' No': -0.9514031, 'Yes': -6.446781, 'No': -6.7721343, ' The': -8.1305065}
{' No': -0.0028823602, 'No': -5.862259, '\n': -11.253969, ' ': -11.756789, ' Not': -12.113009}
{' No': -0.27903628, ' Yes': -1.4302204, 'No': -6.204541, ' The': -6.7847238, 'Yes': -7.4214954}
{' No': -0.19803137, ' Yes': -1.7385073, 'No': -5.9401655, 'Yes': -7.2526484, ' The': -8.318301}
{' Yes': -0.011563406, ' No': -5.15161, ' Dive': -5.6220727, 'Yes': -6.3318734, ' yes': -9.239916}
{' Yes': -0.03263597, ' No': -3.5641966, 'Yes': -5.7417874, ' yes': -8.581897, 'No': -9.247099}
{' Yes': -0.0043868897, 'Yes': -5.51774, ' The': -8.858625, ' yes': -9.096286, ' No': -10.104984}
{' Yes': -0.0018619493, 'Yes': -6.5064826, ' No': -8.774042, ' yes': -9.149601, ' The': -10.044966}
{' Yes': -0.0062575634, 'Yes': -5.1369815, ' ': -9.187896, ' No': -9.417495, ' yes': -9.624359}
{' Yes': -0.003805029, ' No': -6.215074, 'Yes': -6.599256, ' The': -8.63875, ' yes': -9.272874}
{' Yes': -0.15238759, ' No': -1.970602, 'Yes': -6.860712, ' The': -8.1657715, 'No': -8.261763}
{' Yes': -0.12483326, ' No': -2.1728735, ' Near': -6.5767603, 'Yes': -6.94196, ' The': -8.080964}
{' No': -0.012199392, ' Yes': -4.753494, 'No': -5.7119293, ' ': -9.434144, ' The': -9.936322}
{' Yes': -0.17142877, ' No': -1.8753244, 'Yes': -5.779142, 'No': -7.4591727, ' Mile': -8.396648}
{' Yes': -0.0032604043, 'Yes': -6.3431025, ' No': -6.657084, ' yes': -9.36885, ' The': -9.606604}
{' Yes': -0.015112077, ' No': -4.522106, 'Yes': -5.690029, ' The': -7.989889, ' yes': -8.930477}
{' No': -0.0060254727, 'No': -5.261183, ' Not': -7.408079, '\n': -9.452452, ' ': -9.868431}
{' No': -0.002402824, 'No': -6.358224, ' Yes': -7.496145, ' ': -10.135906, ' Not': -10.792644}
{' No': -0.051706906, ' Yes': -3.077872, 'No': -5.615344, ' The': -8.705946, '\n': -8.799602}
{' No': -0.22871055, ' Yes': -1.5989783, 'No': -6.497543, 'Yes': -8.025501, ' Unfortunately': -8.921988}
{' No': -0.0097087305, ' Yes': -4.8494396, 'No': -6.463795, ' The': -8.96068, ' ': -9.840473}
{' No': -0.0035106966, ' Yes': -6.218702, 'No': -6.5943627, ' The': -9.898843, '\n': -10.015523}
{' Yes': -0.08543634, ' No': -2.5388703, 'Yes': -6.0535965, 'No': -8.130432, ' The': -9.217211}
{' No': -0.043108266, ' Yes': -3.2864647, 'No': -5.511671, ' The': -8.052145, ' ': -8.910007}
{' No': -0.020859737, ' Yes': -4.00175, 'No': -6.1529512, ' ': -9.340396, 'Yes': -10.031947}
{' No': -0.19704132, ' Yes': -1.7409885, 'No': -6.017239, 'Yes': -7.817292, ' The': -7.96884}
{' Yes': -0.011689377, ' No': -4.594079, 'Yes': -6.6192746, ' yes': -9.64989, ' The': -10.323106}
{' Yes': -0.05106273, ' No': -3.040334, 'Yes': -6.6889176, ' The': -7.991448, ' yes': -8.927325}
{' Yes': -0.0024720756, 'Yes': -6.077663, ' The': -9.599434, ' yes': -10.098576, ' No': -10.598307}
{' Yes': -0.00329772, 'Yes': -5.9899573, ' No': -7.4151816, ' yes': -9.239934, ' YES': -10.133267}
{' Yes': -0.11084766, ' No': -2.2631533, 'Yes': -7.255699, ' yes': -9.5434475, 'No': -9.56782}
{' Yes': -0.01683544, ' No': -4.38194, 'Yes': -5.996768, ' The': -7.082799, '\n': -8.081208}
{' Yes': -0.034890488, ' No': -3.4525135, 'Yes': -6.2093725, ' The': -8.502099, ' yes': -8.845355}
{' No': -0.6207414, ' Yes': -0.78658164, ' Too': -6.0917287, ' The': -6.404278, 'Yes': -6.8725953}
{' Yes': -0.3806614, ' No': -1.1691746, ' The': -6.142309, 'Yes': -6.6209087, 'No': -7.0509496}
{' Yes': -0.41825348, ' No': -1.0839314, 'Yes': -6.2458057, 'No': -6.814556, ' The': -8.539614}
{' Yes': -0.022631563, ' No': -3.862641, 'Yes': -6.966133, ' yes': -8.769935, ' The': -9.075927}
{' Yes': -0.0019935097, 'Yes': -6.334932, ' yes': -9.709169, ' No': -9.911406, ' The': -10.003323}
