{' Right': -0.041503377, ' right': -3.2299895, 'Right': -7.226049, 'right': -8.495124, ' ': -10.113856}
{' Right': -0.046825267, ' right': -3.767946, ' Left': -4.2070312, 'Right': -5.2970862, ' left': -6.75526}
{' Left': -0.056935444, ' left': -3.2532017, 'Left': -4.8494062, ' Right': -4.9388113, 'left': -6.6305757}
{' Left': -0.2947444, ' Right': -1.8731153, ' left': -2.4738863, ' right': -4.933834, 'Left': -5.141042}
{' Left': -0.081327915, ' left': -2.7052445, 'Left': -5.069611, ' Right': -5.822497, 'left': -6.357385}
{' Right': -0.5588847, ' Left': -0.9365054, ' left': -3.8528817, ' right': -4.5298243, 'Right': -6.591032}
{' Left': -0.11887753, ' Right': -2.4732554, ' left': -3.7415104, 'Left': -6.1416144, ' right': -7.05005}
{' Right': -0.5276266, ' Left': -1.007279, ' left': -3.6750207, ' right': -4.165837, 'Right': -6.6407}
{' Left': -0.061774295, ' left': -2.881913, 'Left': -5.9408765, 'left': -6.795258, ' Right': -9.637006}
{' Left': -0.48978996, ' left': -0.98063844, ' Right': -5.0990787, ' right': -5.8431373, 'left': -6.3849335}
{' Right': -0.40826166, ' right': -1.1058973, 'right': -6.195655, 'Right': -6.572059, ' Left': -7.8394117}
{' left': -0.4915591, ' Left': -0.9546366, 'left': -6.226084, 'Left': -6.7863755, '\n': -8.967701}
{' right': -0.6547206, ' Right': -0.7433933, 'right': -5.9346714, 'Right': -6.6081543, '\n': -8.236122}
{' Left': -0.26220724, ' left': -1.5553399, 'Left': -4.936121, 'left': -5.2478485, ' Right': -5.2727375}
{' Right': -0.422213, ' right': -1.1583467, 'right': -4.2636666, 'Right': -4.8664494, ' Left': -5.427609}
{' Left': -0.70221746, ' left': -0.7091125, 'left': -4.9861526, 'Left': -5.3370514, '\n': -7.6453996}
{' Right': -0.5148949, ' right': -0.95648247, 'right': -4.6475263, 'Right': -4.9353795, '\n': -7.4651394}
{' Left': -0.13620403, ' left': -2.1596491, 'Left': -5.139601, ' Right': -5.7845783, 'left': -6.0330067}
{' Right': -0.1993586, ' right': -1.781407, 'Right': -5.1317677, 'right': -5.174561, ' ': -8.175936}
{' Left': -0.42196444, ' left': -1.095909, 'Left': -5.281082, 'left': -5.3895607, ' ': -8.545327}
{' Right': -0.29598647, ' right': -1.4116482, 'Right': -5.1663647, 'right': -5.2075615, ' RIGHT': -7.603456}
{' Left': -0.6320874, ' left': -0.7918051, 'Left': -5.062343, 'left': -5.337255, '\n': -6.440496}
{' Right': -0.6479289, ' right': -0.78229773, 'right': -4.7037797, 'Right': -5.00932, '\n': -6.3297625}
{' left': -0.42480385, ' Left': -1.0968046, 'left': -5.252034, 'Left': -5.363927, '\n': -6.4887886}
{' right': -0.6652992, ' Right': -0.760003, 'right': -4.7508473, 'Right': -5.033774, '\n': -6.322302}
{' Left': -0.1934054, ' left': -1.8303359, 'Left': -4.4843717, 'left': -5.5704613, ' ': -8.450048}
{' Right': -0.2502825, ' right': -1.5845282, 'Right': -4.6367073, 'right': -5.094301, ' ': -8.027462}
{' Left': -0.336682, ' left': -1.3013482, 'Left': -4.734446, 'left': -5.3897653, ' ': -8.369631}
{' Right': -0.2644895, ' right': -1.528682, 'Right': -4.6447, 'right': -5.3280993, ' RIGHT': -7.649666}
{' Left': -0.19099279, ' left': -2.3855996, ' Right': -2.644774, ' right': -5.5808835, 'Left': -5.6519184}
{' Right': -0.062453385, ' right': -2.9824114, 'Right': -5.533511, 'right': -5.889178, ' Left': -6.481628}
{' Left': -0.2524365, ' left': -1.535117, 'Left': -5.5957494, 'left': -5.907631, ' Right': -7.1092424}
{' Right': -0.25868338, ' right': -1.5899613, ' Left': -4.8922453, 'right': -5.1853666, 'Right': -5.1947713}
{' Right': -0.055102453, ' right': -2.9990625, ' Left': -6.3811173, 'Right': -6.8950925, 'right': -7.347916}
{' Left': -0.16488333, ' left': -1.9020543, ' Right': -7.0693917, 'Left': -7.075367, 'left': -7.084084}
{' Right': -0.11432827, ' right': -2.2475755, 'Right': -6.821182, 'right': -6.8722587, ' ': -9.105593}
{' Left': -0.12971051, ' left': -2.1395237, ' Right': -6.3248835, 'Left': -6.907851, 'left': -7.2024293}
{' Right': -0.034276366, ' right': -3.998405, ' Left': -4.6429358, 'Right': -5.5446773, 'right': -7.0652075}
{' Left': -0.058476366, ' left': -2.9769278, 'Left': -5.7299867, 'left': -6.491339, ' Right': -6.9538064}
{' Right': -0.046342373, ' right': -3.260507, 'Right': -5.6394453, 'right': -6.261712, ' Left': -6.8263884}
{' Left': -0.07245297, ' left': -2.8536649, ' Right': -5.003205, 'Left': -5.6520104, 'left': -6.4910183}
{' Right': -0.043414544, ' right': -3.9530766, ' Left': -4.1886554, 'Right': -5.2382274, 'right': -6.7227163}
{' Left': -0.074553855, ' left': -2.7449408, 'Left': -5.3395205, 'left': -6.2375083, ' Right': -7.3266788}
{' Right': -0.11107736, ' right': -2.95341, ' Left': -3.2754333, 'Right': -5.172883, ' left': -5.3652563}
{' Left': -0.14419357, ' left': -2.4658813, ' Right': -3.2408962, 'Left': -5.3290215, 'left': -6.043781}
{' Right': -0.12329145, ' right': -2.3388293, ' Left': -4.556568, 'Right': -5.559042, 'right': -6.0963407}
{' Left': -0.30354196, ' left': -1.6573015, ' Right': -2.9262798, ' right': -4.554265, 'Left': -5.8472886}
{' Right': -0.28792983, ' right': -1.4298499, 'right': -5.163826, 'Right': -5.438795, ' ': -7.9676495}
{' Left': -0.27365074, ' left': -1.5548244, ' Right': -4.1245914, ' right': -5.516998, 'Left': -5.565683}
{' Right': -0.03683029, ' right': -3.9086795, 'Right': -4.979545, ' Left': -5.0263286, 'right': -6.651201}
{' Left': -0.072122484, ' left': -2.8418481, 'Left': -4.7899494, 'left': -5.9577675, ' Right': -8.590051}
{' Right': -0.099591404, ' right': -2.8576307, ' Left': -3.9184182, 'Right': -4.700038, 'right': -5.5207295}
{' Left': -0.10668283, ' left': -2.4484358, 'Left': -4.822236, 'left': -5.693549, ' Right': -5.923127}
{' Right': -0.014133712, ' right': -4.6260815, 'Right': -6.071995, ' Left': -6.733063, 'right': -7.745674}
{' Left': -0.032411285, ' left': -3.5671134, 'Left': -5.8785152, 'left': -7.182733, ' ': -9.797706}
{' Right': -0.026208686, ' right': -3.8189902, 'Right': -5.9681525, 'right': -6.949067, ' ': -8.612452}
{' Left': -0.041652255, ' left': -3.3237681, 'Left': -5.7661963, 'left': -6.8363223, ' Right': -7.8764834}
{' Right': -0.2648549, ' right': -1.4748577, 'right': -6.715426, ' Left': -6.8660054, 'Right': -7.084538}
{' Left': -0.23001122, ' left': -2.0037308, ' Right': -2.761902, ' right': -5.149658, 'Left': -7.0694466}
{' Right': -0.32401565, ' right': -1.3906738, ' Left': -4.325305, ' left': -4.3667154, 'right': -7.0245175}
{' Left': -0.42841476, ' left': -1.0625795, 'left': -6.586992, 'Left': -6.6794653, ' Right': -8.625043}
{' Right': -0.51422644, ' Left': -1.0162787, ' left': -3.8569539, ' right': -4.206762, 'Right': -6.4036803}
{' Right': -0.64382887, ' Left': -0.8192764, ' left': -3.8572614, ' right': -4.7209544, 'Right': -6.512634}
{' Left': -0.16684324, ' Right': -2.55698, ' left': -2.6821096, ' right': -5.766197, 'Left': -5.9179726}
{' Left': -0.23568688, ' Right': -1.9697871, ' left': -2.802692, ' right': -5.2790747, 'Left': -5.988912}
{' Right': -0.3825377, ' Left': -1.2393893, ' left': -4.4556193, ' right': -4.4857936, 'Right': -5.9371486}
{' Left': -0.30257416, ' Right': -1.4376965, ' left': -4.059171, 'Left': -6.053165, ' right': -6.0927176}
{' Left': -0.06253403, ' left': -3.1048863, ' Right': -4.524563, 'Left': -5.6842146, 'left': -6.7821484}
{' Right': -0.6671273, ' Left': -0.80559134, ' left': -3.7937753, ' right': -4.3922997, 'Right': -6.2920876}
{' Right': -0.16403389, ' right': -1.9333059, 'Right': -5.666818, 'right': -6.103647, ' Left': -7.7797484}
{' Left': -0.12797607, ' left': -2.278281, ' Right': -4.3916326, 'Left': -5.82989, 'left': -6.8288226}
{' Right': -0.21423823, ' right': -1.7978907, ' Left': -4.227271, ' left': -4.976695, 'Right': -5.898669}
{' Left': -0.41907945, ' left': -1.0891958, 'Left': -5.870295, 'left': -5.984225, ' Right': -8.109699}
{' Right': -0.100597255, ' Left': -2.8810425, ' right': -3.6289558, 'Right': -5.1214366, ' left': -5.401079}
{' Left': -0.0481127, ' left': -3.489948, ' Right': -4.8009315, 'Left': -4.9951777, 'left': -6.82022}
{' Left': -0.16496697, ' left': -2.3257601, ' Right': -3.1894894, 'Left': -4.911984, 'left': -5.9246445}
{' Left': -0.1080005, ' left': -2.474509, ' Right': -4.8310704, 'Left': -4.9450784, 'left': -6.0260677}
{' Right': -0.10553968, ' Left': -2.5330546, ' right': -4.317074, ' left': -5.5797806, 'Right': -6.128149}
{' Left': -0.025832517, ' left': -3.9860203, ' Right': -5.577304, 'Left': -5.9815965, 'left': -7.6560616}
{' Right': -0.40948033, ' Left': -1.201566, ' left': -4.032878, ' right': -4.269313, 'Right': -6.566743}
{' Left': -0.042653833, ' left': -3.2656858, 'Left': -5.9645305, 'left': -7.007091, ' Right': -9.821389}
{' Left': -0.2844984, ' left': -1.4728414, ' Right': -4.461214, ' right': -5.8827457, 'left': -6.3220463}
{' Right': -0.310152, ' right': -1.3393668, 'right': -6.3562655, 'Right': -6.4305205, ' Left': -7.2744803}
{' left': -0.59259117, ' Left': -0.81417364, 'left': -6.118798, 'Left': -6.4770684, '\n': -8.510944}
{' Right': -0.6934723, ' right': -0.70357174, 'right': -5.914994, 'Right': -6.42608, '\n': -7.882807}
{' Left': -0.33118096, ' left': -1.3585972, ' Right': -4.798302, 'Left': -4.892206, 'left': -5.068312}
{' Right': -0.42490163, ' right': -1.1694124, 'right': -4.3143, ' Left': -4.830051, 'Right': -4.877767}
{' left': -0.66652375, ' Left': -0.74830914, 'left': -4.8900533, 'Left': -5.2899175, '\n': -7.627767}
{' Right': -0.49656793, ' right': -0.9879658, 'right': -4.6259317, 'Right': -4.8479495, '\n': -7.4918003}
{' Left': -0.13445657, ' left': -2.1887321, 'Left': -5.084392, ' Right': -5.4356074, 'left': -6.043926}
{' Right': -0.21432123, ' right': -1.7277851, 'Right': -4.971966, 'right': -5.034712, ' Left': -7.0934005}
{' Left': -0.43930587, ' left': -1.0612599, 'Left': -5.3158755, 'left': -5.4613605, ' ': -8.647024}
{' Right': -0.4164093, ' right': -1.123269, 'right': -4.8879323, 'Right': -5.1059213, ' RIGHT': -7.7623296}
{' left': -0.6732428, ' Left': -0.7502728, 'Left': -5.136009, 'left': -5.2768917, '\n': -6.2349644}
{' right': -0.7103819, ' Right': -0.7243876, 'right': -4.6568217, 'Right': -4.937602, '\n': -5.785262}
{' left': -0.37652358, ' Left': -1.199905, 'left': -5.205766, 'Left': -5.3548427, '\n': -6.440734}
{' right': -0.60253453, ' Right': -0.83445674, 'right': -4.6602836, 'Right': -5.128061, '\n': -6.3345976}
{' Left': -0.1941614, ' left': -1.8329686, 'Left': -4.4083657, 'left': -5.562451, ' ': -8.475884}
{' Right': -0.32766086, ' right': -1.3452027, 'Right': -4.5490847, 'right': -4.8653364, ' ': -7.9868374}
{' Left': -0.37439355, ' left': -1.2101593, 'Left': -4.7285075, 'left': -5.2993126, ' ': -8.520815}
{' Right': -0.3519859, ' right': -1.2682017, 'Right': -4.730959, 'right': -5.185524, ' ': -7.8844447}
{' Left': -0.2523326, ' Right': -1.8797283, ' left': -2.8309422, ' right': -5.1698146, 'Left': -5.9745054}
{' Right': -0.07906157, ' right': -2.8028486, 'Right': -5.4339848, 'right': -5.765066, ' Left': -5.772365}
{' Left': -0.2551114, ' left': -1.5266798, 'Left': -5.652629, 'left': -6.0397964, ' Right': -6.49521}
{' Right': -0.1310663, ' right': -2.271102, ' Left': -4.705188, 'Right': -5.3942723, ' left': -5.899649}
{' Right': -0.056924466, ' right': -2.9357388, 'Right': -6.7303443, 'right': -7.459554, ' Left': -8.56507}
{' Left': -0.15180233, ' left': -1.9760476, 'Left': -6.6294646, 'left': -7.103058, ' ': -10.016869}
{' Right': -0.07806863, ' right': -2.614455, 'Right': -6.8169827, 'right': -7.3609776, ' ': -9.35676}
{' Left': -0.121057235, ' left': -2.1917207, 'Left': -6.641917, 'left': -7.233175, ' Right': -8.957344}
{' Right': -0.022894982, ' right': -4.0240927, 'Right': -5.61935, 'right': -7.298497, ' Left': -8.486535}
{' Left': -0.07509034, ' left': -2.7029438, 'Left': -5.5604377, 'left': -6.5771213, ' ': -9.613415}
{' Right': -0.032680493, ' right': -3.60148, 'Right': -5.6592216, 'right': -6.703403, ' ': -9.213197}
{' Left': -0.056974433, ' left': -3.0182626, 'Left': -5.318886, 'left': -6.5481563, ' Right': -9.512745}
{' Right': -0.027347479, ' right': -3.9574983, 'Right': -5.1266055, 'right': -6.8705573, ' Left': -7.7155633}
{' Left': -0.1496631, ' left': -2.0411522, 'Left': -5.110179, 'left': -5.851973, ' ': -8.934012}
{' Right': -0.0680972, ' right': -2.878356, 'Right': -5.055161, 'right': -5.853373, ' ': -8.440887}
{' Left': -0.11597967, ' left': -2.311811, 'Left': -4.959504, 'left': -5.777824, ' ': -8.848335}
{' Right': -0.100140505, ' right': -2.429572, 'Right': -5.3452044, 'right': -6.379983, ' ': -8.207561}
{' Left': -0.32024607, ' left': -1.3184131, 'Left': -5.5484257, 'left': -6.039051, ' ': -9.148804}
{' Right': -0.16428696, ' right': -1.9327729, 'Right': -5.5551233, 'right': -5.976712, ' ': -8.384453}
{' Left': -0.24197376, ' left': -1.5768565, 'Left': -5.262434, 'left': -5.9750443, ' Right': -8.344443}
{' Right': -0.039983135, ' right': -3.5701804, 'Right': -4.7328386, 'right': -6.5296545, ' ': -7.7670736}
{' Left': -0.13919178, ' left': -2.152736, 'Left': -4.5955114, 'left': -5.699441, ' ': -8.4059105}
{' Right': -0.09053866, ' right': -2.6238754, 'Right': -4.6037736, 'right': -5.6644135, ' ': -7.9713154}
{' Left': -0.1593593, ' left': -2.0435336, 'Left': -4.3640027, 'left': -5.39287, ' ': -8.120634}
{' Right': -0.014329841, ' right': -4.503303, 'Right': -6.031261, 'right': -7.811755, ' ': -8.814252}
{' Left': -0.04504881, ' left': -3.2036216, 'Left': -5.958674, 'left': -7.204308, ' ': -9.494559}
{' Right': -0.022639917, ' right': -3.9825912, 'Right': -5.893354, 'right': -7.1737475, ' ': -8.882083}
{' Left': -0.042619996, ' left': -3.3224986, 'Left': -5.4496, 'left': -6.7995505, ' ': -9.044397}
{' Right': -0.23848026, ' right': -1.5581175, 'Right': -7.171315, 'right': -7.2769017, ' ': -9.440498}
{' Left': -0.31214368, ' left': -1.3233988, 'Left': -6.823868, 'left': -7.3612595, ' Right': -9.628443}
{' Right': -0.36719292, ' right': -1.189758, 'right': -6.804494, 'Right': -6.8947477, ' left': -8.03772}
{' Left': -0.22961617, ' left': -1.5910053, 'Left': -7.035398, 'left': -7.599151, ' ': -10.227003}
{' Right': -0.022311106, ' right': -3.973845, 'Right': -5.9858594, 'right': -7.460156, ' Left': -9.345951}
{' Left': -0.037037976, ' left': -3.4605186, 'Left': -5.5925493, 'left': -7.100182, ' Right': -7.9999204}
{' Left': -0.74022686, ' Right': -0.74625224, ' left': -3.4318905, ' right': -4.392626, 'Right': -6.6322002}
{' Left': -0.053894326, ' left': -3.031065, 'Left': -5.7820473, 'left': -6.9352536, ' Right': -9.175175}
{' Right': -0.02290023, ' right': -4.006968, 'Right': -5.703541, 'right': -7.149898, ' ': -8.816078}
{' Left': -0.037756357, ' left': -3.4607854, 'Left': -5.3793716, 'left': -7.071804, ' Right': -9.423243}
{' Right': -0.15138762, ' Left': -2.2054496, ' right': -4.0439467, ' left': -4.834516, 'Right': -5.909196}
{' Left': -0.05174124, ' left': -3.0824265, 'Left': -5.686449, 'left': -6.847044, ' ': -9.81217}
{' Right': -0.08358714, ' right': -2.5788493, 'Right': -5.85118, 'right': -6.8347273, ' ': -8.608453}
{' Left': -0.16128747, ' left': -1.9410573, 'Left': -5.5361347, 'left': -6.727485, ' ': -9.1044855}
{' Right': -0.17120048, ' right': -1.9403236, ' Left': -5.246203, 'Right': -5.7106667, ' left': -5.983805}
{' Left': -0.22478496, ' left': -1.6274397, 'Left': -5.733291, 'left': -6.5661354, ' ': -8.800856}
{' Right': -0.035849724, ' right': -3.5523007, 'Right': -5.255416, 'right': -7.0003266, ' ': -8.555859}
{' Left': -0.063433096, ' left': -2.9941297, 'Left': -4.634802, 'left': -6.5093727, ' ': -9.195631}
{' Right': -0.5389565, ' Left': -1.1069001, ' left': -3.0810304, ' right': -3.5584476, 'Right': -5.404061}
{' Left': -0.09459033, ' left': -2.5186396, 'Left': -4.8725405, 'left': -6.283364, ' ': -9.1523075}
{' Right': -0.016055673, ' right': -4.3662467, 'Right': -6.0587053, 'right': -7.7756624, ' Left': -8.281613}
{' Left': -0.02813175, ' left': -3.7521899, 'Left': -5.6479707, 'left': -7.519991, ' ': -9.343854}
{' Right': -0.16758525, ' Left': -2.0584219, ' right': -4.182689, ' left': -4.8969817, 'Right': -6.255904}
{' Left': -0.04310882, ' left': -3.2369716, 'Left': -6.159116, 'left': -7.288889, ' ': -9.561507}
{' Left': -0.38427275, ' left': -1.2764828, ' Right': -3.5540688, ' right': -4.6958895, 'left': -6.8976088}
{' Right': -0.23775506, ' right': -1.5649111, 'Right': -6.61302, 'right': -6.913136, ' ': -10.065422}
{' Left': -0.4244709, ' left': -1.0680486, 'left': -7.168422, 'Left': -7.346725, ' Right': -7.5608826}
{' Right': -0.3148735, ' right': -1.3194435, 'Right': -6.5147915, 'right': -6.8990507, ' RIGHT': -9.239403}
{' Left': -0.2237888, ' left': -1.6983962, 'Left': -4.8474193, 'left': -5.323478, ' Right': -5.587327}
{' Right': -0.33253515, ' right': -1.3405042, 'right': -4.492033, 'Right': -4.910404, ' Left': -6.711184}
{' Left': -0.58920604, ' left': -0.837848, 'left': -4.98059, 'Left': -5.251197, '\n': -8.247455}
{' Right': -0.31300008, ' right': -1.3732705, 'Right': -4.8470078, 'right': -5.012203, ' ': -8.123865}
{' Left': -0.11893339, ' left': -2.2998586, 'Left': -5.1626573, ' Right': -5.733708, 'left': -6.0809402}
{' Right': -0.11569704, ' right': -2.332961, 'Right': -4.920661, 'right': -5.4492044, ' ': -8.215301}
{' Left': -0.22545527, ' left': -1.6458465, 'Left': -5.2776895, 'left': -5.618752, ' ': -8.969765}
{' Right': -0.19522375, ' right': -1.7934043, 'Right': -5.1138544, 'right': -5.5291815, ' RIGHT': -7.8243117}
{' Left': -0.63186675, ' left': -0.7873882, 'Left': -5.168143, 'left': -5.397448, ' Right': -6.7970276}
{' right': -0.6244294, ' Right': -0.8049772, 'right': -4.6909537, 'Right': -5.1473136, '\n': -6.831529}
{' left': -0.46118593, ' Left': -1.0241475, 'left': -5.2795563, 'Left': -5.4814606, '\n': -7.2508106}
{' right': -0.6352393, ' Right': -0.7904727, 'right': -4.7342877, 'Right': -5.1696367, '\n': -6.8522696}
{' Left': -0.17280738, ' left': -1.9514633, 'Left': -4.347879, 'left': -5.6895366, ' ': -8.66912}
{' Right': -0.17214, ' right': -1.930481, 'Right': -4.7472095, 'right': -5.524757, ' ': -8.373228}
{' Left': -0.20575888, ' left': -1.7424332, 'Left': -4.8801093, 'left': -5.78618, ' ': -8.99523}
{' Right': -0.16190328, ' right': -1.9867133, 'Right': -4.7111564, 'right': -5.9787116, ' ': -7.972408}
{' Left': -0.3682874, ' Right': -1.3126748, ' left': -3.5226853, ' right': -5.1444774, 'Left': -6.5239806}
{' Right': -0.033210874, ' right': -3.5324764, 'Right': -5.9771495, 'right': -7.256098, ' ': -9.259832}
{' Left': -0.087854974, ' left': -2.5682187, ' Right': -5.4177284, 'Left': -6.399657, 'left': -7.0395737}
{' Right': -0.04182595, ' right': -3.332439, 'Right': -5.8222384, 'right': -6.8752704, ' Left': -7.092941}
{' Right': -0.21919169, ' right': -2.289525, 'Right': -2.5298433, 'right': -4.21708, ' ': -7.533704}
{' Left': -0.4126914, ' left': -1.3870413, 'Left': -2.6996539, 'left': -3.8860114, ' ': -7.701188}
{' Right': -0.17706795, ' right': -2.4824975, 'Right': -2.7653077, 'right': -4.1917353, ' ': -7.6945033}
{' Left': -0.3592063, ' left': -1.6188936, 'Left': -2.4673223, 'left': -4.00854, ' ': -7.81676}
{' Right': -0.34925497, ' right': -2.0181277, 'Right': -2.6045687, ' Left': -3.2095072, 'right': -3.5753176}
{' Right': -0.6367705, ' Left': -1.3194411, ' right': -2.7509825, 'Right': -2.9270728, ' left': -3.0726283}
{' Right': -0.27242732, ' right': -2.0766704, 'Right': -2.823752, ' Left': -3.6907296, 'right': -4.0815377}
{' Left': -0.30485645, ' left': -1.6305952, 'Left': -3.0639849, 'left': -3.9962528, ' Right': -7.1040063}
{' Right': -0.33267868, ' right': -1.5161408, 'Right': -3.1244056, 'right': -3.978978, ' ': -7.740462}
{' Left': -0.58793485, ' left': -0.9156935, 'Left': -3.576294, 'left': -4.1283035, ' ': -8.707863}
{' right': -0.7622223, ' Right': -0.79696274, 'right': -3.1365318, 'Right': -3.2515447, ' ': -7.973192}
{' left': -0.6622906, ' Left': -0.8424396, 'Left': -3.4482727, 'left': -3.8341236, ' ': -8.526448}
{' Right': -0.5835711, ' right': -1.1569849, 'Right': -2.4968133, 'right': -3.1270568, ' ': -6.8261113}
{' Left': -0.56937844, ' left': -1.1487317, 'Left': -2.4674842, 'left': -3.4508653, ' ': -7.644551}
{' Right': -0.5863399, ' right': -0.95707315, 'Right': -3.3494413, 'right': -3.770212, ' ': -7.035851}
{' left': -0.598903, ' Left': -0.9267896, 'Left': -3.4196541, 'left': -3.8314316, ' ': -8.071623}
{' Right': -0.18653426, 'Right': -2.3802238, ' right': -2.9538662, 'right': -4.4722476, ' Left': -4.6230674}
{' Right': -0.7210168, ' Left': -1.1159713, ' left': -2.836436, 'Right': -3.1039553, ' right': -3.1432369}
{' Left': -0.26844174, ' left': -1.9092841, 'Left': -2.6343932, 'left': -4.3881297, ' Right': -6.240024}
{' Right': -0.1671581, ' right': -2.5908449, 'Right': -2.7248132, 'right': -4.612009, ' Left': -6.5054593}
{' Left': -0.61699086, ' left': -0.87940395, 'Left': -3.540058, 'left': -4.1300273, ' ': -8.198791}
{' Right': -0.3351064, ' right': -1.4988178, 'Right': -3.123463, 'right': -4.110083, ' ': -7.287912}
{' Left': -0.49931073, ' left': -1.0960743, 'Left': -3.1610959, 'left': -4.14203, ' ': -7.596423}
{' Right': -0.41376165, ' right': -1.3631788, 'Right': -2.8993669, 'right': -3.6061273, ' ': -7.4966702}
{' Left': -0.49179658, ' left': -1.2327958, 'Left': -2.6554089, 'left': -3.6594007, ' ': -7.2778277}
{' Right': -0.4844881, ' right': -1.3910033, 'Right': -2.409907, 'right': -3.1222901, ' ': -6.945685}
{' Left': -0.60570556, ' left': -0.92270315, 'Left': -3.3682861, 'left': -3.8196778, ' ': -7.760146}
{' Right': -0.44590506, ' right': -1.2740986, 'Right': -2.9257996, 'right': -3.6866047, ' ': -7.080184}
{' Right': -0.61633855, ' Left': -1.669874, ' right': -2.3257577, ' left': -2.6794472, 'Right': -2.7963789}
{' Right': -0.20905343, 'Right': -2.3162959, ' right': -2.608925, 'right': -4.272776, ' Left': -7.009536}
{' Right': -0.22147234, ' right': -2.27463, 'Right': -2.5247312, 'right': -4.2256436, ' ': -7.370692}
{' Left': -0.33236784, ' left': -1.66734, 'Left': -2.587052, 'left': -4.0123143, ' ': -7.517149}
{' Right': -0.27980557, 'Right': -2.1581607, ' right': -2.2724757, 'right': -3.723668, ' ': -7.2980866}
{' Left': -0.3851609, ' left': -1.4921765, 'Left': -2.6399064, 'left': -3.7748551, ' ': -7.867634}
{' Right': -0.22767882, 'Right': -2.3175092, ' right': -2.531592, 'right': -3.690325, ' ': -7.792221}
{' Left': -0.39983508, ' left': -1.5510918, 'Left': -2.3851123, 'left': -3.6943145, ' ': -7.817376}
{' Left': -0.7032779, ' Right': -1.2905467, ' left': -2.249266, ' right': -3.0130713, 'Right': -3.678244}
{' Right': -0.3950231, ' right': -1.8241823, 'Right': -2.4270856, 'right': -3.0588357, ' Left': -3.8781145}
{' Right': -0.596489, ' right': -1.5594635, 'Right': -2.6137886, ' Left': -2.6758041, 'right': -2.8651085}
{' Left': -0.73954666, ' Right': -1.2622269, ' left': -2.2475653, ' right': -2.816413, 'Right': -3.7337635}
{' Right': -0.35952207, ' right': -1.5685141, 'Right': -2.7011833, 'right': -3.6640797, ' ': -7.560367}
{' Left': -0.58386594, ' left': -0.9646699, 'Left': -3.2170923, 'left': -3.874273, ' ': -8.209052}
{' Right': -0.65172744, ' right': -0.97825783, 'Right': -2.8898923, 'right': -3.0628486, ' ': -7.9009147}
{' Left': -0.7288469, ' left': -0.8064303, 'Left': -3.0553257, 'left': -3.7414103, ' ': -8.474237}
{' Right': -0.54190904, ' right': -1.3804177, 'Right': -2.217034, 'right': -2.8795555, ' ': -6.6606803}
{' Left': -0.5360079, ' left': -1.2545881, 'Left': -2.3340654, 'left': -3.440463, ' ': -7.438218}
{' Right': -0.5294112, ' right': -1.1236514, 'Right': -2.918428, 'right': -3.5178716, ' ': -6.719326}
{' Left': -0.651029, ' left': -0.90408075, 'Left': -3.0350335, 'left': -3.6903813, ' ': -7.683894}
{' Right': -0.25724223, 'Right': -2.0366952, ' right': -3.2557087, ' Left': -3.3920326, 'right': -4.3037276}
{' Left': -0.3926906, ' left': -1.9529208, 'Left': -2.5347633, ' Right': -2.8129995, 'left': -3.9148557}
{' Left': -0.3249586, ' left': -1.9660032, 'Left': -2.5656984, ' Right': -3.4599092, 'left': -4.058273}
{' Right': -0.34802586, 'Right': -2.1477885, ' right': -2.2740705, ' Left': -3.5362678, 'right': -3.547084}
{' Left': -0.4745202, ' left': -1.1255383, 'Left': -3.2647557, 'left': -4.222775, ' ': -7.7828045}
{' Right': -0.26441294, ' right': -1.8555328, 'Right': -2.8055866, 'right': -4.2373724, ' ': -7.155682}
{' Left': -0.51911944, ' left': -1.0786821, 'Left': -3.1488743, 'left': -3.9156609, ' ': -6.7176743}
{' Right': -0.37332568, ' right': -1.5099852, 'Right': -2.8109057, 'right': -3.527958, ' ': -7.1026187}
{' Left': -0.45918384, ' left': -1.32006, 'Left': -2.8020124, 'left': -3.3182957, ' Right': -6.318767}
{' Right': -0.44921115, ' right': -1.6294402, 'Right': -2.243456, 'right': -2.8421896, ' ': -6.860027}
{' Left': -0.5084751, ' left': -1.1242894, 'Left': -3.1476293, 'left': -3.5047288, ' ': -7.657976}
{' Right': -0.5348945, ' right': -1.2976395, 'Right': -2.4061449, 'right': -3.0223498, ' ': -6.6561103}
{' Right': -0.2528781, ' right': -2.1657143, 'Right': -2.4607618, 'right': -3.8578603, ' ': -7.010816}
{' Left': -0.42379445, ' left': -1.286679, 'Left': -2.9936378, 'left': -3.991675, ' ': -7.614312}
{' Right': -0.26637283, ' right': -2.0309432, 'Right': -2.6159003, 'right': -3.5576818, ' ': -7.3056927}
{' Left': -0.3849992, ' left': -1.4618235, 'Left': -2.7142742, 'left': -3.8918464, ' ': -7.5279703}
{' Left': -0.6642642, ' Right': -1.4476275, ' left': -2.0319536, ' right': -3.108789, 'Left': -3.5652041}
{' Left': -0.541807, ' left': -1.5926759, ' Right': -2.1635911, 'Left': -3.4423633, ' right': -3.5841405}
{' Left': -0.3506262, ' left': -1.4470065, 'Left': -3.2151546, 'left': -3.9238796, ' ': -7.874608}
{' Right': -0.38136312, ' right': -1.5649682, 'Right': -3.0173666, 'right': -3.534769, ' Left': -4.158037}
