{' Yes': -0.0029946903, ' No': -6.6307826, 'Yes': -6.8748684, ' The': -7.6930256, ' yes': -9.08091}
{' No': -0.0033568651, ' Yes': -6.3125095, 'No': -6.659731, '\n': -9.05528, ' ': -9.355688}
{' No': -0.010129159, ' Yes': -4.683482, 'No': -7.5986357, '\n': -8.8070345, ' no': -9.77616}
{' No': -0.007742477, ' Yes': -4.994513, 'No': -7.303894, '\n': -9.371525, ' ': -9.47353}
{' No': -0.0025908102, ' Yes': -6.6447644, 'No': -6.9651527, '\n': -8.76279, ' ': -9.130955}
{' No': -0.0028409967, ' Yes': -6.2366147, 'No': -7.1646523, '\n': -10.017939, ' ': -10.679117}
{' No': -0.0016514121, 'No': -6.944373, ' Yes': -7.547197, '\n': -9.83079, ' no': -10.294614}
{' No': -0.00892854, ' Yes': -4.9008255, 'No': -6.752931, ' ': -9.025818, '\n': -9.095329}
{' No': -0.033277605, ' Yes': -3.4766371, 'No': -6.610044, '\n': -8.682291, ' ': -8.941792}
{' No': -0.013034131, ' Yes': -4.4255323, 'No': -7.4209146, '\n': -8.317048, ' ': -9.800794}
{' No': -0.002292356, 'No': -6.8420672, ' Yes': -6.842896, ' ': -9.799228, '\n': -9.804946}
{' No': -0.10039056, ' Yes': -2.3635874, 'No': -7.38964, '\n': -7.8362055, 'Yes': -9.138841}
{' No': -0.017229827, ' Yes': -4.1083245, 'No': -7.7634907, '\n': -9.249218, ' ': -10.06106}
{' No': -0.039819025, ' Yes': -3.3247576, 'No': -6.468082, '\n': -6.7898836, ' ': -8.175935}
{' Yes': -0.44319704, ' No': -1.0351197, '\n': -6.7182207, 'Yes': -7.379453, 'No': -7.5501795}
{' No': -0.30346954, ' Yes': -1.3432415, 'No': -7.8539357, 'Yes': -8.942094, '\n': -9.38889}
{' No': -0.046864055, ' Yes': -3.095572, 'No': -8.181631, '\n': -8.883617, ' ': -10.056114}
{' Yes': -0.013731903, ' No': -4.3662534, 'Yes': -7.454407, ' yes': -8.38029, '\n': -9.653758}
{' No': -0.09368573, ' Yes': -2.440165, 'No': -6.4939847, '\n': -8.049086, ' ': -8.93614}
{' Yes': -0.056488764, ' No': -2.9306703, 'Yes': -7.3038564, ' yes': -7.598858, ' The': -9.037069}
{' No': -0.6617037, ' Yes': -0.7295729, 'No': -7.562352, 'Yes': -7.646145, ' yes': -7.960673}
{' Yes': -0.055406757, ' No': -2.940384, 'Yes': -7.2694016, ' yes': -9.190494, '\n': -9.254481}
{' Yes': -0.32674092, ' No': -1.2844244, 'Yes': -7.305735, 'No': -7.7414837, '\n': -7.9863153}
{' No': -0.44830093, ' Yes': -1.0213295, 'No': -7.6380363, 'Yes': -8.289601, '\n': -8.711507}
{' Yes': -0.039329074, ' No': -3.2832596, 'Yes': -7.432012, ' yes': -8.360146, '\n': -9.230894}
{' Yes': -0.37344703, ' No': -1.170015, 'Yes': -7.599452, 'No': -7.9628444, '\n': -8.49509}
{' No': -0.030249126, ' Yes': -3.541556, 'No': -7.246609, '\n': -9.976057, ' ': -10.75828}
{' Yes': -0.51218706, ' No': -0.9177637, '\n': -8.075395, 'Yes': -8.110314, ' yes': -8.291709}
{' No': -0.004511658, ' Yes': -5.63637, 'No': -7.294301, '\n': -9.213046, ' ': -9.340144}
{' No': -0.1964175, ' Yes': -1.7322527, 'No': -7.4185753, '\n': -7.772072, ' ': -8.631046}
{' Yes': -0.5704375, ' No': -0.8374433, ' yes': -7.501025, 'Yes': -7.8972344, ' The': -8.065972}
{' Yes': -0.010158784, ' No': -4.6650314, 'Yes': -7.6646733, ' yes': -9.591194, ' Hammer': -9.710957}
{' Yes': -0.016316758, ' No': -4.1722903, 'Yes': -7.8143053, '\n': -8.8044405, ' yes': -8.951198}
{' Yes': -0.23065974, ' No': -1.583357, 'Yes': -8.01503, ' yes': -8.810913, 'No': -9.210081}
{' Yes': -0.07139163, ' No': -2.6934829, 'Yes': -7.425622, ' yes': -8.163575, ' The': -8.715079}
{' No': -0.0017485558, 'No': -6.693906, ' Yes': -7.9208593, '\n': -9.952289, ' ': -10.106061}
{' No': -0.008243914, ' Yes': -5.010384, 'No': -6.8332386, '\n': -8.17503, ' ': -9.001301}
{' No': -0.36831945, ' Yes': -1.1796713, 'No': -7.986407, 'Yes': -8.91489, ' yes': -9.597914}
{' No': -0.0021165498, 'No': -6.670666, ' Yes': -7.5347867, '\n': -8.809854, ' ': -9.336786}
{' Yes': -0.016983476, ' No': -4.1602426, 'Yes': -6.9166284, ' yes': -9.331039, '\n': -9.805496}
{' Yes': -0.0008084589, ' No': -7.681108, 'Yes': -8.719528, ' yes': -8.9443035, ' The': -11.180444}
{' No': -0.27331632, ' Yes': -1.4356124, 'No': -7.5179276, '\n': -8.443694, 'Yes': -8.890168}
{' No': -0.30840537, ' Yes': -1.3316445, 'No': -7.173754, 'Yes': -8.375324, '\n': -8.624067}
{' No': -0.1415062, ' Yes': -2.0367677, 'No': -7.090652, '\n': -8.678795, ' ': -8.8940735}
{' No': -0.6505411, ' Yes': -0.7415102, 'No': -7.22463, 'Yes': -7.3006263, '\n': -8.735465}
{' No': -0.10442476, ' Yes': -2.32047, 'No': -7.8060403, '\n': -8.145295, ' ': -9.152242}
{' No': -0.023896905, ' Yes': -3.818233, 'No': -6.573261, '\n': -8.833741, ' ': -9.975549}
{' No': -0.012389832, ' Yes': -4.4438906, 'No': -7.76168, ' ': -10.105988, '\n': -10.184659}
{' No': -0.012529187, ' Yes': -4.4530234, 'No': -7.7310004, '\n': -9.0552225, ' Circ': -9.672456}
{' No': -0.027184363, ' Yes': -3.7051492, 'No': -6.4035606, '\n': -8.276923, ' ': -8.552179}
{' No': -0.12610297, ' Yes': -2.1485143, 'No': -6.9651527, '\n': -7.5964913, ' ': -8.691954}
{' Yes': -0.18101564, ' No': -1.8056493, 'Yes': -7.5052147, 'No': -8.441402, ' yes': -8.835741}
{' No': -0.23446466, ' Yes': -1.5700551, 'No': -7.4897094, '\n': -8.97693, ' ': -9.233617}
{' Yes': -0.021296024, ' No': -3.8893762, 'Yes': -7.839602, ' yes': -9.010054, ' ': -10.285902}
{' No': -0.34275314, ' Yes': -1.2430618, 'No': -7.51335, 'Yes': -7.968054, '\n': -8.00177}
{' No': -0.071919695, ' Yes': -2.6945813, 'No': -6.729516, '\n': -8.026389, ' ': -9.132041}
{' No': -0.17675614, ' Yes': -1.8264028, 'No': -7.5560145, '\n': -8.436617, 'Yes': -9.1674595}
{' Yes': -0.04436904, ' No': -3.1568108, 'Yes': -7.466776, ' yes': -9.327105, '\n': -9.675005}
{' No': -0.3123671, ' Yes': -1.3204218, 'No': -7.3409905, 'Yes': -8.434988, '\n': -8.621544}
{' Yes': -0.27333066, ' No': -1.4353236, 'Yes': -7.8216853, ' yes': -7.9766865, 'No': -8.909319}
{' No': -0.031835612, ' Yes': -3.5111444, 'No': -6.698303, '\n': -9.502029, 'Yes': -10.196859}
{' No': -0.004718248, ' Yes': -5.6294603, 'No': -7.080798, '\n': -8.611701, ' ': -9.821328}
{' No': -0.008886987, ' Yes': -4.888659, 'No': -6.77876, '\n': -9.735146, ' ': -9.8844}
{' No': -0.041458644, ' Yes': -3.2302003, 'No': -7.1813927, '\n': -9.306528, ' ': -9.571392}
{' No': -0.0073513305, ' Yes': -5.0839734, 'No': -7.00725, '\n': -9.318673, ' ': -9.615016}
{' No': -0.006479092, ' Yes': -5.4229407, 'No': -6.403564, '\n': -8.386584, ' ': -9.333622}
{' No': -0.004725614, ' Yes': -6.0382104, 'No': -6.248713, '\n': -8.528539, ' ': -9.25623}
{' No': -0.002740042, 'No': -6.0170755, ' Yes': -9.198375, ' ': -9.417071, '\n': -9.955756}
{' No': -0.06263695, ' Yes': -2.8220363, 'No': -6.9479494, '\n': -9.143369, 'Yes': -9.697429}
{' No': -0.038311437, ' Yes': -3.312096, 'No': -7.114891, '\n': -8.779718, ' ': -9.411196}
{' No': -0.30579966, ' Yes': -1.3389322, 'No': -7.173282, 'Yes': -8.330832, '\n': -8.634127}
{' No': -0.05937008, ' Yes': -2.8816316, 'No': -6.760385, '\n': -8.49408, 'Yes': -9.541485}
{' No': -0.02833512, ' Yes': -3.6374924, 'No': -6.8212557, '\n': -8.626693, ' The': -9.177447}
{' Yes': -0.005328741, ' No': -5.593965, 'Yes': -7.05084, '\n': -7.94655, ' yes': -8.181947}
{' Yes': -0.505795, ' No': -0.9271989, 'No': -8.057934, 'Yes': -8.127983, '\n': -8.204021}
{' Yes': -0.008255575, ' No': -5.056851, 'Yes': -7.0611796, ' The': -7.5159683, ' yes': -8.071312}
{' Yes': -0.016283315, ' No': -4.2593956, 'Yes': -6.8287005, ' yes': -7.629696, ' The': -8.514744}
{' Yes': -0.006128437, ' No': -5.383839, 'Yes': -6.71775, ' yes': -8.549007, '\n': -10.193061}
{' Yes': -0.0052759503, ' No': -5.5987186, 'Yes': -6.6123524, ' yes': -9.079113, ' The': -10.283115}
{' No': -0.0831714, ' Yes': -2.5648265, 'No': -6.836554, '\n': -7.091172, ' The': -7.678937}
{' No': -0.049249392, ' Yes': -3.140781, 'No': -5.7251277, '\n': -7.2300367, ' ': -8.040593}
{' No': -0.20860152, ' Yes': -1.69838, 'No': -5.851591, '\n': -7.0926213, ' The': -7.45879}
{' No': -0.03741771, ' Yes': -3.4292023, 'No': -5.6635466, '\n': -7.9338083, ' The': -8.639743}
{' Yes': -0.43569407, ' No': -1.0536178, 'Yes': -6.287363, 'No': -6.3554306, ' yes': -7.9370728}
{' No': -0.6497046, ' Yes': -0.7447498, 'No': -6.4527063, 'Yes': -7.136479, ' The': -8.666422}
{' No': -0.006205444, 'No': -5.2628617, ' Yes': -7.261215, ' The': -9.131369, ' ': -9.627381}
{' No': -0.16403311, ' Yes': -1.9121277, 'No': -6.1307516, '\n': -7.6959157, 'Yes': -7.807706}
{' Yes': -0.31495214, ' No': -1.318618, 'Yes': -7.122809, ' The': -7.197331, 'No': -7.6759305}
{' No': -0.021405628, ' Yes': -3.9960625, 'No': -6.0547514, ' The': -8.504352, '\n': -9.493359}
{' Yes': -0.22532974, ' No': -1.6106712, 'Yes': -7.0297675, ' yes': -7.9819574, 'No': -8.12695}
{' Yes': -0.010699587, ' No': -4.6763144, 'Yes': -6.9687114, ' yes': -8.753404, ' The': -8.897147}
{' No': -0.33244646, ' Yes': -1.276605, 'No': -6.068595, 'Yes': -7.3507104, '\n': -8.012366}
{' No': -0.06870775, ' Yes': -2.7873526, 'No': -5.7088847, '\n': -7.2028036, 'Yes': -8.682105}
{' Yes': -0.06777995, ' No': -2.7818053, 'Yes': -6.221531, '\n': -7.437555, 'No': -8.097736}
{' No': -0.00557086, 'No': -5.2528124, ' Yes': -8.597632, ' ': -9.665555, '\n': -9.980134}
{' No': -0.10763185, ' Yes': -2.3792496, 'No': -5.15123, ' The': -6.644966, '\n': -6.721742}
{' No': -0.01578957, ' Yes': -4.8177, 'No': -5.1368146, '\n': -7.1861978, ' ': -7.798073}
{' Yes': -0.0023918895, 'Yes': -6.1466575, ' yes': -8.845088, '\n': -9.806646, ' ': -10.358536}
{' Yes': -0.0026414879, 'Yes': -6.0347533, ' yes': -8.844825, '\n': -9.990266, ' ': -10.666301}
{' No': -0.2736957, ' Yes': -1.4552906, 'No': -5.5890527, ' The': -6.990107, 'Yes': -7.301848}
{' No': -0.03833627, ' Yes': -3.3983214, 'No': -5.657898, ' The': -8.190861, '\n': -9.062831}
{' Yes': -0.2158583, ' No': -1.6588649, 'Yes': -6.299522, 'No': -7.4303265, ' The': -7.5633583}
{' Yes': -0.36925125, ' No': -1.1907309, 'Yes': -6.2505817, 'No': -6.8172755, '\n': -7.148147}
{' No': -0.011957473, ' Yes': -4.772873, 'No': -5.909404, '\n': -8.072653, ' ': -8.846561}
{' No': -0.14462742, ' Yes': -2.043122, 'No': -5.6637383, '\n': -7.4299774, 'Yes': -7.7316556}
{' No': -0.00919812, 'No': -5.229378, ' Yes': -5.6699123, ' The': -9.098077, ' ': -9.2141285}
{' No': -0.01541928, ' Yes': -4.527952, 'No': -5.495878, '\n': -8.773085, ' ': -9.394539}
{' Yes': -0.0796414, ' No': -2.6008606, 'Yes': -6.6654854, '\n': -8.193275, ' The': -8.194321}
{' No': -0.14385512, ' Yes': -2.0280464, 'No': -6.4234343, '\n': -8.3156, 'Yes': -8.659701}
{' Yes': -0.50278854, ' No': -0.94240946, 'Yes': -5.984878, 'No': -6.7946563, '\n': -7.2480025}
{' No': -0.06798127, ' Yes': -2.7679152, 'No': -6.0790896, 'Yes': -8.306516, '\n': -8.742669}
{' No': -0.14960995, ' Yes': -2.0086112, 'No': -5.6864505, ' The': -7.79384, 'Yes': -7.80286}
{' No': -0.09005683, ' Yes': -2.5139668, 'No': -5.521936, 'Yes': -8.166528, ' The': -8.196588}
{' Yes': -0.09302351, ' No': -2.4565547, 'Yes': -6.480047, ' yes': -7.4308486, '\n': -7.8377604}
{' Yes': -0.14640188, ' No': -2.030534, 'Yes': -5.842342, '\n': -7.33645, 'No': -7.3501196}
{' Yes': -0.0014920771, 'Yes': -6.7167706, ' yes': -8.814236, ' No': -9.322685, ' ': -11.115031}
{' Yes': -0.03275292, ' No': -3.5008829, 'Yes': -6.4904475, ' yes': -8.856034, '\n': -9.127547}
{' No': -0.0079529025, ' Yes': -5.539489, 'No': -5.5967193, ' ': -9.252012, ' The': -9.431576}
{' Yes': -0.06326081, ' No': -2.8371367, 'Yes': -6.475677, ' The': -7.7848372, ' yes': -7.85616}
{' Yes': -0.004495253, ' No': -6.167558, 'Yes': -6.4127994, ' yes': -7.787006, '\n': -8.695248}
{' No': -0.48542896, ' Yes': -0.96400946, 'No': -6.790475, '\n': -7.4353213, ' The': -7.5582795}
{' Yes': -0.004616685, ' No': -5.9320893, 'Yes': -6.5777173, ' yes': -8.187076, '\n': -8.756106}
{' Yes': -0.012229077, ' No': -4.5938993, 'Yes': -6.8467255, ' The': -7.6923943, ' yes': -7.7741647}
{' Yes': -0.016765794, ' No': -4.2082367, 'Yes': -6.689796, ' yes': -8.616127, ' The': -8.73294}
{' No': -0.55705315, ' Yes': -0.86065155, 'No': -6.292944, 'Yes': -7.1669927, ' The': -7.3513722}
{' No': -0.05794082, ' Yes': -2.9418597, 'No': -5.9862742, ' The': -7.8052454, '\n': -8.36272}
{' No': -0.16778043, ' Yes': -1.892403, 'No': -6.0619454, '\n': -7.6065164, 'Yes': -7.9638505}
{' Yes': -0.050944872, ' No': -3.0481696, 'Yes': -6.736583, ' yes': -7.57965, '\n': -8.868311}
{' Yes': -0.6465103, ' No': -0.74933743, 'No': -6.403099, 'Yes': -7.07836, ' The': -8.049743}
{' Yes': -0.4401962, ' No': -1.0428174, 'Yes': -6.455163, 'No': -6.7978888, ' Not': -8.215884}
{' No': -0.15016708, ' Yes': -1.9856334, 'No': -6.6443477, ' The': -7.822708, 'Yes': -8.684722}
{' Yes': -0.0023273039, 'Yes': -6.204746, ' yes': -8.72629, ' No': -9.750599, '\n': -10.677078}
{' Yes': -0.014157228, ' No': -4.387055, 'Yes': -6.6645665, ' yes': -8.450462, ' The': -10.222208}
{' Yes': -0.0033898787, ' No': -6.451569, 'Yes': -6.4887066, ' yes': -9.194763, '\n': -9.244375}
{' Yes': -0.018876718, ' No': -4.0927577, 'Yes': -6.5377245, ' yes': -8.7129965, ' The': -8.790743}
{' No': -0.016435754, ' Yes': -4.5769863, 'No': -5.2702084, ' The': -7.7755866, '\n': -8.618069}
{' No': -0.005710107, 'No': -5.5421863, ' Yes': -6.6866813, '\n': -8.477567, ' The': -8.951095}
{' No': -0.0058003305, ' Yes': -5.8407454, 'No': -6.018244, '\n': -8.370839, ' ': -9.045093}
{' Yes': -0.31741834, ' No': -1.3151944, 'Yes': -6.2042093, 'No': -7.2273107, '\n': -7.9259367}
{' Yes': -0.0018375238, 'Yes': -6.6966743, ' yes': -8.21114, ' No': -8.363401, ' The': -10.082142}
{' Yes': -0.33311707, ' No': -1.2733046, 'Yes': -6.8415623, 'No': -7.349709, ' yes': -7.4907155}
{' No': -0.6658535, ' Yes': -0.731989, 'No': -6.3095403, '\n': -6.767326, 'Yes': -6.851154}
{' No': -0.19450389, ' Yes': -1.7560158, 'No': -5.8533607, 'Yes': -7.769916, '\n': -8.26515}
{' No': -0.22459035, ' Yes': -1.6227875, 'No': -6.1579223, '\n': -7.6344924, ' The': -7.6471095}
{' No': -0.48305625, ' Yes': -0.9753392, 'No': -6.2579966, ' The': -6.3796167, 'Yes': -6.910994}
{' No': -0.039258342, ' Yes': -3.401643, 'No': -5.6077514, '\n': -7.1286, ' ': -8.102912}
{' No': -0.06559692, ' Yes': -2.8287346, 'No': -5.627677, 'Yes': -8.608687, ' ': -8.653689}
{' No': -0.52635515, ' Yes': -0.90886813, 'No': -6.280549, '\n': -6.3309755, 'Yes': -6.820293}
{' No': -0.04193068, ' Yes': -3.2866929, 'No': -5.9314055, '\n': -7.813735, ' The': -8.193784}
{' Yes': -0.041802768, ' No': -3.24138, 'Yes': -6.598567, ' The': -8.929814, ' yes': -9.038333}
{' Yes': -0.09694447, ' No': -2.4094808, 'Yes': -6.2936435, 'No': -8.374872, ' ': -9.060493}
{' Yes': -0.2685635, ' No': -1.4516194, 'Yes': -7.2667475, 'No': -8.298448, ' yes': -8.935763}
{' No': -0.07022609, ' Yes': -2.7393277, 'No': -6.04601, ' The': -8.196519, '\n': -8.29514}
{' Yes': -0.003226318, 'Yes': -6.4683514, ' No': -7.326897, ' yes': -7.5879498, '\n': -8.1865635}
{' Yes': -0.052948676, ' No': -2.99881, 'Yes': -6.6625104, 'No': -8.954344, ' The': -9.29813}
{' Yes': -0.15610328, ' No': -1.9458162, 'Yes': -6.891205, 'No': -8.501459, ' yes': -8.513449}
{' No': -0.0834821, ' Yes': -2.5662532, 'No': -6.0584035, '\n': -8.121007, ' The': -8.448876}
{' Yes': -0.0039874134, 'Yes': -6.3045454, ' No': -6.3095846, ' yes': -8.662971, '\n': -9.427922}
{' Yes': -0.12552874, ' No': -2.174645, 'Yes': -5.907921, 'No': -7.3748417, '\n': -7.40716}
{' No': -0.27146116, ' Yes': -1.4475514, 'No': -6.3550673, 'Yes': -7.9643183, ' The': -8.647578}
{' No': -0.45979372, ' Yes': -1.0074488, 'No': -6.1406236, 'Yes': -7.344048, '\n': -8.241419}
{' No': -0.029034443, ' Yes': -3.7192545, 'No': -5.745463, ' The': -7.777584, '\n': -7.87678}
{' No': -0.08905534, ' Yes': -2.5118303, 'No': -6.057761, ' The': -6.818415, '\n': -8.285686}
{' No': -0.047870602, ' Yes': -3.199751, 'No': -5.8138404, '\n': -6.2495246, ' The': -7.8527026}
{' No': -0.62203616, ' Yes': -0.7805369, 'Yes': -6.62039, 'No': -6.6814804, ' The': -6.725771}
{' No': -0.58447194, ' Yes': -0.8257496, 'No': -6.386683, ' The': -6.798148, 'Yes': -6.957085}
{' No': -0.100119226, ' Yes': -2.4158657, 'No': -5.590214, '\n': -6.902071, ' The': -7.447741}
{' Yes': -0.0016790562, 'Yes': -6.517075, ' yes': -9.213807, '\n': -10.328164, ' ': -10.353013}
{' No': -0.36258245, ' Yes': -1.2013333, 'No': -6.3691907, 'Yes': -7.4491334, '\n': -7.8665643}
{' Yes': -0.0053305384, 'Yes': -5.8869486, ' No': -6.3116674, '\n': -7.828077, ' yes': -8.680073}
{' No': -0.054488953, ' Yes': -2.9755075, 'No': -6.4701667, '\n': -8.794906, ' The': -9.242251}
{' Yes': -0.14232165, ' No': -2.036746, 'Yes': -6.5474844, 'No': -8.07797, ' yes': -8.886462}
{' Yes': -0.024222268, ' No': -3.7985828, 'Yes': -6.720192, '\n': -9.502293, ' yes': -9.55678}
{' Yes': -0.14911692, ' No': -1.9960561, 'Yes': -6.445263, 'No': -7.6793575, ' The': -8.418974}
{' Yes': -0.074300036, ' No': -2.6910145, 'Yes': -5.899907, 'No': -7.7745657, ' yes': -8.138392}
{' No': -0.052338745, ' Yes': -3.0429087, 'No': -6.171414, '\n': -7.6914983, ' The': -7.8675904}
{' No': -0.006761153, 'No': -5.6798906, ' Yes': -5.8076506, '\n': -9.025571, ' The': -9.751992}
{' No': -0.0081817135, ' Yes': -5.4549265, 'No': -5.611297, ' The': -9.637103, '\n': -9.655065}
{' No': -0.0075946026, 'No': -5.127898, ' Yes': -6.6218696, ' The': -9.376054, '\n': -9.488774}
{' Yes': -0.03568787, ' No': -3.4829762, 'Yes': -6.1703005, '\n': -6.638745, ' yes': -7.7339315}
{' Yes': -0.13968495, ' No': -2.0635016, 'Yes': -6.57445, '\n': -7.0756288, ' yes': -7.7384834}
{' Yes': -0.029247813, ' No': -3.6316364, 'Yes': -6.3313622, ' yes': -8.594772, '\n': -9.2192955}
{' Yes': -0.028409744, ' No': -3.7092512, 'Yes': -6.0974116, '\n': -7.668775, ' yes': -8.197018}
{' No': -0.012512587, ' Yes': -4.5626564, 'No': -6.3860874, '\n': -9.093977, ' The': -9.62495}
{' No': -0.010815865, ' Yes': -4.886136, 'No': -5.9166555, '\n': -8.368915, ' ': -8.812793}
{' Yes': -0.6366398, ' No': -0.7595227, 'No': -6.6623797, 'Yes': -6.893602, ' The': -8.132932}
{' No': -0.12529968, ' Yes': -2.1680224, 'No': -6.043354, ' The': -8.139589, '\n': -8.305477}
{' No': -0.012687753, ' Yes': -4.552103, 'No': -6.4535537, '\n': -8.680473, ' The': -9.103598}
{' No': -0.0041186595, 'No': -5.5787926, '\n': -9.059675, ' Yes': -9.219391, ' ': -9.731039}
{' Yes': -0.017812446, ' No': -4.1323657, 'Yes': -6.786403, ' yes': -8.363354, '\n': -9.465768}
{' Yes': -0.09692129, ' No': -2.40957, 'Yes': -6.318254, 'No': -8.142812, ' yes': -8.388944}
{' Yes': -0.07387198, ' No': -2.6761115, 'Yes': -6.47426, 'No': -8.556744, ' yes': -8.594124}
{' Yes': -0.5537308, ' No': -0.8627518, 'No': -6.635876, 'Yes': -6.76858, ' The': -8.181972}
{' No': -0.049208313, ' Yes': -3.103829, 'No': -6.1177335, '\n': -7.9978185, ' ': -8.430538}
{' No': -0.042888675, ' Yes': -3.348831, 'No': -5.326177, '\n': -6.713643, ' ': -8.019442}
{' No': -0.021838555, ' Yes': -4.0697813, 'No': -5.5203466, ' ': -8.669025, '\n': -8.766232}
{' Yes': -0.33274668, ' No': -1.2707082, 'Yes': -7.075054, 'No': -7.5010853, '\n': -7.7492237}
{' No': -0.21848324, ' Yes': -1.6464865, 'No': -6.071438, 'Yes': -7.691654, '\n': -7.7243524}
{' No': -0.18409269, ' Yes': -1.7988502, 'No': -6.3611684, ' The': -8.109588, 'Yes': -8.141461}
{' Yes': -0.12942174, ' No': -2.1310964, 'Yes': -6.573622, ' The': -7.4841046, ' yes': -8.265994}
{' Yes': -0.6582324, ' No': -0.73509276, ' The': -6.9889126, 'No': -7.077225, 'Yes': -7.163428}
{' No': -0.014402824, ' Yes': -4.625332, 'No': -5.52043, '\n': -8.733664, ' The': -8.92214}
{' No': -0.036285188, ' Yes': -3.4075541, 'No': -6.2530837, '\n': -8.561434, ' The': -8.6239805}
{' No': -0.02023945, ' Yes': -4.0580044, 'No': -6.2268453, '\n': -8.20887, ' The': -8.411726}
{' No': -0.0101168165, ' Yes': -5.078554, 'No': -5.7387886, '\n': -8.157589, ' ': -8.813698}
{' No': -0.011275827, ' Yes': -4.8382964, 'No': -5.886638, '\n': -8.460366, ' The': -8.704871}
{' No': -0.0035369573, 'No': -6.0530076, ' Yes': -6.911043, ' The': -9.6282215, '\n': -10.244957}
{' No': -0.012692583, ' Yes': -4.760085, 'No': -5.623391, '\n': -8.691939, ' ': -8.877515}
{' No': -0.046463497, ' Yes': -3.1853087, 'No': -5.6727867, ' The': -8.432463, '\n': -8.95232}
{' No': -0.051293973, ' Yes': -3.0500214, 'No': -6.445022, '\n': -7.769874, ' The': -8.177432}
{' No': -0.0042660846, 'No': -5.7432566, ' Yes': -7.222644, '\n': -8.963233, ' ': -9.452128}
{' No': -0.056965858, ' Yes': -2.9428892, 'No': -6.269597, ' The': -7.907887, 'Yes': -8.892744}
{' No': -0.027503267, ' Yes': -3.6953154, 'No': -6.3919272, ' The': -8.254592, '\n': -8.756644}
{' No': -0.4411897, ' Yes': -1.0533724, '\n': -5.73948, 'No': -5.833287, 'Yes': -6.8241854}
{' Yes': -0.12976676, ' No': -2.1619208, 'Yes': -5.8343506, '\n': -6.162193, 'No': -7.207413}
{' Yes': -0.4887766, ' No': -0.9547381, 'Yes': -7.302211, 'No': -7.450229, ' yes': -8.441361}
{' No': -0.19468838, ' Yes': -1.7409167, 'No': -6.9392443, 'Yes': -8.733918, ' The': -8.914817}
{' Yes': -0.007633641, ' No': -5.203425, 'Yes': -6.442284, ' yes': -8.146923, '\n': -9.270143}
{' No': -0.16975646, ' Yes': -1.8965591, 'No': -5.429337, 'Yes': -7.5582013, '\n': -7.7014923}
{' Yes': -0.06833905, ' No': -2.769854, 'Yes': -6.420861, ' yes': -7.204188, ' The': -7.6054306}
{' Yes': -0.23697607, ' No': -1.5735983, 'Yes': -6.4085054, ' yes': -7.224297, 'No': -7.630019}
{' Yes': -0.01777768, ' No': -4.2166395, 'Yes': -6.0512, '\n': -8.805105, ' yes': -8.891479}
{' Yes': -0.4811859, ' No': -0.97117424, 'No': -6.590738, 'Yes': -6.757351, ' The': -8.438456}
{' No': -0.5206027, ' Yes': -0.91100454, 'No': -6.348882, 'Yes': -7.0809393, '\n': -7.7315555}
{' Yes': -0.020095069, ' No': -4.0360117, 'Yes': -6.4961367, ' yes': -8.106282, ' The': -8.787841}
{' Yes': -0.39686403, ' No': -1.1260624, 'Yes': -6.542433, 'No': -6.611038, '\n': -8.685209}
{' No': -0.22556035, ' Yes': -1.6173127, 'No': -5.989232, 'Yes': -7.674058, '\n': -8.233727}
{' Yes': -0.17838503, ' No': -1.8272268, 'Yes': -6.800951, ' The': -7.800432, ' yes': -7.9177794}
{' No': -0.010780743, ' Yes': -4.785303, 'No': -6.2751412, '\n': -8.678284, ' The': -8.997266}
{' No': -0.15077871, ' Yes': -1.9879425, 'No': -6.3728437, '\n': -7.422766, 'Yes': -8.3684845}
{' Yes': -0.35662723, ' No': -1.2123802, 'Yes': -7.0065627, ' The': -7.589566, 'No': -7.7385235}
{' Yes': -0.008470627, ' No': -5.009598, 'Yes': -6.6283374, ' Hammer': -8.909321, ' yes': -8.909773}
{' Yes': -0.013756015, ' No': -4.4381046, 'Yes': -6.668651, ' yes': -8.486634, ' The': -8.717184}
{' Yes': -0.3489629, ' No': -1.22814, 'Yes': -7.1787715, 'No': -7.6989226, ' yes': -8.303314}
{' Yes': -0.060693722, ' No': -2.8727946, 'Yes': -6.68651, ' The': -7.607382, ' yes': -7.9798884}
{' No': -0.0045544705, 'No': -5.567849, ' Yes': -7.6331267, ' The': -9.270234, '\n': -9.6711855}
{' No': -0.025386669, ' Yes': -3.9427278, 'No': -5.57064, '\n': -6.78029, ' ': -8.020841}
{' No': -0.3646596, ' Yes': -1.1929735, 'No': -6.5343294, 'Yes': -7.771062, ' The': -8.83966}
{' No': -0.0063879057, 'No': -5.3845997, ' Yes': -6.6409245, '\n': -8.62834, ' ': -9.004841}
{' Yes': -0.030633593, ' No': -3.5865185, 'Yes': -6.2189517, 'No': -8.937339, ' yes': -8.958976}
{' Yes': -0.0016833552, ' No': -6.9911337, 'Yes': -7.4549565, ' yes': -9.2874, ' The': -9.788189}
{' No': -0.15738297, ' Yes': -1.9513092, 'No': -6.053716, ' The': -7.916618, 'Yes': -8.167685}
{' No': -0.17407347, ' Yes': -1.8599826, 'No': -5.803432, 'Yes': -7.704259, '\n': -8.261203}
{' No': -0.21376343, ' Yes': -1.6639359, 'No': -6.2325544, 'Yes': -7.866439, ' The': -8.504941}
