{' Yes': -0.017299628, ' No': -4.178966, 'Yes': -6.4146748, 'No': -10.048907, ' Nope': -10.280585}
{' Yes': -0.15666264, ' No': -1.9485576, ' Wrong': -6.3452783, 'Yes': -7.5958276, 'No': -8.968335}
{' Yes': -0.122854225, ' Devil': -2.6158009, ' No': -3.3459775, 'Yes': -6.02658, ' Dev': -6.733634}
{' Yes': -0.12325261, ' Devil': -2.5514963, ' No': -3.5593238, 'Yes': -5.701051, ' Dev': -6.529752}
{' Yes': -0.00082456425, 'Yes': -7.221745, ' No': -10.1385, ' yes': -10.463646, ' YES': -11.497186}
{' Yes': -0.0016365467, ' No': -7.028018, 'Yes': -7.332971, ' yes': -9.804777, ' YES': -11.348463}
{' No': -0.32405967, ' Yes': -1.2964547, 'No': -6.161727, ' Major': -7.400988, 'Yes': -7.640866}
{' Yes': -0.5343911, ' No': -0.8882233, 'No': -6.9139986, 'Yes': -7.111335, ' Major': -7.3936205}
{' No': -0.4667118, ' Yes': -1.0094421, ' Worst': -5.1796517, 'No': -6.5784783, 'Yes': -7.2628694}
{' Yes': -0.05774043, ' Worst': -3.5536244, ' No': -3.7726698, 'Yes': -6.1262484, ' W': -7.502028}
{' Yes': -0.5095582, ' No': -0.9293123, ' Pound': -5.9660244, 'Yes': -7.1860185, 'No': -7.293011}
{' Yes': -0.039073437, ' No': -3.3256826, 'Yes': -6.6582866, ' Pound': -7.580365, ' Nope': -9.017645}
{' Yes': -0.024429912, ' Dirty': -4.1985726, 'Yes': -5.590736, ' No': -5.665872, ' Dirt': -6.582592}
{' Yes': -0.12135263, ' Dirty': -2.4679806, ' Dirt': -3.9913073, 'Yes': -5.110587, ' No': -5.9008436}
{' Yes': -0.0024820543, 'Yes': -6.0923953, '\n': -9.255066, ' YES': -10.011578, ' yes': -10.2618065}
{' Yes': -0.0024359263, 'Yes': -6.1448827, ' yes': -9.511457, ' YES': -9.604749, '\n': -9.730505}
{' Yes': -0.004118897, 'Yes': -5.795475, ' E': -8.1870985, ' YES': -8.238263, ' erupt': -8.607192}
{' Yes': -0.06883525, ' No': -3.6977422, 'rupt': -4.40291, 'Yes': -4.9032955, ' E': -5.546396}
{' Yes': -0.0016555908, 'Yes': -6.573978, ' No': -8.49596, ' yes': -10.401278, ' YES': -11.951991}
{' Yes': -0.006798599, 'Yes': -5.541619, ' Swamp': -6.1742516, ' No': -8.225658, ' yes': -8.691074}
{' Yes': -0.42819935, ' Armor': -1.3610147, ' No': -2.5128932, ' Armour': -5.591113, 'Yes': -6.245757}
{' Yes': -0.16976452, ' No': -1.9651746, ' Armor': -4.276391, 'Yes': -6.7237477, 'No': -7.667685}
{' Yes': -0.018922703, ' No': -4.4048977, ' Ex': -5.831298, ' Exactly': -6.4504256, 'Yes': -6.4511924}
{' Yes': -0.05712027, ' No': -3.2969158, ' Ex': -4.404641, ' Exactly': -5.504338, 'Yes': -6.698329}
{' Yes': -0.005961491, ' Still': -6.038371, 'Yes': -6.2484994, ' No': -6.7015066, ' YES': -8.838539}
{' Yes': -0.009135859, ' Still': -5.316026, ' No': -6.2430716, 'Yes': -6.263004, ' yes': -9.053963}
{' Yes': -0.028639974, ' Hello': -3.6209345, 'Yes': -6.7430587, ' No': -9.208895, '\n': -9.965852}
{' Yes': -0.0010384442, 'Yes': -7.333762, ' Hello': -8.077086, ' No': -10.401906, ' yes': -10.964927}
{' Yes': -0.0048447372, 'Yes': -5.5748177, ' Sure': -7.879881, ' Purs': -8.377293, ' Pur': -9.343625}
{' Yes': -0.04075926, ' No': -3.5604315, 'Yes': -5.336541, ' Purs': -5.5596304, ' Pur': -7.0568085}
{' No': -0.5760114, ' Yes': -1.0782831, ' Actor': -2.4964309, 'No': -5.088902, 'Yes': -6.088575}
{' Yes': -0.63164186, ' No': -0.783156, ' Actor': -5.278034, 'No': -6.0447025, 'Yes': -6.212742}
{' Yes': -0.0053952574, ' Smoke': -5.8955197, 'Yes': -6.1584463, ' No': -8.424008, ' YES': -9.4678755}
{' Yes': -0.018308049, ' Smoke': -4.9791293, ' No': -5.0438533, 'Yes': -5.7452517, ' Sm': -7.3714347}
{' No': -0.2500946, ' Yes': -1.5458939, 'No': -5.5630617, ' Nope': -5.7794123, 'Yes': -7.038064}
{' No': -0.12533648, ' Yes': -2.19678, 'No': -5.3266535, ' Nope': -7.063327, 'Yes': -7.5810595}
{' No': -0.5993947, ' Yes': -0.8583936, ' False': -3.6855342, 'Yes': -7.3237705, 'No': -7.4636993}
{' No': -0.07023606, ' Yes': -2.7052245, 'No': -7.3425674, ' False': -8.918262, 'Yes': -9.445947}
{' Yes': -0.0072672158, ' Watch': -5.6258483, 'Yes': -6.19173, ' No': -6.8613167, '\n': -8.82978}
{' Yes': -0.0017293877, 'Yes': -7.0955195, ' No': -7.1827307, ' yes': -10.261294, ' Watch': -10.269761}
{' Yes': -0.0053040544, 'Yes': -6.1366706, ' No': -6.5685186, ' Spice': -6.841504, ' Sp': -8.336019}
{' Yes': -0.005102016, 'Yes': -5.995073, ' No': -6.1523266, ' Spice': -8.649448, ' yes': -9.596564}
{' Yes': -0.0005522222, 'Yes': -7.612517, ' yes': -10.799609, ' YES': -11.095844, '\n': -11.73819}
{' Yes': -0.0025638605, ' No': -6.603262, 'Yes': -7.0595164, ' Under': -8.990099, ' yes': -9.665107}
{' Yes': -0.0030530395, ' No': -6.369412, 'Yes': -7.0858717, ' Crack': -8.048011, ' Cr': -9.467935}
{' Yes': -0.004943028, ' No': -5.5677075, 'Yes': -7.0852036, ' Crack': -8.836635, ' YES': -10.441066}
{' Yes': -0.0818166, ' Ar': -3.2219417, ' Arg': -4.1220007, ' No': -4.9534883, ' Ag': -5.493488}
{' Yes': -0.2552997, ' Ar': -2.1067514, ' Arg': -2.9508657, ' Argument': -3.832494, ' No': -4.455018}
{' Yes': -0.0033030405, ' No': -6.0180674, 'Yes': -7.54873, ' Child': -8.227586, ' yes': -10.502862}
{' Yes': -0.0018418237, ' No': -6.763843, 'Yes': -7.4421377, ' Child': -10.249564, ' yes': -10.484979}
{' Yes': -0.00680382, 'Yes': -5.9163647, ' Early': -6.3450437, ' No': -6.694248, ' Yeah': -8.812194}
{' Yes': -0.004842341, 'Yes': -5.977231, ' No': -6.49846, ' Early': -8.806867, ' Ear': -9.085825}
{' Yes': -0.012239214, ' No': -4.5284915, 'Yes': -6.863344, ' Goose': -8.689278, '\n': -9.805115}
{' Yes': -0.019223792, ' No': -4.0367312, 'Yes': -6.7314005, '\n': -9.328366, ' Goose': -10.665364}
{' No': -0.067240916, ' Yes': -3.4051447, ' Ocean': -3.5944035, 'No': -5.8248034, ' Nope': -7.2422094}
{' No': -0.039220527, ' Ocean': -3.9281971, ' Yes': -4.2630267, 'No': -5.87083, ' Nope': -6.7462025}
{' Yes': -0.13465111, ' No': -2.2008076, ' Trash': -4.6836677, 'Yes': -5.550409, 'No': -6.9227633}
{' Yes': -0.0423147, ' No': -3.3385715, 'Yes': -5.665531, ' Thr': -7.1210427, ' Trash': -7.236792}
{' Yes': -0.02493656, ' No': -4.5001254, ' Gross': -4.7001243, 'Yes': -5.852838, ' Gro': -7.4603877}
{' Yes': -0.09973489, ' No': -2.3736894, 'Yes': -6.652198, '\n': -8.582538, 'No': -9.024474}
{' Yes': -0.0012757699, 'Yes': -6.7674093, ' YES': -10.450127, ' Phone': -10.50362, '\n': -10.638629}
{' Yes': -0.0011965778, 'Yes': -6.8680954, '\n': -10.120628, ' No': -10.320941, ' YES': -10.600086}
{' Yes': -0.10824861, ' Guard': -2.8737378, ' No': -3.2141292, 'Yes': -6.1522074, ' Guardian': -6.5713067}
{' Yes': -0.22603548, ' No': -2.037288, ' Guard': -2.7624753, 'Yes': -5.9895825, ' Guardian': -6.3178525}
{' Yes': -0.0033992687, 'Yes': -6.1585145, ' Sweet': -7.1221504, ' Swe': -8.597429, ' YES': -9.377879}
{' Yes': -0.0017216259, 'Yes': -6.592307, ' No': -9.016652, ' YES': -9.462607, ' yes': -9.916894}
{' Yes': -0.05170402, ' No': -3.1355166, ' Grass': -5.3502192, 'Yes': -6.299367, '\n': -9.206798}
{' Yes': -0.03913616, ' No': -3.4331465, ' Grass': -5.562569, 'Yes': -6.2779956, '\n': -8.928476}
{' Yes': -0.0055287853, 'Yes': -5.438958, ' yes': -7.253026, ' YES': -8.429227, ' No': -9.401627}
{' Yes': -0.0036427178, 'Yes': -5.796195, ' yes': -8.301324, ' YES': -9.079162, ' No': -9.239433}
{' Yes': -0.39645377, ' Girls': -1.3615168, ' No': -2.8251455, ' G': -5.2340784, 'Yes': -5.925698}
{' Yes': -0.05593332, ' No': -3.2067075, ' Girls': -4.5171394, 'Yes': -6.2102337, ' YES': -8.429603}
{' Yes': -0.0018541868, 'Yes': -6.8617873, ' No': -7.7465177, ' Light': -8.532169, ' YES': -9.314852}
{' Yes': -0.0017918454, 'Yes': -6.6303983, ' No': -8.316086, ' YES': -9.287451, ' Light': -9.551056}
{' Yes': -0.19578123, ' No': -1.7377561, 'Yes': -6.822498, ' Nope': -7.9245296, 'No': -8.374286}
{' Yes': -0.042312212, ' No': -3.234676, 'Yes': -6.544345, ' Nope': -8.521998, ' Spoon': -9.068308}
{' Yes': -0.15327552, ' No': -2.017066, ' Lo': -5.2368994, 'Yes': -6.5679064, ' Lose': -6.5762415}
{' Yes': -0.08729259, ' No': -2.5805445, ' Lo': -5.47021, 'Yes': -6.297131, ' Lose': -6.8349175}
{' Yes': -0.11538459, ' No': -2.2572436, 'Yes': -5.6438193, 'No': -8.14985, ' Plant': -8.263782}
{' Yes': -0.058046874, ' No': -3.094715, 'Yes': -5.0777097, ' Plant': -5.620559, 'No': -8.364777}
{' Yes': -0.033859167, ' No': -3.881338, ' Seven': -4.6955867, 'Yes': -6.0135913, ' yes': -8.539844}
{' Yes': -0.0027724968, 'Yes': -6.6256876, ' No': -6.7525396, ' Seven': -8.927529, ' yes': -10.090844}
{' Yes': -0.0021084258, 'Yes': -6.2434125, ' YES': -9.974108, ' No': -10.270034, ' yes': -10.556501}
{' Yes': -0.001901183, 'Yes': -6.9236445, ' No': -7.0500636, ' YES': -11.078401, ' yes': -11.347966}
{' Yes': -0.037347417, ' Rough': -3.4546654, ' No': -5.615165, 'Yes': -6.7307086, '\n': -9.362984}
{' Yes': -0.1721875, ' Rough': -1.9352566, ' No': -4.444633, 'Yes': -6.633737, '\n': -8.23462}
{' Yes': -0.009297804, 'Yes': -5.1945887, ' Dance': -5.860145, ' YES': -7.9509306, ' No': -8.485076}
{' Yes': -0.28378296, ' No': -1.4169159, 'Yes': -5.9731293, ' Dance': -7.032274, 'No': -7.405021}
{' Yes': -0.0014070758, 'Yes': -6.9483595, ' No': -7.8966, ' yes': -10.304246, ' YES': -10.830094}
{' Yes': -0.0030393484, ' No': -6.2118473, 'Yes': -6.953858, ' yes': -10.336496, ' YES': -10.866821}
{' Yes': -0.056847744, ' No': -3.2787907, ' Looks': -4.388677, 'Yes': -5.6530075, ' Lo': -7.7615294}
{' Yes': -0.09237787, ' No': -2.5588791, ' Looks': -5.0739527, 'Yes': -5.7048044, ' Lo': -8.278179}
{' Yes': -0.49550185, ' Store': -1.0133355, ' Sure': -3.6400616, 'Yes': -7.0789385, 'Store': -8.387871}
{' Yes': -0.5615374, ' Store': -0.880057, ' Sure': -4.503592, 'Yes': -6.830044, ' Stores': -7.4038987}
{' Yes': -0.0016557111, 'Yes': -6.5441604, ' Break': -9.531818, ' yes': -9.686393, ' YES': -10.5377445}
{' Yes': -0.00265111, 'Yes': -6.3051543, ' No': -7.8873897, ' Break': -8.59769, ' yes': -9.186693}
{' Yes': -0.004368389, 'Yes': -5.82432, ' No': -7.1977315, ' Parts': -7.9751477, ' yes': -8.85345}
{' Yes': -0.008618814, ' No': -5.139556, 'Yes': -5.9893737, ' Parts': -9.608252, ' yes': -9.692886}
{' Yes': -0.006545385, 'Yes': -5.9438024, ' Sh': -6.526435, ' No': -7.2513137, ' Sho': -7.664619}
{' Yes': -0.008244815, 'Yes': -5.8536177, ' No': -6.1440535, ' Sh': -7.144477, ' Sure': -7.2481422}
{' Yes': -0.004732381, ' Sy': -6.0719795, 'Yes': -6.201384, ' No': -8.526337, ' yes': -9.807702}
{' Yes': -0.0022568104, 'Yes': -6.278015, ' No': -8.361338, ' Sy': -9.974491, ' yes': -10.128441}
{' Yes': -0.0027176891, ' Learn': -6.6123576, 'Yes': -6.75505, ' YES': -9.452517, ' yes': -9.730736}
{' Yes': -0.0016000087, 'Yes': -6.7210097, ' Learn': -8.881846, ' No': -9.051053, ' YES': -9.804284}
{' No': -0.5534204, ' Yes': -0.85976356, 'No': -6.963626, ' Minor': -7.8027883, 'Yes': -7.9592576}
{' Yes': -0.009006786, ' No': -4.797247, 'Yes': -7.3718877, ' yes': -10.022842, 'No': -11.225278}
{' Yes': -0.0010721596, 'Yes': -6.867319, ' No': -11.8440275, ' yes': -11.882035, ' YES': -11.948424}
{' Yes': -0.016525254, ' Where': -4.30048, 'Yes': -6.1263466, ' No': -8.262599, '\n': -9.262171}
{' Yes': -0.012158184, ' Arrow': -4.959456, 'Yes': -5.9645424, ' No': -6.103222, ' yes': -9.785997}
{' Yes': -0.00828454, ' Arrow': -5.4013314, 'Yes': -5.908587, ' No': -7.182856, ' yes': -9.621058}
{' Yes': -0.039032035, ' No': -3.432539, ' Chain': -5.756995, 'Yes': -6.0973983, 'No': -8.1656065}
{' Yes': -0.051685, ' Chain': -3.6997638, ' No': -3.8547814, 'Yes': -5.7893705, 'No': -8.185597}
{' Yes': -0.0016034695, 'Yes': -7.0298486, ' No': -7.3330793, ' Coral': -10.348981, ' yes': -10.757945}
{' Yes': -0.019158415, ' No': -4.0460463, 'Yes': -6.6490903, ' Coral': -9.41488, ' yes': -10.180947}
{' Yes': -0.008071268, ' Heart': -5.1836543, 'Yes': -6.1404576, ' YES': -9.22217, '\n': -9.939859}
{' Yes': -0.024528924, ' Heart': -3.8350391, 'Yes': -6.124634, ' YES': -9.171991, '\n': -9.47662}
{' Yes': -0.006518866, ' Horse': -5.395307, 'Yes': -6.7716875, ' Sure': -7.262801, '\n': -10.902397}
{' Yes': -0.009316575, ' Horse': -5.022034, 'Yes': -6.1827817, ' Sure': -8.127907, ' No': -9.539648}
{' Yes': -0.0041301516, ' No': -5.770092, 'Yes': -7.0209575, ' Right': -10.5323925, ' yes': -10.8494425}
{' Yes': -0.009816407, ' No': -4.949331, ' Right': -6.7419147, 'Yes': -6.7691774, ' YES': -9.89198}
{' Yes': -0.0021468934, 'Yes': -6.9870553, ' No': -7.133723, ' Pizza': -8.483332, ' yes': -9.704424}
{' Yes': -0.007451432, ' No': -5.129697, 'Yes': -6.7194357, ' Pizza': -9.217248, ' yes': -9.552524}
{' Yes': -0.01720921, ' Snake': -4.593713, 'Yes': -5.139476, ' Sn': -7.677699, ' YES': -8.454865}
{' Yes': -0.100804426, ' Snake': -2.5599034, ' Sn': -4.6305914, 'Yes': -5.1994734, ' Sne': -6.8067327}
{' Yes': -0.01019985, ' No': -5.6307135, ' Laugh': -6.1485605, 'Yes': -6.197411, ' Yeah': -7.417104}
{' Yes': -0.0068694735, ' Laugh': -5.9055476, 'Yes': -6.546682, ' No': -6.7714257, ' Yeah': -7.423375}
{' Yes': -0.032852758, ' No': -3.524235, 'Yes': -6.1406155, 'No': -8.460154, ' yes': -8.89125}
{' Yes': -0.07898842, ' No': -2.612737, 'Yes': -6.3762975, 'No': -7.886967, ' Nope': -8.858836}
{' Yes': -0.038935415, ' No': -3.3005016, 'Yes': -6.8309064, 'No': -9.582436, ' Nope': -9.646814}
{' Yes': -0.0020461304, 'Yes': -6.7367144, ' Sure': -8.036033, ' No': -8.306404, ' YES': -9.480454}
{' Yes': -0.4362851, ' Plane': -1.0584431, 'Yes': -5.659448, ' Planet': -7.2093873, ' Plan': -7.654993}
{' Plane': -0.4980363, ' Yes': -0.9463395, 'Yes': -6.5135655, ' Planet': -7.386016, ' Plain': -8.093153}
{' Yes': -0.012347044, ' Found': -4.8925157, 'Yes': -6.638304, ' F': -7.1815743, ' No': -7.6424103}
{' Yes': -0.025981525, ' Found': -4.1745353, 'Yes': -6.1590014, ' F': -6.174274, ' Y': -7.2129016}
{' Yes': -0.013896281, ' No': -4.8994856, ' Uncle': -5.2910757, 'Yes': -7.1259246, ' Unc': -8.905938}
{' Yes': -0.28652373, ' No': -1.5055673, ' Uncle': -4.718166, ' Unc': -5.235691, ' Un': -5.266736}
{' Yes': -0.0011006205, 'Yes': -6.941593, ' No': -10.345421, ' YES': -10.467812, ' yes': -10.608414}
{' Yes': -0.0032534075, 'Yes': -6.1711664, ' Stamp': -7.4870462, ' St': -8.909556, ' YES': -9.071873}
{' Yes': -0.034942396, ' Sleep': -3.4849164, 'Yes': -6.36832, ' Sle': -7.07204, ' yes': -8.178193}
{' Yes': -0.008974488, ' Sleep': -5.097286, 'Yes': -6.4100747, ' yes': -7.9433575, ' YES': -8.371841}
{' Yes': -0.057259183, ' No': -2.9233441, 'Yes': -6.3997, 'No': -9.10487, ' Nope': -10.378633}
{' Yes': -0.0059849373, ' No': -5.912386, 'Yes': -6.375121, ' Close': -6.586141, ' yes': -9.865262}
{' Yes': -0.045686744, ' Te': -3.394903, ' No': -5.770897, 'Yes': -5.797686, ' Tooth': -7.134168}
{' Yes': -0.058629945, ' Te': -3.1954784, 'Yes': -5.766038, ' No': -6.114887, ' Tooth': -6.547426}
{' Yes': -0.0004503664, 'Yes': -7.810238, ' Sure': -10.515139, ' yes': -12.202669, ' YES': -12.384869}
{' Yes': -0.00056772784, 'Yes': -7.7356997, ' Sure': -9.315287, ' yes': -11.755359, ' YES': -11.860748}
{' Yes': -0.008360447, ' Drunk': -5.4080586, 'Yes': -5.945408, ' No': -8.456579, ' yes': -8.480652}
{' Yes': -0.012571255, ' Drunk': -5.1806297, 'Yes': -5.8017516, ' No': -7.084459, ' Y': -7.1636195}
{' No': -0.016132357, ' Yes': -4.2113266, 'No': -6.8114033, ' Nope': -10.264976, 'Yes': -11.072536}
{' Yes': -0.40836316, ' No': -1.1050948, ' Min': -6.285932, 'Yes': -6.8378077, 'No': -7.3966856}
{' Yes': -0.00066876045, 'Yes': -7.484513, ' Word': -10.222468, ' yes': -10.277892, ' YES': -10.70942}
{' Yes': -0.0020783804, ' Word': -6.7651305, 'Yes': -7.4722586, ' World': -8.81471, ' yes': -9.355131}
{' Yes': -0.009839041, ' No': -5.5839434, ' Ch': -5.770846, 'Yes': -6.410977, ' Chal': -8.289842}
{' Yes': -0.11991664, ' No': -2.1988199, 'Yes': -7.0424128, ' Nope': -7.320107, 'No': -8.594157}
{' Yes': -0.021943588, ' Woman': -3.9175541, 'Yes': -6.801648, ' No': -8.168094, ' yes': -9.255738}
{' Yes': -0.042025782, ' Woman': -3.2198877, 'Yes': -7.0805674, 'Woman': -9.268571, ' YES': -9.682411}
{' Yes': -0.009364646, ' Party': -4.9575915, 'Yes': -6.2581096, ' yes': -9.12021, ' YES': -9.411794}
{' Yes': -0.0027611991, 'Yes': -6.305167, ' Party': -7.5771513, ' No': -8.847592, ' yes': -9.436412}
{' Yes': -0.0014387119, 'Yes': -6.9060082, ' No': -8.096424, ' yes': -9.319326, ' YES': -10.567953}
{' Yes': -0.0014005108, 'Yes': -7.0989304, ' No': -7.616665, ' yes': -9.90535, ' YES': -10.89119}
{' Yes': -0.0016165468, 'Yes': -6.546511, ' Shoes': -9.628208, ' YES': -10.062163, ' yes': -10.670665}
{' Yes': -0.03613049, ' Shoes': -3.462743, 'Yes': -5.899492, ' Sho': -7.8857727, ' Sh': -8.081899}
{' Yes': -0.0015040768, 'Yes': -6.634488, ' No': -9.285214, ' yes': -10.562507, ' Ghost': -10.770785}
{' Yes': -0.0061105685, ' No': -5.3324428, 'Yes': -6.908298, ' Ghost': -8.784247, ' yes': -10.436745}
{' Yes': -0.0042125713, ' Shirt': -5.7102265, 'Yes': -7.2577405, ' YES': -9.927538, ' Sure': -10.420474}
{' Yes': -0.039319903, ' Shirt': -3.3179262, 'Yes': -6.4041495, ' Sh': -8.580031, ' YES': -8.843112}
{' Yes': -0.016198386, ' Pants': -4.735183, 'Yes': -5.183413, ' No': -6.812051, ' YES': -8.544846}
{' Yes': -0.008598491, 'Yes': -5.5192394, ' Pants': -5.896911, ' No': -6.5297637, ' YES': -9.029764}
{' Yes': -0.0077141863, ' Board': -5.782383, 'Yes': -6.1376686, ' No': -6.4251184, ' yes': -8.038681}
{' Yes': -0.0042243, 'Yes': -6.1408973, ' Board': -6.7244253, ' No': -7.9368544, ' yes': -8.327048}
{' Yes': -0.004370545, 'Yes': -6.106898, ' Leave': -7.155627, ' No': -7.428282, ' yes': -8.359829}
{' Yes': -0.0056476435, ' No': -5.876579, 'Yes': -6.504307, ' Leave': -7.07945, ' yes': -8.753975}
{' Yes': -0.0023706208, 'Yes': -6.3735657, ' Sure': -9.002462, ' Yeah': -9.142531, ' Yep': -9.259514}
{' Yes': -0.056466248, ' There': -3.0271995, 'Yes': -6.035026, ' The': -6.374707, ' Here': -7.947834}
{' Yes': -0.19771367, ' No': -1.7955741, ' Sn': -5.1051545, 'Yes': -5.6940355, 'No': -6.99643}
{' Yes': -0.117420614, ' No': -2.3014836, ' Sn': -5.2279134, 'Yes': -5.8319287, ' yes': -7.4025016}
{' Yes': -0.14859861, ' Bride': -2.2609568, ' Bridge': -3.6289032, ' No': -5.8528643, ' Brid': -6.5882645}
{' Yes': -0.045864135, ' Bride': -3.7953587, ' Bridge': -4.0215473, 'Yes': -6.6123047, ' Brid': -6.923164}
{' Yes': -0.0006157379, 'Yes': -7.4843173, ' yes': -10.961492, ' No': -11.661367, ' YES': -11.7696085}
{' Yes': -0.0045378837, ' Throw': -5.8339005, 'Yes': -7.0488033, ' No': -8.595646, ' yes': -9.131723}
{' Yes': -0.0012634745, 'Yes': -6.966574, ' Women': -9.560585, ' No': -9.6938505, ' Yep': -9.978168}
{' Yes': -0.0025127078, 'Yes': -7.036471, ' Women': -7.2096295, ' YES': -8.636701, ' Yep': -8.658526}
{' Yes': -0.1054812, ' No': -2.674302, ' Ank': -4.4755387, 'Yes': -4.8658137, ' yes': -6.178707}
{' Yes': -0.371518, ' No': -1.1907318, 'Yes': -6.0586, ' Nope': -6.99644, 'No': -7.1363893}
{' Yes': -0.14708005, ' No': -2.055386, ' Los': -5.5887337, ' Nope': -6.158071, 'Yes': -6.961607}
{' Yes': -0.042799335, ' No': -4.0530357, ' Los': -4.213045, ' Lo': -5.3977194, 'Yes': -6.813806}
{' Yes': -0.0007945584, 'Yes': -7.5186987, ' No': -8.431596, ' yes': -11.27208, ' YES': -11.426968}
{' Yes': -0.0040145223, ' No': -5.681297, 'Yes': -7.6018515, ' YES': -10.460907, ' yes': -10.917883}
{' Yes': -0.0019070356, 'Yes': -6.943741, ' Shark': -7.3713408, ' Sure': -8.680096, ' YES': -10.290501}
{' Yes': -0.0063214446, ' Shark': -5.315468, 'Yes': -6.855509, ' Sure': -9.075051, ' Sh': -9.758947}
{' Yes': -0.0018125661, 'Yes': -6.9248815, ' No': -7.3473926, ' Lemon': -9.678064, ' yes': -9.779364}
{' Yes': -0.0019335514, 'Yes': -6.7003913, ' Lemon': -7.9513755, ' No': -8.462617, ' yes': -9.845367}
{' Yes': -0.043299828, ' No': -3.3212197, ' Tight': -5.6149435, 'Yes': -6.4202676, ' Nope': -7.9387817}
{' Yes': -0.06368265, ' No': -2.8995, ' Nope': -6.223273, 'Yes': -6.3643045, ' Tight': -7.2535024}
{' Yes': -0.002787261, 'Yes': -6.642533, ' No': -6.653649, ' Below': -9.722547, ' YES': -10.275184}
{' Yes': -0.0023360879, 'Yes': -6.8012233, ' No': -6.8530173, ' yes': -9.665958, ' YES': -10.168873}
{' Yes': -0.064239345, ' Sm': -3.0125215, ' Spell': -4.548055, 'Yes': -6.806066, ' YES': -8.503277}
{' Yes': -0.0154827805, ' Spell': -4.690713, ' Sm': -5.6749825, 'Yes': -6.6221323, ' YES': -8.061229}
{' Yes': -0.15622033, ' Your': -2.2337275, ' No': -3.8422782, 'Yes': -5.2940297, ' Y': -5.435121}
{' Yes': -0.08049099, ' No': -2.8425891, ' Your': -4.76749, 'Yes': -5.2230253, ' Y': -7.089529}
{' No': -0.2644775, ' Yes': -1.4702213, 'No': -6.317092, 'Yes': -7.5167036, ' Nope': -8.974645}
{' Yes': -0.14819483, ' Wrong': -2.2685313, ' No': -3.3952727, 'Yes': -7.716626, ' Nope': -9.102191}
{' Yes': -0.021724822, ' Devil': -4.5984974, ' No': -4.980648, 'Yes': -6.0423813, ' yes': -7.097344}
{' Yes': -0.469106, ' Devil': -1.1340115, ' No': -4.748, ' Devils': -4.7527328, ' Dev': -4.9642687}
{' Yes': -0.00056343444, 'Yes': -7.581351, ' yes': -10.948473, ' No': -11.000631, ' YES': -11.790044}
{' Yes': -0.0017592423, ' No': -7.0543065, 'Yes': -7.28689, ' yes': -9.49247, ' Sure': -10.3210745}
{' Yes': -0.038058903, ' No': -3.3222632, 'Yes': -6.8673263, 'No': -9.420831, ' yes': -9.626067}
{' Yes': -0.59751886, ' No': -0.8066062, ' Major': -6.3331575, 'No': -7.025375, 'Yes': -7.492487}
{' Yes': -0.009699402, ' No': -4.879397, 'Yes': -6.83013, ' Worst': -7.1075745, ' yes': -10.395778}
{' Yes': -0.07044696, ' Worst': -2.855317, ' No': -5.144248, 'Yes': -6.3031735, ' W': -7.3259687}
{' Yes': -0.01849346, ' No': -4.6770916, ' Pound': -4.884256, 'Yes': -6.8367877, ' yes': -9.509667}
{' Yes': -0.007276882, ' No': -5.4356766, 'Yes': -6.795742, ' Pound': -6.795862, ' Yep': -8.823172}
{' Yes': -0.014430885, ' No': -4.4551864, 'Yes': -6.229982, ' Dirty': -8.298052, ' Nope': -9.401713}
{' Yes': -0.43071178, ' Dirty': -1.2314835, ' Dirt': -3.0602665, 'Yes': -5.5070906, ' D': -6.381626}
{' Yes': -0.006970247, 'Yes': -5.176886, ' yes': -7.8690743, ' Space': -7.939916, ' YES': -8.165294}
{' Yes': -0.0048710317, 'Yes': -5.5144916, ' Space': -8.271723, ' yes': -8.29691, ' YES': -8.814722}
{' Yes': -0.022770584, ' E': -4.7395577, 'Yes': -5.1817765, ' erupt': -5.720932, ' Up': -7.26771}
{' Yes': -0.88804656, 'rupt': -2.0286372, ' U': -2.4374185, 'upt': -3.1081927, ' Inter': -3.3076515}
{' Yes': -0.0019897474, 'Yes': -6.7424984, ' No': -7.3321705, ' yes': -9.658151, ' Swamp': -10.173141}
{' Yes': -0.020408615, ' Swamp': -4.169632, 'Yes': -5.9011607, ' Sw': -6.9445205, ' yes': -8.134315}
{' Yes': -0.5857142, ' Armor': -0.8519971, ' Armour': -5.1172423, ' No': -5.531856, ' Armory': -6.3951445}
{' Yes': -0.113746, ' Armor': -2.638469, ' No': -3.3817396, 'Yes': -6.9873843, ' Armour': -8.02977}
{' Yes': -0.0053618206, ' No': -5.454075, 'Yes': -6.9158273, ' yes': -10.7667055, '\n': -11.359492}
{' Yes': -0.20363833, ' Ex': -2.0368385, ' No': -3.5709326, ' Exactly': -3.8855133, 'Yes': -6.572272}
{' Yes': -0.04563883, ' Still': -3.2499824, 'Yes': -5.977596, ' St': -7.119862, ' YES': -7.6014433}
{' Yes': -0.0038620508, ' Still': -6.361007, 'Yes': -6.629232, ' No': -7.8461947, ' yes': -8.621053}
{' Yes': -0.0010374935, 'Yes': -7.1907897, ' Hello': -8.373491, ' yes': -10.844873, ' YES': -11.101064}
{' Yes': -0.0006856411, 'Yes': -7.3751187, ' yes': -10.602884, ' Hello': -11.032066, ' YES': -11.591127}
