{' Yes': -0.013008951, ' No': -5.207686, 'Yes': -5.404065, ' Generally': -6.76965, ' An': -6.8052945}
{' No': -0.14437887, '\n': -2.7604961, 'No': -3.0338345, ' ': -4.290823, ' Yes': -5.3799496}
{' No': -0.18763338, '\n': -2.4507294, 'No': -2.775852, ' ': -4.3477325, ' Generally': -5.486251}
{' No': -0.18065861, '\n': -2.317654, 'No': -3.5085561, ' Yes': -4.1083717, ' ': -4.635742}
{' No': -0.22427413, '\n': -2.117077, 'No': -3.262526, ' Yes': -4.293156, ' ': -4.4876485}
{' No': -0.05340108, 'No': -3.9307964, '\n': -4.0047884, ' ': -4.9305544, ' Yes': -5.460053}
{' No': -0.045808725, 'No': -3.9612043, '\n': -4.618416, ' Generally': -5.0156665, ' ': -5.2995124}
{' No': -0.11408266, '\n': -3.0100024, 'No': -3.4814758, ' ': -4.662041, ' Yes': -4.956566}
{' No': -0.41483864, '\n': -2.031086, ' Yes': -2.1034622, ' Generally': -3.3483675, 'No': -3.8298566}
{' No': -0.08870896, 'No': -3.1754625, '\n': -3.5052679, ' ': -4.841282, ' Yes': -6.1392426}
{' No': -0.08315223, 'No': -3.0530827, '\n': -3.8049557, ' ': -5.152118, ' Generally': -6.388446}
{' No': -0.09607542, '\n': -3.3749049, 'No': -3.408577, ' Yes': -4.343441, ' ': -4.895514}
{' No': -0.07635949, 'No': -3.304444, '\n': -3.6723142, ' ': -5.24548, ' Yes': -6.1669745}
{' No': -0.104772195, 'No': -3.1504376, '\n': -3.5719464, ' ': -4.340074, ' Yes': -4.7914453}
{' No': -0.12711143, 'No': -3.1234646, '\n': -3.493616, ' Generally': -4.345064, ' Yes': -4.409445}
{' No': -0.122807994, 'No': -3.1416314, '\n': -3.68983, ' Yes': -3.7089226, ' ': -4.543781}
{' No': -0.19463733, ' Yes': -2.7196674, 'No': -3.185627, '\n': -3.2274323, ' Generally': -4.513591}
{' No': -0.19495963, ' Generally': -2.1334133, ' Yes': -3.9402921, 'No': -4.2945404, ' It': -5.208105}
{' No': -0.10057583, ' Generally': -2.8412142, 'No': -3.8992019, ' Yes': -5.203857, ' A': -6.0895433}
{' No': -1.0902196, ' Generally': -1.3036385, ' C': -1.3873386, ' On': -2.9154415, ' Yes': -3.280548}
{' No': -0.58330256, ' Generally': -1.4940729, ' C': -2.1275663, ' On': -3.220473, 'No': -4.0480638}
{' No': -0.3394216, ' Yes': -1.9440054, ' Generally': -2.640138, 'No': -2.926366, ' It': -5.496598}
{' No': -0.14292628, 'No': -2.742711, ' Generally': -2.9170787, ' Yes': -5.4071627, ' It': -5.9624276}
{' No': -0.33003908, ' Generally': -2.3494692, 'No': -2.491706, ' Yes': -3.3320513, ' C': -3.3600683}
{' No': -0.36177546, ' Generally': -2.0306196, 'No': -2.605252, ' C': -3.247966, ' Not': -4.4242215}
{' No': -0.10627057, 'No': -2.4937558, ' Yes': -4.7171793, ' Generally': -5.860537, '\n': -5.9338055}
{' No': -0.10526655, 'No': -2.4299068, ' Generally': -5.5543704, '\n': -5.601827, ' ': -6.3366084}
{' No': -0.15873612, 'No': -2.2361743, ' Generally': -4.7228556, ' C': -4.7832017, '\n': -4.9768186}
{' No': -0.16115168, 'No': -2.4314363, ' Generally': -4.190265, '\n': -4.377172, ' C': -4.4269786}
{' Yes': -0.37261918, ' No': -1.6446527, ' Generally': -2.469083, ' C': -5.0631423, 'No': -5.078674}
{' No': -0.19927768, ' Generally': -2.3328073, 'No': -3.0402143, ' Yes': -3.8652668, ' A': -5.5570564}
{' No': -0.45467916, ' C': -1.7646252, ' Generally': -2.4552817, ' Yes': -3.090671, 'No': -3.3087437}
{' No': -0.2143891, ' Generally': -2.7084343, ' C': -2.8753862, 'No': -2.9436562, ' On': -5.3651133}
{' No': -0.13189335, 'No': -2.2969248, '\n': -4.8364544, ' Generally': -5.090107, ' ': -5.492305}
{' No': -0.14972584, 'No': -2.2142723, '\n': -4.3249044, ' Generally': -4.5782995, ' ': -5.81961}
{' No': -0.29041833, 'No': -2.329439, '\n': -3.2177155, ' Generally': -3.5016055, ' C': -3.62974}
{' No': -0.26103613, 'No': -2.0394993, '\n': -3.198368, ' Generally': -3.8390543, ' C': -4.690805}
{' No': -0.15807137, 'No': -2.6439645, ' Generally': -3.3647437, ' Yes': -3.6785429, ' C': -5.69136}
{' No': -0.22656225, 'No': -2.4317682, ' Generally': -2.6245859, ' Yes': -3.963819, ' C': -5.218143}
{' No': -0.29549032, 'No': -2.38797, ' Generally': -2.6092625, ' C': -3.1439116, ' Yes': -4.069295}
{' No': -0.33070013, 'No': -2.194609, ' Generally': -2.586136, ' C': -3.6545715, ' Yes': -4.058606}
{' No': -0.008415868, 'No': -4.9973435, ' ': -7.4658494, '\n': -7.674107, ' Generally': -8.4147625}
{' No': -0.027371367, ' Yes': -4.0840807, 'No': -5.25112, ' Generally': -6.0667863, ' A': -7.0289693}
{' No': -0.046648707, ' C': -4.389779, 'No': -4.618502, '\n': -4.7496686, ' Yes': -5.2476354}
{' No': -0.14947249, ' Generally': -3.009847, ' C': -3.2493298, '\n': -4.539794, 'No': -4.632411}
{' No': -0.1252759, 'No': -2.333606, '\n': -4.6238985, ' ': -5.5211344, ' Generally': -5.804208}
{' No': -0.11704237, 'No': -2.4078958, '\n': -4.62145, ' Generally': -5.4966006, ' ': -5.698938}
{' No': -0.12981963, 'No': -2.7039676, ' Generally': -4.2417617, '\n': -4.287168, ' C': -4.4528465}
{' No': -0.17793302, 'No': -2.734867, ' Generally': -3.238005, ' C': -3.5833972, '\n': -4.871721}
{' No': -0.23241368, '\n': -2.1888096, 'No': -2.5980353, ' ': -4.1506534, ' A': -6.1746254}
{' No': -0.2385326, '\n': -2.209785, 'No': -2.4666877, ' ': -4.319934, ' A': -6.1513844}
{' No': -0.49351963, '\n': -1.2170436, 'No': -2.7598464, ' ': -3.8882928, ' C': -5.2522645}
{' No': -0.7459903, '\n': -1.0148578, 'No': -2.809726, ' ': -3.5924237, ' C': -3.6188633}
{' No': -0.019701373, 'No': -4.023648, ' ': -7.117588, '\n': -8.279728, ' Generally': -8.747957}
{' No': -0.015419886, 'No': -4.2552304, ' ': -7.9113655, ' Generally': -8.15433, ' A': -8.599066}
{' No': -0.047601335, 'No': -3.7533832, ' C': -4.2985015, ' Generally': -5.744014, ' It': -6.6359153}
{' No': -0.093984075, 'No': -3.3562825, ' C': -3.71779, ' Generally': -4.2665377, ' It': -4.8457613}
{' No': -0.2942932, 'No': -1.6031044, '\n': -3.2146022, ' ': -4.5708222, ' A': -6.7937837}
{' No': -0.29312196, 'No': -1.4922893, '\n': -3.892138, ' ': -4.973099, ' A': -7.1083884}
{' No': -0.32239637, 'No': -1.6110201, '\n': -2.791581, ' ': -4.602874, ' C': -6.020015}
{' No': -0.36886743, 'No': -1.3723044, '\n': -3.3373256, ' ': -4.7716403, ' C': -5.0850606}
{' No': -0.08307035, 'No': -3.1235344, ' Generally': -4.733152, ' ': -5.06274, ' A': -5.121448}
{' No': -0.11631514, 'No': -2.717765, ' Generally': -4.39454, ' Yes': -4.626355, ' A': -4.890443}
{' No': -0.14708073, 'No': -2.5255733, ' C': -4.2705536, '\n': -4.4695215, ' ': -4.6358213}
{' No': -0.19105333, 'No': -2.3541276, ' C': -3.6836085, ' Generally': -3.9474733, '\n': -4.6863294}
{' No': -0.10975329, 'No': -2.4323144, ' Generally': -5.127995, ' Yes': -5.414988, ' A': -6.2278504}
{' No': -0.15360121, 'No': -2.0835996, ' Generally': -4.776743, ' A': -5.7436714, ' Yes': -6.5325737}
{' No': -0.2713542, 'No': -1.851419, ' Generally': -3.9180331, ' C': -4.054791, ' It': -4.426295}
{' No': -0.4789884, 'No': -1.8753642, ' Generally': -2.7058332, ' C': -2.8826845, ' Yes': -3.8017402}
{' No': -0.13075541, 'No': -2.1110618, ' Yes': -7.843576, ' no': -7.911775, ' ': -8.022004}
{' No': -0.13065244, 'No': -2.1035814, ' ': -8.514544, ' no': -9.755076, 'no': -10.203349}
{' No': -0.18719089, 'No': -1.8576487, ' Generally': -4.9962764, ' Yes': -5.882989, ' C': -6.5178065}
{' No': -0.26482138, 'No': -1.5192274, ' Generally': -5.413499, ' Not': -6.0514917, ' It': -6.0757895}
{' No': -0.10674669, 'No': -2.3500516, ' Yes': -5.549217, ' ': -7.1292605, '\n': -7.9424214}
{' No': -0.1615521, 'No': -1.9156128, ' ': -7.1976542, '\n': -7.3574424, ' Yes': -9.122187}
{' No': -0.31709, 'No': -1.3318682, ' Yes': -6.0981884, ' C': -6.772164, ' ': -7.102529}
{' No': -0.38590983, 'No': -1.1672361, ' C': -6.454381, ' It': -6.5569787, ' Yes': -6.5646505}
{' No': -0.01908411, 'No': -3.9857643, ' ': -8.733248, ' Yes': -10.101066, ' no': -10.279341}
{' No': -0.03606128, 'No': -3.3501308, ' ': -9.005741, ' Generally': -9.5115385, ' Yes': -10.227675}
{' No': -0.1004972, 'No': -2.4078531, ' Generally': -5.9219003, ' C': -6.7571855, ' Yes': -7.560718}
{' No': -0.12290936, 'No': -2.3441026, ' Generally': -4.6754165, ' Yes': -5.512855, ' C': -6.0740585}
{' No': -0.5549386, 'No': -0.8667634, '\n': -5.856601, ' ': -6.517532, 'no': -8.702729}
{' No': -0.6797383, 'No': -0.7179693, '\n': -5.6764665, ' ': -6.8798213, ' Generally': -8.165203}
{' No': -0.71608835, 'No': -0.7978202, ' C': -4.211466, ' Generally': -4.546423, '\n': -4.5845976}
{' No': -0.6983282, 'No': -0.78993064, ' It': -4.645483, ' Generally': -4.6761827, ' C': -4.8486366}
{' No': -0.14243601, 'No': -2.1215522, '\n': -5.476983, ' Cow': -5.6701703, ' ': -6.4042344}
{' No': -0.215594, 'No': -1.676356, '\n': -5.9863343, ' C': -6.8275924, ' Cow': -6.9339776}
{' No': -0.3688329, 'No': -1.2348855, ' C': -4.6715174, ' Generally': -5.6432176, ' Yes': -6.704408}
{' No': -0.36488545, 'No': -1.2302039, ' C': -4.767723, ' Generally': -6.533771, '\n': -7.3109446}
{' No': -0.0040469, 'No': -6.0863886, ' ': -6.9477553, ' no': -8.031617, ' Yes': -8.151836}
{' No': -0.01692546, ' Yes': -4.6440234, 'No': -5.7365255, ' ': -6.010156, '\n': -7.5667644}
{' No': -0.0108571425, 'No': -5.4874063, ' Yes': -5.5854917, ' ': -7.001259, ' C': -7.1866245}
{' No': -0.033243716, ' C': -4.659312, ' Yes': -4.942076, 'No': -4.973803, ' Generally': -5.4509835}
{' No': -0.15061109, 'No': -2.0384533, '\n': -5.3589735, ' ': -6.033589, ' Generally': -6.784179}
{' No': -0.1266462, 'No': -2.255251, '\n': -5.318533, ' Generally': -5.4749565, ' ': -6.047119}
{' No': -0.16556545, 'No': -2.0298004, '\n': -5.051582, ' Generally': -5.578548, ' It': -5.675646}
{' No': -0.24106234, 'No': -2.0056708, ' It': -3.7058525, ' Generally': -3.7508774, ' C': -4.869953}
{' No': -0.30824983, 'No': -2.0112815, '\n': -2.138368, ' ': -4.6793013, ' Yes': -6.5865192}
{' No': -0.3076203, 'No': -1.9891865, '\n': -2.1456025, ' ': -4.7855387, ' A': -6.980571}
{' No': -0.39110738, 'No': -1.8309076, '\n': -1.8941897, ' ': -4.8345733, ' C': -6.3587403}
{' No': -0.43124676, 'No': -1.682351, '\n': -2.035861, ' C': -4.568945, ' ': -4.665018}
{' No': -0.034380924, 'No': -3.512015, '\n': -6.4063554, ' ': -6.699446, ' Generally': -7.796132}
{' No': -0.051812112, 'No': -3.2290564, ' Generally': -5.369401, ' Yes': -6.1791368, '\n': -6.580733}
{' No': -0.07956556, 'No': -2.7375512, '\n': -5.6244736, ' Generally': -5.92428, ' C': -6.1236877}
{' No': -0.11898139, 'No': -2.8847816, ' Generally': -3.905408, ' It': -4.345401, ' C': -4.9096017}
{' No': -0.4497753, 'No': -1.3850722, '\n': -2.3265204, ' ': -4.6155486, ' no': -6.3828835}
{' No': -0.414496, 'No': -1.3925921, '\n': -2.5101802, ' ': -4.890311, ' no': -7.2909217}
{' No': -0.37849265, 'No': -1.5687679, '\n': -2.3693452, ' ': -4.9129953, ' no': -6.312768}
{' No': -0.3952592, 'No': -1.3196176, '\n': -3.0013285, ' ': -5.247552, ' no': -6.7827024}
{' No': -0.67810833, ' Yes': -1.1259289, ' yes': -3.4241276, 'No': -3.4502373, '\n': -3.567648}
{' Yes': -0.3699704, ' No': -1.5684509, ' yes': -3.475538, '\n': -4.2130527, 'Yes': -4.464449}
{' No': -0.17312406, 'No': -2.2153757, '\n': -3.9272244, ' ': -4.9828544, ' no': -5.0189548}
{' No': -0.32428426, 'No': -2.3074117, ' It': -3.175778, '\n': -3.5563684, ' C': -3.6720395}
{' No': -0.020294255, 'No': -4.742758, '\n': -4.975443, ' ': -6.062202, ' Generally': -6.6732993}
{' No': -0.018681824, 'No': -4.972314, '\n': -5.5067244, ' Generally': -5.904458, ' Yes': -6.2396035}
{' No': -0.0629781, '\n': -3.697921, ' Generally': -4.564725, 'No': -4.725934, ' C': -4.860036}
{' No': -0.11974227, '\n': -3.3270824, ' Generally': -3.3616436, ' C': -4.1793814, 'No': -4.358748}
{' No': -0.107001126, 'No': -3.0168252, '\n': -3.3375688, ' ': -4.5288796, ' Generally': -5.782564}
{' No': -0.12916566, 'No': -2.904497, '\n': -2.983017, ' ': -4.727543, ' Generally': -5.4094462}
{' No': -0.29116622, '\n': -1.813402, 'No': -3.0391119, ' ': -4.015779, ' C': -4.5881386}
{' No': -0.28740853, '\n': -2.0172098, 'No': -2.882503, ' Generally': -3.7276015, ' ': -4.1415863}
{' No': -0.1011119, 'No': -3.1262527, '\n': -3.3158524, ' ': -4.4675117, ' A': -6.474286}
{' No': -0.14063686, '\n': -2.768826, 'No': -2.8736022, ' ': -4.678683, ' A': -6.904598}
{' No': -0.13638867, '\n': -2.676212, 'No': -3.3439405, ' ': -4.4883995, ' C': -5.1511517}
{' No': -0.18668921, '\n': -2.398115, 'No': -3.1418722, ' ': -4.249643, ' C': -4.656297}
{' No': -0.04200726, 'No': -3.8954291, '\n': -4.5234256, ' ': -4.895204, ' Generally': -6.737325}
{' No': -0.027638245, 'No': -4.226771, '\n': -4.9668813, ' ': -5.440877, ' Generally': -7.397427}
{' No': -0.11074398, '\n': -2.955871, 'No': -3.4322753, ' ': -4.445852, ' C': -5.1462092}
{' No': -0.18181393, '\n': -2.6157298, 'No': -3.3130167, ' Generally': -3.8362975, ' C': -4.144056}
{' No': -0.07719753, 'No': -3.3495917, '\n': -3.5268586, ' ': -4.8035693, ' A': -7.4958043}
{' No': -0.059579592, 'No': -3.3601089, '\n': -4.0669036, ' ': -5.413337, ' A': -7.4010153}
{' No': -0.073500484, 'No': -3.4274223, '\n': -3.570813, ' ': -4.9688344, ' C': -6.375331}
{' No': -0.060492277, 'No': -3.290402, '\n': -4.325709, ' ': -5.35846, ' C': -6.651875}
{' No': -0.07321025, 'No': -3.4654603, '\n': -3.945826, ' ': -4.3002152, ' Generally': -6.3284464}
{' No': -0.06640295, 'No': -3.4342065, '\n': -4.2418823, ' ': -4.8293004, ' Generally': -5.4003167}
{' No': -0.11051975, 'No': -3.0025485, '\n': -3.511124, ' ': -4.206673, ' C': -5.451509}
{' No': -0.14974017, 'No': -2.9313025, '\n': -3.3489149, ' Generally': -4.206732, ' C': -4.385073}
{' Yes': -0.0031805127, 'Yes': -6.1855726, ' Generally': -7.1232076, ' A': -9.164464, ' yes': -9.546825}
{' Yes': -0.002716971, 'Yes': -6.2498255, ' Generally': -7.5152216, ' A': -9.261573, ' yes': -9.472192}
{' Yes': -0.0053819558, 'Yes': -5.860053, ' Generally': -6.217408, ' Pigs': -8.461194, ' yes': -9.567132}
{' Yes': -0.012536487, ' No': -5.693888, 'Yes': -5.6982503, ' Generally': -5.8873353, ' Pigs': -6.0864396}
{' Yes': -0.01693825, 'Yes': -4.4890413, ' Generally': -5.5539403, ' ': -7.7567124, ' yes': -8.1572895}
{' Yes': -0.016554885, 'Yes': -4.3323255, ' Generally': -6.2676206, ' ': -7.9625154, ' yes': -8.163426}
{' Yes': -0.017760571, 'Yes': -4.2022524, ' Generally': -6.683406, ' ': -7.5084767, '\n': -8.106173}
{' Yes': -0.013259702, 'Yes': -4.499946, ' Generally': -7.2123613, ' No': -7.5254993, ' ': -8.289376}
{' Yes': -0.02292706, 'Yes': -4.115687, '\n': -5.968901, ' ': -6.4067745, ' No': -6.97089}
{' Yes': -0.01608947, 'Yes': -4.545182, '\n': -5.932837, ' ': -6.553786, ' No': -7.7775254}
{' Yes': -0.045069885, 'Yes': -3.3734467, '\n': -5.5700383, ' ': -5.9309926, ' Generally': -6.836117}
{' Yes': -0.025014905, 'Yes': -4.0196743, ' No': -5.9772196, '\n': -6.529937, ' ': -6.84612}
{' Yes': -0.0048743864, 'Yes': -5.6927514, ' Generally': -6.838244, ' A': -8.948509, ' No': -9.053001}
{' Yes': -0.004353303, 'Yes': -5.6498513, ' Generally': -7.7312813, ' A': -8.913559, ' No': -9.174531}
{' Yes': -0.008158878, 'Yes': -4.844636, ' Generally': -8.934903, ' yes': -9.657364, ' ': -10.685179}
{' Yes': -0.010369914, 'Yes': -4.8260174, ' No': -6.7472773, ' Pigs': -7.738364, ' Generally': -7.74472}
{' Yes': -0.06236996, '\n': -3.9111493, 'Yes': -3.940921, ' Generally': -5.0373893, ' ': -5.3061843}
{' Yes': -0.069588676, ' No': -3.9736872, '\n': -4.029895, 'Yes': -4.1248503, ' ': -5.324771}
{' Yes': -0.04896466, 'Yes': -3.421037, '\n': -5.0654993, ' ': -5.76361, ' Generally': -6.221213}
{' Yes': -0.051702075, 'Yes': -3.731832, ' No': -4.502851, '\n': -5.1143374, ' Generally': -5.819322}
{' Yes': -0.022877784, 'Yes': -4.1520147, ' Generally': -5.7836294, ' ': -6.6689334, '\n': -6.919782}
{' Yes': -0.0336961, 'Yes': -4.043374, ' Generally': -5.227601, ' No': -5.5137906, '\n': -6.413877}
{' Yes': -0.030139903, 'Yes': -3.6941795, ' ': -6.535949, '\n': -7.0063567, ' Generally': -7.3166127}
{' Yes': -0.023400793, 'Yes': -4.0876727, ' No': -6.0996523, ' Generally': -6.5307474, ' ': -7.2212234}
{' Yes': -0.002916436, 'Yes': -6.1795573, ' yes': -7.7818346, '\n': -8.371754, ' ': -8.827409}
{' Yes': -0.0019925558, 'Yes': -6.6367617, ' yes': -8.072101, ' ': -8.743379, '\n': -8.752557}
{' Yes': -0.002677408, 'Yes': -6.2354364, '\n': -7.8861403, ' yes': -8.621621, ' ': -9.2319765}
{' Yes': -0.002272223, 'Yes': -6.440449, '\n': -8.289749, ' yes': -8.673876, ' No': -9.008814}
{' Yes': -0.037049606, '\n': -4.11404, 'Yes': -4.2371798, ' ': -5.727074, ' No': -7.285088}
{' Yes': -0.035725493, '\n': -4.216206, 'Yes': -4.6874623, ' No': -5.055634, ' ': -5.7444158}
{' Yes': -0.018895006, 'Yes': -4.244799, '\n': -5.8908277, ' ': -7.0775433, ' yes': -7.4826283}
{' Yes': -0.015192257, 'Yes': -4.4173126, '\n': -6.970779, ' yes': -7.3767033, ' ': -7.561865}
{' Yes': -0.20661359, '\n': -2.0061283, 'Yes': -3.6228504, ' ': -3.9738827, ' No': -6.0236583}
{' Yes': -0.37505525, '\n': -1.4559134, ' ': -3.6246965, ' No': -3.697975, 'Yes': -3.8407192}
{' Yes': -0.27034587, '\n': -1.7458175, 'Yes': -3.6135368, ' ': -3.9835606, ' No': -4.2905025}
{' Yes': -0.17503622, '\n': -2.1465633, 'Yes': -3.6795356, ' ': -4.6452436, ' No': -5.068787}
{' Yes': -0.0024604814, 'Yes': -6.324636, ' yes': -8.223879, ' ': -8.521364, '\n': -8.788069}
{' Yes': -0.0024778699, 'Yes': -6.2293663, ' yes': -8.67201, ' ': -8.865559, '\n': -9.083222}
{' Yes': -0.0018965848, 'Yes': -6.3901014, ' yes': -9.4034195, ' ': -9.600354, '\n': -9.84029}
{' Yes': -0.0021537654, 'Yes': -6.2594566, ' yes': -9.315035, ' ': -9.735037, ' No': -10.173491}
{' Yes': -0.36467454, '\n': -2.1252604, ' No': -2.6669912, 'Yes': -2.7016935, ' ': -3.7622116}
{' No': -0.6896552, ' Yes': -1.2693002, '\n': -2.4009187, 'No': -2.6165311, ' ': -3.845037}
{' Yes': -0.24095608, 'Yes': -2.2609663, '\n': -2.9784267, ' No': -3.396132, ' ': -4.5373273}
{' Yes': -0.2218909, 'Yes': -2.3169932, ' No': -3.2114024, '\n': -3.296701, ' ': -4.6801124}
{' Yes': -0.015339445, 'Yes': -4.861201, ' yes': -5.6434903, '\n': -6.233475, ' ': -6.507576}
{' Yes': -0.014495409, 'Yes': -5.0168447, ' yes': -5.9395056, '\n': -5.949531, ' ': -6.2580085}
{' Yes': -0.02881627, 'Yes': -4.0294895, ' yes': -5.3683753, '\n': -5.8857665, ' ': -6.137598}
{' Yes': -0.019074513, 'Yes': -4.3398294, ' yes': -5.7718396, '\n': -6.803021, ' ': -6.908196}
{' Yes': -0.02897738, 'Yes': -3.8333251, ' yes': -5.952456, ' Generally': -6.5437784, ' A': -6.8430257}
{' Yes': -0.028830627, 'Yes': -3.8558757, ' yes': -6.2739472, ' A': -6.495142, ' Generally': -6.5369525}
{' Yes': -0.06769129, 'Yes': -3.229566, ' yes': -4.7287874, ' Generally': -5.204075, ' No': -5.2851033}
{' Yes': -0.07776424, 'Yes': -3.2898211, ' No': -4.1543536, ' Generally': -5.0225224, ' yes': -5.10228}
{' Yes': -0.029792035, 'Yes': -3.5938733, ' yes': -6.882811, ' No': -7.744862, ' ': -8.670133}
{' Yes': -0.05484993, 'Yes': -3.4671767, ' No': -3.9655726, 'No': -6.2311287, ' yes': -7.2446175}
{' Yes': -0.043046348, 'Yes': -3.2456486, ' No': -6.48726, ' Generally': -7.263118, 'No': -8.053132}
{' Yes': -0.04420524, 'Yes': -3.3213103, ' No': -5.2905984, 'No': -7.0614014, ' Generally': -7.5573673}
{' Yes': -0.041366138, 'Yes': -3.2488399, ' yes': -7.1848226, ' ': -7.9235907, ' No': -8.65953}
{' Yes': -0.06967104, ' No': -3.4495442, 'Yes': -3.5273945, 'No': -5.7958784, ' ': -6.929143}
{' Yes': -0.10954053, 'Yes': -2.3137755, '\n': -6.8459983, ' No': -6.8643126, ' ': -7.057464}
{' Yes': -0.10745497, 'Yes': -2.5674253, ' No': -4.0717645, 'No': -5.089535, '\n': -7.668262}
{' Yes': -0.008159118, 'Yes': -4.9633074, ' yes': -7.764922, ' No': -7.8726745, ' ': -8.6557}
{' Yes': -0.00684451, 'Yes': -5.188508, ' No': -7.2406607, ' yes': -8.368707, ' ': -8.659364}
{' Yes': -0.020713562, 'Yes': -3.9782634, ' No': -6.953033, ' Generally': -8.082677, ' yes': -8.435839}
{' Yes': -0.017846426, 'Yes': -4.344939, ' No': -5.5249166, 'No': -8.320767, ' Generally': -8.803211}
{' Yes': -0.69135296, ' No': -1.166542, 'No': -2.0980663, 'Yes': -3.0644836, '\n': -4.7287445}
{' No': -0.38019052, 'No': -1.6577325, ' Yes': -2.271548, '\n': -4.681311, 'Yes': -4.7046666}
{' Yes': -0.18565248, 'Yes': -1.9114711, ' No': -5.076155, 'No': -5.411425, '\n': -5.733536}
{' Yes': -0.25668564, 'Yes': -2.2538016, ' No': -2.8674605, 'No': -3.2347777, ' Pigs': -4.8943467}
{' Yes': -0.06583174, 'Yes': -2.9628177, ' yes': -4.895515, '\n': -6.1629634, 'yes': -7.025754}
{' Yes': -0.5702436, ' No': -1.0565659, 'No': -3.0221667, 'Yes': -3.7131972, '\n': -5.4314475}
{' Yes': -0.083500504, 'Yes': -2.6643682, ' No': -5.4358754, 'No': -6.241856, ' Generally': -6.58334}
{' Yes': -0.07000104, 'Yes': -2.9173841, ' No': -5.0056543, ' Generally': -6.0512247, 'No': -6.10892}
{' Yes': -0.03675423, ' yes': -3.4373028, 'Yes': -5.8953724, ' ': -7.533862, '\n': -8.019122}
{' Yes': -0.013538549, ' yes': -4.5047836, 'Yes': -6.4142528, ' ': -7.8257713, '\n': -8.302702}
{' Yes': -0.010711635, ' yes': -4.721813, 'Yes': -6.550277, ' ': -8.959047, '\n': -9.133979}
{' Yes': -0.008074212, ' yes': -5.1278596, 'Yes': -6.459688, ' ': -8.371714, '\n': -8.666496}
{' Yes': -0.032711163, 'Yes': -4.100065, ' yes': -4.5995846, '\n': -5.506119, ' ': -6.9232974}
{' Yes': -0.026293125, 'Yes': -4.2441254, ' yes': -5.055899, '\n': -5.6080756, ' ': -6.9784317}
{' Yes': -0.03189924, 'Yes': -3.811274, ' yes': -5.027325, '\n': -6.3090825, ' ': -7.754645}
{' Yes': -0.03218493, 'Yes': -3.645733, ' yes': -5.7517414, '\n': -6.381241, ' ': -7.7465115}
{' Yes': -0.21139075, '\n': -2.0214112, 'Yes': -3.2567396, ' ': -4.554572, ' yes': -4.979657}
{' Yes': -0.39296883, '\n': -1.4158053, ' No': -3.4102454, 'Yes': -3.6979098, ' ': -4.0664306}
{' Yes': -0.09348859, 'Yes': -3.1384027, '\n': -3.361526, ' yes': -4.969715, ' ': -5.8940945}
{' Yes': -0.16514258, '\n': -2.4382424, 'Yes': -2.9814496, ' yes': -5.20316, ' ': -5.2047334}
{' Yes': -0.006486651, 'Yes': -5.652795, ' yes': -6.075082, '\n': -7.8592114, ' ': -8.720456}
{' Yes': -0.0048583345, 'Yes': -5.8841033, ' yes': -6.514534, '\n': -8.022966, ' ': -8.994078}
{' Yes': -0.0070123826, 'Yes': -5.2332087, ' yes': -6.6640077, '\n': -8.443683, ' ': -9.454652}
{' Yes': -0.0053427042, 'Yes': -5.3825035, ' yes': -7.797098, '\n': -8.641062, ' ': -9.604908}
{' Yes': -0.7935187, '\n': -1.2059543, ' No': -2.1964252, 'Yes': -2.6951509, 'No': -3.427608}
{' No': -0.66972643, '\n': -1.3451681, 'No': -2.0613186, ' Yes': -2.7001486, ' ': -3.9148643}
{' Yes': -0.2263128, 'Yes': -2.3189318, '\n': -2.6680357, ' yes': -4.1144867, ' ': -5.088539}
{' Yes': -0.23685075, 'Yes': -2.300106, '\n': -2.7457428, ' yes': -4.1041546, ' No': -4.111784}
{' Yes': -0.1145404, ' yes': -2.3692057, 'Yes': -4.662428, '\n': -5.9063344, ' ': -6.735555}
{' Yes': -0.08717039, ' yes': -2.6456819, 'Yes': -5.061648, '\n': -5.491101, ' ': -6.690516}
{' Yes': -0.11927737, ' yes': -2.3835213, 'Yes': -4.261909, '\n': -5.852999, 'yes': -6.3122716}
{' Yes': -0.08952339, ' yes': -2.649006, 'Yes': -4.4928985, '\n': -6.2713733, 'yes': -7.047834}
{' Yes': -0.005743079, 'Yes': -5.946668, '\n': -6.2406473, ' yes': -7.5082774, ' ': -7.577158}
{' Yes': -0.0039016046, 'Yes': -6.349576, '\n': -6.7059736, ' yes': -7.726201, ' ': -7.9412217}
{' Yes': -0.0050016735, 'Yes': -6.00952, '\n': -6.2950673, ' ': -7.820679, ' yes': -8.575638}
{' Yes': -0.003896638, 'Yes': -6.354396, '\n': -6.495832, ' ': -8.311266, ' yes': -8.388375}
{' Yes': -0.12085577, '\n': -2.4691472, ' ': -4.304793, 'Yes': -4.4481587, ' No': -6.0157433}
{' Yes': -0.10265328, '\n': -2.6272979, 'Yes': -4.497482, ' ': -4.6716037, ' No': -5.8586802}
{' Yes': -0.082011, '\n': -2.8841407, 'Yes': -4.1884274, ' ': -5.0256925, ' yes': -7.634761}
{' Yes': -0.04928821, '\n': -3.470465, 'Yes': -4.452193, ' ': -5.7243047, ' No': -7.0097966}
{' Yes': -0.15739714, '\n': -2.2641113, ' ': -4.0784006, 'Yes': -4.3014956, ' No': -4.926018}
