{' Yes': -0.0005849042, 'Yes': -7.5844274, ' yes': -10.218534, ' Spider': -10.872956, ' The': -11.29661}
{' Yes': -0.0063336203, ' Empire': -5.9215097, ' No': -6.130723, ' The': -7.4017034, 'Yes': -7.673735}
{' Yes': -0.1435855, ' Empire': -2.0213282, 'Yes': -7.397028, ' The': -8.924389, ' Emperor': -9.011667}
{' Yes': -0.0014582332, ' No': -6.9331884, 'Yes': -7.850802, ' yes': -10.063481, ' ': -10.572137}
{' No': -0.0045608766, ' Yes': -5.5532737, 'No': -7.4790936, ' ': -9.840673, '\n': -10.130581}
{' Yes': -0.0040595257, ' No': -5.835356, ' Hunger': -7.474591, 'Yes': -7.8168945, ' ': -9.833663}
{' Yes': -0.00071021594, 'Yes': -8.023886, ' No': -8.221692, ' yes': -9.893831, ' The': -10.951724}
{' Yes': -0.00060906034, 'Yes': -7.6766267, ' yes': -10.034489, ' No': -10.306094, '\n': -10.406497}
{'\n': -0.39293584, ' Yes': -1.2103244, ' No': -4.3540306, ' ': -4.590968, 'Yes': -6.8592}
{' Yes': -0.010942045, ' No': -4.7676253, 'Yes': -7.0177298, ' The': -7.4342756, ' yes': -7.6149354}
{' Yes': -0.009071623, ' No': -4.864588, 'Yes': -7.07642, ' yes': -8.450356, ' The': -9.070387}
{' Yes': -0.07283997, ' No': -2.6710129, 'Yes': -7.5687084, ' The': -8.48311, ' yes': -8.785528}
{' Yes': -0.0038278261, ' No': -5.9403696, 'Yes': -7.2826033, ' Direct': -8.789134, ' yes': -9.055079}
{' Yes': -0.00199805, 'Yes': -7.1525908, ' No': -7.290631, ' The': -8.547636, ' yes': -8.603567}
{' Yes': -0.00072542584, 'Yes': -7.682997, ' No': -9.26024, ' yes': -9.334297, ' The': -10.339842}
{' Yes': -0.0017785287, 'Yes': -7.3461804, ' The': -7.590714, ' No': -7.767079, ' yes': -9.089278}
{' Yes': -0.0026180618, 'Yes': -6.814908, ' No': -7.4286013, ' The': -8.430076, ' ': -8.532095}
{' Yes': -0.028098708, ' No': -3.6822658, ' Behind': -6.3832946, 'Yes': -7.870976, ' The': -8.537847}
{' Yes': -0.048337944, ' No': -3.3941364, '\n': -4.694935, ' ': -6.46326, 'Yes': -6.589964}
{' Yes': -0.21115418, ' No': -1.6728871, ' The': -6.8983335, 'Yes': -7.6951175, '\n': -7.7669225}
{' Yes': -0.018487692, ' No': -4.0620875, 'Yes': -7.5136714, ' The': -8.275754, ' yes': -8.788762}
{' No': -0.56944615, ' Yes': -1.457441, ' T': -1.7790505, '\n': -5.1026874, ' Issue': -5.375444}
{' Yes': -0.10944969, ' No': -2.2902129, 'Yes': -6.9373207, ' yes': -7.48187, '\n': -8.008802}
{' Yes': -0.0021081863, ' No': -7.070948, 'Yes': -7.317133, ' yes': -8.520984, ' The': -8.692408}
{' Yes': -0.022300743, ' No': -3.8742943, 'Yes': -7.2302246, ' ': -8.730547, '\n': -8.90994}
{' No': -0.6238803, ' Yes': -0.77491957, 'Yes': -6.43764, 'No': -7.3870707, ' The': -8.43734}
{' No': -0.32946593, ' Yes': -1.2784559, 'Yes': -6.966415, 'No': -7.0215797, ' ': -9.3064995}
{' Yes': -0.019177128, ' No': -4.7550073, ' Sne': -5.2168565, 'Yes': -6.23502, ' The': -6.3425603}
{' Yes': -0.36803222, ' No': -1.7506081, ' Sne': -2.0770302, 'Yes': -6.0331454, ' sne': -6.6252017}
{' No': -0.2219159, ' Yes': -1.6313072, 'No': -6.6260867, ' Better': -7.6024756, 'Yes': -7.8532524}
{' Yes': -0.0010959667, 'Yes': -7.2227373, '\n': -9.031816, ' yes': -9.037679, ' ': -10.210132}
{' Yes': -0.0005507898, 'Yes': -7.845266, ' No': -9.866258, ' Purple': -9.929452, ' yes': -10.614415}
{' Yes': -0.0015752349, ' Purple': -7.2914314, 'Yes': -7.4935184, ' No': -8.689989, ' yes': -9.39291}
{' Yes': -0.0007535797, 'Yes': -7.6172657, ' Animal': -9.313978, ' yes': -9.500799, ' The': -10.51605}
{' Yes': -0.0023599267, 'Yes': -6.8183165, ' No': -7.0119405, ' yes': -8.923632, ' Animal': -9.145961}
{' Yes': -0.0020854888, 'Yes': -7.4004655, ' The': -7.619757, ' yes': -7.902957, ' No': -8.705331}
{' Yes': -0.0025582428, 'Yes': -6.8203964, ' No': -7.279013, ' yes': -7.7692146, ' Hel': -8.971602}
{' Yes': -0.11484931, ' No': -2.2255156, 'Yes': -8.1000805, 'No': -9.639778, ' ': -10.10844}
{' Yes': -0.0015366677, ' No': -6.9920373, 'Yes': -7.623158, ' yes': -9.7577, ' The': -10.672366}
{' Yes': -0.00227724, 'Yes': -7.0319896, ' No': -7.1197734, ' yes': -8.422203, '\n': -8.492439}
{' Yes': -0.0021658898, 'Yes': -7.1703672, ' ': -7.517924, ' YES': -7.8189917, '\n': -8.183249}
{' Yes': -0.0024866548, ' No': -6.662257, 'Yes': -6.952552, '\n': -8.909608, ' yes': -10.189447}
{' Yes': -0.0009957855, 'Yes': -7.366895, ' No': -8.138472, ' yes': -9.9055195, '\n': -11.719469}
{' No': -0.13313074, ' Yes': -2.1020982, ' Dis': -6.5804973, 'No': -7.539613, '\n': -8.67923}
{' Yes': -0.113494925, ' No': -2.2410812, 'Yes': -7.9206696, ' The': -8.687039, ' yes': -8.89182}
{' Yes': -0.3787596, ' No': -1.1564296, 'Yes': -8.350882, ' yes': -8.98094, ' ': -9.354639}
{' Yes': -0.03956351, ' No': -3.2899332, 'Yes': -6.848626, ' yes': -8.948934, ' The': -9.002899}
{' Yes': -0.0024603622, ' No': -6.458421, 'Yes': -7.6193676, ' yes': -8.88246, ' The': -8.9992695}
{' Yes': -0.0008123946, 'Yes': -7.6418033, ' Hammer': -8.944095, ' No': -9.292105, ' yes': -10.27682}
{' Yes': -0.044903174, ' No': -3.1874084, ' Second': -6.7797756, ' The': -7.426981, 'Yes': -7.697823}
{' Yes': -0.002612981, ' No': -6.9609256, 'Yes': -7.345809, ' The': -7.6548185, ' yes': -8.136426}
{' Yes': -0.32170177, ' No': -1.3062408, ' The': -5.8713493, 'Yes': -7.173287, 'No': -8.245122}
{' Yes': -0.007939504, ' No': -5.1921835, 'Yes': -6.7897463, ' The': -6.88308, ' yes': -9.42765}
{' Yes': -0.0020393196, ' No': -6.6584115, 'Yes': -7.9288487, ' The': -8.56304, ' Ex': -8.943729}
{' Yes': -0.27071708, ' No': -1.4499335, 'Yes': -7.2159567, ' Ex': -7.4968657, ' The': -7.69102}
{' Yes': -0.00082253676, 'Yes': -7.8768754, ' No': -8.313013, ' ': -9.531725, ' yes': -9.599722}
{' Yes': -0.0004910945, 'Yes': -7.9397173, ' yes': -9.730655, ' No': -10.442281, ' ': -10.7539835}
{' Yes': -0.096049175, ' Planet': -2.4612796, ' No': -5.3066583, 'Yes': -7.1356587, '\n': -9.030474}
{' Yes': -0.0012410942, 'Yes': -6.95963, ' No': -8.975404, ' yes': -9.498427, ' Planet': -10.415393}
{' Yes': -0.0013028058, 'Yes': -6.833436, ' No': -9.096125, ' yes': -9.718458, ' C': -11.01539}
{' Yes': -0.0005823989, 'Yes': -7.802157, ' No': -9.66727, ' yes': -9.726375, ' ': -10.717006}
{' Yes': -0.0008546921, 'Yes': -7.230604, ' Ass': -10.325455, ' yes': -10.3414345, ' ': -10.810795}
{' Yes': -0.0021957597, 'Yes': -6.5385265, ' Ass': -7.755256, ' No': -8.718906, '\n': -10.016033}
{' Yes': -0.015456145, ' No': -4.4644074, ' Circus': -6.0158257, 'Yes': -7.000376, ' The': -8.382139}
{' Yes': -0.0011207291, 'Yes': -7.4698167, ' Circus': -8.335893, ' No': -8.652102, ' yes': -10.1262865}
{' Yes': -0.00092854706, 'Yes': -7.658246, ' No': -7.8414583, ' yes': -10.26508, ' ': -11.135565}
{' Yes': -0.00097496517, 'Yes': -7.298076, ' No': -8.52319, ' yes': -9.924986, '\n': -10.52161}
{' Yes': -0.012454225, ' No': -4.625798, ' Finger': -6.694346, 'Yes': -7.5016756, ' yes': -8.160724}
{' Yes': -0.0378676, ' No': -3.5157936, ' Finger': -5.0988264, 'Yes': -7.3552923, ' yes': -8.51386}
{' Yes': -0.0012594176, 'Yes': -6.807347, ' yes': -9.566225, ' The': -10.282089, ' ': -10.783211}
{' Yes': -0.0013701896, 'Yes': -7.017967, ' yes': -8.443663, ' The': -8.946297, '\n': -10.269577}
{' Yes': -0.00059069006, 'Yes': -7.782878, ' yes': -9.766416, ' No': -9.972894, ' ': -10.392283}
{' Yes': -0.0008141856, 'Yes': -7.644962, ' The': -8.58566, ' yes': -9.679757, ' Sure': -10.189897}
{' Yes': -0.005344742, ' No': -5.5147705, 'Yes': -6.8190217, '\n': -9.596474, ' yes': -9.757601}
{' Yes': -0.029094089, ' No': -3.606105, 'Yes': -6.878495, ' ': -8.865247, ' The': -9.080577}
{' Yes': -0.010034633, ' Sc': -5.1055107, 'Yes': -6.1209908, ' yes': -7.249099, ' YES': -7.9824347}
{' Yes': -0.045634273, ' Sc': -3.2742774, 'Yes': -5.817635, ' yes': -6.9348664, ' No': -7.0680323}
{' Yes': -0.0064553944, ' No': -5.183795, 'Yes': -7.317883, ' ': -9.840857, ' yes': -9.920718}
{' No': -0.5497382, ' Yes': -0.8817351, ' ': -5.6752243, 'No': -6.352331, 'Yes': -6.371251}
{' Yes': -0.00066208007, 'Yes': -7.7397895, ' No': -8.721302, ' yes': -10.700443, ' The': -10.967728}
{' Yes': -0.0052201063, ' No': -5.5581756, 'Yes': -7.2097526, ' ': -8.504243, '\n': -8.56825}
{' Yes': -0.0018559778, ' No': -6.7774997, 'Yes': -7.6447425, ' yes': -9.14319, ' The': -9.491289}
{' Yes': -0.001111659, 'Yes': -7.477231, ' No': -8.106456, ' yes': -8.923156, ' ': -10.151366}
{' Yes': -0.000348106, 'Yes': -8.168254, ' No': -10.466542, ' yes': -10.833653, ' YES': -12.0727625}
{' Yes': -0.0011233556, 'Yes': -6.911735, ' yes': -9.940994, ' ': -10.557119, '\n': -10.783509}
{' Yes': -0.0011844616, 'Yes': -7.2133346, ' No': -8.278532, ' yes': -9.373365, ' ': -10.041695}
{' Yes': -0.1038104, ' No': -2.3325987, 'Yes': -7.242354, ' Finish': -7.7931085, '\n': -9.00206}
{' Yes': -0.034200005, ' No': -3.4523363, 'Yes': -6.7718725, ' The': -8.153369, ' yes': -8.611728}
{' Yes': -0.0018851201, 'Yes': -7.0035553, ' No': -7.5885196, ' yes': -8.819777, ' ': -8.902706}
{' Yes': -0.0096282065, ' Repeat': -4.8044243, ' No': -6.9365044, 'Yes': -8.378411, ' yes': -9.785581}
{' Yes': -0.0005716645, 'Yes': -8.047706, ' yes': -9.41212, ' No': -9.437345, ' The': -10.429662}
{' Yes': -0.000723756, 'Yes': -7.4523687, ' yes': -10.023624, ' The': -10.218307, ' No': -10.291605}
{' Yes': -0.0014567397, 'Yes': -6.8181887, ' yes': -8.707507, ' YES': -9.596652, ' The': -10.012357}
{' Yes': -0.00093319995, 'Yes': -7.140175, ' yes': -9.973675, ' YES': -10.642708, ' The': -10.749289}
{' Yes': -0.0024080814, 'Yes': -6.9185395, ' Candle': -7.4321613, ' YES': -8.071742, ' Cand': -8.817612}
{' Yes': -0.01653101, ' No': -4.2980633, 'Yes': -6.758821, ' The': -6.7750983, ' yes': -8.490678}
{' Yes': -0.04873783, ' No': -3.1126091, 'Yes': -6.4490633, '\n': -7.4155607, ' The': -7.874528}
{' Yes': -0.0027438672, 'Yes': -6.1567388, ' Bleach': -7.77784, ' yes': -9.366688, ' The': -10.391456}
{' Yes': -0.0043123546, 'Yes': -6.2280726, ' No': -6.280025, ' yes': -8.539429, '\n': -9.276732}
{' Yes': -0.0024945422, 'Yes': -6.4818907, ' No': -7.1853514, ' yes': -9.536004, ' The': -10.066157}
{' Yes': -0.0007164204, 'Yes': -7.507672, ' yes': -9.173359, ' YES': -10.483897, ' ': -11.310911}
{' Yes': -0.10962972, ' No': -2.283332, 'Yes': -6.5567923, 'No': -8.656989, ' The': -9.599925}
{' Yes': -0.027861679, ' No': -3.6782675, 'Yes': -6.631924, ' The': -7.4690905, ' yes': -9.111452}
{' Yes': -0.0074495715, ' No': -5.145128, 'Yes': -6.637212, ' The': -8.842561, ' yes': -9.575295}
{' Yes': -0.07804002, ' No': -2.6381538, 'Yes': -6.1617627, ' Indian': -7.552724, 'No': -8.128508}
{' Yes': -0.0014744662, 'Yes': -7.104833, ' No': -7.486116, ' ': -10.271223, ' yes': -10.445255}
{' Yes': -0.009515852, ' No': -4.883803, 'Yes': -6.559934, '\n': -8.804045, ' ': -8.873255}
{' Yes': -0.03785237, ' No': -3.484664, 'Yes': -5.521001, ' Hungry': -6.292512, 'No': -8.248836}
{' Yes': -0.001263237, 'Yes': -7.1398892, ' yes': -8.979676, ' No': -9.028826, '\n': -9.353182}
{' No': -0.005872156, ' Yes': -5.8344874, 'No': -5.9267497, ' ': -9.217153, ' The': -9.471591}
{' No': -0.45527476, ' Yes': -1.0158654, 'No': -6.364382, 'Yes': -7.3871493, ' The': -7.6974254}
{' Yes': -0.005689846, ' No': -5.472317, 'Yes': -6.854307, ' The': -8.900345, ' yes': -9.240917}
{' Yes': -0.08354178, ' No': -2.5479488, 'Yes': -6.9951243, ' The': -8.0304575, ' ': -8.263278}
{' Yes': -0.002021701, 'Yes': -6.2582297, ' yes': -9.877215, ' ': -10.724054, ' YES': -11.164119}
{' Yes': -0.0018193722, 'Yes': -6.4258556, ' yes': -9.0505495, ' ': -10.333085, ' YES': -10.993712}
{' Yes': -0.014115396, ' No': -4.4723177, 'Yes': -6.3339014, ' The': -7.684842, ' yes': -8.857578}
{' Yes': -0.005285598, 'Yes': -5.9790025, ' No': -6.2788672, ' yes': -8.07652, ' The': -8.206106}
{' Yes': -0.0013030451, 'Yes': -6.773884, ' yes': -9.919178, ' ': -10.273428, ' No': -10.317005}
{' Yes': -0.0017118911, 'Yes': -6.5984807, ' The': -9.158716, ' yes': -9.3662195, '\n': -9.83421}
{' Yes': -0.0020531185, 'Yes': -6.5618553, ' No': -7.7848496, ' ': -9.251048, ' yes': -9.760892}
{' Yes': -0.010791106, ' No': -4.7859755, 'Yes': -6.1390996, ' yes': -9.870248, ' The': -9.935655}
{' No': -0.0020142377, 'No': -6.301832, ' Yes': -9.359512, ' ': -10.060442, ' The': -10.906736}
{' No': -0.08546613, ' Yes': -2.5195081, 'No': -6.9068127, ' The': -9.100644, ' ': -9.165146}
{' Yes': -0.0013140846, 'Yes': -6.698108, ' yes': -10.266108, ' ': -10.96077, '\n': -11.564042}
{' Yes': -0.0010678634, 'Yes': -7.006362, ' yes': -9.793914, ' ': -10.128318, '\n': -10.3025465}
{' Yes': -0.003763028, 'Yes': -6.112117, ' No': -6.6812224, ' yes': -9.189712, ' The': -9.319744}
{' Yes': -0.004102617, 'Yes': -5.985775, ' No': -6.553375, ' yes': -9.589789, ' ': -10.6868305}
{' No': -0.2200653, ' Yes': -1.6643497, 'No': -5.066569, 'Yes': -6.6318007, ' ': -8.458596}
{' Yes': -0.09518902, ' No': -2.483075, ' Ending': -5.5026197, 'Yes': -6.382327, ' The': -7.2271504}
{' Yes': -0.0011107035, 'Yes': -6.946715, ' The': -9.932539, ' yes': -10.208955, ' ': -10.817396}
{' Yes': -0.0017428225, 'Yes': -6.9071226, ' Energy': -7.5667334, ' No': -9.619309, ' ': -10.0079775}
{' Yes': -0.010898659, ' No': -4.9148006, 'Yes': -5.8857665, ' Father': -8.406126, ' yes': -8.608757}
{' Yes': -0.0011594589, 'Yes': -7.065885, ' No': -8.770029, ' yes': -9.302135, ' ': -10.906422}
{' Yes': -0.010297706, ' No': -4.7508316, 'Yes': -6.9233894, ' The': -8.353099, ' Pen': -8.867823}
{' No': -0.04104986, ' Yes': -3.2992322, 'No': -5.9817486, ' Nope': -8.754106, ' Absolutely': -8.8106}
{' Yes': -0.0014814486, 'Yes': -6.675172, ' yes': -9.209359, ' The': -9.979054, ' ': -10.532144}
{' Yes': -0.23468608, ' No': -1.6427442, 'Yes': -4.81752, 'No': -5.9370594, '\n': -6.039427}
{' Yes': -0.0017594816, 'Yes': -6.374674, '\n': -10.8282385, ' yes': -10.979025, ' YES': -11.743984}
{' Yes': -0.0004906167, 'Yes': -7.6834526, ' yes': -10.873798, ' YES': -12.565731, ' The': -12.681558}
{' Yes': -0.003667425, ' No': -6.144349, 'Yes': -6.6746917, ' The': -8.718165, ' yes': -10.046012}
{' Yes': -0.0034904191, ' Seller': -6.4725075, 'Yes': -6.6546173, ' yes': -8.33609, ' No': -8.459984}
{' Yes': -0.012711418, ' Bl': -5.191428, ' No': -5.4044847, 'Yes': -6.1215405, ' yes': -8.851301}
{' Yes': -0.0026521855, ' No': -6.647826, 'Yes': -6.8435426, ' yes': -8.511308, ' The': -10.512731}
{' Yes': -0.0036612025, ' No': -6.0392804, 'Yes': -6.9359517, ' The': -8.879188, ' yes': -9.453156}
{' Yes': -0.0017188184, 'Yes': -6.717043, ' No': -8.204641, ' ': -9.614376, ' B': -9.762434}
{' Yes': -0.0013251869, 'Yes': -6.6937284, ' No': -10.302394, ' yes': -10.631547, ' The': -11.303254}
{' Yes': -0.0021049029, 'Yes': -6.705392, ' No': -7.6604986, ' The': -8.198461, ' yes': -9.435311}
{' Yes': -0.0017023413, 'Yes': -6.489363, ' The': -9.598773, ' yes': -9.96544, '\n': -10.477604}
{' Yes': -0.0013905423, 'Yes': -6.6580367, ' yes': -9.716373, ' YES': -11.005661, ' The': -11.85954}
{' Yes': -0.0009639266, 'Yes': -7.0113244, ' yes': -10.647234, ' The': -11.214084, ' ': -11.560962}
{' Yes': -0.003092858, 'Yes': -6.21831, ' No': -7.536217, '\n': -8.313997, ' ': -8.442462}
{' Yes': -0.115568444, ' No': -2.2432387, 'Yes': -6.531546, ' The': -6.829371, 'No': -8.523653}
{' No': -0.4331635, ' Yes': -1.0623864, 'No': -6.0370035, 'Yes': -6.814828, ' The': -6.9004426}
{' Yes': -0.017229827, ' No': -4.265143, 'Yes': -6.251997, ' The': -7.207844, ' yes': -8.974056}
{' Yes': -0.0081755845, 'Yes': -5.182074, ' No': -6.7480145, ' The': -7.897796, ' yes': -7.9777985}
{' Yes': -0.0017447337, 'Yes': -6.5532546, ' yes': -8.70007, ' The': -9.389319, ' ': -10.4432955}
{' Yes': -0.003823936, 'Yes': -6.6217704, ' Doctor': -6.636792, ' No': -7.0728083, ' yes': -8.616111}
{' Yes': -0.0049302685, ' No': -5.600805, 'Yes': -6.7871814, ' yes': -10.252848, ' The': -10.508899}
{' Yes': -0.0018436166, 'Yes': -6.515693, ' No': -8.319987, ' yes': -9.668651, ' The': -10.693044}
{' Yes': -0.071211256, ' No': -2.6973174, 'Yes': -7.002306, '\n': -8.993017, ' ': -9.221237}
{' No': -0.5822749, ' Yes': -0.8297115, 'No': -6.058728, 'Yes': -6.4007235, ' The': -7.324556}
{' Yes': -0.09020815, ' No': -2.499752, 'Yes': -6.4273505, ' The': -6.8486743, ' Bucket': -7.2571297}
{' Yes': -0.0029392685, 'Yes': -6.5608134, ' No': -6.9215007, ' yes': -8.533399, ' The': -9.070653}
{' Yes': -0.004791431, 'Yes': -5.461693, ' The': -8.2133465, ' yes': -9.171085, ' States': -9.894596}
{' Yes': -0.006262183, 'Yes': -5.7984643, ' No': -5.900761, ' yes': -8.680489, ' The': -8.741766}
{' Yes': -0.0011132115, 'Yes': -6.902959, ' No': -9.91594, ' yes': -10.683995, ' ': -10.90635}
{' Yes': -0.0021120096, 'Yes': -6.3625607, ' No': -8.152076, ' yes': -10.27959, ' The': -10.544909}
{' No': -0.006933813, 'No': -6.0992703, ' Yes': -6.1115284, ' In': -6.404459, ' Not': -8.8199415}
{' Yes': -0.03753287, ' No': -3.410612, 'Yes': -6.2054534, ' The': -6.7305775, ' yes': -8.212463}
{' Yes': -0.005578053, 'Yes': -5.876351, ' Loving': -6.800534, '\n': -7.5755086, ' No': -7.585084}
{' Yes': -0.010152101, ' No': -4.859147, 'Yes': -6.5106645, ' The': -7.6729093, ' yes': -9.047307}
{' Yes': -0.17005609, ' No': -1.8706195, 'Yes': -6.7671323, ' ': -8.050722, ' The': -8.123289}
{' Yes': -0.011465788, ' No': -4.576514, 'Yes': -7.1850424, ' The': -9.102143, ' yes': -9.106349}
{' Yes': -0.0034606932, 'Yes': -6.001429, ' ': -7.838671, ' Butter': -8.520575, ' No': -8.662889}
{' Yes': -0.0019663977, 'Yes': -6.268724, ' yes': -10.018516, ' ': -11.973233, ' YES': -11.980219}
{' Yes': -0.03015495, ' No': -3.547193, 'Yes': -7.238979, ' ': -9.752576, ' yes': -10.083735}
{' Yes': -0.0026750164, ' No': -6.4815807, 'Yes': -7.025894, ' The': -9.264785, ' ': -9.600565}
{' Yes': -0.07537823, ' No': -2.6579034, ' The': -6.671064, 'Yes': -6.9019084, 'No': -9.509809}
{' No': -0.23424096, ' Yes': -1.5832762, ' The': -6.3666773, 'No': -6.738454, 'Yes': -7.921937}
{' Yes': -0.0119408835, ' She': -5.119799, 'Yes': -5.7422338, ' No': -6.1312776, ' The': -8.831538}
{' Yes': -0.0040069222, 'Yes': -5.790666, ' No': -7.763543, ' The': -8.384164, ' yes': -9.003978}
{' Yes': -0.0041308687, ' No': -6.225436, 'Yes': -6.282916, ' The': -9.255005, ' yes': -9.32854}
{' Yes': -0.004040017, ' No': -6.3029404, 'Yes': -6.4272437, ' The': -7.758936, ' yes': -9.320293}
{' Yes': -0.010302042, ' No': -4.709301, 'Yes': -6.815048, ' yes': -10.321453, ' ': -10.340248}
{' Yes': -0.0018961069, 'Yes': -6.796272, ' No': -7.3162766, ' yes': -10.061075, ' The': -10.544918}
{' Yes': -0.06742109, ' No': -2.761448, ' The': -7.0637875, 'Yes': -7.08123, ' ': -9.281339}
{' Yes': -0.008943454, ' No': -5.0726867, ' Minute': -6.500581, 'Yes': -7.1030345, ' ': -8.8369665}
{' Yes': -0.004151397, ' No': -6.195115, 'Yes': -6.2635503, ' Car': -9.348586, ' yes': -10.499869}
{' Yes': -0.0026102336, 'Yes': -6.393925, ' No': -7.203158, ' The': -9.522009, ' ': -10.203836}
{' Yes': -0.0015253869, 'Yes': -7.3181047, ' No': -7.814233, ' yes': -8.269877, ' The': -8.701785}
{' Yes': -0.0022431305, 'Yes': -6.510059, ' No': -8.1157055, ' The': -8.139049, ' yes': -9.173996}
{' Yes': -0.005886003, ' No': -5.4166203, 'Yes': -6.8679442, ' The': -8.344777, ' yes': -9.834177}
{' No': -0.27075633, ' Yes': -1.4795442, 'No': -5.4047227, ' Flight': -6.6981907, 'Yes': -7.1138215}
{' No': -0.16514464, ' Yes': -1.8917814, 'No': -7.343525, ' The': -7.813265, 'Yes': -8.593365}
{' Yes': -0.37550104, ' No': -1.219539, ' Length': -4.199628, 'Yes': -6.780953, 'No': -7.583651}
{' Yes': -0.00075202715, 'Yes': -7.316421, ' yes': -10.0299835, ' The': -10.534792, '\n': -11.892331}
{' Yes': -0.0012652673, 'Yes': -6.754189, ' yes': -10.169051, ' The': -10.45271, '\n': -11.291557}
{' Yes': -0.0019656797, 'Yes': -6.341763, ' yes': -9.277047, ' France': -9.837814, ' ': -10.994718}
{' Yes': -0.000752505, 'Yes': -7.3050814, ' yes': -10.139235, '\n': -11.209785, ' ': -11.270686}
{' Yes': -0.0010565255, 'Yes': -7.240885, ' No': -8.859056, ' yes': -9.207433, ' The': -9.800735}
{' Yes': -0.0019699815, 'Yes': -6.5572352, ' yes': -8.741499, ' No': -8.771943, ' Muscle': -9.432864}
{' Yes': -0.0021265268, 'Yes': -6.9419227, ' The': -7.7496567, ' No': -7.869211, ' Empire': -8.796936}
{' Yes': -0.023742413, ' Empire': -3.8403907, 'Yes': -6.4534492, ' No': -9.246482, ' The': -9.26781}
{' Yes': -0.0015265809, 'Yes': -7.1230054, ' No': -7.5158486, ' yes': -9.604223, ' The': -9.769805}
{' No': -0.005798532, 'No': -5.794391, ' Yes': -5.9762673, '\n': -9.272198, ' ': -9.720227}
{' Yes': -0.0040813736, ' No': -5.9003596, 'Yes': -6.788135, ' The': -9.580673, ' ': -9.957795}
{' Yes': -0.004859293, ' No': -5.519994, 'Yes': -7.209113, ' yes': -10.092439, ' The': -10.661786}
{' Yes': -0.001274696, 'Yes': -6.7980866, ' yes': -9.930944, ' ': -10.391375, ' No': -10.472761}
{' Yes': -0.40610307, '\n': -1.2344341, ' No': -3.5380685, ' ': -5.0420346, 'Yes': -5.8883824}
{' Yes': -0.0025105556, 'Yes': -6.6589336, ' No': -7.1197257, ' The': -8.60794, ' yes': -8.906269}
{' Yes': -0.0032835472, ' No': -6.316252, 'Yes': -6.717902, ' yes': -8.999564, ' The': -9.38598}
{' Yes': -0.13789217, ' No': -2.0668375, 'Yes': -6.814654, ' The': -7.406208, 'No': -8.48867}
{' Yes': -0.0026336594, ' No': -6.7151904, 'Yes': -6.806953, ' The': -8.947755, ' yes': -9.212182}
{' Yes': -0.0018177005, 'Yes': -6.603509, ' The': -8.815448, ' No': -8.8497715, ' yes': -9.193904}
{' Yes': -0.0014686156, 'Yes': -6.7567835, ' yes': -9.37375, ' No': -9.406777, ' The': -9.490035}
{' Yes': -0.0017955465, 'Yes': -6.999118, ' No': -7.8393116, ' The': -7.9273725, ' yes': -9.712623}
{' Yes': -0.0016059786, 'Yes': -6.5787444, ' ': -9.653185, ' yes': -9.886649, ' The': -10.008448}
{' Yes': -0.0043954505, ' No': -5.7660875, 'Yes': -6.9413934, ' The': -9.450701, ' ': -9.679499}
{' Yes': -0.030393321, ' No': -4.020128, 'Yes': -5.231954, '\n': -5.362802, ' ': -7.210489}
{' Yes': -0.15852663, ' No': -1.9398282, 'Yes': -6.8060293, ' The': -7.128766, ' ': -8.11378}
{' Yes': -0.018571122, ' No': -4.1131697, 'Yes': -6.8072443, ' The': -7.3617716, ' yes': -8.950024}
{' No': -0.410293, ' T': -1.6794904, ' Yes': -2.023267, 'No': -5.293785, ' tissue': -6.1108313}
{' Yes': -0.09396888, ' No': -2.4398875, 'Yes': -6.365653, ' The': -8.13466, ' yes': -8.728747}
{' Yes': -0.0029220548, ' No': -6.660789, 'Yes': -6.7178097, ' The': -8.767042, ' yes': -9.093996}
{' Yes': -0.04381844, ' No': -3.19682, 'Yes': -6.531197, ' The': -8.908419, ' ': -8.955132}
{' Yes': -0.32496104, ' No': -1.2966886, 'Yes': -5.8355737, 'No': -7.520573, ' The': -8.436384}
{' Yes': -0.19995601, ' No': -1.7249976, 'Yes': -5.997359, 'No': -8.014804, ' The': -9.077762}
{' Yes': -0.022317993, ' No': -4.0627155, 'Yes': -5.9545474, ' The': -6.4836597, ' yes': -7.8381405}
{' Yes': -0.4100503, ' No': -1.1217203, ' Sne': -5.1528234, 'Yes': -5.9882765, ' The': -7.375805}
{' No': -0.36007398, ' Yes': -1.2201204, 'No': -5.437665, 'Yes': -6.4201937, ' ': -7.763837}
{' Yes': -0.0020309, 'Yes': -6.335962, ' yes': -9.485412, '\n': -9.511664, ' The': -10.092523}
{' Yes': -0.00091410964, 'Yes': -7.133681, ' No': -10.037405, ' yes': -10.703112, ' ': -10.876204}
{' Yes': -0.0015015679, 'Yes': -6.8326206, ' No': -8.421955, ' Purple': -9.18535, ' yes': -10.070272}
{' Yes': -0.0016551132, 'Yes': -6.5740075, ' yes': -9.136018, ' The': -9.467383, ' ': -10.580536}
{' Yes': -0.0037080457, 'Yes': -5.93271, ' No': -7.592544, ' The': -8.355307, ' yes': -8.513811}
{' Yes': -0.0020632711, 'Yes': -6.4937735, ' The': -8.247699, ' No': -9.284087, ' yes': -9.350453}
{' Yes': -0.0033042363, 'Yes': -6.284844, ' No': -6.7945843, ' yes': -8.8463955, ' The': -9.198247}
