{' Up': -0.1780345, ' up': -1.8195369, ' UP': -7.5168424, 'Up': -8.332804, 'up': -9.8074875}
{' Up': -0.09244619, ' up': -2.5449035, ' Down': -5.092297, ' down': -6.760182, 'Up': -6.861206}
{' Down': -0.2418425, ' down': -1.5667324, 'Down': -5.805294, 'down': -5.957737, ' DOWN': -8.482586}
{' Down': -0.21848212, ' down': -1.6885023, ' Up': -5.4975324, 'Down': -5.577164, 'down': -6.266461}
{' Down': -0.10273657, ' down': -2.421483, 'Down': -5.5318174, ' Up': -6.022269, 'down': -6.3987417}
{' Up': -0.05444382, ' up': -3.0390892, ' Down': -6.235161, 'Up': -6.6778717, ' UP': -7.400852}
{' Down': -0.39725637, ' down': -1.1430241, 'down': -5.41736, 'Down': -5.5592966, ' ': -8.273821}
{' down': -0.71269166, ' Down': -0.813291, ' Up': -3.128053, ' up': -4.1547213, 'down': -6.0791597}
{' Down': -0.38951164, ' down': -1.230372, ' Up': -3.9544928, ' up': -5.4146276, 'Down': -5.708887}
{' Up': -0.29302102, ' up': -1.3856913, 'Up': -6.512925, 'up': -6.766717, ' UP': -7.432902}
{' down': -0.53512, ' Down': -0.9039555, 'down': -5.1282063, 'Down': -5.82422, ' ': -8.294267}
{' Down': -0.29555008, ' down': -1.4467607, ' Up': -4.767485, 'Down': -5.307715, 'down': -5.8476524}
{' Down': -0.17707977, ' down': -1.8901877, 'Down': -5.1448455, 'down': -5.741416, ' Up': -7.1626997}
{' Up': -0.065066256, ' up': -2.902936, 'Up': -5.922154, ' Down': -6.154398, 'up': -6.7594857}
{' Down': -0.42893028, ' down': -1.0977268, 'down': -4.8439026, 'Down': -5.065662, ' ': -7.8815904}
{' Down': -0.69141454, ' Up': -0.8427741, ' down': -2.971583, ' up': -4.3487344, ' ': -6.738424}
{' Down': -0.07577885, ' down': -2.6815012, 'Down': -6.2346644, 'down': -6.825645, ' Up': -6.9168906}
{' Up': -0.020053105, ' up': -4.003047, 'Up': -7.1352305, ' UP': -7.9505563, 'up': -8.343803}
{' Down': -0.14826854, ' down': -2.018859, 'Down': -6.029227, 'down': -6.1114817, ' ': -8.908436}
{' Down': -0.6419926, ' down': -0.8375969, 'Down': -3.9320886, 'down': -4.0419235, ' ': -6.2048006}
{' Up': -0.39515787, ' up': -1.8549702, ' Down': -2.3337963, ' down': -3.181506, 'Up': -4.4915094}
{' Up': -0.43705732, ' up': -1.1787604, 'Up': -4.1245418, 'up': -4.266039, ' Down': -5.161102}
{' down': -0.7494523, ' Down': -0.7683294, 'down': -3.3161407, 'Down': -3.6773527, ' ': -6.618196}
{' Up': -0.21268293, ' up': -1.8094484, ' Down': -4.108284, ' down': -4.6143646, 'up': -7.946144}
{' down': -0.6150532, ' Down': -0.78287315, 'down': -6.594501, 'Down': -7.192995, ' ': -9.552731}
{' down': -0.5358838, ' Down': -1.4685601, ' Up': -2.3132865, ' up': -2.5095873, 'down': -6.4518976}
{' Down': -0.5376644, ' down': -0.8829174, 'down': -6.5329757, 'Down': -7.32599, '\n': -9.358088}
{' Up': -0.087370716, ' Down': -2.7740731, ' up': -4.0973268, ' down': -5.729771, 'Up': -7.496121}
{' Down': -0.14853016, ' down': -2.0016813, 'Down': -6.306046, 'down': -7.0032353, ' ': -9.500657}
{' Down': -0.41635653, ' down': -1.3010898, ' Up': -2.8863785, ' up': -4.9304385, 'Down': -6.1990542}
{' Down': -0.15026869, ' down': -1.9967614, 'Down': -6.2422953, 'down': -6.745205, ' Up': -8.102519}
{' Up': -0.2637251, ' Down': -1.534679, ' down': -4.938638, ' up': -4.9813075, 'Down': -7.457179}
{' Down': -0.08682941, ' down': -2.5279152, 'Down': -6.055838, 'down': -7.1894255, ' DOWN': -9.039733}
{' Down': -0.19360729, ' down': -1.8553964, ' Up': -4.260927, 'Down': -5.9486156, 'down': -6.761173}
{' Down': -0.09081909, ' down': -2.5181434, ' Up': -5.9194565, 'Down': -6.1557484, 'down': -7.0704503}
{' Up': -0.22282879, ' up': -2.412736, ' Down': -2.5336256, ' down': -3.6338186, '\n': -6.7276087}
{' Down': -0.38946238, ' down': -1.1444178, 'Down': -6.128207, 'down': -6.4244375, ' ': -8.778097}
{' down': -0.47510102, ' Down': -1.0839115, ' Up': -3.8692582, ' up': -4.3835635, 'down': -5.8849974}
{' Down': -0.6070899, ' down': -0.7982081, 'down': -5.905491, 'Down': -6.354015, ' ': -8.942097}
{' Up': -0.24893628, ' Down': -1.6322274, ' down': -4.510512, ' up': -4.631882, ' ': -6.7836437}
{' Down': -0.16017, ' down': -1.9525226, 'Down': -5.4987874, 'down': -6.488095, ' ': -8.458008}
{' Down': -0.25999022, ' down': -1.5378051, ' Up': -5.110015, 'Down': -5.565449, 'down': -6.0590487}
{' Down': -0.17075998, ' down': -1.9035461, 'Down': -5.503649, 'down': -5.93796, ' Up': -7.659001}
{' Up': -0.07899145, ' Down': -2.808411, ' up': -4.4607677, ' down': -5.9074006, 'Up': -7.7741284}
{' Down': -0.08692504, ' down': -2.519607, 'Down': -6.408069, 'down': -6.9666758, ' ': -9.498166}
{' Down': -0.14217508, ' down': -2.2388053, ' Up': -3.8430645, 'Down': -6.444413, 'down': -6.8347}
{' Down': -0.07225382, ' down': -2.7035842, 'Down': -6.4767065, 'down': -6.9799924, ' DOWN': -9.239016}
{' down': -1.229801, ' Up': -1.4481238, ' up': -1.5066376, ' Down': -1.5886459, 'down': -4.236469}
{' down': -0.28045508, ' Down': -1.639933, 'down': -3.389128, 'Down': -4.362515, ' ': -5.9414883}
{' up': -0.6450067, ' Up': -1.0346856, ' down': -2.6607442, ' Down': -3.840418, 'Up': -4.7197094}
{' down': -0.4856809, ' Down': -1.1136259, 'down': -3.2559347, 'Down': -4.2267294, ' ': -6.409411}
{' down': -0.5916126, ' Down': -0.81073064, 'down': -7.092668, 'Down': -7.178761, ' DOWN': -8.693902}
{' Up': -0.14854068, ' up': -1.9900706, ' UP': -7.258285, 'Up': -7.8891253, '\n': -9.172025}
{' down': -0.4645475, ' Down': -0.9996007, 'down': -6.3869963, 'Down': -7.167333, ' DOWN': -7.7375517}
{' Up': -0.6658303, ' up': -0.7276666, ' UP': -6.576938, 'Up': -7.375945, '\n': -7.542569}
{' down': -0.45969856, ' Down': -1.0217752, 'down': -5.2151175, 'Down': -6.0114574, '\n': -8.358804}
{' Up': -0.15539682, ' up': -1.9582818, 'Up': -6.590383, 'up': -7.3906775, ' UP': -7.876885}
{' down': -0.653053, ' Down': -0.7552221, 'down': -5.2071433, 'Down': -5.7825675, '\n': -7.795962}
{' Up': -0.40326017, ' up': -1.1173563, 'Up': -6.343283, 'up': -6.8293786, ' UP': -7.0296845}
{' Down': -0.65033686, ' down': -0.75091714, 'down': -5.762086, 'Down': -6.029725, ' ': -8.141088}
{' Up': -0.084706046, ' up': -2.5464675, 'Up': -6.6689, ' UP': -6.9392037, 'up': -8.187914}
{' Down': -0.62451726, ' down': -0.78273, 'down': -5.663083, 'Down': -5.92522, ' DOWN': -7.3589053}
{' Up': -0.43403676, ' up': -1.0583539, ' UP': -6.1768937, 'Up': -6.4546223, 'up': -7.3709674}
{' down': -0.29581442, ' Down': -1.3930166, 'down': -5.517345, 'Down': -6.086587, '\n': -7.1246195}
{' Up': -0.27631786, ' up': -1.4442292, 'Up': -6.1166954, '\n': -6.854902, ' UP': -6.9006763}
{' down': -0.44463268, ' Down': -1.0550586, 'down': -5.168643, 'Down': -5.7008047, '\n': -7.0457354}
{' up': -0.66073054, ' Up': -0.7435, 'Up': -6.011774, '\n': -6.265663, ' UP': -6.4510183}
{' down': -0.56019896, ' Down': -0.8647414, 'down': -5.468667, 'Down': -5.812171, ' ': -8.155803}
{' Up': -0.090726346, ' up': -2.4932644, 'Up': -6.10308, ' UP': -6.8517256, 'up': -7.770444}
{' Down': -0.69943994, ' down': -0.7061424, 'down': -5.274503, 'Down': -5.6203227, ' DOWN': -7.7690854}
{' Up': -0.3518877, ' up': -1.2344923, 'Up': -6.0275126, ' UP': -6.31634, 'up': -7.20822}
{' Down': -0.46234474, ' down': -1.0064236, 'down': -5.9685163, 'Down': -6.5087695, ' ': -8.2602825}
{' Up': -0.06881322, ' up': -2.7392137, 'Up': -7.141218, ' UP': -7.542379, 'up': -8.209098}
{' Down': -0.4823268, ' down': -0.994717, 'down': -5.5144544, ' Up': -5.715843, 'Down': -6.0998673}
{' Up': -0.34805414, ' up': -1.2384388, ' UP': -6.3760686, 'Up': -6.857207, 'up': -7.318532}
{' down': -0.22569129, ' Down': -2.1049943, 'down': -2.6968884, 'Down': -4.503632, ' ': -6.8191833}
{' up': -0.71003205, ' Up': -0.78285843, 'up': -3.5543065, 'Up': -4.052485, ' ': -5.9755006}
{' down': -0.24333474, ' Down': -2.0885532, 'down': -2.5438051, 'Down': -4.4412236, ' ': -7.096893}
{' up': -0.4926207, ' Up': -1.0915949, 'up': -3.638161, 'Up': -3.8309004, ' UP': -6.102445}
{' Up': -0.29209918, ' up': -1.6238651, ' Down': -3.4782732, ' down': -3.750862, ' UP': -7.901786}
{' Down': -0.32596135, ' down': -1.2882378, 'down': -6.8647394, 'Down': -6.9849234, ' Up': -8.96211}
{' Up': -0.2744016, ' up': -1.4327229, 'Up': -7.8573804, 'up': -7.9771924, ' UP': -8.000782}
{' Down': -0.429771, ' down': -1.0591311, 'down': -6.618271, 'Down': -6.906366, ' DOWN': -9.474945}
{' Down': -0.18246047, ' down': -1.8328663, 'Down': -5.9329576, ' Up': -6.322789, 'down': -6.4593077}
{' Down': -0.1881295, ' Up': -2.3445225, ' down': -2.707689, ' up': -5.480303, 'Down': -5.971929}
{' Up': -0.1710919, ' Down': -2.5737407, ' up': -2.717097, ' down': -4.432458, 'Up': -6.978352}
{' Down': -0.27451798, ' down': -1.4563437, 'Down': -5.7343187, 'down': -5.741046, ' DOWN': -8.478602}
{' Down': -0.22342482, ' down': -1.6435736, 'Down': -5.658991, 'down': -6.236381, ' Up': -7.4430532}
{' Down': -0.16753191, ' Up': -2.5156343, ' down': -2.732906, 'Down': -5.729603, ' up': -5.958519}
{' Up': -0.53110534, ' Down': -1.2050439, ' down': -2.8103848, ' up': -3.0783958, 'Down': -6.598634}
{' Down': -0.3409867, ' down': -1.2693162, 'Down': -5.635008, 'down': -5.661234, ' DOWN': -8.160333}
{' down': -0.6838482, ' Down': -0.7245013, 'Down': -5.7415085, 'down': -5.818238, ' Up': -5.9966793}
{' Down': -0.57053185, ' down': -1.5803393, ' Up': -1.6656283, ' up': -3.4368591, 'Down': -5.7922916}
{' Up': -0.2855068, ' up': -1.4093167, 'Up': -6.377048, 'up': -6.7327833, ' UP': -7.513179}
{' down': -0.49319488, ' Down': -0.96934724, 'down': -5.066818, 'Down': -5.7709355, ' ': -8.1905}
{' Down': -0.24120906, ' down': -1.6700535, ' Up': -4.2232647, 'Down': -5.380728, 'down': -6.0418453}
{' Down': -0.12709546, ' down': -2.2180052, 'Down': -5.1953764, 'down': -6.0100427, ' Up': -6.571526}
{' Up': -0.075825654, ' up': -2.7994182, ' Down': -5.18023, 'Up': -6.0266614, 'up': -6.748633}
{' Down': -0.4339008, ' down': -1.0833758, 'down': -4.950432, 'Down': -5.208618, ' ': -7.8835235}
{' Down': -0.1089136, ' down': -2.4509966, ' Up': -4.3747177, 'Down': -6.3083034, 'down': -6.8884864}
{' Down': -0.0638038, ' down': -2.9054058, ' Up': -5.6440644, 'Down': -6.2629914, 'down': -6.947224}
{' Up': -0.021667507, ' up': -3.9253445, 'Up': -7.17699, ' UP': -8.1611, 'up': -8.337967}
{' Down': -0.14351636, ' down': -2.0551412, 'Down': -5.9477634, 'down': -5.964573, ' ': -8.670011}
{' Down': -0.71124023, ' down': -0.7858538, 'down': -3.5885804, 'Down': -3.7540908, ' ': -6.5407343}
{' Up': -0.20257169, ' up': -1.9426478, 'Up': -4.332596, ' Down': -4.3450546, 'up': -5.336061}
{' Up': -0.5934368, ' up': -1.169601, ' Down': -2.9044359, ' down': -3.1241755, 'up': -4.359981}
{' down': -0.68259144, ' Down': -0.82402706, 'down': -3.4033363, 'Down': -3.9192133, ' ': -6.355005}
{' Down': -0.46639284, ' down': -1.518166, ' Up': -2.0356429, ' up': -3.9241714, 'Down': -6.731554}
{' Down': -0.58560795, ' down': -0.81911695, 'down': -6.7004356, 'Down': -6.949782, '\n': -9.337065}
{' down': -0.48964092, ' Down': -0.9662683, ' Up': -6.147905, 'down': -6.398345, ' up': -6.7204866}
{' Down': -0.28545552, ' down': -1.4052522, 'down': -6.7406306, 'Down': -6.8218536, ' Up': -7.8468833}
{' Down': -0.18326758, ' Up': -2.068098, ' down': -3.357042, ' up': -5.681783, 'Down': -6.355436}
{' Down': -0.10729139, ' down': -2.3185093, 'Down': -6.089261, 'down': -7.0552278, ' ': -9.786546}
{' Down': -0.18919788, ' down': -1.8019624, 'Down': -5.905236, ' Up': -5.9406857, 'down': -6.6153626}
{' Down': -0.1102613, ' down': -2.905351, ' Up': -3.1250966, 'Down': -6.072629, ' up': -6.1309266}
{' Down': -0.11101681, ' Up': -2.617082, ' down': -3.603765, 'Down': -5.893443, ' up': -6.9568663}
{' Down': -0.075275786, ' down': -2.677155, 'Down': -5.865368, 'down': -7.331154, ' DOWN': -9.172478}
{' Down': -0.13931921, ' down': -2.076554, 'Down': -5.74267, 'down': -6.7818394, ' DOWN': -8.925169}
{' Up': -0.16670936, ' Down': -2.0941536, ' up': -3.9444783, ' down': -4.717885, 'Up': -7.335025}
{' Down': -0.2405672, ' down': -1.5964402, ' Up': -5.3022585, 'Down': -5.7988462, 'down': -6.62806}
{' Down': -0.34405047, ' down': -1.2518377, 'Down': -5.8726206, 'down': -6.573277, ' Up': -7.95019}
{' down': -0.67874354, ' Down': -0.72559756, 'down': -5.6915517, 'Down': -5.852291, ' Up': -6.728788}
{' Down': -0.79599416, ' Up': -1.2169557, ' down': -1.74247, ' up': -2.644871, 'Down': -6.2566075}
{' Down': -0.14878556, ' down': -2.457692, ' Up': -3.1202574, 'Down': -5.4294896, 'down': -6.4780073}
{' Down': -0.15705186, ' down': -1.9709233, 'Down': -5.4882913, 'down': -6.488295, ' DOWN': -8.871797}
{' Down': -0.20189859, ' down': -1.7420958, 'Down': -5.336916, 'down': -6.1107235, ' ': -8.365971}
{' Down': -0.2580555, ' Up': -1.8215835, ' down': -2.93348, ' up': -5.248719, 'Down': -5.476254}
{' Down': -0.35243303, ' Up': -1.3468922, ' down': -3.568507, ' up': -5.1982775, 'Down': -6.504737}
{' Down': -0.07462135, ' down': -2.6737194, 'Down': -6.311577, 'down': -6.966894, ' ': -9.681805}
{' Down': -0.1427603, ' down': -2.0544882, 'Down': -6.400218, ' Up': -6.5635977, 'down': -6.6015325}
{' Down': -0.056053277, ' down': -2.9847128, 'Down': -6.3284206, 'down': -6.9375033, ' Up': -7.124269}
{' Down': -0.6600277, ' down': -0.873481, 'Down': -3.8556147, 'down': -4.013255, ' Up': -4.2158556}
{' down': -0.79470515, ' Down': -1.0310638, ' Up': -2.3802974, ' up': -2.9129531, 'Down': -3.9750352}
{' down': -0.81635773, ' Down': -1.5130149, ' Up': -1.9083797, ' up': -1.9752092, 'down': -3.730008}
{' down': -0.9844826, ' Down': -1.0051162, ' Up': -2.0714252, ' up': -2.3990085, 'down': -3.9649148}
{' down': -0.44224325, ' Down': -1.0369488, 'down': -6.7907953, 'Down': -7.313159, '\n': -8.131303}
{' Up': -0.25498265, ' up': -1.4991766, 'Up': -7.6352787, ' UP': -7.752465, '\n': -7.9392433}
{' down': -0.34588572, ' Down': -1.2457957, 'down': -6.070184, 'Down': -7.092103, '\n': -7.37432}
{' Up': -0.67728955, ' up': -0.7172562, ' UP': -6.639558, '\n': -6.9594817, 'Up': -7.104858}
{' down': -0.50698924, ' Down': -0.945502, 'down': -5.219027, 'Down': -5.8680553, '\n': -8.14383}
{' Up': -0.19383894, ' up': -1.7576396, 'Up': -6.3994694, 'up': -6.9835496, '\n': -7.8732686}
{' down': -0.5500354, ' Down': -0.88587755, 'down': -5.0714264, 'Down': -5.7598643, '\n': -7.5900884}
{' Up': -0.44340283, ' up': -1.0430313, 'Up': -6.058173, 'up': -6.57337, '\n': -7.1043377}
{' down': -0.6084219, ' Down': -0.80139226, 'down': -5.5108647, 'Down': -6.0671983, ' ': -7.966861}
{' Up': -0.12018654, ' up': -2.2068563, 'Up': -6.5826726, ' UP': -7.0566773, 'up': -7.7462907}
{' down': -0.572768, ' Down': -0.84961385, 'down': -5.389916, 'Down': -5.956604, ' DOWN': -7.4736323}
{' Up': -0.450343, ' up': -1.0282258, ' UP': -6.3420777, 'Up': -6.420999, 'up': -7.2642264}
{' down': -0.28713477, ' Down': -1.4245934, 'down': -5.489243, 'Down': -6.031561, '\n': -6.4901624}
{' Up': -0.38179287, ' up': -1.1716737, '\n': -5.8939805, 'Up': -6.1512113, ' UP': -7.0106707}
{' down': -0.33984268, ' Down': -1.2878178, 'down': -5.026721, 'Down': -5.7806115, '\n': -6.4979897}
{' up': -0.54477406, ' Up': -0.88803184, '\n': -6.025685, 'Up': -6.056592, 'up': -6.4092174}
{' down': -0.50385785, ' Down': -0.9477951, 'down': -5.3584566, 'Down': -5.8133574, ' ': -8.210042}
{' Up': -0.09887551, ' up': -2.4059377, 'Up': -6.037976, ' UP': -7.237639, 'up': -7.568508}
{' down': -0.70060533, ' Down': -0.70741457, 'down': -5.1818295, 'Down': -5.4432755, ' DOWN': -7.8712907}
{' Up': -0.3939387, ' up': -1.139712, 'Up': -5.926136, ' UP': -6.5004807, 'up': -7.072941}
{' down': -0.6877152, ' Down': -0.7112518, 'down': -5.699563, 'Down': -6.463498, ' ': -7.5767813}
{' Up': -0.1336664, ' up': -2.0963893, 'Up': -7.0763903, 'up': -7.650378, ' UP': -7.9224596}
{' down': -0.54531056, ' Down': -0.92058897, 'down': -5.0771174, ' Up': -5.2100635, ' up': -5.419704}
{' Up': -0.5028549, ' up': -0.9412132, ' UP': -6.5058374, 'up': -6.7197776, 'Up': -6.755411}
{' down': -0.2334567, ' Down': -2.0715532, 'down': -2.6744356, 'Down': -4.469325, ' ': -6.771552}
{' up': -0.73124266, ' Up': -0.76593345, 'up': -3.5181043, 'Up': -4.011411, ' ': -5.916216}
{' down': -0.28373197, ' Down': -1.9033265, 'down': -2.504067, 'Down': -4.2262383, ' ': -7.2078915}
{' up': -0.4563549, ' Up': -1.1586217, 'up': -3.593579, 'Up': -3.8788, ' UP': -6.3118644}
{' Up': -0.4747466, ' up': -1.4818629, ' down': -2.5727768, ' Down': -2.6458817, ' ': -6.8472795}
{' Down': -0.35088164, ' down': -1.2293758, 'down': -6.5880375, 'Down': -6.7246475, ' Up': -8.070284}
{' Up': -0.25552213, ' up': -1.4956247, 'Up': -7.8512096, ' UP': -7.852453, 'up': -8.137693}
{' Down': -0.66338176, ' down': -0.7314589, 'down': -6.1811905, 'Down': -6.7465515, ' ': -8.715473}
{' Down': -0.2935099, ' down': -1.7056268, ' Up': -2.8215916, ' up': -5.1053877, 'Down': -5.8352013}
{' Down': -0.11361258, ' down': -2.418159, ' Up': -4.4157305, 'Down': -5.734071, 'down': -6.6096587}
{' Up': -0.07195934, ' up': -2.709071, 'Up': -6.660626, ' UP': -7.4383373, 'up': -7.50886}
{' Down': -0.2785291, ' down': -1.4466066, 'Down': -5.619614, 'down': -5.6343203, ' ': -8.463171}
{' Down': -0.5227583, ' Up': -1.6528965, ' down': -1.6692942, ' up': -4.2075725, ' ': -5.5675807}
{' Down': -0.12443453, ' down': -2.2168283, 'Down': -5.3448324, 'down': -6.247988, ' Up': -7.498734}
{' Up': -0.05469656, ' up': -2.995599, 'Up': -6.451396, ' UP': -7.282874, 'up': -7.5778}
{' Down': -0.4023876, ' down': -1.1400586, 'down': -5.2525406, 'Down': -5.2542744, ' ': -7.7255387}
{' down': -0.85466886, ' Down': -1.0367634, ' Up': -1.937175, ' up': -2.7280457, ' ': -5.6088142}
{' Down': -0.4595863, ' down': -1.0641223, ' Up': -4.4393687, 'Down': -5.6343184, ' up': -5.6975017}
{' Up': -0.36464125, ' up': -1.2023089, 'Up': -6.3180714, 'up': -6.4620247, ' UP': -7.4172134}
{' down': -0.5608949, ' Down': -0.8746825, 'down': -4.9210157, 'Down': -5.535001, ' ': -7.5290318}
{' Down': -0.57824385, ' Up': -1.6140448, ' down': -1.6223418, ' up': -3.8734214, ' ': -4.75837}
{' Down': -0.16291526, ' down': -1.9667236, 'Down': -5.1201124, 'down': -5.763905, ' ': -7.653251}
{' Up': -0.07805581, ' up': -2.6728566, 'Up': -5.816371, 'up': -6.6527886, ' UP': -7.347626}
{' Down': -0.43323377, ' down': -1.0946621, 'down': -4.8247, 'Down': -4.913046, ' ': -7.3160405}
{' Up': -0.2255596, ' Down': -1.8789676, ' up': -3.54513, ' down': -4.1254144, ' ': -6.6840663}
{' Down': -0.088494755, ' down': -2.5303855, 'Down': -5.885648, 'down': -6.500123, ' ': -8.462998}
{' Up': -0.018347874, ' up': -4.113326, 'Up': -6.9558477, ' UP': -7.8615503, 'up': -8.301075}
{' Down': -0.13570371, ' down': -2.1083486, 'Down': -5.8995676, 'down': -6.1051607, ' ': -8.505372}
{' Down': -0.4574581, ' down': -1.1684129, 'Down': -3.7327247, 'down': -4.3368073, ' Up': -4.607534}
{' Down': -0.4031766, ' down': -1.8222975, ' Up': -2.283086, 'Down': -3.5466206, ' up': -4.0442}
{' Up': -0.23516327, ' up': -1.7267327, 'Up': -3.975487, 'up': -4.749846, ' ': -6.125054}
{' Down': -0.61222357, ' down': -0.91184515, 'down': -3.5782497, 'Down': -3.6403167, ' ': -6.588263}
{' Up': -0.21544929, ' up': -2.1720514, ' Down': -3.0233655, ' down': -3.507369, ' ': -8.100298}
{' down': -0.6537259, ' Down': -0.73737085, 'down': -7.0655527, 'Down': -7.5158777, ' ': -9.869069}
{' Up': -1.0705092, ' down': -1.14893, ' Down': -1.7360615, ' up': -1.8324931, ' ': -6.6050625}
{' Down': -0.69246477, ' down': -0.69754785, 'down': -6.822862, 'Down': -7.5472713, '\n': -9.197221}
{' Up': -0.02888633, ' Down': -4.1753173, ' up': -4.4794974, ' down': -7.2559443, 'Up': -7.4827604}
{' Down': -0.13064265, ' down': -2.126431, 'Down': -6.196091, 'down': -6.8954353, ' ': -9.460537}
{' Down': -0.34769338, ' down': -1.9188851, ' Up': -2.0182788, ' up': -4.7385187, 'Down': -6.138087}
{' Down': -0.10343316, ' down': -2.356807, 'Down': -6.127542, 'down': -6.846284, ' DOWN': -9.273812}
{' Up': -0.09886413, ' Down': -2.5287786, ' up': -4.765679, ' down': -5.588507, 'Up': -7.287146}
{' Down': -0.08930055, ' down': -2.5162566, 'Down': -5.725374, 'down': -6.7959633, ' ': -9.046024}
{' Down': -0.5016888, ' Up': -1.3115681, ' down': -2.2256267, ' up': -4.506959, 'Down': -6.181674}
{' Down': -0.103835195, ' down': -2.3680506, 'Down': -5.7934046, 'down': -6.4848337, ' DOWN': -8.705085}
{' Up': -0.098939344, ' up': -2.719268, ' Down': -3.9147484, ' down': -5.190454, 'Up': -6.9032927}
{' Down': -0.38538715, ' down': -1.1571634, 'Down': -5.8049808, 'down': -6.153461, ' ': -8.809998}
{' down': -0.6443957, ' Down': -0.9699286, ' Up': -2.7480602, ' up': -3.731903, 'down': -5.895902}
{' Down': -0.48401886, ' down': -0.9732786, 'down': -5.8061237, 'Down': -6.0881886, ' ': -8.49586}
{' Up': -0.10776859, ' Down': -2.6636844, ' up': -3.9038882, ' down': -4.7571177, ' ': -6.779938}
{' Down': -0.20597175, ' down': -1.7184877, 'Down': -5.429366, 'down': -6.201494, ' ': -8.521956}
{' Down': -0.36533105, ' down': -1.4494661, ' Up': -2.8669903, ' up': -5.49697, 'Down': -5.5741496}
{' Down': -0.21394902, ' down': -1.688978, 'Down': -5.438804, 'down': -5.8455005, ' ': -8.265674}
{' Up': -0.076364115, ' Down': -2.809272, ' up': -4.634622, ' down': -6.15825, 'Up': -7.568902}
{' Down': -0.0855147, ' down': -2.5373788, 'Down': -6.35043, 'down': -6.9926305, ' ': -9.12833}
{' Down': -0.16060117, ' down': -2.344605, ' Up': -3.0719323, 'Down': -6.2571683, ' up': -6.384831}
{' Down': -0.077240676, ' down': -2.6443353, 'Down': -6.325653, 'down': -6.8003025, ' DOWN': -8.964384}
{' up': -0.74205184, ' Up': -1.1078889, ' down': -2.1026247, ' Down': -3.124475, 'up': -4.6387897}
{' down': -0.30613783, ' Down': -1.5086256, 'down': -3.451634, 'Down': -4.640515, ' ': -6.979117}
{' down': -0.9609554, ' up': -0.96173924, ' Up': -1.9891363, ' Down': -2.7672718, 'down': -4.2833185}
{' down': -0.3284599, ' Down': -1.4744558, 'down': -3.1714718, 'Down': -4.8488283, ' ': -7.0232534}
{' down': -0.51425934, ' Down': -0.9163991, 'down': -6.911688, 'Down': -7.167192, ' DOWN': -9.063866}
{' Up': -0.28009906, ' up': -1.4145614, ' UP': -7.4872484, 'Up': -7.7373943, 'up': -8.68031}
{' down': -0.3240753, ' Down': -1.3307949, ' up': -5.372236, ' Up': -5.5124145, 'down': -6.097587}
{' up': -0.62338024, ' Up': -0.775293, ' UP': -6.2755885, 'Up': -7.4137583, 'up': -7.915839}
{' down': -0.4323923, ' Down': -1.0708219, 'down': -5.18692, 'Down': -6.092966, ' ': -8.628911}
{' Up': -0.14661565, ' up': -2.0099406, 'Up': -6.6801887, 'up': -7.531549, ' UP': -8.093846}
{' down': -0.5802825, ' Down': -0.84378463, 'down': -5.099343, 'Down': -5.7371707, ' DOWN': -7.998097}
{' Up': -0.44175315, ' up': -1.0435026, 'Up': -6.260946, 'up': -6.627929, ' UP': -6.9762797}
{' down': -0.6746015, ' Down': -0.7247647, 'down': -5.737986, 'Down': -5.9822674, ' ': -8.42465}
{' Up': -0.07301076, ' up': -2.6876993, 'Up': -6.675509, ' UP': -7.4177423, 'up': -8.151475}
{' down': -0.56044894, ' Down': -0.8677952, 'down': -5.2269735, 'Down': -5.8567076, ' DOWN': -7.676467}
{' Up': -0.3202597, ' up': -1.3121765, ' UP': -6.279845, 'Up': -6.3792405, 'up': -7.32431}
{' down': -0.34714705, ' Down': -1.2531701, 'down': -5.542551, 'Down': -5.8940883, '\n': -7.623964}
{' Up': -0.29938275, ' up': -1.3694683, 'Up': -6.3525896, ' UP': -6.925433, '\n': -7.211341}
{' down': -0.34104764, ' Down': -1.2825093, 'down': -4.9628677, 'Down': -5.7594895, '\n': -7.5372477}
{' up': -0.5884393, ' Up': -0.82772964, 'Up': -6.140364, 'up': -6.3823786, '\n': -6.439305}
{' down': -0.6282526, ' Down': -0.78027415, 'down': -5.5088887, 'Down': -5.601181, ' ': -8.298594}
{' Up': -0.08071027, ' up': -2.6050498, 'Up': -6.1430726, ' UP': -7.2383823, 'up': -7.7502027}
{' Down': -0.54560363, ' down': -0.8947858, 'Down': -5.176226, 'down': -5.2586946, ' DOWN': -7.5398583}
{' Up': -0.32563233, ' up': -1.3033907, 'Up': -5.858986, ' UP': -6.2458878, 'up': -7.0767784}
{' Down': -0.45217404, ' down': -1.0237472, 'down': -6.0028534, 'Down': -6.4027767, ' ': -8.595734}
{' Up': -0.022549748, ' up': -3.8621397, 'Up': -7.376561, ' UP': -7.711472, 'up': -9.24335}
{' Down': -0.6971429, ' down': -1.076198, ' Up': -2.2184289, ' up': -3.132623, 'down': -5.3516817}
{' Up': -0.22719146, ' up': -1.6121191, ' UP': -6.3031077, 'Up': -6.8802958, 'up': -7.6051893}
{' down': -0.24514434, ' Down': -2.025454, 'down': -2.6609042, 'Down': -4.269976, ' ': -6.860489}
{' Up': -0.6866028, ' up': -0.82335967, 'up': -3.4843206, 'Up': -3.8622541, ' ': -5.725415}
