{' Yes': -0.0022212046, 'Yes': -6.1538434, ' yes': -10.02856, '\n': -10.890599, ' YES': -11.135205}
{' Yes': -0.019119894, ' No': -4.1058564, 'Yes': -6.9098134, ' Bor': -7.3282113, ' B': -7.565114}
{' Yes': -0.0039836424, 'Yes': -5.759978, ' Twelve': -8.062402, ' YES': -8.776674, ' yes': -8.858029}
{' Yes': -0.013616189, ' No': -5.166614, 'Yes': -5.6994123, ' Twelve': -5.7589407, ' yes': -8.05124}
{' Yes': -0.0031706495, 'Yes': -6.373724, ' She': -6.6779385, ' YES': -9.855734, ' yes': -10.1265335}
{' Yes': -0.001945616, 'Yes': -6.546648, ' She': -8.001616, ' YES': -9.767566, '\n': -10.239052}
{' Yes': -0.0010189372, 'Yes': -6.970265, ' YES': -10.113207, '\n': -10.955059, ' yes': -11.42663}
{' Yes': -0.0011401245, 'Yes': -6.8486695, ' YES': -10.116883, ' yes': -11.117452, ' Stress': -11.430856}
{' Yes': -0.000828026, 'Yes': -7.193649, ' No': -10.584259, ' YES': -10.720875, ' yes': -11.175091}
{' Yes': -0.0011053944, 'Yes': -6.9270105, ' YES': -9.970975, ' No': -10.720954, ' yes': -10.818095}
{' Yes': -0.0034945465, ' No': -5.8379173, 'Yes': -7.538828, ' yes': -11.53937, '\n': -11.999357}
{' Yes': -0.035432607, ' Minute': -3.7075174, ' No': -4.8750243, 'Yes': -6.421628, ' Minutes': -8.656249}
{' Yes': -0.0008370333, 'Yes': -7.1567664, ' Car': -10.737378, ' yes': -11.078615, ' YES': -11.312595}
{' Yes': -0.0037378387, 'Yes': -6.157289, ' Car': -6.5979643, ' YES': -9.394231, ' yes': -9.460029}
{' Yes': -0.051169056, ' Wa': -3.2161486, ' No': -5.190598, 'Yes': -6.1218762, ' Water': -7.0814624}
{' Yes': -0.0019635293, 'Yes': -6.6067586, ' No': -8.318049, ' Wa': -8.968926, ' yes': -9.41508}
{' Yes': -0.007422007, 'Yes': -6.0211887, ' No': -6.1076946, ' Fr': -6.9709687, ' Flight': -7.3080473}
{' Yes': -0.021337917, ' No': -4.8185296, ' Fr': -5.1338387, 'Yes': -5.9147186, ' Flight': -6.1855965}
{' Yes': -0.12613542, ' Length': -2.2256398, ' No': -4.7258267, 'Yes': -6.6673317, 'Length': -8.636017}
{' Yes': -0.060493033, ' Length': -3.0214875, ' No': -4.8104086, 'Yes': -6.6061435, 'Length': -8.624739}
{' Yes': -0.00048394102, 'Yes': -7.72117, ' yes': -10.735105, ' YES': -11.799181, '\n': -11.827238}
{' Yes': -0.00053957955, 'Yes': -7.594402, ' yes': -10.93042, ' YES': -11.52115, '\n': -12.280085}
{' Yes': -0.0019108577, 'Yes': -6.847503, ' France': -7.3602552, ' YES': -9.391597, ' yes': -9.4211645}
{' Yes': -0.00138374, 'Yes': -6.664214, ' yes': -10.258196, ' YES': -10.402996, '\n': -11.076916}
{' Yes': -0.0012575676, 'Yes': -6.9110603, ' Muscle': -8.842161, ' yes': -10.252512, ' YES': -10.434879}
{' Yes': -0.0017788872, 'Yes': -6.5454245, ' Muscle': -8.745855, ' yes': -9.8901, ' YES': -10.080731}
{' Yes': -0.04537577, ' Empire': -3.15974, 'Yes': -6.7149043, ' Emperor': -8.166741, ' Em': -8.296236}
{' Yes': -0.17992169, ' Empire': -1.8304954, ' Em': -6.3378787, 'Yes': -6.5155044, ' Emperor': -7.3924103}
{' Yes': -0.096228965, ' Kid': -3.0231755, ' No': -3.2396388, 'Yes': -6.0365114, 'Kid': -7.599332}
{' No': -0.6548552, ' Yes': -0.7640376, ' Kid': -4.490016, 'No': -6.598781, 'Yes': -6.6712146}
{' Yes': -0.0045444104, ' Hunger': -5.6552515, 'Yes': -7.02864, ' No': -10.048599, ' YES': -10.550757}
{' Yes': -0.002638499, ' Hunger': -6.6977577, ' No': -7.2530384, 'Yes': -7.4071355, ' Hungry': -10.844107}
{' Yes': -0.0005501929, 'Yes': -7.566344, ' yes': -11.145874, ' YES': -11.571055, '\n': -12.663293}
{' Yes': -0.0041675577, 'Yes': -6.175476, ' No': -6.666765, ' St': -8.235692, ' YES': -8.64585}
{' Yes': -0.0067656543, ' Danger': -6.0583034, 'Yes': -6.1059012, ' Dagger': -6.8041396, ' No': -7.7679257}
{' Yes': -0.017533256, ' Danger': -4.4806123, ' No': -5.9986978, 'Yes': -6.0160637, ' Dagger': -7.351795}
{' Yes': -0.0011993215, 'Yes': -6.918708, ' No': -9.45909, ' yes': -10.067056, ' Direct': -10.072115}
{' Yes': -0.003229607, 'Yes': -6.306856, ' Direct': -6.956369, ' No': -9.201331, ' yes': -9.345052}
{' Yes': -0.0032391164, ' No': -6.502112, 'Yes': -6.5966344, ' YES': -8.887744, ' yes': -9.064205}
{' Yes': -0.0016681894, 'Yes': -6.671674, ' No': -8.560231, ' YES': -9.298334, ' yes': -9.783876}
{' Yes': -0.0018128045, 'Yes': -6.801169, ' No': -7.46514, ' yes': -10.41316, ' Office': -10.448873}
{' Yes': -0.0014141193, 'Yes': -6.745995, ' No': -9.237161, ' YES': -10.150979, ' yes': -10.392973}
{' No': -0.066650435, ' Yes': -2.946777, ' Behind': -4.6275406, 'No': -6.3335285, ' Nope': -8.418184}
{' Yes': -0.1554608, ' Behind': -2.033486, ' No': -4.8119564, 'Yes': -5.819504, '\n': -7.3979588}
{' Yes': -0.0024669366, ' Thread': -6.5427094, 'Yes': -7.064059, ' No': -9.980336, ' yes': -10.083572}
{' Yes': -0.0038700097, ' Thread': -6.390569, ' No': -6.807295, 'Yes': -7.0545077, ' yes': -9.411965}
{' Yes': -0.010209304, 'Yes': -5.2809, ' No': -5.6499906, ' T': -7.309327, '\n': -8.096266}
{' Yes': -0.30084696, ' No': -1.5688714, ' Issue': -3.1925266, 'Yes': -5.6045213, '\n': -6.4569283}
{' Yes': -0.004387847, ' No': -6.183644, 'Yes': -6.445315, ' Sure': -7.769413, ' yes': -9.40158}
{' Yes': -0.0058878018, 'Yes': -6.16936, ' Sure': -6.725726, ' No': -6.770396, ' Sau': -7.086358}
{' Yes': -0.0053512733, 'Yes': -5.642642, ' No': -7.2763166, ' Fl': -7.324771, ' YES': -8.77192}
{' Yes': -0.008238205, 'Yes': -5.435515, ' No': -5.694254, ' Fl': -8.882879, ' yes': -9.036554}
{' Yes': -0.01064109, ' Sne': -5.3339324, 'Yes': -5.907939, ' No': -6.1141257, ' Sn': -8.336404}
{' Yes': -0.009910253, ' No': -4.943931, 'Yes': -6.1480484, ' Sne': -8.064449, ' yes': -9.259597}
{' Yes': -0.008990969, ' Better': -5.046552, 'Yes': -6.1307006, ' YES': -9.058106, ' yes': -9.276459}
{' Yes': -0.0071570505, ' Better': -5.3277802, 'Yes': -6.2580895, ' yes': -9.15535, ' YES': -9.589399}
{' Yes': -0.0007884759, 'Yes': -7.2334633, ' yes': -10.873714, ' YES': -11.083633, ' No': -11.118753}
{' Yes': -0.0010510954, 'Yes': -7.1096406, ' Purple': -9.279161, ' yes': -9.861561, ' YES': -10.024944}
{' Yes': -0.024267515, ' Animal': -3.8754501, 'Yes': -5.8103504, ' yes': -9.398674, ' YES': -10.0273285}
{' Yes': -0.15187974, ' Animal': -1.9901861, 'Yes': -5.710292, 'Animal': -8.493115, ' No': -8.523121}
{' Hel': -0.059612926, ' Yes': -2.9657962, 'Helper': -5.854211, ' helper': -6.5961776, ' Help': -7.221747}
{' Hel': -0.46502855, ' Yes': -1.0045888, 'Helper': -6.358073, 'Yes': -6.9680676, ' Help': -7.02452}
{' Yes': -0.047517076, ' No': -3.0912676, 'Yes': -7.192651, 'No': -9.40324, ' yes': -10.139976}
{' Yes': -0.00078179466, 'Yes': -7.225784, ' yes': -10.949187, ' YES': -11.019279, ' No': -11.782429}
{' Yes': -0.0019450181, 'Yes': -6.4105315, ' Branch': -8.496486, ' yes': -10.262948, '\n': -10.718585}
{' Yes': -0.0035647706, 'Yes': -5.860772, ' Branch': -7.6848936, ' yes': -9.370038, ' No': -9.741113}
{' Yes': -0.002845002, 'Yes': -6.162568, ' Pretty': -7.5184865, ' No': -10.112752, ' yes': -10.270987}
{' Yes': -0.0023413443, 'Yes': -6.395783, ' No': -7.7858114, ' Pretty': -8.732852, ' yes': -10.693476}
{' Yes': -0.41683587, ' Ignore': -1.2128583, ' No': -3.361908, ' Ign': -4.962368, 'Yes': -7.446628}
{' Yes': -0.40587336, ' No': -1.5836879, ' Ignore': -2.105256, ' Ign': -5.25866, 'Yes': -8.011224}
{' Yes': -0.09920555, ' Divide': -2.3974195, ' No': -6.38145, 'Yes': -6.8397574, ' Div': -7.9706}
{' Yes': -0.69682133, ' Divide': -0.70363826, ' No': -5.8024464, ' Div': -6.030159, 'Yes': -7.2135468}
{' Yes': -0.003872882, ' Hammer': -5.848603, 'Yes': -6.977696, ' YES': -10.911752, ' yes': -11.241578}
{' Yes': -0.02611856, ' Hammer': -3.699298, 'Yes': -6.996394, ' YES': -10.254844, ' yes': -10.4926405}
{' Yes': -0.0009934576, 'Yes': -6.9857445, ' YES': -10.807206, ' yes': -11.213473, ' Second': -11.263333}
{' Yes': -0.0015466972, 'Yes': -6.5897384, ' Second': -10.068547, ' yes': -10.146577, ' YES': -10.220914}
{' Yes': -0.12546292, ' No': -2.344768, ' Amount': -4.3600874, 'Yes': -5.2394214, ' Mount': -6.5568314}
{' Yes': -0.039775483, ' No': -3.3657925, 'Yes': -5.685994, 'No': -8.629362, ' Mount': -8.636331}
{' Yes': -0.012937398, ' Ex': -4.57509, 'Yes': -6.241838, ' No': -8.054301, ' yes': -9.378846}
{' Yes': -0.05966684, ' Ex': -3.3743925, ' No': -3.8880036, 'Yes': -6.68474, 'Ex': -7.924725}
{' Yes': -0.00085683604, 'Yes': -7.2154465, ' Dollar': -9.946903, ' yes': -10.239197, ' YES': -11.363325}
{' Yes': -0.00092854706, 'Yes': -7.060548, ' yes': -10.508733, ' No': -11.0626, ' YES': -11.452056}
{' Yes': -0.034926653, ' Planet': -3.4156485, 'Yes': -6.679603, ' yes': -9.660327, ' YES': -10.208203}
{' Yes': -0.007707459, ' Planet': -5.132547, 'Yes': -6.413444, ' YES': -10.08909, ' yes': -10.219604}
{' Yes': -0.0030089165, 'Yes': -6.275994, ' No': -7.504486, ' Car': -8.237642, ' C': -8.968395}
{' Yes': -0.0022268204, 'Yes': -6.367213, ' No': -8.320551, ' YES': -9.582799, ' yes': -9.681343}
{' Yes': -0.0010436969, 'Yes': -6.945665, ' Ass': -10.24186, ' YES': -11.041704, ' yes': -11.119288}
{' Yes': -0.009199563, ' Ass': -5.0516605, 'Yes': -6.0859933, ' No': -8.714857, '\n': -9.506039}
{' Yes': -0.0038196887, ' Circus': -6.0160165, 'Yes': -6.7140875, ' Circ': -9.936494, ' No': -10.542611}
{' Yes': -0.013154128, ' Circus': -4.525643, 'Yes': -6.50019, ' Circ': -8.110225, ' Cir': -8.576003}
{' Yes': -0.0011386921, 'Yes': -6.8239245, ' YES': -10.693537, ' yes': -10.8247175, '\n': -12.83023}
{' Yes': -0.0023690674, 'Yes': -6.248039, ' yes': -8.240904, ' YES': -8.905267, 'yes': -11.155028}
{' Yes': -0.0029796842, ' Finger': -6.4022293, 'Yes': -6.8503857, ' No': -9.066492, ' yes': -9.993692}
{' Yes': -0.009122628, ' Finger': -5.0855556, ' No': -6.6800795, 'Yes': -6.74686, ' F': -9.076754}
{' Yes': -0.016129205, ' Law': -4.3791885, 'Yes': -5.8536134, ' yes': -8.422718, ' YES': -9.12303}
{' Yes': -0.0059836796, ' Law': -5.787182, 'Yes': -5.9294624, ' yes': -9.642073, ' YES': -9.842693}
{' Yes': -0.00138553, 'Yes': -6.611037, ' YES': -11.135867, ' yes': -11.666602, '\n': -12.078133}
{' Yes': -0.0012507641, 'Yes': -6.7358656, ' YES': -10.617797, ' yes': -11.062851, '\n': -11.694687}
{' Yes': -0.005196739, ' No': -5.799926, 'Yes': -6.7023954, ' Cancer': -7.1971173, '\n': -9.299264}
{' Yes': -0.025863284, ' No': -3.8262799, ' Cancer': -6.2122455, 'Yes': -6.529353, ' yes': -9.631687}
{' Yes': -0.01944031, ' Sc': -4.2586746, 'Yes': -5.6477413, ' YES': -7.2821083, ' yes': -8.131217}
{' Yes': -0.036874633, ' Sc': -3.509504, 'Yes': -5.4682364, ' YES': -7.254642, 'Sc': -7.850289}
{' Yes': -0.0062937327, ' No': -5.6027193, 'Yes': -6.089917, ' yes': -8.845975, ' YES': -9.775033}
{' Yes': -0.018894276, ' No': -4.15677, 'Yes': -5.95278, ' yes': -8.969345, ' YES': -9.406748}
{' Yes': -0.0013065651, 'Yes': -6.974247, ' Exc': -8.359801, '\n': -9.671437, ' ': -11.287447}
{' Yes': -0.0034431077, 'Yes': -6.5067406, ' Exc': -7.2316623, ' No': -7.4201717, '\n': -7.885011}
{' Yes': -0.0011345734, 'Yes': -7.2374372, ' No': -8.511199, ' Gamble': -9.108889, ' yes': -9.852162}
{' Yes': -0.0010245438, 'Yes': -7.3874326, ' No': -8.17901, ' Gamble': -9.921177, ' yes': -10.141113}
{' Yes': -0.0075077605, ' No': -5.174216, 'Yes': -6.4480324, ' yes': -9.569763, ' Cowboy': -9.709124}
{' Yes': -0.0056660473, 'Yes': -5.7305207, ' Cowboy': -6.195979, ' No': -9.555827, ' Cow': -9.566398}
{' Yes': -0.0086449655, ' No': -5.779032, ' Finish': -5.818669, 'Yes': -6.100453, '\n': -9.297126}
{' Yes': -0.072292075, ' Finish': -2.7752204, 'Yes': -5.686935, ' No': -5.9411807, 'Finish': -7.953614}
{' Yes': -0.002931919, 'Yes': -6.265629, ' Puzzle': -7.376627, ' No': -8.6774025, ' yes': -9.436031}
{' Yes': -0.0025707297, 'Yes': -6.262943, ' No': -7.8444686, ' Puzzle': -9.38882, '\n': -9.4551}
{' Yes': -0.0021495828, 'Yes': -6.7816935, ' Repeat': -6.9849772, ' YES': -10.635789, ' yes': -10.643106}
{' Yes': -0.0009292642, 'Yes': -7.3747883, ' Repeat': -8.2546215, ' yes': -11.064444, ' YES': -11.283456}
{' Yes': -0.001436922, 'Yes': -6.9089813, ' Spider': -8.171259, ' yes': -9.422979, ' YES': -10.279741}
{' Yes': -0.00077964604, 'Yes': -7.245168, ' yes': -10.853267, ' YES': -11.248093, ' No': -11.466301}
{' Yes': -0.001448383, 'Yes': -7.0041833, ' Candle': -8.386395, ' YES': -9.133202, ' yes': -9.593292}
{' Yes': -0.005507331, ' Candle': -5.995669, 'Yes': -6.592772, ' Cand': -7.054818, ' YES': -8.167489}
{' Yes': -0.0026230828, 'Yes': -6.6413918, ' Thr': -7.4022603, ' Th': -7.908503, ' yes': -8.981715}
{' Yes': -0.0014735125, 'Yes': -6.8552217, ' No': -8.007768, ' yes': -10.033444, '\n': -11.373473}
{' Yes': -0.0011878634, 'Yes': -6.8432064, ' yes': -9.599762, ' YES': -10.877777, ' Bleach': -11.587287}
{' Yes': -0.0011374973, 'Yes': -7.0410366, ' No': -9.016315, ' yes': -9.646605, ' Bleach': -10.277262}
{' Yes': -0.0007758295, 'Yes': -7.215852, ' yes': -10.686694, ' YES': -11.415956, 'yes': -12.742234}
{' Yes': -0.00191038, 'Yes': -6.465045, ' Flower': -8.489409, ' yes': -9.691491, ' YES': -9.840716}
{' Yes': -0.001067625, 'Yes': -7.070901, ' No': -9.002021, ' yes': -10.356153, ' Sure': -11.136353}
{' Yes': -0.002543304, ' No': -6.4641347, 'Yes': -6.994523, ' yes': -10.384956, ' YES': -11.484026}
{' Yes': -0.013296728, ' Indian': -5.392849, ' No': -5.4634385, 'Yes': -5.704731, ' Ind': -8.293887}
{' Yes': -0.015795685, ' No': -4.329278, 'Yes': -6.345259, ' Indian': -8.168317, ' Ind': -8.917191}
{' Yes': -0.0035186526, ' Orange': -6.2586894, 'Yes': -6.900773, ' Sure': -8.116402, ' No': -8.854701}
{' Yes': -0.004584529, ' Orange': -5.7502775, 'Yes': -6.758811, ' Sure': -9.447795, ' yes': -9.765941}
{' Yes': -0.0023068723, 'Yes': -6.5708623, ' Hungry': -7.4325547, ' No': -8.816923, ' YES': -10.006619}
{' Yes': -0.0007199985, 'Yes': -7.4322057, ' No': -9.819408, ' YES': -10.8715315, ' yes': -10.950915}
{' Yes': -0.0017953081, ' No': -6.9410996, 'Yes': -7.1900687, ' yes': -10.465521, ' YES': -11.072198}
{' Yes': -0.014675156, ' No': -4.3444405, 'Yes': -6.767538, ' Number': -8.338206, ' yes': -10.031175}
{' Yes': -0.0050268923, ' No': -6.250237, ' Mirror': -6.560317, 'Yes': -6.592381, ' yes': -8.893832}
{' Yes': -0.006785458, ' No': -5.110467, 'Yes': -7.431849, ' Mirror': -9.951766, ' yes': -10.142496}
{' Yes': -0.0008157353, 'Yes': -7.178979, ' yes': -10.665406, ' YES': -10.86284, 'yes': -12.491836}
{' Yes': -0.0010457273, 'Yes': -6.9131246, ' yes': -10.975464, ' YES': -11.195223, ' ': -11.699687}
{' Yes': -0.024836529, ' Pepper': -4.1688185, 'Yes': -5.5447664, ' Pe': -5.845277, ' yes': -7.3147354}
{' Yes': -0.008301731, ' Pepper': -5.736697, 'Yes': -5.8520856, ' Pe': -7.3436327, ' No': -7.404535}
{' Yes': -0.0015660999, 'Yes': -6.567161, ' YES': -10.123095, ' yes': -10.24803, ' Sure': -10.770828}
{' Yes': -0.0007539364, 'Yes': -7.2669435, ' yes': -10.801607, ' YES': -11.053516, ' Sure': -11.891675}
{' Yes': -0.0010658331, 'Yes': -6.961393, ' yes': -9.99428, ' Yep': -10.589253, ' No': -10.737386}
{' Yes': -0.0057800673, 'Yes': -6.1934614, ' No': -6.5671296, ' Yep': -6.6861544, ' Nope': -7.780461}
{' Yes': -0.005726473, ' Square': -5.819784, 'Yes': -6.6220236, ' No': -6.9387493, ' Squ': -8.116125}
{' Yes': -0.08171097, ' Square': -2.830843, ' Squ': -4.516409, ' No': -5.811165, 'Yes': -5.9382095}
{' Yes': -0.0006913669, 'Yes': -7.3768425, ' YES': -11.001997, ' yes': -11.120079, ' ': -11.455993}
{' Yes': -0.000722026, 'Yes': -7.3477526, ' YES': -10.824933, ' Sure': -10.989406, ' yes': -11.06158}
{' Yes': -0.0047215405, 'Yes': -5.8129673, ' Leaves': -6.643177, ' yes': -8.79006, ' YES': -9.226059}
{' Yes': -0.004810059, 'Yes': -5.733085, ' Leaves': -7.4123445, ' No': -8.017399, ' yes': -8.548789}
{' Yes': -0.0037265324, 'Yes': -6.208715, ' Ending': -6.5603976, ' No': -8.709229, ' YES': -9.873719}
{' Yes': -0.08763835, ' Ending': -2.524625, 'Yes': -6.0331225, ' No': -6.954534, ' YES': -9.098407}
{' Yes': -0.124308646, ' Energy': -2.1763048, 'Yes': -6.1668096, 'Energy': -8.215622, ' YES': -8.52573}
{' Yes': -0.01700233, ' Energy': -4.255766, 'Yes': -6.3774905, ' Absolutely': -8.520777, ' YES': -8.829105}
{' Yes': -0.0006135903, 'Yes': -7.545322, ' yes': -10.210063, ' YES': -10.731742, ' Father': -11.522782}
{' Yes': -0.0007204754, 'Yes': -7.422675, ' Father': -9.673837, ' yes': -10.510499, ' YES': -10.988799}
{' Yes': -0.0012126296, 'Yes': -6.8242545, ' yes': -9.57414, ' YES': -10.383967, ' No': -11.329616}
{' Yes': -0.00093176845, 'Yes': -7.0609994, ' yes': -10.118982, ' YES': -10.944856, ' No': -12.459718}
{' Yes': -0.011444928, ' Street': -4.640624, 'Yes': -6.6129055, ' yes': -8.607472, ' YES': -9.24826}
{' Yes': -0.0006305301, 'Yes': -7.4251223, ' yes': -11.220062, ' YES': -11.225816, '\n': -13.113965}
{' Yes': -0.000470523, 'Yes': -7.715918, ' yes': -11.592914, ' YES': -11.607981, '\n': -12.538048}
{' Yes': -0.00088278874, 'Yes': -7.42323, ' Strong': -8.399047, ' yes': -10.444526, ' YES': -11.120254}
{' Yes': -0.029218173, ' Seller': -3.604547, 'Yes': -6.8485155, ' No': -8.414655, ' yes': -8.873733}
{' Yes': -0.0120513365, ' Seller': -4.5260415, 'Yes': -7.1154776, ' yes': -8.613305, ' YES': -9.389974}
{' Yes': -0.0028093774, 'Yes': -6.679273, ' Bl': -6.8768396, ' No': -8.663469, ' yes': -9.033942}
{' Yes': -0.01473153, ' Bl': -4.381076, 'Yes': -6.381612, ' yes': -8.695912, ' YES': -9.70579}
{' Yes': -0.00086268375, 'Yes': -7.1013207, ' yes': -10.646315, ' YES': -11.796739, ' ': -12.632292}
{' Yes': -0.009030181, ' B': -5.140208, 'Yes': -6.4564066, ' Bor': -7.382542, ' yes': -8.738771}
{' Yes': -0.0007630648, 'Yes': -7.243978, ' yes': -10.498585, ' YES': -11.251425, 'yes': -13.159816}
{' Yes': -0.0022823783, 'Yes': -6.3195715, ' yes': -8.500156, ' No': -9.720096, ' Sure': -9.986134}
{' Yes': -0.0015455042, 'Yes': -6.8011255, ' Parent': -8.640491, ' yes': -9.250173, ' YES': -9.277889}
{' Yes': -0.0104099065, ' Parent': -4.8514094, 'Yes': -6.287719, ' Parents': -8.767934, ' YES': -8.810101}
{' Yes': -0.0009886845, 'Yes': -7.087738, ' Super': -10.1424465, ' yes': -10.228388, ' YES': -10.284842}
{' Yes': -0.00083572196, 'Yes': -7.324509, ' Super': -9.524456, ' YES': -10.482216, ' yes': -10.658167}
{' Yes': -0.0010482307, 'Yes': -6.9585176, ' Weight': -10.3089695, ' yes': -10.971342, ' YES': -11.125597}
{' Yes': -0.0017778117, 'Yes': -7.02811, ' No': -7.8552647, ' Weight': -9.286099, ' Sure': -9.552374}
{' Yes': -0.0031324406, 'Yes': -5.9857526, ' St': -7.967533, ' YES': -9.499435, ' yes': -9.726871}
{' Yes': -0.11544768, ' St': -2.421846, ' Stars': -4.6400356, 'Yes': -5.0245357, ' stairs': -7.0809255}
{' Yes': -0.0015973814, 'Yes': -6.5715947, ' yes': -9.399169, ' Doctor': -9.496457, ' YES': -11.000459}
{' Yes': -0.005653819, ' Doctor': -5.813332, 'Yes': -6.0476036, ' yes': -8.772374, ' YES': -10.319622}
{' Yes': -0.0054202476, 'Yes': -5.920352, ' No': -6.242175, ' YES': -8.379125, ' yes': -8.922827}
{' Yes': -0.011691247, ' No': -4.7304926, 'Yes': -6.137404, ' YES': -8.692313, ' yes': -9.073688}
{' Yes': -0.004009794, 'Yes': -6.347954, ' Tennis': -6.3614354, ' No': -8.315157, ' YES': -9.303343}
{' Yes': -0.007600066, ' Tennis': -5.5495725, 'Yes': -6.0508475, ' No': -7.015929, ' yes': -9.197036}
{' Yes': -0.01018606, ' Bucket': -4.864598, 'Yes': -6.210955, ' yes': -8.465831, ' YES': -9.70842}
{' Yes': -0.29971197, ' Bucket': -1.371268, 'Yes': -5.9180517, ' Buck': -6.5201344, ' yes': -7.7945557}
{' Yes': -0.021386264, ' States': -4.138381, 'Yes': -5.6979947, ' St': -7.007657, ' YES': -8.392183}
{' Yes': -0.018382356, ' States': -4.3695974, 'Yes': -5.617336, ' St': -7.0050097, ' No': -7.937337}
{' Yes': -0.002235363, 'Yes': -6.341108, ' Sure': -8.666391, ' Yep': -9.484509, ' YES': -9.511802}
{' Yes': -0.0013220839, 'Yes': -6.7239723, ' Sure': -10.252041, ' Yep': -10.917252, ' YES': -11.040613}
{' In': -0.026274405, ' Yes': -4.246922, ' inh': -5.1274133, ' inhal': -5.815016, ' No': -6.803868}
{' In': -0.19966735, ' Yes': -2.183964, ' inh': -3.438774, ' No': -3.924057, ' inhal': -4.5367174}
{' Yes': -0.016104253, ' Loving': -4.3614564, 'Yes': -6.4394803, ' Lov': -7.3092866, ' yes': -8.172354}
{' Yes': -0.0015699213, 'Yes': -6.6944447, ' YES': -9.010705, ' yes': -9.833884, ' Yep': -9.9434185}
{' Yes': -0.0031280152, 'Yes': -6.344953, ' No': -7.2785735, ' Turtle': -7.9907017, ' yes': -8.959818}
{' Yes': -0.0035222422, ' No': -6.489793, 'Yes': -6.9335794, ' Turtle': -7.1213865, ' yes': -9.554416}
{' Yes': -0.0025595569, 'Yes': -6.35816, ' Butter': -7.557098, ' yes': -9.409928, ' But': -9.711697}
{' Yes': -0.0055709803, ' Butter': -5.576091, 'Yes': -6.5911703, ' But': -8.722463, ' yes': -9.622969}
{' Yes': -0.0018507823, 'Yes': -6.5771656, ' B': -8.561279, ' yes': -9.410614, ' YES': -9.901211}
{' Yes': -0.007684033, ' No': -5.8904834, ' B': -6.4031453, ' Bor': -6.553946, 'Yes': -6.770355}
{' Yes': -0.0027739312, 'Yes': -6.0466657, ' yes': -8.948324, ' YES': -9.228318, ' Absolutely': -10.380142}
{' Yes': -0.008321805, 'Yes': -5.5239277, ' Twelve': -6.4628267, ' No': -6.690999, ' yes': -8.063}
{' Yes': -0.029844478, ' She': -3.6250117, 'Yes': -6.185735, ' Sheet': -8.690561, ' YES': -9.192262}
{' Yes': -0.009440276, ' She': -5.0047884, 'Yes': -6.141637, ' YES': -8.817627, ' yes': -9.256045}
{' Yes': -0.0018269576, 'Yes': -6.4564066, ' Stress': -8.972274, ' YES': -9.539191, ' yes': -10.306199}
{' Yes': -0.0014595453, 'Yes': -6.6579895, ' Stress': -9.472864, ' YES': -9.929554, ' yes': -10.4146595}
{' Yes': -0.0006939923, 'Yes': -7.3889437, ' No': -10.365073, ' yes': -10.810985, ' YES': -11.103788}
{' Yes': -0.0011182248, 'Yes': -6.9474125, ' YES': -10.040791, ' Sure': -10.244074, ' yes': -10.564884}
{' Yes': -0.0064057834, ' No': -5.1442766, 'Yes': -7.6047564, ' yes': -11.158304, ' Sure': -11.536335}
{' Minute': -0.40509143, ' Yes': -1.2158844, ' M': -4.3689394, ' No': -4.956454, ' Minutes': -5.684801}
{' Yes': -0.00087527203, 'Yes': -7.1222243, ' yes': -10.501869, ' YES': -11.080593, ' Car': -11.516733}
{' Yes': -0.0009080253, 'Yes': -7.174209, ' Yep': -10.240818, ' Sure': -10.257417, ' No': -10.752471}
{' Yes': -0.18985751, ' Wa': -1.8183787, ' No': -5.391386, 'Yes': -6.3391976, ' Wait': -6.4685254}
{' Yes': -0.013693653, ' Wa': -4.628573, 'Yes': -6.1737943, ' Wait': -7.94999, ' Water': -7.9869337}
{' Yes': -0.009116374, ' Flight': -5.969446, ' Fr': -6.246378, 'Yes': -6.3225927, ' No': -6.4560914}
{' Yes': -0.23572415, ' Fr': -2.3536744, ' Flight': -2.4470296, ' Fight': -4.3782134, ' No': -5.10582}
{' Yes': -0.10256583, ' Length': -2.3976479, ' No': -5.295841, 'Yes': -6.6989665, 'Length': -8.819857}
{' Yes': -0.29631546, ' Length': -1.3840516, ' No': -5.6106133, 'Yes': -6.8143373, 'Length': -7.329828}
{' Yes': -0.00060858356, 'Yes': -7.525455, ' yes': -10.093483, ' YES': -11.864849, '\n': -11.922787}
{' Yes': -0.00079157815, 'Yes': -7.2570567, ' yes': -10.075567, ' YES': -11.115798, ' Sure': -11.66607}
{' Yes': -0.0012232504, 'Yes': -6.991751, ' France': -8.849058, ' yes': -9.59688, ' YES': -10.056633}
{' Yes': -0.0016621596, 'Yes': -6.6457696, ' France': -9.141952, ' yes': -9.3348675, ' YES': -9.802362}
{' Yes': -0.0021165498, 'Yes': -6.9376, ' Muscle': -7.005116, ' yes': -9.702355, ' Mus': -9.856444}
{' Yes': -0.0076059517, ' Muscle': -5.3725367, 'Yes': -6.2212763, ' Mus': -7.745105, ' yes': -8.758765}
{' Yes': -0.055832535, ' Empire': -2.9956253, 'Yes': -6.215056, ' Em': -6.844247, ' Emperor': -7.2725315}
{' Yes': -0.12340297, ' Empire': -2.1951745, ' Em': -6.252389, 'Yes': -6.41526, ' Emperor': -7.5080366}
{' Yes': -0.03062548, ' Kid': -4.042504, ' No': -4.623851, 'Yes': -6.1799684, ' yes': -8.290384}
