{'\n': -10.568761, ' ': -9.932915, ' Yes': -0.002365244, ' yes': -9.487791, 'Yes': -6.126602}
{' No': -1.8877558, 'No': -5.0090513, ' Yes': -0.19685313, 'Yes': -4.523954, ' Four': -5.079927}
{' ': -6.101014, ' Yes': -0.09837248, ' yes': -2.473899, 'Yes': -5.34266, 'yes': -7.3624215}
{'\n': -6.3128176, ' ': -6.217662, ' Yes': -0.035521537, ' yes': -4.7663126, 'Yes': -3.872098}
{' No': -2.8334773, '\n': -3.4815333, ' ': -4.496636, ' Yes': -0.17296447, 'Yes': -3.2171957}
{'\n': -7.962475, ' ': -7.689543, ' Yes': -0.013798193, ' yes': -5.62784, 'Yes': -4.7154717}
{' No': -0.35685056, '\n': -2.762061, ' ': -4.510329, 'No': -1.9920034, ' Yes': -2.6244667}
{'\n': -5.5483522, ' Yes': -0.22924706, ' yes': -1.734414, 'Yes': -4.4986677, 'yes': -5.690667}
{'\n': -7.511131, ' ': -7.5847497, ' Yes': -0.0054099406, ' yes': -7.356477, 'Yes': -5.648099}
{' No': -4.614599, '\n': -6.226298, ' ': -6.5082707, ' Yes': -0.029499598, 'Yes': -4.262318}
{' No': -6.0589643, '\n': -5.08524, ' ': -5.7170377, ' Yes': -0.03578276, 'Yes': -3.8322625}
{'\n': -7.977695, ' ': -6.8832088, ' Yes': -0.004292063, ' yes': -8.355281, 'Yes': -5.988571}
{' No': -0.07568742, '\n': -4.1194324, ' ': -5.2388687, 'No': -3.1769464, ' Yes': -4.800579}
{' No': -5.1249666, '\n': -5.3077593, ' Yes': -0.04194746, ' yes': -4.579177, 'Yes': -4.4094954}
{' Five': -12.192463, ' No': -0.009287638, '\n': -8.698508, ' ': -8.060233, 'No': -4.740067}
{' No': -0.05661043, '\xa0': -10.007515, '\n': -8.740277, ' ': -6.615097, 'No': -2.9314005}
{' No': -0.0695534, '\xa0': -8.552347, '\n': -7.022713, ' ': -6.307646, 'No': -2.7489564}
{' Five': -10.649784, ' No': -0.010701455, '\n': -10.939501, ' ': -7.6857314, 'No': -4.5943885}
{' No': -0.07968071, '\xa0': -8.8945465, '\n': -6.4906907, ' ': -5.9970407, 'No': -2.6299336}
{' Five': -9.052155, ' No': -0.06837447, '\n': -7.8237224, ' ': -6.9049816, 'No': -2.745159}
{' Five': -10.078556, ' No': -0.0046739914, '\n': -6.972899, ' ': -6.3677545, 'No': -6.2780485}
{' No': -0.041901153, '\n': -5.9485917, ' ': -5.73959, 'No': -3.3565297, ' no': -9.07664}
{' No': -0.091896646, '\xa0': -7.898934, '\n': -3.540223, ' ': -4.5954366, 'No': -3.0474973}
{' No': -0.005988415, '\xa0': -10.53535, '\n': -8.681333, ' ': -6.436282, 'No': -5.4935064}
{' No': -0.15745574, '\n': -4.433858, ' ': -4.6191244, 'No': -2.101357, ' no': -7.766527}
{' No': -0.03836532, '\n': -6.641539, ' ': -5.5111513, 'No': -3.4803283, ' no': -7.1024714}
{' No': -0.0650527, '\n': -7.200833, ' ': -6.0118093, 'No': -2.8780446, ' no': -5.892423}
{' No': -0.08981723, ' ': -6.600848, 'No': -2.478968, 'no': -9.40655, ' no': -8.041319}
{' No': -0.15877727, '\n': -6.8942885, ' ': -6.130536, 'No': -1.9526119, ' no': -7.1979966}
{' No': -0.019652013, '\xa0': -9.811963, ' ': -7.1076756, 'No': -4.006779, ' no': -8.381022}
{' No': -0.41783446, '\n': -6.329107, ' ': -5.9068675, 'No': -1.09114, ' no': -8.15678}
{' No': -0.10183771, ' ': -7.024164, 'No': -2.350964, 'no': -8.931809, ' no': -7.9976234}
{' No': -0.031787682, '\n': -6.267701, ' ': -5.1966405, 'No': -4.7046695, ' no': -4.269541}
{' No': -0.08237888, '\n': -4.8013787, ' ': -4.7601867, 'No': -2.8307557, ' no': -5.988209}
{' No': -0.13896045, '\n': -3.6232078, ' ': -4.7871985, 'No': -2.3928761, ' no': -6.115791}
{' No': -0.03483722, '\n': -5.8847475, ' ': -5.471626, 'No': -3.644153, ' no': -7.1053114}
{' No': -0.2351899, '\n': -3.207895, ' ': -4.573433, 'No': -1.8892941, ' no': -5.265748}
{' No': -0.10982168, '\n': -4.5339704, ' ': -4.9295354, 'No': -3.5432868, ' no': -2.9139044}
{' No': -0.013006114, '\n': -5.5431786, ' ': -5.5680046, 'No': -5.2982197, ' no': -9.465597}
{' No': -0.04693764, '\n': -4.69914, ' ': -5.2499766, 'No': -3.4735007, ' no': -8.972283}
{' Five': -8.495336, ' No': -0.08823093, '\n': -3.6208522, ' ': -4.4598913, 'No': -3.1028318}
{' Five': -9.401951, ' No': -0.019311232, '\n': -5.61702, ' ': -5.098401, 'No': -4.6963816}
{' No': -0.07162883, '\n': -3.8738825, ' ': -4.9634256, 'No': -3.2161674, ' no': -7.7166777}
{' No': -0.059460662, '\n': -4.1685033, ' ': -4.609166, 'No': -3.576394, ' no': -5.8565993}
{' No': -0.01431503, ' Nine': -8.462793, '\n': -8.031557, ' ': -7.581063, 'No': -4.3442426}
{' No': -0.03951136, ' Nine': -8.749837, ' ': -7.365305, 'No': -3.280123, ' Yes': -8.852882}
{' No': -0.046909217, ' Nine': -7.4328437, '\n': -7.3804564, ' ': -6.892759, 'No': -3.1457348}
{' No': -0.013484358, ' Nine': -7.139247, ' ': -8.488788, 'No': -4.409789, ' Yes': -8.56791}
{' No': -0.06154062, ' Nine': -7.0684147, '\n': -6.436407, ' ': -6.0099125, 'No': -2.9155958}
{' No': -0.046093922, ' Nine': -7.3276753, ' ': -7.143652, 'No': -3.1562908, ' Yes': -7.835947}
{' No': -0.0050940495, ' Nine': -7.5168104, '\n': -7.191455, ' ': -6.1839995, 'No': -6.5039587}
{' No': -0.0315792, '\n': -5.7362547, ' ': -5.896457, 'No': -3.6964028, ' no': -9.558004}
{' No': -0.077376485, '\n': -3.686343, ' ': -4.55128, 'No': -3.2849205, ' Yes': -7.8871093}
{' No': -0.0033596174, ' Nine': -9.123097, '\n': -9.041903, ' ': -6.7085385, 'No': -6.287396}
{' No': -0.14062123, '\n': -3.9760883, ' ': -4.530014, 'No': -2.3031654, ' no': -8.048542}
{' No': -0.029514086, ' Nine': -6.4729133, '\n': -6.641765, ' ': -5.6354914, 'No': -3.8486648}
{' No': -0.064336725, ' ': -6.1562486, 'No': -2.8714461, ' Yes': -7.5631447, ' no': -6.2214108}
{' No': -0.071795, ' ': -7.2102566, 'No': -2.6886733, ' Yes': -9.384774, ' no': -8.600964}
{' No': -0.21419606, ' ': -5.9625316, 'No': -2.7664154, ' Yes': -2.1397464, 'Yes': -5.1429253}
{' No': -0.015006124, ' ': -7.280957, 'No': -4.436412, ' Yes': -6.1980667, ' no': -8.7002}
{' No': -0.37900138, '\n': -6.791115, ' ': -6.4818096, 'No': -1.1649549, 'no': -8.45253}
{' No': -0.088025615, ' ': -7.4519935, 'No': -2.488025, 'no': -9.229472, ' no': -8.346664}
{' No': -0.020477178, '\n': -6.9235682, ' ': -5.2296195, 'No': -5.444425, ' no': -4.710277}
{' No': -0.0542398, '\n': -4.924479, ' ': -5.1517835, 'No': -3.2837353, ' no': -6.429246}
{' No': -0.10905943, '\n': -3.3609993, ' ': -4.5991316, 'No': -2.8944142, ' no': -6.1747117}
{' No': -0.023882562, '\n': -5.9687862, ' ': -5.4833684, 'No': -4.1498723, ' no': -7.4811535}
{' No': -0.25777146, '\n': -2.483981, ' ': -4.5063033, 'No': -2.072999, ' no': -5.4509416}
{' No': -0.15534279, '\n': -4.1154714, ' ': -4.5904756, 'No': -3.7347655, ' no': -2.485541}
{' No': -0.0130447, '\n': -5.495863, ' ': -5.506268, 'No': -5.4312, ' Yes': -8.465731}
{' No': -0.037546545, ' Nine': -8.720918, '\n': -4.38753, ' ': -5.3874073, 'No': -3.9436607}
{' No': -0.060942598, ' Nine': -7.4085803, '\n': -3.9357347, ' ': -4.685588, 'No': -3.539956}
{' No': -0.013317206, ' Nine': -7.9127717, '\n': -5.7511272, ' ': -5.278469, 'No': -5.4121876}
{' No': -0.06435255, '\n': -3.6498075, ' ': -5.1332154, 'No': -3.5168595, ' no': -8.623282}
{' No': -0.060408253, ' Nine': -5.6726923, '\n': -4.0901666, ' ': -4.298304, 'No': -3.9432988}
{'\n': -9.505623, ' ': -8.909534, ' Yes': -0.0044257427, ' yes': -9.872987, 'Yes': -5.487917}
{' No': -10.365287, ' ': -7.4986243, ' Yes': -0.017026763, ' yes': -8.206008, 'Yes': -4.140695}
{'\n': -7.7034683, ' ': -6.538287, ' Yes': -0.03179082, ' yes': -7.6792207, 'Yes': -3.5646904}
{' Nine': -11.0743065, ' ': -9.046017, ' Yes': -0.0024913142, ' yes': -10.038708, 'Yes': -6.077028}
{'\n': -7.9376726, ' ': -7.0487285, ' Yes': -0.031302847, ' yes': -8.553385, 'Yes': -3.5341446}
{'\n': -8.3595915, ' ': -7.7626014, ' Yes': -0.018300703, ' yes': -7.6843767, 'Yes': -4.0843315}
{'\n': -6.8386993, ' ': -6.6371593, ' Yes': -0.0046274625, ' yes': -8.1691475, 'Yes': -6.3182964}
{'\n': -6.4739933, ' ': -6.2937565, ' Yes': -0.029228482, ' yes': -7.405119, 'Yes': -3.7087595}
{'\n': -4.187247, ' ': -5.0541863, ' Yes': -0.0749271, ' yes': -6.986785, 'Yes': -3.022122}
{'\n': -9.514081, ' ': -7.47076, ' Yes': -0.0032883307, ' yes': -8.878, 'Yes': -6.0074234}
{'\n': -4.924424, ' ': -5.087797, ' Yes': -0.12676813, ' yes': -6.126146, 'Yes': -2.2862797}
{'\n': -7.058892, ' ': -6.118835, ' Yes': -0.024785753, ' yes': -5.7548366, 'Yes': -4.060859}
{' Nine': -7.8886247, ' ': -6.5280457, ' Yes': -0.03507684, ' yes': -4.6595464, 'Yes': -3.8164337}
{' No': -7.5579457, ' ': -6.880571, ' Yes': -0.037421357, ' yes': -6.3810925, 'Yes': -3.4100602}
{' No': -5.6332526, ' ': -6.066256, ' Yes': -0.06452769, ' yes': -5.56308, 'Yes': -2.9790096}
{' YES': -9.666661, ' ': -7.3756413, ' Yes': -0.012696145, ' yes': -7.039276, 'Yes': -4.5241094}
{' No': -7.4199424, ' ': -6.502507, ' Yes': -0.17604701, ' yes': -6.4585495, 'Yes': -1.8559538}
{' ': -7.421222, ' Yes': -0.03369838, ' yes': -6.3893747, 'Yes': -3.4873421, 'yes': -8.805296}
{'\n': -6.3722606, ' ': -5.7099857, ' Yes': -0.033816874, ' yes': -3.827499, 'Yes': -5.2301764}
{'\n': -5.264562, ' ': -5.132461, ' Yes': -0.06508222, ' yes': -4.815202, 'Yes': -3.1553378}
{'\n': -3.685512, ' ': -4.3596745, ' Yes': -0.11867322, ' yes': -4.6719956, 'Yes': -2.8016908}
{'\n': -7.1129546, ' ': -6.0738, ' Yes': -0.021435345, ' yes': -5.704323, 'Yes': -4.2464905}
{'\n': -2.6216152, ' ': -4.3566294, ' Yes': -0.27202368, ' yes': -4.193094, 'Yes': -2.09757}
{'\n': -5.238054, ' ': -5.4020004, ' Yes': -0.1288546, ' yes': -2.4544103, 'Yes': -3.8851964}
{'\n': -6.279266, ' ': -6.394527, ' Yes': -0.008447847, ' yes': -7.48192, 'Yes': -5.48254}
{'\n': -5.0436587, ' ': -5.676019, ' Yes': -0.031759012, ' yes': -7.2195373, 'Yes': -3.9005315}
{'\n': -4.331624, ' ': -5.108846, ' Yes': -0.051656127, ' yes': -6.917029, 'Yes': -3.5298016}
{'\n': -6.53194, ' ': -5.9029384, ' Yes': -0.009105425, ' yes': -8.494424, 'Yes': -5.3802123}
{'\n': -3.3141642, ' ': -4.8592453, ' Yes': -0.101698935, ' yes': -6.58742, 'Yes': -3.010148}
{'\n': -4.5944023, ' ': -4.786382, ' Yes': -0.04528615, ' yes': -4.7811446, 'Yes': -4.1662135}
{'\n': -10.340922, ' ': -9.693852, ' Yes': -0.00268159, ' yes': -9.804322, 'Yes': -5.9861383}
{' No': -1.1189611, ' ': -6.898397, 'No': -4.649133, ' Yes': -0.42582867, 'Yes': -4.711921}
{' No': -2.431178, ' ': -6.875248, 'No': -5.88765, ' Yes': -0.11361999, 'Yes': -4.2466536}
{' No': -8.017722, ' ': -9.901361, ' Yes': -0.0028699879, ' yes': -9.237721, 'Yes': -6.0587416}
{' No': -6.1490445, '\n': -8.22021, ' ': -7.09475, ' Yes': -0.01888729, 'Yes': -4.2013097}
{' No': -6.3930445, ' ': -8.119732, ' Yes': -0.015944779, ' yes': -7.376998, 'Yes': -4.365958}
{'\n': -9.103978, ' ': -7.8776984, ' Yes': -0.0016457407, ' yes': -8.131078, 'Yes': -7.1165686}
{' No': -2.6790795, ' ': -5.8352246, 'No': -6.077964, ' Yes': -0.0961577, 'Yes': -4.229285}
{' No': -5.689668, '\n': -4.119082, ' ': -4.832343, ' Yes': -0.06424023, 'Yes': -3.4504154}
{'\n': -10.189562, ' ': -7.8923397, ' Yes': -0.0020366933, ' yes': -8.276033, 'Yes': -6.6414547}
{' No': -4.5895185, '\n': -4.283637, ' ': -4.7011104, ' Yes': -0.13780549, 'Yes': -2.4119658}
{' No': -6.336878, ' ': -6.259279, ' Yes': -0.02661309, ' yes': -4.888752, 'Yes': -4.3361964}
{' No': -6.491759, ' ': -6.8364234, ' Yes': -0.039006006, ' yes': -4.244429, 'Yes': -3.9136987}
{' No': -0.275593, 'No': -3.6495137, ' Yes': -1.5711863, ' yes': -6.8845806, 'Yes': -5.5329304}
{' No': -2.7622335, 'No': -5.4633164, ' Yes': -0.118307166, ' yes': -4.3113537, 'Yes': -3.597448}
{' No': -4.694795, ' ': -8.048665, ' Yes': -0.01647896, ' yes': -6.3757715, 'Yes': -5.3320518}
{' No': -2.88497, 'No': -4.15231, ' Yes': -0.17678118, ' yes': -6.1987777, 'Yes': -2.454636}
{' No': -0.21132684, ' ': -6.6038513, 'No': -3.545996, ' Yes': -1.8535025, 'Yes': -6.0042534}
{'\n': -7.1390977, ' ': -6.1227403, ' Yes': -0.07036107, ' yes': -2.8318658, 'Yes': -5.3430796}
{' No': -1.5831987, ' ': -4.4641094, ' Yes': -0.3051245, ' yes': -4.4927616, 'Yes': -4.0725384}
{'\n': -3.6750717, ' ': -4.576727, ' Yes': -0.100565016, ' yes': -4.148609, 'Yes': -3.2151945}
{'\n': -7.031174, ' ': -6.5502, ' Yes': -0.015333453, ' yes': -5.537977, 'Yes': -4.760679}
{' No': -3.3255575, '\n': -2.5530887, ' Yes': -0.2782552, ' yes': -4.006618, 'Yes': -2.427879}
{'\n': -4.6261473, ' ': -5.371607, ' Yes': -0.21348935, ' yes': -1.8612077, 'Yes': -4.2285004}
{'\n': -7.1602707, ' ': -7.20142, ' Yes': -0.005541313, ' yes': -7.3235946, 'Yes': -5.7532783}
{' No': -6.007588, '\n': -5.31042, ' ': -5.9141517, ' Yes': -0.026324458, 'Yes': -4.243661}
{'\n': -4.77411, ' ': -5.309781, ' Yes': -0.038109865, ' yes': -6.569984, 'Yes': -3.8376093}
{'\n': -7.239632, ' ': -6.340829, ' Yes': -0.0050099385, ' yes': -8.013389, 'Yes': -6.1840696}
{' No': -2.1171353, '\n': -2.527919, ' ': -4.227359, ' Yes': -0.29829913, 'Yes': -3.401845}
{'\n': -4.5325522, ' ': -4.7869534, ' Yes': -0.050955344, ' yes': -4.35908, 'Yes': -4.203762}
{' No': -0.007493948, '\n': -9.033367, ' ': -8.570667, 'No': -4.943081, ' no': -11.751723}
{' No': -0.045242373, '\n': -8.999485, ' ': -6.782213, 'No': -3.1520443, ' no': -9.807885}
{' No': -0.052620165, '\xa0': -8.940416, '\n': -6.9078093, ' ': -6.484716, 'No': -3.0303953}
{' No': -0.004369228, '\n': -11.758707, ' ': -8.341445, 'No': -5.501491, ' Six': -11.5468645}
{' No': -0.052054513, '\xa0': -9.4275875, '\n': -6.8316474, ' ': -6.2910976, 'No': -3.0485847}
{' No': -0.04798647, '\n': -7.7029743, ' ': -7.0036106, 'No': -3.0999444, ' no': -9.076086}
{' No': -0.005677556, '\n': -6.6005464, ' ': -6.032267, 'No': -6.3687983, ' no': -9.117652}
{' No': -0.03159384, '\n': -6.1686554, ' ': -5.6216245, 'No': -3.6914065, ' no': -8.448471}
{' No': -0.0733187, '\n': -3.743317, ' ': -4.5179806, 'No': -3.3539772, ' no': -8.122951}
{' No': -0.005758604, '\n': -8.676004, ' ': -5.984037, 'No': -5.830578, ' no': -9.890789}
{' No': -0.13499044, '\n': -4.279206, ' ': -4.3921447, 'No': -2.3258376, ' no': -7.168177}
{' No': -0.03006969, '\n': -6.558378, ' ': -5.2477574, 'No': -3.8778021, ' no': -6.4173927}
{' No': -0.047947384, '\n': -7.7255697, ' ': -6.2028413, 'No': -3.2128072, ' no': -5.6532555}
{' No': -0.06916357, ' ': -6.832587, 'No': -2.7354558, 'no': -9.112715, ' no': -7.538358}
{' No': -0.11145109, '\n': -7.2973247, ' ': -6.5249753, 'No': -2.2855654, ' no': -7.0816383}
{' No': -0.0130808735, '\xa0': -10.250213, ' ': -7.344471, 'No': -4.4321823, ' no': -8.095131}
{' No': -0.29048735, '\n': -6.9636307, ' ': -6.271822, 'No': -1.3926831, ' no': -8.24386}
{' No': -0.057442423, ' ': -7.414525, 'No': -2.9054115, 'no': -9.374811, ' no': -8.21984}
{' No': -0.042692896, '\n': -6.220728, ' ': -5.0323997, 'No': -4.99293, ' no': -3.6616464}
{' No': -0.06188329, '\n': -5.0609627, ' ': -4.742834, 'No': -3.2210133, ' no': -5.451127}
{' No': -0.106876954, '\n': -3.5932848, ' ': -4.702492, 'No': -2.81457, ' no': -5.5917435}
{' No': -0.025071988, '\n': -5.9666286, ' ': -5.290031, 'No': -4.201034, ' no': -6.2862935}
{' No': -0.1951752, '\n': -3.0765169, ' ': -4.3817253, 'No': -2.247982, ' no': -4.604791}
{' No': -0.14843245, '\n': -4.3282723, ' ': -4.6397777, 'No': -3.817493, ' no': -2.4142787}
{' No': -0.013596672, '\n': -5.2788973, ' ': -5.4750395, 'No': -5.550669, ' no': -8.40766}
{' No': -0.038724054, '\n': -4.5796576, ' ': -5.051255, 'No': -3.8802402, ' no': -8.161979}
{' No': -0.071874924, '\n': -3.6896555, ' ': -4.292059, 'No': -3.5331786, ' no': -7.895458}
{' No': -0.01590045, '\n': -5.547791, ' ': -5.0046124, 'No': -5.320742, ' no': -9.000822}
{' No': -0.0817329, '\n': -3.4605818, ' ': -4.817505, 'No': -3.3095787, ' no': -6.8240957}
{' No': -0.053644683, '\n': -4.1965785, ' ': -4.49778, 'No': -3.8626308, ' no': -5.545111}
{' No': -0.0071894685, '\n': -9.689507, ' ': -8.614909, 'No': -5.0049043, ' Yes': -8.53557}
{' Seven': -9.363268, ' No': -0.04202361, ' ': -7.567717, 'No': -3.2336338, ' Yes': -6.954438}
{' No': -0.046257034, '\n': -7.4737096, ' ': -6.779081, 'No': -3.2830026, ' Yes': -5.189825}
{' Seven': -9.39516, ' No': -0.007945212, ' ': -8.589353, 'No': -4.9093504, ' Yes': -8.359212}
{' No': -0.052201517, '\n': -7.173814, ' ': -6.355471, 'No': -3.0550451, ' Yes': -7.70177}
{' No': -0.055636168, '\n': -8.528024, ' ': -7.5556717, 'No': -2.960934, ' Yes': -6.7864146}
{' No': -0.0036711916, '\n': -8.20979, ' ': -6.41434, 'No': -6.588736, ' Yes': -8.159076}
{' No': -0.03200207, '\n': -6.479938, ' ': -6.2724752, 'No': -3.582392, ' no': -9.269457}
{' No': -0.079709895, '\n': -3.6499937, ' ': -4.5024524, 'No': -3.267557, ' Yes': -7.737503}
{' No': -0.0026613309, '\n': -9.872892, ' ': -7.2334523, 'No': -6.303807, ' no': -10.933589}
{' No': -0.15443109, '\n': -4.2839303, ' ': -4.7307954, 'No': -2.1274152, ' no': -7.9777455}
{' No': -0.023209408, '\n': -7.393966, ' ': -5.9299417, 'No': -4.000815, ' no': -7.254519}
{' No': -0.05856857, ' ': -6.4549704, 'No': -2.9721444, ' Yes': -6.7934346, ' no': -6.1211267}
{' No': -0.056947876, ' ': -7.5554996, 'No': -2.9304714, ' Yes': -7.3938227, ' no': -7.770153}
{' No': -0.33012265, ' ': -6.1623383, 'No': -2.7952807, ' Yes': -1.5888165, 'Yes': -4.6795125}
{' No': -0.016440118, ' ': -7.9819074, 'No': -4.3433537, ' Yes': -5.927684, ' no': -8.66249}
{' No': -0.33909717, '\n': -7.742155, ' ': -7.2404118, 'No': -1.2529233, ' no': -8.6624775}
{' No': -0.07679422, ' ': -8.300075, 'No': -2.614243, 'no': -9.476873, ' no': -8.707929}
{' No': -0.021720495, '\n': -7.579176, ' ': -5.180618, 'No': -5.7464976, ' no': -4.457832}
{' No': -0.037457187, '\n': -5.98226, ' ': -5.4443326, 'No': -3.573006, ' no': -6.474481}
{' No': -0.0870149, '\n': -3.8542724, ' ': -4.7665057, 'No': -2.9887917, ' no': -6.435899}
{' No': -0.01806034, '\n': -6.74752, ' ': -5.7569437, 'No': -4.3548007, ' no': -7.554637}
{' No': -0.23962475, '\n': -2.8103795, ' ': -4.7138357, 'No': -1.9735992, ' no': -5.79246}
{' No': -0.14776124, '\n': -4.0956693, ' ': -4.5646467, 'No': -3.8877504, ' no': -2.5100086}
{' No': -0.008965166, '\n': -6.418055, ' ': -5.8432107, 'No': -5.5063367, ' Yes': -8.438978}
{' No': -0.03499585, '\n': -5.0630717, ' ': -5.4505706, 'No': -3.7588365, ' Yes': -8.951324}
{' No': -0.061818678, '\n': -4.0792823, ' ': -4.6026907, 'No': -3.4546847, ' Yes': -7.3898935}
{' Seven': -9.879721, ' No': -0.008859803, '\n': -6.7135425, ' ': -5.752657, 'No': -5.457489}
{' No': -0.052684188, '\n': -4.2757826, ' ': -5.592022, 'No': -3.407054, ' no': -8.568425}
{' No': -0.051164415, '\n': -4.2768006, ' ': -4.553615, 'No': -3.9010272, ' Yes': -6.062032}
{'\n': -10.8094225, ' ': -9.966483, ' Yes': -0.0029658116, ' yes': -9.905652, 'Yes': -5.8670664}
{' YES': -10.460103, ' ': -8.089623, ' Yes': -0.016410429, ' yes': -8.051057, 'Yes': -4.1652026}
{'\n': -8.23859, ' ': -7.496167, ' Yes': -0.02320001, ' yes': -7.53711, 'Yes': -3.8460567}
{' YES': -11.956423, ' ': -9.658104, ' Yes': -0.002514499, ' yes': -9.743746, 'Yes': -6.044855}
{'\n': -8.516102, ' ': -7.6444488, ' Yes': -0.026468338, ' yes': -8.502593, 'Yes': -3.6859226}
{'\n': -8.505053, ' ': -7.953379, ' Yes': -0.017410612, ' yes': -7.860729, 'Yes': -4.1253242}
{'\n': -7.857012, ' ': -7.292448, ' Yes': -0.0032463497, ' yes': -7.806141, 'Yes': -6.378193}
{'\n': -7.2041416, ' ': -6.99617, ' Yes': -0.01990954, ' yes': -7.4233093, 'Yes': -4.0585675}
{'\n': -4.317226, ' ': -5.49381, ' Yes': -0.06349699, ' yes': -6.80324, 'Yes': -3.1634383}
{'\n': -9.829558, ' ': -7.8154306, ' Yes': -0.0025530434, ' yes': -8.720653, 'Yes': -6.2683973}
{'\n': -5.1420355, ' ': -5.3892946, ' Yes': -0.11142458, ' yes': -5.9425344, 'Yes': -2.3957264}
{'\n': -7.5850115, ' ': -6.5259614, ' Yes': -0.018471666, ' yes': -5.7175736, 'Yes': -4.3748045}
{' ': -7.066434, ' Yes': -0.031746045, ' yes': -4.892435, 'Yes': -3.814346, 'yes': -8.011634}
{' ': -7.449394, ' Yes': -0.03744964, ' yes': -6.313408, 'Yes': -3.3852143, 'yes': -8.753437}
{' No': -6.88894, ' ': -6.7703605, ' Yes': -0.058313914, ' yes': -5.274529, 'Yes': -3.0349605}
{' YES': -9.802553, ' ': -8.145953, ' Yes': -0.009127623, ' yes': -7.0930223, 'Yes': -4.8531294}
{' ': -7.3412127, ' Yes': -0.13017993, ' yes': -6.6965, 'Yes': -2.1271453, 'yes': -7.861688}
{' ': -8.370766, ' Yes': -0.024706328, ' yes': -6.490874, 'Yes': -3.7987256, 'yes': -8.707604}
{'\n': -6.673817, ' ': -6.000796, ' Yes': -0.045944758, ' yes': -3.3890824, 'Yes': -5.049504}
{'\n': -5.9226213, ' ': -5.78918, ' Yes': -0.04301013, ' yes': -5.2670317, 'Yes': -3.4932969}
{'\n': -4.117523, ' ': -5.061891, ' Yes': -0.08162308, ' yes': -4.7259955, 'Yes': -3.096546}
{'\n': -7.4804597, ' ': -6.8579183, ' Yes': -0.01627405, ' yes': -5.8586907, 'Yes': -4.474877}
{'\n': -3.0890038, ' ': -5.0187488, ' Yes': -0.18793045, ' yes': -4.2147107, 'Yes': -2.305402}
{'\n': -4.597849, ' ': -5.4597855, ' Yes': -0.12058434, ' yes': -2.539541, 'Yes': -4.083433}
{'\n': -6.8580813, ' ': -7.199941, ' Yes': -0.005634156, ' yes': -7.558136, 'Yes': -5.7491813}
{'\n': -5.6178894, ' ': -6.2499695, ' Yes': -0.021261623, ' yes': -7.137585, 'Yes': -4.2425256}
{'\n': -4.4760227, ' ': -5.314235, ' Yes': -0.048217528, ' yes': -6.4758997, 'Yes': -3.5628905}
{'\n': -6.621952, ' ': -6.159345, ' Yes': -0.008570059, ' yes': -8.201052, 'Yes': -5.353188}
{'\n': -3.71049, ' ': -5.289133, ' Yes': -0.07280074, ' yes': -6.3648252, 'Yes': -3.2707777}
{'\n': -4.394799, ' ': -5.0661383, ' Yes': -0.04431078, ' yes': -4.6994734, 'Yes': -4.232873}
{'\n': -10.533089, ' ': -9.703826, ' Yes': -0.0030116665, ' yes': -9.718872, 'Yes': -5.861763}
{' No': -2.6045141, ' ': -7.2147665, 'No': -5.8919516, ' Yes': -0.09491444, 'Yes': -4.3706427}
{' No': -2.4671776, ' ': -6.876237, 'No': -5.602214, ' Yes': -0.11417901, 'Yes': -4.0605726}
{' No': -7.321373, ' ': -10.10305, ' Yes': -0.0034319817, ' yes': -9.831171, 'Yes': -5.9387016}
{' No': -3.384962, ' ': -6.8262095, 'No': -6.5183697, ' Yes': -0.051302064, 'Yes': -4.3439655}
{' No': -3.7397487, 'No': -6.4749646, ' Yes': -0.04279977, ' yes': -7.1397867, 'Yes': -4.244239}
{'\n': -8.901171, ' ': -7.4078717, ' Yes': -0.0022203692, ' yes': -7.8083425, 'Yes': -6.8773627}
{' No': -1.0523679, ' ': -5.407051, 'No': -4.460823, ' Yes': -0.47659653, 'Yes': -4.613815}
{' No': -3.283421, '\n': -3.4095314, ' ': -4.295481, ' Yes': -0.12497961, 'Yes': -3.5622506}
{' No': -7.15933, ' ': -7.3809834, ' Yes': -0.0031738775, ' yes': -8.260113, 'Yes': -6.5503116}
{' No': -2.0294018, '\n': -3.9874055, 'No': -3.8131456, ' Yes': -0.31316182, 'Yes': -2.536354}
{' No': -5.434982, ' ': -6.011735, ' Yes': -0.027149208, ' yes': -4.9193344, 'Yes': -4.642753}
{' No': -3.5701017, ' ': -6.2261834, ' Yes': -0.07682145, ' yes': -3.8964396, 'Yes': -3.9101095}
{' No': -0.65415764, 'No': -3.6779306, ' Yes': -0.8178711, ' yes': -6.491222, 'Yes': -4.613657}
{' No': -2.4556196, 'No': -5.1046576, ' Yes': -0.14365377, ' yes': -4.560409, 'Yes': -3.557611}
{' No': -3.1337378, ' ': -7.7317452, ' Yes': -0.052315127, ' yes': -6.5365586, 'Yes': -5.3231645}
{' No': -2.7225223, 'No': -3.8021386, ' Yes': -0.20510608, ' yes': -6.347658, 'Yes': -2.3737938}
{' No': -0.38047737, ' ': -6.286708, 'No': -3.577735, ' Yes': -1.268905, 'Yes': -5.499305}
{' ': -5.827873, ' Yes': -0.093960114, ' yes': -2.5216353, 'Yes': -5.449736, 'yes': -7.131578}
{' No': -1.3568541, ' ': -4.3664956, 'No': -4.347626, ' Yes': -0.38230565, 'Yes': -4.197203}
