{' Yes': -0.0047830474, ' No': -5.822646, 'Yes': -6.374882, ' yes': -10.36971, '\n': -10.858401}
{' Yes': -0.018279698, ' No': -4.547918, ' Bear': -5.1329665, 'Yes': -6.7340426, ' yes': -9.075017}
{' Yes': -0.006738289, ' Bear': -5.7724776, 'Yes': -6.3697557, ' No': -6.639756, ' yes': -8.212723}
{' Yes': -0.00507422, ' No': -5.429667, 'Yes': -7.3922315, ' YES': -10.381433, '\n': -11.524729}
{' Yes': -0.076557845, ' No': -2.6177146, 'Yes': -7.419962, 'No': -9.902885, '\n': -10.505149}
{' Yes': -0.014919607, ' No': -4.342499, 'Yes': -6.500086, ' yes': -8.957214, ' Fish': -9.73296}
{' Yes': -0.010151378, ' No': -4.8017197, 'Yes': -6.41678, ' yes': -9.028345, ' Fish': -10.242678}
{' No': -0.3172438, ' Yes': -1.3108103, 'No': -7.0206237, ' Skin': -7.246225, 'Yes': -7.7599254}
{' No': -0.25841415, ' Yes': -1.4923295, 'No': -6.6113415, ' Skin': -7.3920484, 'Yes': -7.5248437}
{' Yes': -0.17240207, ' No': -1.8627974, 'Yes': -6.2940235, ' Nope': -7.579357, 'No': -8.12361}
{' Yes': -0.3599498, ' No': -1.3182265, ' So': -3.9285703, ' Nope': -4.7550035, 'Yes': -5.537703}
{' Yes': -0.0008540951, 'Yes': -7.149719, '\n': -10.39671, ' yes': -11.703127, ' Che': -11.737355}
{' Yes': -0.0013535962, 'Yes': -7.067107, ' No': -8.163377, ' Che': -9.221143, '\n': -10.09965}
{' Yes': -0.005148267, ' No': -5.4341526, 'Yes': -7.3122025, ' yes': -10.0931, ' YES': -10.653687}
{' Yes': -0.016128602, ' No': -4.322023, 'Yes': -6.323492, ' Male': -8.305729, ' yes': -8.553107}
{' No': -0.6028356, ' Yes': -0.7990598, ' Nope': -6.408304, 'No': -7.386338, 'Yes': -7.400962}
{' No': -0.12958056, ' Yes': -2.1179323, 'No': -7.339728, ' Nope': -7.8492956, 'Yes': -8.806155}
{' Yes': -0.09474378, ' No': -2.7528477, ' Bike': -3.927843, ' Bicycle': -5.91383, 'Yes': -6.1815586}
{' No': -0.6003675, ' Yes': -0.9082707, ' Bike': -3.2070835, ' Bicycle': -5.9935155, ' Nope': -6.5217347}
{' No': -0.21577016, ' Yes': -1.6503061, 'No': -6.730466, ' Nope': -7.7912755, 'Yes': -8.013135}
{' No': -0.36898968, ' Yes': -1.181381, 'No': -7.116739, 'Yes': -7.8221064, ' Nope': -7.9859514}
{' Yes': -0.0013301412, 'Yes': -6.7858152, ' No': -8.769711, ' yes': -10.378659, ' YES': -11.880321}
{' Cave': -0.06883091, ' Yes': -2.7694228, ' No': -6.884369, ' Cavern': -7.5385346, ' cave': -7.8044314}
{' Yes': -0.017734598, ' No': -4.5559597, ' Moon': -5.4967556, 'Yes': -5.998274, ' yes': -8.917211}
{' Yes': -0.13635533, ' No': -2.0968864, 'Yes': -6.2091513, ' Moon': -6.5614896, 'No': -7.5695214}
{' No': -0.31917822, ' Yes': -1.3328024, ' Pain': -5.5840993, 'No': -6.103993, ' Nope': -6.267901}
{' No': -0.2721452, ' Yes': -1.4485329, 'No': -6.3350854, ' Nope': -6.955069, 'Yes': -7.798491}
{' No': -0.07633311, ' Yes': -2.623702, 'No': -7.3026686, 'Yes': -8.975496, ' Nope': -9.301352}
{' No': -0.036939323, ' Yes': -3.362802, ' Nope': -7.1253486, 'No': -7.5146194, ' Plus': -9.309465}
{' Yes': -0.2531698, ' No': -1.5246217, 'Yes': -6.1519523, ' Area': -6.5296645, 'No': -7.172616}
{' Yes': -0.17287901, ' No': -1.8805262, 'Yes': -6.0839467, ' Area': -6.0916333, 'No': -7.5589957}
{' Yes': -0.2956261, ' Dive': -1.4042476, ' No': -5.013582, 'Yes': -6.070751, ' YES': -8.177527}
{' Yes': -0.3188412, ' No': -1.4066001, ' Dive': -3.7413988, 'Yes': -6.34435, 'No': -7.6067915}
{' Yes': -0.018313693, ' Hear': -4.2014, 'Yes': -6.4926043, ' No': -6.7782106, ' Yeah': -9.314109}
{' Yes': -0.010731459, ' No': -4.789622, 'Yes': -6.530234, ' Hear': -7.5436425, ' Yeah': -9.576145}
{' Yes': -0.005195661, ' Bush': -5.7507005, 'Yes': -6.630649, ' No': -7.560209, ' yes': -10.21679}
{' Yes': -0.04889255, ' Bush': -3.2047474, ' No': -5.661138, 'Yes': -6.187934, ' Brush': -8.017326}
{' No': -0.17768495, ' Yes': -1.9055347, ' Near': -4.584669, 'No': -5.964582, ' Ne': -7.912218}
{' No': -0.20807569, ' Yes': -1.692916, 'No': -6.422093, ' Near': -6.4402146, ' Nope': -8.281908}
{' Yes': -0.20298381, ' No': -1.7487527, ' Mile': -4.86873, 'Yes': -6.8252506, 'No': -7.9836755}
{' Yes': -0.47178125, ' No': -1.2410626, ' Mile': -2.5220227, ' Miles': -6.2680516, 'Yes': -6.6361337}
{' Yes': -0.5706712, ' Navy': -0.88378346, ' No': -4.2877502, 'Yes': -5.873703, ' Nav': -6.7937627}
{' Yes': -0.78638077, ' Navy': -1.1929836, ' No': -1.4843006, ' Nope': -5.9410505, 'Yes': -6.0097494}
{' No': -0.0092340335, ' Nope': -5.4791303, 'No': -5.8378778, ' Okay': -6.654156, ' Yes': -7.70402}
{' No': -0.001571593, 'No': -6.538372, ' Nope': -10.113724, ' Yes': -10.465257, '\n': -10.661545}
{' Yes': -0.05538691, ' No': -2.9498057, 'Yes': -6.804677, ' Math': -9.005996, 'No': -9.01221}
{' Yes': -0.3406889, ' No': -1.2451211, 'Yes': -7.7042007, 'No': -8.200319, '\n': -10.360695}
{' No': -0.002940943, ' Yes': -6.2470946, 'No': -6.9980927, ' Nope': -9.730255, '\n': -11.345742}
{' No': -0.005692601, ' Yes': -5.3449183, 'No': -7.1176686, ' Nope': -9.708254, '\n': -11.29217}
{' Yes': -0.001838361, 'Yes': -6.739727, ' No': -7.495719, ' Milk': -9.890357, ' yes': -10.737227}
{' No': -0.2701693, ' Yes': -1.4485788, 'No': -6.643977, 'Yes': -7.774375, ' Milk': -9.700552}
{' Yes': -0.3648634, ' No': -1.1950083, 'Yes': -6.3496385, 'No': -7.089139, '\n': -8.753058}
{' Yes': -0.4920289, ' No': -0.9575172, 'Yes': -5.9886737, 'No': -6.3742194, ' Nope': -8.585798}
{' Yes': -0.007994178, ' Bird': -5.388727, 'Yes': -6.3429794, ' No': -6.633951, ' yes': -9.080997}
{' Yes': -0.01218666, ' No': -4.6867394, ' Bird': -6.4630566, 'Yes': -6.775099, ' yes': -9.361418}
{' Yes': -0.069490016, ' No': -2.72545, 'Yes': -6.6505747, 'No': -9.2315035, ' YES': -9.444443}
{' Yes': -0.026038293, ' No': -3.7386694, 'Yes': -6.5121393, ' YES': -8.685454, ' yes': -9.067185}
{' Yes': -0.3064638, ' No': -1.4562689, ' Need': -3.799452, ' Nope': -5.948457, 'Yes': -6.464138}
{' Yes': -0.110107236, ' No': -2.3379915, ' Need': -5.5130787, 'Yes': -6.549127, ' Nope': -7.007098}
{' Yes': -0.017575415, ' No': -4.695592, ' Too': -5.3644934, ' Tool': -6.105496, 'Yes': -6.902634}
{' Yes': -0.1841909, ' No': -2.0474777, ' Too': -3.5898554, ' Tool': -4.6773357, 'Yes': -6.7408624}
{' Yes': -0.1309381, ' No': -2.3656468, ' Po': -3.7187939, 'Yes': -5.94713, ' Nope': -6.821322}
{' Yes': -0.29679945, ' No': -1.5288646, ' Po': -3.3505347, 'Yes': -6.2087593, ' Nope': -6.484024}
{' Yes': -0.19911176, ' No': -1.7196482, 'Yes': -7.2698774, ' Rock': -8.499398, 'No': -8.677856}
{' Yes': -0.07531339, ' No': -2.709627, ' Rock': -6.31937, 'Yes': -6.3309684, ' Cro': -7.022862}
{' Yes': -0.11161635, ' No': -2.2670043, 'Yes': -6.423301, 'No': -8.300432, ' Last': -9.784736}
{' Yes': -0.034831297, ' No': -3.431325, 'Yes': -6.4210696, 'No': -9.565126, ' Last': -9.660487}
{' Yes': -0.034194026, ' Door': -3.6543376, ' No': -5.3048124, 'Yes': -6.1413455, ' yes': -8.035124}
{' Yes': -0.02968237, ' No': -4.020878, ' Door': -4.7466984, 'Yes': -6.225946, ' yes': -7.949106}
{' No': -0.40146917, ' Yes': -1.1507692, ' To': -5.0617046, 'Yes': -6.0346055, 'No': -6.1104827}
{' No': -0.2593997, ' Yes': -1.4883369, 'No': -6.9487343, ' Nope': -7.0295424, 'Yes': -7.2341056}
{' Yes': -0.024363829, ' Maze': -4.3149805, ' No': -4.9622507, 'Yes': -5.7581496, ' yes': -8.932941}
{' No': -0.2654494, ' Yes': -1.4697931, 'No': -6.500145, 'Yes': -7.302837, ' Maze': -7.7810264}
{' No': -0.17239045, ' Yes': -1.8676629, 'No': -6.6463094, ' Nope': -6.655062, ' Monk': -7.4405427}
{' No': -0.40616927, ' Yes': -1.1118348, 'No': -6.835547, 'Yes': -7.084515, ' Nope': -7.111619}
{' Yes': -0.0011371415, 'Yes': -7.109768, ' No': -8.359699, ' yes': -10.510851, ' Camp': -10.628569}
{' Yes': -0.02642109, ' No': -3.8066983, ' Camp': -6.235049, 'Yes': -6.499367, ' yes': -9.073158}
{' Yes': -0.01839723, ' Most': -4.375771, ' No': -5.4135556, 'Yes': -6.886056, ' Mostly': -9.54567}
{' Yes': -0.033860527, ' No': -4.049796, ' Most': -4.217632, 'Yes': -7.201577, ' Mostly': -8.727923}
{' Yes': -0.012338235, ' No': -4.873567, ' Tri': -6.50829, 'Yes': -6.6284175, ' Trip': -6.905877}
{' Yes': -0.0105160335, ' No': -4.7927504, 'Yes': -6.749211, ' Tri': -7.721636, ' yes': -8.286365}
{' No': -0.648392, ' Yes': -0.8380473, ' Dusk': -3.2010498, 'Yes': -6.317631, 'No': -6.6181107}
{' No': -0.16218218, ' Yes': -1.9320606, 'No': -6.2589326, ' Dusk': -6.3988323, 'Yes': -7.453062}
{' Yes': -0.011140504, ' No': -4.569059, 'Yes': -7.7289424, ' Hell': -8.9923525, ' Hello': -10.019752}
{' Yes': -0.011069264, ' No': -4.545823, 'Yes': -7.9758687, ' yes': -11.338641, '\n': -11.354345}
{' No': -0.020493422, ' Yes': -3.9900844, 'No': -6.38741, ' Nope': -9.878531, 'Yes': -10.372194}
{' No': -0.010362325, ' Yes': -4.8177447, 'No': -6.269875, ' Nope': -8.300178, 'Yes': -10.91977}
{' Yes': -0.3151793, ' No': -1.3128123, 'Yes': -7.655404, 'No': -7.7534165, ' Hill': -8.579112}
{' Yes': -0.34603518, ' No': -1.2419815, ' Hill': -6.43573, 'No': -7.0481186, 'Yes': -7.2522616}
{' Yes': -0.075362556, ' No': -2.6657631, 'Yes': -6.282685, ' Take': -7.589248, ' Nope': -8.446526}
{' Yes': -0.017009484, ' No': -4.189001, 'Yes': -6.5553355, ' Take': -9.865101, ' yes': -9.965049}
{' Yes': -0.09751211, ' No': -2.395562, 'Yes': -6.69999, ' Part': -8.261537, 'No': -8.699958}
{' Yes': -0.013716009, ' No': -4.5202465, 'Yes': -6.0969734, ' Part': -8.986127, '\n': -9.046272}
{' No': -0.33165944, ' Yes': -1.2734568, 'No': -6.584688, ' Nope': -7.568842, 'Yes': -7.68877}
{' Yes': -0.3808155, ' No': -1.1558801, 'Yes': -7.1766796, 'No': -7.4566708, ' Nope': -8.078053}
{' Yes': -0.0030950706, 'Yes': -6.376424, ' No': -6.6586447, ' yes': -10.2152815, '\n': -10.347472}
{' Yes': -0.02664768, ' No': -3.6688635, 'Yes': -7.2249894, 'No': -10.419808, ' yes': -11.1428585}
{' No': -0.0023910531, ' Yes': -6.4883685, 'No': -7.075021, ' Nope': -11.479652, '\n': -11.983681}
{' No': -0.0060023847, ' Yes': -5.319177, 'No': -6.9320045, ' Nope': -9.450479, '\n': -10.977109}
{' No': -0.24125965, ' Yes': -1.5466032, 'No': -7.036223, 'Yes': -7.908562, ' Nope': -9.726658}
{' No': -0.03482716, ' Yes': -3.4297092, 'No': -6.425139, 'Yes': -9.270567, ' Nope': -9.799941}
{' No': -0.1283572, ' Yes': -2.1263525, 'No': -6.9985924, 'Yes': -8.555357, ' Nope': -10.13796}
{' No': -0.0441227, ' Yes': -3.1786916, 'No': -6.6335216, 'Yes': -9.360204, ' Nope': -9.498519}
{' No': -0.10775299, ' Yes': -2.2884037, 'No': -7.538907, 'Yes': -9.448203, ' Nope': -9.462167}
{' No': -0.0049669887, ' Yes': -5.4791965, 'No': -7.3890667, ' Nope': -9.464794, '\n': -9.519033}
{' Yes': -0.0055604326, ' No': -5.805733, 'Yes': -6.597555, ' Fire': -7.2626824, ' yes': -8.840646}
{' Yes': -0.05527862, ' No': -2.9416673, 'Yes': -7.2483273, ' Fire': -9.46013, 'No': -10.022642}
{' Yes': -0.0015781006, 'Yes': -6.936593, ' No': -8.453089, ' yes': -8.4748745, ' YES': -9.209324}
{' Yes': -0.0019321182, 'Yes': -6.9386516, ' No': -7.529727, ' yes': -8.344478, ' YES': -9.770546}
{' Yes': -0.0030511268, ' No': -6.297454, 'Yes': -6.8929796, ' yes': -9.61782, ' Push': -10.3245945}
{' Yes': -0.00395049, ' No': -6.22196, 'Yes': -6.616232, ' Push': -8.478854, ' yes': -9.132367}
{' Yes': -0.074667275, ' Stop': -2.723839, 'Yes': -5.9517016, ' No': -6.156965, ' Yep': -7.5389223}
{' Yes': -0.05581211, ' Stop': -3.254796, ' No': -4.408902, 'Yes': -6.265781, ' Nope': -7.43616}
{' Yes': -0.31709886, ' Late': -1.3613722, ' Plate': -4.8579464, ' No': -5.8917723, 'Yes': -6.268003}
{' Yes': -0.123343565, ' No': -2.1632032, 'Yes': -7.3066645, ' Late': -8.944812, 'No': -9.017539}
{' Yes': -0.002635333, ' No': -6.5916243, 'Yes': -6.7638044, ' yes': -9.602878, ' YES': -11.146565}
{' Yes': -0.0027139236, 'Yes': -6.630977, ' No': -6.73042, ' yes': -9.075337, ' YES': -10.559772}
{' Yes': -0.0041895267, ' Wife': -6.318232, 'Yes': -6.7703156, ' No': -6.9694676, ' yes': -9.579996}
{' Yes': -0.08832729, ' No': -3.0926988, ' Wife': -3.3441122, 'Yes': -6.532857, ' W': -7.007272}
{' Yes': -0.0044932785, ' No': -6.204999, 'Yes': -6.6198936, ' Frog': -7.177764, ' yes': -8.450227}
{' Yes': -0.0048788786, ' Frog': -6.194646, 'Yes': -6.6912856, ' No': -6.8899817, ' yes': -8.138024}
{' Yes': -0.0015468172, 'Yes': -6.637798, ' No': -8.763504, ' yes': -9.817906, ' YES': -11.526515}
{' Yes': -0.012366175, ' Duck': -5.217013, ' No': -5.588774, 'Yes': -6.2075567, ' yes': -8.100946}
{' Yes': -0.049986575, ' Bank': -3.1499565, 'Yes': -5.597883, ' yes': -7.7039175, ' No': -7.896625}
{' Yes': -0.0033199058, ' No': -6.1335173, 'Yes': -6.9226637, ' yes': -9.484714, ' YES': -10.212613}
{' Yes': -0.0069761886, 'Yes': -5.689952, ' Test': -6.6650767, ' Nest': -6.9951653, ' YES': -8.142691}
{' Yes': -0.0048393453, 'Yes': -6.1712794, ' No': -6.574721, ' Test': -7.1493764, ' Nest': -8.868871}
{' Yes': -0.011575888, ' No': -4.72698, 'Yes': -6.564405, ' Stay': -6.850551, ' yes': -9.865639}
{' Yes': -0.012188833, ' No': -4.705752, 'Yes': -6.396403, ' Stay': -6.7773213, ' yes': -9.456047}
{' Yes': -0.057777822, ' No': -2.9233913, 'Yes': -6.162377, 'No': -8.887107, ' yes': -9.553303}
{' Yes': -0.072825745, ' East': -3.3871074, ' No': -4.460587, ' Ye': -4.6012387, 'Yes': -4.9473553}
{' No': -0.041414782, ' Yes': -3.2427752, 'No': -6.6069493, ' Nope': -9.2666645, 'Yes': -10.209999}
{' No': -0.05728979, ' Yes': -2.9697082, ' Nope': -6.057188, 'No': -6.4231267, ' High': -8.39546}
{' No': -0.41296324, ' Yes': -1.0896717, 'No': -7.108765, ' Draw': -7.5168276, 'Yes': -7.966835}
{' Yes': -0.67100656, ' Draw': -0.77139986, ' No': -4.62693, ' Drew': -5.5519676, ' D': -5.9747477}
{' Yes': -0.42216387, ' King': -1.0825719, 'King': -6.1591105, 'Yes': -6.631217, ' Kings': -6.7614226}
{' Yes': -0.14160165, ' King': -2.3009071, ' No': -3.5527458, 'Yes': -6.460921, 'King': -7.5359178}
{' No': -0.4175136, ' Yes': -1.0783985, ' Nope': -7.777403, 'No': -7.797974, 'Yes': -8.256093}
{' Yes': -0.29623908, ' No': -1.3882781, ' Lose': -5.561383, ' Nope': -6.9965715, ' Lo': -7.085948}
{' Yes': -0.0018319736, 'Yes': -6.864331, ' No': -7.964766, ' Sure': -9.033807, ' Nope': -9.530117}
{' Yes': -0.0005522222, 'Yes': -7.595687, ' No': -11.290093, ' yes': -11.401427, ' Sure': -11.764536}
{' Yes': -0.0017360154, 'Yes': -6.480215, ' Sick': -9.610834, ' yes': -9.756535, ' YES': -10.208153}
{' Yes': -0.0028975457, 'Yes': -6.3836765, ' No': -7.2065563, ' Sick': -8.385382, ' yes': -9.143566}
{' Yes': -0.12855673, ' Dirt': -2.2146277, ' No': -5.1409883, 'Yes': -5.864059, ' Dirty': -6.4618607}
{' Yes': -0.1599975, ' No': -1.9693391, ' Dirt': -5.1068416, 'Yes': -6.5398874, 'No': -7.769988}
{' Yes': -0.01665385, ' No': -4.576003, ' Te': -6.011664, 'Yes': -6.6552496, ' T': -7.61672}
{' Yes': -0.006838689, ' Te': -6.3128114, 'Yes': -6.433966, ' No': -6.6426253, ' T': -7.8449936}
{' No': -0.0033620102, 'No': -5.7064395, '\n': -11.078958, ' Nope': -11.879223, ' ': -12.0526085}
{' Yes': -0.22590531, ' No': -1.6022403, 'Yes': -7.6481557, 'No': -8.740642, ' Nope': -9.8994665}
{' Rain': -0.5632478, ' Yes': -1.7328665, ' No': -1.7426472, ' Train': -3.3403132, ' Brain': -4.148839}
{' Rain': -0.5927189, ' No': -1.0819635, ' Yes': -2.7710063, 'Rain': -4.0961766, ' Rainbow': -4.627571}
{' Yes': -0.10909266, ' No': -2.2778816, 'Yes': -7.4878097, ' Nope': -9.204125, 'No': -9.481832}
{' No': -0.36483106, ' Yes': -1.1896869, 'No': -7.472268, ' Nope': -7.677552, 'Yes': -8.255876}
{' Yes': -0.0061631617, ' Sure': -6.292151, ' No': -6.610678, 'Yes': -6.900817, ' Absolutely': -7.194893}
{' Yes': -0.015714228, ' No': -4.584728, ' Nope': -6.5257916, ' Sure': -6.5636873, 'Yes': -6.827086}
{' Yes': -0.17023648, ' No': -1.8611372, 'Yes': -7.3757544, 'No': -8.656008, ' Nope': -9.545016}
{' No': -0.24211603, ' Yes': -1.5426148, 'No': -6.984481, 'Yes': -8.480699, ' Nope': -10.327799}
{' Yes': -0.0016671148, ' No': -6.7091227, 'Yes': -7.7719164, ' yes': -11.265547, ' YES': -12.396079}
{' Yes': -0.011568351, ' No': -4.6027737, 'Yes': -7.0193863, ' Nope': -8.300723, ' Thin': -8.715428}
{' No': -0.03779542, ' Yes': -3.3357177, 'No': -6.5886126, ' Nope': -9.757266, 'Yes': -10.264556}
{' Yes': -0.31600183, ' No': -1.4268453, ' Tail': -3.5952318, 'Yes': -6.7015743, 'No': -7.3029776}
{' Yes': -0.0025692962, 'Yes': -6.661791, ' Land': -7.399052, ' No': -7.8263946, ' yes': -8.687515}
{' Yes': -0.013313099, ' No': -4.801107, 'Yes': -6.1834593, ' Land': -6.1842494, ' yes': -8.208444}
{' Yes': -0.034064632, ' No': -3.4618466, ' Feel': -6.7955747, 'Yes': -7.4035635, ' yes': -9.323038}
{' Yes': -0.0474512, ' No': -3.868597, ' Feel': -3.8938391, ' F': -6.8595066, 'Yes': -6.936696}
{' Yes': -0.033775747, ' No': -3.4694543, 'Yes': -6.696387, ' Loud': -7.6538963, ' Nope': -9.75759}
{' No': -0.42541116, ' Yes': -1.1552906, ' Loud': -3.5527534, ' Nope': -6.910319, 'No': -7.338376}
{' Yes': -0.0037544724, 'Yes': -5.9992566, ' Star': -7.167204, ' Sure': -8.450537, ' yes': -9.350126}
{' Yes': -0.005315799, 'Yes': -5.9307537, ' Star': -7.111585, ' Sure': -7.378526, ' Start': -7.4403496}
{' Yes': -0.005594177, 'Yes': -5.9226947, ' Card': -6.036672, ' yes': -8.436854, ' YES': -9.30226}
{' Yes': -0.0022713847, 'Yes': -6.3477187, ' yes': -8.687677, ' Card': -8.695689, ' YES': -10.036987}
{' Yes': -0.67905134, ' Deer': -0.7365866, ' De': -4.8235364, ' Dear': -6.6817865, ' D': -6.851095}
{' Yes': -0.61664176, ' Deer': -0.83403, ' De': -4.1284213, ' Dear': -6.0855265, ' D': -6.2154217}
{' Yes': -0.021224055, ' No': -4.418172, ' Look': -5.0298142, 'Yes': -6.472258, ' YES': -8.563164}
{' Yes': -0.004989212, ' No': -5.921317, 'Yes': -6.4774904, ' Look': -8.009045, ' YES': -8.893585}
{' No': -0.2332516, ' Yes': -1.5895481, ' Nope': -6.0138817, 'No': -7.093097, ' Gl': -7.765622}
{' No': -0.5684907, ' Yes': -0.8426797, ' Nope': -6.682542, ' Gl': -7.1232963, 'No': -7.6393766}
{' No': -0.6829434, ' Yes': -0.7058241, 'No': -7.6024895, 'Yes': -7.7607937, ' Nope': -8.868107}
{' Yes': -0.39016116, ' No': -1.1358334, 'Yes': -7.3387694, ' Less': -7.5196986, 'No': -8.064687}
{' Yes': -0.004114949, ' No': -6.064418, 'Yes': -6.439139, ' Sure': -9.999422, ' yes': -10.152119}
{' Yes': -0.055923738, ' No': -3.32251, ' Code': -4.2118187, 'Yes': -6.543664, ' Nope': -7.1422625}
{' Yes': -0.0014032573, 'Yes': -7.043092, ' Sure': -7.957228, ' No': -9.640037, ' Shoes': -10.481365}
{' Yes': -0.0081004705, ' Shoes': -5.45434, 'Yes': -6.431356, ' Sh': -6.7704425, ' Sure': -7.742053}
{' Exit': -0.08822129, ' Yes': -3.1244416, ' No': -3.509034, ' Ex': -5.167323, 'Exit': -5.526101}
{' No': -0.7388473, ' Exit': -0.9867188, ' Yes': -1.9564204, ' Ex': -5.5245624, 'Exit': -6.4773917}
{' Yes': -0.33873424, ' No': -1.2775007, ' Lion': -5.3524365, 'No': -6.42099, 'Yes': -6.512947}
{' Yes': -0.29493734, ' No': -1.372286, 'Yes': -6.9344335, 'No': -7.3088126, ' Lion': -9.074192}
{' Yes': -0.3071817, ' Roof': -1.4333451, ' No': -3.73389, 'Yes': -6.8840227, ' roof': -8.397538}
{' Roof': -0.017063625, ' Yes': -4.484457, ' No': -5.7186494, ' roof': -6.769028, ' Ro': -7.4829583}
{' Yes': -0.008361773, ' Want': -5.3330536, ' No': -6.0275893, 'Yes': -6.9912333, ' yes': -10.140682}
{' Yes': -0.15404804, ' No': -2.2723608, ' Want': -3.3068838, 'Yes': -6.8055277, ' Nope': -7.568556}
{' Yes': -0.0031837418, ' Wind': -6.24679, 'Yes': -7.111067, ' No': -8.377195, ' yes': -9.437393}
{' Yes': -0.031342268, ' No': -3.5556703, ' Wind': -6.552311, 'Yes': -7.3689084, ' yes': -9.552575}
{' Yes': -0.0022113477, 'Yes': -6.714726, ' Foot': -7.755757, ' No': -8.180363, ' YES': -9.1903}
{' Yes': -0.5496561, ' Foot': -0.88115907, 'Yes': -6.1408997, ' No': -6.366661, ' YES': -7.0691514}
{' Yes': -0.10812441, ' Hate': -2.7024121, ' No': -3.6006284, ' Hat': -5.8551526, ' Nope': -6.2292137}
{' Yes': -0.26989615, ' Hate': -2.1962495, ' No': -2.3295655, ' Nope': -4.425407, ' Hat': -4.6659045}
{' No': -0.049979057, ' Yes': -3.053155, 'No': -6.5495915, 'Yes': -9.707654, ' Nope': -10.204213}
{' Yes': -0.002846316, ' No': -6.31984, 'Yes': -7.0503216, ' yes': -9.48338, ' YES': -10.088758}
{' Yes': -0.022932183, ' Ring': -4.3145313, 'Yes': -6.2988186, ' No': -6.695982, ' Bing': -6.895586}
{' Yes': -0.016494164, ' Ring': -5.1527205, ' No': -5.3722243, ' Gr': -6.4841332, 'Yes': -6.5969787}
{' Yes': -0.0017091484, 'Yes': -7.2087154, ' No': -7.6605644, ' Bear': -8.28923, ' yes': -9.087877}
{' Yes': -0.013676251, ' Bear': -4.531752, 'Yes': -6.5461965, ' Beer': -7.8611126, ' yes': -7.9579377}
{' Yes': -0.004187011, ' No': -5.694778, 'Yes': -7.3672338, ' YES': -9.320348, ' yes': -10.946912}
{' Yes': -0.009316575, ' No': -4.7498426, 'Yes': -7.539389, ' YES': -10.429956, ' yes': -10.923715}
{' Yes': -0.0032994538, 'Yes': -6.174007, ' No': -7.2483587, ' yes': -8.273026, ' YES': -9.356729}
{' Yes': -0.0046093185, 'Yes': -5.904952, ' No': -6.716669, ' yes': -7.9630995, ' YES': -9.212382}
{' Yes': -0.53518, ' No': -1.0470397, ' Skin': -2.8620405, ' Nope': -6.2603555, 'Yes': -6.655278}
{' Yes': -0.21481039, ' No': -1.9335927, ' Skin': -3.2491367, 'Yes': -5.607793, ' Nope': -6.0606375}
{' Yes': -0.11386876, ' No': -2.4542236, ' So': -4.2394824, ' Nope': -5.7251534, 'Yes': -5.932726}
{' Yes': -0.042469792, ' So': -3.978501, ' No': -4.1513696, 'Yes': -5.641701, ' Nope': -6.104775}
{' Yes': -0.00062086765, 'Yes': -7.5033903, ' No': -11.109126, ' yes': -11.359831, ' Yep': -11.470671}
{' Yes': -0.0015731436, 'Yes': -6.91071, ' Che': -8.181628, ' Yep': -9.852083, ' yes': -10.005414}
{' Yes': -0.0034495683, ' No': -6.03671, 'Yes': -7.087334, ' yes': -9.336712, ' YES': -9.998817}
{' Yes': -0.0033039968, 'Yes': -6.3479886, ' No': -7.3430095, ' yes': -8.262361, ' YES': -8.967609}
{' Yes': -0.027846113, ' No': -3.633246, 'Yes': -7.1168847, ' Nope': -9.0654545, 'No': -10.400519}
{' No': -0.34589633, ' Yes': -1.2342459, ' Nope': -7.2149034, 'No': -7.941666, 'Yes': -8.605356}
{' Yes': -0.3431232, ' Bike': -1.508006, ' Bicycle': -3.2125192, ' B': -4.0773187, ' No': -5.0832334}
{' Yes': -0.10264628, ' Bike': -2.8598273, ' No': -3.4209883, ' Bicycle': -5.511809, 'Yes': -6.608463}
{' Yes': -0.2987752, ' No': -1.3654389, ' Nope': -7.1539245, 'Yes': -7.1561527, ' Dead': -7.2458415}
{' Yes': -0.16910714, ' No': -1.8956486, ' Dead': -5.7236876, 'Yes': -6.908939, ' Nope': -8.008771}
{' Yes': -0.00055126764, 'Yes': -7.5691066, ' yes': -10.534552, ' YES': -12.18893, '\n': -13.712128}
{' Cave': -0.3673513, ' Yes': -1.1979578, ' No': -6.4400744, 'Yes': -6.8491516, ' Wave': -7.2064576}
{' Yes': -0.07681089, ' Moon': -2.764019, ' No': -5.0322666, 'Yes': -6.103396, ' Moonlight': -7.7984653}
{' Yes': -0.04677249, ' Moon': -3.6556535, ' No': -4.7369237, 'Yes': -5.697321, ' Balloon': -5.778152}
{' Yes': -0.3265161, ' No': -1.4982975, ' Pain': -3.2982755, ' Paint': -5.029702, ' Nope': -5.612815}
{' Yes': -0.37591425, ' No': -1.1902052, ' Nope': -5.6097913, ' Pain': -6.540056, 'Yes': -6.5554895}
{' No': -0.4318605, ' Yes': -1.059773, ' Nope': -6.581484, ' Plus': -6.819943, 'Yes': -7.3305855}
{' No': -0.5110639, ' Yes': -0.9586786, ' Plus': -4.988784, ' Pl': -5.388658, ' Nope': -5.5798926}
{' Yes': -0.031700082, ' Area': -4.209448, ' No': -4.5725536, 'Yes': -5.9150043, ' Rare': -7.1261215}
{' Yes': -0.018587518, ' Area': -4.6185784, ' No': -5.532608, 'Yes': -6.0168242, ' Sure': -7.848645}
