{' Yes': -0.008686332, ' No': -5.233551, ' Spider': -6.134765, 'Yes': -7.0355487, ' The': -8.79744}
{' No': -0.00939551, ' Yes': -4.742916, 'No': -7.418279, ' ': -10.786206, 'Yes': -11.854103}
{' No': -0.001770768, 'No': -6.5584164, ' Yes': -8.756199, '\n': -9.261408, ' ': -9.519931}
{' Yes': -0.2032394, ' No': -1.7194386, ' Hunger': -5.590992, 'Yes': -7.676912, ' ': -8.6694765}
{' Yes': -0.008326973, ' No': -4.8724756, 'Yes': -7.698318, ' yes': -9.222251, ' Hunger': -10.5870695}
{' Yes': -0.108607054, ' No': -2.2842147, 'Yes': -7.340718, '\n': -8.829782, 'No': -9.188774}
{'\n': -0.36211696, ' Yes': -1.9213762, ' No': -1.934188, ' ': -4.81975, ' St': -7.2229333}
{' Yes': -0.6376905, ' No': -0.7624197, ' The': -6.7565713, 'Yes': -6.998916, ' Dagger': -7.108948}
{' No': -0.58282006, ' Yes': -0.82067025, 'No': -7.5375147, 'Yes': -7.616889, ' The': -8.649899}
{' No': -0.0244042, ' Yes': -3.7856536, 'No': -6.945848, ' ': -9.11432, ' The': -9.215554}
{' Yes': -0.17287505, ' No': -1.8572087, 'Yes': -6.9966393, ' Direct': -7.5566335, ' The': -8.345675}
{' Yes': -0.42333946, ' No': -1.0714145, ' The': -6.9932075, 'Yes': -7.2626047, ' yes': -7.9942694}
{' Yes': -0.1168482, ' No': -2.2150269, 'Yes': -7.511505, ' yes': -8.684254, ' The': -8.756809}
{' No': -0.18066518, ' Yes': -1.8225356, ' The': -6.1327477, 'No': -7.890841, ' ': -8.310281}
{' No': -0.6701302, ' Yes': -0.7744869, ' Office': -4.5139823, ' Off': -5.4439716, 'Yes': -6.003755}
{' No': -0.6265295, ' Yes': -0.76797664, 'Yes': -8.092628, ' The': -8.105865, 'No': -8.149784}
{' No': -0.30105364, ' Yes': -1.4999235, '\n': -4.170757, ' ': -5.105165, ' It': -5.5895686}
{' No': -0.028241491, ' Yes': -3.6465104, ' The': -7.6190543, 'No': -7.6354938, ' ': -8.102069}
{' No': -0.18663079, ' Yes': -1.78855, ' The': -6.589312, 'No': -7.606875, ' ': -7.7246156}
{' No': -0.034103792, ' Yes': -3.8619838, ' Issue': -5.7278957, 'No': -6.0905137, '\n': -6.551448}
{' No': -0.32365143, ' Yes': -1.2904159, 'No': -8.103454, '\n': -8.2230015, 'Yes': -8.342102}
{' Yes': -0.14663492, ' No': -2.0051801, 'Yes': -7.328288, ' The': -7.8835344, ' yes': -8.476661}
{' No': -0.496761, ' Yes': -0.94323313, 'No': -7.481652, ' ': -7.723249, 'Yes': -7.768645}
{' No': -0.0062440704, ' Yes': -5.2700815, 'No': -7.1162825, '\n': -9.689873, ' ': -9.9458475}
{' No': -0.014747378, ' Yes': -4.317754, 'No': -6.772487, 'Yes': -9.961932, ' ': -10.156258}
{' Yes': -0.50490284, ' No': -0.9391088, ' The': -6.364018, 'Yes': -6.433989, ' Sne': -7.2136626}
{' No': -0.01827023, ' Yes': -4.0742774, 'No': -7.2470007, ' Sne': -8.993418, '\n': -9.929924}
{' No': -0.0044272365, 'No': -6.186781, ' Yes': -6.3514347, ' ': -8.518818, ' Worse': -8.703047}
{' Yes': -0.23313059, ' No': -1.5831062, '\n': -6.9757357, 'Yes': -7.208333, ' The': -8.305974}
{' Yes': -0.09790144, ' No': -2.380956, 'Yes': -7.6253057, ' Purple': -8.909813, ' ': -10.022962}
{' Yes': -0.35029668, ' No': -1.438315, ' Purple': -2.8967478, ' Pur': -6.8869424, 'Yes': -7.2122426}
{' Yes': -0.041918933, ' No': -3.447852, ' Animal': -4.845153, 'Yes': -7.20748, ' ': -8.719787}
{' Yes': -0.21467711, ' No': -1.6690953, ' Animal': -5.9850817, 'Yes': -6.7730985, 'No': -8.095065}
{' Yes': -0.006740449, ' No': -5.688232, 'Yes': -6.7382727, ' The': -6.965007, ' yes': -7.604839}
{' Yes': -0.013067889, ' No': -4.937655, 'Yes': -5.7689342, ' yes': -6.836485, ' Hel': -7.2790785}
{' Yes': -0.53199315, ' No': -0.8873952, 'No': -7.917875, 'Yes': -8.075822, ' ': -9.772845}
{' Yes': -0.013951526, ' No': -4.345296, 'Yes': -7.3534613, ' yes': -9.387305, ' The': -9.634305}
{' Yes': -0.18598105, ' No': -1.7922698, 'Yes': -6.864789, '\n': -6.91627, ' The': -7.9943585}
{' Yes': -0.0037391556, 'Yes': -6.631064, ' ': -7.379238, ' YES': -7.5214047, '\n': -7.698523}
{' No': -0.119847484, ' Yes': -2.2156, 'No': -6.1456723, '\n': -7.37233, ' Unfortunately': -7.7101636}
{' No': -0.26858604, ' Yes': -1.4522085, 'No': -6.9989705, 'Yes': -8.039746, '\n': -9.712051}
{' No': -0.0027909067, 'No': -6.6138444, ' Yes': -6.992035, ' Dis': -7.8471093, '\n': -9.713153}
{' No': -0.014030947, ' Yes': -4.3435025, 'No': -7.8309326, ' ': -8.334074, '\n': -8.463518}
{' Yes': -0.42965412, ' No': -1.0569791, ' Divide': -7.3464646, 'Yes': -7.7507124, '\n': -8.489869}
{' Yes': -0.16947299, ' No': -1.8778433, 'Yes': -6.6264806, ' The': -7.4214406, ' yes': -7.940823}
{' Yes': -0.2287092, ' No': -1.5971651, 'Yes': -7.2604475, ' The': -7.866284, '\n': -8.108629}
{' Yes': -0.0969714, ' No': -2.470453, ' Hammer': -5.0279346, 'Yes': -7.2010765, ' ': -8.752165}
{' No': -0.007660487, ' Yes': -5.0378537, 'No': -7.5076375, ' The': -8.38434, '\n': -9.524875}
{' Yes': -0.17046554, ' No': -1.8728333, ' The': -6.7980804, 'Yes': -7.1165047, ' yes': -7.7238045}
{' No': -0.011110909, ' Yes': -4.6744885, 'No': -6.5936074, ' The': -8.775801, '\n': -9.524835}
{' Yes': -0.29386607, ' No': -1.4091481, ' The': -5.534991, 'Yes': -6.0128927, ' Mount': -6.6792607}
{' Yes': -0.31346944, ' No': -1.3744111, ' Ex': -4.1921864, 'Yes': -7.732322, ' The': -8.615538}
{' No': -0.032223158, ' Yes': -3.4859624, 'No': -7.339527, ' ': -8.959788, '\n': -9.039164}
{' No': -0.44416958, ' Yes': -1.0572047, ' Dollar': -4.703729, 'No': -7.4086347, ' ': -7.6453915}
{' Yes': -0.022035286, ' No': -3.8730428, 'Yes': -7.4746027, ' yes': -8.735873, ' Dollar': -9.489932}
{' No': -0.3259217, ' Planet': -1.4446808, ' Yes': -3.2089076, 'No': -7.0117106, 'Planet': -8.114932}
{' No': -0.063358605, ' Yes': -2.819685, 'No': -6.7439117, '\n': -8.810156, ' Planet': -8.903763}
{' Yes': -0.133567, ' No': -2.1085024, 'Yes': -6.040884, ' ': -8.022928, 'No': -8.202364}
{' Yes': -0.00692907, ' No': -5.1006885, 'Yes': -7.6982765, ' yes': -8.668881, ' ': -9.041848}
{' Yes': -0.0074005714, ' No': -5.8206954, 'Yes': -6.191995, ' Pres': -6.7031417, ' Ass': -7.1496735}
{' No': -0.48756638, ' Yes': -0.9630188, 'No': -6.3576984, 'Yes': -6.513374, '\n': -7.7888775}
{' No': -0.03329338, ' Yes': -3.818703, ' Circus': -5.064057, ' Circ': -6.029103, 'No': -7.1722565}
{' No': -0.6424465, ' Yes': -1.0884074, ' Circus': -2.715288, ' Circ': -2.8988094, ' Cir': -4.8951716}
{' No': -0.26137054, ' Yes': -1.487931, 'No': -6.5516396, 'Yes': -7.5295296, ' Not': -7.5899887}
{' Yes': -0.0947468, ' No': -2.4571927, 'Yes': -6.0214047, ' The': -7.5335064, ' yes': -7.559}
{' No': -0.6874962, ' Yes': -0.70214653, 'No': -7.575691, 'Yes': -7.9370627, ' Finger': -8.190054}
{' Yes': -0.25870094, ' No': -1.6031489, ' Finger': -3.7195141, 'Yes': -6.9916396, 'No': -7.727609}
{' Yes': -0.026607767, ' No': -4.1225624, 'Yes': -5.5386486, ' The': -5.656662, ' Law': -6.5298324}
{' Yes': -0.583495, ' No': -0.8382959, ' The': -5.538829, 'Yes': -6.7608867, ' yes': -6.929176}
{' Yes': -0.21025358, ' No': -1.6739529, 'Yes': -7.0624356, '\n': -8.124523, ' ': -8.359204}
{' Yes': -0.006153685, ' No': -5.7255616, ' The': -6.6836286, 'Yes': -6.8196435, ' Unfortunately': -8.889696}
{' No': -0.16604222, ' Yes': -1.9050272, 'No': -6.0666976, ' Cancer': -7.41134, ' The': -8.005051}
{' No': -0.6075398, ' Yes': -0.88620543, ' Cancer': -4.140743, ' Cance': -4.209972, ' The': -5.5626326}
{' Yes': -0.0062952316, ' No': -6.0490785, 'Yes': -6.080136, ' Sc': -6.9990582, ' yes': -7.683112}
{' Yes': -0.030954147, ' No': -3.595077, 'Yes': -6.148797, ' yes': -7.9563894, ' Sc': -8.874534}
{' No': -0.32928273, ' Yes': -1.2757187, 'No': -7.278068, 'Yes': -8.187888, '\n': -8.904821}
{' No': -0.04417789, ' Yes': -3.232086, 'No': -6.1053467, ' ': -6.8570843, 'Yes': -8.617222}
{' Yes': -0.47142777, ' No': -0.98275363, 'Yes': -7.362411, 'No': -7.9092555, ' The': -8.68688}
{' No': -0.06902396, ' Yes': -2.7419593, 'No': -6.9395523, '\n': -7.5841694, ' ': -7.9476037}
{' No': -0.6619107, ' Yes': -0.7281625, 'Yes': -7.678424, 'No': -7.7695227, ' The': -8.793339}
{' No': -0.24396549, ' Yes': -1.538258, 'No': -6.9566116, 'Yes': -8.103885, ' ': -8.780899}
{' Yes': -0.018520724, ' No': -4.0326004, 'Yes': -7.6593075, ' Cow': -9.95282, ' yes': -10.24038}
{' Yes': -0.06409253, ' No': -2.8291373, 'Yes': -6.419124, '\n': -8.206529, ' yes': -8.410525}
{' Yes': -0.016451752, ' No': -4.2032247, 'Yes': -6.903057, ' ': -9.247225, ' yes': -9.335299}
{' No': -0.4894088, ' Yes': -0.95784414, ' Finish': -6.7891216, 'No': -7.1999817, 'Yes': -7.4900312}
{' No': -0.040554717, ' Yes': -3.2723794, 'No': -6.8419957, '\n': -8.469989, ' The': -8.533595}
{' Yes': -0.38661563, ' No': -1.1454524, 'Yes': -7.119594, 'No': -7.7621894, ' ': -7.7775564}
{' No': -0.15978236, ' Yes': -1.9438457, ' Repeat': -5.5504794, 'No': -7.941326, '\n': -9.639937}
{' Yes': -0.43216437, ' No': -1.0515664, ' The': -7.7486467, 'Yes': -7.939595, 'No': -8.340673}
{' Yes': -0.18978423, ' No': -1.7930081, ' Spider': -5.5107985, 'Yes': -6.988628, ' The': -7.3869286}
{' Yes': -0.033025302, ' No': -3.4906893, 'Yes': -6.9016504, ' The': -7.927506, ' yes': -8.293311}
{' Yes': -0.047960326, ' No': -3.0902402, 'Yes': -7.065706, ' Candle': -9.250383, ' The': -9.275108}
{' Yes': -0.4692032, ' Candle': -1.3909961, ' No': -2.3522694, ' Cand': -3.7440233, 'Yes': -6.271303}
{' No': -0.14943995, ' Yes': -2.0108156, 'No': -6.162141, ' The': -6.381072, '\n': -8.159757}
{' No': -0.20521645, ' Yes': -1.7060479, 'No': -6.3398275, '\n': -7.1334157, ' The': -7.6440344}
{' Yes': -0.14420398, ' No': -2.3483877, ' Beach': -3.6745174, 'Yes': -5.2511697, ' Ble': -5.9714518}
{' Yes': -0.04100198, ' No': -3.3101153, 'Yes': -6.0420027, ' yes': -7.970797, ' The': -8.154708}
{' No': -0.4964933, ' Yes': -0.9488936, 'No': -6.164876, 'Yes': -6.913396, ' The': -7.6500063}
{' Yes': -0.008268614, ' No': -4.9399037, 'Yes': -7.242664, ' yes': -8.424695, ' The': -9.436981}
{' No': -0.0026907322, 'No': -6.1776323, ' Yes': -7.5834303, ' ': -10.147552, ' Unfortunately': -10.400695}
{' No': -0.058149014, ' Yes': -2.9215271, 'No': -6.4772353, ' The': -7.4188457, '\n': -9.019567}
{' No': -0.024594285, ' Yes': -3.8353777, 'No': -5.994061, ' The': -9.904049, 'Yes': -10.059045}
{' No': -0.0262022, ' Yes': -4.0534925, 'No': -5.030837, ' Indian': -6.846794, ' India': -8.373713}
{' Yes': -0.0012724282, 'Yes': -6.830894, ' No': -9.293417, ' yes': -10.264935, ' ': -10.451206}
{' Yes': -0.06878232, ' No': -2.752355, 'Yes': -6.335452, ' ': -8.195245, '\n': -8.349626}
{' No': -0.19747126, ' Yes': -1.7889458, 'No': -4.7844176, ' Hungry': -6.343101, 'Yes': -6.8093944}
{' Yes': -0.091521, ' No': -2.4684227, 'Yes': -6.5182285, '\n': -7.86911, ' The': -8.075857}
{' No': -0.0028335834, 'No': -5.949424, ' Yes': -9.235667, ' ': -9.861899, '\n': -10.545978}
{' No': -0.008258219, 'No': -5.188266, ' Yes': -6.126763, ' ': -8.5372095, ' Number': -9.43467}
{' No': -0.13207366, ' Yes': -2.114732, 'No': -6.2883115, ' The': -7.9500837, '\n': -8.109824}
{' No': -0.008754515, ' Yes': -5.0439982, 'No': -6.357835, ' ': -8.535174, ' The': -9.025395}
{' Yes': -0.0032928167, 'Yes': -5.762774, ' yes': -9.720921, ' No': -10.47438, ' ': -10.743658}
{' Yes': -0.0029012514, 'Yes': -6.358848, ' No': -7.1209316, ' yes': -8.852126, ' ': -9.549695}
{' No': -0.09627649, ' Yes': -2.4332669, 'No': -5.958262, ' The': -7.723276, 'Yes': -8.275891}
{' No': -0.5092254, ' Yes': -0.9359222, 'No': -5.9369593, 'Yes': -6.428457, ' The': -6.832045}
{' Yes': -0.024517626, ' No': -3.8054185, 'Yes': -6.415602, ' ': -9.468794, ' yes': -9.475193}
{' Yes': -0.18788859, ' No': -1.7824416, 'Yes': -6.404859, ' The': -7.3533335, 'No': -8.120681}
{' No': -0.17155068, ' Yes': -1.8796424, 'No': -5.8149333, ' ': -7.278623, 'Yes': -7.6459785}
{' No': -0.42815334, ' Yes': -1.0799152, 'No': -5.6539717, 'Yes': -6.379662, ' Nope': -6.85189}
{' No': -0.2128245, ' Yes': -1.6627471, 'No': -6.6857967, 'Yes': -7.9886837, ' The': -8.587215}
{' No': -0.035571564, ' Yes': -3.4478962, 'No': -6.036912, ' The': -8.432742, ' ': -8.686057}
{' Yes': -0.0041498425, ' No': -6.1317167, 'Yes': -6.317633, ' yes': -9.857415, ' ': -9.971732}
{' Yes': -0.002813498, ' No': -6.5165806, 'Yes': -6.808454, ' ': -9.604712, '\n': -9.6582775}
{' Yes': -0.15095207, ' No': -2.002749, 'Yes': -5.6529107, ' Leaves': -7.7698693, ' The': -7.8510933}
{' Yes': -0.05550479, ' No': -2.9965446, 'Yes': -5.65029, ' yes': -8.81528, 'No': -9.392003}
{' No': -0.0109321615, 'No': -4.884164, ' Yes': -5.779613, ' ': -9.4343195, '\n': -9.786974}
{' No': -0.6667512, ' Yes': -0.7303174, 'No': -6.607888, 'Yes': -6.703506, ' Ending': -6.977651}
{' Yes': -0.14646715, ' No': -2.0210915, 'Yes': -6.409979, ' The': -7.014976, ' Energy': -7.8765903}
{' Yes': -0.31687284, ' No': -1.8799318, ' Energy': -2.1696522, 'Yes': -6.4855757, ' energy': -7.2795677}
{' Yes': -0.27918032, ' No': -1.4358728, 'Yes': -5.761764, 'No': -6.3235297, ' Father': -8.155738}
{' Yes': -0.14162329, ' No': -2.0401313, 'Yes': -6.6159353, 'No': -8.117203, ' ': -9.080463}
{' No': -0.044337574, ' Yes': -3.1879568, 'No': -6.670308, ' The': -8.145761, ' ': -8.636589}
{' No': -0.0054702894, ' Yes': -5.9422703, 'No': -6.0662193, ' Unfortunately': -8.802345, ' Nope': -8.828434}
{' Yes': -0.04358531, ' No': -3.217709, 'Yes': -6.462229, ' The': -7.845415, ' yes': -8.535515}
{' No': -0.014608686, 'No': -4.36874, '\n': -7.4032974, ' Yes': -7.4672446, ' ': -7.669151}
{' Yes': -0.0031751925, 'Yes': -5.7798, '\n': -10.469029, ' yes': -10.803645, ' No': -11.130979}
{' Yes': -0.0008722881, 'Yes': -7.243014, ' No': -9.445677, ' yes': -9.979654, ' The': -11.067612}
{' Yes': -0.04826113, ' No': -3.1191838, 'Yes': -6.5609145, ' The': -6.9776926, ' yes': -8.767713}
{' Yes': -0.03771266, ' No': -3.7632527, ' Seller': -4.630503, 'Yes': -6.029827, ' yes': -7.226319}
{' No': -0.28927597, ' Yes': -1.4048116, 'No': -6.0949793, ' Bl': -6.1164293, 'Yes': -7.507457}
{' No': -0.04108141, ' Yes': -3.2889297, 'No': -6.401562, ' The': -8.114639, ' no': -8.559029}
{' Yes': -0.44572157, ' No': -1.0291985, 'Yes': -7.176459, 'No': -7.2533536, ' The': -7.7055516}
{' Yes': -0.026406463, ' No': -3.773864, 'Yes': -6.18343, ' ': -7.930316, ' The': -8.778408}
{' Yes': -0.19459729, ' No': -1.7424488, 'Yes': -6.684807, 'No': -7.9603186, ' The': -9.969774}
{' No': -0.12029806, ' Yes': -2.1991155, 'No': -6.3534665, ' The': -8.313232, 'Yes': -8.372958}
{' Yes': -0.0031293302, 'Yes': -6.248868, ' No': -6.978242, ' The': -9.070381, ' yes': -9.777923}
{' Yes': -0.009488654, ' No': -4.937692, 'Yes': -6.1952834, ' yes': -9.42624, ' Parent': -10.035943}
{' Yes': -0.0018646969, 'Yes': -6.3964243, ' No': -9.157939, ' yes': -9.987724, '\n': -11.042049}
{' No': -0.48149753, ' Yes': -0.98603517, 'No': -5.3456006, 'Yes': -6.1804543, '\n': -6.8277917}
{' No': -0.0063434583, ' Yes': -5.5700583, 'No': -6.136228, ' The': -8.442149, ' ': -10.258151}
{' No': -0.006223918, 'No': -5.6649284, ' Yes': -6.060583, '\n': -8.966963, ' ': -9.097881}
{' No': -0.41237354, ' Yes': -1.0968351, 'No': -6.669471, ' The': -6.7549105, 'Yes': -7.0025887}
{' Yes': -0.1800499, ' No': -1.9374694, 'Yes': -4.8153286, ' Stars': -5.164177, ' The': -5.9039}
{' Yes': -0.0074517922, ' No': -5.4542766, 'Yes': -6.184745, ' yes': -7.9494486, ' The': -8.023601}
{' Yes': -0.51068574, ' No': -0.993697, ' Doctor': -3.640664, 'Yes': -6.8226323, 'No': -6.892878}
{' No': -0.0035376756, 'No': -5.789616, ' Yes': -7.8439984, ' ': -10.533355, '\n': -11.038407}
{' No': -0.04638426, ' Yes': -3.1571474, 'No': -6.165033, '\n': -8.646451, ' The': -8.7499}
{' No': -0.028184842, ' Yes': -3.641685, 'No': -6.836757, ' ': -8.834905, '\n': -8.957502}
{' No': -0.030787682, ' Yes': -3.645047, 'No': -5.6521654, ' The': -8.322569, 'Yes': -8.907822}
{' No': -0.10523522, ' Yes': -2.3870554, 'No': -5.7782564, ' Bucket': -6.374718, ' The': -6.896693}
{' No': -0.16536957, ' Yes': -1.9522406, ' The': -5.816835, ' Bucket': -6.051566, 'No': -6.155233}
{' Yes': -0.2610465, ' No': -1.5630045, ' States': -4.7302923, 'Yes': -4.904464, ' The': -6.410481}
{' No': -0.17129181, ' Yes': -1.871363, 'No': -6.363838, 'Yes': -6.929377, ' The': -8.246789}
{' Yes': -0.045993816, ' No': -3.1352763, 'Yes': -6.6714096, ' ': -9.848349, 'No': -9.8512}
{' No': -0.5904045, ' Yes': -0.8146438, 'Yes': -6.7338676, 'No': -6.8506985, ' The': -7.850321}
{' No': -0.013886492, ' Yes': -4.7260656, ' Ex': -6.136861, 'No': -6.196494, ' The': -8.467992}
{' No': -0.48312542, ' Yes': -0.99048406, 'No': -5.7707105, ' Hal': -6.2919335, 'Yes': -6.3487334}
{' Yes': -0.06410931, ' No': -3.3745205, ' Loving': -3.9400816, 'Yes': -5.484058, '\n': -6.113855}
{' No': -0.47590855, ' Yes': -0.9813025, 'No': -6.4644084, 'Yes': -7.0114403, ' The': -7.6533585}
{' No': -0.0201571, ' Yes': -3.9954875, 'No': -6.626028, ' ': -9.302048, '\n': -10.099327}
{' No': -0.069118865, ' Yes': -2.7387373, 'No': -6.739157, ' The': -7.688887, ' ': -8.550911}
{' Yes': -0.16368547, ' No': -1.9562192, ' ': -5.766644, 'Yes': -5.828127, ' Butter': -6.554028}
{' Yes': -0.01706902, ' No': -4.2995586, 'Yes': -5.8137646, ' yes': -8.784601, 'No': -9.591562}
{' No': -0.24565665, ' Yes': -1.5372921, 'No': -6.139863, 'Yes': -7.7289305, ' ': -8.801812}
{' Yes': -0.019855972, ' No': -4.031653, 'Yes': -6.594507, ' ': -8.739601, ' The': -9.03554}
{' No': -0.014293563, ' Yes': -4.4256306, 'No': -6.426231, ' The': -7.871853, ' ': -9.627438}
{' No': -0.024799684, ' Yes': -3.8580077, 'No': -6.0293293, ' The': -7.8721404, ' ': -9.272389}
{' Yes': -0.57602805, ' No': -0.90023535, ' She': -3.9098997, 'Yes': -5.3662033, ' Sheet': -6.2708974}
{' No': -0.27998573, ' Yes': -1.4274199, 'No': -6.17054, 'Yes': -6.7260323, '\n': -7.804991}
{' Yes': -0.385439, ' No': -1.1531849, 'Yes': -6.270841, 'No': -6.957191, ' The': -7.594024}
{' No': -0.5180021, ' Yes': -0.9167276, ' The': -6.318548, 'No': -6.7865906, 'Yes': -6.9586773}
{' No': -0.18514292, ' Yes': -1.7881837, 'No': -6.7076163, 'Yes': -8.228203, ' ': -9.7847}
{' Yes': -0.16310932, ' No': -1.9142156, 'Yes': -6.2660675, ' The': -7.950979, 'No': -8.18181}
{' No': -0.08116642, ' Yes': -2.579173, 'No': -6.6574736, ' The': -7.799407, ' ': -8.747502}
{' No': -0.06250839, ' Yes': -2.8766677, ' Minute': -5.921149, 'No': -6.8438706, ' The': -8.9755}
{' No': -0.23587672, ' Yes': -1.5789571, 'No': -5.929495, 'Yes': -7.3397617, ' Car': -8.475019}
{' No': -0.30693886, ' Yes': -1.3443705, 'No': -6.1874504, 'Yes': -7.2148438, ' The': -8.259314}
{' Yes': -0.22188918, ' No': -1.6273477, 'Yes': -6.913398, ' The': -7.402984, ' yes': -7.7309833}
{' No': -0.6227113, ' Yes': -0.7764856, 'No': -6.5869255, 'Yes': -7.013979, ' The': -7.1389694}
{' No': -0.2380519, ' Yes': -1.5667967, 'No': -6.0973296, 'Yes': -7.680906, '\n': -9.14119}
{' No': -0.0068318467, 'No': -5.1997905, ' Yes': -7.0179977, ' Not': -8.776191, '\n': -8.838972}
{' No': -0.002296777, 'No': -6.362755, ' Yes': -7.745615, ' The': -10.001688, ' ': -10.727479}
{' No': -0.0057987724, ' Yes': -5.657559, 'No': -6.1644993, '\n': -9.89468, ' Not': -9.923012}
{' Yes': -0.04640462, ' No': -3.142754, 'Yes': -6.7506375, ' The': -7.3857784, '\n': -8.842072}
{' Yes': -0.12533493, ' No': -2.164813, 'Yes': -6.2804685, 'No': -7.7792826, ' The': -7.9768934}
{' Yes': -0.0025981006, 'Yes': -6.107275, ' No': -8.826977, ' yes': -9.339949, '\n': -9.91465}
{' Yes': -0.008392487, ' No': -5.2217674, 'Yes': -6.1388054, ' The': -8.077494, '\n': -8.583612}
{' No': -0.37160873, ' Yes': -1.1832161, 'No': -6.8469234, ' The': -6.871658, 'Yes': -7.4481044}
{' No': -0.636823, ' Yes': -0.8404058, ' Mus': -4.058023, ' Muscle': -4.610054, 'No': -6.043888}
{' No': -0.14270504, ' Yes': -2.0457752, 'No': -6.535193, ' The': -6.761748, ' ': -7.9418683}
{' No': -0.60522217, ' Empire': -1.1742014, ' Yes': -2.5013099, ' Em': -3.5805047, ' Emperor': -3.7184842}
{' No': -0.013991599, ' Yes': -4.375972, 'No': -6.6930056, ' ': -10.511369, 'Yes': -10.914111}
{' No': -0.0041156663, 'No': -5.5287604, ' Yes': -9.897681, '\n': -10.190708, ' ': -10.340002}
{' Yes': -0.66171515, ' No': -0.732823, 'No': -6.51043, 'Yes': -6.8751225, ' Hunger': -7.7521787}
{' Yes': -0.03586053, ' No': -3.3889163, 'Yes': -6.712875, ' yes': -9.397148, 'No': -9.483404}
{' Yes': -0.12098701, ' No': -2.1874924, 'Yes': -6.728096, 'No': -8.337439, ' ': -9.12434}
{' Yes': -0.44365218, '\n': -1.291131, ' No': -2.6615267, ' ': -5.4004717, 'Yes': -5.6953664}
{' Yes': -0.6189181, ' No': -0.7838027, ' The': -6.4673085, 'Yes': -6.643767, 'No': -6.8566456}
{' No': -0.22871265, ' Yes': -1.601357, 'No': -6.200306, 'Yes': -7.6977296, ' The': -8.860197}
{' No': -0.0053534308, ' Yes': -5.640025, 'No': -6.4667463, ' ': -9.363784, ' The': -10.032403}
{' Yes': -0.12184164, ' No': -2.1860545, 'Yes': -6.6013813, ' The': -8.079414, 'No': -8.36474}
{' Yes': -0.60649955, ' No': -0.79542434, 'Yes': -6.77931, 'No': -6.9445214, ' The': -7.1069393}
{' Yes': -0.59589565, ' No': -0.8069056, 'Yes': -6.9244304, 'No': -6.981884, ' The': -7.969095}
{' No': -0.3995189, ' Yes': -1.1194115, ' The': -6.7897563, 'No': -7.2972274, 'Yes': -7.4939685}
{' Yes': -0.10149624, ' No': -2.3981233, 'Yes': -5.7550645, ' The': -7.170708, ' ': -7.665379}
{' Yes': -0.33486867, ' No': -1.2632763, 'Yes': -6.9376497, 'No': -7.8001585, ' ': -8.853137}
{' No': -0.18418619, ' Yes': -1.9322501, '\n': -4.6656218, 'No': -5.266513, ' It': -5.8508196}
{' No': -0.028507803, ' Yes': -3.670792, 'No': -6.6917443, ' The': -7.453625, ' ': -7.9457545}
{' No': -0.1491228, ' Yes': -2.0100255, ' The': -6.1330433, 'No': -6.6025147, ' ': -7.959355}
{' No': -0.015385263, ' Yes': -4.47774, 'No': -5.8907914, '\n': -8.239521, ' Nope': -8.3526945}
{' No': -0.16429897, ' Yes': -1.899475, 'No': -6.860927, 'Yes': -7.939491, '\n': -8.928869}
{' Yes': -0.3390331, ' No': -1.2555447, 'Yes': -6.8779345, ' The': -7.5140247, 'No': -7.7712297}
{' No': -0.5951986, ' Yes': -0.80844396, 'No': -6.7386727, 'Yes': -6.9501176, ' ': -8.167438}
{' No': -0.015187054, ' Yes': -4.4538713, 'No': -5.817629, ' The': -8.968186, 'Yes': -9.317463}
{' No': -0.012352716, ' Yes': -4.6570997, 'No': -5.948239, 'Yes': -9.814262, ' The': -10.376401}
{' No': -0.6401001, ' Yes': -0.7574651, 'Yes': -6.455845, ' The': -7.0116873, 'No': -7.1081862}
{' No': -0.0073841177, ' Yes': -5.1785607, 'No': -6.571404, ' ': -9.513224, ' Sne': -9.918403}
{' No': -0.009796909, 'No': -4.8412843, ' Yes': -6.456597, ' ': -8.978674, '\n': -9.791328}
{' Yes': -0.5841408, ' No': -0.82643324, 'Yes': -6.4268064, 'No': -6.5785027, '\n': -7.179557}
{' No': -0.2733172, ' Yes': -1.4391764, 'No': -6.5637794, 'Yes': -7.789182, ' ': -9.474107}
{' No': -0.19700663, ' Yes': -1.7386441, 'No': -6.39456, ' Purple': -7.250913, 'Yes': -7.880947}
{' Yes': -0.041341227, ' No': -3.390109, ' Animal': -5.7169847, 'Yes': -6.104314, ' The': -7.482629}
{' Yes': -0.2518528, ' No': -1.539481, 'Yes': -5.8642445, ' Animal': -6.4316087, ' The': -6.516854}
{' Yes': -0.0033864703, 'Yes': -6.090276, ' The': -7.772179, ' No': -8.018876, ' yes': -8.476038}
{' Yes': -0.011211206, ' No': -4.881338, 'Yes': -5.8926673, ' yes': -7.8143253, ' The': -8.628774}
{' No': -0.6583452, ' Yes': -0.733262, 'No': -6.7492776, 'Yes': -7.40084, ' ': -9.399135}
{' Yes': -0.10034009, ' No': -2.3708117, 'Yes': -6.5320115, 'No': -8.257378, ' ': -9.26466}
{' Yes': -0.6230304, ' No': -0.7787236, 'Yes': -6.4716687, 'No': -6.471886, ' The': -7.305535}
{' Yes': -0.0027915037, 'Yes': -6.2554674, ' No': -8.336463, ' ': -8.4379015, ' YES': -8.7979145}
