{' Up': -0.80227643, ' Down': -1.2832868, ' down': -1.5959585, ' up': -2.6505296, ' "': -7.713283}
{' Down': -0.082437776, ' down': -3.092924, ' Up': -3.410471, ' up': -7.8213744, 'Down': -8.230992}
{' Down': -0.36410254, ' Up': -1.3472016, ' down': -3.2102103, ' up': -5.3741393, 'Down': -8.749145}
{' Down': -0.11767021, ' down': -2.2010577, 'Down': -8.531602, 'down': -9.542883, ' Up': -9.930014}
{' Down': -0.049510963, ' down': -3.3412035, ' Up': -4.4010925, 'Down': -7.717344, 'down': -9.1441}
{' Up': -0.49452472, ' Down': -0.96590686, ' down': -5.0271535, ' up': -5.950016, 'Down': -8.448177}
{' Down': -0.69194835, ' Up': -0.730946, ' down': -4.2998257, ' up': -5.5352, 'Down': -8.178808}
{' Down': -0.043721795, ' down': -3.1725724, 'Down': -7.5248294, ' Up': -8.601367, 'down': -8.835122}
{' Down': -0.08749827, ' down': -2.5251126, ' Up': -5.826248, 'Down': -7.552193, 'down': -8.51668}
{' Up': -0.099066146, ' Down': -2.434498, ' up': -5.545662, ' down': -5.972481, 'Up': -9.144733}
{' Up': -0.11000929, ' Down': -2.3598566, ' up': -5.09151, ' down': -5.698039, 'Up': -9.249827}
{' Down': -0.07085027, ' down': -2.6985223, 'Down': -7.523828, ' Up': -7.9538074, 'down': -8.686322}
{' Down': -0.63707167, ' down': -0.7727624, ' Up': -4.8386745, ' up': -7.0089355, 'Down': -7.904262}
{' Down': -0.3930051, ' down': -1.4562833, ' Up': -2.4836175, ' up': -4.8489375, 'Down': -7.9051027}
{' Up': -0.7106487, ' Down': -1.4569772, ' down': -1.8062584, ' up': -2.1974785, 'Down': -8.780932}
{' down': -0.48709762, ' Down': -0.95502365, 'down': -8.2011385, 'Down': -8.225566, ' Up': -8.581643}
{' Down': -0.15366724, ' down': -1.9922941, ' Up': -5.406465, 'Down': -6.7862697, 'down': -8.028995}
{' Up': -0.1830073, ' Down': -1.8423337, ' down': -5.441169, ' up': -5.534814, 'Up': -8.378564}
{' Up': -0.13873583, ' Down': -2.1220922, ' up': -5.1697035, ' down': -5.6033235, 'Up': -8.747153}
{' Down': -0.12736183, ' down': -2.1369424, 'Down': -6.837982, 'down': -8.026182, ' Up': -8.962894}
{' Down': -0.019725198, ' down': -4.056922, ' Up': -6.2504625, 'Down': -8.389969, 'down': -9.827735}
{' Down': -0.17601745, ' Up': -1.8903481, ' down': -4.640472, ' up': -7.733196, 'Down': -8.4269}
{' Down': -0.13534884, ' Up': -2.159862, ' down': -4.562389, ' up': -7.4228945, 'Down': -8.784873}
{' Down': -0.027521584, ' down': -3.6419854, ' Up': -7.2942014, 'Down': -8.647246, 'down': -9.5632515}
{' down': -0.9516186, ' Down': -1.124787, ' Up': -1.4995694, ' up': -2.782057, 'Down': -6.131354}
{' Up': -1.020445, ' down': -1.3653414, ' Down': -1.4832726, ' up': -1.8670485, 'Down': -6.6790695}
{' Up': -0.85302114, ' up': -1.2639327, ' down': -1.7761568, ' Down': -2.1295428, 'Up': -6.9879084}
{' down': -0.43183625, ' Down': -1.1025915, ' Up': -4.5800924, ' up': -5.5559645, 'down': -6.0854425}
{' Down': -0.22780307, ' Up': -1.797076, ' down': -3.33302, ' up': -6.36438, 'Down': -7.807991}
{' Down': -0.057091743, ' down': -2.8985167, 'Down': -8.099856, 'down': -9.649849, ' DOWN': -10.886491}
{' Down': -0.41191715, ' down': -1.0882897, 'Down': -7.7447076, 'down': -8.257487, ' Up': -9.401377}
{' Down': -0.07778776, ' down': -2.600037, 'Down': -7.9919887, ' Up': -9.103985, 'down': -9.387413}
{' Down': -0.08574475, ' Up': -2.739374, ' down': -4.1216946, 'Down': -7.1046515, ' up': -7.982702}
{' Down': -0.03196884, ' down': -3.4852672, 'Down': -7.30681, 'down': -8.960729, ' DOWN': -10.992688}
{' Down': -0.15278848, ' down': -1.9639838, 'Down': -7.058193, 'down': -7.7700515, ' Up': -9.786407}
{' Down': -0.048486155, ' down': -3.0787404, 'Down': -7.0462117, 'down': -8.389943, ' Up': -8.673867}
{' Down': -0.21353221, ' Up': -2.0120609, ' down': -2.9009614, 'Down': -6.479768, ' up': -6.593999}
{' Down': -0.10202601, ' down': -2.3518732, 'Down': -6.6567626, 'down': -7.720285, ' DOWN': -9.61893}
{' Down': -0.33277255, ' down': -1.2722543, 'Down': -6.52062, 'down': -6.705022, ' DOWN': -8.912597}
{' Down': -0.10385239, ' down': -2.3390932, 'Down': -6.4953337, 'down': -7.501124, ' DOWN': -9.090417}
{' Down': -0.2828064, ' down': -2.0458183, ' Up': -2.1898575, ' up': -5.5415726, 'Down': -7.0802016}
{' Down': -0.27417427, ' down': -1.4319978, 'Down': -7.2824597, 'down': -8.449721, ' DOWN': -9.678903}
{' down': -0.43054664, ' Down': -1.053502, 'Down': -7.5688825, 'down': -7.6626077, ' DOWN': -9.383309}
{' Down': -0.32778785, ' down': -1.2818513, 'Down': -6.936741, 'down': -7.711821, ' Up': -7.7824917}
{' Down': -0.098921835, ' down': -2.5374727, ' Up': -4.552928, 'Down': -5.7177114, 'down': -6.912722}
{' Down': -0.094504766, ' down': -2.433889, 'Down': -6.2599154, 'down': -7.6350794, ' DOWN': -9.39778}
{' Down': -0.38981932, ' down': -1.155328, 'Down': -5.3388968, 'down': -5.8762293, ' DOWN': -8.400258}
{' Down': -0.05490723, ' down': -2.9901984, 'Down': -5.9686627, 'down': -7.6257095, ' DOWN': -9.275852}
{' Down': -0.037139792, ' Up': -3.7365854, ' down': -4.4384933, 'Down': -7.4497027, 'down': -9.23667}
{' Down': -0.00846696, ' down': -4.827898, 'Down': -7.9224796, 'down': -9.897871, ' DOWN': -11.179665}
{' Down': -0.1124372, ' down': -2.2503805, 'Down': -7.5320673, 'down': -7.9593225, ' DOWN': -9.60444}
{' Down': -0.019711524, ' down': -3.9751062, 'Down': -7.5712094, 'down': -9.0841055, ' Up': -9.610665}
{' Up': -0.7196686, ' Down': -1.4100239, ' down': -1.8801395, ' up': -2.191493, 'Down': -6.358533}
{' Down': -0.61095965, ' down': -0.79582757, 'Down': -5.6502547, 'down': -6.118549, ' DOWN': -9.211461}
{' down': -0.47044963, ' Down': -1.005871, 'down': -5.394537, 'Down': -5.7451053, ' Up': -6.8384585}
{' Down': -0.468704, ' down': -1.1645658, ' Up': -3.0957007, ' up': -4.5707507, 'Down': -5.6724997}
{' Down': -0.07801792, ' down': -2.6040342, ' Up': -7.322391, 'Down': -8.243854, ' DOWN': -9.540469}
{' Up': -0.007811077, ' up': -4.95982, ' UP': -7.913065, ' Down': -7.945553, 'Up': -10.390446}
{' Down': -0.5599126, ' Up': -1.1619099, ' down': -2.4385042, ' up': -3.581151, ' UP': -8.175828}
{' Up': -0.24705113, ' up': -2.4232976, ' Down': -2.5327928, ' down': -3.0152338, ' UP': -6.45724}
{' down': -0.6039115, ' Down': -0.79455096, 'down': -7.1150846, 'Down': -7.2600102, ' DOWN': -11.129987}
{' Up': -0.033902824, ' up': -3.415788, ' UP': -8.45073, 'Up': -8.478763, 'up': -10.392326}
{' down': -0.586565, ' Down': -0.8208942, 'down': -6.2372055, 'Down': -6.846681, ' Up': -7.9673877}
{' Up': -0.28028616, ' up': -1.4259541, ' UP': -6.4947386, ' down': -6.675067, ' Down': -7.0627966}
{' Down': -0.56538844, ' down': -0.84569997, 'down': -6.5523343, 'Down': -6.9011803, ' DOWN': -9.063814}
{' Up': -0.019900054, ' up': -3.9771254, ' UP': -7.3186574, 'Up': -8.449448, 'up': -10.221266}
{' down': -0.6582064, ' Down': -0.78226805, ' Up': -4.2828956, 'down': -5.475951, ' up': -5.726299}
{' Up': -0.20801382, ' up': -1.7466986, ' UP': -5.359661, ' down': -5.371437, ' Down': -5.7393017}
{' down': -0.4108451, ' Down': -1.0918486, 'down': -7.460943, 'Down': -7.5862007, ' DOWN': -9.175589}
{' Up': -0.14743406, ' up': -1.9975221, ' UP': -6.992643, ' Down': -8.600024, ' down': -8.843797}
{' down': -0.34271258, ' Down': -1.3231908, ' up': -4.4710293, ' Up': -4.5299053, 'down': -7.1772003}
{' up': -0.6747211, ' Up': -0.7458766, ' down': -4.524042, ' UP': -5.7392864, ' Down': -6.217344}
{' Down': -0.36495793, ' down': -1.1994593, 'Down': -5.9535446, 'down': -6.382581, ' DOWN': -9.249239}
{' Up': -0.022138573, ' up': -3.8785722, ' UP': -7.459625, 'Up': -7.5275893, 'up': -9.836828}
{' Down': -0.25429538, ' down': -1.5304282, 'Down': -6.0962234, ' Up': -6.1290717, 'down': -6.180507}
{' Up': -0.11476862, ' up': -2.357799, ' Down': -5.2289653, ' UP': -5.552068, ' down': -5.6211314}
{' Down': -0.06816037, ' down': -2.7436383, 'Down': -7.3524594, ' Up': -7.7125845, 'down': -7.950862}
{' Up': -0.008789391, ' up': -4.810501, ' UP': -7.7077584, 'Up': -9.520319, ' Down': -9.537033}
{' Up': -0.33242777, ' Down': -1.592077, ' up': -3.0885465, ' down': -3.443853, ' UP': -6.761289}
{' Up': -0.13489377, ' up': -2.9300942, ' Down': -3.0143414, ' down': -3.845484, ' UP': -6.2069993}
{' down': -0.065522775, ' Down': -3.0403647, 'down': -4.332834, 'Down': -6.2533813, ' ': -8.390334}
{' up': -0.6768221, ' Up': -0.72804016, 'Up': -5.563575, 'up': -5.8176775, ' UP': -6.956345}
{' down': -0.09960727, ' up': -3.296205, ' Down': -3.3473377, 'down': -4.3933024, ' e': -5.5431347}
{' up': -0.28881624, ' Up': -1.5445133, ' down': -3.659326, 'up': -5.5570483, 'Up': -5.897421}
{' Down': -0.059605397, ' down': -3.037129, ' Up': -4.6702814, 'Down': -8.1388855, ' up': -9.226679}
{' Down': -0.5260815, ' Up': -0.9613556, ' down': -3.8422759, ' up': -5.3083215, 'Down': -8.5430975}
{' Up': -0.060133938, ' up': -3.5038252, ' Down': -3.6593826, ' down': -6.0190496, 'Up': -10.02374}
{' Down': -0.29211444, ' down': -1.3762304, 'down': -7.9316955, 'Down': -7.9569798, ' Up': -9.865711}
{' Down': -0.057959136, ' down': -2.9161417, 'Down': -6.4902515, 'down': -7.4122663, ' Up': -10.653957}
{' Up': -0.20661922, ' Down': -1.7158527, ' down': -5.643604, ' up': -5.94482, 'Down': -8.107206}
{' Down': -0.47845197, ' Up': -1.058038, ' down': -3.5986645, ' up': -5.4229784, 'Down': -7.113572}
{' Down': -0.08536518, ' down': -2.5246103, 'Down': -6.9526796, 'down': -7.3037734, ' Up': -9.711937}
{' Down': -0.037887346, ' down': -3.3649595, 'Down': -6.2804527, 'down': -7.3350673, ' DOWN': -9.766354}
{' Down': -0.23160109, ' Up': -1.6885159, ' down': -3.9720757, 'Down': -6.380866, ' up': -7.3803587}
{' Down': -0.64939314, ' Up': -0.77372557, ' down': -4.3903923, ' up': -6.184328, 'Down': -6.8236694}
{' Down': -0.026557699, ' down': -3.7020888, 'Down': -6.889922, 'down': -7.7248945, ' "': -10.061429}
{' Down': -0.21479201, ' down': -1.6589485, ' Up': -6.437372, 'Down': -7.0489216, 'down': -7.90204}
{' Up': -0.59387416, ' Down': -0.92174363, ' down': -3.2974377, ' up': -4.379898, 'Down': -8.216539}
{' Up': -0.10931464, ' up': -2.3501153, ' Down': -5.135827, ' down': -6.189772, 'Up': -9.000324}
{' Down': -0.3690626, ' down': -1.1790926, 'Down': -7.447622, 'down': -7.7425876, ' DOWN': -10.536603}
{' Down': -0.06362174, ' down': -2.8740654, 'Down': -5.5708613, 'down': -6.779909, ' DOWN': -8.640266}
{' Down': -0.038954195, ' down': -3.9306054, ' Up': -4.2744617, 'Down': -5.6426353, 'down': -7.1634426}
{' Up': -0.03995956, ' Down': -3.4148757, ' up': -5.4864984, ' down': -6.980755, 'Up': -7.2231655}
{' Down': -0.047885105, ' down': -3.1417077, 'Down': -5.9570456, 'down': -7.0161023, ' DOWN': -10.490486}
{' Down': -0.028874306, ' Up': -4.1248326, ' down': -4.445618, 'Down': -7.837531, 'down': -9.215056}
{' Down': -0.01785741, ' Up': -4.4957414, ' down': -5.1170163, 'Down': -7.7714334, 'down': -9.353615}
{' Up': -0.0049475813, ' Down': -5.9017577, ' up': -6.178237, 'Up': -9.738488, ' UP': -10.348808}
{' Down': -0.009903151, ' down': -4.6504707, 'Down': -8.449432, 'down': -9.628523, ' "': -11.659015}
{' Down': -0.09945879, ' down': -2.4593508, 'Down': -4.900915, 'down': -6.498758, ' Up': -8.834431}
{' Up': -0.06529777, ' Down': -3.1089208, ' up': -4.423742, ' down': -5.7945943, 'Up': -5.9262953}
{' Up': -0.3109744, ' Down': -1.7042717, ' up': -3.179215, ' down': -3.2584746, 'Up': -6.138826}
{' Down': -0.37433034, ' down': -1.1964359, 'Down': -5.158685, 'down': -5.505203, ' Up': -9.892638}
{' Down': -0.19564857, ' Up': -2.1771853, ' down': -2.789055, ' up': -6.2379723, 'Down': -7.332773}
{' Up': -0.5907201, ' Down': -0.8687334, ' down': -4.034894, ' up': -4.7814946, 'Down': -8.116614}
{' Up': -0.37478933, ' Down': -1.2460719, ' down': -4.2443285, ' up': -4.561303, 'Down': -9.567676}
{' Down': -0.08488433, ' down': -2.529304, ' Up': -6.611675, 'Down': -8.385156, 'down': -9.611234}
{' Down': -0.07061389, ' down': -3.1693156, ' Up': -3.6978416, 'Down': -6.985474, ' up': -8.40597}
{' Up': -0.35848042, ' Down': -1.3473358, ' down': -3.8250332, ' up': -4.0037155, 'Down': -7.349771}
{' Up': -0.044871815, ' up': -3.7180245, ' Down': -4.043767, ' down': -6.3090124, 'Up': -8.806359}
{' Down': -0.09013731, ' down': -2.4638708, 'Down': -7.2538137, 'down': -8.392882, ' Up': -8.954822}
{' Down': -0.10269978, ' down': -2.4493642, ' Up': -4.6438794, 'Down': -6.858148, 'down': -8.009239}
{' Up': -0.076793194, ' Down': -2.6823437, ' up': -5.734277, ' down': -6.2709513, 'Up': -8.709651}
{' Up': -0.027880799, ' Down': -4.083148, ' up': -4.667933, ' down': -6.888032, 'Up': -9.082612}
{' Down': -0.18203793, ' down': -1.8012968, 'Down': -7.2057476, 'down': -7.8581276, ' Up': -8.690544}
{' Down': -0.43141943, ' down': -1.3490715, ' Up': -2.4576397, ' up': -5.3829436, 'Down': -7.6159186}
{' Up': -0.5057083, ' Down': -1.178205, ' down': -2.852491, ' up': -3.4733617, 'Down': -8.553045}
{' Up': -0.1508811, ' up': -2.2278197, ' Down': -3.8079777, ' down': -4.613806, 'Up': -9.500795}
{' Down': -0.56179744, ' down': -0.8482048, ' Up': -6.897265, 'Down': -8.085, 'down': -8.652856}
{' Down': -0.20848088, ' down': -1.7229749, ' Up': -4.8659472, 'Down': -6.6396956, 'down': -7.8694186}
{' Up': -0.382177, ' Down': -1.2155586, ' down': -4.2080736, ' up': -5.2352214, 'Down': -7.6674304}
{' Up': -0.0625077, ' Down': -3.2086813, ' up': -4.1229477, ' down': -5.635301, 'Up': -8.371502}
{' Down': -0.20850365, ' down': -1.681133, 'Down': -6.5526066, 'down': -7.528866, ' DOWN': -10.046778}
{' Down': -0.2335761, ' Up': -1.6988221, ' down': -3.7269595, ' up': -6.962349, 'Down': -8.212578}
{' Up': -0.39226097, ' Down': -1.1807837, ' down': -4.607583, ' up': -4.989934, 'Down': -8.181419}
{' Up': -0.1052635, ' Down': -2.3785064, ' up': -5.289119, ' down': -6.183409, 'Up': -10.147185}
{' Down': -0.040236834, ' down': -3.2613344, ' Up': -7.1747007, 'Down': -8.343982, 'down': -9.483029}
{' down': -1.1629066, ' Up': -1.1744403, ' Down': -1.1773337, ' up': -2.7453308, 'Down': -5.60346}
{' Up': -1.0823878, ' Down': -1.0829601, ' down': -1.4451712, ' up': -2.5119572, 'Down': -5.676622}
{' Up': -0.43306294, ' up': -1.2989744, ' down': -3.188136, ' Down': -3.3912842, 'Up': -6.1818953}
{' down': -0.66951627, ' Down': -0.74091774, 'Down': -5.1898503, 'down': -5.776978, ' Up': -6.185419}
{' Down': -0.21907918, ' down': -2.0294867, ' Up': -2.8068972, ' up': -5.6574254, 'Down': -6.8664727}
{' Down': -0.17508565, ' down': -1.8364073, 'Down': -7.0694466, 'down': -8.22121, ' DOWN': -9.860992}
{' down': -0.3631204, ' Down': -1.1936182, 'down': -7.382464, 'Down': -7.395465, ' DOWN': -9.7898}
{' Down': -0.16782202, ' down': -1.895609, ' Up': -5.7076874, 'Down': -7.6686573, ' up': -8.219254}
{' Down': -0.15401754, ' Up': -2.6379137, ' down': -2.7049646, ' up': -6.152565, 'Down': -6.3843575}
{' Down': -0.03727509, ' down': -3.3322978, 'Down': -7.2501364, 'down': -8.991972, ' DOWN': -10.351577}
{' Down': -0.16880155, ' down': -1.8708202, 'Down': -7.1278276, 'down': -7.887355, ' Up': -9.466392}
{' Down': -0.22896434, ' down': -1.779982, ' Up': -3.4884286, ' up': -5.825512, 'Down': -6.442927}
{' Down': -0.06285851, ' down': -3.0736692, ' Up': -4.3756022, 'Down': -6.523332, 'down': -7.8974757}
{' Down': -0.076900624, ' down': -2.6288853, 'Down': -6.6173835, 'down': -7.742378, ' DOWN': -9.440666}
{' Down': -0.23813918, ' down': -1.5604486, 'Down': -6.848271, 'down': -7.2668047, ' DOWN': -9.331769}
{' Down': -0.108273976, ' down': -2.67336, ' Up': -3.4758372, 'Down': -6.792751, ' up': -7.000133}
{' Down': -0.5272725, ' down': -1.0906023, ' Up': -2.7867026, ' up': -4.588699, 'Down': -6.6534925}
{' Down': -0.63741654, ' down': -0.75734687, 'Down': -6.665809, ' Up': -7.5920978, 'down': -7.8052874}
{' down': -0.3062851, ' Down': -1.3380939, 'Down': -7.194058, 'down': -7.474463, ' DOWN': -9.500475}
{' Down': -0.5359981, ' down': -1.5109127, ' Up': -1.7739208, ' up': -3.739182, 'Down': -7.68541}
{' Down': -0.15098248, ' down': -2.297032, ' Up': -3.374373, 'Down': -5.783852, 'down': -6.8100514}
{' Down': -0.18215433, ' down': -1.8208567, 'Down': -5.751181, 'down': -6.7384076, ' DOWN': -8.276318}
{' Down': -0.23312148, ' down': -1.5967118, 'Down': -5.656713, 'down': -6.371585, ' DOWN': -8.7423525}
{' Down': -0.094069734, ' down': -2.5127194, ' Up': -5.3464766, 'Down': -5.902505, 'down': -7.073153}
{' Down': -0.67149115, ' Up': -0.766809, ' down': -4.0104594, ' up': -5.2078185, 'Down': -7.466743}
{' Down': -0.043104343, ' down': -3.2086773, 'Down': -6.6145115, 'down': -8.25197, ' DOWN': -9.349705}
{' Down': -0.23398861, ' down': -1.5764186, 'Down': -6.958514, 'down': -7.2770567, ' Up': -8.6448145}
{' Down': -0.116523795, ' Up': -2.8007965, ' down': -3.0715048, ' up': -6.588878, 'Down': -6.856794}
{' Down': -0.80562234, ' down': -1.193394, ' Up': -1.6122286, ' up': -3.14863, 'Down': -5.3482685}
{' down': -0.6614335, ' Down': -0.76967174, ' Up': -4.6662397, 'Down': -5.3420267, ' up': -5.5986667}
{' down': -0.4961239, ' Down': -0.9893967, ' Up': -4.9893394, 'down': -5.421367, 'Down': -5.496225}
{' Up': -0.5121451, ' up': -1.6059905, ' Down': -2.1423752, ' down': -2.551095, 'Up': -6.249768}
{' down': -0.6590057, ' Down': -0.7310711, 'down': -7.5224447, 'Down': -7.674428, ' DOWN': -9.266194}
{' Up': -0.0282502, ' up': -3.615801, ' UP': -7.2762566, 'Up': -9.051476, ' Down': -9.066459}
{' down': -0.46947035, ' Down': -1.646644, ' Up': -2.2805724, ' up': -2.575477, ' e': -6.366992}
{' Up': -0.3396841, ' up': -1.4218947, ' down': -3.502005, ' Down': -4.361172, ' UP': -5.724781}
{' down': -0.04354341, ' Down': -3.2865622, 'down': -6.1188054, ' Even': -6.662205, ' e': -7.187493}
{' Up': -0.30271983, ' up': -1.357499, ' e': -6.032149, 'Up': -7.4770937, 'up': -7.9288754}
{' down': -0.11877953, ' Down': -2.456113, ' e': -4.08607, 'down': -4.8900104, 'Down': -6.683392}
{' Up': -0.6077849, ' up': -0.79297704, ' UP': -6.8618455, 'Up': -7.175359, 'up': -7.5378823}
{' down': -0.15755035, ' Down': -1.9633288, 'down': -5.769042, ' e': -6.815694, 'Down': -7.5966144}
{' Up': -0.10551749, ' up': -2.3308954, ' e': -6.537051, ' UP': -7.443536, 'Up': -7.7462206}
{' down': -0.49708056, ' Down': -1.5324714, ' e': -1.8174484, 'down': -5.482882, ' Up': -5.616127}
{' Up': -0.58856094, ' up': -0.8527096, ' e': -4.5542326, ' UP': -5.877318, ' down': -5.937823}
{' down': -0.108729586, ' Down': -2.3043318, ' e': -6.4708066, 'down': -7.016421, 'Down': -7.669345}
{' Up': -0.41301972, ' up': -1.0963485, ' e': -6.0005155, ' UP': -7.386557, ' down': -7.713103}
{' down': -0.15026821, ' Down': -2.4897094, ' e': -3.1733224, ' up': -4.6335425, ' Up': -5.8076696}
{' up': -0.57068205, ' Up': -0.85654014, ' e': -5.5914125, ' down': -5.8240023, ' UP': -6.1129694}
{' down': -0.22900061, ' Down': -1.6125989, 'down': -5.678669, 'Down': -6.623247, ' e': -8.146856}
{' Up': -0.18757915, ' up': -1.7874001, 'Up': -6.248757, 'up': -7.02122, ' UP': -7.707612}
{' down': -0.5298, ' Down': -0.9277472, 'down': -4.771795, 'Down': -5.6241713, ' e': -6.3023257}
{' Up': -0.17668758, ' up': -1.8905164, ' UP': -5.1950397, 'Up': -6.0400214, ' Down': -6.800724}
{' Down': -0.08177475, ' down': -2.562068, 'Down': -7.2626286, 'down': -7.7294536, ' Even': -8.747587}
{' Up': -0.010283315, ' up': -4.651421, ' UP': -8.204598, ' Down': -8.423666, 'Up': -8.979619}
{' Down': -0.32028785, ' down': -1.6122686, ' Up': -2.7347736, ' up': -5.007883, 'Down': -7.023332}
{' Up': -0.11982081, ' up': -2.5799322, ' Down': -3.729388, ' down': -4.4817896, ' UP': -6.5443316}
{' down': -0.11763963, ' Down': -2.7195396, 'down': -3.2321222, 'Down': -5.248089, ' ': -8.502579}
{' up': -0.6253636, ' Up': -0.79766214, 'up': -4.9098215, 'Up': -5.100087, ' UP': -7.7113028}
{' down': -0.08891585, ' Down': -3.0546653, 'down': -3.454501, 'Down': -5.833285, ' up': -6.34026}
{' up': -0.26295513, ' Up': -1.5995392, 'up': -4.384623, ' down': -4.7774644, 'Up': -5.1397443}
{' Down': -0.052274056, ' down': -3.0269728, ' Up': -6.1939077, 'Down': -8.173032, 'down': -9.317893}
{' Down': -0.47515625, ' Up': -1.0374923, ' down': -3.9063141, ' up': -5.662539, 'Down': -8.675792}
{' Up': -0.018793084, ' up': -4.350889, ' Down': -5.226576, ' down': -8.246465, ' UP': -10.130666}
{' Down': -0.12985858, ' down': -2.108891, 'Down': -8.394976, 'down': -8.727869, ' DOWN': -11.114035}
{' Down': -0.03244995, ' down': -3.4978197, 'Down': -6.7479362, 'down': -7.9577575, ' Up': -9.078083}
{' Up': -0.19475695, ' Down': -1.7651553, ' down': -5.911313, ' up': -5.9728365, 'Down': -8.39631}
{' Down': -0.2186877, ' Up': -1.7806633, ' down': -3.6989675, ' up': -6.344811, 'Down': -7.0114}
{' Down': -0.09105069, ' down': -2.4705977, 'Down': -6.6089435, 'down': -6.8927164, ' Up': -9.547513}
{' Down': -0.016609063, ' down': -4.1922374, 'Down': -6.9025507, 'down': -8.101171, ' DOWN': -10.265969}
{' Down': -0.21691707, ' Up': -1.7214489, ' down': -4.3224697, 'Down': -6.289795, 'down': -7.544135}
{' Up': -0.67637354, ' Down': -0.734395, ' down': -4.7745047, ' up': -6.436562, 'Down': -6.953427}
{' Down': -0.023189945, ' down': -3.842953, 'Down': -6.8907475, 'down': -7.8180146, ' "': -10.251244}
{' Down': -0.055841677, ' down': -2.9335651, 'Down': -7.508899, ' Up': -7.899011, 'down': -8.862217}
{' Up': -0.35480252, ' Down': -1.2809119, ' down': -4.278724, ' up': -5.004009, 'Down': -8.72318}
{' Up': -0.03235637, ' up': -3.9295866, ' Down': -4.522852, ' down': -6.809778, 'Up': -8.989942}
{' Down': -0.17299947, ' down': -1.8465147, 'Down': -7.3550706, 'down': -7.835355, ' DOWN': -10.5338125}
{' Down': -0.024803048, ' down': -3.8667216, 'Down': -5.8384433, 'down': -7.548919, ' DOWN': -9.231528}
{' Down': -0.045793936, ' Up': -3.5387025, ' down': -4.4328046, 'Down': -5.7874045, 'down': -7.5462875}
{' Up': -0.06908124, ' Down': -2.7887256, ' up': -5.857337, ' down': -6.763552, 'Up': -7.2311387}
{' Down': -0.032912258, ' down': -3.5422046, 'Down': -5.9289174, 'down': -7.270825, ' DOWN': -10.257981}
{' Down': -0.011000079, ' down': -4.6903687, ' Up': -6.6823597, 'Down': -7.863041, 'down': -9.258709}
{' Down': -0.06535262, ' Up': -2.829486, ' down': -5.5981073, 'Down': -7.948851, ' up': -9.526202}
{' Up': -0.0060230135, ' Down': -5.3806376, ' up': -6.6610346, 'Up': -9.766913, ' down': -10.398467}
{' Down': -0.0084024025, ' down': -4.821095, 'Down': -8.391723, 'down': -9.652281, ' "': -11.508766}
{' Down': -0.07907673, ' down': -2.6750221, 'Down': -5.1749783, 'down': -6.6104355, ' DOWN': -9.805475}
{' Up': -0.060517162, ' Down': -3.0899074, ' up': -4.8038697, ' down': -6.05521, 'Up': -6.240708}
{' Up': -0.6823385, ' Down': -0.92983216, ' down': -2.6075647, ' up': -3.9146287, 'Down': -5.9403872}
{' Down': -0.29259655, ' down': -1.40933, 'Down': -5.2902884, 'down': -5.5106483, ' Up': -9.239539}
{' Down': -0.06738054, ' Up': -3.425849, ' down': -3.4351437, 'Down': -8.466901, ' up': -8.767148}
{' Down': -0.17829584, ' Up': -1.9701469, ' down': -3.7981918, ' up': -6.7365685, 'Down': -8.47061}
{' Up': -0.64764476, ' Down': -0.7917448, ' down': -4.0441995, ' up': -5.1195607, 'Down': -9.177886}
{' Down': -0.05906349, ' down': -2.8703809, ' Up': -7.7685413, 'Down': -8.515362, 'down': -10.084417}
{' Down': -0.07710978, ' Up': -3.067407, ' down': -3.62004, 'Down': -7.4458303, ' up': -8.558347}
{' Up': -0.27848408, ' Down': -1.4420049, ' down': -5.631603, ' up': -5.8992057, 'Down': -8.764683}
{' Up': -0.17544985, ' Down': -1.8934484, ' up': -5.109919, ' down': -5.505053, 'Down': -9.213444}
{' Down': -0.05784564, ' down': -2.908815, ' Up': -7.009408, 'Down': -7.41899, 'down': -8.9082365}
{' Down': -0.05064216, ' down': -3.419241, ' Up': -4.1732426, 'Down': -6.9466953, 'down': -8.789492}
{' Up': -0.05631629, ' Down': -2.9552288, ' up': -6.402893, ' down': -7.180938, 'Up': -8.757657}
{' Up': -0.096025616, ' Down': -2.453804, ' up': -5.711206, ' down': -6.1927357, 'Up': -9.162418}
{' Down': -0.057782304, ' down': -2.920358, ' Up': -6.6497335, 'Down': -7.2478857, 'down': -8.607944}
{' Down': -0.42370623, ' down': -1.604168, ' Up': -1.9821396, ' up': -5.124506, 'Down': -7.7866263}
{' Down': -0.28702882, ' Up': -1.9085269, ' down': -2.3472095, ' up': -5.279838, 'Down': -7.9595213}
{' Up': -0.3597664, ' Down': -1.7406943, ' up': -2.733185, ' down': -2.7888494, 'Down': -9.240887}
{' Down': -0.59445995, ' down': -0.80540127, ' Up': -7.3407974, 'Down': -8.067251, 'down': -8.581089}
{' Down': -0.09856868, ' down': -2.7463024, ' Up': -3.5693517, 'Down': -6.835116, ' up': -8.381161}
{' Up': -0.07989956, ' Down': -2.622609, ' up': -5.907563, ' down': -6.816989, 'Up': -8.384029}
{' Up': -0.0781374, ' Down': -2.7041292, ' up': -5.1163645, ' down': -6.241898, 'Up': -8.845389}
{' Down': -0.09488442, ' down': -2.4191892, 'Down': -6.998021, ' Up': -7.9477205, 'down': -8.396806}
