{' Yes': -0.018133413, ' Generally': -4.688938, 'Yes': -5.2438526, ' No': -6.216215, ' A': -7.3354335}
{' No': -0.20915708, ' Yes': -1.979865, 'No': -3.2111518, ' Generally': -5.936221, 'Yes': -5.9629817}
{' No': -0.1192311, 'No': -2.5624552, ' Yes': -3.6556115, ' Generally': -5.750162, ' ': -6.3526707}
{' No': -0.12921762, 'No': -2.219475, ' Yes': -4.7575994, ' ': -6.572395, ' Generally': -7.3018136}
{' Yes': -0.06202585, ' No': -2.951615, 'Yes': -5.7106767, ' ': -5.995911, ' yes': -7.0748568}
{' No': -0.026592527, ' Yes': -3.9813044, 'No': -5.395935, ' ': -6.319853, '\n': -7.500348}
{' Yes': -0.4013585, ' No': -1.1369351, 'Yes': -5.8327227, 'No': -6.061211, ' ': -6.1945753}
{' No': -0.013816929, ' Yes': -5.112629, 'No': -5.190859, ' ': -6.651592, '\n': -7.2883806}
{' No': -0.061206933, 'No': -2.9240186, '\n': -5.944711, ' ': -6.0092087, ' A': -8.540401}
{' No': -0.04537172, 'No': -3.2177272, ' ': -6.454492, '\n': -6.658874, ' A': -7.2399607}
{' No': -0.066370144, 'No': -3.0985584, ' Yes': -4.3751945, ' ': -5.637829, '\n': -6.2481594}
{' No': -0.045232452, 'No': -3.2435281, ' ': -6.08747, '\n': -6.7024207, ' Yes': -6.7131453}
{' No': -0.15041272, 'No': -2.427379, '\n': -3.1911783, ' ': -4.834588, ' A': -6.759182}
{' No': -0.11382375, 'No': -2.6048152, '\n': -3.5934532, ' ': -5.3338423, ' A': -7.2318273}
{' No': -0.20465493, '\n': -2.4400654, 'No': -2.4880278, ' ': -4.356821, ' NO': -7.347385}
{' No': -0.14944902, 'No': -2.5904243, '\n': -2.9076295, ' ': -4.8070016, ' Wh': -8.489767}
{' No': -0.014000545, 'No': -4.5209775, ' ': -6.5798745, ' Yes': -6.744705, '\n': -8.292389}
{' No': -0.011411346, 'No': -4.5849547, ' ': -7.077596, '\n': -9.162229, ' Yes': -9.396476}
{' No': -0.042786643, ' Yes': -3.4602957, 'No': -4.7105894, ' ': -7.11012, '\n': -7.951063}
{' No': -0.007952781, 'No': -4.9340353, ' ': -7.807799, ' Yes': -8.408013, '\n': -9.755956}
{' No': -0.33580258, 'No': -1.3977323, '\n': -3.8813555, ' ': -4.5509276, ' NO': -6.0405846}
{' No': -0.20031922, 'No': -1.8067646, '\n': -4.7357903, ' ': -5.1699533, ' A': -6.7090616}
{' No': -0.26440263, 'No': -1.7199804, '\n': -3.4852543, ' ': -4.201928, ' NO': -5.360258}
{' No': -0.23937672, 'No': -1.6650244, '\n': -4.2101026, ' ': -4.9264474, ' NO': -7.5186124}
{' No': -0.057543494, 'No': -3.3683858, ' Yes': -4.62433, ' ': -5.0518556, '\n': -6.524187}
{' No': -0.057818614, 'No': -3.4634736, ' Yes': -4.1587133, ' ': -5.6184053, ' A': -6.0254307}
{' No': -0.35461912, ' Yes': -1.4053869, 'No': -3.509715, ' ': -4.9353275, 'Yes': -5.1909523}
{' Yes': -0.4188887, ' No': -1.2339636, 'Yes': -4.1092877, 'No': -4.117872, ' ': -4.8858943}
{' No': -0.1144344, 'No': -2.3125982, ' Yes': -5.9129763, ' no': -6.0799074, ' ': -6.746713}
{' No': -0.11701831, 'No': -2.382094, ' Yes': -4.5813646, ' A': -6.0583205, ' no': -6.2057157}
{' No': -0.3292186, ' Yes': -2.0127647, 'No': -2.197699, 'Yes': -4.626427, ' Wh': -5.288895}
{' No': -0.18156074, 'No': -2.0870116, ' Yes': -3.7341835, ' no': -5.6639953, ' Wh': -5.972255}
{' No': -0.08835359, 'No': -2.4823964, ' ': -7.772584, ' no': -8.297994, ' Yes': -8.927215}
{' No': -0.12627007, 'No': -2.4216, ' Yes': -3.5897841, 'Yes': -6.6736293, ' ': -7.449912}
{' No': -0.20205207, 'No': -1.779456, ' Yes': -4.436768, 'Yes': -6.95708, ' Generally': -7.5316777}
{' No': -0.17479873, 'No': -1.8520715, ' Yes': -5.998445, ' ': -7.827676, 'Yes': -8.301009}
{' No': -0.12293706, 'No': -2.227866, ' Yes': -5.0481114, ' ': -7.350327, 'Yes': -7.7562633}
{' No': -0.19592556, 'No': -2.0199325, ' Yes': -3.2095056, 'Yes': -5.773516, ' ': -6.9137044}
{' No': -0.19745079, 'No': -1.8000642, ' Yes': -4.5518703, 'Yes': -6.8674083, ' ': -6.916287}
{' No': -0.20040615, 'No': -1.7522117, ' Yes': -5.347478, ' ': -6.617157, 'Yes': -7.4644227}
{' No': -0.020395173, 'No': -3.979658, ' Yes': -7.0243278, ' ': -8.011929, ' no': -9.145381}
{' No': -0.032502595, 'No': -3.9706337, ' Yes': -4.3876657, ' ': -8.105672, 'Yes': -8.67783}
{' No': -0.3023676, ' Yes': -1.5258516, 'No': -3.3189692, 'Yes': -5.396989, ' ': -7.041153}
{' No': -0.08652663, 'No': -3.0229125, ' Yes': -3.4584556, 'Yes': -6.982999, ' ': -7.1131797}
{' No': -0.40146604, 'No': -1.1141317, ' ': -7.0822887, '\n': -7.2759223, ' Generally': -8.932359}
{' No': -0.56237775, 'No': -0.8521269, '\n': -7.036481, ' ': -7.1472936, ' A': -7.532096}
{' No': -0.54912037, 'No': -0.911633, ' Generally': -5.3298426, ' Wh': -5.739211, ' Yes': -5.759199}
{' No': -0.5598374, 'No': -0.8632011, ' Wh': -6.4516754, ' ': -6.6035223, '\n': -6.6919994}
{' No': -0.07947212, 'No': -2.597447, ' ': -7.280117, ' no': -7.5532885, ' Yes': -8.030157}
{' No': -0.113569975, 'No': -2.2566361, ' no': -6.9129586, ' ': -7.6386766, '\n': -7.9555526}
{' No': -0.16097887, 'No': -2.0713906, ' Yes': -4.133524, ' Generally': -6.2150335, 'Yes': -6.852785}
{' No': -0.22275162, 'No': -1.7041664, ' Yes': -4.444166, 'Yes': -6.6516576, ' Wh': -6.9165173}
{' Yes': -0.17693846, ' No': -2.2101245, ' yes': -3.311895, ' ': -4.7296877, 'Yes': -5.4911838}
{' Yes': -0.0642436, ' yes': -3.142563, ' No': -4.897688, 'Yes': -5.0910397, ' ': -5.586759}
{' Yes': -0.05126637, ' yes': -3.2725298, 'Yes': -5.200589, ' No': -5.6266866, ' ': -6.3620477}
{' Yes': -0.079310216, ' No': -3.2768123, ' yes': -3.6523273, 'Yes': -5.0376806, ' ': -5.515921}
{' No': -0.079117365, 'No': -2.7421136, ' ': -5.253611, '\n': -5.90977, ' no': -6.4934344}
{' No': -0.09913947, 'No': -2.7585804, ' Yes': -4.016486, '\n': -5.4150686, ' ': -5.446041}
{' No': -0.34910756, ' Yes': -1.6376204, 'No': -2.6299112, 'Yes': -4.8343883, '\n': -4.8813624}
{' No': -0.22934675, ' Yes': -2.203752, 'No': -2.6133149, '\n': -4.8821864, ' ': -5.0473742}
{' No': -0.22343501, 'No': -2.0891786, '\n': -2.9154189, ' ': -4.3897805, ' Yes': -5.8601675}
{' No': -0.19296433, 'No': -2.0410037, '\n': -3.3694513, ' ': -5.0215173, ' A': -6.380411}
{' No': -0.28530517, 'No': -2.0625327, '\n': -2.5839217, ' Yes': -3.8732147, ' ': -4.1539173}
{' No': -0.2250697, 'No': -2.0088964, '\n': -2.9862847, ' ': -4.514874, ' Yes': -6.012328}
{' No': -0.022548102, 'No': -4.1281047, ' Yes': -6.123214, ' ': -6.1299696, ' no': -6.914409}
{' No': -0.03621973, 'No': -3.9323149, ' Yes': -4.3851767, ' ': -6.432229, '\n': -7.350846}
{' No': -0.04077348, 'No': -3.6975708, ' Yes': -4.489792, ' ': -6.399145, '\n': -6.857275}
{' No': -0.06470469, ' Yes': -3.3654554, 'No': -3.708654, ' ': -6.5216627, '\n': -7.165136}
{' No': -0.39677465, 'No': -1.3575786, '\n': -3.1369915, ' ': -4.614352, ' no': -4.8212337}
{' No': -0.33093572, 'No': -1.4806321, '\n': -3.2551856, ' ': -4.8781857, ' no': -5.4878836}
{' No': -0.30302548, 'No': -1.5978767, '\n': -3.6034787, ' ': -4.5483866, ' no': -4.588199}
{' No': -0.323733, 'No': -1.4684645, '\n': -3.4556372, ' ': -4.9062986, ' no': -5.4027286}
{' No': -0.12863624, ' no': -3.0089805, 'No': -3.2314937, ' Yes': -4.615749, ' ': -4.756718}
{' No': -0.29927847, ' Yes': -1.883957, ' no': -3.4687862, 'No': -3.5198576, ' yes': -3.8108988}
{' No': -0.26057076, ' Yes': -2.3330595, 'No': -3.117079, ' no': -3.354437, ' yes': -3.8991852}
{' No': -0.20049044, ' Yes': -2.7906353, 'No': -2.8749115, ' no': -3.5344975, '\n': -4.5145507}
{' Yes': -0.12369695, ' No': -2.2574346, '\n': -5.5142055, ' ': -5.647971, 'Yes': -6.056207}
{' No': -0.6464307, ' Yes': -0.7833038, '\n': -5.1729426, 'No': -5.28696, ' ': -5.445989}
{' No': -0.42075774, ' Yes': -1.1774297, '\n': -3.7675061, 'No': -5.2426777, ' ': -5.330752}
{' No': -0.07844924, ' Yes': -3.0032098, '\n': -4.4555244, 'No': -4.684902, ' ': -5.466511}
{' No': -0.08101562, 'No': -3.048545, '\n': -3.871974, ' ': -4.843631, ' Yes': -7.155911}
{' No': -0.06521862, 'No': -2.982203, '\n': -4.889998, ' ': -5.6300664, ' A': -7.560179}
{' No': -0.117154, '\n': -3.003991, 'No': -3.0773818, ' ': -4.6721673, ' Yes': -5.5189543}
{' No': -0.06812094, 'No': -3.1144292, '\n': -4.1301017, ' ': -5.4611874, ' Yes': -7.781074}
{' No': -0.08222045, 'No': -3.0796304, '\n': -3.7884963, ' ': -4.8777146, ' A': -6.5719743}
{' No': -0.06569227, 'No': -3.1494458, '\n': -4.270669, ' ': -5.312907, ' A': -6.751364}
{' No': -0.08248995, 'No': -3.349898, '\n': -3.3928401, ' ': -4.7327847, ' Yes': -7.1374645}
{' No': -0.056854308, 'No': -3.3976572, '\n': -4.143316, ' ': -5.3836517, ' Wh': -7.7442856}
{' No': -0.04116376, 'No': -4.2477584, ' ': -4.6933627, ' Yes': -4.7682924, '\n': -4.9710097}
{' No': -0.027328549, 'No': -4.2189116, ' ': -5.1830177, '\n': -5.515262, ' Yes': -6.2430105}
{' No': -0.07507023, ' Yes': -3.5962417, 'No': -3.9834425, '\n': -4.0468755, ' ': -4.8071218}
{' No': -0.039705463, 'No': -3.8155138, '\n': -4.618416, ' ': -5.173788, ' Yes': -6.759451}
{' No': -0.06068302, 'No': -3.1012866, ' ': -4.98136, '\n': -5.0789266, ' A': -7.891692}
{' No': -0.062589675, 'No': -2.983263, '\n': -5.273638, ' ': -5.441593, ' A': -8.12186}
{' No': -0.070767686, 'No': -3.0622282, '\n': -4.4752855, ' ': -4.7079744, ' NO': -7.9683995}
{' No': -0.050669435, 'No': -3.2487645, ' ': -5.279124, '\n': -5.2951703, ' NO': -9.13904}
{' No': -0.16312692, ' Yes': -2.3483074, 'No': -3.657561, ' ': -4.4673333, '\n': -4.50182}
{' No': -0.24334767, ' Yes': -1.799521, 'No': -3.7603042, ' ': -4.6256766, '\n': -4.7538347}
{' No': -0.3204732, ' Yes': -1.5513043, 'No': -3.7361054, '\n': -3.9938588, ' ': -4.403712}
{' No': -0.2391186, ' Yes': -1.8077583, 'No': -3.5873353, ' ': -4.906665, '\n': -5.1857557}
{' Yes': -0.06760934, ' No': -2.9123836, 'Yes': -5.413358, ' A': -5.9896574, ' Generally': -6.0682206}
{' Yes': -0.0043812026, 'Yes': -5.5289264, ' yes': -8.892066, ' A': -9.0764675, ' Generally': -9.748698}
{' Yes': -0.22288606, ' No': -1.9583102, ' Wh': -3.57137, ' Generally': -3.8851154, 'Yes': -5.6149373}
{' Yes': -0.13016704, ' No': -2.8382645, ' Wh': -3.0672662, ' Generally': -4.8889365, 'Yes': -5.1998653}
{' Yes': -0.58807653, ' No': -0.93299186, 'No': -4.0134783, ' A': -4.2726502, 'Yes': -4.782103}
{' Yes': -0.017861653, 'Yes': -4.383601, ' A': -6.398951, ' Generally': -6.433175, ' No': -7.1129575}
{' Yes': -0.1660979, ' No': -2.4597933, ' Wh': -3.6509383, ' Generally': -4.075001, 'Yes': -4.266411}
{' Yes': -0.54034126, ' No': -1.2408341, ' Wh': -2.7841287, 'No': -3.7192748, ' Generally': -4.038007}
{' No': -0.3283417, ' Yes': -1.5364449, 'No': -3.139068, ' A': -4.8460054, 'Yes': -5.0369234}
{' Yes': -0.020425405, 'Yes': -4.0390964, ' A': -7.120762, ' ': -7.4199038, ' yes': -7.8045692}
{' Yes': -0.67035323, ' No': -0.9802668, ' Wh': -3.0391521, 'No': -3.5446587, 'Yes': -4.117651}
{' No': -0.2136461, ' Yes': -2.465952, 'No': -2.7313023, ' Wh': -3.765959, ' ': -5.0790844}
{' No': -0.1860975, ' Yes': -2.0117943, 'No': -4.320466, ' A': -4.6496654, ' Generally': -4.966811}
{' Yes': -0.009886657, 'Yes': -5.2593637, ' A': -6.5507264, ' No': -6.7268987, ' Generally': -6.931138}
{' Yes': -0.834814, ' No': -1.0799294, ' Wh': -1.7682705, ' Generally': -3.4141998, 'No': -4.766651}
{' Yes': -0.76290274, ' Wh': -1.3225056, ' No': -1.436832, ' Generally': -4.468599, 'No': -4.876491}
{' No': -0.08454633, 'No': -2.6883748, ' Yes': -5.4905405, '\n': -6.141014, ' ': -6.199464}
{' Yes': -0.041567747, 'Yes': -3.3539093, ' ': -6.5088696, ' Generally': -6.9488153, ' A': -7.152032}
{' No': -0.48857126, ' Yes': -1.5534459, 'No': -2.6056213, ' Wh': -3.4823332, ' Generally': -4.0543756}
{' Yes': -0.35744447, ' No': -1.7399478, 'Yes': -3.2390532, ' Wh': -3.4890628, 'No': -3.7656198}
{' Yes': -0.1284596, ' No': -2.5480132, 'Yes': -4.203773, ' A': -4.5201945, ' Generally': -5.059875}
{' Yes': -0.01933171, 'Yes': -4.170609, ' A': -7.0108795, ' yes': -7.1281877, ' Generally': -7.1975656}
{' Yes': -0.3286074, ' No': -2.0858457, ' Wh': -2.5988367, 'Yes': -3.6954362, ' Generally': -3.8135355}
{' Yes': -0.2534656, ' No': -2.0841331, 'Yes': -3.318609, ' Wh': -3.6421983, 'No': -4.078706}
{' No': -0.050345752, ' Yes': -3.3260415, 'No': -5.0097113, ' A': -5.826876, ' ': -6.064694}
{' Yes': -0.0066013034, 'Yes': -5.4075527, ' yes': -7.2902102, ' ': -7.5156136, ' A': -7.7512393}
{' No': -0.39846808, ' Yes': -1.1705896, 'No': -5.0285163, ' Wh': -5.886844, '\n': -6.0032077}
{' Yes': -0.026636539, ' No': -4.1712403, 'Yes': -5.444231, ' Wh': -5.8270454, ' ': -6.534622}
{' No': -0.084003314, 'No': -2.661352, '\n': -5.542415, ' A': -5.8372054, ' ': -5.9522166}
{' Yes': -0.034408808, 'Yes': -3.9791508, ' A': -5.0985126, ' No': -5.5988173, ' ': -6.36144}
{' No': -0.074919835, 'No': -2.9437914, ' Wh': -4.942927, ' ': -5.5133166, ' Yes': -5.6931386}
{' Yes': -0.46666276, ' No': -1.3096288, ' Wh': -3.365102, 'No': -3.895404, 'Yes': -4.057792}
{' No': -0.26596454, 'No': -2.2154026, '\n': -2.3517532, ' ': -4.178587, ' A': -4.6166353}
{' Yes': -0.11719736, 'Yes': -3.1336498, '\n': -3.2045918, ' A': -4.554554, ' ': -4.6267357}
{' No': -0.24352734, '\n': -2.2839766, 'No': -2.3809192, ' ': -4.1437197, ' Wh': -6.277674}
{' No': -0.40590495, '\n': -1.8282148, 'No': -2.2918875, ' ': -3.5746024, ' Yes': -3.7076776}
{' No': -0.013522236, 'No': -4.4194365, ' ': -6.9885225, ' A': -8.225167, '\n': -9.33723}
{' Yes': -0.060080957, ' No': -3.1417232, ' A': -4.9821315, 'Yes': -5.4148993, ' ': -6.004195}
{' No': -0.014477811, 'No': -4.3952, ' Yes': -7.292647, ' Wh': -7.36908, ' ': -7.6501317}
{' Yes': -0.033438694, ' No': -3.9100904, 'Yes': -5.1799784, ' Wh': -5.330912, ' ': -6.7293997}
{' No': -0.30922505, 'No': -1.5331476, '\n': -3.621894, ' ': -4.4506397, ' A': -5.193123}
{' Yes': -0.19737925, 'Yes': -2.053935, '\n': -4.2461348, ' ': -4.4258585, ' A': -4.6705265}
{' No': -0.27883422, 'No': -1.6726521, '\n': -3.597389, ' ': -4.228384, ' NO': -5.152632}
{' No': -0.3530375, 'No': -1.5374553, '\n': -3.3604572, ' ': -3.847631, ' Wh': -4.3925667}
{' No': -0.06626798, 'No': -3.2037227, ' A': -4.6956453, ' ': -5.107192, ' Yes': -5.773206}
{' Yes': -0.059366856, ' A': -3.9636538, 'Yes': -4.198096, ' No': -4.437058, ' yes': -5.391912}
{' No': -0.096468724, 'No': -3.1182337, ' Yes': -4.0919676, ' Wh': -4.43292, ' ': -4.9810348}
{' Yes': -0.12036804, ' No': -3.4339094, ' Wh': -3.5781524, 'Yes': -3.7607281, ' ': -4.8005733}
{' No': -0.1596272, 'No': -2.1191494, ' Yes': -4.736949, ' A': -4.765386, ' no': -6.0632353}
{' Yes': -0.064198986, 'Yes': -3.099794, ' yes': -4.8097186, ' A': -5.1250567, ' ': -7.3250566}
{' No': -0.33407876, 'No': -2.1143568, ' Wh': -2.6132927, ' Yes': -3.064803, ' Generally': -4.811264}
{' No': -0.339177, 'No': -2.1324298, ' Wh': -2.698589, ' Yes': -2.7106245, '\n': -5.110199}
{' No': -0.12886064, 'No': -2.1461906, ' Yes': -6.154623, ' ': -7.7031164, ' A': -7.8781204}
{' Yes': -0.05917706, 'Yes': -2.9346976, ' yes': -5.866973, ' A': -7.936563, ' ': -8.004809}
{' Yes': -0.3163917, ' No': -1.7127731, 'Yes': -3.3100572, 'No': -3.5762775, ' Wh': -4.5473313}
{' No': -0.78643745, ' Yes': -0.91543144, 'No': -2.3435988, 'Yes': -3.3795502, ' Wh': -4.755414}
{' No': -0.17865708, 'No': -1.8387369, ' Yes': -6.055284, ' ': -7.0988593, '\n': -8.15301}
{' Yes': -0.056814626, 'Yes': -2.9558318, ' yes': -6.7880187, ' ': -7.186207, ' A': -7.8345146}
{' Yes': -0.55934376, ' No': -1.2265725, 'No': -2.811556, 'Yes': -2.941267, ' Wh': -4.433072}
{' Yes': -0.4101687, ' No': -1.6012508, 'Yes': -2.6129506, 'No': -3.0897627, ' Wh': -4.7748175}
{' No': -0.02707486, 'No': -3.7049882, ' Yes': -7.102689, ' A': -7.692259, ' ': -7.727026}
{' Yes': -0.015682077, 'Yes': -4.390257, ' No': -6.5472865, ' yes': -7.2779117, ' A': -7.513469}
{' No': -0.35283008, ' Yes': -1.6293956, 'No': -3.1151307, ' Wh': -3.225196, ' Generally': -5.049897}
{' No': -0.11065723, 'No': -2.8163438, ' Yes': -3.5743964, ' Wh': -4.3639703, 'Yes': -6.7650375}
{' No': -0.42668235, 'No': -1.0700902, ' ': -7.038323, '\n': -7.103431, ' Wh': -7.2460914}
{' Yes': -0.3447892, 'Yes': -1.3565823, ' A': -4.943212, 'No': -4.9535613, ' No': -5.0940986}
{' No': -0.79795474, 'No': -1.0861131, ' Wh': -2.4391127, ' Yes': -3.2587967, ' Generally': -3.65717}
{' No': -1.2100695, 'No': -1.2310009, ' Yes': -1.8816832, ' Wh': -1.9118919, 'Yes': -2.8395634}
{' No': -0.14129047, 'No': -2.1812875, ' Yes': -4.677274, ' ': -6.069423, '\n': -6.304807}
{' Yes': -0.07630931, 'Yes': -2.9273546, ' yes': -4.9029193, ' A': -5.5556984, '\n': -5.8781047}
{' Yes': -0.17510743, ' No': -2.8428473, 'Yes': -3.1907284, ' Wh': -3.4602423, 'No': -4.6697836}
{' Yes': -0.3333353, ' No': -2.0345473, 'Yes': -2.5493636, 'No': -3.2959492, ' Wh': -3.9165874}
{' No': -0.04954009, ' Yes': -3.825211, 'No': -4.6015115, ' ': -5.1079564, ' no': -5.1845975}
{' Yes': -0.033195592, ' yes': -4.033617, 'Yes': -4.6752033, ' ': -6.0219245, ' A': -6.545408}
{' No': -0.02525554, 'No': -4.3822174, ' Yes': -5.2682076, ' ': -5.7278047, ' no': -6.3853064}
{' Yes': -0.35700092, ' No': -1.3630549, ' yes': -4.5268955, ' Wh': -4.5800786, ' ': -4.9305596}
{' No': -0.12451033, 'No': -2.3032498, '\n': -5.2644544, ' ': -5.283281, ' A': -5.9711375}
{' Yes': -0.066273645, 'Yes': -3.1826694, ' yes': -4.96411, ' A': -5.3441305, '\n': -5.3550916}
{' No': -0.17163736, 'No': -2.1079128, '\n': -4.4132333, ' Yes': -4.793896, ' ': -4.9641013}
{' No': -0.35663524, ' Yes': -1.964513, 'No': -2.1966581, '\n': -4.0734053, ' ': -4.548661}
{' No': -0.33571392, 'No': -1.8147502, '\n': -2.4844165, ' ': -4.187451, ' A': -4.333438}
{' Yes': -0.19115067, 'Yes': -2.1520004, '\n': -3.2726097, ' ': -4.9354267, ' yes': -5.0330944}
{' No': -0.37025768, 'No': -1.8640206, '\n': -2.3361483, ' ': -3.943717, ' Wh': -3.9766896}
{' No': -1.3073901, '\n': -1.3237801, ' Yes': -1.4218786, 'No': -2.5027733, ' Wh': -3.0327146}
{' No': -0.029851295, 'No': -3.6447, ' ': -6.541768, ' no': -7.2435207, '\n': -7.7517443}
{' Yes': -0.025514577, 'Yes': -4.216474, ' No': -5.3995833, ' yes': -6.0493746, ' A': -6.458825}
{' No': -0.06264838, 'No': -3.145677, ' Yes': -4.7068624, ' Wh': -5.9845295, '\n': -6.2644534}
{' Yes': -0.20672496, ' No': -1.9133176, 'Yes': -4.105948, ' Wh': -4.7566857, 'No': -5.0167494}
{' No': -0.40159374, 'No': -1.2766016, '\n': -3.4689698, ' ': -5.0033803, ' no': -5.170487}
{' Yes': -0.3322966, 'Yes': -1.6602671, '\n': -3.0548553, ' No': -4.3919983, ' yes': -4.4984965}
{' No': -0.43707645, 'No': -1.2711791, '\n': -3.433694, ' NO': -4.182997, ' ': -4.6276407}
{' No': -0.4261395, 'No': -1.2267948, '\n': -3.285152, ' ': -4.7059975, ' no': -5.9956946}
{' No': -0.20202179, 'No': -2.9110181, ' Yes': -2.954114, ' no': -3.7789986, ' A': -4.1465635}
{' Yes': -0.11037817, ' yes': -2.926826, 'Yes': -3.5301838, ' A': -5.070452, '\n': -5.305072}
{' No': -0.21011825, 'No': -2.5854511, '\n': -3.3865886, ' no': -3.889261, ' Yes': -3.9174078}
{' Yes': -0.6139333, ' No': -1.3740613, ' yes': -3.1599813, '\n': -3.338057, 'Yes': -3.5543447}
{' No': -0.061413344, ' Yes': -3.2467139, 'No': -4.7988973, ' A': -5.241324, '\n': -5.6669693}
{' Yes': -0.020722382, ' No': -5.03727, 'Yes': -5.205426, ' A': -5.483353, '\n': -6.3346257}
{' No': -0.051837787, '\n': -4.0019126, 'No': -4.422115, ' Yes': -4.4252453, ' ': -5.334369}
{' No': -0.73964316, ' Yes': -0.8912392, ' Wh': -3.0340064, '\n': -3.4246254, ' ': -4.566719}
{' No': -0.09240108, 'No': -2.895309, '\n': -3.8244512, ' ': -4.9068484, ' A': -5.9055514}
{' No': -0.27010515, ' Yes': -2.0193975, 'No': -3.0713232, '\n': -3.8105352, ' A': -3.9009073}
{' No': -0.12683566, 'No': -2.9692104, '\n': -3.0451627, ' ': -4.5728803, ' Yes': -5.5704093}
{' No': -0.19554, 'No': -2.8655305, '\n': -2.9899085, ' Wh': -3.6807482, ' Yes': -3.689303}
{' No': -0.121883586, 'No': -2.9257834, '\n': -3.3044453, ' ': -4.5312557, ' A': -4.614385}
{' Yes': -0.21714872, ' No': -2.4855452, ' A': -3.3422613, '\n': -3.4122834, 'Yes': -3.7042437}
{' No': -0.14493406, '\n': -2.897875, 'No': -3.2206023, ' Yes': -3.888981, ' ': -4.396765}
{' No': -0.51602966, ' Yes': -1.340815, '\n': -3.0312483, ' Wh': -3.2964861, 'No': -3.5720925}
{' No': -0.03202059, 'No': -4.1337886, ' ': -5.2438774, ' A': -5.363092, '\n': -5.4441586}
{' Yes': -0.3091442, ' No': -1.6742278, ' A': -3.0486002, ' ': -4.507964, '\n': -4.7430773}
{' No': -0.11189943, ' Yes': -3.5492294, '\n': -3.722739, 'No': -3.809905, ' Wh': -4.016177}
{' No': -0.47050327, ' Yes': -1.8332142, ' Wh': -2.2673154, '\n': -2.918417, 'No': -3.724789}
{' No': -0.072946265, 'No': -2.9310412, ' ': -5.0926394, '\n': -5.160995, ' A': -5.4662166}
{' No': -0.37872902, ' Yes': -1.7673723, 'No': -2.7120476, '\n': -3.6599293, ' A': -3.7563782}
{' No': -0.088138685, 'No': -2.9751396, '\n': -4.2783794, ' ': -4.485317, ' Yes': -5.520211}
{' No': -0.06279955, 'No': -3.10273, ' ': -5.1022835, '\n': -5.2418633, ' Wh': -5.703543}
{' No': -0.1509102, ' Yes': -2.99026, 'No': -3.3583248, ' A': -3.7856297, '\n': -4.182919}
{' Yes': -0.22535418, ' No': -2.173421, ' A': -3.1650531, 'Yes': -4.4231796, '\n': -4.5764413}
{' No': -0.12435394, 'No': -3.2315984, ' Yes': -3.474275, '\n': -3.9333336, ' ': -4.4547515}
{' No': -0.17434016, ' Yes': -2.6905584, 'No': -3.3483286, ' Wh': -3.5081186, '\n': -4.5711446}
{' Yes': -0.101519264, ' No': -2.389975, 'Yes': -5.7878976, 'No': -7.048439, ' Generally': -8.282797}
{' Yes': -0.068499446, ' No': -2.8569496, 'Yes': -5.1387677, 'No': -6.9375787, ' A': -7.0413423}
{' No': -0.32043526, ' Yes': -1.396735, ' Cam': -4.368365, 'No': -4.5703073, 'Yes': -6.3421597}
{' No': -0.09632013, ' Yes': -2.9384336, 'No': -3.7292373, ' CAM': -4.986153, ' Cam': -5.582429}
{' Yes': -0.290915, ' No': -1.4721799, 'No': -4.585646, 'Yes': -4.618407, ' ': -6.924658}
{' Yes': -0.07952194, ' No': -2.8550935, 'Yes': -4.3741364, 'No': -6.003603, ' A': -6.2932453}
{' Yes': -0.07023197, ' No': -2.9710307, 'Yes': -4.5741878, ' Cam': -5.7901773, 'No': -6.3330874}
{' No': -0.16189425, ' Yes': -2.3586352, 'No': -3.2133813, ' CAM': -5.355877, ' Cam': -5.475188}
{' No': -0.10323811, 'No': -3.0033767, ' Yes': -3.3423796, '\n': -4.871377, ' ': -5.7603745}
{' No': -0.29340678, ' Yes': -1.6743157, 'No': -3.2692065, '\n': -4.4740767, ' ': -5.148492}
{' No': -0.3674673, ' Yes': -1.3743166, 'No': -3.5576165, ' Cam': -4.544933, '\n': -5.1644697}
{' No': -0.09722986, 'No': -2.8741388, ' Yes': -4.123343, ' ': -5.0767717, ' CAM': -5.267617}
{' Yes': -0.15125121, ' No': -2.014443, 'Yes': -5.6580033, 'No': -6.430762, ' A': -6.7379856}
{' Yes': -0.07795315, ' No': -2.7210767, 'Yes': -5.1486506, ' A': -6.4608355, 'No': -6.7994547}
{' Yes': -0.26908436, ' No': -1.5682578, ' Cam': -4.0229445, 'Yes': -5.3148246, 'No': -5.5590773}
{' No': -0.04033594, 'No': -3.690011, ' Yes': -4.5588064, ' Cam': -5.939809, ' ': -7.4335775}
{' No': -0.11856101, 'No': -2.266077, '\n': -5.7279778, ' ': -5.872175, ' A': -7.1570973}
{' No': -0.12185295, 'No': -2.2511196, '\n': -5.573711, ' ': -5.7095356, ' A': -6.848604}
{' No': -0.11830126, 'No': -2.4176652, ' Cam': -4.7975426, '\n': -4.950668, ' ': -5.340475}
{' No': -0.14713274, 'No': -2.357462, ' CAM': -4.054483, '\n': -4.5095177, ' ': -4.5904536}
{' No': -0.11400757, ' Yes': -2.8560503, 'No': -3.1614165, ' A': -6.145236, ' Generally': -6.2628846}
{' No': -0.61589146, ' Yes': -0.9145631, 'No': -3.4259973, ' A': -4.643342, 'Yes': -4.837598}
