{' Yes': -0.004286734, 'Yes': -6.3658724, ' No': -6.7376213, ' Spider': -6.779202, ' yes': -9.341253}
{' Yes': -0.011164193, ' No': -4.7948914, 'Yes': -6.0200515, ' YES': -9.183919, ' yes': -9.288531}
{' Yes': -0.0068339473, ' No': -5.324789, 'Yes': -6.3402076, ' Sunset': -9.864232, ' yes': -10.156864}
{' Yes': -0.14505662, ' No': -2.0372646, 'Yes': -5.6615376, 'No': -7.8642416, ' Sun': -8.2218275}
{' Yes': -0.20530163, ' No': -1.6897452, 'Yes': -7.2439537, 'No': -8.542206, ' Nope': -10.547614}
{' No': -0.41317105, ' Yes': -1.1548036, ' Minute': -3.980739, 'No': -6.36688, ' Nope': -7.0579314}
{' Yes': -0.001278873, 'Yes': -6.940245, ' No': -8.244075, ' yes': -11.096642, '\n': -11.497954}
{' Yes': -0.017049257, ' No': -4.422794, 'Yes': -5.847462, ' Car': -6.428223, ' yes': -9.278434}
{' Yes': -0.6400866, ' No': -0.7719245, ' Wa': -5.9779243, ' Water': -6.0197887, 'No': -6.341717}
{' Yes': -0.028200844, ' No': -3.9048183, ' Water': -5.475567, 'Yes': -6.096709, ' yes': -8.173254}
{' No': -0.32301283, ' Yes': -1.2999244, 'No': -6.0345755, 'Yes': -7.5260267, '\n': -8.503207}
{' No': -0.47150376, ' Yes': -0.98691905, 'No': -6.2511625, 'Yes': -7.3027716, '\n': -8.355177}
{' No': -0.15935057, ' Yes': -1.9370509, ' Length': -6.352023, 'No': -6.832713, 'Yes': -8.591945}
{' No': -0.13615343, ' Yes': -2.0845234, 'No': -6.713395, ' Nope': -6.9638124, ' Length': -7.650784}
{' Yes': -0.0014523224, ' No': -7.073519, 'Yes': -7.5153356, ' yes': -10.467084, '\n': -11.363108}
{' Yes': -0.00084466924, 'Yes': -7.3569503, ' No': -8.739976, ' yes': -10.693614, ' YES': -11.37257}
{' Yes': -0.0051654633, ' France': -5.9395676, 'Yes': -6.594675, ' No': -7.0285015, ' yes': -9.100143}
{' Yes': -0.042896517, ' No': -3.2316952, 'Yes': -6.18918, 'No': -9.024233, '\n': -9.311765}
{' Yes': -0.10647648, ' No': -2.32507, ' Muscle': -6.6971707, 'Yes': -6.744454, ' Mus': -7.958178}
{' Yes': -0.21318576, ' No': -1.7752012, ' Muscle': -4.1753798, ' Mus': -5.519489, 'Yes': -6.468799}
{' Empire': -0.63559544, ' Yes': -0.84740454, ' Emperor': -3.8767986, ' Em': -4.500742, ' No': -4.8698483}
{' Empire': -0.68498665, ' Yes': -0.97944695, ' Em': -2.732594, ' Emperor': -3.6384492, ' No': -3.6933467}
{' No': -0.01041129, ' Yes': -5.040213, 'No': -5.9619074, ' Nope': -6.6983743, 'Yes': -10.559938}
{' No': -0.0051024957, 'No': -5.782143, ' Yes': -6.4166183, ' Nope': -7.979845, '\n': -11.619829}
{' Yes': -0.012306192, ' Hunger': -4.663574, 'Yes': -6.569643, ' No': -6.7054615, ' yes': -10.1955805}
{' Yes': -0.09981952, ' No': -2.3851683, ' Hunger': -6.4555035, 'Yes': -6.9965057, 'No': -8.5354595}
{' Yes': -0.0019432271, ' No': -6.779874, 'Yes': -7.179368, ' yes': -10.654801, ' YES': -11.412535}
{' Yes': -0.05054899, ' No': -3.0891535, 'Yes': -6.007477, ' St': -7.950142, ' YES': -8.458807}
{' Yes': -0.4319018, ' No': -1.0668658, ' Dagger': -5.7144465, 'Yes': -6.3373637, 'No': -7.262774}
{' Yes': -0.4960974, ' No': -0.9477956, 'Yes': -6.417215, 'No': -6.98764, ' Dagger': -7.5793166}
{' No': -0.6874312, ' Yes': -0.7034472, 'No': -6.814764, 'Yes': -6.9188795, '\n': -9.789621}
{' Yes': -0.009422767, ' No': -4.918286, 'Yes': -6.481367, ' Direct': -8.309782, ' yes': -9.820884}
{' No': -0.41776973, ' Yes': -1.0790418, 'No': -7.0662546, 'Yes': -7.6397414, '\n': -9.473621}
{' Yes': -0.47863266, ' No': -0.97093076, 'Yes': -7.0480313, 'No': -7.638916, '\n': -9.490032}
{' No': -0.2608091, ' Yes': -1.514578, ' Nope': -5.4146843, ' Office': -6.6142745, 'No': -6.7021785}
{' Yes': -0.4183628, ' No': -1.2268841, ' Office': -3.6394064, ' Off': -4.7509203, ' Nope': -5.312612}
{' No': -0.11724869, ' Yes': -2.271435, ' Behind': -5.520834, 'No': -5.998064, ' Nope': -7.998949}
{' Yes': -0.3421185, ' No': -1.6846992, ' Behind': -2.451318, ' Blind': -5.1657043, 'Yes': -5.340582}
{' Yes': -0.18020235, ' No': -1.8806933, ' Thread': -4.587505, 'Yes': -6.847278, ' Nope': -8.395593}
{' Yes': -0.13000722, ' No': -2.2415926, ' Thread': -4.333212, 'Yes': -6.9465876, ' Nope': -8.112862}
{' No': -0.5490439, ' Yes': -0.960398, ' Issue': -4.128932, '\n': -5.0178814, ' Nope': -5.711597}
{' No': -0.4158843, ' Yes': -1.089209, 'No': -6.7681255, 'Yes': -6.880927, '\n': -7.177416}
{' Yes': -0.100308195, ' No': -2.3829753, 'Yes': -6.4241033, ' Sure': -7.0967503, 'No': -8.288439}
{' Yes': -0.19581021, ' No': -1.8226221, ' Sure': -4.608545, 'Yes': -5.9702234, 'No': -7.2505217}
{' No': -0.13384013, ' Yes': -2.1039062, 'No': -6.401302, 'Yes': -7.3810725, ' Fl': -7.717}
{' No': -0.16573568, ' Yes': -1.8963358, 'No': -6.462831, 'Yes': -7.213905, ' Nope': -8.873797}
{' No': -0.56073815, ' Yes': -0.8577848, 'Yes': -6.378315, 'No': -6.607814, ' Sne': -6.923349}
{' Yes': -0.6032992, ' No': -0.7979289, 'Yes': -6.501157, 'No': -7.2567396, ' Nope': -8.038205}
{' Yes': -0.028961243, ' Better': -3.7650812, 'Yes': -5.948659, ' No': -6.159848, '\n': -8.700082}
{' Yes': -0.3315215, ' No': -1.29104, ' Better': -5.6423407, 'Yes': -6.365764, 'No': -7.038406}
{' Yes': -0.04990775, ' No': -3.0592232, 'Yes': -7.1003566, ' Purple': -7.1431847, 'No': -9.999313}
{' Yes': -0.27793506, ' No': -1.4447268, ' Purple': -5.2987733, 'Yes': -7.045845, 'No': -8.358229}
{' Yes': -0.05213633, ' No': -3.5114563, ' Animal': -4.183106, 'Yes': -5.313161, 'No': -7.9501367}
{' Yes': -0.20749445, ' No': -2.0841405, ' Animal': -2.8828099, 'Yes': -5.361442, 'No': -6.576413}
{' Hel': -0.13661747, ' Yes': -2.1748426, 'Helper': -5.4550843, ' Help': -5.8519654, ' helper': -6.2504745}
{' Yes': -0.70363504, ' Hel': -0.7235248, ' No': -4.897429, ' Help': -5.800402, 'Helper': -5.8951144}
{' Yes': -0.15950505, ' No': -1.9222728, 'Yes': -7.259267, 'No': -8.23623, ' Nope': -9.665134}
{' Yes': -0.0012760082, 'Yes': -7.022985, ' No': -8.097517, '\n': -10.704897, ' yes': -10.749952}
{' Yes': -0.061062522, ' No': -2.884791, 'Yes': -6.198824, ' Branch': -7.097806, 'No': -8.474287}
{' Yes': -0.043959815, ' No': -3.3858156, ' Branch': -5.349221, 'Yes': -5.680848, 'No': -8.420922}
{' Yes': -0.099717766, ' No': -2.464897, ' Pretty': -5.269956, 'Yes': -5.731475, 'No': -7.889874}
{' Yes': -0.29306746, ' No': -1.3853449, 'Yes': -6.154981, 'No': -7.155832, ' Pretty': -8.036941}
{' No': -0.06999324, ' Yes': -3.0453331, ' Ignore': -4.2163634, ' Ign': -5.699268, 'No': -6.827897}
{' No': -0.031064874, ' Yes': -3.5285985, 'No': -7.6881137, ' Ignore': -8.130559, ' Nope': -8.177849}
{' Yes': -0.4247536, ' No': -1.5985723, ' Divide': -1.9569458, 'Yes': -6.858398, ' Div': -7.2824855}
{' Yes': -0.4157653, ' No': -1.4487472, ' Divide': -2.27375, 'Yes': -7.03452, ' Div': -7.3568854}
{' Yes': -0.20729505, ' Hammer': -1.7074246, ' No': -5.510653, 'Yes': -6.683122, ' Ham': -8.9469595}
{' Yes': -0.03926429, ' Hammer': -3.472471, ' No': -5.104648, 'Yes': -6.854352, ' Ham': -9.411038}
{' Yes': -0.0021562725, 'Yes': -6.7119665, ' No': -7.0541277, '\n': -10.821568, ' yes': -10.85113}
{' Yes': -0.007983783, ' No': -5.1158843, 'Yes': -6.348016, '\n': -9.679232, ' yes': -9.818614}
{' No': -0.21897678, ' Yes': -1.6684874, 'No': -5.198282, 'Yes': -6.7657566, ' Mount': -7.715968}
{' No': -0.38282898, ' Yes': -1.1697094, 'No': -5.339658, 'Yes': -6.3147254, '\n': -8.593356}
{' Yes': -0.0051884702, ' No': -6.028925, 'Yes': -6.493426, ' Ex': -6.7869363, ' yes': -9.949799}
{' No': -0.09989579, ' Yes': -2.4006693, 'No': -6.3594213, ' Nope': -6.550882, ' Ex': -7.0873013}
{' Yes': -0.014560845, ' No': -5.0022964, ' Dollar': -5.038473, 'Yes': -6.94335, ' yes': -9.24294}
{' Yes': -0.021596, ' No': -4.023965, ' Dollar': -6.441042, 'Yes': -6.468586, ' yes': -9.3048}
{' Yes': -0.2694493, ' Planet': -1.8222923, ' No': -2.6623077, 'Yes': -5.948593, 'Planet': -7.659946}
{' Yes': -0.14536518, ' No': -2.6313462, ' Planet': -2.8194547, 'Yes': -5.874403, 'No': -8.217758}
{' Yes': -0.24444754, ' No': -1.5945604, ' Car': -4.821481, 'Yes': -5.7314506, 'No': -6.96081}
{' Yes': -0.032550808, ' No': -3.7051656, 'Yes': -5.601389, ' Car': -5.949151, ' yes': -8.135721}
{' Yes': -0.008634325, 'Yes': -5.772308, ' No': -5.917474, ' Ass': -6.012417, '\n': -9.530349}
{' Yes': -0.066241674, ' No': -3.5018094, ' Ass': -3.634124, 'Yes': -5.2244515, '\n': -7.6337366}
{' No': -0.22516027, ' Yes': -1.9176518, ' Circ': -3.34172, ' Circus': -4.8295836, ' Cir': -4.8362575}
{' No': -0.3020911, ' Circ': -2.1340823, ' Yes': -2.354257, ' Cir': -3.7997217, ' Circus': -3.8912785}
{' Yes': -0.026197307, ' No': -4.3066864, 'Yes': -5.4646525, ' Bal': -5.796984, ' Ball': -6.86963}
{' Yes': -0.08728641, ' No': -3.24955, ' Bullet': -4.2674975, ' Bal': -4.6006336, 'Yes': -5.16552}
{' Yes': -0.04539835, ' No': -3.1862922, ' Finger': -6.504415, 'Yes': -6.684203, 'No': -8.894759}
{' Yes': -0.2820977, ' No': -1.444331, ' Finger': -4.919873, 'Yes': -6.7566476, 'No': -7.2609715}
{' Yes': -0.99378973, ' Law': -1.0847588, ' No': -1.3425884, 'Law': -5.2084637, ' L': -5.3605595}
{' Yes': -0.39648637, ' No': -1.1697904, ' Law': -4.876852, 'Yes': -5.6978154, 'No': -6.905392}
{' Yes': -0.21552715, ' No': -1.8923994, ' Smooth': -3.360516, 'Yes': -5.4576306, ' Nope': -6.5632577}
{' Yes': -0.6119773, ' No': -0.79264146, 'No': -6.618403, 'Yes': -6.63057, ' Nope': -6.7926054}
{' Yes': -0.5397389, ' Cancer': -1.0715477, ' No': -3.0868886, ' Cance': -3.8836756, 'Yes': -5.7051973}
{' Yes': -0.44300646, ' No': -1.6680393, ' Cancer': -2.4857423, ' Cance': -2.7492542, ' Cancel': -5.0560484}
{' Yes': -0.017567104, ' Sc': -4.6824346, ' No': -5.6304326, 'Yes': -5.6321163, ' yes': -8.283803}
{' Yes': -0.02011319, ' No': -4.7542973, ' Sc': -4.902334, 'Yes': -5.8073916, ' Scar': -8.551067}
{' No': -0.18631184, ' Yes': -1.7821562, 'No': -6.707236, 'Yes': -8.13566, ' Nope': -9.327112}
{' No': -0.13341534, ' Yes': -2.0971184, 'No': -6.448944, 'Yes': -8.181903, ' Nope': -8.832518}
{' No': -0.31990048, ' Yes': -1.3183537, ' Ex': -5.7435775, 'No': -6.776258, '\n': -7.2927127}
{' No': -0.17483266, ' Yes': -1.8454354, 'No': -6.6085443, '\n': -7.447707, 'Yes': -8.07088}
{' No': -0.2952507, ' Yes': -1.3689755, 'No': -7.1155977, 'Yes': -8.206355, ' Nope': -8.967407}
{' No': -0.06209352, ' Yes': -2.8283362, 'No': -7.0039034, ' Nope': -9.462752, 'Yes': -9.686646}
{' No': -0.17962089, ' Yes': -1.8257675, 'No': -6.123274, 'Yes': -7.889784, ' Nope': -8.027702}
{' Yes': -0.47036713, ' No': -1.147842, ' Cowboy': -3.2476802, ' Cow': -4.8508716, ' Cowboys': -5.1259074}
{' Yes': -0.5274723, ' No': -0.9075993, ' Finish': -5.7484784, 'Yes': -6.37399, 'No': -6.7746515}
{' Yes': -0.3388081, ' No': -1.8024845, ' Finish': -2.2549343, ' Fish': -4.9545417, 'Yes': -5.3731155}
{' No': -0.23786853, ' Yes': -1.5683757, 'No': -6.341864, 'Yes': -7.542662, ' Nope': -7.6981072}
{' No': -0.15745671, ' Yes': -1.9467406, 'No': -6.299157, '\n': -7.8746786, 'Yes': -7.89165}
{' Yes': -0.029807692, ' Repeat': -3.6317666, 'Yes': -6.487666, ' No': -6.94824, ' Repe': -8.261647}
{' Yes': -0.004920386, ' No': -6.1572676, ' Repeat': -6.291324, 'Yes': -7.1134214, ' Repe': -9.688806}
{' Yes': -0.03474403, ' Spider': -3.5654864, 'Yes': -6.1173053, ' No': -6.426366, ' Sp': -7.0076294}
{' Yes': -0.023233319, ' No': -3.861271, 'Yes': -6.800657, ' Spider': -7.640634, ' Nope': -8.982544}
{' Yes': -0.007292311, ' No': -5.5780582, ' Candle': -6.0912495, 'Yes': -7.009272, ' Cand': -9.206615}
{' Yes': -0.022706682, ' Candle': -4.0569415, ' No': -6.5074916, ' Cand': -6.516395, 'Yes': -6.5352817}
{' Yes': -0.0041789305, ' No': -6.4153495, 'Yes': -6.488143, ' Thr': -7.550569, ' yes': -8.7480135}
{' Yes': -0.005189669, ' No': -5.606681, 'Yes': -6.636428, ' yes': -9.494438, ' YES': -10.575714}
{' Yes': -0.0167107, ' No': -4.722891, ' Beach': -5.1981163, 'Yes': -6.5220165, ' yes': -9.016238}
{' Yes': -0.005233528, ' No': -5.4384418, 'Yes': -7.2106166, ' yes': -9.9643545, ' Beach': -10.25402}
{' Yes': -0.0009045636, 'Yes': -7.122263, ' yes': -10.253611, ' No': -10.792803, ' Flower': -11.071005}
{' Yes': -0.005158333, ' Flower': -5.830344, 'Yes': -6.525704, ' No': -7.7710195, ' yes': -8.804674}
{' No': -0.2845525, ' Yes': -1.4100448, 'No': -6.504073, ' Nope': -6.831649, 'Yes': -7.602416}
{' No': -0.32158655, ' Yes': -1.2963601, 'No': -7.0234504, 'Yes': -7.9062133, ' Nope': -9.089578}
{' No': -0.2289785, ' Yes': -1.6198248, 'No': -5.996881, ' Indian': -6.0268893, ' India': -7.0538125}
{' No': -0.22049093, ' Yes': -1.6383853, 'No': -6.227485, ' Indian': -7.414905, 'Yes': -8.107682}
{' Yes': -0.110022664, ' Orange': -2.2770112, 'Yes': -6.94139, ' No': -8.640312, ' Sure': -8.655842}
{' Yes': -0.009015385, ' Orange': -4.9162455, 'Yes': -6.721532, ' No': -8.572658, ' Sure': -9.304204}
{' Yes': -0.008075894, ' No': -5.402437, 'Yes': -6.2333965, ' Hungry': -6.736919, ' YES': -9.851044}
{' Yes': -0.050219323, ' No': -3.0393283, 'Yes': -7.048001, 'No': -9.493404, ' Nope': -9.673907}
{' Yes': -0.04632464, ' No': -3.1318212, 'Yes': -6.8078275, ' Number': -8.426214, 'No': -9.329953}
{' Yes': -0.3355962, ' No': -1.2706224, ' Number': -6.3835235, 'Yes': -6.6732936, 'No': -7.2471805}
{' Mirror': -0.8310747, ' Yes': -1.0824424, ' No': -1.6363287, ' Mir': -3.8873577, ' Error': -6.407331}
{' Yes': -0.19794999, ' No': -1.7345767, ' Mirror': -6.5703382, 'Yes': -7.1880064, ' Mir': -7.979087}
{' Yes': -0.0008571955, 'Yes': -7.155291, ' yes': -10.382614, ' YES': -10.456343, 'yes': -12.281761}
{' Yes': -0.0012653846, 'Yes': -6.7367787, ' yes': -10.724802, ' YES': -10.897736, ' ': -11.185671}
{' Yes': -0.1354457, ' No': -2.317359, ' Pepper': -4.0908556, ' Pe': -5.297353, 'Yes': -5.6579213}
{' Yes': -0.07566402, ' No': -2.7568583, 'Yes': -5.7820783, ' Pepper': -5.7975545, ' Pe': -6.5521226}
{' Yes': -0.012913848, ' Cheese': -4.809598, 'Yes': -5.7583776, ' Che': -7.094952, ' No': -8.416751}
{' Yes': -0.0013479257, 'Yes': -6.7398505, ' No': -9.886344, ' Cheese': -10.180995, ' yes': -11.078052}
{' No': -0.20954905, ' Yes': -1.677725, 'No': -6.575813, ' Nope': -7.479854, 'Yes': -8.473718}
{' No': -0.6584844, ' Yes': -0.74520206, ' Nope': -5.32224, 'No': -6.6221895, 'Yes': -7.09747}
{' Yes': -0.2439448, ' No': -1.7424076, ' Sure': -4.120568, ' Squ': -4.174498, ' Square': -4.940142}
{' Yes': -0.86956125, ' Squ': -1.3760215, ' Sure': -1.9242145, ' No': -2.0682516, ' Square': -3.0221033}
{' Yes': -0.00060989487, 'Yes': -7.538522, ' yes': -10.915114, ' YES': -10.977027, ' ': -11.446041}
{' Yes': -0.00089484104, 'Yes': -7.216596, ' No': -9.892343, ' YES': -10.618679, ' yes': -10.726973}
{' Yes': -0.0067781964, 'Yes': -5.731296, ' No': -5.8197756, ' Leaves': -8.666852, ' yes': -8.934496}
{' Yes': -0.018015975, ' No': -4.290351, 'Yes': -5.6375437, ' yes': -8.867555, ' YES': -9.031096}
{' Yes': -0.07107525, ' Ending': -2.9574678, ' No': -4.3274536, 'Yes': -5.882095, ' yes': -8.758945}
{' Yes': -0.56867355, ' Ending': -0.8686213, ' No': -4.548597, 'Yes': -6.321023, ' End': -7.1884665}
{' Yes': -0.047758434, ' Energy': -3.1407776, 'Yes': -6.297088, ' No': -7.314586, ' Absolutely': -8.707015}
{' Yes': -0.0775869, ' Energy': -2.707998, ' No': -5.3922, 'Yes': -6.4702277, ' Absolutely': -7.919044}
{' Yes': -0.0011987245, 'Yes': -7.181643, ' Father': -8.5875435, ' No': -8.953742, ' yes': -9.81991}
{' Yes': -0.0011354707, 'Yes': -7.0742245, ' No': -9.02317, ' Father': -9.27685, ' yes': -10.579337}
{' Yes': -0.3969992, ' No': -1.1203021, 'Yes': -7.1528945, 'No': -7.657079, ' Pen': -9.499951}
{' Yes': -0.010948554, ' No': -4.6621685, 'Yes': -6.7988315, ' Pen': -9.135179, ' yes': -9.1834345}
{' Yes': -0.15828355, ' Street': -1.9391805, 'Yes': -6.531345, ' No': -7.910919, ' yes': -8.455028}
{' Yes': -0.0023209136, 'Yes': -6.447965, ' No': -7.445915, ' YES': -9.957439, ' yes': -10.103424}
{' Yes': -0.0005894979, 'Yes': -7.563064, ' Strong': -10.528089, ' yes': -11.002103, ' YES': -11.348097}
{' Yes': -0.035679348, ' Strong': -3.3887045, 'Yes': -6.9358582, ' yes': -9.141629, 'Strong': -10.087898}
{' Yes': -0.06462247, ' Seller': -2.8177464, ' No': -6.6497703, 'Yes': -7.1821837, ' yes': -8.107748}
{' Yes': -0.026227286, ' Seller': -3.7213833, 'Yes': -7.094705, ' yes': -7.934671, ' No': -8.488896}
{' Yes': -0.01627956, ' Bl': -4.61921, ' No': -5.472416, 'Yes': -6.760041, ' yes': -8.687877}
{' Yes': -0.15767351, ' Bl': -2.4785352, ' No': -2.855248, 'Yes': -6.2732177, ' yes': -7.711423}
{' Yes': -0.0038382965, ' No': -6.3788724, 'Yes': -6.5507207, ' B': -8.066122, ' yes': -9.15064}
{' Yes': -0.012099418, ' B': -5.2460957, 'Yes': -6.099275, ' No': -6.9619, ' Brow': -7.224776}
{' Yes': -0.0019669929, ' No': -6.561234, 'Yes': -7.5878015, ' yes': -10.575687, ' YES': -11.458854}
{' Yes': -0.11908902, ' No': -2.3611696, ' Prince': -4.688682, ' Nope': -5.8146815, 'Yes': -6.138831}
{' Yes': -0.0019514093, 'Yes': -6.733835, ' Parent': -8.044653, ' No': -8.415733, ' yes': -9.270279}
{' Yes': -0.030429266, ' Parent': -3.6815026, 'Yes': -5.898984, ' No': -7.4699144, ' Parents': -7.836624}
{' Yes': -0.0008623262, 'Yes': -7.1951885, ' No': -10.076038, ' yes': -10.679424, ' YES': -10.845304}
{' Yes': -0.00079515536, 'Yes': -7.3130198, ' No': -9.853183, ' yes': -10.910136, ' YES': -10.997579}
{' Yes': -0.099887885, ' No': -2.3726788, 'Yes': -6.752736, ' Nope': -8.451959, 'No': -8.607785}
{' Yes': -0.07798569, ' No': -2.6256998, ' Nope': -6.4671516, 'Yes': -7.285843, 'No': -9.421222}
{' Yes': -0.008485417, ' No': -5.509414, 'Yes': -5.6703925, ' Stars': -7.6713476, ' St': -8.429869}
{' Yes': -0.16589221, ' St': -2.5428243, ' Stars': -3.0093274, ' No': -4.677714, 'Yes': -4.788481}
{' Yes': -0.0029094412, ' Doctor': -6.5176115, 'Yes': -6.719691, ' yes': -8.853177, ' YES': -10.721823}
{' Yes': -0.0053255656, ' Doctor': -5.7888923, 'Yes': -6.3956447, ' No': -8.0588875, ' yes': -8.805965}
{' No': -0.046748504, ' Yes': -3.2612453, 'No': -5.6989775, ' Nope': -6.0596995, ' Not': -7.508805}
{' No': -0.040383227, ' Yes': -3.4709477, 'No': -5.7944617, ' Nope': -5.827452, ' Not': -6.8855715}
{' Tennis': -0.72506905, ' Tenn': -1.4608804, ' Yes': -1.5638027, ' No': -3.4861698, ' Ten': -3.9815214}
{' Yes': -0.46073753, ' No': -1.5065082, ' Tennis': -2.1470416, ' Tenn': -4.0007043, ' Ten': -5.256584}
{' Yes': -0.06202718, ' No': -3.1472092, ' Bucket': -4.3402214, 'Yes': -5.906586, ' Buck': -7.691483}
{' Yes': -0.3797548, ' Bucket': -1.2631282, ' No': -4.305736, ' Buck': -4.3674846, 'Yes': -5.621103}
{' Yes': -0.045615435, ' No': -4.038413, ' States': -4.5398855, ' St': -4.745136, 'Yes': -5.156286}
{' Yes': -0.06893397, ' No': -3.4160657, ' States': -4.121634, ' St': -4.7271295, 'Yes': -5.004589}
{' Yes': -0.0026737023, 'Yes': -6.2876143, ' Yep': -8.776798, ' No': -9.107161, ' YES': -9.186172}
{' Yes': -0.0025011757, 'Yes': -6.424513, ' No': -7.713219, ' Yep': -9.281688, ' Sure': -9.651228}
{' Yes': -0.02275924, ' No': -4.549609, ' In': -4.759917, 'Yes': -6.1856065, ' inh': -7.939517}
{' No': -0.15476497, ' Yes': -2.095227, ' Nope': -4.4666753, ' Nah': -5.845944, 'No': -5.8845153}
{' Yes': -0.012389953, ' Loving': -4.682325, 'Yes': -6.3679366, ' Lov': -7.9704385, ' YES': -7.977297}
{' Yes': -0.0018424217, 'Yes': -6.584995, ' YES': -8.966243, ' Yep': -9.571214, ' yes': -9.63916}
{' Yes': -0.054905213, ' No': -3.4156036, ' Turtle': -4.020075, 'Yes': -6.4442635, ' Absolutely': -8.547174}
{' Yes': -0.45578316, ' No': -1.0243562, ' Turtle': -5.22647, 'Yes': -7.296242, 'No': -7.6894956}
{' Yes': -0.0048399456, 'Yes': -6.099982, ' Butter': -6.2944016, ' No': -8.360281, ' yes': -8.912577}
{' Yes': -0.03908069, ' Butter': -3.4979334, ' No': -5.3967752, 'Yes': -6.350056, ' But': -7.138145}
{' Yes': -0.0020008, ' No': -6.931463, 'Yes': -7.222442, ' yes': -9.488616, ' Bing': -9.532164}
{' Yes': -0.001749868, ' No': -6.9968133, 'Yes': -7.2282667, ' yes': -9.852573, ' YES': -10.815651}
{' Yes': -0.0807818, ' No': -2.5732975, 'Yes': -6.9581537, 'No': -9.027975, ' Nope': -9.169322}
{' Yes': -0.3205605, ' No': -1.3337955, ' Twelve': -5.0973854, 'Yes': -6.6682806, ' Eleven': -6.7114635}
{' Yes': -0.010409062, 'Yes': -5.3644185, ' She': -5.4796453, ' YES': -8.116761, ' No': -8.255788}
{' Yes': -0.008531523, 'Yes': -5.214372, ' She': -6.3550696, ' YES': -8.0557, ' No': -8.531738}
{' Yes': -0.0045560277, 'Yes': -5.9745784, ' No': -7.2773314, ' Stress': -7.570816, ' YES': -8.11175}
{' Yes': -0.008081065, ' No': -5.6359234, 'Yes': -5.9526663, ' Stress': -7.2359858, ' St': -7.7560287}
{' Yes': -0.0015914717, 'Yes': -6.8659368, ' No': -7.662045, ' yes': -10.285043, ' YES': -10.806825}
{' Yes': -0.020877143, ' No': -4.4263697, 'Yes': -5.667588, ' Sunset': -5.9812975, ' Sun': -6.6412263}
{' Yes': -0.035561062, ' No': -3.3798544, 'Yes': -7.322031, 'No': -10.006463, ' Minute': -10.116311}
{' Yes': -0.9001421, ' Minute': -1.1440386, ' No': -1.381925, ' M': -5.3212614, ' Nope': -5.405609}
{' Yes': -0.0014236111, 'Yes': -6.9560018, ' No': -7.8266068, ' yes': -10.42588, ' YES': -11.3478365}
{' Yes': -0.01232882, ' No': -4.478679, 'Yes': -7.281558, ' Nope': -9.390817, ' Sure': -10.299874}
{' Yes': -0.087008856, ' No': -2.5699952, 'Yes': -6.0559645, ' Wa': -6.531733, ' Water': -7.596882}
{' Yes': -0.0070212646, 'Yes': -6.109757, ' No': -6.129715, ' Water': -6.9545326, ' Wa': -7.949619}
{' Yes': -0.37091917, ' No': -1.1759348, 'Yes': -7.503037, 'No': -7.6859097, ' Nope': -8.798084}
{' No': -0.48235735, ' Yes': -0.969912, ' Nope': -6.735254, 'No': -6.7500134, 'Yes': -7.807586}
{' No': -0.38788897, ' Yes': -1.140771, 'No': -7.2506533, ' Length': -7.2968836, ' Nope': -8.229671}
{' No': -0.55886793, ' Yes': -0.86463875, ' Nope': -5.7653666, ' Length': -5.9496183, 'No': -7.2847166}
{' Yes': -0.0012222949, 'Yes': -7.40056, ' No': -7.5341983, ' yes': -10.070193, '\n': -11.776833}
{' Yes': -0.0011009781, 'Yes': -7.01751, ' No': -9.349457, ' yes': -9.7421, ' YES': -10.774027}
{' Yes': -0.00084908464, 'Yes': -7.273334, ' No': -9.963772, ' yes': -10.048637, ' YES': -10.523414}
{' Yes': -0.01273158, ' No': -4.5641994, 'Yes': -6.391815, ' yes': -8.891734, ' Nope': -9.340104}
{' Yes': -0.014521412, ' No': -4.4350195, 'Yes': -6.803541, ' Muscle': -7.104769, ' Mus': -8.099592}
{' Yes': -0.06658444, ' No': -2.8845773, ' Muscle': -5.6082425, ' Mus': -6.1727552, 'Yes': -6.3512273}
{' Empire': -0.76770693, ' Yes': -0.81589615, ' Em': -2.981015, ' Emperor': -3.5561476, ' No': -4.770421}
{' Empire': -0.5487213, ' Yes': -1.1470032, ' Em': -2.6281662, ' Emperor': -3.960489, ' No': -4.8070793}
{' No': -0.013156966, ' Yes': -4.8225155, ' Nope': -5.847383, 'No': -6.1992507, 'Yes': -10.754675}
{' No': -0.0069569815, ' Yes': -5.302636, 'No': -6.426455, ' Nope': -8.1160755, '\n': -11.333472}
{' Yes': -0.0034971784, ' Hunger': -6.2764325, 'Yes': -6.8862557, ' No': -7.94245, ' yes': -9.80902}
{' Yes': -0.006192548, ' No': -5.1971235, 'Yes': -7.502889, ' yes': -10.750452, ' YES': -10.979457}
{' Yes': -0.0006370312, 'Yes': -7.448385, ' yes': -10.513233, ' YES': -11.407121, ' No': -11.445852}
{' Yes': -0.042463943, ' No': -3.260861, 'Yes': -6.1681767, ' Nope': -8.186673, ' yes': -8.471996}
{' Yes': -0.09317568, ' No': -2.682283, ' Dagger': -4.150968, 'Yes': -5.9455266, ' yes': -7.2321835}
{' Yes': -0.02899198, ' No': -3.6395795, 'Yes': -6.236408, 'No': -9.344325, ' yes': -9.56134}
{' Yes': -0.00983898, ' No': -4.7857804, 'Yes': -6.6323857, ' yes': -10.02616, ' YES': -10.246467}
