{' Yes': -0.0061298776, 'Yes': -5.340942, ' Generally': -7.020786, ' yes': -8.552528, ' An': -10.049665}
{' Yes': -0.064101495, ' No': -2.972886, 'Yes': -5.217448, ' yes': -6.3006315, 'No': -6.409505}
{' Yes': -0.013961617, 'Yes': -4.5793986, ' yes': -5.9071784, ' No': -8.1533785, ' ': -8.474364}
{' No': -0.27902433, 'No': -1.5765325, '\n': -3.7381191, ' ': -5.247382, ' no': -5.683469}
{' No': -0.27861574, 'No': -1.5261322, '\n': -4.051967, ' ': -5.1827426, ' no': -6.549338}
{' No': -0.23902597, 'No': -1.7211369, '\n': -3.9801843, ' ': -5.1283927, ' no': -5.7077365}
{' No': -0.23025535, 'No': -1.7550299, '\n': -4.156707, ' ': -5.0012493, ' Yes': -5.2556458}
{' Yes': -0.17201751, ' yes': -2.021026, 'Yes': -4.2875223, '\n': -5.8859367, ' No': -5.904079}
{' Yes': -0.09967352, ' yes': -2.5236883, 'Yes': -4.586446, ' ': -6.360015, '\n': -6.574553}
{' Yes': -0.16968575, ' yes': -2.243004, 'Yes': -4.141993, ' No': -4.2058606, '\n': -4.998274}
{' Yes': -0.1603256, ' yes': -2.1489599, 'Yes': -3.810548, '\n': -5.706838, 'yes': -5.772058}
{' Yes': -0.0060101817, 'Yes': -5.847418, '\n': -6.9055643, ' yes': -7.1080894, ' ': -7.4338093}
{' Yes': -0.0032886893, 'Yes': -6.4796333, '\n': -7.235216, ' yes': -7.696039, ' ': -8.042332}
{' Yes': -0.008025725, ' No': -6.129846, '\n': -6.1377063, 'Yes': -6.175346, ' ': -7.4245925}
{' Yes': -0.010269342, ' No': -5.4544086, 'Yes': -5.8683224, '\n': -6.556808, ' ': -7.459824}
{' No': -0.59918, ' Yes': -1.1567458, '\n': -2.9120824, 'No': -2.9617743, ' ': -4.2292094}
{' Yes': -0.034991898, '\n': -4.5613356, 'Yes': -4.5763164, ' No': -4.9995456, ' ': -5.498487}
{' Yes': -0.5638106, ' No': -1.4548113, '\n': -2.174204, ' Ow': -3.5717316, ' ': -3.9146898}
{' Yes': -0.04064758, '\n': -4.2051697, 'Yes': -4.271467, ' ': -5.647918, ' No': -6.005744}
{' No': -0.80782944, ' Yes': -0.8637779, '\n': -2.9169965, 'No': -3.4300027, ' An': -4.0099816}
{' Yes': -0.12393191, ' No': -3.1761053, '\n': -3.4002664, 'Yes': -4.130077, ' ': -4.588732}
{' Yes': -0.5448998, ' No': -1.3962908, '\n': -2.7622077, ' Ow': -2.7681892, ' ': -3.9862812}
{' Yes': -0.051351886, 'Yes': -4.184738, ' No': -4.3870296, ' Ow': -4.777514, '\n': -5.0001564}
{' Yes': -0.5142369, ' No': -1.0036206, '\n': -4.437571, ' ': -4.5399957, 'No': -4.998446}
{' Yes': -0.122517705, ' No': -2.359643, '\n': -4.765744, ' ': -5.0608873, 'Yes': -5.864636}
{' Yes': -0.15292883, ' No': -2.2813125, '\n': -3.9329083, ' ': -4.867957, 'Yes': -5.351064}
{' Yes': -0.036382843, ' No': -3.9554749, '\n': -5.0989494, 'Yes': -5.2466393, ' ': -5.866795}
{' No': -0.07778363, 'No': -2.8737297, '\n': -4.8348694, ' ': -4.9968376, ' Yes': -6.3258038}
{' No': -0.099848166, 'No': -2.8379843, ' Yes': -4.051203, ' ': -4.963169, '\n': -4.9672985}
{' No': -0.1128733, 'No': -3.0659792, ' Yes': -3.7537558, '\n': -4.1870213, ' ': -4.514134}
{' No': -0.20892303, ' Yes': -2.1069674, 'No': -3.0912452, ' ': -4.93811, '\n': -5.007278}
{' Yes': -0.14828989, ' No': -2.4328396, '\n': -4.27579, 'Yes': -4.4677005, ' ': -4.528674}
{' Yes': -0.014812225, 'Yes': -5.220041, ' yes': -5.702749, ' ': -5.95499, '\n': -6.059432}
{' Yes': -0.039801717, ' No': -4.2866526, 'Yes': -4.7625914, ' yes': -5.4317827, '\n': -5.4732313}
{' Yes': -0.026311364, 'Yes': -4.5866823, ' No': -5.273366, ' yes': -5.4024806, ' ': -6.2697806}
{' No': -0.09277175, ' Generally': -3.180082, 'No': -3.9544773, ' Yes': -4.8833447, ' It': -5.3207455}
{' Yes': -0.1198698, ' No': -3.015114, ' Generally': -3.3806539, ' An': -4.6430078, 'Yes': -5.2409005}
{' No': -0.31549826, ' Generally': -2.183344, ' Ow': -2.4981573, 'No': -3.9568977, ' It': -4.0152855}
{' No': -0.14203794, ' Generally': -2.9381747, ' It': -3.7231324, 'No': -3.7426162, ' Ow': -4.500592}
{' No': -0.12851688, 'No': -2.3143232, ' Generally': -4.3123755, ' Ow': -6.1586394, ' An': -6.397224}
{' No': -0.81925696, ' Yes': -1.1203053, ' Generally': -2.3999894, 'No': -3.0505362, ' An': -3.368598}
{' No': -0.2677202, 'No': -2.1998415, ' Generally': -3.030999, ' Ow': -3.198186, ' It': -4.3433957}
{' No': -0.13869612, 'No': -2.379745, ' Generally': -4.6466804, ' Ow': -4.878499, ' It': -4.897592}
{' No': -0.1193458, 'No': -2.3695078, ' Generally': -5.2360563, ' An': -5.547347, ' Yes': -6.01367}
{' Yes': -0.46107763, ' No': -1.453967, ' An': -3.4848735, ' Generally': -3.6218228, 'No': -3.7134485}
{' No': -0.26494512, ' Ow': -2.4465036, 'No': -2.5405836, ' Generally': -3.658681, ' It': -4.228387}
{' No': -0.12970142, 'No': -2.439222, ' Ow': -4.309694, ' It': -5.3599133, ' Generally': -5.773292}
{' No': -0.049598403, 'No': -3.696672, ' Generally': -4.743652, ' Ow': -4.91484, ' An': -5.5368857}
{' No': -0.39280996, ' Yes': -2.0094728, ' Generally': -2.6619883, ' An': -3.2509546, 'No': -3.6854618}
{' No': -0.275739, ' Ow': -2.0446217, ' Generally': -2.9714727, 'No': -3.5600595, ' On': -4.0601244}
{' No': -0.07009904, 'No': -3.0983315, ' Ow': -4.399967, ' Generally': -4.9514694, ' Not': -7.498051}
{' No': -0.13891833, 'No': -2.2364526, ' Generally': -5.2465186, ' An': -5.7402163, ' ': -5.857127}
{' No': -0.12972978, 'No': -2.4437993, ' An': -4.5873485, ' ': -5.4526277, ' Generally': -5.486072}
{' No': -0.26835915, 'No': -2.159249, ' Ow': -3.0622566, ' Generally': -3.9299784, ' It': -4.2825165}
{' No': -0.19504566, 'No': -1.9190408, '\n': -5.1046114, ' Ow': -5.233862, ' OW': -5.432209}
{' No': -0.2573036, 'No': -2.68178, ' Generally': -2.8142624, ' Yes': -3.4609454, ' Ow': -3.718014}
{' Yes': -0.62226546, ' No': -2.0296311, ' Generally': -2.1633632, ' An': -2.6417243, ' Ow': -3.246138}
{' No': -0.4602169, ' Ow': -1.7576127, 'No': -2.5622334, ' Generally': -2.8316617, ' It': -4.4738216}
{' No': -0.21112679, 'No': -1.9948848, ' Ow': -3.7349885, ' Generally': -4.769493, ' OW': -5.181269}
{' No': -0.016347114, 'No': -4.352353, ' ': -6.880982, '\n': -7.2292695, ' An': -7.571479}
{' Yes': -0.102314375, ' No': -2.61364, ' Generally': -4.8375325, ' An': -5.2306237, 'Yes': -6.1662498}
{' No': -0.020912504, 'No': -4.4151955, ' Ow': -5.5553474, ' Generally': -6.171301, ' ': -6.788622}
{' No': -0.03735336, 'No': -4.3330493, ' Ow': -4.7787967, ' Generally': -5.530954, ' Yes': -5.935831}
{' No': -0.10296792, 'No': -2.4049926, '\n': -5.8833003, ' ': -6.247432, ' An': -6.729833}
{' No': -0.079194784, 'No': -2.8384795, ' An': -5.1285872, '\n': -5.7132263, ' ': -6.03668}
{' No': -0.09441547, 'No': -2.789184, ' Ow': -3.961082, ' Generally': -5.5183387, ' ': -6.0194316}
{' No': -0.076330215, 'No': -2.986919, ' Ow': -4.7392883, ' Generally': -5.7240996, ' OW': -5.8665357}
{' No': -0.21301219, 'No': -2.350307, '\n': -2.6169791, ' ': -4.4674067, ' An': -5.123899}
{' No': -0.23389508, 'No': -2.4301002, '\n': -2.7129579, ' An': -3.8247364, ' ': -4.1332955}
{' No': -0.21134384, 'No': -2.3436356, '\n': -2.731905, ' Ow': -4.361709, ' ': -4.408867}
{' No': -0.20081118, 'No': -2.3905199, '\n': -2.746061, ' ': -4.226846, ' Ow': -5.164051}
{' No': -0.01985646, 'No': -3.9925427, ' ': -7.21848, ' An': -8.234078, '\n': -9.559154}
{' No': -0.15015157, ' Yes': -2.3209755, 'No': -4.2717757, ' An': -4.4135275, ' Generally': -5.2647834}
{' No': -0.0251663, 'No': -3.821652, ' Ow': -6.1429806, ' ': -7.858927, ' Generally': -8.375556}
{' No': -0.026943387, 'No': -3.8739336, ' Ow': -5.7125244, ' ': -7.320589, ' It': -7.5672226}
{' No': -0.32466966, 'No': -1.4091156, '\n': -3.9552655, ' ': -4.884993, ' An': -5.9539742}
{' No': -0.2787146, 'No': -1.5583109, ' An': -4.666888, ' ': -4.7112193, '\n': -4.726058}
{' No': -0.28253502, 'No': -1.5271925, '\n': -4.217691, ' ': -4.8999047, ' Ow': -5.6391954}
{' No': -0.24110223, 'No': -1.650135, '\n': -4.8538246, ' ': -5.046132, ' Ow': -5.2946606}
{' No': -0.070569634, 'No': -2.8544118, ' ': -5.7064195, ' An': -5.906503, ' Generally': -6.939722}
{' Yes': -0.17186263, ' No': -2.6499338, ' An': -3.6470003, ' Generally': -3.974822, 'Yes': -4.5936813}
{' No': -0.1426746, 'No': -2.4609365, ' Ow': -3.5593996, ' Generally': -5.187644, ' ': -5.264352}
{' No': -0.21138911, 'No': -2.5464263, ' Ow': -2.7486606, ' OW': -4.714397, ' ': -4.862215}
{' No': -0.2557895, 'No': -2.1104763, ' Ow': -3.7817686, ' An': -3.9573293, ' Generally': -3.996392}
{' No': -0.5143675, ' Yes': -2.0231583, 'No': -2.432197, ' An': -2.6283946, ' Generally': -3.5527203}
{' No': -0.35577422, 'No': -2.1136944, ' Ow': -2.4121487, ' Generally': -3.783786, ' It': -3.9082072}
{' No': -0.29094988, 'No': -2.1880732, ' Ow': -3.2072656, ' It': -3.41724, ' That': -4.369028}
{' No': -0.14837402, 'No': -1.9865239, ' ': -8.444278, ' Generally': -8.535123, ' no': -9.425595}
{' No': -0.10471249, 'No': -2.3162925, ' ': -8.552339, ' OW': -8.786643, ' Yes': -9.415694}
{' No': -0.28535038, 'No': -1.7374911, ' Generally': -3.5632627, ' Ow': -4.1109824, ' It': -4.3315387}
{' No': -0.17703864, 'No': -1.8664497, ' It': -6.0071125, ' Generally': -6.474823, ' Not': -7.1749563}
{' No': -0.20432885, 'No': -1.8285276, ' Yes': -3.9462702, ' Generally': -6.912953, 'Yes': -6.982256}
{' No': -0.16736679, 'No': -1.9241893, ' Yes': -5.9718575, ' An': -6.5516453, ' Generally': -6.746205}
{' No': -0.31212887, 'No': -1.6768539, ' Ow': -3.0744653, ' Generally': -4.618256, ' Yes': -4.9001317}
{' No': -0.17291181, 'No': -1.8930122, ' Ow': -6.296718, ' It': -6.7530904, ' OW': -6.8625546}
{' No': -0.040746473, 'No': -3.2482505, ' Generally': -8.029015, ' ': -8.265996, ' An': -8.869952}
{' No': -0.2651277, ' Yes': -1.6599736, 'No': -3.5000272, ' Generally': -5.536762, 'Yes': -5.975635}
{' No': -0.08838816, 'No': -2.6702402, ' Ow': -4.7804775, ' Generally': -5.426685, ' It': -7.6089864}
{' No': -0.058378357, 'No': -2.9934597, ' Ow': -5.7424564, ' Generally': -6.7002373, ' OW': -7.8360395}
{' No': -0.5739565, 'No': -0.85009867, ' Ow': -5.6583285, ' Generally': -6.6132097, ' An': -6.6859875}
{' No': -0.38108248, 'No': -1.1734447, ' OW': -5.6614985, ' An': -6.5831847, ' ': -6.874375}
{' No': -0.76816195, 'No': -1.0658726, ' Ow': -2.367752, ' It': -3.594762, ' Generally': -3.8034601}
{' No': -0.5615987, 'No': -0.9248895, ' Ow': -4.3722067, ' OW': -5.110829, ' It': -6.0876117}
{' No': -0.14072928, 'No': -2.2065957, ' Ow': -4.831203, ' Yes': -5.425252, ' An': -5.7816906}
{' No': -0.29672694, 'No': -2.0641105, ' OW': -2.7752976, ' Yes': -3.5973096, ' An': -3.8753688}
{' No': -0.67691654, ' Ow': -1.7302575, 'No': -2.1942294, ' It': -2.830258, ' Generally': -2.870524}
{' No': -0.3726377, 'No': -2.009263, ' Ow': -2.683131, ' Generally': -3.8601043, ' Yes': -3.9391754}
{' No': -0.026872726, 'No': -4.1083655, ' ': -5.4718933, ' no': -5.924089, '\n': -6.3908806}
{' No': -0.6449134, ' Yes': -0.85630095, ' yes': -4.4071145, ' It': -4.7212133, ' ': -4.874974}
{' No': -0.02284528, 'No': -4.13185, ' ': -6.2480855, ' Ow': -6.458058, ' no': -6.5639634}
{' No': -0.043553557, 'No': -3.6808062, ' ': -5.2430296, ' Ow': -5.5025206, '\n': -5.867134}
{' No': -0.13308036, 'No': -2.1581066, ' ': -6.0861554, '\n': -6.1527004, ' Generally': -6.5541244}
{' No': -0.65895545, ' Yes': -1.183135, 'No': -2.707238, ' Generally': -3.5610607, ' An': -3.568778}
{' No': -0.15418692, 'No': -2.1084735, ' Ow': -4.8514657, ' Generally': -5.6550283, ' ': -5.6594205}
{' No': -0.15584196, 'No': -2.2571888, ' Ow': -4.7472463, ' It': -4.8102436, '\n': -5.179318}
{' No': -0.25603557, 'No': -1.7794693, '\n': -3.18384, ' ': -5.123279, ' An': -5.3100305}
{' No': -0.39740714, 'No': -1.6445918, '\n': -2.6613023, ' An': -3.449449, ' ': -4.1038566}
{' No': -0.2529663, 'No': -1.8691772, '\n': -3.2121031, ' Ow': -4.0189805, ' ': -4.888941}
{' No': -0.28932717, 'No': -1.8656249, '\n': -2.8379302, ' Ow': -4.1028433, ' ': -4.251308}
{' No': -0.045967538, 'No': -3.1818583, ' ': -6.9684315, ' An': -6.9934177, '\n': -7.8054504}
{' Yes': -0.47817332, ' No': -1.1723356, ' An': -3.926152, 'No': -4.329211, ' Generally': -4.343131}
{' No': -0.06542764, 'No': -2.9743993, ' Ow': -4.8422313, ' Generally': -6.3752685, ' ': -7.1938243}
{' No': -0.11634374, 'No': -2.8032162, ' Ow': -3.532352, ' It': -5.146625, ' Generally': -5.355853}
{' No': -0.37017232, 'No': -1.3175293, '\n': -3.5588071, ' ': -5.299486, ' no': -5.5883718}
{' No': -0.34332186, 'No': -1.3091499, '\n': -4.4811087, ' ': -5.310644, ' An': -6.357448}
{' No': -0.29870385, 'No': -1.4628178, '\n': -4.11467, ' ': -5.4796605, ' no': -5.940814}
{' No': -0.28284967, 'No': -1.4647917, '\n': -4.833656, ' ': -5.7901597, ' no': -6.2867913}
{' No': -0.12747206, 'No': -2.5637188, ' no': -4.1941586, ' ': -5.044511, '\n': -5.130514}
{' Yes': -0.1616565, ' yes': -2.8268595, ' No': -3.8189006, ' It': -4.116807, 'Yes': -4.385746}
{' No': -0.19452284, 'No': -2.2843914, ' Ow': -3.7033508, ' no': -4.120895, '\n': -4.375673}
{' No': -0.24733183, 'No': -2.3366568, ' Ow': -3.3594382, ' no': -4.013544, '\n': -4.403381}
{' No': -0.026910566, 'No': -4.0453086, '\n': -5.5125866, ' ': -6.0505004, ' An': -6.8144927}
{' Yes': -0.066647, ' No': -3.5964684, ' Generally': -4.376616, ' An': -5.2248096, ' It': -5.3806977}
{' No': -0.03804262, 'No': -4.1586556, '\n': -4.773911, ' Ow': -5.415108, ' ': -5.6240816}
{' No': -0.060677763, 'No': -4.1185236, ' Ow': -4.4338217, ' Generally': -4.7529, '\n': -5.006665}
{' No': -0.105047114, 'No': -2.5129144, '\n': -4.5041695, ' ': -5.3739014, ' An': -6.6398463}
{' No': -0.17249101, 'No': -3.0247362, '\n': -3.5232868, ' Yes': -3.589008, ' An': -3.9487875}
{' No': -0.13121663, 'No': -2.9439397, '\n': -3.2211936, ' Ow': -4.4537263, ' ': -4.541765}
{' No': -0.12679932, 'No': -2.9295926, '\n': -3.5223486, ' Ow': -4.286631, ' ': -4.7228513}
{' No': -0.11985226, 'No': -2.6492062, '\n': -3.5781443, ' ': -4.916197, ' An': -5.4219017}
{' No': -0.36268306, ' Yes': -2.0833879, 'No': -3.0022054, ' An': -3.0562387, '\n': -3.3192852}
{' No': -0.139218, 'No': -2.9624124, '\n': -3.2008843, ' Ow': -3.9215455, ' ': -4.4289346}
{' No': -0.098738864, 'No': -2.9298296, '\n': -4.292918, ' Ow': -4.4583807, ' ': -4.922326}
{' No': -0.04032942, 'No': -3.4892218, ' ': -5.496105, '\n': -5.626177, ' An': -7.141041}
{' No': -0.03767039, 'No': -4.1238422, ' An': -5.393042, ' ': -5.4648914, ' Generally': -5.487728}
{' No': -0.066564366, 'No': -3.2544475, '\n': -4.404672, ' ': -5.0857525, ' Ow': -5.5222163}
{' No': -0.053820096, 'No': -3.45978, ' Ow': -4.910038, '\n': -5.1364884, ' ': -5.5616965}
{' No': -0.09380383, 'No': -2.6289315, '\n': -4.932846, ' ': -4.9750295, ' An': -6.091926}
{' No': -0.08563313, 'No': -2.811425, ' An': -4.971291, ' ': -5.212525, '\n': -5.3177686}
{' No': -0.07186224, 'No': -3.0041723, '\n': -4.889991, ' ': -4.906003, ' Ow': -5.5952535}
{' No': -0.06794931, 'No': -2.9275548, ' ': -5.377781, '\n': -5.476131, ' Ow': -6.139618}
{' No': -0.07771232, 'No': -3.0156527, ' ': -4.820447, '\n': -4.9844427, ' An': -5.220563}
{' Yes': -0.18401809, ' No': -2.5953262, ' An': -3.5780838, ' Generally': -4.2431264, ' ': -4.3012624}
{' No': -0.12506533, 'No': -2.9618323, ' Ow': -3.5933154, ' ': -4.5786214, '\n': -4.64919}
{' No': -0.23367202, ' Ow': -2.5695293, 'No': -3.158115, ' Yes': -4.1247916, ' ': -4.1889863}
{' Yes': -0.0116934795, 'Yes': -5.5061927, ' No': -5.585765, ' Generally': -5.757144, ' A': -8.70486}
{' No': -0.046145916, 'No': -3.258523, ' Yes': -6.5189962, ' Generally': -6.531684, ' A': -6.770002}
{' Yes': -0.5750501, ' No': -1.2451532, ' Generally': -2.7173877, ' C': -2.8205125, 'No': -4.4929805}
{' No': -0.17103243, ' C': -2.6394334, 'No': -3.027384, ' Yes': -4.011227, ' Generally': -4.2191815}
{' Yes': -0.05243051, ' No': -3.5988116, 'Yes': -4.1752043, ' Generally': -5.5691156, 'No': -6.0602255}
{' Yes': -0.35119376, ' No': -1.462556, 'No': -3.738223, 'Yes': -4.1180353, ' Generally': -4.279317}
{' No': -0.34850147, ' Yes': -1.8554443, 'No': -2.5469515, ' C': -3.2091713, ' Generally': -4.577467}
{' No': -0.39296728, ' Yes': -1.9440557, ' C': -2.4377346, 'No': -2.5379927, ' Generally': -5.0228977}
{' Yes': -0.7013607, ' No': -0.78550345, 'No': -3.5286353, 'Yes': -4.7605743, ' Generally': -5.692081}
{' No': -0.17563996, ' Yes': -2.5980527, 'No': -2.618202, '\n': -5.6779895, ' A': -5.748125}
{' No': -0.13713965, 'No': -2.3162358, ' C': -4.02892, ' Yes': -5.2872233, ' ': -6.2386427}
{' No': -0.2499677, 'No': -2.348505, ' C': -2.4921076, ' Yes': -3.5038338, ' Generally': -5.5422764}
{' Yes': -0.011641375, ' No': -5.4341664, 'Yes': -5.5146837, ' Generally': -6.185837, ' A': -7.533303}
{' Yes': -0.27870873, ' No': -1.5869706, ' Generally': -4.4360533, 'No': -4.5123343, 'Yes': -4.7215147}
{' Yes': -0.9547892, ' C': -1.1383849, ' No': -1.5143902, ' Generally': -2.9885147, 'No': -4.5855474}
{' No': -0.21477509, ' C': -2.4742854, ' Yes': -2.9949837, 'No': -3.0026493, ' Generally': -5.1399307}
{' No': -0.13330208, 'No': -2.3140483, ' Yes': -4.8276362, ' Generally': -4.980819, '\n': -5.689901}
{' No': -0.14442234, 'No': -2.1216104, '\n': -5.5806174, ' Generally': -5.994667, ' ': -6.0614405}
{' No': -0.25624657, 'No': -2.1886578, ' C': -2.8284626, ' Yes': -4.3305774, ' Generally': -4.6650677}
{' No': -0.26186314, 'No': -1.8834832, ' C': -2.905965, ' ': -5.4609694, ' Yes': -5.468787}
{' Yes': -0.35288712, ' No': -1.4269094, ' Generally': -3.891738, 'No': -4.0682306, 'Yes': -4.5891867}
{' No': -0.3096301, ' Yes': -1.7629362, 'No': -2.6603382, ' Generally': -4.5285726, ' A': -5.410167}
{' No': -0.3215484, 'No': -2.2967298, ' C': -2.4360406, ' Yes': -2.9722955, ' Generally': -3.8906193}
{' No': -0.2775857, 'No': -2.094314, ' C': -2.9042947, ' Yes': -2.9931445, ' Generally': -5.142077}
{' Yes': -0.042983435, ' No': -3.3118126, 'Yes': -5.7856402, ' ': -6.962655, ' yes': -7.2036085}
{' No': -0.3219877, ' Yes': -1.3457437, 'No': -5.2937512, ' A': -5.5005307, ' ': -5.707949}
{' No': -0.13658713, ' Yes': -2.1931076, 'No': -4.872652, ' C': -5.294256, ' ': -6.6476855}
{' No': -0.028550304, 'No': -4.624469, ' C': -4.689948, ' Yes': -5.0079184, ' ': -6.74179}
{' No': -0.07959119, 'No': -2.6547978, '\n': -6.0962515, ' ': -6.2437696, ' A': -7.1108584}
{' No': -0.07352935, 'No': -2.776261, '\n': -5.603226, ' ': -6.0572405, ' A': -6.6045904}
{' No': -0.07016694, 'No': -2.9579592, ' C': -4.7386217, ' ': -5.787696, '\n': -6.189343}
{' No': -0.09641037, 'No': -2.9042087, ' C': -3.4444156, ' ': -5.877713, '\n': -6.601611}
{' No': -0.14217556, 'No': -2.4726865, '\n': -3.403646, ' ': -4.79392, ' A': -5.3877597}
{' No': -0.12557212, 'No': -2.4830036, '\n': -3.609394, ' ': -5.2184367, ' A': -6.511789}
{' No': -0.1994905, 'No': -2.4735553, '\n': -2.5559645, ' ': -4.3621264, ' C': -5.3644013}
{' No': -0.23465103, 'No': -2.1668408, '\n': -2.600986, ' C': -4.594775, ' ': -4.694236}
{' No': -0.057827517, ' Yes': -3.1579287, 'No': -4.4569325, ' ': -6.7921376, ' A': -7.911181}
{' No': -0.013810645, 'No': -4.3931575, ' ': -7.387008, ' Yes': -7.879573, ' A': -8.474196}
{' No': -0.016814223, 'No': -4.3084993, ' C': -6.2337046, ' Yes': -7.5182734, ' ': -7.5746293}
{' No': -0.018962733, 'No': -4.20932, ' C': -5.713512, ' ': -7.752698, '\n': -9.361308}
{' No': -0.25930515, 'No': -1.5866138, '\n': -4.3877187, ' ': -4.8860583, ' A': -6.1816373}
{' No': -0.305831, 'No': -1.4263201, '\n': -4.4002295, ' ': -5.025131, ' A': -5.7287607}
{' No': -0.20802417, 'No': -1.8447809, '\n': -4.294836, ' ': -4.608145, ' C': -5.654551}
{' No': -0.252862, 'No': -1.6506072, '\n': -4.2635126, ' C': -4.8525686, ' ': -4.853566}
{' No': -0.19400385, ' Yes': -2.048118, 'No': -3.4251685, ' ': -5.3225408, ' A': -5.570972}
{' No': -0.2321605, ' Yes': -1.9722538, 'No': -3.3096788, ' A': -4.1348133, ' ': -5.322308}
{' No': -0.35101536, ' Yes': -1.6792719, ' C': -2.9310493, 'No': -3.31806, ' ': -5.085099}
{' No': -0.39912304, ' C': -1.7781991, ' Yes': -2.2891834, 'No': -3.2171545, ' ': -5.1483936}
{' No': -0.45373487, ' Yes': -1.4911819, 'No': -2.3866057, ' A': -4.154347, ' Generally': -4.4087334}
{' No': -0.17427552, 'No': -2.08072, ' A': -4.1723547, ' Yes': -5.244296, ' C': -5.7603583}
{' No': -0.6437882, ' C': -1.7538193, ' Yes': -1.9220152, 'No': -2.3098497, ' Generally': -4.461627}
{' No': -0.4782514, ' C': -1.8570774, 'No': -1.8703375, ' Yes': -3.2329948, ' Generally': -5.223153}
{' No': -0.08436921, 'No': -2.8989995, ' Yes': -3.709985, 'Yes': -7.584767, ' ': -7.7661824}
{' No': -0.13726613, 'No': -2.0632935, ' ': -8.111518, ' C': -8.172668, ' no': -8.886573}
{' No': -0.22325014, 'No': -1.8999964, ' Yes': -3.3046978, ' C': -5.168622, ' Generally': -5.4258103}
{' No': -0.25306764, 'No': -1.7426155, ' Yes': -3.320004, ' C': -4.9204373, 'Yes': -5.997593}
{' Yes': -0.23888917, ' No': -1.8576692, 'Yes': -3.577554, 'No': -3.7715087, ' Generally': -6.146613}
{' No': -0.26094428, 'No': -1.6318625, ' Yes': -3.6071012, 'Yes': -6.1525483, ' ': -6.855586}
{' No': -0.2242225, 'No': -1.7310584, ' Yes': -4.2223454, ' C': -5.7117176, ' Generally': -6.4499497}
{' No': -0.31129527, 'No': -1.5089195, ' Yes': -3.676556, ' C': -4.3359056, 'Yes': -6.0797534}
{' No': -0.06600842, ' Yes': -3.3699613, 'No': -3.5727696, 'Yes': -7.6146746, ' ': -7.8058105}
{' No': -0.034830064, 'No': -3.4084432, ' Yes': -7.3234935, ' ': -8.712653, ' A': -9.554148}
{' No': -0.12874152, ' Yes': -2.8150322, 'No': -3.0348084, ' C': -4.7165008, ' Generally': -6.6311693}
{' No': -0.09021239, 'No': -2.825749, ' Yes': -4.24565, ' C': -4.528401, ' ': -7.6113105}
{' No': -0.39814076, 'No': -1.14746, ' Generally': -5.556912, ' Yes': -6.5090494, ' ': -6.582437}
{' No': -0.6346287, 'No': -0.7841705, ' C': -5.622887, '\n': -5.883995, ' Generally': -6.23477}
{' No': -0.9453681, 'No': -1.1741699, ' C': -1.7138695, ' Yes': -3.3972113, ' Generally': -3.6180146}
{' No': -0.58003885, 'No': -1.0124156, ' C': -2.9117818, ' Generally': -5.0411034, 'C': -5.4276457}
{' No': -0.053859286, 'No': -3.0144475, ' Yes': -6.5546484, ' ': -7.3044047, ' Generally': -7.601947}
{' No': -0.121147394, 'No': -2.1831286, ' C': -7.6403365, ' ': -8.298519, '\n': -8.42244}
{' Yes': -0.45351508, ' No': -1.8835878, ' C': -2.175017, 'No': -3.4232128, 'Yes': -3.4871168}
{' No': -0.62033075, ' C': -1.5325315, 'No': -1.8786525, ' Yes': -2.6476095, ' Generally': -4.6798234}
{' Yes': -0.111499935, ' No': -2.7822056, ' yes': -3.5510962, ' ': -5.0970383, 'Yes': -5.117154}
{' Yes': -0.045191236, ' yes': -3.617785, ' No': -4.896546, 'Yes': -5.252827, ' ': -5.9589367}
{' No': -0.35864985, ' Yes': -1.3250881, ' C': -4.787164, ' yes': -4.854875, 'No': -4.933332}
{' Yes': -0.20743439, ' No': -2.5337589, ' C': -2.7756426, ' yes': -3.549706, 'Yes': -4.958199}
{' No': -0.2802544, ' Yes': -1.8337232, 'No': -2.7337914, ' ': -5.2734814, 'Yes': -5.5128145}
{' No': -0.10667302, 'No': -2.4990242, ' Yes': -5.0170236, ' A': -5.5009828, ' ': -5.586334}
{' No': -0.11570353, 'No': -2.4611776, ' Yes': -4.6199226, ' ': -5.4695277, ' C': -5.5099545}
{' No': -0.1637172, 'No': -2.3397615, ' C': -3.3888566, ' Yes': -4.8300395, '\n': -5.3016295}
{' No': -0.23376006, 'No': -2.2658646, ' Yes': -3.1524398, '\n': -3.3002923, ' A': -4.5972147}
{' No': -0.20652308, 'No': -1.9249811, '\n': -3.5796652, ' ': -5.104024, ' A': -5.426079}
{' No': -0.16716182, 'No': -2.2470586, '\n': -3.421848, ' ': -4.847919, ' C': -5.3589826}
{' No': -0.31616583, 'No': -1.9405289, '\n': -2.6743639, ' C': -3.0819433, ' ': -4.7236805}
{' No': -0.33158007, ' Yes': -1.3396386, 'No': -4.3548746, 'Yes': -6.027081, ' ': -6.1523633}
{' No': -0.25767234, ' Yes': -1.658187, 'No': -3.6620016, ' A': -5.5531793, 'Yes': -5.8955317}
{' No': -0.033933036, 'No': -3.7420876, ' Yes': -5.2184153, ' C': -6.0425386, ' ': -7.0879736}
{' No': -0.048721246, 'No': -3.5288599, ' C': -4.8072357, ' Yes': -4.835531, ' ': -7.2525883}
