{' Right': -0.039885, ' Left': -3.3768294, ' right': -5.4826035, ' left': -7.4533596, 'Right': -8.778944}
{' Right': -0.19431747, ' Left': -1.9668584, ' right': -3.783835, ' left': -4.3380857, 'Right': -7.4453816}
{' Left': -0.1132642, ' left': -2.6389198, ' Right': -3.9783077, 'Left': -4.3584805, 'left': -6.201624}
{' Right': -0.26465982, ' right': -1.8267763, 'Right': -3.6793993, ' Left': -3.7201781, 'right': -4.149042}
{' Left': -0.68928117, ' left': -0.7724186, 'left': -4.42398, 'Left': -4.4642615, ' Right': -4.999656}
{' Right': -0.52379024, ' right': -1.8362311, ' Left': -1.8689612, ' left': -2.782293, 'Right': -3.9749467}
{' Right': -0.317522, ' Left': -1.31991, ' right': -5.991771, ' left': -6.11232, 'Right': -9.22835}
{' Left': -0.056706876, ' Right': -3.2214806, ' left': -4.229181, ' right': -7.77525, 'Left': -8.850802}
{' Right': -0.018280305, ' right': -4.031645, 'Right': -8.651535, ' Left': -9.094084, 'right': -9.570425}
{' Left': -0.039164364, ' left': -3.2906766, ' Right': -7.216826, 'Left': -8.433107, 'left': -8.478531}
{' Left': -0.032123193, ' Right': -3.7161038, ' left': -5.0323386, 'Left': -7.635953, 'left': -8.650044}
{' Left': -0.022091957, ' left': -4.386073, ' Right': -4.7687674, 'Left': -7.4928327, 'left': -8.189441}
{' Right': -0.09483009, ' Left': -2.506823, ' right': -4.99528, ' left': -6.6340775, 'Right': -7.446348}
{' Left': -0.020669991, ' left': -4.0234795, ' Right': -6.5415764, 'Left': -7.322485, 'left': -7.7187266}
{' Left': -0.016787613, ' left': -4.8415785, ' Right': -4.8658376, 'Left': -7.265707, 'left': -8.135018}
{' Left': -0.041198667, ' Right': -3.4327292, ' left': -4.982195, 'Left': -7.2763844, 'left': -8.133598}
{' Right': -0.10330638, ' Left': -2.4696755, ' right': -4.636606, ' left': -6.3607984, 'Right': -6.705534}
{' Left': -0.020369621, ' left': -4.017421, 'Left': -6.9357343, 'left': -7.3816724, ' Right': -7.505353}
{' Left': -0.4632967, ' Right': -1.031494, ' left': -4.5642796, ' right': -5.71215, 'Left': -8.278047}
{' Left': -0.05254126, ' Right': -3.471744, ' left': -3.9635992, ' right': -7.5480742, 'Left': -7.839387}
{' Right': -0.036929674, ' right': -3.3869793, ' Left': -6.4571147, 'Right': -7.565643, 'right': -8.282259}
{' Left': -0.06463455, ' left': -2.7980747, 'Left': -7.394304, ' Right': -7.489456, 'left': -7.696424}
{' Left': -0.018472394, ' left': -4.7437873, ' Right': -4.8698783, 'Left': -6.517747, 'left': -7.8691874}
{' Left': -0.011268412, ' left': -4.8047333, ' Right': -6.582692, 'Left': -6.6571817, 'left': -8.01151}
{' Right': -0.0069782897, ' right': -5.2907, 'Right': -6.511056, 'right': -8.397037, ' Left': -8.634652}
{' Left': -0.022984449, ' left': -3.89112, 'Left': -6.356366, 'left': -7.4998746, ' Right': -12.259047}
{' Left': -0.21927688, ' Right': -1.641024, ' left': -5.953049, ' right': -8.164799, 'Left': -8.922241}
{' Left': -0.015511411, ' Right': -4.5289845, ' left': -5.4509363, 'Left': -8.472325, 'left': -9.734063}
{' Right': -0.010315529, ' Left': -4.866183, ' right': -6.0747724, 'Right': -8.68847, ' left': -9.979394}
{' Left': -0.01338788, ' left': -4.3613796, 'Left': -8.089254, 'left': -8.760562, ' Right': -9.58803}
{' Left': -0.09669062, ' Right': -2.6211886, ' left': -4.2735877, 'Left': -5.605462, ' right': -7.2779417}
{' Right': -0.20659225, ' Left': -1.8239741, ' right': -4.508001, 'Right': -4.9022117, ' left': -5.4764857}
{' Right': -0.08596104, ' right': -2.74219, 'Right': -4.7310376, 'right': -5.366257, ' Left': -5.560536}
{' Left': -0.06978256, ' left': -2.9862747, ' Right': -4.77087, 'Left': -5.146614, 'left': -6.1434574}
{' Left': -0.55979264, ' Right': -0.90739733, ' left': -3.945174, ' right': -5.196069, 'Right': -9.459847}
{' Left': -0.18233687, ' Right': -2.0451488, ' left': -3.3881435, ' right': -5.7133365, 'Left': -9.171896}
{' Right': -0.33948177, ' Left': -1.441378, ' right': -3.378176, ' left': -4.0793405, 'Right': -8.949846}
{' Left': -0.1921771, ' Right': -2.215769, ' left': -2.7769413, ' right': -5.739795, 'left': -8.779954}
{' Left': -0.104439385, ' Right': -2.5994458, ' left': -3.7630963, ' right': -6.95509, 'Left': -7.8607163}
{' Left': -0.085682675, ' Right': -2.9864717, ' left': -3.511395, ' right': -6.839497, 'Left': -7.8423557}
{' Right': -0.72140706, ' Left': -0.74382794, ' left': -3.787157, ' right': -4.1831474, 'Right': -7.9394913}
{' Left': -0.073318444, ' left': -2.9998796, ' Right': -3.9354799, 'Left': -7.598453, ' right': -7.6983047}
{' Left': -0.052305955, ' left': -3.4071186, ' Right': -4.088986, 'Left': -7.7798104, ' right': -7.9066873}
{' Left': -0.18214619, ' Right': -1.9509772, ' left': -3.8450506, ' right': -6.100246, 'Left': -8.014053}
{' Right': -0.45685208, ' Left': -1.1444932, ' right': -3.587965, ' left': -3.9219818, 'Right': -7.639644}
{' Left': -0.08034023, ' left': -2.7698317, ' Right': -4.3426175, 'Left': -7.5109577, ' right': -7.6139817}
{' Left': -0.60941064, ' Right': -1.3834758, ' left': -1.8356622, ' right': -3.0901158, 'left': -8.510013}
{' Left': -0.3470954, ' Right': -1.855089, ' left': -2.1485288, ' right': -3.9304595, 'Left': -8.465706}
{' Right': -0.83082426, ' Left': -1.155167, ' right': -1.9357533, ' left': -2.258862, 'Right': -8.517324}
{' Left': -0.5370182, ' left': -1.0902046, ' Right': -2.8065054, ' right': -4.0066533, 'left': -7.807455}
{' Left': -0.07137031, ' left': -2.928912, ' Right': -4.305333, 'Left': -6.871846, 'left': -7.7156224}
{' Left': -0.10724436, ' Right': -2.9178557, ' left': -3.11437, ' right': -6.2670374, 'Left': -7.0838842}
{' Left': -0.58353996, ' Right': -1.0135366, ' left': -2.9365234, ' right': -3.6935828, 'Right': -7.59638}
{' Left': -0.12437372, ' left': -2.2526085, ' Right': -4.6403437, 'Left': -6.919091, 'left': -7.407141}
{' Left': -0.09250732, ' Right': -2.6529567, ' left': -4.0876436, ' right': -7.2227383, 'Left': -8.331212}
{' Left': -0.11831233, ' Right': -2.5847602, ' left': -3.382413, ' right': -6.416408, 'Left': -8.254645}
{' Left': -0.4128213, ' Right': -1.2201867, ' left': -3.451815, ' right': -4.518765, 'Right': -8.921773}
{' Left': -0.0877949, ' left': -3.1347291, ' Right': -3.2421105, ' right': -7.00214, 'Left': -8.224219}
{' Left': -0.6299514, ' Right': -0.93333435, ' left': -3.0937366, ' right': -3.7191067, 'Right': -6.142576}
{' Left': -0.5249881, ' Right': -1.3955973, ' left': -2.165659, ' right': -3.168615, 'Left': -6.5339904}
{' Right': -0.94300294, ' Left': -1.1471809, ' right': -1.8584063, ' left': -2.0276587, 'Right': -6.135706}
{' Left': -0.51074034, ' Right': -1.4156038, ' left': -2.1041203, ' right': -3.544674, 'Left': -5.9306583}
{' Left': -0.16741781, ' Right': -1.9080412, ' left': -5.277628, ' right': -7.55319, 'Left': -9.247557}
{' Left': -0.012632943, ' Right': -4.8937325, ' left': -5.334275, 'Left': -8.637732, 'left': -10.205145}
{' Left': -0.043154933, ' left': -3.5191567, ' Right': -4.4248896, 'Left': -8.088824, ' right': -8.67336}
{' Left': -0.12029288, ' Right': -2.392193, ' left': -3.9028778, ' right': -6.5020504, 'Left': -8.953361}
{' Left': -0.05600335, ' Right': -3.2005517, ' left': -4.369022, 'Left': -7.5727797, ' right': -8.165863}
{' Left': -0.013801033, ' Right': -5.014888, ' left': -5.069291, 'Left': -7.4015183, 'left': -8.842832}
{' Left': -0.03320206, ' left': -3.674298, ' Right': -5.1413484, 'Left': -7.014191, 'left': -7.6925645}
{' Left': -0.05392609, ' left': -3.6146307, ' Right': -3.7180076, 'Left': -7.6237698, ' right': -7.6576915}
{' Left': -0.5643407, ' Right': -0.932436, ' left': -3.6527174, ' right': -4.654093, 'Left': -7.34835}
{' Left': -0.03380109, ' left': -3.612763, ' Right': -5.4292173, 'Left': -6.725661, 'left': -7.4151697}
{' Left': -0.062529646, ' left': -2.9281852, ' Right': -5.4990416, 'Left': -6.4475985, 'left': -6.6414194}
{' Left': -0.57681525, ' Right': -0.95709664, ' left': -3.2793927, ' right': -4.2447877, 'left': -7.223084}
{' Left': -0.10623166, ' Right': -2.6522672, ' left': -3.5712392, ' right': -6.4541926, 'Left': -7.8602653}
{' Left': -0.22372387, ' Right': -1.7839216, ' left': -3.567741, ' right': -5.652555, 'Left': -7.725345}
{' Left': -0.32868382, ' Right': -1.9504775, ' left': -2.1042974, ' right': -4.2269416, 'Left': -7.375352}
{' Right': -0.73344475, ' Left': -0.80469763, ' left': -3.3201814, ' right': -3.3329873, 'Right': -8.424088}
{' Left': -0.39334318, ' Right': -1.3255178, ' left': -3.0312881, ' right': -4.759449, 'Left': -6.852018}
{' Left': -0.039740194, ' left': -3.3154662, 'Left': -6.399073, 'left': -7.5092187, ' Right': -7.7712116}
{' Left': -0.042286593, ' left': -3.2654843, 'Left': -6.3291063, ' Right': -7.2448893, 'left': -7.2507405}
{' Left': -0.10057755, ' left': -2.5650322, ' Right': -4.1811113, 'Left': -6.5561934, 'left': -6.7051687}
{' Left': -0.14413555, ' Right': -2.125993, ' left': -4.3091097, ' right': -6.9142537, 'Left': -8.237916}
{' Left': -0.007742116, ' left': -4.959221, 'Left': -7.7348156, ' Right': -8.748009, 'left': -9.24239}
{' Left': -0.022608092, ' left': -3.9347932, ' Right': -6.271986, 'Left': -7.448973, 'left': -8.064352}
{' Left': -0.026001647, ' left': -3.878878, ' Right': -5.4212575, 'Left': -8.07625, 'left': -8.581612}
{' Left': -0.25990447, ' Right': -2.0930934, ' left': -2.4439254, ' right': -4.3341613, 'Left': -5.6887064}
{' Left': -0.32652518, ' Right': -1.4495567, ' left': -3.482584, ' right': -4.8563747, 'Left': -5.7404194}
{' Left': -0.64245915, ' Right': -1.5371392, ' left': -1.6496193, ' right': -2.9014177, 'Left': -5.350211}
{' Left': -0.4703215, ' Right': -1.79014, ' left': -1.8647974, ' right': -3.069845, 'Left': -5.8347316}
{' Right': -0.69271016, ' Left': -0.7278301, ' left': -4.501029, ' right': -5.199655, 'Right': -9.479426}
{' Right': -0.008265549, ' Left': -4.99516, ' right': -6.654957, 'Right': -9.155769, ' left': -9.841452}
{' Right': -0.06879356, ' Left': -2.7875702, ' right': -5.612172, ' left': -6.8508143, 'Right': -8.8386965}
{' Right': -0.10749333, ' Left': -2.5773704, ' right': -3.8085105, ' left': -5.647885, 'Right': -8.866822}
{' Left': -0.6645011, ' Right': -0.8818034, ' left': -2.9224946, ' right': -4.1123557, 'left': -7.7124653}
{' Right': -0.02067547, ' Left': -4.3161902, ' right': -5.112724, 'Right': -7.4118304, ' left': -7.8830447}
{' Right': -0.039830934, ' Left': -3.9852004, ' right': -4.0317206, ' left': -6.563661, 'Right': -6.912126}
{' Left': -0.4637844, ' Right': -1.2991078, ' left': -2.5287125, ' right': -4.0672235, 'left': -7.355166}
{' Right': -0.20180473, ' Left': -1.9745537, ' right': -3.5387855, ' left': -4.296066, 'Right': -7.3264246}
{' Right': -0.15855758, ' Left': -2.125646, ' right': -4.035856, ' left': -4.7861075, 'Right': -7.201742}
{' Right': -0.10757158, ' Left': -2.5677364, ' right': -4.0089464, ' left': -5.208358, 'Right': -6.885226}
{' Left': -0.67906123, ' Right': -0.8796915, ' left': -2.9068654, ' right': -3.8207598, 'left': -7.741208}
{' Left': -0.39221546, ' Right': -1.6244007, ' left': -2.2237964, ' right': -3.9971216, 'left': -7.906146}
{' Right': -0.06692221, ' right': -3.1945314, ' Left': -3.875167, ' left': -6.084201, 'Right': -7.6284246}
{' Right': -0.19721271, ' Left': -2.4169679, ' right': -2.6532617, ' left': -4.0154862, 'Right': -7.2793765}
{' Right': -0.6157038, ' Left': -1.2916032, ' right': -2.1453402, ' left': -2.7075236, 'right': -7.7741165}
{' Right': -0.20228933, ' Left': -1.8522832, ' right': -4.1340594, ' left': -4.690597, 'Right': -7.3086195}
{' Left': -0.55457604, ' Right': -0.95319474, ' left': -3.4419968, ' right': -5.0298777, 'Left': -7.35658}
{' Right': -0.19882978, ' Left': -1.8317567, ' right': -4.5981936, ' left': -4.798109, 'Right': -6.725912}
{' Left': -0.713978, ' Right': -0.7537614, ' left': -3.6230679, ' right': -4.445463, 'Right': -7.67202}
{' Right': -0.28512862, ' Left': -1.4371367, ' right': -5.235379, ' left': -5.325412, 'Right': -8.722003}
{' Right': -0.011405136, ' Left': -4.7506423, ' right': -6.078139, 'Right': -8.333615, ' left': -9.023568}
{' Right': -0.016605183, ' Left': -4.291366, ' right': -6.1099825, 'Right': -8.0162, ' left': -8.717511}
{' Left': -0.49324358, ' Right': -0.9765179, ' left': -4.6416044, ' right': -5.8795977, 'Left': -9.112117}
{' Left': -0.65611756, ' Right': -0.9292499, ' left': -2.936078, ' right': -3.6739132, 'Right': -5.8163247}
{' Right': -0.19951648, ' Left': -1.938038, ' right': -3.816252, ' left': -4.8445168, 'Right': -5.2679768}
{' Right': -0.16862401, ' Left': -2.2076921, ' right': -3.5702713, ' left': -4.8322096, 'Right': -4.985131}
{' Left': -0.3186525, ' Right': -1.840938, ' left': -2.3811831, ' right': -4.191512, 'Left': -5.680178}
{' Left': -0.08389908, ' Right': -2.8584561, ' left': -3.8247764, ' right': -7.0435658, 'Left': -8.1305485}
{' Right': -0.041697927, ' right': -3.317897, ' Left': -5.613011, 'Right': -7.564351, ' left': -8.222404}
{' left': -0.7562045, ' Left': -0.9669436, ' Right': -2.501972, ' right': -2.6985643, 'left': -7.6500945}
{' Right': -0.32488498, ' right': -2.0082574, ' Left': -2.3382192, ' left': -3.0868459, 'Right': -7.448899}
{' Left': -0.026646271, ' left': -3.717766, 'Left': -6.8228016, ' Right': -7.427222, 'left': -8.128408}
{' Right': -0.026682386, ' right': -3.76692, 'Right': -6.384297, ' Left': -6.8895154, 'right': -7.9999466}
{' Left': -0.55867106, ' left': -0.85616016, 'left': -6.3028126, 'Left': -6.8710847, ' Right': -8.210723}
{' Right': -0.13007349, ' right': -2.3517396, ' Left': -4.003765, ' left': -5.1575947, 'Right': -6.2169228}
{' Left': -0.04855104, ' left': -3.1039708, 'Left': -6.634778, 'left': -7.415114, ' Right': -8.144746}
{' Right': -0.104774445, ' right': -2.4021184, 'Right': -5.8780074, 'right': -6.2914977, ' Even': -6.313505}
{' Left': -0.5039044, ' left': -0.9546357, ' Right': -5.2683487, 'left': -6.1164737, ' right': -6.308059}
{' Right': -0.30876416, ' Left': -2.0893216, ' right': -2.3074098, ' left': -3.275723, 'Right': -6.083075}
{' Left': -0.17844425, ' left': -1.8961241, ' Right': -4.576731, ' right': -6.448992, 'Left': -6.9836006}
{' Right': -0.2586794, ' right': -1.502801, ' Left': -6.137503, 'Right': -6.5017323, ' left': -6.990946}
{' left': -0.46898824, ' Left': -1.2762659, ' right': -2.7802866, ' Right': -3.4632604, 'left': -6.9685416}
{' Right': -0.71238023, ' right': -0.884238, ' left': -2.891156, ' Left': -3.250891, 'Right': -6.8562613}
{' Left': -0.043261796, ' left': -3.2512105, 'Left': -5.8928766, 'left': -7.4078035, ' Right': -8.495715}
{' Right': -0.03193973, ' right': -3.6395445, 'Right': -5.5812006, 'right': -7.2424684, ' Left': -7.8044896}
{' Left': -0.16001786, ' left': -1.9364917, 'Left': -6.3619814, 'left': -6.7670145, ' Right': -7.2580347}
{' Right': -0.12648907, ' Left': -2.655027, ' right': -3.3551285, ' left': -4.5966487, 'Right': -5.9806547}
{' Left': -0.02426703, ' left': -4.2201633, ' Right': -4.743852, 'Left': -7.7915454, 'left': -9.365427}
{' Right': -0.009124553, ' right': -4.850761, 'Right': -7.25188, ' Left': -7.7862806, 'right': -9.469625}
{' Left': -0.77085024, ' Right': -0.83812815, ' left': -2.6558409, ' right': -3.3935804, 'Right': -7.7541795}
{' Right': -0.226062, ' Left': -1.7557995, ' right': -4.103481, ' left': -4.406436, 'Right': -7.526246}
{' Left': -0.12381891, ' left': -2.534736, ' Right': -3.9708283, 'Left': -4.281051, 'left': -6.139861}
{' Right': -0.180407, ' right': -2.1875403, 'Right': -3.6720736, ' Left': -4.339287, 'right': -4.434111}
{' Left': -0.53615314, ' left': -0.98588693, 'Left': -4.2081785, 'left': -4.426646, ' Right': -4.686494}
{' Right': -0.4453742, ' Left': -1.9214463, ' right': -2.0550144, ' left': -3.0872006, 'Right': -3.7268474}
{' Right': -0.10910961, ' Left': -2.2990377, ' right': -6.1361, ' left': -7.248468, 'Right': -9.209561}
{' Left': -0.01596979, ' left': -4.3449244, ' Right': -5.9391637, 'Left': -8.853635, 'left': -9.619039}
{' Right': -0.0123872375, ' right': -4.4192567, 'Right': -8.842186, ' Left': -9.704467, 'right': -9.8813505}
{' Left': -0.026533457, ' left': -3.6667807, ' Right': -8.062149, 'Left': -8.632111, 'left': -8.979399}
{' Left': -0.026489697, ' Right': -3.9908602, ' left': -4.9709053, 'Left': -7.6402097, 'left': -8.759413}
{' Left': -0.016202988, ' left': -4.2992516, ' Right': -6.4591923, 'Left': -7.3828998, 'left': -8.142562}
{' Right': -0.015520432, ' right': -4.5283723, ' Left': -5.688441, 'Right': -7.0793185, 'right': -8.204996}
{' Left': -0.020158257, ' left': -3.9830775, 'Left': -7.087842, 'left': -7.7460704, ' Right': -9.766126}
{' Left': -0.01670894, ' left': -4.828303, ' Right': -4.9066677, 'Left': -7.1131616, 'left': -8.099609}
{' Left': -0.02118491, ' Right': -4.34062, ' left': -4.9778266, 'Left': -7.2822204, 'left': -8.252422}
{' Right': -0.015492647, ' right': -4.4697657, ' Left': -6.4305463, 'Right': -6.4460535, 'right': -7.37357}
{' Left': -0.027703995, ' left': -3.6834922, 'Left': -6.6445045, 'left': -7.077163, ' Right': -10.517177}
{' Left': -0.23340635, ' Right': -1.6263869, ' left': -4.6451836, ' right': -6.495815, 'Left': -8.3641205}
{' Left': -0.048775133, ' left': -3.6554492, ' Right': -3.8789577, ' right': -7.659761, 'Left': -7.796154}
{' Right': -0.03323632, ' right': -3.4742858, ' Left': -7.0126295, 'Right': -7.6034875, 'right': -8.31144}
{' Left': -0.045305047, ' left': -3.1544814, ' Right': -7.1180587, 'Left': -7.660199, 'left': -8.042235}
{' Left': -0.013520301, ' left': -4.9374723, ' Right': -5.3099833, 'Left': -6.8451085, 'left': -8.450421}
{' Left': -0.029598316, ' Right': -3.8721313, ' left': -4.9757442, 'Left': -6.831733, 'left': -8.350366}
{' Right': -0.010300296, ' right': -4.8827825, 'Right': -6.4054894, ' Left': -7.360735, 'right': -8.030264}
{' Left': -0.035272304, ' left': -3.4524858, 'Left': -6.129516, 'left': -7.135835, ' ': -11.683791}
{' Left': -0.11665213, ' Right': -2.246823, ' left': -5.5442753, ' right': -8.466108, 'Left': -8.733599}
{' Left': -0.00999309, ' left': -5.0573964, ' Right': -5.7306123, 'Left': -8.319618, 'left': -9.483803}
{' Right': -0.0043096626, ' right': -5.5959306, 'Right': -8.214846, ' Left': -8.280029, 'right': -9.799575}
{' Left': -0.010582957, ' left': -4.5989313, 'Left': -8.015888, 'left': -8.99111, ' Right': -11.697134}
{' Left': -0.6003603, ' Right': -0.8340773, ' left': -4.7750564, ' right': -5.7619543, 'Right': -5.9645777}
{' Left': -0.32594004, ' Right': -1.4151162, ' left': -3.788045, ' right': -5.3811407, 'Left': -5.532639}
{' Right': -0.051889073, ' right': -3.2876966, 'Right': -4.6112533, 'right': -5.7816787, ' Left': -8.882136}
{' Left': -0.06299181, ' left': -2.9622877, 'Left': -4.96301, 'left': -6.217345, ' Right': -8.042746}
{' Left': -0.25191993, ' Right': -1.6159184, ' left': -3.8381267, ' right': -6.1093817, 'Left': -9.184279}
{' Left': -0.18615185, ' Right': -1.9882948, ' left': -3.5145552, ' right': -5.831021, 'Left': -9.212858}
{' Left': -0.50032103, ' Right': -1.1192518, ' left': -3.011355, ' right': -4.034802, 'left': -9.502682}
{' Left': -0.15837929, ' left': -2.4076145, ' Right': -2.9204547, ' right': -6.182196, 'left': -8.252061}
{' Left': -0.074796245, ' Right': -2.8880398, ' left': -4.1735506, ' right': -7.762919, 'Left': -7.957387}
{' Left': -0.09202596, ' Right': -2.7137527, ' left': -3.8999481, ' right': -7.06327, 'Left': -8.112446}
{' Left': -0.54870325, ' Right': -0.97562706, ' left': -3.4528434, ' right': -4.34076, 'Right': -8.262091}
{' Left': -0.074021, ' left': -2.9563181, ' Right': -4.0138726, 'Left': -7.7048993, ' right': -7.7206826}
{' Left': -0.05902087, ' left': -3.2468908, ' Right': -4.0525284, ' right': -7.842349, 'Left': -7.876138}
{' Left': -0.5182219, ' Right': -0.9906055, ' left': -3.7602704, ' right': -4.724427, 'Right': -7.8955216}
{' Left': -0.68881863, ' Right': -0.7825686, ' left': -3.69891, ' right': -4.1951184, 'Right': -7.9626}
{' Left': -0.07396863, ' left': -3.0054643, ' Right': -3.8974, 'Left': -7.5327387, ' right': -7.59278}
{' Left': -0.43752214, ' left': -1.5621617, ' Right': -2.116937, ' right': -3.7486467, 'left': -7.995669}
{' Left': -0.39631867, ' left': -1.4818269, ' Right': -2.5427115, ' right': -3.8759785, 'left': -8.109743}
{' Left': -0.8184207, ' left': -1.127335, ' Right': -1.9596943, ' right': -2.3695662, 'left': -8.28055}
{' Left': -0.69559515, ' left': -0.7471985, ' Right': -4.0608773, ' right': -4.690972, 'left': -7.2152424}
{' Left': -0.051132735, ' left': -3.352776, ' Right': -4.313763, 'Left': -7.0274854, 'left': -8.080502}
{' Left': -0.12009459, ' Right': -2.5999815, ' left': -3.3373091, ' right': -6.267082, 'Left': -7.0534534}
{' Left': -0.51107746, ' Right': -1.032949, ' left': -3.472999, ' right': -4.4300075, 'Right': -7.553508}
{' Left': -0.108610444, ' left': -2.385897, ' Right': -4.747347, 'Left': -6.804718, 'left': -7.2600994}
{' Left': -0.050768387, ' Right': -3.3631024, ' left': -4.2494035, ' right': -8.296546, 'Left': -8.444461}
{' Left': -0.09485113, ' Right': -3.0122876, ' left': -3.2314744, ' right': -6.7815323, 'left': -8.07053}
{' Left': -0.066311926, ' left': -3.335082, ' Right': -3.5999403, ' right': -7.0669336, 'Left': -8.571248}
{' Left': -0.09147979, ' Right': -2.9290438, ' left': -3.422187, ' right': -7.174421, 'Left': -8.202125}
{' Left': -0.62313426, ' Right': -0.96965575, ' left': -2.949533, ' right': -3.6261077, 'Right': -5.947372}
{' Left': -0.5074886, ' Right': -1.4380572, ' left': -2.1745265, ' right': -3.1696684, 'Left': -6.417635}
{' Right': -0.9034677, ' Left': -1.2050349, ' right': -1.7911651, ' left': -2.1104932, 'Right': -5.84439}
{' Left': -0.47458363, ' Right': -1.5779943, ' left': -1.9975482, ' right': -3.5646677, 'Left': -5.8017187}
{' Right': -0.050192937, ' Left': -3.1376505, ' right': -5.337178, ' left': -7.521448, 'Right': -8.652186}
{' Left': -0.008884039, ' left': -4.7603006, 'Left': -8.572194, ' Right': -9.723693, 'left': -10.347941}
{' Left': -0.10406667, ' left': -2.430023, ' Right': -4.6297817, ' right': -7.7379794, 'Left': -8.066027}
{' Left': -0.0822389, ' left': -2.5575194, ' Right': -6.965561, 'Left': -8.353758, 'left': -8.430908}
{' Right': -0.18211302, ' Left': -1.866214, ' right': -4.9437156, ' left': -5.560197, 'Right': -7.505227}
{' Left': -0.013870173, ' left': -4.342249, 'Left': -7.4425716, 'left': -8.827643, ' Right': -10.283941}
{' Left': -0.057164256, ' left': -2.9608755, ' Right': -6.114453, 'Left': -7.04205, 'left': -7.3608136}
{' Left': -0.10631054, ' left': -2.3086553, 'left': -7.38963, 'Left': -7.6431556, ' Right': -7.975728}
{' Right': -0.04016318, ' right': -3.4840677, ' Left': -5.115967, 'Right': -6.524479, 'right': -7.2822475}
{' Left': -0.07198554, ' left': -2.6978705, 'Left': -6.698877, 'left': -7.100069, ' Right': -10.033535}
{' Left': -0.16931236, ' left': -1.9191331, ' Right': -5.55934, 'left': -5.852471, 'Left': -6.2877603}
{' Left': -0.21893287, ' left': -1.6465431, 'left': -6.1956644, 'Left': -6.982988, ' Right': -7.1166363}
{' Right': -0.5824149, ' Left': -0.98851043, ' left': -3.361546, ' right': -3.3951797, 'Right': -7.644594}
{' Left': -0.12118628, ' left': -2.1797953, 'Left': -7.410874, 'left': -7.9257035, ' Right': -9.3059435}
{' Left': -0.44413504, ' left': -1.0372976, ' Right': -6.4694963, 'left': -6.61946, 'Left': -7.1667395}
{' Left': -0.39567676, ' left': -1.1593715, ' Right': -4.835412, ' right': -5.632132, 'left': -6.957265}
{' Right': -0.053470306, ' right': -3.644773, ' Left': -3.8357139, ' left': -6.2669444, 'Right': -6.3574705}
{' Left': -0.05106066, ' left': -3.0407016, 'Left': -6.4953065, 'left': -7.698003, ' Right': -11.449831}
{' Left': -0.11366968, ' left': -2.2710526, 'Left': -6.142094, 'left': -6.5590506, ' Right': -7.3687906}
{' Left': -0.1597581, ' left': -1.9399686, 'left': -6.3337064, 'Left': -6.471009, ' Right': -7.477192}
{' Right': -0.3535814, ' Left': -1.233657, ' left': -5.758218, ' right': -5.7720957, 'Right': -8.502841}
{' Left': -0.008992593, ' left': -4.7612014, 'Left': -8.021518, 'left': -9.756568, ' Right': -11.487788}
{' Left': -0.04988112, ' left': -3.0496294, 'Left': -7.515869, 'left': -7.802593, ' Right': -8.058525}
{' Left': -0.037548155, ' left': -3.3283195, ' Right': -7.4896293, 'Left': -8.342072, 'left': -8.585167}
{' Right': -0.15316764, ' Left': -2.5017204, ' right': -3.1266131, ' left': -4.832454, 'Right': -5.0789256}
{' Left': -0.048122328, ' left': -3.2159173, 'Left': -5.4169745, ' Right': -6.342174, 'left': -7.4522624}
{' Left': -0.26781866, ' left': -1.596594, ' Right': -3.9127963, 'Left': -5.2326894, ' right': -5.554632}
{' Left': -0.45935223, ' left': -1.2337588, ' Right': -3.0013025, ' right': -3.8620524, 'Left': -5.7795897}
{' Left': -0.053724434, ' Right': -3.4255846, ' left': -3.9498174, ' right': -8.125079, 'Left': -8.9278}
{' Right': -0.0025538797, ' right': -6.6244426, ' Left': -6.8256474, 'Right': -9.067947, ' left': -11.55995}
{' Left': -0.23158284, ' Right': -1.688469, ' left': -3.9175968, ' right': -6.374721, 'Left': -8.808072}
{' Right': -0.019686721, ' right': -3.97824, ' Left': -7.414994, 'Right': -9.168681, 'right': -10.336785}
{' Left': -0.1523708, ' Right': -2.3469946, ' left': -3.1523552, ' right': -6.180401, 'Left': -7.834179}
{' Right': -0.0075741224, ' Left': -5.618738, ' right': -5.7199326, 'Right': -7.5883327, ' left': -9.66908}
{' Right': -0.6688749, ' Left': -0.76236546, ' left': -4.256794, ' right': -5.155018, 'Right': -7.695125}
{' Right': -0.046329323, ' right': -3.1860175, ' Left': -5.9058676, 'Right': -7.3556843, 'right': -8.08718}
{' Left': -0.41916972, ' Right': -1.3605835, ' left': -2.6240532, ' right': -4.40031, 'left': -7.6719213}
{' Right': -0.015373279, ' right': -4.61704, ' Left': -5.4661903, 'Right': -7.237552, ' left': -8.394745}
{' Left': -0.17193753, ' left': -2.49818, ' Right': -2.6600738, ' right': -5.866729, 'left': -6.6052127}
{' Right': -0.031869333, ' right': -3.488275, 'Right': -7.6906023, 'right': -8.476705, ' Left': -9.038598}
{' Left': -0.46858963, ' Right': -1.5103128, ' left': -2.081066, ' right': -3.5892425, 'left': -8.045673}
{' Right': -0.05909643, ' right': -2.9402363, ' Left': -5.7127676, ' left': -7.572449, 'Right': -7.606974}
{' Left': -0.65345955, ' Right': -1.1529331, ' left': -2.071272, ' right': -3.3235836, 'left': -7.1173587}
