{'\n': -11.393823, ' ': -10.280131, ' Yes': -0.004631475, ' yes': -10.561475, 'Yes': -5.4026356}
{' No': -0.0069341133, '\n': -7.222555, ' ': -6.157185, 'No': -5.8185577, ' Yes': -7.1235604}
{' No': -0.043386783, '\n': -6.626855, ' ': -6.2729816, 'No': -3.279421, ' Yes': -6.764571}
{' No': -0.07936789, '\n': -4.038892, ' ': -4.7731924, 'No': -3.065074, ' Yes': -6.0056615}
{' No': -0.010037581, ' May': -9.454367, '\n': -9.332004, ' ': -6.479609, 'No': -4.8033457}
{' No': -0.1714996, '\n': -4.026999, ' ': -4.5120473, 'No': -2.0695326, ' Yes': -7.2722173}
{' No': -0.098284416, ' May': -6.4916368, ' ': -5.974147, 'No': -3.4128613, ' Yes': -2.9425836}
{' No': -0.13014476, ' ': -6.1229587, 'No': -2.399054, ' Yes': -3.825294, ' no': -6.177314}
{' No': -0.20000072, 'No': -2.302576, ' Yes': -2.6017265, 'Yes': -5.71763, ' It': -6.6002636}
{' No': -0.266189, ' ': -6.413903, 'No': -2.295831, ' Yes': -2.104299, 'Yes': -4.949562}
{' No': -0.059470654, ' ': -7.4479504, 'No': -3.0686793, ' Yes': -4.6439123, ' It': -8.366597}
{' No': -0.53359336, 'No': -1.1655494, ' Yes': -2.4849482, 'Yes': -4.364259, ' It': -6.520187}
{' No': -0.11969073, ' ': -7.552712, 'No': -2.342656, ' Yes': -4.2149262, 'Yes': -7.210857}
{' No': -0.025912767, '\n': -6.037008, ' ': -4.84427, 'No': -4.932941, ' no': -4.9454517}
{' No': -0.07114008, '\n': -6.464431, ' ': -5.6832385, 'No': -2.827722, ' Yes': -5.599113}
{' No': -0.19242519, '\n': -3.7411482, ' ': -4.495255, 'No': -2.146811, ' Yes': -3.9245017}
{' No': -0.048335753, ' May': -8.445298, '\n': -6.2114067, ' ': -5.6031795, 'No': -3.2056537}
{' No': -0.23123036, '\n': -3.5405946, ' ': -4.775764, 'No': -1.8076634, ' no': -6.372836}
{' No': -0.07471563, '\n': -4.836129, 'No': -3.1406157, ' Yes': -5.29792, ' no': -4.734908}
{' No': -0.01678519, '\n': -6.148342, ' ': -5.9891396, 'No': -5.2489667, ' Yes': -5.0575376}
{' No': -0.052620858, '\n': -5.1584306, ' ': -5.559928, 'No': -3.2957122, ' Yes': -5.547091}
{' No': -0.16897169, '\n': -4.2444873, ' ': -4.7748084, 'No': -3.3020854, ' Yes': -2.3857114}
{' No': -0.018687777, '\n': -6.562003, ' ': -5.5155973, 'No': -4.365659, ' Yes': -8.853409}
{' No': -0.11102247, '\n': -4.8807063, ' ': -5.1004863, 'No': -3.067058, ' Yes': -3.1609187}
{' No': -0.10232018, '\n': -4.226331, ' ': -4.7971344, 'No': -3.3437102, ' Yes': -3.3719983}
{' No': -0.023467116, ' May': -9.366941, ' Not': -9.320526, ' ': -9.127326, 'No': -3.786538}
{' No': -0.08041819, ' Not': -8.764169, '\n': -8.757715, ' ': -6.8580275, 'No': -2.5837274}
{' No': -0.067333296, '\xa0': -9.132993, '\n': -7.8424892, ' ': -7.0321813, 'No': -2.756767}
{' No': -0.023813337, ' May': -10.149459, ' Not': -9.87367, ' ': -9.377324, 'No': -3.7598705}
{' No': -0.079857916, ' May': -8.645701, '\n': -6.312102, ' ': -6.2032776, 'No': -2.6318598}
{' No': -0.07223947, ' Not': -8.169538, '\n': -8.215852, ' ': -7.4763007, 'No': -2.691935}
{' No': -0.0045862654, ' May': -9.583261, '\n': -8.201793, ' ': -6.5487614, 'No': -5.9124284}
{' No': -0.031571202, ' May': -9.938063, '\n': -6.579221, ' ': -5.9871087, 'No': -3.6155896}
{' No': -0.061597414, '\xa0': -8.201925, '\n': -4.510246, ' ': -4.999473, 'No': -3.1905134}
{' No': -0.005036058, '\n': -10.162069, ' ': -6.8870225, 'No': -5.5427175, ' no': -11.194301}
{' No': -0.14247519, ' May': -8.27887, '\n': -4.5237713, ' ': -4.445468, 'No': -2.2179585}
{' No': -0.041614227, '\n': -6.7075353, ' ': -5.826984, 'No': -3.3510144, ' no': -7.437873}
{' No': -0.08274845, '\n': -7.4669933, ' ': -6.6038966, 'No': -2.5873947, ' no': -6.507162}
{' No': -0.09619091, '\n': -9.401155, ' ': -7.1308365, 'No': -2.404325, ' no': -8.774289}
{' No': -0.12342597, '\xa0': -8.569455, '\n': -8.081779, ' ': -6.7991533, 'No': -2.1717353}
{' No': -0.0301235, '\xa0': -10.16518, ' ': -7.787992, 'No': -3.5417256, ' no': -9.317658}
{' No': -0.42494184, '\xa0': -9.132443, '\n': -7.6274414, ' ': -7.050197, 'No': -1.0661925}
{' No': -0.12088274, '\n': -9.386064, ' ': -7.72932, 'No': -2.1798007, ' no': -9.3473}
{' No': -0.020722747, '\n': -7.1420074, ' ': -5.0516405, 'No': -5.123, ' no': -4.97503}
{' No': -0.044574305, '\n': -6.3811383, ' ': -5.267305, 'No': -3.3353531, ' no': -7.0157547}
{' No': -0.114990994, '\n': -4.591033, ' ': -4.73671, 'No': -2.4350555, ' no': -6.6066713}
{' No': -0.023058312, '\n': -7.066493, ' ': -5.9946632, 'No': -3.9857335, ' no': -7.288521}
{' No': -0.2535173, '\n': -3.3529193, ' ': -4.5481415, 'No': -1.7625105, ' no': -5.449809}
{' No': -0.06454782, '\n': -5.1856747, ' ': -5.375904, 'No': -3.505765, ' no': -3.8904219}
{' No': -0.005748773, '\n': -6.7853737, ' ': -6.368915, 'No': -5.9294143, ' no': -9.678855}
{' No': -0.032236885, ' May': -9.307314, '\n': -5.75797, ' ': -5.800509, 'No': -3.6846147}
{' No': -0.036299396, ' May': -9.318152, '\n': -5.4752564, ' ': -5.4464383, 'No': -3.626391}
{' No': -0.010031802, ' May': -9.828276, '\n': -7.7681203, ' ': -5.8262067, 'No': -5.0444098}
{' No': -0.039202984, '\n': -5.6853375, ' ': -5.3899126, 'No': -3.5054579, ' no': -8.96021}
{' No': -0.036201254, ' May': -7.3137994, '\n': -5.4526553, ' ': -5.205849, 'No': -3.7376878}
{' No': -4.985833, ' Generally': -8.153521, ' Yes': -0.011390004, 'Yes': -5.717162, ' In': -8.629496}
{' No': -0.06818506, ' ': -7.129024, 'No': -2.776004, ' Yes': -6.4077425, ' It': -7.653643}
{' No': -0.08052084, '\n': -8.015898, ' ': -6.8705983, 'No': -2.6168196, ' Yes': -6.05106}
{' No': -0.024839219, ' July': -7.152889, 'No': -4.280227, ' Yes': -4.7311225, ' In': -8.396627}
{' No': -0.1487482, '\n': -6.1447854, ' ': -6.1606264, 'No': -2.18934, ' Yes': -3.9279895}
{' No': -0.12520806, ' ': -7.15863, 'No': -2.7423747, ' Yes': -3.0483131, 'Yes': -7.095975}
{' No': -0.005443381, '\n': -7.6668687, ' ': -6.477451, 'No': -5.7366915, ' Yes': -10.165555}
{' No': -0.035224084, '\xa0': -9.83628, '\n': -6.8785095, ' ': -6.108157, 'No': -3.4735308}
{' No': -0.06438084, '\xa0': -8.338142, '\n': -4.5821915, ' ': -5.0048313, 'No': -3.110014}
{' No': -0.0073600984, '\xa0': -11.158089, '\n': -9.641578, ' ': -6.4785795, 'No': -5.173553}
{' No': -0.16059439, ' May': -7.387578, '\n': -4.40796, ' ': -4.640986, 'No': -2.0817275}
{' No': -0.03803977, '\n': -6.8149695, ' ': -5.8566303, ' July': -7.5852604, 'No': -3.4691937}
{' No': -0.08680918, '\n': -7.5940375, ' ': -6.283972, 'No': -2.5568428, ' no': -6.4887776}
{' No': -0.09290335, ' ': -7.599447, 'No': -2.458046, ' Yes': -6.201128, ' no': -9.077228}
{' No': -0.18343891, ' ': -6.6667523, 'No': -2.021625, ' Yes': -3.4903615, 'Yes': -6.2230496}
{' No': -0.036855463, ' ': -7.6040177, 'No': -3.3555408, ' Yes': -7.8884144, ' no': -9.20601}
{' No': -0.42506704, ' ': -7.070274, 'No': -1.0971309, ' Yes': -4.8441744, 'Yes': -6.67523}
{' No': -0.11839559, ' ': -7.621951, 'No': -2.2046573, ' Yes': -7.9856634, ' no': -8.858418}
{' No': -0.018802317, '\n': -7.0638895, ' ': -5.014917, 'No': -5.092895, ' no': -5.3639026}
{' No': -0.047366954, '\n': -6.724191, ' ': -5.615831, 'No': -3.2058887, ' no': -7.4030414}
{' No': -0.12408474, '\n': -4.2796707, ' ': -4.7290325, 'No': -2.38394, ' no': -7.101901}
{' No': -0.028896268, '\n': -7.266829, ' ': -6.0666957, 'No': -3.6881695, ' no': -8.423062}
{' No': -0.23882651, '\n': -3.604671, ' ': -4.5977015, 'No': -1.7740036, ' no': -5.710557}
{' No': -0.06802848, '\n': -4.7765245, ' ': -5.668652, 'No': -3.3488872, ' no': -4.107629}
{' No': -0.0064161, '\n': -7.227409, ' ': -6.531511, 'No': -5.557796, ' Yes': -8.7591505}
{' No': -0.03602396, '\n': -6.112346, ' ': -5.8443103, 'No': -3.5101106, ' Yes': -9.514081}
{' No': -0.051433083, '\n': -5.461606, ' ': -5.3997717, 'No': -3.2184005, ' Yes': -7.191253}
{' No': -0.014756573, ' May': -9.700919, '\n': -7.5571203, ' ': -5.815551, 'No': -4.516397}
{' No': -0.06644301, '\n': -4.631701, ' ': -5.1201324, 'No': -3.0373578, ' Yes': -9.000307}
{' No': -0.04146231, '\n': -5.6498566, ' ': -5.506268, 'No': -3.5430946, ' Yes': -6.146124}
{'\n': -10.810993, ' ': -10.281624, ' Yes': -0.0034157769, ' yes': -10.558092, 'Yes': -5.710689}
{' No': -4.910506, ' ': -8.303538, 'No': -8.158671, ' Yes': -0.020018445, 'Yes': -4.4711576}
{' No': -2.329785, ' ': -7.1331153, 'No': -5.362586, ' Yes': -0.13090216, 'Yes': -3.9905918}
{' No': -7.5152645, ' July': -8.52075, ' Yes': -0.0026264891, ' yes': -10.64776, 'Yes': -6.3220253}
{' No': -4.8574467, '\n': -6.71834, ' ': -6.878633, ' Yes': -0.034349527, 'Yes': -3.784603}
{' No': -8.048328, ' ': -8.297829, ' Yes': -0.01134678, ' yes': -8.204971, 'Yes': -4.6051636}
{' No': -5.0683947, '\n': -7.991273, ' ': -6.8170023, ' Yes': -0.00904173, 'Yes': -6.87854}
{' No': -3.634934, '\n': -6.442443, ' ': -6.257557, ' Yes': -0.044890266, 'Yes': -4.376445}
{' No': -4.079448, '\n': -4.363132, ' ': -4.905929, ' Yes': -0.0674114, 'Yes': -3.6496577}
{' No': -0.5617525, ' ': -6.0527916, 'No': -6.026159, ' Yes': -0.8599416, 'Yes': -6.599886}
{' No': -0.75105745, '\n': -4.1269183, 'No': -2.9711807, ' Yes': -0.8880795, 'Yes': -3.4287956}
{' No': -6.52911, ' ': -6.6135845, ' Yes': -0.014429495, ' yes': -6.232628, 'Yes': -4.8007092}
{' No': -4.7349973, ' ': -7.044753, ' Yes': -0.04323827, ' yes': -4.9276843, 'Yes': -3.7462125}
{' No': -2.6667197, 'No': -5.3592153, ' Yes': -0.105904005, ' yes': -7.05472, 'Yes': -3.6982083}
{' No': -0.5335209, ' ': -6.5230894, 'No': -2.8293867, ' Yes': -1.0920212, 'Yes': -4.1827974}
{' No': -0.113698386, ' ': -7.4486933, 'No': -3.871629, ' Yes': -2.471683, 'Yes': -6.830991}
{' No': -2.1211548, 'No': -3.0968435, ' Yes': -0.29083252, ' yes': -7.0170436, 'Yes': -2.4799118}
{' No': -2.3670497, 'No': -5.421062, ' Yes': -0.12454949, ' yes': -6.714345, 'Yes': -4.0823603}
{' No': -3.8158636, ' ': -5.3856053, ' Yes': -0.052811738, ' yes': -3.9076412, 'Yes': -5.7382193}
{'\n': -6.6998506, ' ': -6.195084, ' Yes': -0.03188398, ' yes': -5.208401, 'Yes': -3.812306}
{'\n': -4.500809, ' ': -5.1615376, ' Yes': -0.081493996, ' yes': -5.2611775, 'Yes': -2.9725747}
{' No': -0.58344406, ' ': -6.1505494, 'No': -4.706823, ' Yes': -0.8576808, 'Yes': -5.4796953}
{' No': -0.4806909, '\n': -2.9269514, 'No': -2.062989, ' Yes': -1.8482541, 'Yes': -3.834756}
{' No': -4.993936, '\n': -5.0587506, ' Yes': -0.083252564, ' yes': -3.0050337, 'Yes': -4.4361386}
{' No': -5.6115675, '\n': -7.3523684, ' ': -7.0797753, ' Yes': -0.007262473, 'Yes': -6.382262}
{' No': -4.249973, '\n': -5.699088, ' ': -6.3991537, ' Yes': -0.0339791, 'Yes': -4.3343062}
{' No': -4.6998224, '\n': -5.314944, ' ': -5.617703, ' Yes': -0.03530966, 'Yes': -4.1426516}
{' No': -0.73116755, ' ': -5.5526433, 'No': -5.7153, ' Yes': -0.6768539, 'Yes': -6.2664366}
{' No': -1.8777565, '\n': -4.149973, ' ': -4.6367493, ' Yes': -0.23861168, 'Yes': -3.6467307}
{' No': -5.01747, '\n': -5.536659, ' ': -5.6363688, ' Yes': -0.027664898, 'Yes': -4.7253556}
{' No': -8.809826, ' May': -9.633916, ' Yes': -0.0032867754, 'Yes': -5.874193, ' It': -9.582916}
{' That': -4.1828947, ' No': -0.26785752, 'No': -2.9517777, ' Yes': -2.4687223, ' It': -2.648921}
{' No': -0.15653382, ' ': -6.604799, 'No': -2.5279539, ' Yes': -2.8402474, 'Yes': -6.068452}
{' No': -0.2674073, 'No': -4.4584703, ' Yes': -1.5386113, 'Yes': -6.92956, ' It': -5.553651}
{' No': -0.650088, 'No': -2.6028755, ' Yes': -0.9915282, 'Yes': -4.036036, ' It': -5.342254}
{' No': -1.1968457, 'No': -3.7017207, ' Yes': -0.43500283, 'Yes': -4.44515, ' It': -5.1555247}
{' No': -0.010962957, '\n': -7.2808156, ' ': -6.3775454, 'No': -5.75938, ' Yes': -5.344873}
{' No': -0.04709389, '\n': -6.7151937, ' ': -6.3490252, 'No': -3.1772532, ' Yes': -7.151414}
{' No': -0.078319095, '\n': -4.373815, ' ': -5.007051, 'No': -2.9650528, ' Yes': -5.673535}
{' No': -0.01097272, '\n': -9.391205, ' ': -6.7593055, 'No': -4.658935, ' It': -9.7709255}
{' No': -0.1820671, '\n': -4.5925713, ' ': -4.737441, 'No': -1.9280807, ' Yes': -7.220469}
{' No': -0.117877945, ' ': -6.0710216, 'No': -3.3864763, ' Yes': -2.6636255, 'Yes': -6.7016144}
{' No': -0.14324903, ' ': -6.2257557, 'No': -2.5347762, ' Yes': -3.2960722, ' It': -5.0665336}
{' No': -0.22146682, 'No': -2.4266233, ' Yes': -2.5538032, 'Yes': -5.7292023, ' It': -3.851634}
{' No': -0.34887105, ' ': -6.55745, 'No': -2.3097818, ' Yes': -1.7184179, 'Yes': -4.5149765}
{' No': -0.063240744, ' ': -7.619194, 'No': -3.078345, ' Yes': -4.5179296, ' It': -6.136687}
{' No': -0.49476078, 'No': -1.1951202, ' Yes': -2.7131846, 'Yes': -4.636573, ' It': -5.1954093}
{' No': -0.13228624, ' ': -7.630398, 'No': -2.1706543, ' Yes': -4.7972393, 'Yes': -7.630334}
{' No': -0.022678021, '\n': -6.126003, ' ': -4.9308753, 'No': -5.034885, ' no': -5.234633}
{' No': -0.06797579, '\n': -6.5643134, ' ': -5.9166055, 'No': -2.8406332, ' Yes': -6.173404}
{' No': -0.16825072, '\n': -4.268604, ' ': -4.7448783, 'No': -2.3186069, ' Yes': -3.511999}
{' No': -0.05103406, ' May': -8.087903, '\n': -6.3511667, ' ': -5.8129187, 'No': -3.130826}
{' No': -0.22553863, '\n': -3.7554753, ' ': -4.881239, 'No': -1.8023304, ' Yes': -6.0039997}
{' No': -0.06949084, '\n': -5.299545, 'No': -3.1468492, ' Yes': -5.377205, ' no': -4.9885287}
{' No': -0.012967769, '\n': -6.45507, ' ': -6.209785, 'No': -5.4303145, ' Yes': -5.4101233}
{' No': -0.059979122, '\n': -5.3297067, ' ': -5.7694235, 'No': -3.1222484, ' Yes': -5.231856}
{' No': -0.1416831, '\n': -4.6372848, ' ': -4.99208, 'No': -3.098352, ' Yes': -2.701194}
{' No': -0.01822343, '\n': -6.9049644, ' ': -5.750273, 'No': -4.305113, ' Yes': -8.8028965}
{' No': -0.14723915, '\n': -5.095668, ' ': -5.219718, 'No': -3.0372765, ' Yes': -2.6107113}
{' No': -0.09906128, '\n': -4.289654, ' ': -5.0814023, 'No': -3.2827675, ' Yes': -3.4491036}
{' No': -0.025644396, ' May': -8.828456, ' Not': -8.690346, 'No': -3.723051, ' Yes': -8.049013}
{' No': -0.06211984, ' Not': -8.710177, ' ': -6.939805, 'No': -2.8382962, ' It': -8.766737}
{' No': -0.060138997, '\xa0': -9.037048, '\n': -7.82321, ' ': -6.876225, 'No': -2.8723376}
{' No': -0.020707598, ' Not': -9.373028, ' ': -9.331073, 'No': -3.9095602, ' Yes': -9.155422}
{' No': -0.08711355, ' May': -8.733952, '\n': -6.4330893, ' ': -6.3428826, 'No': -2.5368032}
{' No': -0.07640819, '\n': -7.642252, ' ': -7.1479793, 'No': -2.651384, ' Yes': -7.6633267}
{' No': -0.0039787963, ' May': -10.000034, '\n': -8.101782, ' ': -6.628889, 'No': -6.1158285}
{' No': -0.0307567, ' May': -9.962705, '\n': -6.7916613, ' ': -6.0943303, 'No': -3.6237342}
{' No': -0.05003802, '\xa0': -8.239827, '\n': -4.906199, ' ': -5.286507, 'No': -3.3353963}
{' No': -0.004726631, '\n': -10.203419, ' ': -7.0558357, 'No': -5.580427, ' no': -11.22935}
{' No': -0.1377022, ' May': -8.402336, '\n': -4.934451, ' ': -4.5425434, 'No': -2.210542}
{' No': -0.04566054, '\n': -6.7466755, ' ': -5.7058053, 'No': -3.2424588, ' no': -7.755778}
{' No': -0.083187655, '\n': -7.5333734, ' ': -6.370128, 'No': -2.5876374, ' no': -6.4916425}
{' No': -0.10473056, ' ': -7.138703, 'No': -2.3230817, ' Yes': -9.26508, ' no': -8.787996}
{' No': -0.13054064, '\xa0': -8.239177, '\n': -7.845796, ' ': -6.669495, 'No': -2.1214845}
{' No': -0.026154783, '\xa0': -9.958164, ' ': -7.738446, 'No': -3.6857843, ' no': -9.51428}
{' No': -0.44803652, '\xa0': -9.05313, '\n': -7.4292197, ' ': -7.158574, 'No': -1.024153}
{' No': -0.116510615, '\n': -9.353452, ' ': -7.6151257, 'No': -2.2160437, ' no': -8.974414}
{' No': -0.019847948, '\n': -7.273181, ' ': -5.0675735, 'No': -5.262535, ' no': -4.9587593}
{' No': -0.037969064, '\n': -6.967978, ' ': -5.4782767, 'No': -3.463668, ' no': -7.3410354}
{' No': -0.105732195, '\n': -4.5965447, ' ': -4.649763, 'No': -2.5416548, ' no': -6.7294054}
{' No': -0.019895375, '\n': -7.3107643, ' ': -6.0117793, 'No': -4.142198, ' no': -7.5107365}
{' No': -0.24288386, '\n': -3.5175228, ' ': -4.4621325, 'No': -1.7787343, ' no': -5.658144}
{' No': -0.05780939, '\n': -5.4141803, ' ': -5.3202906, 'No': -3.4661896, ' no': -4.2567363}
{' No': -0.004057133, '\n': -7.2868285, ' ': -6.592338, 'No': -6.3214183, ' no': -9.851493}
{' No': -0.03032162, ' May': -9.447371, '\n': -5.8887196, ' ': -5.90274, 'No': -3.729256}
{' No': -0.033506494, ' May': -9.427965, '\n': -5.750723, ' ': -5.4516473, 'No': -3.6893022}
{' No': -0.009602387, '\n': -7.7710366, ' ': -5.9084635, 'No': -5.0679154, ' no': -10.52174}
{' No': -0.042767234, '\n': -5.8826175, ' ': -5.4468293, 'No': -3.369536, ' no': -9.215859}
{' No': -0.039187733, ' May': -7.4797273, '\n': -5.5273905, ' ': -5.1821537, 'No': -3.6102114}
{' No': -6.1993313, ' Generally': -8.453653, ' August': -9.01074, ' Yes': -0.005878866, 'Yes': -5.774702}
{' No': -0.06565332, ' ': -7.490101, 'No': -2.8576949, ' Yes': -5.3903832, ' It': -8.082996}
{' No': -0.09396817, '\n': -8.069463, ' ': -6.7625413, 'No': -2.4899337, ' Yes': -5.400805}
{' No': -0.036241487, ' August': -8.286823, 'No': -4.0930552, ' Yes': -4.0301437, ' In': -8.376976}
{' No': -0.18473896, '\n': -6.063988, 'No': -2.1794403, ' Yes': -3.045596, 'Yes': -6.098368}
{' No': -0.272134, ' Generally': -6.937155, 'No': -2.8974426, ' Yes': -1.7438669, 'Yes': -5.915947}
{' No': -0.0057601617, '\n': -8.100004, ' ': -6.957496, 'No': -5.46895, ' Yes': -8.981047}
{' No': -0.0408103, '\n': -6.744568, ' ': -6.0926704, 'No': -3.3213716, ' Yes': -8.807293}
{' No': -0.07742691, '\xa0': -8.188642, '\n': -4.5795975, ' ': -4.9706955, 'No': -2.8755856}
{' No': -0.009427822, '\n': -10.01399, ' ': -6.850124, 'No': -4.8007617, ' no': -11.195256}
{' No': -0.18392926, ' May': -7.043031, '\n': -4.601579, ' ': -4.680554, 'No': -1.9218651}
{' No': -0.03817835, '\n': -7.2091775, ' ': -6.228437, 'No': -3.4528434, ' Yes': -6.7949452}
{' No': -0.10211678, ' ': -6.4600196, 'No': -2.3822625, ' Yes': -7.542723, ' no': -6.6825924}
{' No': -0.1193806, ' ': -7.491109, 'No': -2.2343996, ' Yes': -5.536508, ' no': -8.585543}
{' No': -0.16646905, ' ': -6.717464, 'No': -2.1587365, ' Yes': -3.4058602, 'Yes': -6.225809}
{' No': -0.039571323, ' ': -7.7398815, 'No': -3.2899451, ' Yes': -7.3220057, ' no': -9.0181055}
{' No': -0.41538537, ' ': -7.0597687, 'No': -1.1208947, ' Yes': -4.657386, 'Yes': -6.5120935}
{' No': -0.09073235, ' ': -7.9924674, 'No': -2.4603345, ' Yes': -7.643651, ' no': -8.60529}
{' No': -0.021126954, '\n': -6.8570757, ' ': -5.1254683, 'No': -4.708947, ' no': -5.397813}
{' No': -0.056085236, '\n': -6.684814, ' ': -5.721536, 'No': -3.0137398, ' no': -7.396261}
{' No': -0.14588429, '\n': -4.235394, ' ': -4.713742, 'No': -2.2053819, ' no': -7.086914}
{' No': -0.044126313, '\n': -6.811766, ' ': -6.189176, 'No': -3.2315633, ' no': -8.229096}
{' No': -0.27440724, '\n': -3.5119867, ' ': -4.6576295, 'No': -1.6331013, ' no': -5.8338785}
{' No': -0.07201257, '\n': -4.7108626, ' ': -5.768805, 'No': -3.1794112, ' no': -4.3616424}
{' No': -0.0074922666, '\n': -7.1416893, ' ': -6.685507, 'No': -5.338114, ' Yes': -7.6990066}
{' No': -0.043228686, '\n': -5.9215374, ' ': -6.005057, 'No': -3.3089964, ' Yes': -8.0596895}
{' No': -0.06763306, '\n': -5.1624093, ' ': -5.4102445, 'No': -2.990225, ' Yes': -5.5092874}
{' No': -0.016328452, ' May': -9.641819, '\n': -7.4978843, ' ': -5.9753046, 'No': -4.3514323}
{' No': -0.07519161, '\n': -4.9170513, ' ': -5.127981, 'No': -2.845728, ' Yes': -7.4285507}
{' No': -0.056588225, '\n': -5.176236, ' ': -5.4295325, 'No': -3.380288, ' Yes': -4.7116375}
{' ': -11.082677, ' August': -11.627847, ' Yes': -0.0031170752, ' yes': -10.577126, 'Yes': -5.7956963}
{' No': -0.16449168, ' ': -7.3896933, 'No': -3.4020936, ' Yes': -2.1640606, 'Yes': -6.4257107}
{' No': -0.21874829, ' ': -6.8580036, 'No': -3.1089687, ' Yes': -1.9300863, 'Yes': -5.5451813}
{' No': -2.761628, ' August': -6.501183, 'No': -7.3680177, ' Yes': -0.07074446, 'Yes': -5.9439034}
{' No': -0.86208105, '\n': -5.776592, 'No': -3.364776, ' Yes': -0.6518339, 'Yes': -4.1374965}
{' No': -7.4387383, ' ': -8.879513, ' Yes': -0.010934996, ' yes': -8.793986, 'Yes': -4.6370716}
{' No': -0.0907593, '\n': -7.3707995, ' ': -6.7652335, 'No': -5.45664, ' Yes': -2.5251331}
{' No': -0.30342892, ' ': -5.8327117, 'No': -3.5607243, ' Yes': -1.501465, 'Yes': -5.3813057}
{' No': -0.09135576, '\n': -4.1724157, ' ': -5.0327864, 'No': -3.0485775, ' Yes': -4.1084094}
{' No': -0.005381477, '\n': -9.536881, ' ': -7.3638215, 'No': -5.4017835, ' Yes': -9.587457}
{' No': -0.14205134, '\n': -4.673553, ' ': -4.8251157, 'No': -2.2593703, ' Yes': -4.7363915}
{' No': -3.821642, ' ': -6.2820444, ' Yes': -0.041748203, ' yes': -6.2508645, 'Yes': -4.3888683}
{' No': -0.16575544, ' ': -6.2985287, 'No': -2.5954602, ' Yes': -2.6635087, 'Yes': -5.99921}
{' No': -0.15588598, ' ': -7.6716757, 'No': -2.8504086, ' Yes': -2.491812, 'Yes': -5.909672}
{' No': -0.14103897, ' ': -6.7126226, 'No': -2.2888432, ' Yes': -3.6480522, 'Yes': -6.386672}
{' No': -0.037560657, ' ': -7.7528715, 'No': -3.505372, ' Yes': -5.1333094, 'Yes': -9.170168}
{' No': -0.45856568, ' ': -6.6722474, 'No': -1.4302835, ' Yes': -2.2013254, 'Yes': -4.2423716}
{' No': -1.3744513, 'No': -4.6163793, ' Yes': -0.32691836, ' yes': -6.584521, 'Yes': -4.2942834}
{' No': -0.06275886, ' ': -4.994159, 'No': -5.3005633, ' Yes': -3.2282727, ' no': -5.187679}
{' No': -1.432094, ' ': -5.2297606, 'No': -4.417236, ' Yes': -0.3342317, 'Yes': -3.9478905}
{' No': -3.7573185, '\n': -3.979929, ' ': -4.876745, ' Yes': -0.12368029, 'Yes': -2.836599}
{' No': -0.026534867, '\n': -7.1019855, ' ': -6.787109, 'No': -3.7805345, ' Yes': -6.9875116}
{' No': -0.27449116, '\n': -3.2080314, ' ': -4.654847, 'No': -1.832854, ' Yes': -3.8310134}
{' No': -0.6134066, '\n': -4.247865, 'No': -3.8972974, ' Yes': -0.97306, ' yes': -3.8464308}
{' No': -1.6623651, '\n': -6.0461864, ' ': -6.2124367, ' Yes': -0.2193796, 'Yes': -6.496283}
{' No': -0.27398735, '\n': -4.9139404, 'No': -3.5859573, ' Yes': -1.6247411, 'Yes': -5.4728794}
{' No': -2.7255332, '\n': -4.7366605, ' ': -5.447903, ' Yes': -0.10646316, 'Yes': -3.9757848}
{' No': -0.017755896, '\n': -6.872989, ' ': -6.0972857, 'No': -4.799895, ' Yes': -5.1402607}
{' No': -0.43351766, '\n': -4.724127, 'No': -3.383587, ' Yes': -1.2389452, 'Yes': -4.399925}
{' No': -3.3769872, '\n': -5.3474503, ' ': -5.6052957, ' Yes': -0.061363336, 'Yes': -4.495247}
{' No': -7.5955725, ' May': -9.796846, ' ': -10.122819, ' Yes': -0.0039532427, 'Yes': -5.7411737}
{' No': -0.121182255, ' ': -7.029474, 'No': -2.715405, ' Yes': -3.1904, ' It': -5.922123}
{' No': -0.10231444, ' ': -6.3034697, 'No': -2.5148683, ' Yes': -4.356232, 'Yes': -7.5167894}
{' No': -0.31071925, ' Not': -7.9470224, 'No': -4.4779363, ' Yes': -1.3741653, 'Yes': -6.806366}
{' No': -0.41886485, '\n': -5.601322, 'No': -2.1758993, ' Yes': -1.5782925, 'Yes': -4.439481}
{' No': -0.6489767, ' ': -6.723916, 'No': -3.0683758, ' Yes': -0.87853575, 'Yes': -4.741799}
{' No': -0.0071835243, '\n': -7.6095195, ' ': -6.2652802, 'No': -5.978438, ' Yes': -6.1983113}
{' No': -0.04671172, '\n': -6.474325, ' ': -5.967055, 'No': -3.201829, ' Yes': -7.568667}
{' No': -0.08502521, '\n': -4.248529, ' ': -4.785287, 'No': -2.8699965, ' Yes': -6.8161373}
{' No': -0.009271393, ' May': -10.930214, '\n': -9.479287, ' ': -6.5140257, 'No': -4.8802695}
{' No': -0.20035052, '\n': -4.405131, ' ': -4.489084, 'No': -1.8544565, ' Yes': -8.23562}
{' No': -0.06510468, '\n': -6.774039, ' ': -5.847845, 'No': -3.1886797, ' Yes': -4.1534433}
{' No': -0.117964596, ' ': -6.150059, 'No': -2.3941581, ' Yes': -4.381244, ' no': -6.3332295}
