{' Yes': -0.055776756, ' No': -2.984169, ' The': -6.1620555, 'Yes': -6.8753333, '\n': -8.805377}
{' No': -0.010079124, ' Yes': -4.753823, 'No': -6.8277917, '\n': -8.944191, ' ': -9.360789}
{' No': -0.0066392226, ' Yes': -5.2121825, 'No': -7.347837, '\n': -7.939502, ' ': -9.603454}
{' No': -0.002568459, ' Yes': -6.5653367, 'No': -7.0074315, '\n': -8.873, ' ': -9.688857}
{' No': -0.014671527, ' Yes': -4.3143578, 'No': -7.199415, '\n': -8.203674, ' ': -9.8127365}
{' No': -0.0034411335, ' Yes': -5.880037, 'No': -7.627626, '\n': -9.533297, ' ': -10.337761}
{' No': -0.03916139, ' Yes': -3.3461971, '\n': -6.5085864, 'No': -6.61029, ' ': -8.432044}
{' No': -0.16659148, ' Yes': -1.895603, 'No': -6.616918, '\n': -6.6439586, 'Yes': -8.743373}
{' No': -0.39964753, ' Yes': -1.112481, 'No': -8.121004, 'Yes': -8.786517, '\n': -9.162665}
{' No': -0.018816711, ' Yes': -4.0122247, 'No': -8.166407, '\n': -8.66147, ' ': -10.094381}
{' Yes': -0.029243333, ' No': -3.581846, 'Yes': -7.5123644, ' yes': -8.508926, '\n': -9.192581}
{' No': -0.019214557, ' Yes': -4.097395, 'No': -6.266937, '\n': -8.194578, ' ': -9.323572}
{' Yes': -0.09387656, ' No': -2.4383972, ' yes': -7.108128, 'Yes': -7.183392, ' The': -8.184757}
{' No': -0.4636994, ' Yes': -0.9959889, 'No': -7.4373927, 'Yes': -7.9736648, '\n': -8.295799}
{' Yes': -0.044310965, ' No': -3.162927, 'Yes': -7.237582, '\n': -9.257575, ' yes': -9.301122}
{' No': -0.3660462, ' Yes': -1.1888306, 'No': -7.0346456, '\n': -7.7645407, 'Yes': -8.300639}
{' No': -0.118551336, ' Yes': -2.204155, 'No': -7.251854, '\n': -7.810194, ' ': -8.775236}
{' Yes': -0.073005885, ' No': -2.6713772, 'Yes': -7.3143272, ' yes': -8.351398, ' The': -9.102884}
{' No': -0.14059708, ' Yes': -2.0425975, 'No': -6.920872, '\n': -8.294737, 'Yes': -9.0973}
{' No': -0.011557857, ' Yes': -4.5527873, 'No': -7.092181, '\n': -9.619897, ' ': -11.043042}
{' No': -0.025173144, ' Yes': -3.7426867, 'No': -7.402889, '\n': -8.209585, ' ': -9.189222}
{' No': -0.004184857, ' Yes': -5.7294006, 'No': -7.3941894, '\n': -8.869748, ' ': -9.205082}
{' No': -0.010904684, ' Yes': -4.651041, 'No': -7.1902466, '\n': -7.976185, ' ': -9.044489}
{' No': -0.021710936, ' Yes': -3.8903995, 'No': -7.4442554, '\n': -8.557073, ' The': -9.19399}
{' Yes': -0.5860139, ' No': -0.8165437, 'No': -7.805937, 'Yes': -7.829315, '\n': -8.360539}
{' No': -0.59762686, ' Yes': -0.80174, 'No': -7.6976576, '\n': -8.010573, 'Yes': -8.14927}
{' No': -0.2918824, ' Yes': -1.3769826, 'No': -7.7945657, '\n': -8.946103, 'Yes': -8.961784}
{' Yes': -0.2485201, ' No': -1.5192416, 'Yes': -7.6274266, 'No': -8.679113, '\n': -8.758394}
{' No': -0.0018719216, 'No': -6.6549397, ' Yes': -7.732649, '\n': -9.713221, ' The': -10.229916}
{' No': -0.010294275, ' Yes': -4.7380085, 'No': -6.840246, '\n': -8.241203, ' ': -9.382719}
{' No': -0.15884769, ' Yes': -1.9240892, 'No': -7.540189, '\n': -9.421401, 'Yes': -9.439646}
{' No': -0.0020524026, 'No': -6.507118, '\n': -8.311422, ' Yes': -8.792531, ' ': -9.269776}
{' Yes': -0.0124363005, ' No': -4.4918785, 'Yes': -7.0125527, ' yes': -9.056885, '\n': -9.902842}
{' Yes': -0.00312921, ' No': -5.925021, 'Yes': -8.517024, ' yes': -8.751102, ' The': -10.396969}
{' No': -0.00468573, ' Yes': -5.6044555, 'No': -7.1261206, '\n': -9.510394, ' ': -9.908219}
{' No': -0.040827062, ' Yes': -3.2581139, 'No': -6.688278, '\n': -8.893309, ' ': -9.674295}
{' No': -0.13461041, ' Yes': -2.083846, 'No': -7.2673407, '\n': -8.290519, ' ': -8.908057}
{' Yes': -0.69171387, ' No': -0.6986432, 'Yes': -7.2740493, 'No': -7.3967013, '\n': -8.071001}
{' No': -0.007982463, ' Yes': -4.9679356, 'No': -7.364494, '\n': -8.286306, ' ': -9.809326}
{' No': -0.004018653, 'No': -6.1525474, ' Yes': -6.36553, '\n': -9.186428, ' ': -10.363879}
{' No': -0.0048349737, ' Yes': -5.4915614, 'No': -7.5016723, '\n': -9.749669, ' ': -9.935662}
{' No': -0.006697486, ' Yes': -5.1367803, 'No': -7.5369377, '\n': -8.999207, ' ': -10.293758}
{' No': -0.022868454, ' Yes': -3.8942003, 'No': -6.427314, '\n': -7.992993, ' ': -8.611358}
{' No': -0.072843626, ' Yes': -2.6833038, 'No': -6.9174256, '\n': -7.4024525, ' ': -8.682262}
{' Yes': -0.48196232, ' No': -0.9654714, 'No': -7.479503, 'Yes': -7.66391, '\n': -8.290723}
{' No': -0.012095558, ' Yes': -4.510503, 'No': -7.1134114, '\n': -9.193218, ' ': -9.673172}
{' Yes': -0.34081152, ' No': -1.2453544, 'Yes': -7.888165, '\n': -8.841465, ' yes': -8.934669}
{' No': -0.032786608, ' Yes': -3.4765446, 'No': -7.092343, '\n': -8.497981, ' ': -9.690681}
{' No': -0.022237113, ' Yes': -3.9170237, 'No': -6.495621, '\n': -7.9141927, ' ': -9.481217}
{' No': -0.037406757, ' Yes': -3.3394277, 'No': -7.178575, '\n': -8.059749, ' ': -9.705017}
{' Yes': -0.6828098, ' No': -0.7067033, 'No': -7.456879, 'Yes': -7.836768, '\n': -8.390144}
{' No': -0.11462856, ' Yes': -2.235297, 'No': -7.073922, '\n': -8.558388, ' ': -9.265882}
{' No': -0.42082644, ' Yes': -1.0718999, 'No': -7.8066163, 'Yes': -8.48197, '\n': -8.720157}
{' No': -0.014899641, ' Yes': -4.349347, 'No': -6.43578, '\n': -8.91207, ' ': -10.055111}
{' No': -0.004931169, ' Yes': -5.60264, 'No': -7.075966, '\n': -8.140703, ' ': -9.822533}
{' No': -0.005164984, ' Yes': -5.496778, 'No': -7.0123973, '\n': -9.55322, ' ': -10.359623}
{' No': -0.0024248126, ' Yes': -6.4592304, 'No': -7.353806, '\n': -9.213228, ' ': -10.032818}
{' No': -0.0022029243, ' Yes': -6.716344, 'No': -7.1415663, '\n': -9.375157, ' ': -10.106846}
{' No': -0.0028944968, 'No': -6.384087, ' Yes': -7.008776, '\n': -8.671208, ' ': -9.598674}
{' No': -0.003554661, 'No': -6.0863237, ' Yes': -7.19979, '\n': -8.074132, ' ': -9.158689}
{' No': -0.0031629356, 'No': -5.8621902, ' Yes': -9.347883, ' ': -9.372174, '\n': -9.651321}
{' No': -0.123234205, ' Yes': -2.1686635, 'No': -6.7741127, '\n': -8.70109, 'Yes': -8.931278}
{' No': -0.026673082, ' Yes': -3.6804166, 'No': -7.0774193, '\n': -8.862434, ' ': -9.842075}
{' No': -0.28905314, ' Yes': -1.3872033, 'No': -7.179502, 'Yes': -8.33571, '\n': -8.895542}
{' No': -0.035007454, ' Yes': -3.4225156, 'No': -6.6881523, '\n': -8.088415, ' ': -9.519773}
{' No': -0.020407462, ' Yes': -3.9832346, 'No': -6.8208585, '\n': -8.512356, ' ': -9.309356}
{' Yes': -0.03768116, ' No': -3.36754, '\n': -6.873044, 'Yes': -7.0303264, ' yes': -8.038648}
{' No': -0.3094363, ' Yes': -1.3294005, 'No': -7.3176126, '\n': -8.096816, 'Yes': -8.765443}
{' Yes': -0.13464886, ' No': -2.106298, ' The': -5.985992, 'Yes': -7.218822, ' yes': -7.9333105}
{' Yes': -0.057870526, ' No': -2.9180675, 'Yes': -6.9781947, ' yes': -7.6257324, ' The': -7.829759}
{' Yes': -0.038511872, ' No': -3.326367, 'Yes': -6.6442585, ' yes': -8.36265, ' The': -9.218826}
{' Yes': -0.0643577, ' No': -2.8083858, 'Yes': -6.508388, ' yes': -8.815417, ' The': -9.036}
{' No': -0.012889275, ' Yes': -4.568408, 'No': -6.544345, '\n': -7.8564367, ' The': -8.17986}
{' No': -0.08186816, ' Yes': -2.6175125, 'No': -5.758073, '\n': -6.620311, ' The': -7.9182553}
{' No': -0.050756346, ' Yes': -3.1432648, 'No': -5.406206, '\n': -6.9326506, ' The': -7.755651}
{' No': -0.023830552, ' Yes': -3.9961376, 'No': -5.4759026, '\n': -7.589428, ' The': -8.503054}
{' No': -0.42597067, ' Yes': -1.075007, 'No': -5.7250714, 'Yes': -6.9477606, '\n': -7.3548617}
{' No': -0.108506866, ' Yes': -2.3091502, 'No': -5.9396753, ' The': -8.350759, '\n': -8.351815}
{' No': -0.007802246, 'No': -5.0454555, ' Yes': -6.916206, ' The': -9.196269, ' ': -9.424554}
{' No': -0.04369222, ' Yes': -3.244162, 'No': -5.8109784, '\n': -8.083773, ' The': -8.883835}
{' No': -0.047768876, ' Yes': -3.1347916, 'No': -6.0388746, ' The': -7.992781, '\n': -8.758627}
{' No': -0.005007365, 'No': -5.917542, ' Yes': -6.1807456, ' The': -9.192812, '\n': -10.024165}
{' Yes': -0.031768057, ' No': -3.5284376, 'Yes': -6.773194, ' yes': -7.8239756, ' The': -8.482421}
{' Yes': -0.009859988, ' No': -4.7989087, 'Yes': -6.750517, ' yes': -8.696006, ' The': -8.938507}
{' No': -0.018007295, ' Yes': -4.3097, 'No': -5.543455, '\n': -8.667273, ' The': -9.309605}
{' No': -0.045480624, ' Yes': -3.2417526, 'No': -5.493591, '\n': -7.3090296, 'Yes': -8.94447}
{' Yes': -0.18282932, ' No': -1.8122773, 'Yes': -6.4600067, 'No': -7.230066, '\n': -7.2513137}
{' No': -0.0053763827, 'No': -5.3222594, ' Yes': -7.9750056, ' ': -9.753331, '\n': -9.881147}
{' No': -0.15282486, ' Yes': -2.026301, 'No': -5.1904855, '\n': -6.463762, ' The': -6.525438}
{' No': -0.018138692, ' Yes': -4.720506, 'No': -4.995664, '\n': -6.7600493, ' The': -7.656675}
{' Yes': -0.0025224474, 'Yes': -6.061311, ' yes': -8.970201, '\n': -10.444553, ' ': -10.949371}
{' Yes': -0.0029345443, 'Yes': -5.9751763, ' yes': -8.81191, ' No': -9.077128, '\n': -9.636956}
{' No': -0.06591068, ' Yes': -2.866196, 'No': -5.2155704, ' The': -7.348053, ' Not': -8.420262}
{' No': -0.015183422, ' Yes': -4.7853975, 'No': -5.1001763, ' The': -8.278605, '\n': -8.808671}
{' Yes': -0.3769579, ' No': -1.1719085, 'Yes': -6.3332753, 'No': -6.8925138, ' The': -7.457508}
{' No': -0.36244115, ' Yes': -1.2064638, 'No': -6.145232, 'Yes': -7.04552, '\n': -7.1215997}
{' No': -0.0050463616, 'No': -5.653671, ' Yes': -6.8397017, '\n': -8.317067, ' ': -9.201569}
{' No': -0.011660733, ' Yes': -5.053931, 'No': -5.381528, '\n': -8.116611, ' ': -9.008924}
{' No': -0.0060683494, 'No': -5.4180975, ' Yes': -6.6061544, ' The': -9.3222, ' ': -9.552381}
{' No': -0.010365036, ' Yes': -5.0367665, 'No': -5.656503, '\n': -8.978337, ' ': -9.668336}
{' Yes': -0.04967, ' No': -3.0926461, 'Yes': -6.2813687, '\n': -7.7667847, ' The': -8.3383045}
{' No': -0.08362641, ' Yes': -2.5534978, 'No': -6.275147, '\n': -8.792983, ' The': -8.941143}
{' No': -0.48147985, ' Yes': -0.97554797, 'No': -6.288773, 'Yes': -6.428255, ' The': -7.2997055}
{' No': -0.07603813, ' Yes': -2.6577277, 'No': -6.0064483, 'Yes': -8.197896, '\n': -8.776704}
{' No': -0.058098543, ' Yes': -2.9624202, 'No': -5.5417604, '\n': -8.271873, ' The': -8.345912}
{' No': -0.05271642, ' Yes': -3.059533, 'No': -5.6028185, ' The': -8.460383, 'Yes': -8.813273}
{' Yes': -0.19466825, ' No': -1.7519001, 'Yes': -6.4709606, '\n': -7.541222, 'No': -7.6895204}
{' Yes': -0.64925516, ' No': -0.75207263, 'No': -5.9754, 'Yes': -6.2306356, '\n': -6.975953}
{' Yes': -0.0016444285, 'Yes': -6.7727814, ' No': -8.241137, ' yes': -8.556728, '\n': -11.106586}
{' Yes': -0.46481565, ' No': -0.99932534, 'No': -6.451988, 'Yes': -6.610728, '\n': -8.343281}
{' No': -0.009223748, ' Yes': -5.2987022, 'No': -5.5627813, ' ': -9.117926, ' The': -9.178113}
{' Yes': -0.121568926, ' No': -2.196215, 'Yes': -6.456032, ' The': -7.4675097, ' yes': -7.913736}
{' Yes': -0.006260441, ' No': -5.5548387, 'Yes': -6.4889126, ' yes': -7.56284, '\n': -8.946865}
{' No': -0.18024553, ' Yes': -1.8246661, 'No': -6.3596773, '\n': -7.081467, ' The': -7.88227}
{' Yes': -0.10213592, ' No': -2.3665078, 'Yes': -6.443564, '\n': -7.4260335, ' The': -7.914788}
{' Yes': -0.24098922, ' No': -1.556417, ' The': -6.728389, 'Yes': -6.9231615, 'No': -7.6922865}
{' Yes': -0.15559402, ' No': -1.9512082, 'Yes': -6.870361, 'No': -8.121989, ' The': -8.421927}
{' No': -0.17051996, ' Yes': -1.8846178, 'No': -5.7527437, '\n': -7.467936, ' The': -7.6219773}
{' No': -0.05876085, ' Yes': -2.9402573, 'No': -5.7524614, ' The': -7.734327, '\n': -8.5090885}
{' No': -0.024000261, ' Yes': -3.9585094, 'No': -5.5825143, '\n': -7.903862, ' The': -8.381787}
{' Yes': -0.25540254, ' No': -1.5054826, 'Yes': -6.8413587, 'No': -7.269194, '\n': -7.5392804}
{' No': -0.44837832, ' Yes': -1.0315045, 'No': -5.891653, 'Yes': -7.178412, '\n': -7.4623094}
{' No': -0.23022017, ' Yes': -1.601766, 'No': -5.8818793, 'Yes': -7.4017205, ' Not': -8.381671}
{' No': -0.038803674, ' Yes': -3.3294413, 'No': -6.379206, ' The': -8.191538, '\n': -9.278236}
{' Yes': -0.0032306837, 'Yes': -6.244508, ' No': -6.9182463, ' yes': -8.673749, '\n': -9.8232355}
{' Yes': -0.3095341, ' No': -1.3339137, 'Yes': -6.5415435, 'No': -7.291885, ' yes': -8.503526}
{' Yes': -0.008386116, ' No': -5.0902853, 'Yes': -6.3387218, '\n': -8.726274, ' yes': -9.12604}
{' Yes': -0.1178697, ' No': -2.2218735, 'Yes': -6.5192885, '\n': -7.791678, 'No': -7.919205}
{' No': -0.0072972956, 'No': -5.094341, ' Yes': -7.346781, ' The': -8.287458, '\n': -9.336641}
{' No': -0.007430294, 'No': -5.257869, ' Yes': -6.4887285, '\n': -8.142949, ' The': -8.591861}
{' No': -0.0037097803, 'No': -6.0551963, ' Yes': -6.963838, '\n': -8.329432, ' ': -9.351578}
{' No': -0.103088774, ' Yes': -2.3560643, 'No': -6.162264, '\n': -7.925413, 'Yes': -8.197138}
{' Yes': -0.0030800032, ' No': -6.5996356, 'Yes': -6.668409, ' yes': -8.072846, ' The': -9.551023}
{' Yes': -0.35431024, ' No': -1.2217591, 'Yes': -6.7620244, 'No': -7.1648746, ' The': -7.4423585}
{' No': -0.017749224, ' Yes': -4.4441047, 'No': -5.4526076, '\n': -6.911326, ' The': -8.362384}
{' No': -0.07056407, ' Yes': -2.734699, 'No': -5.948953, '\n': -8.7357, 'Yes': -8.785758}
{' No': -0.024802618, ' Yes': -3.8152342, 'No': -6.276032, '\n': -8.406404, ' The': -8.775676}
{' No': -0.010640607, ' Yes': -4.9684916, 'No': -5.9281297, ' The': -7.8392153, '\n': -8.057909}
{' No': -0.019938486, ' Yes': -4.2747083, 'No': -5.422108, '\n': -7.333892, ' ': -8.277366}
{' No': -0.060449976, ' Yes': -2.9309714, 'No': -5.451147, ' The': -8.228891, 'Yes': -8.492733}
{' No': -0.014909745, ' Yes': -4.5224876, 'No': -5.8160152, '\n': -7.5432796, ' The': -8.681313}
{' No': -0.006505488, ' Yes': -5.80706, 'No': -5.8297286, ' The': -8.577136, '\n': -8.618426}
{' Yes': -0.18804295, ' No': -1.778413, 'Yes': -6.533557, 'No': -7.575026, ' The': -8.468263}
{' Yes': -0.15845722, ' No': -1.9409909, 'Yes': -6.2153974, 'No': -7.860243, ' The': -8.4855995}
{' Yes': -0.6036789, ' No': -0.79394823, 'Yes': -7.8682237, 'No': -7.890834, ' The': -8.877404}
{' No': -0.015127084, ' Yes': -4.35363, 'No': -6.402696, '\n': -8.644263, ' The': -8.805047}
{' Yes': -0.0038948425, 'Yes': -6.5107255, ' No': -6.5460052, ' yes': -7.4801693, '\n': -8.4900055}
{' Yes': -0.25341195, ' No': -1.50724, 'Yes': -6.7127204, 'No': -7.352344, ' The': -8.640965}
{' No': -0.5471359, ' Yes': -0.8690716, 'No': -6.9205675, 'Yes': -7.5545034, ' The': -8.76316}
{' No': -0.025932524, ' Yes': -3.8049812, 'No': -5.89387, '\n': -8.550646, ' The': -8.688864}
{' Yes': -0.011216871, ' No': -4.729894, 'Yes': -6.257896, ' yes': -8.522876, '\n': -9.286675}
{' Yes': -0.615644, ' No': -0.78861564, 'No': -6.070245, 'Yes': -6.392179, '\n': -7.1839423}
{' No': -0.091615975, ' Yes': -2.4722676, 'No': -5.950004, 'Yes': -8.793638, ' The': -9.030582}
{' No': -0.27605388, ' Yes': -1.4355118, 'No': -6.14573, 'Yes': -7.863586, '\n': -8.167045}
{' No': -0.014530183, ' Yes': -4.6326423, 'No': -5.572752, ' The': -7.892436, '\n': -8.212253}
{' No': -0.03266282, ' Yes': -3.5724728, 'No': -5.852311, ' The': -7.2779355, '\n': -8.311097}
{' No': -0.014441708, ' Yes': -4.8498926, 'No': -5.4203825, '\n': -6.6348944, ' The': -8.209216}
{' No': -0.05463197, ' Yes': -3.0258305, 'No': -5.870732, '\n': -7.148643, ' The': -7.397714}
{' No': -0.045952376, ' Yes': -3.2281384, 'No': -5.614033, ' The': -7.039347, '\n': -7.9366717}
{' No': -0.022230776, ' Yes': -4.1092725, 'No': -5.5206246, '\n': -7.0446954, ' The': -7.935944}
{' Yes': -0.07778299, ' No': -2.6306415, 'Yes': -6.215247, 'No': -8.304978, '\n': -8.532189}
{' No': -0.23143114, ' Yes': -1.5952998, 'No': -6.3219934, '\n': -7.0238333, 'Yes': -7.68559}
{' Yes': -0.005037495, 'Yes': -5.960504, ' No': -6.213367, '\n': -8.451651, ' yes': -8.806511}
{' No': -0.026830602, ' Yes': -3.730772, 'No': -6.2293887, '\n': -8.260939, ' The': -9.2558565}
{' No': -0.32025144, ' Yes': -1.3047333, 'No': -6.3160686, 'Yes': -7.644584, '\n': -8.643485}
{' Yes': -0.36230648, ' No': -1.1990775, 'Yes': -6.8668213, 'No': -7.2284656, ' The': -8.379366}
{' Yes': -0.19014813, ' No': -1.7682008, 'Yes': -6.565241, 'No': -7.5352063, ' yes': -8.38422}
{' Yes': -0.23547807, ' No': -1.5798956, 'Yes': -6.2133813, 'No': -6.88469, ' yes': -8.060594}
{' No': -0.007961554, ' Yes': -5.5051327, 'No': -5.715395, '\n': -8.409933, ' The': -8.719879}
{' No': -0.0058294674, 'No': -5.2753987, ' Yes': -8.080856, '\n': -8.624151, ' The': -9.750769}
{' No': -0.005049477, 'No': -5.5241075, ' Yes': -6.984629, ' The': -10.067781, '\n': -10.3984375}
{' No': -0.009787037, 'No': -4.7478166, ' Yes': -7.22628, '\n': -9.058456, ' ': -9.4023285}
{' Yes': -0.15812491, ' No': -1.96241, '\n': -6.1948543, 'Yes': -6.2528305, 'No': -7.1870093}
{' No': -0.3297641, ' Yes': -1.2874285, 'No': -6.0844617, '\n': -6.583073, 'Yes': -7.565566}
{' Yes': -0.14132535, ' No': -2.0516818, 'Yes': -6.205911, 'No': -7.6710167, '\n': -8.442127}
{' Yes': -0.66206473, ' No': -0.73828816, 'No': -6.077729, 'Yes': -6.5323935, '\n': -6.7674646}
{' No': -0.007438882, ' Yes': -5.301029, 'No': -6.16741, '\n': -8.982414, ' The': -9.619154}
{' No': -0.0053206524, 'No': -5.713954, ' Yes': -6.4217205, '\n': -8.668483, ' ': -9.263219}
{' No': -0.13516729, ' Yes': -2.0933716, 'No': -6.1886353, ' The': -8.162487, 'Yes': -8.303644}
{' No': -0.041434415, ' Yes': -3.308762, 'No': -5.813258, '\n': -7.7472606, ' The': -8.200706}
{' No': -0.0036568372, 'No': -5.999041, ' Yes': -7.156681, '\n': -8.727391, ' The': -9.426151}
{' No': -0.006210902, 'No': -5.1260285, '\n': -9.116877, ' ': -9.758312, ' The': -10.285166}
{' No': -0.64935696, ' Yes': -0.7447892, 'No': -6.701191, 'Yes': -7.197311, '\n': -8.224506}
{' No': -0.09120537, ' Yes': -2.4823644, 'No': -5.7755833, 'Yes': -8.475006, '\n': -9.020492}
{' Yes': -0.59967434, ' No': -0.8026925, 'No': -6.759641, 'Yes': -6.996567, '\n': -8.337242}
{' Yes': -0.3408992, ' No': -1.2539108, 'Yes': -6.499918, 'No': -6.780421, ' The': -8.076806}
{' No': -0.0065218653, 'No': -5.53707, ' Yes': -6.159304, '\n': -8.714784, ' The': -9.067861}
{' No': -0.017381983, ' Yes': -4.6297092, 'No': -5.0963097, '\n': -7.0513597, ' ': -8.481256}
{' No': -0.017856134, ' Yes': -4.3329005, 'No': -5.5065737, '\n': -8.631156, ' ': -8.915473}
{' Yes': -0.64245963, ' No': -0.75170493, 'No': -7.2979374, '\n': -7.4544525, 'Yes': -7.618313}
{' No': -0.015730033, ' Yes': -4.4498158, 'No': -5.6405525, '\n': -8.575825, ' ': -9.653633}
{' No': -0.029211974, ' Yes': -3.6283844, 'No': -6.363137, ' The': -8.256381, '\n': -9.3731985}
{' No': -0.10069803, ' Yes': -2.3698936, 'No': -6.7535353, ' The': -7.866834, '\n': -8.118794}
{' No': -0.08426597, ' Yes': -2.5417283, 'No': -6.769837, ' The': -7.373187, 'Yes': -9.175481}
{' No': -0.008743151, ' Yes': -5.401958, 'No': -5.559377, '\n': -8.858647, ' ': -9.473874}
{' No': -0.0131462775, ' Yes': -4.580485, 'No': -6.072844, '\n': -8.475159, ' The': -8.944967}
{' No': -0.014624409, ' Yes': -4.4851537, 'No': -6.036883, ' The': -8.060559, '\n': -8.176628}
{' No': -0.007819847, ' Yes': -5.437135, 'No': -5.879943, '\n': -8.244409, ' The': -8.702304}
{' No': -0.010627174, ' Yes': -4.992425, 'No': -5.7911253, '\n': -8.029908, ' The': -8.366815}
{' No': -0.0038539728, 'No': -6.065999, ' Yes': -6.706528, ' The': -9.191953, '\n': -9.471913}
{' No': -0.009319764, ' Yes': -5.201233, 'No': -5.6919327, '\n': -8.93791, ' ': -9.170593}
{' No': -0.009978823, ' Yes': -5.11177, 'No': -5.6425176, ' The': -8.746539, '\n': -9.453124}
{' No': -0.010459295, ' Yes': -4.89438, 'No': -6.0994744, ' The': -8.282567, '\n': -8.297351}
{' No': -0.0061334153, 'No': -5.353252, ' Yes': -6.8785276, '\n': -8.751037, ' ': -9.63432}
{' No': -0.007982342, ' Yes': -5.2212105, 'No': -6.124735, ' The': -8.604321, '\n': -9.438141}
{' No': -0.005567746, ' Yes': -5.9226108, 'No': -5.979669, ' The': -8.896759, '\n': -9.329136}
{' No': -0.1575382, ' Yes': -1.9924629, 'No': -5.3715177, '\n': -5.6209316, 'Yes': -7.6816354}
{' No': -0.25103632, ' Yes': -1.5458399, 'No': -5.271605, '\n': -6.256241, 'Yes': -7.199419}
{' No': -0.14630727, ' Yes': -2.0108378, 'No': -6.3743916, 'Yes': -8.415794, '\n': -9.257639}
{' No': -0.03031652, ' Yes': -3.5609083, 'No': -6.7523165, '\n': -9.315385, ' The': -9.487971}
{' Yes': -0.041325323, ' No': -3.2678213, 'Yes': -6.480011, ' yes': -8.127965, '\n': -8.482066}
{' No': -0.02800265, ' Yes': -3.9034564, 'No': -5.098525, '\n': -7.3902154, ' The': -7.922566}
{' Yes': -0.117603764, ' No': -2.239512, 'Yes': -6.314228, ' The': -6.915568, ' yes': -7.1214848}
{' No': -0.3663387, ' Yes': -1.1974183, 'No': -6.2224274, '\n': -7.1528125, 'Yes': -7.188818}
{' Yes': -0.04138285, ' No': -3.2806008, 'Yes': -6.063046, 'No': -8.477869, '\n': -8.847306}
{' No': -0.18064569, ' Yes': -1.8241658, 'No': -5.866835, 'Yes': -8.135372, '\n': -8.175064}
{' No': -0.16961612, ' Yes': -1.8848299, 'No': -5.8672094, '\n': -7.771009, 'Yes': -7.929631}
{' Yes': -0.052051943, ' No': -3.0336745, 'Yes': -6.4962993, ' The': -8.019617, ' yes': -8.052238}
{' No': -0.12362067, ' Yes': -2.1880069, 'No': -5.6643305, 'Yes': -8.229714, '\n': -8.648128}
{' No': -0.018993108, ' Yes': -4.170995, 'No': -5.7713943, '\n': -9.304598, ' Not': -10.158658}
{' No': -0.038368415, ' Yes': -3.3590524, 'No': -6.210769, '\n': -8.220737, ' The': -8.336804}
{' No': -0.0090949, ' Yes': -5.076937, 'No': -6.0860767, '\n': -8.487005, ' ': -9.011774}
{' No': -0.01599886, ' Yes': -4.375675, 'No': -6.0438204, '\n': -7.4911156, ' ': -8.6751995}
{' No': -0.019400079, ' Yes': -4.064575, 'No': -6.4997044, ' The': -8.367209, '\n': -8.903109}
{' Yes': -0.38534367, ' No': -1.1503164, 'Yes': -6.5839043, 'No': -7.047479, ' The': -8.049421}
{' Yes': -0.6394135, ' No': -0.7587793, 'No': -6.404817, 'Yes': -6.7918715, ' The': -7.45211}
{' No': -0.49248827, ' Yes': -0.9487908, 'No': -7.0902343, 'Yes': -7.789779, ' yes': -8.802161}
{' Yes': -0.25540477, ' No': -1.5006573, 'Yes': -6.817451, 'No': -7.619195, ' The': -7.810254}
{' No': -0.0038678555, 'No': -5.7052455, ' Yes': -7.992525, ' The': -9.31159, '\n': -10.000367}
{' No': -0.028762775, ' Yes': -3.7582948, 'No': -5.558058, '\n': -7.3401427, ' ': -8.618234}
{' No': -0.34837276, ' Yes': -1.2318681, 'No': -6.4317784, 'Yes': -7.7801366, ' The': -8.675124}
{' No': -0.006344299, 'No': -5.205244, '\n': -7.932169, ' Yes': -8.702963, ' ': -8.779247}
{' Yes': -0.1111497, ' No': -2.2803123, 'Yes': -6.330537, 'No': -7.709568, ' The': -8.210977}
{' Yes': -0.01704598, ' No': -4.151739, 'Yes': -7.2730765, ' The': -8.551848, ' yes': -8.552205}
{' No': -0.03919654, ' Yes': -3.357718, 'No': -5.8916492, ' The': -7.9283066, '\n': -8.477186}
{' No': -0.021574197, ' Yes': -4.070633, 'No': -5.6130767, '\n': -8.294151, ' The': -8.675055}
{' No': -0.1033691, ' Yes': -2.351864, 'No': -6.1727676, '\n': -8.322817, 'Yes': -8.474806}
{' Yes': -0.68942475, ' No': -0.7053283, 'No': -6.4014244, 'Yes': -6.5014415, '\n': -7.8997035}
{' No': -0.016385464, ' Yes': -4.333566, 'No': -6.0362535, '\n': -7.7119074, ' The': -9.026818}
{' No': -0.011086139, 'No': -5.0697865, ' Yes': -5.438435, '\n': -8.454485, ' The': -9.574947}
{' No': -0.006020376, ' Yes': -5.384747, 'No': -6.7429395, ' The': -9.404839, ' ': -9.834486}
{' No': -0.0057457765, ' Yes': -5.4017267, 'No': -6.883164, ' The': -9.844132, '\n': -9.864408}
{' No': -0.0632391, ' Yes': -2.9134605, 'No': -5.368228, '\n': -6.798812, ' ': -7.6484404}
{' No': -0.042530555, ' Yes': -3.2897894, 'No': -5.838747, '\n': -7.0939336, ' ': -8.128428}
{' Yes': -0.30623555, ' No': -1.3454201, 'Yes': -6.7207074, 'No': -6.9639, '\n': -7.6061788}
{' No': -0.018647635, ' Yes': -4.1775393, 'No': -5.8809667, '\n': -9.197087, ' The': -9.381782}
{' Yes': -0.13937251, ' No': -2.0562885, 'Yes': -6.635941, ' The': -8.387205, 'No': -8.613249}
