{' No': -3.5439048, ' ': -9.908948, 'No': -9.454865, ' Yes': -0.030950211, 'Yes': -6.564}
{' No': -0.056043886, ' ': -8.214645, 'No': -3.5390968, ' Yes': -3.7075806, 'Yes': -7.4212966}
{' No': -0.72441274, ' ': -7.377228, 'No': -3.8309474, ' Yes': -0.7295625, 'Yes': -4.585706}
{' No': -0.004170609, ' ': -7.5251837, 'No': -6.6535745, ' Yes': -6.105766, ' no': -9.57113}
{' No': -0.012493877, ' ': -7.4976754, 'No': -4.5336027, ' Yes': -6.8515034, ' no': -10.732386}
{' No': -0.023199648, '\n': -8.653431, ' ': -6.603216, 'No': -4.30679, ' Yes': -4.858528}
{' No': -0.0059843366, ' ': -7.2545357, 'No': -5.378539, ' Yes': -7.494761, ' no': -10.09532}
{' No': -0.015267241, '\n': -8.254438, ' ': -6.5556316, 'No': -4.7461057, ' Yes': -5.361127}
{' No': -0.016563248, ' ': -6.0277476, 'No': -4.480367, ' Yes': -6.283973, ' no': -7.901754}
{' No': -0.003730719, '\n': -10.992574, ' ': -8.309278, 'No': -7.4332633, ' Yes': -5.856521}
{' No': -0.004986458, '\n': -11.389076, ' ': -8.009563, 'No': -5.627579, ' Yes': -6.8886127}
{' No': -0.010891006, '\n': -8.341584, ' ': -6.8595366, 'No': -5.1746635, ' Yes': -5.5631576}
{' No': -0.0021694736, '\n': -11.222383, ' ': -7.9814115, 'No': -6.8840046, ' Yes': -7.1555977}
{' No': -0.025004823, '\n': -8.598269, ' ': -6.593526, 'No': -5.03931, ' Yes': -4.103708}
{' No': -0.0064861705, '\n': -10.458852, ' ': -7.5748396, 'No': -6.199928, ' Yes': -5.5531282}
{' YES': -12.315309, ' ': -10.886028, ' Yes': -0.0031964784, ' yes': -9.935134, 'Yes': -5.771478}
{' YES': -11.8074875, ' ': -11.055924, ' Yes': -0.0076308176, ' yes': -9.747544, 'Yes': -4.891139}
{' YES': -11.341949, ' ': -10.685493, ' Yes': -0.012249715, ' yes': -9.650473, 'Yes': -4.417153}
{' YES': -12.484878, ' ': -11.533209, ' Yes': -0.004546984, ' yes': -10.1136675, 'Yes': -5.408298}
{' YES': -11.960134, ' ': -11.15675, ' Yes': -0.010393463, ' yes': -9.831602, 'Yes': -4.5796986}
{' YES': -11.562375, ' ': -10.671111, ' Yes': -0.007932175, ' yes': -8.857078, 'Yes': -4.8643217}
{' YES': -11.940879, ' ': -10.446889, ' Yes': -0.0007078308, ' yes': -9.25086, 'Yes': -7.468412}
{' YES': -11.7816305, ' ': -10.161407, ' Yes': -0.004734477, ' yes': -9.284666, 'Yes': -5.3875656}
{'\n': -10.154482, ' ': -9.432052, ' Yes': -0.0048590526, ' yes': -8.965806, 'Yes': -5.3851213}
{' YES': -12.225153, ' ': -11.213751, ' Yes': -0.0011770613, ' yes': -9.647451, 'Yes': -6.821815}
{'\n': -10.224845, ' ': -8.850883, ' Yes': -0.0062960717, ' yes': -9.459796, 'Yes': -5.1155033}
{'\n': -9.453939, ' ': -8.745483, ' Yes': -0.008190788, ' yes': -7.7688255, 'Yes': -4.898934}
{' YES': -11.153568, ' ': -10.702052, ' Yes': -0.006900503, ' yes': -8.06317, 'Yes': -5.0349283}
{' ': -12.460331, ' Yes': -0.008543424, ' yes': -9.8757515, 'Yes': -4.774266, 'yes': -12.307095}
{' ': -10.372846, ' Yes': -0.01839808, ' yes': -8.093196, 'Yes': -4.0260005, 'yes': -10.652818}
{' ': -11.323324, ' Yes': -0.005391002, ' yes': -9.048443, 'Yes': -5.2527337, 'yes': -11.973769}
{' ': -9.958344, ' Yes': -0.020985669, ' yes': -8.54797, 'Yes': -3.8881366, 'yes': -10.606086}
{' ': -9.70302, ' Yes': -0.023611072, ' yes': -6.923437, 'Yes': -3.8079793, 'yes': -9.654121}
{' YES': -10.915387, ' ': -9.0842905, ' Yes': -0.0036727472, ' yes': -6.482749, 'Yes': -6.2303996}
{' ': -8.705941, ' Yes': -0.014663422, ' yes': -6.8677115, 'Yes': -4.3243556, 'yes': -9.78412}
{'\n': -8.9773245, ' ': -8.335227, ' Yes': -0.014676911, ' yes': -7.67119, 'Yes': -4.291101}
{' ': -9.093588, ' Yes': -0.0075536426, ' yes': -6.507144, 'Yes': -5.148438, 'yes': -9.828625}
{'\n': -9.034233, ' ': -8.16845, ' Yes': -0.012581697, ' yes': -8.0674305, 'Yes': -4.444529}
{'\n': -8.195193, ' ': -7.830516, ' Yes': -0.021810167, ' yes': -5.1443586, 'Yes': -4.210096}
{'\n': -11.604598, ' ': -10.066688, ' Yes': -0.0007566801, ' yes': -9.727927, 'Yes': -7.3576646}
{'\n': -10.749124, ' ': -9.429172, ' Yes': -0.0045307567, ' yes': -9.365492, 'Yes': -5.44492}
{'\n': -8.767031, ' ': -8.733237, ' Yes': -0.0057553053, ' yes': -9.113098, 'Yes': -5.2416673}
{'\n': -11.636927, ' ': -9.94941, ' Yes': -0.001128488, ' yes': -9.889789, 'Yes': -6.8956366}
{'\n': -9.471942, ' ': -8.58953, ' Yes': -0.006140551, ' yes': -9.536943, 'Yes': -5.154589}
{'\n': -11.372877, ' ': -10.027451, ' Yes': -0.0018107733, ' yes': -9.548452, 'Yes': -6.390858}
{' No': -9.714971, ' ': -11.138903, ' Yes': -0.0018514985, ' yes': -10.216586, 'Yes': -6.356358}
{' No': -9.142335, ' ': -10.782426, ' Yes': -0.0061545256, ' yes': -9.813441, 'Yes': -5.125325}
{' No': -11.431611, ' ': -10.709757, ' Yes': -0.010726578, ' yes': -9.635047, 'Yes': -4.5507903}
{' No': -11.447867, ' ': -11.773541, ' Yes': -0.0038941246, ' yes': -10.296845, 'Yes': -5.564641}
{' No': -9.201163, ' ': -10.57819, ' Yes': -0.009597513, ' yes': -9.814193, 'Yes': -4.671312}
{' No': -11.702121, ' ': -10.670461, ' Yes': -0.007270399, ' yes': -8.754472, 'Yes': -4.955688}
{' YES': -12.696815, ' ': -10.767057, ' Yes': -0.00061120425, ' yes': -9.130998, 'Yes': -7.6526265}
{' ': -9.970963, ' Yes': -0.0057554254, ' yes': -9.0048685, 'Yes': -5.1934004, 'yes': -12.086306}
{'\n': -11.070134, ' ': -9.481154, ' Yes': -0.005820713, ' yes': -8.932492, 'Yes': -5.191327}
{' YES': -12.754688, ' ': -11.056904, ' Yes': -0.0011427499, ' yes': -9.668324, 'Yes': -6.8522625}
{'\n': -10.449379, ' ': -8.242274, ' Yes': -0.006077764, ' yes': -9.366948, 'Yes': -5.176751}
{'\n': -10.346905, ' ': -9.041646, ' Yes': -0.005438887, ' yes': -7.5299535, 'Yes': -5.3589087}
{' ': -11.046012, ' Yes': -0.006680984, ' yes': -7.759724, 'Yes': -5.086004, 'yes': -11.310815}
{' No': -11.889625, ' ': -12.722547, ' Yes': -0.006075845, ' yes': -9.956645, 'Yes': -5.116566}
{' ': -10.77626, ' Yes': -0.014822687, ' yes': -8.303511, 'Yes': -4.2392163, 'yes': -11.31133}
{' No': -11.247765, ' ': -11.646278, ' Yes': -0.0037350873, ' yes': -9.10181, 'Yes': -5.630511}
{' No': -10.326852, ' ': -9.991002, ' Yes': -0.016385343, ' yes': -8.147056, 'Yes': -4.144456}
{' ': -9.972462, ' Yes': -0.019450156, ' yes': -6.595986, 'Yes': -4.029845, 'yes': -9.946792}
{' ': -9.489412, ' Yes': -0.0025395984, ' yes': -6.7499866, 'Yes': -6.6726213, 'yes': -11.261266}
{' ': -9.100974, ' Yes': -0.009982135, ' yes': -7.040549, 'Yes': -4.7220426, 'yes': -10.326036}
{'\n': -10.10475, ' ': -8.360288, ' Yes': -0.011649155, ' yes': -7.631079, 'Yes': -4.529296}
{' ': -8.984107, ' Yes': -0.0053458195, ' yes': -6.6926966, 'Yes': -5.545623, 'yes': -10.2058935}
{'\n': -9.0307865, ' ': -7.6403456, ' Yes': -0.01031276, ' yes': -7.640732, 'Yes': -4.6955733}
{' ': -7.661756, ' Yes': -0.019918721, ' yes': -4.75502, 'Yes': -4.5740833, 'yes': -8.595711}
{'\n': -12.245322, ' ': -10.333368, ' Yes': -0.0005323031, ' yes': -9.657181, 'Yes': -7.757305}
{' No': -11.704332, ' ': -9.214691, ' Yes': -0.004778615, ' yes': -9.129427, 'Yes': -5.3959985}
{'\n': -10.2720375, ' ': -8.677446, ' Yes': -0.00594728, ' yes': -9.264158, 'Yes': -5.184263}
{' YES': -12.284849, ' ': -9.640233, ' Yes': -0.0010272283, ' yes': -9.629205, 'Yes': -7.0325785}
{'\n': -10.414452, ' ': -8.110521, ' Yes': -0.0056975777, ' yes': -9.60067, 'Yes': -5.2480416}
{'\n': -11.887967, ' ': -9.754048, ' Yes': -0.0012591783, ' yes': -9.044825, 'Yes': -6.840221}
{' No': -0.0040376815, ' ': -9.576666, 'No': -5.532945, ' no': -13.3566265, ' NO': -13.17757}
{' No': -0.010200091, ' ': -9.607116, 'No': -4.597789, ' no': -13.539197, ' NO': -12.423636}
{' No': -0.016873991, ' ': -8.943023, 'No': -4.098899, ' no': -13.432152, ' NO': -12.190988}
{' No': -0.005604247, ' ': -10.259106, 'No': -5.193983, ' no': -13.779719, ' NO': -13.388585}
{' No': -0.020076945, ' ': -9.2396755, 'No': -3.9235685, ' no': -13.261712, ' NO': -12.809719}
{' No': -0.016054343, ' ': -8.481424, 'No': -4.1542416, ' no': -11.853808, ' NO': -12.342821}
{' No': -0.0007182085, '\n': -11.953888, ' ': -9.151213, 'No': -7.418769, ' no': -12.9515085}
{' No': -0.0058090836, '\n': -12.060042, ' ': -8.788608, 'No': -5.18015, ' NO': -12.83805}
{' No': -0.005409461, '\n': -10.336958, ' ': -8.376635, 'No': -5.2744045, ' NO': -12.596784}
{' No': -0.001922145, '\n': -11.886167, ' ': -9.100043, 'No': -6.321452, ' NO': -13.171093}
{' No': -0.0071323765, '\n': -9.856117, ' ': -7.6281304, 'No': -5.027396, ' NO': -12.603886}
{' No': -0.007722113, '\n': -9.288096, ' ': -7.9715695, 'No': -4.9295626, ' no': -11.360437}
{' No': -0.012549465, ' ': -9.325366, 'No': -4.3947973, ' no': -10.631297, ' NO': -11.760958}
{' No': -0.008827274, ' ': -10.863831, 'No': -4.7367644, ' no': -13.901028, ' NO': -14.205629}
{' No': -0.029872479, ' ': -8.878949, 'No': -3.531566, ' no': -11.625562, ' NO': -11.950143}
{' No': -0.006239931, ' ': -9.681052, 'No': -5.0920076, ' no': -12.066708, ' NO': -12.736508}
{' No': -0.041945223, '\n': -11.488649, ' ': -8.42874, 'No': -3.1988513, ' no': -11.14628}
{' No': -0.0437794, ' ': -7.877062, 'No': -3.1639383, 'no': -10.696521, ' no': -9.129764}
{' No': -0.0015525487, '\n': -11.003105, ' ': -7.987418, 'No': -6.75991, ' no': -10.470248}
{' No': -0.013289177, '\n': -10.6882515, ' ': -7.686909, 'No': -4.367398, ' no': -10.732178}
{' No': -0.016298465, '\n': -8.55735, ' ': -6.862188, 'No': -4.207184, ' no': -11.097469}
{' No': -0.005134849, '\n': -10.02807, ' ': -7.48142, 'No': -5.4156513, ' no': -9.8842945}
{' No': -0.010775682, '\n': -8.465596, ' ': -6.9306574, 'No': -4.656945, ' no': -10.909247}
{' No': -0.015854122, '\n': -8.097351, ' ': -6.5907135, 'No': -4.295183, ' no': -7.9142075}
{' No': -0.0008295757, '\n': -11.636184, ' ': -8.934485, 'No': -7.2873325, ' NO': -13.194652}
{' No': -0.00478706, '\n': -11.173965, ' ': -8.201814, 'No': -5.4082346, ' NO': -12.450823}
{' No': -0.0059524975, '\n': -9.071101, ' ': -7.5800257, 'No': -5.241197, ' NO': -12.195732}
{' No': -0.001935105, '\n': -10.899411, ' ': -8.024304, 'No': -6.4523573, ' NO': -12.236763}
{' No': -0.006071587, '\n': -9.205166, ' ': -7.1955323, 'No': -5.2615647, ' NO': -12.346443}
{' No': -0.002042786, '\n': -11.161741, ' ': -8.316601, 'No': -6.3345523, ' no': -12.407936}
{' No': -0.00422454, ' ': -9.99195, 'No': -5.4943194, ' Yes': -9.805287, ' NO': -13.683492}
{' No': -0.010836775, ' ': -9.522801, 'No': -4.553714, ' Yes': -8.695106, ' NO': -12.477708}
{' No': -0.017777193, ' ': -8.884369, 'No': -4.0617986, ' Yes': -8.318017, ' NO': -11.97662}
{' No': -0.006219539, ' ': -10.248825, 'No': -5.098148, ' Yes': -9.871505, ' NO': -13.3304205}
{' No': -0.020676503, ' ': -9.360363, 'No': -3.918769, ' Yes': -7.6142144, 'Yes': -11.686504}
{' No': -0.062157705, ' ': -8.138581, 'No': -4.1007605, ' Yes': -3.1476622, 'Yes': -7.791997}
{' No': -0.0073203524, ' ': -8.587725, 'No': -7.50848, ' Yes': -5.0306168, 'Yes': -11.870284}
{' No': -0.0055638496, ' ': -8.906096, 'No': -5.4610596, ' Yes': -6.773576, 'Yes': -11.736547}
{' No': -0.011417255, '\n': -9.605176, ' ': -7.8161497, 'No': -5.5970073, ' Yes': -4.945408}
{' No': -0.0016733239, '\n': -12.305131, ' ': -9.077322, 'No': -6.545334, ' Yes': -9.097469}
{' No': -0.0109553635, '\n': -9.776929, ' ': -7.5577054, 'No': -5.1117244, ' Yes': -5.461889}
{' No': -0.015073651, '\n': -8.822468, ' ': -7.2424717, 'No': -4.9068274, ' Yes': -5.0205917}
{' No': -0.012361227, ' ': -9.269036, 'No': -4.6942554, ' Yes': -5.81507, 'Yes': -10.449044}
{' No': -0.01815235, ' ': -9.985569, 'No': -4.663, ' Yes': -4.7774525, 'Yes': -9.482319}
{' No': -0.09758347, ' ': -8.422475, 'No': -3.9088852, ' Yes': -2.6428943, 'Yes': -6.524024}
{' No': -0.02760822, ' ': -9.015622, 'No': -5.0458345, ' Yes': -3.8870535, 'Yes': -8.8062525}
{' No': -0.04778888, ' ': -8.348492, 'No': -3.3484383, ' Yes': -4.513075, 'Yes': -8.155342}
{' No': -1.4432418, 'No': -4.6110024, ' Yes': -0.30342758, ' yes': -6.9436746, 'Yes': -4.2816973}
{' No': -0.0032729614, ' ': -7.5550456, 'No': -6.594253, ' Yes': -6.651586, ' no': -9.844019}
{' No': -0.010902456, ' ': -7.7188797, 'No': -4.666649, ' Yes': -6.97353, ' no': -10.834012}
{' No': -0.016669244, '\n': -8.643621, ' ': -6.75355, 'No': -4.6753182, ' Yes': -5.1568913}
{' No': -0.0057531507, ' ': -7.3718987, 'No': -5.389733, ' Yes': -7.671688, ' no': -10.25981}
{' No': -0.017599316, '\n': -8.517707, ' ': -6.702198, 'No': -4.665722, ' Yes': -5.037697}
{' No': -0.016535193, '\n': -7.9297256, ' ': -6.150845, 'No': -4.402552, ' Yes': -6.6887193}
{' No': -0.003368527, '\n': -10.869266, ' ': -8.238958, 'No': -7.489372, ' Yes': -5.9865355}
{' No': -0.005167441, '\n': -11.208101, ' ': -8.080296, 'No': -5.5400605, ' Yes': -7.0245247}
{' No': -0.01133026, '\n': -8.181603, ' ': -6.935515, 'No': -5.2835298, ' Yes': -5.3220525}
{' No': -0.0022709072, '\n': -10.914983, ' ': -7.8893557, 'No': -6.692368, ' Yes': -7.377242}
{' No': -0.03254779, '\n': -8.238472, ' ': -6.5417695, 'No': -5.038834, ' Yes': -3.7457263}
{' No': -0.0056989565, '\n': -10.329769, ' ': -7.797437, 'No': -6.2782187, ' Yes': -5.700319}
{' YES': -12.17741, ' ': -11.147044, ' Yes': -0.003599108, ' yes': -9.916998, 'Yes': -5.6492095}
{' YES': -11.534553, ' ': -11.060601, ' Yes': -0.0072668553, ' yes': -9.699303, 'Yes': -4.940916}
{' YES': -10.982223, ' ': -10.785106, ' Yes': -0.011167145, ' yes': -9.586566, 'Yes': -4.5104995}
{' YES': -12.264901, ' ': -11.704781, ' Yes': -0.0047042337, ' yes': -10.10778, 'Yes': -5.373717}
{' YES': -11.751784, ' ': -11.098542, ' Yes': -0.0112388125, ' yes': -9.745523, 'Yes': -4.501921}
{' YES': -11.55269, ' ': -10.447575, ' Yes': -0.009461155, ' yes': -8.866434, 'Yes': -4.685353}
{' YES': -11.736377, ' ': -10.510586, ' Yes': -0.0008540951, ' yes': -9.181217, 'Yes': -7.250177}
{' YES': -11.618483, ' ': -10.184574, ' Yes': -0.005470529, ' yes': -9.315283, 'Yes': -5.238577}
{'\n': -10.33476, ' ': -9.583698, ' Yes': -0.0050093415, ' yes': -8.99296, 'Yes': -5.348822}
{' YES': -12.151088, ' ': -11.241042, ' Yes': -0.0014208646, ' yes': -9.598926, 'Yes': -6.6225157}
{'\n': -10.184989, ' ': -9.100071, ' Yes': -0.008159477, ' yes': -9.499498, 'Yes': -4.842718}
{'\n': -9.614018, ' ': -9.055493, ' Yes': -0.008418513, ' yes': -7.712497, 'Yes': -4.8654013}
{' YES': -11.018722, ' ': -10.812129, ' Yes': -0.008246738, ' yes': -7.9874907, 'Yes': -4.850936}
{' ': -12.396711, ' Yes': -0.009212801, ' yes': -9.737509, 'Yes': -4.699431, 'yes': -12.488737}
{' YES': -10.979115, ' ': -10.466573, ' Yes': -0.017565101, ' yes': -8.262472, 'Yes': -4.0693874}
{' ': -11.268165, ' Yes': -0.006631481, ' yes': -8.923825, 'Yes': -5.043819, 'yes': -11.955497}
{' ': -10.0116205, ' Yes': -0.021533817, ' yes': -8.716289, 'Yes': -3.8604162, 'yes': -10.871959}
{' ': -9.485488, ' Yes': -0.026533581, ' yes': -6.8107, 'Yes': -3.6925411, 'yes': -9.764782}
{' YES': -10.9320755, ' ': -9.253504, ' Yes': -0.003340838, ' yes': -6.810657, 'Yes': -6.168637}
{' ': -8.897559, ' Yes': -0.016051797, ' yes': -7.048823, 'Yes': -4.2112327, 'yes': -10.004739}
{'\n': -8.872143, ' ': -8.346924, ' Yes': -0.013625132, ' yes': -7.8294187, 'Yes': -4.3650923}
{' ': -9.053204, ' Yes': -0.008291392, ' yes': -6.746519, 'Yes': -4.9809093, 'yes': -10.037516}
{'\n': -9.288133, ' ': -8.400544, ' Yes': -0.014924266, ' yes': -8.088777, 'Yes': -4.258315}
{'\n': -8.148446, ' ': -7.820179, ' Yes': -0.024538087, ' yes': -5.0133, 'Yes': -4.095066}
{'\n': -11.31704, ' ': -10.052181, ' Yes': -0.0009425686, ' yes': -9.707329, 'Yes': -7.110357}
{'\n': -10.587431, ' ': -9.3610115, ' Yes': -0.0058424175, ' yes': -9.308727, 'Yes': -5.184225}
{'\n': -8.939814, ' ': -8.803049, ' Yes': -0.0055148806, ' yes': -9.262842, 'Yes': -5.2779565}
{'\n': -11.426463, ' ': -9.886225, ' Yes': -0.0014772727, ' yes': -9.773683, 'Yes': -6.609659}
{'\n': -9.416575, ' ': -8.577677, ' Yes': -0.008650256, ' yes': -9.474384, 'Yes': -4.7978344}
{'\n': -11.578649, ' ': -9.91685, ' Yes': -0.002111055, ' yes': -9.440057, 'Yes': -6.232707}
{' No': -9.518944, ' ': -11.012594, ' Yes': -0.00197649, ' yes': -10.356003, 'Yes': -6.292601}
{' No': -8.575861, ' ': -10.725209, ' Yes': -0.006145288, ' yes': -9.901429, 'Yes': -5.140283}
{' No': -11.418562, ' ': -10.801229, ' Yes': -0.010312098, ' yes': -9.731322, 'Yes': -4.5895452}
{' No': -11.581569, ' ': -11.681169, ' Yes': -0.003640205, ' yes': -10.195691, 'Yes': -5.633858}
{' No': -8.113485, ' ': -10.464897, ' Yes': -0.009017852, ' yes': -9.941879, 'Yes': -4.7573986}
{' YES': -12.075849, ' ': -10.725259, ' Yes': -0.006276037, ' yes': -8.856163, 'Yes': -5.1033845}
{' YES': -12.704276, ' ': -10.802496, ' Yes': -0.000597132, ' yes': -9.087948, 'Yes': -7.691978}
{' ': -9.916038, ' Yes': -0.0054444605, ' yes': -9.101426, 'Yes': -5.2487783, 'yes': -12.204229}
{'\n': -10.774041, ' ': -9.411147, ' Yes': -0.0052824817, ' yes': -9.1146, 'Yes': -5.2900968}
{' YES': -12.595672, ' ': -10.952722, ' Yes': -0.001285496, ' yes': -9.619124, 'Yes': -6.730968}
{'\n': -10.723888, ' ': -8.447304, ' Yes': -0.0051346086, ' yes': -9.5763855, 'Yes': -5.3415318}
{'\n': -10.272934, ' ': -9.090197, ' Yes': -0.0050756573, ' yes': -7.675104, 'Yes': -5.4209614}
{' No': -10.712947, ' ': -11.010833, ' Yes': -0.0060132993, ' yes': -7.937573, 'Yes': -5.1886168}
{' No': -12.077527, ' ': -12.825908, ' Yes': -0.004966449, ' yes': -10.101959, 'Yes': -5.318229}
{' ': -10.534666, ' Yes': -0.015549126, ' yes': -8.340242, 'Yes': -4.190775, 'yes': -11.319223}
{' No': -10.540389, ' ': -11.483635, ' Yes': -0.003608259, ' yes': -9.125535, 'Yes': -5.670083}
{' No': -10.320297, ' ': -10.162794, ' Yes': -0.013556433, ' yes': -8.321211, 'Yes': -4.333089}
{' ': -9.934624, ' Yes': -0.017216364, ' yes': -6.6528344, 'Yes': -4.156588, 'yes': -10.050239}
{' ': -9.5085535, ' Yes': -0.0025370885, ' yes': -6.7319107, 'Yes': -6.6907487, 'yes': -11.274073}
{' ': -9.064259, ' Yes': -0.01078484, ' yes': -7.0643125, 'Yes': -4.6351156, 'yes': -10.273308}
{'\n': -10.0136175, ' ': -8.308825, ' Yes': -0.011422558, ' yes': -7.718957, 'Yes': -4.5478244}
{' ': -8.915705, ' Yes': -0.0053661955, ' yes': -6.6930623, 'Yes': -5.5441575, 'yes': -10.161682}
{'\n': -9.217936, ' ': -7.7079844, ' Yes': -0.010496456, ' yes': -7.66621, 'Yes': -4.6691494}
{' ': -7.725631, ' Yes': -0.018352425, ' yes': -4.826088, 'Yes': -4.6676426, 'yes': -8.652128}
{'\n': -12.204264, ' ': -10.409963, ' Yes': -0.00057309505, ' yes': -9.642151, 'Yes': -7.665543}
{' No': -11.29843, ' ': -9.168359, ' Yes': -0.004531835, ' yes': -9.24432, 'Yes': -5.4509735}
{'\n': -10.123875, ' ': -8.725405, ' Yes': -0.0046560867, ' yes': -9.344322, 'Yes': -5.446306}
{' No': -11.882809, ' ': -9.579942, ' Yes': -0.0010173838, ' yes': -9.674935, 'Yes': -7.0510435}
{'\n': -10.446475, ' ': -8.20914, ' Yes': -0.0051667816, ' yes': -9.675725, 'Yes': -5.345754}
{'\n': -11.748855, ' ': -9.71506, ' Yes': -0.0014432485, ' yes': -9.041745, 'Yes': -6.6845922}
{' No': -0.0042016166, ' ': -9.624089, 'No': -5.4917827, ' no': -13.362699, ' NO': -13.030478}
{' No': -0.01064591, ' ': -9.617569, 'No': -4.5548925, ' no': -13.518052, ' NO': -12.3268795}
{' No': -0.016472235, ' ': -9.130182, 'No': -4.1215267, ' no': -13.354711, ' NO': -12.390716}
{' No': -0.006543765, ' ': -9.930917, 'No': -5.040851, ' no': -13.299334, ' NO': -13.019532}
{' No': -0.01871632, ' ': -9.045001, 'No': -3.994634, ' no': -13.096814, ' NO': -12.854361}
{' No': -0.014962198, ' ': -8.45867, 'No': -4.225602, ' no': -11.769257, ' NO': -12.330443}
{' No': -0.00077785796, '\n': -11.829169, ' ': -9.21449, 'No': -7.3159246, ' no': -12.941274}
{' No': -0.006050478, '\n': -12.111666, ' ': -8.734433, 'No': -5.1397705, ' NO': -12.758625}
{' No': -0.0052414373, '\n': -10.497679, ' ': -8.552885, 'No': -5.298996, ' NO': -12.613483}
{' No': -0.0020807113, '\n': -11.82227, ' ': -9.1911745, 'No': -6.2326097, ' NO': -12.970253}
{' No': -0.0068797967, '\n': -9.930813, ' ': -7.72393, 'No': -5.0587425, ' NO': -12.511876}
{' No': -0.007048276, '\n': -9.59651, ' ': -7.9484754, 'No': -5.024279, ' no': -11.318204}
{' No': -0.013006596, ' ': -9.181323, 'No': -4.3601613, ' no': -10.562228, ' NO': -11.7849655}
{' No': -0.010817673, ' ': -10.370628, 'No': -4.535247, ' no': -13.307569, ' NO': -13.64649}
{' No': -0.0288159, ' ': -8.955869, 'No': -3.566831, ' no': -11.671549, ' NO': -12.031439}
{' No': -0.0062008263, ' ': -9.630481, 'No': -5.0993843, ' no': -11.810734, ' NO': -12.502784}
{' No': -0.034408685, '\n': -11.454586, ' ': -8.435309, 'No': -3.3945026, ' no': -11.118312}
{' No': -0.044889703, '\n': -10.502527, ' ': -7.9107, 'No': -3.1394637, ' no': -9.032163}
{' No': -0.0018221807, '\n': -10.671358, ' ': -7.9136243, 'No': -6.578114, ' no': -10.343714}
{' No': -0.014065647, '\n': -10.757688, ' ': -7.7728524, 'No': -4.3055716, ' no': -10.908884}
{' No': -0.015384657, '\n': -8.683451, ' ': -6.982063, 'No': -4.2592616, ' no': -11.223292}
{' No': -0.004698066, '\n': -10.015047, ' ': -7.6219616, 'No': -5.499529, ' no': -9.94964}
{' No': -0.0103453435, '\n': -8.500213, ' ': -6.90509, 'No': -4.704311, ' no': -11.140298}
{' No': -0.015033597, '\n': -8.102758, ' ': -6.633215, 'No': -4.344982, ' no': -8.185292}
{' No': -0.0008432378, '\n': -11.686288, ' ': -9.059031, 'No': -7.245624, ' NO': -13.035238}
{' No': -0.0045347693, '\n': -10.949729, ' ': -8.220548, 'No': -5.465623, ' NO': -12.3376}
{' No': -0.0066555436, '\n': -8.770633, ' ': -7.5828595, 'No': -5.1240277, ' NO': -11.991576}
{' No': -0.0019133667, '\n': -10.926544, ' ': -8.135481, 'No': -6.444996, ' NO': -11.997916}
{' No': -0.0059692264, '\n': -9.220958, ' ': -7.342597, 'No': -5.2609777, ' NO': -12.33092}
{' No': -0.002727789, '\n': -10.709297, ' ': -8.323925, 'No': -6.011259, ' no': -12.492995}
{' No': -0.0030663111, ' ': -10.237567, 'No': -5.818703, ' Yes': -9.897959, ' no': -13.8698635}
{' No': -0.010937105, ' ': -9.800062, 'No': -4.549864, ' Yes': -8.31448, ' NO': -12.745037}
{' No': -0.0176308, ' ': -9.123021, 'No': -4.0729113, ' Yes': -8.039849, 'Yes': -12.0194435}
{' No': -0.006393786, ' ': -10.490379, 'No': -5.0700874, ' Yes': -9.72039, ' NO': -13.710459}
{' No': -0.01853894, ' ': -9.425008, 'No': -4.1659884, ' Yes': -5.9041567, 'Yes': -10.229663}
{' No': -0.17342621, ' ': -8.332633, 'No': -4.44896, ' Yes': -1.9231763, 'Yes': -6.812815}
{' No': -0.011716455, ' ': -8.785499, 'No': -7.6193438, ' Yes': -4.5123343, 'Yes': -11.484936}
{' No': -0.011371615, ' ': -8.697411, 'No': -5.3402443, ' Yes': -5.069536, 'Yes': -10.037261}
{' No': -0.039474588, ' ': -7.545381, 'No': -5.43132, ' Yes': -3.39674, 'Yes': -8.508228}
{' No': -0.0029954037, '\n': -11.869241, ' ': -8.962415, 'No': -6.587237, ' Yes': -6.522}
{' No': -0.032909118, ' ': -7.046884, 'No': -5.2142634, ' Yes': -3.659532, 'Yes': -8.594474}
{' No': -0.014714775, '\n': -8.671525, ' ': -7.4330745, 'No': -5.1612334, ' Yes': -4.82628}
{' No': -0.011698905, ' ': -9.273796, 'No': -4.557849, ' Yes': -6.902348, ' no': -11.044087}
{' No': -0.011866872, ' ': -10.675588, 'No': -4.8332205, ' Yes': -5.579265, 'Yes': -10.2852}
{' No': -0.04368892, ' ': -8.628697, 'No': -4.030904, ' Yes': -3.7162428, 'Yes': -7.7147436}
{' No': -0.25034016, ' ': -8.804941, 'No': -5.4566045, ' Yes': -1.5327632, 'Yes': -6.845829}
{' No': -0.04383576, ' ': -8.43758, 'No': -3.656783, ' Yes': -4.1050634, 'Yes': -8.022926}
{' No': -0.9213536, 'No': -4.0115957, ' Yes': -0.5614558, ' yes': -7.2128434, 'Yes': -4.4125643}
{' No': -0.012497922, ' ': -7.6134, 'No': -6.770983, ' Yes': -4.5411997, ' no': -9.881401}
{' No': -0.011199814, ' ': -7.8572955, 'No': -4.7027073, ' Yes': -6.4276476, 'Yes': -10.804193}
