{' Yes': -0.021824969, ' No': -3.942994, 'Yes': -6.408141, ' The': -8.148902, ' yes': -9.244042}
{' No': -0.40150896, ' Yes': -1.1142128, 'No': -6.7878156, 'Yes': -7.8706555, '\n': -8.061007}
{' No': -0.013871199, ' Yes': -4.3656664, 'No': -7.1826115, '\n': -9.009774, ' ': -9.463513}
{' Yes': -0.3917601, ' No': -1.1306115, 'Yes': -7.8756027, ' yes': -8.00791, 'No': -8.62208}
{' Yes': -0.589272, ' No': -0.8119035, 'Yes': -8.1687, 'No': -8.291866, ' The': -8.445726}
{' Yes': -0.004189047, ' No': -5.6133957, 'Yes': -8.098301, ' yes': -8.72946, ' The': -10.621216}
{' No': -0.3626422, ' Yes': -1.1945131, 'No': -7.3571625, 'Yes': -8.558004, '\n': -8.688801}
{' Yes': -0.009680866, ' No': -4.6996145, 'Yes': -7.934705, ' yes': -9.090942, ' The': -10.794568}
{' Yes': -0.14420812, ' No': -2.012168, 'Yes': -8.17641, ' yes': -9.174812, '\n': -9.197999}
{' Yes': -0.63867503, ' No': -0.7547601, 'No': -7.2493067, 'Yes': -7.6520076, '\n': -8.11205}
{' Yes': -0.005750213, ' No': -5.226684, 'Yes': -8.437877, ' yes': -9.1895075, '\n': -10.928386}
{' Yes': -0.32867777, ' No': -1.2785927, 'Yes': -7.1939554, 'No': -7.762552, ' ': -8.426501}
{' No': -0.08735192, ' Yes': -2.5217276, 'No': -6.5257015, '\n': -7.069424, ' ': -7.674206}
{' Yes': -0.008248481, ' No': -4.896924, 'Yes': -7.692853, ' yes': -8.691861, '\n': -9.723886}
{' No': -0.31305504, ' Yes': -1.3184853, 'No': -7.265061, 'Yes': -8.517163, '\n': -8.739241}
{' No': -0.00268159, 'No': -6.0478983, ' Yes': -9.015079, ' ': -9.6616535, ' The': -10.003565}
{' No': -0.005018744, 'No': -5.935972, ' Yes': -6.1405454, '\n': -9.444046, ' ': -9.511899}
{' Yes': -0.16902682, ' No': -1.8745035, 'Yes': -6.833232, 'No': -8.014253, '\n': -8.03649}
{' No': -0.05083411, ' Yes': -3.0342076, 'No': -6.749812, '\n': -9.250535, ' ': -9.929919}
{' No': -0.05620616, ' Yes': -2.9315245, 'No': -6.9216805, '\n': -8.974974, ' The': -9.476921}
{' No': -0.012078426, ' Yes': -4.5078306, 'No': -7.4315276, '\n': -8.343329, ' ': -9.483645}
{' Yes': -0.0010029455, 'Yes': -7.5458713, ' No': -8.319028, ' yes': -8.789769, '\n': -10.132968}
{' No': -0.07602777, ' Yes': -2.6310053, 'No': -6.944871, '\n': -9.616251, ' ': -9.669276}
{' No': -0.33994526, ' Yes': -1.2513452, 'No': -6.8312244, 'Yes': -8.0638485, '\n': -8.3071995}
{' No': -0.22276704, ' Yes': -1.6193658, 'No': -6.831863, 'Yes': -8.204542, '\n': -8.806808}
{' Yes': -0.40671352, ' No': -1.1019363, 'Yes': -7.46578, 'No': -7.5978603, '\n': -7.839489}
{' No': -0.00744885, ' Yes': -5.1808596, 'No': -6.6260896, '\n': -8.278479, ' ': -8.739597}
{' Yes': -0.13448712, ' No': -2.0793912, 'Yes': -7.8174486, ' yes': -8.889647, ' The': -9.425206}
{' Yes': -0.0017332097, ' No': -6.965724, 'Yes': -7.8415523, ' yes': -8.157916, '\n': -9.983003}
{' Yes': -0.041574955, ' No': -3.2134805, 'Yes': -8.302572, ' yes': -8.943058, ' The': -10.019297}
{' Yes': -0.07181364, ' No': -2.6917665, 'Yes': -7.3815036, ' The': -8.217946, ' yes': -8.283041}
{' No': -0.009645596, ' Yes': -4.7416534, 'No': -7.365272, ' ': -9.286646, '\n': -9.445364}
{' No': -0.0046727937, ' Yes': -5.605813, 'No': -7.083706, ' ': -10.023343, '\n': -10.265355}
{' No': -0.031123223, ' Yes': -3.5554514, 'No': -6.489218, ' The': -8.590835, ' ': -9.220233}
{' No': -0.08185586, ' Yes': -2.5670319, 'No': -6.705215, '\n': -8.117095, ' ': -9.187304}
{' Yes': -0.00078382215, 'Yes': -7.4881697, ' yes': -9.181998, ' No': -9.258954, ' ': -11.42059}
{' Yes': -0.0048772013, ' No': -5.4766884, 'Yes': -7.6823955, ' yes': -8.941874, '\n': -10.044495}
{' Yes': -0.007124571, ' No': -5.100409, 'Yes': -7.195286, ' yes': -8.9980545, '\n': -9.879486}
{' Yes': -0.6929286, ' No': -0.6965697, 'No': -7.6611214, 'Yes': -7.943001, '\n': -8.042641}
{' No': -0.011397118, ' Yes': -4.6546044, 'No': -6.5050306, ' ': -9.088936, ' The': -9.148026}
{' No': -0.08466413, ' Yes': -2.5281913, 'No': -6.9546247, '\n': -8.740475, ' ': -9.050896}
{' No': -0.41602358, ' Yes': -1.0820258, 'No': -7.504732, 'Yes': -7.8130665, '\n': -8.546162}
{' No': -0.054753285, ' Yes': -2.951274, 'No': -7.3493085, '\n': -9.006374, ' ': -9.495179}
{' Yes': -0.006831607, ' No': -5.1937914, 'Yes': -6.9448843, ' yes': -8.996238, '\n': -9.5738325}
{' No': -0.49513456, ' Yes': -0.9462187, 'No': -7.152317, 'Yes': -7.5183196, '\n': -7.550493}
{' No': -0.0042950544, ' Yes': -5.8476996, 'No': -6.7862124, ' ': -9.188454, '\n': -9.706703}
{' No': -0.677926, ' Yes': -0.7127579, 'No': -7.208035, 'Yes': -7.5510044, ' The': -8.029133}
{' Yes': -0.00066255784, 'Yes': -8.087011, ' No': -8.809356, ' yes': -8.9520855, '\n': -9.963097}
{' No': -0.6446165, ' Yes': -0.74632215, 'No': -8.02279, 'Yes': -8.32315, '\n': -8.812478}
{' No': -0.12025981, ' Yes': -2.205627, 'No': -6.453349, '\n': -6.888398, ' ': -8.194908}
{' Yes': -0.13377377, ' No': -2.0860097, 'Yes': -7.6224284, ' Most': -8.909642, ' yes': -9.019862}
{' Yes': -0.0011175077, 'Yes': -7.5666137, ' No': -7.8352847, ' yes': -9.429936, '\n': -9.484458}
{' No': -0.37749583, ' Yes': -1.160249, 'No': -7.517289, 'Yes': -8.69551, ' ': -9.210698}
{' No': -0.41786054, ' Yes': -1.0787855, 'No': -7.5883293, '\n': -7.713478, ' ': -8.401391}
{' No': -0.004379344, ' Yes': -6.197957, 'No': -6.1983695, '\n': -8.715767, ' ': -9.364686}
{' Yes': -0.070736654, ' No': -2.7033105, 'Yes': -7.4124184, ' yes': -8.545031, ' The': -8.593861}
{' Yes': -0.03127431, ' No': -3.5144436, 'Yes': -7.4181685, ' yes': -8.827904, '\n': -9.181228}
{' Yes': -0.11623072, ' No': -2.2237308, 'Yes': -7.276438, '\n': -8.01148, ' ': -8.650917}
{' No': -0.0033572249, 'No': -6.349525, ' Yes': -6.63011, ' ': -8.841192, '\n': -9.628328}
{' No': -0.01854258, ' Yes': -4.079007, 'No': -6.7706017, '\n': -9.281945, ' ': -9.47242}
{' No': -0.12916099, ' Yes': -2.125598, 'No': -6.734286, '\n': -8.305402, 'Yes': -8.995879}
{' Yes': -0.004052045, ' No': -6.0588684, 'Yes': -6.7124276, '\n': -8.383152, ' yes': -8.705557}
{' Yes': -0.0063750693, ' No': -5.209052, 'Yes': -7.2416196, ' yes': -9.166284, '\n': -10.546181}
{' Yes': -0.008820179, ' No': -4.9104104, 'Yes': -6.8641887, '\n': -8.947342, ' yes': -9.071433}
{' Yes': -0.26429635, ' No': -1.4650352, 'Yes': -7.830722, '\n': -8.338485, 'No': -8.643244}
{' No': -0.68057203, ' Yes': -0.7070843, 'No': -8.371953, 'Yes': -8.645547, '\n': -9.898234}
{' Yes': -0.4571, ' No': -1.0052433, 'Yes': -8.151691, 'No': -8.37549, '\n': -9.1201725}
{' Yes': -0.004519502, ' No': -5.6251082, 'Yes': -7.1803136, ' yes': -9.661947, '\n': -10.26368}
{' Yes': -0.46042764, ' No': -1.0000604, 'Yes': -7.7053137, 'No': -7.821215, '\n': -9.222785}
{' No': -0.02297713, ' Yes': -3.8539307, 'No': -6.773397, ' The': -8.789765, ' ': -9.457925}
{' No': -0.034458473, ' Yes': -3.4162009, 'No': -7.2386336, '\n': -9.112787, ' The': -9.203873}
{' No': -0.5656207, ' Yes': -0.84219575, 'No': -7.6137695, 'Yes': -8.332468, ' The': -8.856375}
{' Yes': -0.3569034, ' No': -1.206898, 'Yes': -7.7043056, 'No': -8.117455, ' yes': -9.255163}
{' Yes': -0.056959927, ' No': -2.9118202, 'Yes': -7.4958, ' yes': -8.620584, '\n': -9.172443}
{' Yes': -0.6313125, ' No': -0.7618953, 'No': -7.537769, 'Yes': -7.734344, '\n': -9.225429}
{' Yes': -0.048094813, ' No': -3.1095762, 'Yes': -6.9153695, '\n': -7.114218, ' ': -8.136884}
{' No': -0.006640963, ' Yes': -5.17295, 'No': -7.120502, '\n': -9.838353, ' ': -9.8773365}
{' Yes': -0.00063846173, 'Yes': -7.828527, ' No': -8.897737, ' yes': -9.777922, ' ': -11.023868}
{' Yes': -0.00680154, ' No': -5.1182194, 'Yes': -7.4911194, ' yes': -9.180208, '\n': -9.809513}
{' Yes': -0.08069974, ' No': -2.5671155, 'Yes': -7.7968593, ' yes': -8.65327, 'No': -9.905154}
{' Yes': -0.35629514, ' No': -1.2080122, 'Yes': -7.7333226, 'No': -8.167303, ' yes': -9.389843}
{' Yes': -0.12460188, ' No': -2.167981, 'Yes': -6.495483, ' The': -7.5359764, 'No': -8.127216}
{' Yes': -0.016404489, ' No': -4.260646, 'Yes': -6.4869967, ' yes': -8.517777, ' The': -8.698607}
{' Yes': -0.002882242, 'Yes': -6.144293, ' No': -7.9418807, '\n': -8.700045, ' yes': -9.181829}
{' No': -0.16452633, ' Yes': -1.9335749, 'No': -5.216957, ' The': -7.480171, 'Yes': -7.819243}
{' Yes': -0.51015586, ' No': -0.93303996, ' The': -6.4140763, 'No': -6.4699984, 'Yes': -6.5269365}
{' Yes': -0.017514633, ' No': -4.181987, 'Yes': -6.395119, ' yes': -9.094026, '\n': -9.2695875}
{' No': -0.063433796, ' Yes': -2.9012823, 'No': -5.181058, '\n': -8.2339735, 'Yes': -8.541617}
{' Yes': -0.012566305, ' No': -4.637999, 'Yes': -6.2327833, ' The': -7.7813826, '\n': -8.7247505}
{' Yes': -0.0020745604, 'Yes': -6.377761, ' No': -8.896686, ' yes': -9.158767, ' The': -9.839957}
{' No': -0.25349918, ' Yes': -1.5207149, 'No': -5.672191, 'Yes': -7.3344674, ' The': -7.533774}
{' Yes': -0.017471993, ' No': -4.1982427, 'Yes': -6.3068833, ' yes': -8.383827, '\n': -9.524184}
{' Yes': -0.0063026114, ' No': -5.446934, 'Yes': -6.415034, ' yes': -9.041351, '\n': -9.246803}
{' Yes': -0.051236, ' No': -3.0487335, 'Yes': -6.3462605, ' yes': -8.384119, ' The': -8.67906}
{' Yes': -0.07130163, ' No': -2.7427511, 'Yes': -5.829427, 'No': -7.4769125, ' The': -8.048692}
{' Yes': -0.0057504526, 'Yes': -6.1040993, ' No': -6.118913, '\n': -7.4184623, ' yes': -8.191267}
{' Yes': -0.010628499, ' No': -4.7870526, 'Yes': -6.325434, ' The': -8.578397, ' yes': -9.410932}
{' Yes': -0.0029155395, 'Yes': -6.2581525, ' No': -7.4063077, ' yes': -8.373075, '\n': -9.542092}
{' Yes': -0.47995326, ' No': -0.97838163, 'No': -6.325156, 'Yes': -6.4031553, ' The': -7.2013617}
{' Yes': -0.02433653, ' No': -3.8194602, 'Yes': -6.51364, ' yes': -8.604006, '\n': -8.766958}
{' Yes': -0.051347803, ' No': -3.0668144, 'Yes': -5.9014163, 'No': -8.25747, ' yes': -8.403063}
{' No': -0.03282122, ' Yes': -3.5443015, 'No': -5.779781, ' ': -9.403553, '\n': -9.460055}
{' Yes': -0.008941413, ' No': -5.000383, 'Yes': -6.6074696, ' yes': -7.6791244, ' The': -8.314605}
{' No': -0.0108754, 'No': -4.5583243, ' Yes': -8.749624, '\n': -9.495864, ' ': -9.732474}
{' No': -0.00995107, 'No': -4.974123, ' Yes': -5.9026985, '\n': -9.372866, ' The': -9.572752}
{' Yes': -0.0034843208, ' No': -6.0156126, 'Yes': -7.1218443, ' yes': -8.955705, ' The': -9.6368265}
{' No': -0.008953738, 'No': -5.1194386, ' Yes': -5.9530835, ' The': -8.868817, '\n': -9.519792}
{' Yes': -0.0025461116, 'Yes': -6.697421, ' No': -7.00514, ' The': -8.688186, ' yes': -8.730481}
{' Yes': -0.18962182, ' No': -1.7717313, 'Yes': -6.5256276, 'No': -7.5437245, ' The': -8.063239}
{' Yes': -0.003174237, 'Yes': -6.227537, ' No': -7.141954, '\n': -8.884931, ' yes': -8.93947}
{' Yes': -0.6855927, ' No': -0.7051392, 'No': -6.824125, 'Yes': -7.1067977, ' The': -9.105039}
{' Yes': -0.21903898, ' No': -1.6490507, 'Yes': -6.3667073, '\n': -6.922365, 'No': -7.129076}
{' Yes': -0.02387847, ' No': -3.8717196, 'Yes': -6.2101874, ' The': -8.330395, '\n': -8.381882}
{' Yes': -0.0014983445, 'Yes': -6.7033296, ' yes': -9.054771, ' No': -9.65921, ' The': -10.265501}
{' Yes': -0.34294066, ' No': -1.2467875, 'Yes': -6.6829677, 'No': -7.0504255, '\n': -7.9421363}
{' Yes': -0.0029766937, 'Yes': -6.091344, ' No': -8.220064, ' yes': -8.393994, ' The': -9.417405}
{' No': -0.30220324, ' Yes': -1.3702785, 'No': -5.313426, 'Yes': -7.3547025, ' The': -7.585879}
{' Yes': -0.0029197831, 'Yes': -6.3932676, ' No': -7.5067225, ' yes': -8.137556, ' The': -8.693087}
{' Yes': -0.35646123, ' No': -1.2156435, 'Yes': -6.797072, 'No': -7.119648, ' The': -7.413452}
{' No': -0.021037163, ' Yes': -3.9825485, 'No': -6.235604, ' ': -9.261138, 'Yes': -10.142158}
{' No': -0.0559695, ' Yes': -2.9758856, 'No': -5.853422, ' ': -8.83639, '\n': -8.95993}
{' Yes': -0.008271801, ' No': -5.2425437, 'Yes': -6.0149665, ' yes': -8.340503, ' The': -8.872155}
{' Yes': -0.024393998, ' No': -3.9289045, 'Yes': -5.8214173, ' The': -7.257887, ' yes': -8.087019}
{' No': -0.19012053, ' Yes': -1.7937983, 'No': -5.2692866, 'Yes': -7.4135103, ' Not': -7.9881277}
{' No': -0.020592533, ' Yes': -4.221978, 'No': -5.242888, '\n': -8.830589, ' ': -9.211464}
{' No': -0.4475486, ' Yes': -1.0273674, 'No': -6.299044, 'Yes': -7.446593, ' The': -8.467432}
{' No': -0.104590856, ' Yes': -2.3297226, 'No': -6.4898596, 'Yes': -9.022231, ' The': -9.070289}
{' Yes': -0.04887333, ' No': -3.1196165, 'Yes': -6.4145346, ' The': -7.127162, ' yes': -7.827475}
{' Yes': -0.1562096, ' No': -1.9650189, 'Yes': -6.2594733, ' The': -6.6373305, 'No': -7.359571}
{' No': -0.22066303, ' Yes': -1.641308, 'No': -5.8229403, 'Yes': -7.7401233, ' The': -8.23133}
{' No': -0.15847859, ' Yes': -1.9464576, 'No': -5.8538537, 'Yes': -8.030102, ' The': -8.576365}
{' No': -0.354593, ' Yes': -1.2237794, 'No': -5.972564, 'Yes': -7.249467, ' The': -7.4071155}
{' Yes': -0.17812276, ' No': -1.8358071, 'Yes': -6.243371, 'No': -7.3304696, ' The': -7.5086813}
{' Yes': -0.0047368724, 'Yes': -6.030081, ' No': -6.2591805, ' yes': -8.369599, ' The': -9.580837}
{' No': -0.13531835, ' Yes': -2.11136, 'No': -5.459863, 'Yes': -7.919179, '\n': -8.073166}
{' Yes': -0.0022338105, 'Yes': -6.7187138, ' No': -7.3739605, ' yes': -8.342953, ' The': -9.432129}
{' Yes': -0.011849079, ' No': -4.655346, 'Yes': -6.429312, ' yes': -8.393379, '\n': -8.824989}
{' No': -0.3666359, ' Yes': -1.2016847, 'No': -5.6912374, ' The': -6.6710367, 'Yes': -7.1357355}
{' No': -0.028022574, ' Yes': -3.8847156, 'No': -5.047914, '\n': -8.329251, ' The': -8.819678}
{' Yes': -0.0013910201, 'Yes': -6.7858295, ' yes': -9.040998, ' The': -9.2438755, ' No': -10.741425}
{' Yes': -0.014271433, ' No': -4.415919, 'Yes': -6.5507855, ' yes': -8.242952, ' The': -8.447871}
{' Yes': -0.0020951063, 'Yes': -6.2608514, ' yes': -9.358074, ' No': -10.494502, ' ': -10.591495}
{' Yes': -0.044749137, ' No': -3.1998832, 'Yes': -6.2713475, '\n': -7.7452683, ' yes': -8.365656}
{' Yes': -0.0036976964, ' No': -6.3812666, 'Yes': -6.84122, ' The': -7.6644697, ' yes': -8.016595}
{' Yes': -0.010537298, ' No': -4.790616, 'Yes': -6.6915083, ' The': -7.8035874, ' yes': -7.8735566}
{' No': -0.6199846, ' Yes': -0.7812911, 'No': -6.5143824, 'Yes': -7.052769, '\n': -7.353564}
{' Yes': -0.015439921, ' No': -4.322017, 'Yes': -6.376386, ' yes': -8.628368, ' The': -9.810959}
{' Yes': -0.031225791, ' No': -3.5679972, 'Yes': -6.320824, ' The': -8.37159, ' yes': -8.380814}
{' No': -0.04062548, ' Yes': -3.3597057, 'No': -5.569035, '\n': -7.634608, ' The': -7.8368826}
{' Yes': -0.24989477, ' No': -1.5296227, 'Yes': -6.1088896, 'No': -6.986226, '\n': -7.5155077}
{' Yes': -0.17168655, ' No': -1.8652976, 'Yes': -6.5339913, ' yes': -7.3389587, ' The': -7.9994164}
{' No': -0.012740275, ' Yes': -5.0709314, 'No': -5.1997843, ' The': -7.5929875, ' ': -9.048671}
{' No': -0.054228276, ' Yes': -3.0249045, 'No': -5.71694, ' The': -7.66952, ' ': -8.794293}
{' Yes': -0.002139725, 'Yes': -6.3378634, ' No': -8.70964, ' yes': -9.506194, '\n': -9.867511}
{' Yes': -0.08775365, ' No': -2.5172846, 'Yes': -6.343069, ' yes': -7.7641144, '\n': -7.8795886}
{' Yes': -0.040319677, ' No': -3.3111286, 'Yes': -6.191547, '\n': -8.30179, 'No': -8.619381}
{' No': -0.0122578, 'No': -4.8588552, ' Yes': -5.515605, ' ': -8.870322, ' The': -8.999438}
{' Yes': -0.0014383543, 'Yes': -6.82453, ' yes': -8.884321, ' No': -9.028229, ' The': -9.6163}
{' Yes': -0.011575526, ' No': -4.703243, 'Yes': -6.3764033, ' yes': -8.102024, '\n': -8.566463}
{' Yes': -0.0053337156, ' No': -6.078562, 'Yes': -6.2146993, ' The': -7.2509828, ' yes': -8.839869}
{' Yes': -0.122965835, ' No': -2.2013538, 'Yes': -5.7863564, 'No': -7.1397114, ' The': -7.402436}
{' Yes': -0.0011630979, 'Yes': -6.921674, ' yes': -9.102059, ' The': -10.438251, ' YES': -11.222937}
{' No': -0.4062421, ' Yes': -1.1090828, 'No': -6.0940757, ' The': -7.501301, 'Yes': -7.5254264}
{' Yes': -0.06894885, ' No': -2.7496338, 'Yes': -6.5734787, ' The': -7.629539, ' yes': -8.257387}
{' Yes': -0.010914568, ' No': -4.9243646, 'Yes': -5.7398343, ' yes': -8.889209, ' The': -9.328077}
{' No': -0.019669091, ' Yes': -4.2487283, 'No': -5.333536, ' ': -9.048946, ' The': -9.426405}
{' No': -0.46439174, ' Yes': -1.0056343, 'No': -5.776918, 'Yes': -6.829904, ' The': -7.320026}
{' No': -0.18775116, ' Yes': -1.785598, 'No': -6.0928946, ' The': -7.705449, 'Yes': -8.132627}
{' Yes': -0.54616004, ' No': -0.8721507, 'No': -6.875351, 'Yes': -7.1047955, ' The': -7.5539474}
{' Yes': -0.0022224004, 'Yes': -6.432419, ' No': -7.834013, ' yes': -8.837597, '\n': -10.652266}
{' Yes': -0.57518107, ' No': -0.8350059, ' The': -6.588532, 'No': -6.8853936, 'Yes': -7.180849}
{' Yes': -0.0021798091, 'Yes': -6.3746696, ' yes': -8.787378, ' The': -9.110451, '\n': -9.110805}
{' Yes': -0.045223475, ' No': -3.1775477, 'Yes': -6.3749404, ' The': -8.32814, 'No': -8.614048}
{' Yes': -0.0077649434, ' No': -5.195122, 'Yes': -6.3352413, ' yes': -8.526776, '\n': -9.034981}
{' Yes': -0.006000226, ' No': -5.418781, 'Yes': -6.6551447, ' yes': -8.777845, ' The': -10.025903}
{' Yes': -0.0067347507, ' No': -5.494209, 'Yes': -6.1788597, ' The': -8.554832, ' yes': -8.757783}
{' Yes': -0.07078278, ' No': -2.7435713, 'Yes': -6.2858186, '\n': -7.073899, ' The': -7.478698}
{' Yes': -0.0057520713, 'Yes': -5.9005766, ' No': -6.1040926, '\n': -7.9240975, ' yes': -8.320296}
{' Yes': -0.09316993, ' No': -2.451738, 'Yes': -6.434551, ' yes': -7.790214, ' The': -8.1792755}
{' Yes': -0.046084125, ' No': -3.1558766, 'Yes': -6.637762, ' The': -7.724327, '\n': -8.32557}
{' No': -0.025113, ' Yes': -3.973664, 'No': -5.227837, '\n': -8.6080675, ' The': -8.616025}
{' No': -0.078972876, ' Yes': -2.6170855, 'No': -6.2113314, ' The': -7.8078523, '\n': -8.366561}
{' Yes': -0.43653017, ' No': -1.0535384, 'No': -6.3896685, 'Yes': -6.533309, ' The': -6.7512197}
{' Yes': -0.09318464, ' No': -2.4583943, 'Yes': -6.188449, 'No': -7.8151026, '\n': -7.9953184}
{' Yes': -0.009244201, ' No': -5.18501, 'Yes': -5.8187585, '\n': -8.1569395, ' The': -8.7136545}
{' No': -0.41565457, ' Yes': -1.0925118, 'No': -5.7652392, 'Yes': -6.9890757, '\n': -8.328795}
{' Yes': -0.1161015, ' No': -2.2438424, 'Yes': -6.1648088, 'No': -7.539679, '\n': -7.694957}
{' Yes': -0.062442794, ' No': -2.8797839, 'Yes': -5.723457, 'No': -7.991821, '\n': -8.355349}
{' No': -0.16682084, ' Yes': -1.9125103, 'No': -5.315041, 'Yes': -7.5924892, ' The': -8.002905}
{' No': -0.024039455, ' Yes': -3.9106722, 'No': -5.746373, ' The': -8.29029, ' ': -9.34991}
{' Yes': -0.29216766, ' No': -1.3843079, 'Yes': -6.4975944, 'No': -7.157379, ' The': -8.583582}
{' Yes': -0.14975962, ' No': -1.99358, 'Yes': -6.7243557, ' The': -6.899391, 'No': -8.194628}
{' No': -0.025530778, ' Yes': -3.8366687, 'No': -5.758311, ' The': -8.381451, '\n': -9.215005}
{' Yes': -0.014622172, ' No': -4.3903203, 'Yes': -6.4491925, ' yes': -8.315191, ' The': -9.045321}
{' Yes': -0.018091049, ' No': -4.13949, 'Yes': -6.448491, ' yes': -9.032144, ' The': -9.1334715}
{' Yes': -0.52296495, ' No': -0.91295666, 'No': -5.9174047, 'Yes': -6.332226, ' The': -7.0879364}
{' No': -0.01973584, ' Yes': -4.3817124, 'No': -5.0199757, ' The': -8.598045, '\n': -9.342394}
{' No': -0.42200053, ' Yes': -1.0787274, 'No': -6.2097144, ' The': -7.0500164, 'Yes': -7.3919296}
{' No': -0.026121804, ' Yes': -3.8544066, 'No': -5.510632, ' The': -8.348898, '\n': -9.438906}
{' Yes': -0.023735758, ' No': -4.0385385, 'Yes': -5.526768, '\n': -6.857626, ' The': -8.381872}
{' No': -0.01887988, ' Yes': -4.3429003, 'No': -5.246911, '\n': -8.974187, ' The': -9.028544}
{' No': -0.51542145, ' Yes': -0.9228847, 'No': -5.8606567, 'Yes': -6.780958, ' The': -7.2441096}
{' No': -0.026497226, ' Yes': -3.7891788, 'No': -5.845777, ' The': -8.213139, '\n': -9.002895}
{' Yes': -0.21401422, ' No': -1.665186, 'Yes': -6.298311, 'No': -7.4959064, ' The': -7.649822}
{' Yes': -0.13004932, ' No': -2.138514, 'Yes': -6.2051353, ' The': -6.9670773, 'No': -7.74699}
{' Yes': -0.0041326643, ' No': -5.832049, 'Yes': -7.163832, ' yes': -8.632527, ' The': -8.950879}
{' No': -0.3726369, ' Yes': -1.1841108, 'No': -5.8216133, 'Yes': -7.220791, ' The': -7.435078}
{' Yes': -0.0046535702, ' No': -5.976007, 'Yes': -6.2997255, ' yes': -9.124963, '\n': -9.629132}
{' Yes': -0.14156732, ' No': -2.0464401, 'Yes': -6.5387917, ' The': -7.4759173, 'No': -8.17393}
{' Yes': -0.34642896, ' No': -1.2434759, 'Yes': -6.393809, 'No': -6.6433764, '\n': -7.2027783}
{' Yes': -0.008039902, ' No': -5.0062943, 'Yes': -6.93985, ' yes': -9.11908, ' The': -9.328152}
{' Yes': -0.23975427, ' No': -1.5688616, 'Yes': -5.942637, 'No': -6.7376924, '\n': -7.9550653}
{' No': -0.09238042, ' Yes': -2.532692, 'No': -5.186521, ' The': -6.615499, '\n': -7.0779066}
{' Yes': -0.0039265538, 'Yes': -6.0169783, ' No': -6.761817, ' yes': -8.863755, '\n': -9.23636}
{' Yes': -0.2269682, ' No': -1.6183715, 'Yes': -5.9384413, 'No': -6.652059, '\n': -8.009574}
{' No': -0.009620561, 'No': -4.7173667, ' Yes': -8.024665, ' The': -8.90072, ' ': -9.834096}
{' No': -0.010216831, 'No': -5.1698446, ' Yes': -5.490826, ' The': -9.031639, '\n': -9.431422}
{' Yes': -0.1564018, ' No': -1.9724497, 'Yes': -5.7196255, 'No': -6.861636, '\n': -7.2097516}
{' No': -0.057062406, ' Yes': -2.966837, 'No': -5.7177353, ' The': -8.37339, '\n': -8.460827}
{' No': -0.33582383, ' Yes': -1.2729671, 'No': -5.675906, 'Yes': -7.203312, ' The': -7.4072404}
{' No': -0.018648729, ' Yes': -4.28217, 'No': -5.571715, '\n': -7.7755322, ' The': -8.633911}
{' Yes': -0.0019496174, 'Yes': -6.4128914, ' yes': -8.892632, ' No': -9.545494, ' The': -10.231361}
{' No': -0.04325464, ' Yes': -3.3390977, 'No': -5.1103435, ' The': -8.328719, '\n': -8.427362}
{' No': -0.46074972, ' Yes': -1.0093641, 'No': -5.930142, 'Yes': -6.9373913, ' The': -7.3680654}
{' No': -0.4898311, ' Yes': -0.9644098, 'No': -5.601655, 'Yes': -6.4749784, '\n': -8.099425}
{' Yes': -0.50502414, ' No': -0.94513905, '\n': -6.054594, 'No': -6.1031766, 'Yes': -6.324801}
{' No': -0.016171793, ' Yes': -4.7378893, 'No': -5.012225, '\n': -8.252442, ' ': -8.698541}
{' Yes': -0.10218438, ' No': -2.354889, 'Yes': -6.5123158, ' The': -8.364058, 'No': -8.432091}
{' Yes': -0.0033326445, 'Yes': -6.381872, ' No': -6.7044163, ' yes': -8.245323, ' The': -10.0217495}
{' Yes': -0.024049712, ' No': -3.783508, 'Yes': -7.182941, ' yes': -9.3912, ' The': -9.455405}
{' Yes': -0.02412579, ' No': -3.8885643, 'Yes': -6.0505266, ' The': -7.899661, ' yes': -8.56998}
{' No': -0.020005004, ' Yes': -4.154277, 'No': -5.7383623, '\n': -8.008826, ' ': -8.449607}
{' No': -0.023159446, ' Yes': -4.0385594, 'No': -5.477167, ' The': -7.857924, '\n': -8.015051}
{' No': -0.07409154, ' Yes': -2.752192, 'No': -5.1681957, ' The': -6.845541, 'Yes': -8.473854}
{' No': -0.4168977, ' Yes': -1.0912333, 'No': -5.9239163, 'Yes': -7.1522236, ' The': -7.175106}
{' Yes': -0.002130945, 'Yes': -6.36335, ' No': -8.676062, ' yes': -8.802233, ' ': -10.388775}
{' Yes': -0.0027873812, 'Yes': -6.5712705, ' No': -6.860045, ' yes': -8.735933, ' The': -9.65}
{' Yes': -0.021182476, ' No': -4.0550165, 'Yes': -5.8358126, '\n': -8.572484, ' yes': -8.61929}
{' No': -0.64838, ' Yes': -0.7490211, 'No': -6.392171, 'Yes': -6.849313, ' The': -7.4440265}
{' No': -0.033875383, ' Yes': -3.6083689, 'No': -5.28645, ' The': -7.432471, ' ': -8.588285}
{' No': -0.11520955, ' Yes': -2.2616062, 'No': -5.691419, '\n': -7.7828994, ' ': -8.244902}
{' Yes': -0.49742663, ' No': -0.9504124, 'Yes': -5.996788, 'No': -6.4405036, '\n': -7.4940834}
