{' Yes': -0.00454453, 'Yes': -5.773289, ' Generally': -6.811503, ' yes': -8.638304, ' An': -10.67748}
{' Yes': -0.047888856, 'Yes': -3.4390898, ' yes': -4.8634176, '\n': -6.0557985, ' Generally': -6.479686}
{' No': -0.5751864, ' Yes': -1.8119378, 'No': -2.0980897, ' It': -2.8379693, ' Generally': -3.3681302}
{' Yes': -0.2007186, ' No': -3.0166862, 'Yes': -3.5061977, ' Generally': -3.8090255, ' It': -3.8370404}
{' Yes': -0.8727349, ' No': -1.2385663, '\n': -2.0792778, 'No': -2.5393455, 'Yes': -3.290381}
{' Yes': -0.105992064, 'Yes': -2.7054048, '\n': -3.8896816, ' yes': -4.7951875, ' ': -5.9629846}
{' No': -0.5379925, 'No': -1.5464134, '\n': -2.0495453, ' Yes': -3.6990159, ' Bears': -4.047538}
{' Yes': -0.31791633, '\n': -2.0792232, 'Yes': -2.7467246, ' Bears': -3.310336, ' ': -4.3443694}
{' No': -0.644969, ' Yes': -0.84209913, 'No': -3.825652, 'Yes': -4.966077, ' A': -5.2415304}
{' Yes': -0.016459692, 'Yes': -4.37189, ' yes': -6.177901, ' A': -7.6152844, '\n': -8.10007}
{' No': -0.19767642, ' Yes': -2.5206115, 'No': -3.052262, ' Bears': -3.841561, ' Generally': -4.1461797}
{' Yes': -0.03792418, 'Yes': -4.24074, ' Bears': -4.6050587, ' No': -5.0511804, ' Generally': -6.089323}
{' No': -0.55232334, 'No': -0.9992513, '\n': -3.6749983, ' Yes': -4.607974, ' ': -5.012049}
{' Yes': -0.24110785, 'Yes': -1.848709, '\n': -3.4331703, ' yes': -4.244728, ' ': -5.3615265}
{' No': -0.6342522, 'No': -0.89496005, '\n': -3.3626437, ' ': -5.0754247, ' NO': -5.3209643}
{' No': -0.6472813, 'No': -0.97196925, '\n': -2.7807155, ' Yes': -4.235476, ' ': -4.7417417}
{' Yes': -0.14560294, ' yes': -2.674316, 'Yes': -3.6177585, ' No': -4.2210994, ' A': -5.1366696}
{' Yes': -0.090469696, ' yes': -2.9403555, 'Yes': -3.6513636, '\n': -6.1108694, 'yes': -6.3359556}
{' Yes': -0.18849273, ' yes': -2.4976358, 'Yes': -3.418677, '\n': -4.0812016, ' No': -4.698295}
{' Yes': -0.15038106, ' yes': -2.5027409, 'Yes': -3.596175, '\n': -4.5604115, ' ': -5.4748483}
{' Yes': -0.036709957, ' No': -4.3217998, '\n': -5.0682235, ' Generally': -5.1352, 'Yes': -5.24125}
{' Yes': -0.007042455, 'Yes': -5.507899, ' Generally': -7.068751, '\n': -7.363493, ' yes': -7.395285}
{' No': -0.5597733, ' Yes': -1.2225847, '\n': -3.1788394, ' Generally': -3.2090592, 'No': -4.3065324}
{' Yes': -0.10498197, ' No': -3.4475722, ' Bears': -3.480243, ' Generally': -4.4124084, '\n': -4.8407226}
{' No': -0.22197469, 'No': -2.482204, ' Yes': -2.8386223, ' Generally': -3.9428453, '\n': -4.342958}
{' Yes': -0.04735908, 'Yes': -3.8326163, '\n': -4.774219, ' Generally': -5.2029033, ' A': -5.620483}
{' No': -0.53396803, ' Yes': -2.2226543, '\n': -2.3943884, 'No': -2.6615963, ' Generally': -2.7409782}
{' Yes': -0.5782334, ' Bears': -1.9210373, ' No': -2.1891553, '\n': -2.6015298, ' Generally': -3.2293909}
{' Yes': -0.28187424, ' No': -1.9650388, '\n': -3.5410178, 'Yes': -3.8729177, ' A': -3.8895879}
{' Yes': -0.036105584, 'Yes': -3.8597252, '\n': -5.1965227, ' A': -5.3915153, ' ': -6.0269403}
{' Yes': -0.9167383, ' No': -0.9715708, '\n': -2.6801507, ' Bears': -2.929445, 'No': -3.4589593}
{' Yes': -0.18664265, ' Bears': -2.5287313, '\n': -3.6276023, ' No': -3.8894963, 'Yes': -3.9249141}
{' No': -0.21698336, ' Yes': -2.0320907, ' Generally': -3.9777312, 'No': -4.16188, ' A': -4.5420775}
{' Yes': -0.013965607, 'Yes': -5.099794, ' A': -6.0231676, ' ': -6.28959, '\n': -6.3802366}
{' No': -0.23707971, ' Bears': -2.6793747, ' Generally': -3.2304304, 'No': -3.4690816, '\n': -3.4914796}
{' Yes': -0.11593168, ' Bears': -3.023822, ' Generally': -3.835231, '\n': -4.515088, ' No': -4.805976}
{' No': -0.17817952, 'No': -2.5119083, ' Yes': -2.6860015, ' ': -5.488518, ' A': -5.6892915}
{' Yes': -0.048240613, 'Yes': -3.5300255, ' No': -5.136345, ' ': -5.587856, '\n': -5.733621}
{' No': -0.12681787, 'No': -2.4189494, ' ': -4.8302517, ' Yes': -4.8629346, '\n': -5.0150394}
{' No': -0.53574723, ' Yes': -1.8811147, ' Bears': -1.9241881, 'No': -2.6815925, '\n': -3.8928258}
{' Yes': -0.086002804, ' No': -3.6511004, 'Yes': -4.391535, ' Generally': -4.7526407, ' ': -4.836635}
{' Yes': -0.029604578, 'Yes': -4.4366097, ' yes': -4.9677663, ' A': -5.8128076, '\n': -5.951287}
{' Yes': -0.106952906, ' No': -3.706995, ' Generally': -4.232396, 'Yes': -4.2837296, '\n': -4.284357}
{' Yes': -0.05551153, 'Yes': -4.040834, ' Bears': -4.5367575, ' yes': -4.77963, '\n': -5.244252}
{' Yes': -0.020101147, ' No': -4.19243, 'Yes': -5.5623565, ' Absolutely': -8.354882, ' Definitely': -8.479987}
{' Yes': -0.031220503, ' No': -3.720624, 'Yes': -5.218858, 'No': -7.953421, ' Generally': -8.561675}
{' Yes': -0.02254926, ' No': -4.1565213, 'Yes': -5.2001367, ' Don': -7.7216134, 'No': -8.558145}
{' Yes': -0.12529176, ' No': -2.3025243, 'Yes': -4.8648505, ' Don': -5.045524, 'No': -6.199678}
{' Yes': -0.0265121, ' No': -4.4009037, 'Yes': -4.408113, 'No': -7.5803714, ' yes': -7.944127}
{' Yes': -0.49507853, ' No': -1.01646, 'No': -4.1947665, 'Yes': -4.565931, ' A': -7.004529}
{' Yes': -0.016600762, 'Yes': -4.293906, ' No': -6.2775373, ' ': -8.1454, ' Don': -8.327056}
{' Yes': -0.15376337, ' No': -2.153523, 'Yes': -4.158625, 'No': -5.2153516, ' Don': -5.6835904}
{' Yes': -0.62759215, ' No': -0.84699446, 'No': -4.1000805, 'Yes': -4.565769, '\n': -5.126789}
{' Yes': -0.7100757, ' No': -0.7658961, 'No': -4.025194, 'Yes': -4.421828, '\n': -5.072731}
{' Yes': -0.048566993, 'Yes': -3.724457, ' No': -4.0278625, '\n': -6.378813, ' Don': -6.753102}
{' Yes': -0.25842103, ' No': -1.7504234, 'Yes': -3.8499033, ' Don': -4.2934513, 'No': -4.7328677}
{' Yes': -0.018151198, ' No': -4.4194074, 'Yes': -5.318391, ' A': -7.788346, 'No': -8.583662}
{' Yes': -0.02883222, ' No': -3.8007855, 'Yes': -5.3871884, ' A': -7.2068467, 'No': -8.239721}
{' Yes': -0.018820236, ' No': -4.6563168, 'Yes': -4.9461575, ' Don': -6.56542, 'No': -8.500017}
{' Yes': -0.12243396, ' No': -2.324796, 'Yes': -4.857106, ' Don': -5.022809, 'No': -6.104394}
{' No': -0.11842585, 'No': -2.304974, '\n': -5.185589, ' ': -5.9226913, ' Yes': -6.158001}
{' No': -0.08449665, 'No': -2.6654675, '\n': -5.450141, ' ': -5.9540734, ' Yes': -6.463305}
{' No': -0.2175753, 'No': -2.4413302, ' Yes': -2.6591475, ' Don': -4.011475, '\n': -4.831889}
{' No': -0.17386465, 'No': -2.288414, ' Yes': -3.7499506, ' Don': -4.17421, ' ': -4.8978796}
{' No': -0.12850122, ' Yes': -2.5185728, 'No': -3.38416, 'Yes': -6.6433377, ' ': -6.788838}
{' No': -0.4441458, ' Yes': -1.1410072, 'No': -3.7254374, 'Yes': -5.19648, ' A': -5.8390765}
{' No': -0.6898664, ' Yes': -0.84475654, 'No': -3.2512007, 'Yes': -4.2886477, ' Don': -4.4259005}
{' No': -0.56804514, ' Yes': -1.0575852, 'No': -3.0599866, ' Don': -3.9590743, 'Yes': -4.3894925}
{' Yes': -0.009704518, 'Yes': -5.570733, ' No': -5.647163, ' yes': -7.096439, ' ': -7.360246}
{' Yes': -0.01882084, ' No': -4.308154, 'Yes': -5.86665, ' ': -6.973294, ' yes': -7.2869477}
{' Yes': -0.006295352, 'Yes': -5.468772, ' No': -7.4736032, ' yes': -7.5050473, ' ': -7.7139463}
{' Yes': -0.0077478234, 'Yes': -5.57797, ' No': -6.241993, ' ': -7.217453, ' yes': -7.432239}
{' No': -0.06592418, 'No': -3.1960719, ' Yes': -4.572418, '\n': -5.0462613, ' ': -5.5095353}
{' No': -0.054555107, 'No': -3.4543848, ' Yes': -4.4912844, ' ': -5.513955, '\n': -5.6893835}
{' Yes': -0.26815277, ' No': -1.6289603, 'Yes': -4.0731564, 'No': -5.0062985, ' ': -5.1190076}
{' No': -0.3364086, ' Yes': -1.4852294, ' Don': -3.7317808, 'No': -4.111084, ' ': -4.75}
{' No': -0.15153173, '\n': -2.729584, 'No': -2.86385, ' ': -4.5614915, ' Yes': -5.484354}
{' No': -0.13800211, 'No': -2.8499808, '\n': -3.0723414, ' ': -4.521625, ' Yes': -4.833263}
{' No': -1.0923882, ' Yes': -1.1424333, '\n': -1.4158096, ' ': -3.3841667, 'No': -3.3939114}
{' No': -0.24134287, '\n': -2.2045157, 'No': -2.71233, ' ': -3.9923441, ' Yes': -4.6867967}
{' No': -0.19255497, ' Yes': -1.8093532, 'No': -5.1358476, ' ': -5.9204597, ' A': -6.643711}
{' No': -0.06587216, ' Yes': -2.8735845, 'No': -5.3937798, ' ': -6.3100595, ' A': -7.91216}
{' No': -0.6467158, ' Yes': -0.75664586, 'No': -6.0863194, 'Yes': -6.3109493, ' ': -6.5442624}
{' No': -0.563839, ' Yes': -0.86021435, 'No': -5.9908485, ' ': -6.0987678, 'Yes': -6.44548}
{' No': -0.23366615, 'No': -1.7837015, '\n': -3.8110263, ' ': -4.5757117, ' NO': -5.867718}
{' No': -0.21178114, 'No': -1.7746683, '\n': -4.621453, ' ': -4.953774, ' A': -6.3537607}
{' No': -0.24558885, 'No': -1.8220526, '\n': -3.5595956, ' ': -4.113458, ' Yes': -5.640875}
{' No': -0.23298475, 'No': -1.742922, '\n': -4.214428, ' ': -4.445323, ' Don': -5.7848754}
{' Yes': -0.31904456, ' No': -1.4608006, 'Yes': -4.5606184, ' ': -4.85517, 'No': -5.08485}
{' Yes': -0.20410067, ' No': -1.940528, 'Yes': -4.4225698, ' ': -4.890155, ' yes': -4.9110055}
{' Yes': -0.07813927, ' No': -3.5338256, 'Yes': -3.795619, ' yes': -4.8470597, ' ': -5.1372457}
{' Yes': -0.10535794, ' No': -3.1633162, 'Yes': -4.0131383, ' yes': -4.253526, ' ': -4.723642}
{' Yes': -0.519512, ' No': -1.1006736, 'No': -3.5448167, 'Yes': -3.696842, ' yes': -5.098899}
{' No': -0.37390494, ' Yes': -1.472225, 'No': -2.9128263, 'Yes': -4.5917144, ' A': -5.04991}
{' Yes': -0.18860477, ' No': -2.6824133, 'Yes': -2.8168547, ' yes': -3.9845347, 'No': -4.7596073}
{' Yes': -0.31013194, ' No': -1.934783, 'Yes': -2.9562423, ' yes': -3.8352065, 'No': -4.009515}
{' No': -0.5693026, ' Yes': -1.0726881, 'No': -2.7607794, 'Yes': -3.858149, ' yes': -5.802866}
{' No': -0.060550153, 'No': -2.9049044, ' Yes': -5.911534, ' ': -7.6192083, ' NO': -7.7659955}
{' Yes': -0.07454615, 'Yes': -2.9574063, ' No': -4.1112285, 'No': -6.076056, ' yes': -7.5616407}
{' Yes': -0.48276132, ' No': -1.1654528, 'No': -3.3568268, 'Yes': -3.4081266, ' Don': -6.6720843}
{' Yes': -0.6580261, ' No': -0.9730972, 'No': -2.8970015, 'Yes': -3.2190592, ' ': -5.602379}
{' No': -0.47866207, ' Yes': -1.2199417, 'No': -2.829965, 'Yes': -3.973739, ' ': -5.722445}
{' Yes': -0.13259271, 'Yes': -2.632278, ' No': -3.2192876, 'No': -4.8432417, ' ': -6.7515097}
{' Yes': -0.39915422, ' No': -1.4368054, 'Yes': -3.0818381, 'No': -3.417535, ' Don': -5.1264925}
{' No': -0.44378093, ' Yes': -1.0792427, 'No': -4.409652, 'Yes': -5.513487, ' ': -7.036411}
{' No': -0.03810621, ' Yes': -3.7490969, 'No': -4.3611937, ' ': -7.875555, 'Yes': -8.193284}
{' Yes': -0.023328554, ' No': -4.3932433, 'Yes': -4.6636524, ' yes': -7.5664773, 'No': -8.134971}
{' Yes': -0.03660404, ' No': -3.771408, 'Yes': -4.5321693, ' yes': -7.465105, ' ': -7.474895}
{' No': -0.46827123, 'No': -1.002842, '\n': -5.772038, ' ': -6.464636, ' A': -7.739571}
{' No': -0.38183555, 'No': -1.1792599, ' Don': -6.282852, ' ': -6.539548, ' A': -6.577724}
{' No': -0.6880829, 'No': -1.2973509, ' Yes': -1.9670782, ' Don': -3.3116941, 'Yes': -3.3571045}
{' No': -0.5887636, 'No': -0.99968475, ' Don': -2.9811604, ' Yes': -4.862787, 'Don': -5.552994}
{' No': -0.08200453, 'No': -2.622816, ' Yes': -6.467129, ' ': -6.719999, ' no': -6.9747577}
{' No': -0.05556061, 'No': -3.1215587, ' Yes': -5.92369, ' A': -6.6458445, ' ': -6.7819505}
{' Yes': -0.23143114, ' No': -2.0215886, 'Yes': -3.0719173, 'No': -3.8481033, ' yes': -6.1120024}
{' No': -0.60967624, ' Yes': -1.0036944, 'No': -3.113012, ' Don': -3.829393, 'Yes': -4.1282578}
{' Yes': -0.07460864, ' yes': -3.4351852, ' No': -3.6924367, 'Yes': -5.0284443, ' ': -5.34472}
{' Yes': -0.11047429, ' yes': -2.9192145, ' No': -3.3682446, 'Yes': -5.0559, ' ': -5.205914}
{' Yes': -0.03316392, ' yes': -3.9402952, 'Yes': -5.081876, ' No': -5.9129357, ' ': -6.011037}
{' Yes': -0.053800665, ' yes': -3.2391832, 'Yes': -4.943022, ' ': -5.69601, ' YES': -7.212907}
{' Yes': -0.55855423, ' No': -1.0476518, 'No': -3.8529835, 'Yes': -3.9720347, ' ': -4.3930182}
{' Yes': -0.63990986, ' No': -0.9375384, 'No': -3.6814024, 'Yes': -3.9995673, ' ': -4.481736}
{' Yes': -0.059340987, 'Yes': -3.2914596, ' yes': -4.693889, '\n': -5.651696, ' ': -5.677102}
{' Yes': -0.07640928, 'Yes': -3.2580478, ' yes': -4.1278925, ' ': -5.020003, '\n': -5.2007074}
{' No': -0.35979167, '\n': -2.269551, ' Yes': -2.3065708, 'No': -2.7399817, ' ': -4.058249}
{' No': -0.41154307, ' Yes': -1.9308819, '\n': -2.5372143, 'No': -2.6728306, ' ': -4.097769}
{' Yes': -0.21768776, '\n': -2.575043, 'Yes': -2.5788193, ' yes': -4.295807, ' No': -4.422127}
{' Yes': -0.8098846, ' No': -1.4085022, '\n': -1.7755238, 'Yes': -3.1485114, ' ': -3.2966666}
{' Yes': -0.6504261, ' No': -0.7884837, 'No': -4.9493017, 'Yes': -5.259841, ' ': -5.471467}
{' Yes': -0.51619905, ' No': -0.95926476, 'Yes': -5.2082496, 'No': -5.4338145, ' yes': -5.6444526}
{' Yes': -0.065563515, ' No': -3.0110703, 'Yes': -4.661068, ' yes': -6.1663723, ' ': -6.8305316}
{' Yes': -0.052403, ' No': -3.3752522, 'Yes': -4.626715, ' yes': -5.925331, ' ': -6.2762628}
{' No': -0.34602034, 'No': -1.5093695, '\n': -3.0313818, ' ': -4.707639, ' no': -4.970162}
{' No': -0.30047888, 'No': -1.5948094, '\n': -3.3341436, ' ': -4.707327, ' no': -5.363412}
{' No': -0.3284165, 'No': -1.8107715, '\n': -3.0842052, ' Yes': -3.3282006, ' ': -4.216244}
{' No': -0.31880718, 'No': -1.6974119, '\n': -2.9799628, ' ': -4.0538325, ' Yes': -5.0466456}
{' Yes': -0.39447275, ' No': -1.763247, ' yes': -2.2861164, 'Yes': -4.2729936, '\n': -4.4531064}
{' Yes': -0.26289746, ' yes': -1.8807067, ' No': -3.2461526, 'Yes': -4.1396837, '\n': -5.0725904}
{' Yes': -0.1803661, ' yes': -2.252193, 'Yes': -3.6825364, ' No': -4.3150816, '\n': -5.009515}
{' Yes': -0.263757, ' yes': -1.7499572, 'Yes': -3.6595585, 'yes': -4.8905077, '\n': -4.9304695}
{' Yes': -0.101416424, ' No': -2.5865219, '\n': -4.50969, 'Yes': -5.5274396, ' ': -5.629647}
{' Yes': -0.123654045, ' No': -2.2392068, 'Yes': -5.919306, '\n': -6.0292473, ' ': -6.305435}
{' Yes': -0.121925674, ' No': -2.3809187, '\n': -4.4109154, 'Yes': -5.439228, ' ': -5.5582175}
{' Yes': -0.032064907, ' No': -4.064772, '\n': -5.006726, 'Yes': -5.6085095, ' ': -6.271502}
{' No': -0.14272106, '\n': -2.9151263, 'No': -3.3197856, ' Yes': -3.6204562, ' ': -4.3488193}
{' No': -0.09877018, 'No': -3.4322987, '\n': -3.5809956, ' Yes': -3.7629452, ' ': -4.856615}
{' No': -0.60517573, ' Yes': -1.1287487, '\n': -2.5313022, 'No': -3.8804922, ' ': -4.1044245}
{' No': -0.88834727, ' Yes': -0.8999573, '\n': -2.2189841, ' Don': -3.5555146, ' ': -3.9137375}
{' No': -0.101451114, '\n': -3.230834, 'No': -3.40248, ' Yes': -4.450757, ' ': -4.736287}
{' No': -0.07874404, 'No': -3.3727465, '\n': -3.7881727, ' Yes': -4.887158, ' ': -4.940385}
{' No': -0.47653335, ' Yes': -1.2448001, '\n': -3.3343747, 'No': -3.663404, ' ': -4.4746966}
{' No': -0.0872626, '\n': -3.7524276, 'No': -3.8265545, ' Yes': -4.0637317, ' Don': -4.507613}
{' No': -0.02001364, 'No': -4.696491, ' ': -5.3486967, '\n': -5.6386657, ' Yes': -6.5574303}
{' No': -0.20594569, ' Yes': -1.8375756, ' ': -4.680759, '\n': -4.9020934, 'No': -4.983976}
{' No': -0.16149011, ' Yes': -2.1562505, 'No': -4.4805837, '\n': -4.491858, ' ': -4.8163037}
{' Yes': -0.2654753, ' No': -1.6500233, '\n': -4.1010866, ' ': -4.500312, 'Yes': -5.2587976}
{' No': -0.053524256, 'No': -3.2472517, '\n': -4.9856815, ' ': -5.2338867, ' A': -7.692181}
{' No': -0.05604445, 'No': -3.1679733, '\n': -5.121737, ' ': -5.2345033, ' A': -7.4793534}
{' No': -0.07924581, 'No': -3.1025457, '\n': -4.380965, ' ': -4.5135665, ' Yes': -5.0509415}
{' No': -0.06925983, 'No': -3.182516, '\n': -4.4636326, ' ': -4.6115227, ' Don': -6.114498}
{' No': -0.68172085, ' Yes': -0.85467356, '\n': -3.6167796, ' ': -3.9348068, 'No': -4.5606346}
{' Yes': -0.19705829, ' No': -2.030335, '\n': -4.384838, ' ': -4.564317, 'Yes': -4.688335}
{' Yes': -0.23652233, ' No': -1.7815567, 'Yes': -4.2751193, '\n': -4.7573085, ' ': -4.7722964}
{' Yes': -0.09834526, ' No': -3.4218676, 'Yes': -4.129588, ' yes': -4.48186, '\n': -4.4851875}
{' No': -0.015705751, 'No': -4.180754, ' ': -9.0586195, '\n': -9.959484, ' Absolutely': -10.398776}
{' No': -0.013897551, 'No': -4.3038545, ' ': -9.238158, ' Generally': -9.44673, ' A': -10.148964}
{' No': -0.014362856, 'No': -4.2777066, ' ': -8.783882, '\n': -8.972398, ' Don': -10.245813}
{' No': -0.016543675, 'No': -4.1368, ' ': -8.799218, ' Don': -8.85881, '\n': -9.895859}
{' No': -0.033104036, 'No': -3.434736, ' ': -8.559019, ' A': -10.424483, '\n': -10.459883}
{' No': -0.039160337, 'No': -3.2797837, ' ': -7.9687977, ' A': -9.085826, ' Generally': -9.281067}
{' No': -0.044178825, 'No': -3.1541238, ' ': -8.041935, ' Don': -9.165158, '\n': -10.124101}
{' No': -0.053572677, 'No': -2.9714665, ' ': -7.6471906, ' Don': -8.328724, '\n': -9.499086}
{' No': -0.045589603, 'No': -3.2092857, '\n': -5.7724047, ' ': -7.118907, ' NO': -9.689417}
{' No': -0.049630657, 'No': -3.1230445, '\n': -6.064018, ' ': -6.7015243, ' NO': -8.076173}
{' No': -0.058596127, 'No': -2.9525225, '\n': -5.9291663, ' ': -6.6462154, ' Don': -7.5923543}
{' No': -0.07316292, 'No': -2.75907, '\n': -5.821023, ' ': -6.1000113, ' Don': -6.605798}
{' No': -0.013104606, 'No': -4.356845, ' ': -9.488281, ' A': -9.530993, ' Generally': -11.368911}
{' No': -0.016582217, 'No': -4.133373, ' A': -8.69973, ' ': -9.080375, ' Generally': -9.766748}
{' No': -0.021860363, 'No': -3.8461988, ' ': -9.076889, ' Don': -9.343734, '\n': -11.008496}
{' No': -0.020204907, 'No': -3.9304578, ' Don': -8.656757, ' ': -8.924034, ' Generally': -11.316559}
{' No': -0.10616955, 'No': -2.3482807, '\n': -5.804695, ' ': -6.55112, ' A': -8.528628}
{' No': -0.10366672, 'No': -2.404669, '\n': -5.7994623, ' ': -6.061804, ' Generally': -7.341716}
{' No': -0.11734305, 'No': -2.3061783, '\n': -5.2667093, ' ': -5.766476, ' Don': -6.4714704}
{' No': -0.13126849, 'No': -2.1993036, ' ': -5.4771028, '\n': -5.667516, ' Don': -5.964945}
{' No': -0.04543478, 'No': -3.1574476, ' ': -7.663202, ' A': -7.874759, '\n': -8.233492}
{' No': -0.05548664, 'No': -2.9865167, ' ': -7.131699, ' A': -7.174391, ' Generally': -7.5817327}
{' No': -0.0959957, 'No': -2.420365, ' ': -6.9856796, ' Don': -7.249689, '\n': -8.710744}
{' No': -0.078898825, 'No': -2.637319, ' ': -6.6281624, ' Don': -6.6887994, ' NO': -7.3773093}
{' No': -0.00821837, 'No': -5.0033946, ' ': -7.1853104, '\n': -7.9293985, ' A': -8.781002}
{' No': -0.006139352, 'No': -5.411613, ' ': -6.909717, '\n': -8.197, ' A': -8.488106}
{' No': -0.0057553053, 'No': -5.4608393, ' ': -7.1263294, '\n': -7.5531955, ' NO': -9.709053}
{' No': -0.0066278228, 'No': -5.311191, ' ': -6.9143577, '\n': -7.657167, ' Don': -9.528252}
{' No': -0.06302063, 'No': -2.9046552, '\n': -5.706356, ' ': -6.1438518, ' A': -8.074709}
{' No': -0.05404355, 'No': -3.033837, ' ': -6.2115974, '\n': -6.608187, ' A': -7.4807243}
{' No': -0.04112979, 'No': -3.3481214, ' ': -6.0136156, '\n': -6.1627154, ' Don': -8.419945}
{' No': -0.034925852, 'No': -3.504124, ' ': -6.0236397, '\n': -6.9661803, ' NO': -7.8483024}
{' No': -0.14917019, 'No': -2.5726168, '\n': -2.9180815, ' ': -5.076096, ' A': -7.235661}
{' No': -0.10919085, 'No': -2.656533, '\n': -3.6333566, ' ': -5.275838, ' A': -7.0810275}
{' No': -0.20622797, '\n': -2.4355943, 'No': -2.4447455, ' ': -4.5602546, ' NO': -7.6572723}
{' No': -0.17307438, 'No': -2.521114, '\n': -2.7185874, ' ': -4.5765204, ' NO': -7.086255}
{' No': -0.010094958, 'No': -4.7058, ' ': -7.216033, ' NO': -9.468735, '\n': -9.596744}
{' No': -0.009498583, 'No': -4.75399, ' ': -7.343054, ' NO': -9.789806, ' A': -10.016705}
{' No': -0.01017697, 'No': -4.6618357, ' ': -7.6908865, '\n': -9.025119, ' NO': -10.1859665}
{' No': -0.0061359336, 'No': -5.1942706, ' ': -7.7848206, '\n': -9.878422, ' Don': -10.207509}
{' No': -0.2253835, 'No': -1.7607152, '\n': -4.0137963, ' ': -4.965113, ' NO': -6.2722464}
{' No': -0.20342334, 'No': -1.7880905, '\n': -4.877066, ' ': -5.1213756, ' A': -6.872475}
{' No': -0.23541327, 'No': -1.7990805, '\n': -3.6870952, ' ': -4.432778, ' NO': -5.5248184}
{' No': -0.19175857, 'No': -1.8630747, '\n': -4.785021, ' ': -4.808002, ' NO': -7.118309}
{' No': -0.042230137, 'No': -3.3702042, ' ': -5.847132, '\n': -6.7549267, ' no': -6.997836}
{' No': -0.038051657, 'No': -3.4673958, ' ': -5.965634, ' A': -6.8605523, ' no': -7.0644174}
{' No': -0.07007328, 'No': -2.9304132, ' ': -5.1825037, '\n': -5.520754, ' NO': -6.176875}
{' No': -0.050193686, 'No': -3.2765746, ' ': -5.2848406, '\n': -6.4306026, ' NO': -6.4558954}
{' No': -0.095317446, 'No': -2.4831672, ' no': -6.3136153, ' NO': -6.5244894, ' A': -6.622991}
{' No': -0.09693541, 'No': -2.4787903, ' no': -6.296402, ' NO': -6.344484, ' A': -6.3531713}
{' No': -0.11216384, 'No': -2.3577368, ' no': -5.8687825, '\n': -5.9446354, ' ': -6.0703983}
{' No': -0.11938429, 'No': -2.2895348, ' no': -5.7553096, ' ': -6.0108485, ' NO': -6.260388}
{' No': -0.120598525, 'No': -2.1943479, ' NO': -7.2372427, ' ': -7.508796, ' no': -7.67446}
{' No': -0.091005586, 'No': -2.460642, ' NO': -7.1645184, ' ': -7.7550054, ' no': -8.460826}
{' No': -0.0828707, 'No': -2.5399992, ' ': -8.053505, ' NO': -8.6665745, '\n': -10.037414}
{' No': -0.09318392, 'No': -2.4278624, ' ': -8.064091, ' NO': -8.32168, ' Don': -9.882388}
{' No': -0.18769494, 'No': -1.78451, '\n': -6.6924057, ' ': -6.8493924, ' NO': -7.958713}
{' No': -0.12810141, 'No': -2.141329, ' ': -6.924696, ' NO': -7.0294175, '\n': -8.332259}
{' No': -0.13514715, 'No': -2.104086, ' ': -6.587045, '\n': -6.742592, ' Don': -7.4776506}
{' No': -0.11967226, 'No': -2.218368, ' ': -6.5019255, ' NO': -7.201743, ' Don': -7.3422976}
{' No': -0.021240007, 'No': -3.9051967, ' NO': -7.92719, ' ': -8.428627, ' no': -8.637564}
{' No': -0.014170289, 'No': -4.313168, ' NO': -7.990042, ' ': -8.586983, ' no': -9.676302}
{' No': -0.021296876, 'No': -3.8913264, ' ': -7.9792376, ' NO': -8.895982, ' no': -9.706859}
{' No': -0.020945435, 'No': -3.907479, ' ': -7.970673, ' NO': -9.187624, ' Don': -9.654611}
{' No': -0.539925, 'No': -0.8869747, '\n': -5.955799, ' ': -6.8152795, ' A': -7.9048114}
{' No': -0.41693872, 'No': -1.0973282, ' Don': -6.6692004, ' ': -6.858828, ' A': -6.947619}
{' No': -0.35806903, 'No': -1.2360046, ' Don': -5.5742807, '\n': -6.2239165, ' ': -6.4033103}
{' No': -0.45138872, 'No': -1.0467161, ' Don': -5.0272875, ' ': -6.3538003, '\n': -7.0675454}
{' No': -0.102967195, 'No': -2.3793879, '\n': -6.5545144, ' ': -6.731096, ' no': -6.872773}
{' No': -0.079474054, 'No': -2.6444938, ' NO': -6.5644093, '\n': -7.1520042, ' ': -7.195228}
{' No': -0.10940254, 'No': -2.2895153, '\n': -7.4633603, ' ': -7.6278996, ' Generally': -8.011463}
{' No': -0.09727091, 'No': -2.4091337, ' Don': -7.0442486, ' ': -7.421401, ' NO': -7.7027907}
{' No': -0.019197483, 'No': -4.5458794, ' no': -5.4402676, ' ': -5.8692756, ' NO': -7.4795756}
{' No': -0.026803909, ' no': -4.5202403, 'No': -4.6231647, ' ': -5.50052, '\n': -7.0755825}
{' No': -0.012723792, 'No': -4.927131, ' ': -5.938065, ' no': -6.445873, '\n': -7.205307}
{' No': -0.018874776, 'No': -4.7590117, ' no': -5.429109, ' ': -5.4935803, '\n': -7.0472775}
{' No': -0.08190438, 'No': -2.6573875, ' ': -5.8331523, '\n': -5.88367, ' no': -6.6355877}
{' No': -0.0820999, 'No': -2.65258, ' ': -5.905787, '\n': -6.0558925, ' no': -6.1827197}
{' No': -0.08623116, 'No': -2.6523454, '\n': -5.1003222, ' ': -5.607659, ' no': -6.7124534}
{' No': -0.07764313, 'No': -2.7232387, '\n': -5.724103, ' ': -5.7321978, ' no': -6.577423}
