{' No': -0.016526647, ' Yes': -4.539882, 'No': -5.366693, ' Not': -7.1851287, ' Unfortunately': -9.273784}
{' No': -0.33128333, ' Yes': -1.2803667, ' The': -6.1110644, 'No': -7.283466, 'Yes': -7.75534}
{' No': -0.030181916, ' Yes': -3.6171246, 'No': -6.7635403, '\n': -6.928552, ' ': -7.9075875}
{' No': -0.002560992, 'No': -6.4588485, ' Yes': -7.225892, '\n': -9.376878, ' ': -9.475265}
{' Unt': -0.531299, ' False': -1.3596146, ' Un': -2.1916554, ' ': -4.1691623, '\n': -4.3075213}
{' No': -0.08512457, ' Yes': -2.5367045, ' False': -6.3539267, 'No': -8.239345, '\n': -8.729147}
{' Yes': -0.30016717, ' No': -1.366747, 'Yes': -6.791319, '\n': -6.815376, 'No': -7.199501}
{' No': -0.14978199, ' Yes': -1.9943997, ' The': -7.089729, 'No': -7.120528, ' ': -7.2415514}
{' No': -0.02080612, ' Spice': -4.5534067, ' Yes': -4.9819074, 'No': -6.6583934, ' Nope': -6.7234764}
{' No': -0.67221713, ' Yes': -0.7178181, 'Yes': -7.406166, 'No': -7.5436997, ' Nope': -8.5379505}
{' Yes': -0.00053743285, 'Yes': -8.012379, ' No': -9.543925, ' yes': -9.746352, ' ': -10.237975}
{' Yes': -0.03642265, ' No': -3.4395978, ' Under': -6.3460774, 'Yes': -6.9375343, ' ': -7.9845634}
{' No': -0.44983032, ' Yes': -1.0229334, ' Crack': -6.6802454, 'No': -7.9620447, 'Yes': -8.192025}
{' No': -0.052934974, ' Yes': -2.9924433, 'No': -6.866062, ' ': -8.991272, ' The': -9.826868}
{' Yes': -0.0975359, ' No': -2.4596324, 'Yes': -5.9804125, '\n': -6.0547886, ' ': -7.0458393}
{' Yes': -0.40671512, ' No': -1.118221, ' Ar': -6.509804, ' Arg': -6.6960173, 'Yes': -6.7415857}
{' Yes': -0.05909428, ' No': -2.8811746, 'Yes': -7.3488317, ' The': -8.3706255, ' ': -8.800549}
{' Yes': -0.25057644, ' No': -1.5139508, 'Yes': -7.423249, ' The': -7.819247, 'No': -8.47599}
{' Yes': -0.111419246, ' No': -2.2957015, 'Yes': -6.12314, ' Early': -6.894864, 'No': -7.9300985}
{' Yes': -0.28885302, ' No': -1.3914913, 'Yes': -7.4511714, ' yes': -7.6024776, ' The': -7.7843413}
{' No': -0.17765933, ' Yes': -1.82611, 'No': -7.2346444, '\n': -7.8476477, ' ': -8.502032}
{' No': -0.109013624, ' Yes': -2.27851, 'No': -7.4836144, 'Yes': -9.147174, '\n': -9.507607}
{' No': -0.008906349, ' Yes': -4.8442755, 'No': -7.3411303, ' Ocean': -9.212421, ' The': -9.297464}
{' No': -0.01052513, ' Yes': -4.720719, 'No': -6.845954, ' The': -9.085652, '\n': -9.444904}
{' No': -0.005735945, 'No': -5.327879, ' Yes': -7.3515058, ' ': -8.843094, '\n': -10.260909}
{' No': -0.4392141, ' Yes': -1.0407462, 'No': -7.241843, ' The': -7.4517508, 'Yes': -7.648105}
{' No': -0.0059303143, ' Yes': -5.293225, 'No': -7.0773435, '\n': -11.337004, 'Yes': -11.583873}
{' Yes': -0.2886156, ' No': -1.3895526, 'Yes': -7.6501074, ' The': -7.7326174, ' yes': -8.910989}
{' Yes': -0.037315737, ' No': -3.3553638, 'Yes': -7.090389, ' The': -7.667448, ' yes': -8.831551}
{' Yes': -0.028649485, ' No': -3.6006556, 'Yes': -7.1683855, ' yes': -9.982398, '\n': -10.200627}
{' No': -0.042003036, ' Yes': -3.2076943, 'No': -7.8097277, ' The': -8.948762, '\n': -10.303132}
{' No': -0.094676085, ' Yes': -2.4230871, ' Guard': -7.3726716, 'No': -7.390681, ' The': -9.318875}
{' Yes': -0.08528638, ' No': -2.694875, ' Sweet': -4.5040717, 'Yes': -6.1886187, ' Swe': -7.500966}
{' Yes': -0.0056830714, ' No': -5.578379, 'Yes': -6.4252176, ' yes': -8.867509, '\n': -9.919978}
{' No': -0.6303627, ' Yes': -0.7649413, ' Grass': -7.1134024, 'Yes': -7.5561, 'No': -7.8290834}
{' No': -0.040527407, ' Yes': -3.2867794, 'No': -6.2741632, '\n': -9.064008, ' ': -9.135785}
{' No': -0.2999588, ' Yes': -1.3597234, 'No': -6.611165, 'Yes': -7.7186766, '\n': -8.001119}
{' No': -0.051878784, ' Yes': -3.0091884, 'No': -7.015688, ' The': -9.426636, '\n': -9.620806}
{' No': -0.014228689, ' Yes': -4.3665805, 'No': -7.0292616, ' Unfortunately': -8.491805, ' ': -9.018758}
{' No': -0.029640926, ' Yes': -3.5603454, 'No': -7.2953997, ' ': -9.958172, 'Yes': -10.641984}
{' No': -0.006432777, ' Yes': -5.494504, 'No': -6.2912836, ' The': -8.829322, '\n': -9.05}
{' No': -0.12595023, ' Yes': -2.150366, 'No': -6.6774883, 'Yes': -8.532227, '\n': -8.686804}
{' No': -0.086164884, ' Yes': -2.5042615, 'No': -8.18951, '\n': -8.343853, ' The': -9.142666}
{' No': -0.3920954, ' Yes': -1.1339816, ' The': -7.0771346, 'No': -7.456411, 'Yes': -7.9727836}
{' No': -0.021314107, ' Yes': -3.8915606, 'No': -7.7574854, ' ': -9.481429, ' Lose': -10.027352}
{' No': -0.29814616, ' Yes': -1.3603885, 'No': -7.883132, 'Yes': -8.229798, ' The': -8.357019}
{' No': -0.019163398, ' Yes': -3.9973185, 'No': -7.8804793, ' The': -9.095306, ' no': -10.633396}
{' No': -0.021443749, ' Yes': -3.9955895, 'No': -6.3698835, ' Plant': -8.376295, '\n': -8.508349}
{' Yes': -0.42248857, ' No': -1.0682157, 'Yes': -7.7852855, 'No': -8.741949, '\n': -9.038657}
{' No': -0.009125698, ' Yes': -4.771964, 'No': -7.652449, ' The': -10.121696, '\n': -10.362907}
{' Yes': -0.0011813575, ' No': -7.4347086, 'Yes': -7.7683325, ' yes': -10.04146, ' White': -10.17383}
{' Yes': -0.59310734, ' No': -0.80947506, ' The': -6.8185596, 'Yes': -7.8134003, 'No': -8.199688}
{' Yes': -0.21383451, ' Rough': -2.0810204, ' No': -2.7159402, ' ': -7.429639, 'Yes': -7.572021}
{' No': -0.05317501, ' Yes': -3.1185591, ' Rough': -5.0716248, 'No': -6.976354, '\n': -8.920801}
{' Yes': -0.24749541, ' No': -1.5297276, 'Yes': -6.5390844, 'No': -7.9659796, ' Dance': -8.170371}
{' No': -0.32441074, ' Yes': -1.2910321, 'No': -7.509736, '\n': -7.6049147, ' The': -7.9308553}
{' Yes': -0.18657462, ' No': -1.7828823, 'Yes': -6.639217, 'No': -8.492964, ' yes': -8.604674}
{' No': -0.108234055, ' Yes': -2.2854822, 'No': -7.550214, 'Yes': -9.178363, ' The': -9.374084}
{' No': -0.034657948, ' Yes': -3.423074, 'No': -7.138814, ' The': -8.086923, 'Yes': -9.581599}
{' No': -0.04335099, ' Yes': -3.1882427, 'No': -7.2438817, ' The': -9.020285, 'Yes': -9.223144}
{' Yes': -0.043195017, ' No': -3.2018504, 'Yes': -7.195705, ' Store': -7.7890954, ' The': -8.8702345}
{' Yes': -0.00573025, ' No': -5.34014, 'Yes': -7.656367, ' yes': -9.005447, ' ': -9.063198}
{' Yes': -0.32706624, ' No': -1.2845172, ' The': -7.256387, 'Yes': -7.51885, ' ': -8.228698}
{' Yes': -0.21425197, ' No': -1.6560968, 'Yes': -7.060241, ' Break': -7.837636, 'No': -8.484368}
{' No': -0.03209248, ' Yes': -3.4797165, 'No': -7.613942, ' ': -9.613268, ' The': -9.878673}
{' No': -0.47697043, ' Yes': -0.9714315, 'No': -8.217388, 'Yes': -8.312026, ' Parts': -9.711418}
{' No': -0.692838, ' Yes': -0.7054171, ' The': -5.6187367, 'Yes': -7.088632, '\n': -7.7367396}
{' No': -0.47231975, ' Yes': -1.0013344, ' Nope': -6.306853, 'No': -6.3951135, 'Yes': -6.4871535}
{' Yes': -0.025391622, ' No': -3.9459543, 'Yes': -5.84463, ' Sy': -6.329228, ' ': -7.380194}
{' No': -0.44877633, ' Yes': -1.0283815, 'Yes': -6.981691, 'No': -7.2050767, ' Nope': -7.4478154}
{' Yes': -0.01679889, ' No': -4.160964, 'Yes': -7.3955307, ' yes': -8.838718, '\n': -8.884217}
{' Yes': -0.071508974, ' No': -2.6905618, 'Yes': -7.5523505, ' yes': -8.32115, '\n': -8.617428}
{' Yes': -0.41963363, ' No': -1.0737683, 'Yes': -7.693734, 'No': -8.318679, ' yes': -9.165819}
{' No': -0.6677087, ' Yes': -0.72338617, 'No': -7.462563, 'Yes': -7.4783945, ' The': -8.305911}
{' Yes': -0.009277409, ' No': -4.8352356, 'Yes': -6.707492, ' yes': -10.416619, 'No': -11.0906515}
{' No': -0.022199573, ' Yes': -3.892542, 'No': -6.5619297, '\n': -10.172122, ' ': -10.239488}
{' Yes': -0.6620714, ' No': -0.73570275, ' Arrow': -5.7353873, 'No': -7.299917, 'Yes': -7.9201736}
{' Yes': -0.16770811, ' No': -1.8936524, ' Arrow': -6.2265286, 'Yes': -7.2777157, ' The': -7.577019}
{' No': -0.3382236, ' Yes': -1.2548076, 'No': -7.2349215, ' The': -7.417701, 'Yes': -8.41155}
{' Yes': -0.38370946, ' No': -1.148417, 'Yes': -7.5366383, 'No': -8.007056, ' The': -8.176096}
{' Yes': -0.65752625, ' No': -0.73233825, 'Yes': -7.8154635, 'No': -8.03727, ' The': -9.026189}
{' Yes': -0.55243033, ' No': -0.8592254, 'Yes': -8.239509, 'No': -8.458537, ' The': -8.71289}
{' Yes': -0.03371743, ' No': -3.5219471, 'Yes': -6.3633485, ' The': -7.0698075, ' Heart': -7.4999533}
{' Yes': -0.13009126, ' No': -2.2019734, ' Heart': -4.7296276, 'Yes': -6.7031, ' The': -7.5562987}
{' Yes': -0.020855173, ' No': -3.916096, 'Yes': -7.5974555, ' The': -9.352819, ' yes': -10.18499}
{' Yes': -0.00187025, ' No': -6.7150373, 'Yes': -7.5997686, ' Horse': -9.450925, ' ': -10.486471}
{' No': -0.003637573, 'No': -6.0935016, ' Yes': -6.6765175, ' ': -10.251915, ' The': -10.65328}
{' No': -0.040869404, ' Yes': -3.3319516, 'No': -5.682921, ' The': -7.7812715, 'Yes': -9.009216}
{' No': -0.02493656, ' Yes': -4.0377617, 'No': -4.997108, 'Yes': -9.107947, ' ': -9.963386}
{' No': -0.005091412, 'No': -5.3783937, ' Yes': -7.840195, ' Not': -10.52054, ' ': -11.054848}
{' Yes': -0.17624733, ' No': -1.854367, 'Yes': -5.9297338, ' The': -6.7273927, 'No': -7.7422757}
{' Yes': -0.12663254, ' No': -2.2109773, 'Yes': -5.525848, ' Snake': -5.720048, ' The': -6.8261676}
{' No': -0.05951671, ' Yes': -2.896631, 'No': -6.314021, ' ': -8.348282, ' G': -8.436199}
{' No': -0.23416193, ' Yes': -1.5781846, 'No': -6.345021, 'Yes': -7.79172, '\n': -9.372955}
{' No': -0.15110867, ' Yes': -1.983861, 'No': -6.10785, 'Yes': -8.136086, ' The': -9.445473}
{' Yes': -0.17802255, ' No': -1.8277284, 'Yes': -6.6388493, 'No': -7.6416817, ' The': -8.493959}
{' No': -0.0046427925, 'No': -5.504404, ' Yes': -7.6273193, ' ': -10.589422, '\n': -10.593145}
{' No': -0.12906386, ' Yes': -2.139039, 'No': -6.1237206, ' The': -7.6569753, 'Yes': -8.0976305}
{' No': -0.3732788, ' Yes': -1.179929, 'No': -6.0161276, 'Yes': -6.7070017, ' The': -8.467788}
{' No': -0.010135542, ' Yes': -4.9290442, 'No': -6.137143, ' Plane': -7.7710524, '\n': -9.6498375}
{' Yes': -0.028536383, ' No': -3.729979, 'Yes': -6.2285028, ' Found': -6.4239106, ' yes': -8.98856}
{' Yes': -0.46486992, ' No': -0.99679893, 'Yes': -6.89944, 'No': -7.184685, ' The': -7.7765436}
{' Yes': -0.19497338, ' No': -1.9568887, ' Uncle': -3.5015602, 'Yes': -6.2987857, ' ': -7.2136183}
{' No': -0.0685606, ' Yes': -2.7486181, 'No': -6.5428925, ' Unc': -8.812889, ' ': -8.94566}
{' No': -0.005310345, 'No': -5.4901657, ' Yes': -6.9284425, ' The': -9.281603, ' ': -10.207207}
{' No': -0.056096837, ' Yes': -3.0008864, 'No': -5.422153, 'Yes': -8.7744875, ' The': -9.2699995}
{' Yes': -0.29905635, ' No': -1.3692049, 'Yes': -6.150079, 'No': -6.9209356, ' The': -7.666291}
{' Yes': -0.005586625, ' No': -5.846357, 'Yes': -6.1304913, ' yes': -8.463093, ' The': -9.080657}
{' No': -0.005681093, ' Yes': -5.4302053, 'No': -6.7514563, ' The': -9.974887, ' ': -10.536568}
{' No': -0.14774859, ' Yes': -1.9977566, 'No': -6.709575, 'Yes': -8.434852, ' The': -8.95069}
{' No': -0.27910626, ' Yes': -1.4393827, 'No': -5.784662, ' The': -6.529413, 'Yes': -6.9059544}
{' No': -0.43776533, ' Yes': -1.0564541, 'No': -5.922123, ' The': -6.1586432, 'Yes': -6.7726307}
{' Yes': -0.36566988, ' No': -1.1912276, 'Yes': -6.6675954, 'No': -7.264826, ' The': -9.012901}
{' Yes': -0.22617805, ' No': -1.6174668, 'Yes': -6.332117, '\n': -7.2418027, 'No': -7.2940583}
{' Yes': -0.4619249, ' No': -1.0106232, 'Yes': -5.7777147, 'No': -6.26567, ' ': -8.125867}
{' No': -0.14732471, ' Yes': -2.0251303, 'No': -5.7925024, 'Yes': -7.3352556, ' ': -7.6822205}
{' No': -0.0425856, ' Yes': -3.233463, 'No': -6.4160023, ' The': -8.353191, '\n': -8.966909}
{' No': -0.010027829, ' Yes': -5.185378, 'No': -5.593865, '\n': -8.58928, ' The': -8.89341}
{' Yes': -0.0051365253, ' No': -5.5993533, 'Yes': -6.71108, ' The': -9.298994, ' yes': -9.7224865}
{' Yes': -0.00085600157, 'Yes': -7.1831694, ' yes': -9.571511, ' ': -11.913147, ' No': -12.014284}
{' No': -0.33894008, ' Yes': -1.2561935, 'No': -6.3934827, 'Yes': -7.4366765, '\n': -8.470415}
{' No': -0.002806747, 'No': -5.97663, ' Yes': -8.873936, ' ': -9.6156225, '\n': -10.427001}
{' Yes': -0.016553251, ' No': -4.262313, 'Yes': -6.2403975, ' The': -8.756078, ' yes': -9.355781}
{' Yes': -0.10276636, ' No': -2.3477883, 'Yes': -6.503122, 'No': -8.270361, ' yes': -9.018057}
{' Yes': -0.0062944526, ' No': -5.644001, 'Yes': -6.0366273, ' The': -9.096144, ' Party': -9.344977}
{' No': -0.16786495, ' Yes': -1.8888046, 'No': -5.9564295, 'Yes': -7.850085, ' ': -9.022002}
{' No': -0.074949645, ' Yes': -2.6550448, 'No': -6.383452, 'Yes': -9.179609, ' The': -9.981562}
{' No': -0.032287113, ' Yes': -3.5271714, 'No': -6.194083, ' ': -9.191556, 'Yes': -9.511993}
{' Yes': -0.3192731, ' No': -1.3103677, 'Yes': -6.0668907, 'No': -7.311701, ' The': -8.377655}
{' Yes': -0.038808014, ' No': -3.4011238, 'Yes': -5.517586, ' The': -8.229566, 'No': -8.819603}
{' No': -0.1926645, ' Yes': -1.7659104, 'No': -5.709056, 'Yes': -7.7159986, ' The': -8.243949}
{' No': -0.067905866, ' Yes': -2.7735982, 'No': -5.9276257, ' The': -8.505123, 'Yes': -9.000256}
{' Yes': -0.009991585, ' No': -4.7826643, 'Yes': -6.662823, ' Shirt': -9.061374, ' yes': -9.80318}
{' Yes': -0.07851868, ' No': -2.617089, 'Yes': -6.2387986, 'No': -8.124206, ' yes': -9.453648}
{' Yes': -0.22646305, ' No': -1.6048447, 'Yes': -6.6216083, 'No': -8.242665, ' ': -10.3638525}
{' No': -0.01656452, ' Yes': -4.2089667, 'No': -6.5828595, ' The': -9.984408, 'Yes': -10.041686}
{' No': -0.29690692, ' Yes': -1.3833232, 'No': -5.991023, '\n': -6.6272807, ' The': -6.754134}
{' No': -0.018096875, ' Yes': -4.5799026, 'No': -4.9991417, ' B': -8.372632, ' Board': -8.609694}
{' Yes': -0.27569786, ' No': -1.43915, 'Yes': -6.1179104, ' The': -7.347408, 'No': -7.4667196}
{' No': -0.15448125, ' Yes': -1.9546329, 'No': -7.0178514, 'Yes': -8.448087, ' The': -8.522342}
{' Yes': -0.21612255, ' No': -1.6497905, 'Yes': -6.5175996, 'No': -7.963089, ' The': -8.715293}
{' No': -0.54882747, ' Yes': -0.8709291, 'No': -6.418217, 'Yes': -6.808108, ' The': -7.7140756}
{' Yes': -0.58350486, ' No': -0.8215515, 'Yes': -7.062548, 'No': -7.0806456, ' The': -8.114342}
{' No': -0.00934118, ' Yes': -5.129098, 'No': -5.736296, ' The': -9.667569, ' ': -10.48558}
{' Yes': -0.09382975, ' No': -2.4278388, 'Yes': -6.9390025, 'No': -9.194152, ' The': -9.220014}
{' Yes': -0.62044, ' No': -0.77593094, 'Yes': -6.953789, 'No': -7.126971, ' yes': -9.421921}
{' No': -0.11515617, ' Yes': -2.2332268, 'No': -6.813953, ' The': -8.600363, 'Yes': -8.948619}
{' Yes': -0.32416606, ' No': -1.2957981, ' The': -6.3244576, 'Yes': -7.248835, 'No': -7.8190484}
{' Yes': -0.137529, ' No': -2.068771, 'Yes': -6.5006056, 'No': -8.039128, ' The': -8.85575}
{' Yes': -0.2010618, ' Women': -1.7516141, ' No': -5.630343, 'Yes': -6.0360093, 'Women': -7.077446}
{' No': -0.051257208, ' Yes': -3.3965673, 'No': -4.278838, '\n': -7.4312305, 'Yes': -7.5589595}
{' No': -0.50081444, ' Yes': -0.94067764, 'No': -6.6380305, 'Yes': -6.9434404, '\n': -7.2825656}
{' No': -0.021921897, ' Yes': -3.983433, 'No': -5.8684907, ' The': -9.729255, 'Yes': -9.796726}
{' No': -0.6917925, ' Yes': -0.7046729, ' The': -6.266497, 'Yes': -6.9141717, 'No': -7.05735}
{' No': -0.07755102, ' Yes': -2.6111815, 'No': -7.0172267, 'Yes': -9.318985, '\n': -9.618633}
{' No': -0.087261826, ' Yes': -2.5039642, 'No': -6.5926476, 'Yes': -8.823481, '\n': -8.970833}
{' Yes': -0.02357598, ' No': -3.8232107, 'Yes': -6.8301992, ' The': -8.932626, ' Shark': -9.337321}
{' Yes': -0.0048008366, ' No': -5.854259, 'Yes': -6.352983, ' yes': -9.498314, ' The': -10.258182}
{' No': -0.250661, ' Yes': -1.5192443, 'No': -6.339499, 'Yes': -7.7483373, ' ': -7.973565}
{' Yes': -0.08757173, ' No': -2.5001006, 'Yes': -6.642619, 'No': -8.53347, ' yes': -9.3815775}
{' No': -0.0021890078, 'No': -6.3724217, ' Yes': -8.09583, ' ': -9.619363, '\n': -9.888928}
{' No': -0.008795763, 'No': -5.382003, ' Yes': -5.578521, ' ': -8.739976, '\n': -9.183229}
{' No': -0.288606, ' Yes': -1.3965313, 'No': -6.0788126, 'Yes': -7.288377, ' ': -9.539101}
{' No': -0.057089534, ' Yes': -2.9733589, 'No': -5.693878, ' The': -8.210695, '\n': -8.662531}
{' No': -0.19146931, ' Yes': -1.7673875, 'No': -6.018797, 'Yes': -7.5750103, ' The': -8.932348}
{' No': -0.49030858, ' Yes': -0.95419675, 'No': -6.7796965, 'Yes': -7.391649, ' The': -8.486489}
{' No': -0.13324018, ' Yes': -2.1046758, 'No': -6.5587006, ' Unfortunately': -7.7438354, 'Yes': -7.8414726}
{' No': -0.04309202, ' Yes': -3.2472982, 'No': -5.9750276, ' The': -8.357593, ' ': -8.819397}
{' No': -0.007845363, 'No': -4.8608537, ' ': -10.459581, ' Yes': -10.6286125, ' no': -11.777336}
{' No': -0.011808607, ' Yes': -4.7426815, 'No': -5.89163, ' The': -9.276269, ' ': -9.784484}
{' No': -0.5997569, ' Yes': -0.80737174, 'No': -6.555887, ' Devil': -6.655829, 'Yes': -6.965452}
{' No': -0.081978396, ' Yes': -2.568419, 'No': -6.693254, ' The': -8.201618, ' Unfortunately': -8.942274}
{' No': -0.006693105, ' Yes': -5.2488594, 'No': -6.6650105, ' The': -9.832846, ' ': -10.265968}
{' Yes': -0.22006746, ' No': -1.6325849, 'Yes': -7.0658865, ' The': -7.6067286, 'No': -8.0926695}
{' No': -0.049324527, ' Yes': -3.094092, 'No': -6.045292, ' The': -8.987859, ' ': -9.1234}
{' No': -0.016784705, ' Yes': -4.2221603, 'No': -6.3246403, '\n': -9.968325, ' ': -10.07943}
{' No': -0.47086683, ' Yes': -0.9882295, 'No': -6.254848, 'Yes': -7.181384, ' The': -8.2830305}
{' No': -0.2682912, ' Yes': -1.465532, 'No': -5.741996, 'Yes': -7.4958663, ' The': -8.387481}
{' No': -0.009591616, ' Yes': -4.92027, 'No': -6.164027, ' ': -9.977657, ' The': -10.049394}
{' No': -0.021972284, ' Yes': -4.030063, 'No': -5.66056, ' The': -8.932124, ' ': -9.210496}
{' No': -0.0145715475, ' Yes': -4.358337, 'No': -6.560857, ' Unfortunately': -9.394773, ' Not': -9.807168}
{' No': -0.15826629, ' Yes': -1.9461807, 'No': -5.9739456, 'Yes': -7.930834, ' Unfortunately': -8.525003}
{' Yes': -0.037007295, ' No': -3.3869655, 'Yes': -6.251658, ' ': -8.559195, ' The': -9.015312}
{' Yes': -0.029277582, ' No': -3.6263363, 'Yes': -6.356841, ' The': -8.600146, ' yes': -8.96506}
{' Yes': -0.41781682, ' No': -1.2595279, ' E': -3.6506364, ' erupt': -4.452079, 'rupt': -4.9702554}
{' No': -0.018646846, 'No': -4.090723, ' Nope': -6.7384663, '\n': -8.80931, ' Not': -9.091095}
{' No': -0.4042995, ' Yes': -1.1108366, 'No': -6.436199, 'Yes': -7.1713457, ' The': -7.742485}
{' No': -0.15648161, ' Yes': -1.9518955, 'No': -6.1917405, 'Yes': -7.942164, ' The': -8.276255}
{' No': -0.38397458, ' Yes': -1.1726594, ' Armor': -5.493689, 'No': -5.8097806, ' The': -7.047098}
{' No': -0.03426631, ' Yes': -3.49569, 'No': -5.8957753, ' The': -8.404227, '\n': -9.163302}
{' No': -0.008237244, ' Yes': -4.950458, 'No': -6.950073, ' ': -9.6711445, '\n': -10.2804365}
{' No': -0.0070731277, ' Yes': -5.2516327, 'No': -6.4353375, ' ': -9.379188, ' The': -10.217145}
{' No': -0.007901476, 'No': -5.1844645, ' Still': -6.8718557, ' Yes': -7.103984, '\n': -8.526071}
{' No': -0.030961648, ' Yes': -3.5896964, 'No': -6.3851027, ' The': -7.5046897, '\n': -8.306544}
{' No': -0.14563218, ' Yes': -2.048796, 'No': -5.141474, 'Yes': -7.472395, '\n': -9.346836}
{' Yes': -0.05255332, ' No': -3.0172424, 'Yes': -6.267395, 'No': -8.241053, ' yes': -9.919348}
{' Yes': -0.02932828, ' No': -3.6763601, 'Yes': -5.9846354, ' Purs': -7.797923, ' The': -8.0634985}
{' Yes': -0.36548626, ' No': -1.1946336, 'Yes': -6.7463017, ' The': -6.879389, 'No': -7.840757}
{' No': -0.031033643, ' Yes': -3.59084, 'No': -5.9703794, ' The': -8.993836, ' ': -9.137685}
{' No': -0.009457966, ' Yes': -5.2252665, 'No': -5.6072397, ' ': -9.136748, '\n': -9.296769}
{' No': -0.3862109, ' Yes': -1.1568885, 'No': -6.092429, ' The': -6.2818923, 'Yes': -6.7793303}
{' No': -0.5786803, ' Yes': -0.8326456, ' The': -6.3468647, 'No': -6.8136945, 'Yes': -6.8959503}
{' No': -0.03667459, ' Yes': -3.5169928, 'No': -5.5913258, '\n': -6.5245285, ' ': -7.7852583}
{' No': -0.005226038, 'No': -5.769729, ' Yes': -6.338306, '\n': -9.188342, ' ': -9.338918}
{' False': -1.080539, ' Un': -1.5069096, ' Unt': -1.5967208, ' No': -2.4437382, ' ': -2.7386124}
{' No': -0.022131564, ' Yes': -3.8820157, 'No': -6.8251214, '\n': -9.853599, 'Yes': -10.106651}
{' Yes': -0.5922874, ' No': -0.8175911, 'No': -6.1324067, 'Yes': -6.5485306, ' The': -6.8297787}
{' No': -0.068297, ' Yes': -2.7688088, 'No': -6.1639338, ' The': -7.339844, ' ': -8.445253}
{' No': -0.01949665, ' Yes': -4.2708316, 'No': -5.8833256, ' Spice': -6.995239, ' Nope': -7.1206183}
{' No': -0.5885451, ' Yes': -0.81708354, 'No': -6.676183, 'Yes': -6.7276325, ' Nope': -8.506388}
{' Yes': -0.0014274314, 'Yes': -6.795771, ' No': -8.752666, ' yes': -9.509341, ' ': -10.308945}
{' Yes': -0.16220678, ' No': -1.9563924, ' Under': -5.411194, 'Yes': -6.235299, 'No': -7.5108075}
{' No': -0.52465135, ' Yes': -0.9018068, 'No': -6.8378735, 'Yes': -7.3833604, ' The': -7.619345}
{' No': -0.02854638, ' Yes': -3.7480211, 'No': -5.545552, ' Unfortunately': -8.433902, ' The': -8.541652}
{' Yes': -0.1619459, ' No': -2.1129155, 'Yes': -4.261872, '\n': -5.103068, 'No': -5.8158355}
{' Yes': -0.48055902, ' No': -0.97403973, 'Yes': -6.274539, 'No': -6.8556614, ' The': -8.049818}
{' Yes': -0.33048314, ' No': -1.2773253, 'Yes': -6.78899, 'No': -7.199339, ' The': -7.647772}
{' No': -0.5999924, ' Yes': -0.8008572, 'No': -6.931918, 'Yes': -7.366636, ' The': -7.979999}
{' Yes': -0.32753167, ' No': -1.3095014, 'Yes': -5.3815284, 'No': -5.735063, ' ': -8.14051}
{' Yes': -0.48727992, ' No': -0.9623548, 'Yes': -6.941614, 'No': -7.1483855, ' The': -7.641148}
{' No': -0.46901378, ' Yes': -0.99172646, 'No': -6.44278, 'Yes': -6.8437047, '\n': -8.13763}
{' No': -0.36586863, ' Yes': -1.1895496, 'No': -6.8039174, 'Yes': -7.3198075, '\n': -9.421952}
{' No': -0.0072266306, ' Yes': -5.200439, 'No': -6.507184, ' The': -9.526013, ' ': -10.333449}
{' No': -0.008331241, ' Yes': -5.2401886, 'No': -5.9793854, ' The': -8.800398, ' ': -9.190207}
{' No': -0.009549612, 'No': -4.7508173, ' Yes': -7.3370986, ' ': -9.230865, ' The': -10.21857}
{' No': -0.021893935, ' Yes': -4.0012183, 'No': -5.872964, ' The': -8.2747755, ' ': -8.97005}
{' No': -0.018406698, ' Yes': -4.23576, 'No': -5.626546, 'Yes': -9.437566, '\n': -10.236773}
{' No': -0.2959751, ' Yes': -1.3753798, 'No': -6.177143, 'Yes': -7.4909806, ' The': -8.0509615}
{' Yes': -0.007181544, ' No': -5.2437234, 'Yes': -6.5158544, ' The': -8.434818, ' yes': -9.596579}
{' Yes': -0.03087091, ' No': -3.5672345, 'Yes': -6.2557025, 'No': -9.758949, '\n': -9.849249}
{' No': -0.05434212, ' Yes': -2.974296, 'No': -6.6164603, ' The': -8.765954, ' Guard': -9.252101}
{' No': -0.2372943, ' Yes': -1.5655204, 'No': -6.5762706, 'Yes': -8.124055, ' Guard': -8.286794}
{' Yes': -0.06218524, ' No': -2.867887, 'Yes': -5.8800693, 'No': -8.464804, ' Sweet': -8.493568}
{' Yes': -0.0073883818, ' No': -5.4068956, 'Yes': -5.9249926, ' yes': -9.422935, ' The': -9.796587}
{' No': -0.070894234, ' Yes': -2.7134798, 'No': -6.323799, 'Yes': -8.659531, ' ': -9.863085}
{' No': -0.026837766, ' Yes': -3.840421, 'No': -5.375549, '\n': -9.312963, 'Yes': -9.329221}
{' No': -0.6526448, ' Yes': -0.74255157, 'No': -6.347021, 'Yes': -6.691118, ' The': -8.946926}
{' No': -0.016781554, ' Yes': -4.307675, 'No': -5.8319306, ' The': -9.434956, 'Yes': -10.15943}
{' No': -0.011687447, ' Yes': -4.74739, 'No': -6.0740843, ' Unfortunately': -8.050688, ' ': -9.360919}
{' No': -0.024302205, ' Yes': -3.8250527, 'No': -6.1807537, 'Yes': -10.125757, ' ': -10.139231}
{' No': -0.0065707634, 'No': -5.468492, ' Yes': -6.346969, ' The': -8.707509, '\n': -8.944726}
