{' No': -1.5779239, ' ': -9.414157, 'No': -6.8790917, ' Yes': -0.23486064, 'Yes': -6.3427877}
{' No': -2.4860396, 'No': -5.6485834, ' Yes': -0.10643147, ' yes': -6.6998796, 'Yes': -4.374147}
{' No': -0.21777618, ' ': -7.4847054, 'No': -7.019536, ' Yes': -1.6412798, 'Yes': -8.272401}
{' No': -0.19808371, ' ': -7.627773, 'No': -5.080116, ' Yes': -1.7620218, 'Yes': -6.7817016}
{' No': -1.8329651, ' ': -7.198748, 'No': -6.689561, ' Yes': -0.18364838, 'Yes': -5.2092752}
{' No': -0.05720143, ' ': -7.5025706, 'No': -5.543581, ' Yes': -2.9798164, 'Yes': -8.420512}
{' No': -0.46951863, ' ': -6.0806766, 'No': -5.1979427, ' Yes': -1.012638, 'Yes': -5.8106284}
{' No': -0.18456239, ' ': -6.00175, 'No': -4.6764007, ' Yes': -1.873428, 'Yes': -6.6343074}
{' No': -0.51660436, ' ': -8.023928, 'No': -8.034378, ' Yes': -0.91010374, 'Yes': -8.287349}
{' No': -0.28662464, ' ': -7.8121557, 'No': -5.88498, ' Yes': -1.4060552, 'Yes': -7.0595503}
{' No': -2.8890233, ' ': -7.614832, 'No': -8.192254, ' Yes': -0.062303983, 'Yes': -5.575453}
{' No': -0.29943478, ' ': -7.6716037, 'No': -7.244638, ' Yes': -1.3576947, 'Yes': -8.157532}
{' No': -3.4655159, ' ': -7.021775, 'No': -8.232346, ' Yes': -0.039122526, 'Yes': -5.1734457}
{' No': -3.6788235, ' ': -7.9900618, ' Yes': -0.027929341, ' yes': -8.799104, 'Yes': -6.391395}
{' YES': -12.052156, ' ': -12.037805, ' Yes': -0.004446396, ' yes': -10.195034, 'Yes': -5.429714}
{' YES': -11.101304, ' ': -11.397079, ' Yes': -0.008782955, ' yes': -9.515222, 'Yes': -4.751695}
{' YES': -11.034704, ' ': -11.297772, ' Yes': -0.012570167, ' yes': -9.542127, 'Yes': -4.3914647}
{' YES': -12.141013, ' ': -12.724041, ' Yes': -0.0048662997, ' yes': -10.383875, 'Yes': -5.3364167}
{' ': -11.222282, ' Yes': -0.011184805, ' yes': -9.671132, 'Yes': -4.5072994, 'yes': -11.621955}
{' YES': -11.270722, ' ': -10.513755, ' Yes': -0.007933858, ' yes': -8.898637, 'Yes': -4.8645983}
{' YES': -11.786721, ' ': -11.907945, ' Yes': -0.0010281838, ' yes': -9.432255, 'Yes': -6.979988}
{' YES': -11.415909, ' ': -10.900513, ' Yes': -0.006213541, ' yes': -9.283193, 'Yes': -5.10592}
{'\n': -11.223267, ' ': -10.473654, ' Yes': -0.004492799, ' yes': -9.367831, 'Yes': -5.4397955}
{' YES': -12.142585, ' ': -12.337669, ' Yes': -0.0011258635, ' yes': -10.214193, 'Yes': -6.833649}
{'\n': -10.6343975, ' ': -9.559437, ' Yes': -0.006559724, ' yes': -9.558241, 'Yes': -5.0583806}
{'\n': -10.415017, ' ': -9.738409, ' Yes': -0.0075045787, ' yes': -7.913464, 'Yes': -4.965831}
{' YES': -10.750556, ' Yes': -0.01017143, ' yes': -7.592588, 'Yes': -4.652555, 'yes': -10.267262}
{' YES': -12.03565, ' Yes': -0.010512661, ' yes': -9.441377, 'Yes': -4.5698137, 'yes': -11.54321}
{' ': -10.490318, ' Yes': -0.017915724, ' yes': -7.988834, 'Yes': -4.0558434, 'yes': -10.252333}
{' YES': -11.412777, ' Yes': -0.006174918, ' yes': -8.698477, 'Yes': -5.1226583, 'yes': -11.425289}
{' ': -10.386263, ' Yes': -0.025430812, ' yes': -8.360163, 'Yes': -3.6976264, 'yes': -10.010954}
{' ': -10.093894, ' Yes': -0.020123104, ' yes': -7.0431614, 'Yes': -3.96847, 'yes': -9.613948}
{' YES': -11.243096, ' ': -10.729289, ' Yes': -0.0026360492, ' yes': -7.481958, 'Yes': -6.2048697}
{' ': -9.761105, ' Yes': -0.01109759, ' yes': -7.4050775, 'Yes': -4.575667, 'yes': -10.090598}
{'\n': -10.434558, ' ': -9.474469, ' Yes': -0.009385702, ' yes': -8.206683, 'Yes': -4.718694}
{' ': -9.9566965, ' Yes': -0.007300478, ' yes': -7.2515783, 'Yes': -5.046422, 'yes': -9.982905}
{'\n': -9.59821, ' ': -8.803468, ' Yes': -0.014448056, ' yes': -7.825767, 'Yes': -4.293607}
{'\n': -8.766734, ' ': -8.5225525, ' Yes': -0.016701367, ' yes': -5.45356, 'Yes': -4.445893}
{' YES': -11.565573, ' ': -11.168828, ' Yes': -0.0008587452, ' yes': -10.010305, 'Yes': -7.150763}
{' YES': -11.315809, ' ': -10.454179, ' Yes': -0.0053071696, ' yes': -9.529477, 'Yes': -5.2655687}
{'\n': -10.345949, ' ': -10.168978, ' Yes': -0.0048471927, ' yes': -9.741119, 'Yes': -5.3616033}
{' YES': -11.894494, ' ': -10.858509, ' Yes': -0.0011750339, ' yes': -10.045845, 'Yes': -6.812658}
{'\n': -10.467266, ' ': -9.511847, ' Yes': -0.0071054203, ' yes': -9.825561, 'Yes': -4.974333}
{'\n': -11.541937, ' ': -10.5997715, ' Yes': -0.0026892968, ' yes': -9.537703, 'Yes': -5.9632487}
{' No': -4.179702, 'No': -9.679483, ' Yes': -0.017565709, ' yes': -10.410413, 'Yes': -6.214537}
{' No': -4.6959376, 'No': -8.301504, ' Yes': -0.019567154, ' yes': -9.621749, 'Yes': -4.6159606}
{' No': -4.553705, 'No': -7.9875317, ' Yes': -0.024822477, ' yes': -9.468783, 'Yes': -4.3036346}
{' No': -3.7944214, 'No': -8.893855, ' Yes': -0.025825301, ' yes': -10.324031, 'Yes': -5.878719}
{' No': -1.9666889, ' ': -8.687291, 'No': -5.327727, ' Yes': -0.17008096, 'Yes': -4.4781137}
{' No': -6.1207566, 'No': -9.711005, ' Yes': -0.009712884, ' yes': -8.342869, 'Yes': -4.948548}
{' No': -11.107981, ' ': -11.011629, ' Yes': -0.0009212678, ' yes': -8.927576, 'Yes': -7.1939554}
{' No': -8.583327, ' ': -10.272968, ' Yes': -0.00553502, ' yes': -9.158395, 'Yes': -5.262943}
{' No': -5.608288, ' ': -9.020039, ' Yes': -0.00907956, ' yes': -9.165215, 'Yes': -5.2826486}
{' No': -7.048392, ' ': -10.399534, ' Yes': -0.0022499994, ' yes': -10.025001, 'Yes': -6.648108}
{' No': -3.3119478, ' ': -7.428015, 'No': -8.216459, ' Yes': -0.043137826, 'Yes': -5.351424}
{' No': -9.552489, ' ': -9.118482, ' Yes': -0.006033328, ' yes': -7.547997, 'Yes': -5.2519517}
{' No': -5.1899176, 'No': -8.845725, ' Yes': -0.014474242, ' yes': -7.6274805, 'Yes': -4.816079}
{' No': -8.218253, 'No': -11.866178, ' Yes': -0.009871425, ' yes': -9.62631, 'Yes': -4.6593423}
{' No': -9.652586, ' ': -10.396843, ' Yes': -0.022099022, ' yes': -7.8120685, 'Yes': -3.8485472}
{' No': -7.293502, ' ': -11.079202, ' Yes': -0.0071939705, ' yes': -8.5020685, 'Yes': -5.076144}
{' No': -7.7905784, ' ': -9.887854, ' Yes': -0.026746543, ' yes': -8.017013, 'Yes': -3.6682775}
{' No': -8.165421, ' Yes': -0.025886772, ' yes': -6.6390147, 'Yes': -3.7379608, 'yes': -9.72594}
{' No': -10.667395, ' ': -9.871799, ' Yes': -0.0022550186, ' yes': -7.0191345, 'Yes': -6.6730003}
{' No': -7.474514, ' ': -9.124084, ' Yes': -0.010542719, ' yes': -7.38233, 'Yes': -4.6949964}
{' No': -7.80248, ' ': -8.650794, ' Yes': -0.008928059, ' yes': -8.339387, 'Yes': -4.8256183}
{' No': -6.2428455, ' ': -8.375191, ' Yes': -0.006355455, ' yes': -7.2530727, 'Yes': -5.6873665}
{' No': -4.300265, ' ': -6.9217696, ' Yes': -0.025560865, ' yes': -7.5689716, 'Yes': -4.6379375}
{' No': -7.630482, ' ': -7.6443257, ' Yes': -0.014956089, ' yes': -5.179703, 'Yes': -4.832175}
{' No': -8.7249975, ' ': -10.171155, ' Yes': -0.000870499, ' yes': -9.725115, 'Yes': -7.4212136}
{' No': -6.6108956, ' ': -9.171415, ' Yes': -0.0060089226, ' yes': -9.698575, 'Yes': -5.4137025}
{' No': -5.2456374, '\n': -8.984538, ' ': -8.048891, ' Yes': -0.011443903, 'Yes': -5.1979556}
{' No': -4.7971535, ' ': -8.540495, ' Yes': -0.0098875575, ' yes': -9.800443, 'Yes': -6.646053}
{' No': -3.2953005, ' ': -7.054618, 'No': -8.077245, ' Yes': -0.044741843, 'Yes': -5.2415133}
{' No': -7.4540834, ' ': -9.104821, ' Yes': -0.0031406307, ' yes': -8.637719, 'Yes': -6.1053305}
{' No': -0.006204065, ' ': -10.224263, 'No': -5.0924697, ' no': -13.198336, ' NO': -13.366513}
{' No': -0.020557974, ' ': -9.990105, 'No': -3.8975587, ' no': -12.640999, ' NO': -12.374698}
{' No': -0.027329713, '\n': -12.268494, ' ': -9.251451, 'No': -3.6176274, ' NO': -12.375742}
{' No': -0.005675999, ' ': -10.50027, 'No': -5.180124, ' no': -13.152709, ' NO': -13.465725}
{' No': -0.0364339, '\n': -11.381022, ' ': -8.991976, 'No': -3.334833, ' no': -11.908869}
{' No': -0.018694943, '\n': -11.8989935, ' ': -8.843831, 'No': -3.999343, ' no': -11.179438}
{' No': -0.00137407, '\n': -12.23205, ' ': -9.706055, 'No': -6.6445084, ' no': -12.595942}
{' No': -0.007756053, '\n': -11.802854, ' ': -9.138143, 'No': -4.8793397, ' no': -12.604938}
{' No': -0.008116212, '\n': -9.7998295, ' ': -8.778156, 'No': -4.8459764, ' no': -12.314915}
{' No': -0.0024638278, '\n': -11.9335985, ' ': -9.510295, 'No': -6.042655, ' no': -13.16165}
{' No': -0.0075502195, '\n': -10.099039, ' ': -8.432595, 'No': -4.9266324, ' no': -12.437863}
{' No': -0.010231345, '\n': -8.876472, ' ': -8.397358, 'No': -4.6273065, ' no': -10.845935}
{' No': -0.026580099, ' ': -9.00773, 'No': -3.6503859, ' no': -9.413653, ' NO': -11.135237}
{' No': -0.022196528, ' ': -10.8979, 'No': -3.8201582, 'no': -13.334379, ' no': -12.4507475}
{' No': -0.067123115, '\n': -10.163171, ' ': -8.430805, 'No': -2.7398183, ' no': -10.418207}
{' No': -0.012193961, ' ': -9.401962, 'No': -4.4234123, ' no': -10.611355, ' NO': -11.850058}
{' No': -0.069105834, '\n': -10.474545, ' ': -8.551241, 'No': -2.710837, ' no': -10.555397}
{' No': -0.08088998, '\n': -8.938434, ' ': -8.171143, 'No': -2.5650246, ' no': -8.5449915}
{' No': -0.0023539513, '\n': -10.645533, ' ': -8.381031, 'No': -6.1864915, ' no': -10.32992}
{' No': -0.014178149, '\n': -10.845705, ' ': -8.189759, 'No': -4.287728, ' no': -10.44193}
{' No': -0.013137702, '\n': -9.423099, ' ': -8.0037775, 'No': -4.37311, ' no': -11.327633}
{' No': -0.006100133, '\n': -10.074671, ' ': -8.009666, 'No': -5.177601, ' no': -9.921553}
{' No': -0.013016257, '\n': -9.054836, ' ': -7.657688, 'No': -4.3970323, ' no': -11.019754}
{' No': -0.014904784, '\n': -8.085889, ' ': -7.3102136, 'No': -4.3142343, ' no': -7.8276887}
{' No': -0.00094984594, '\n': -11.624613, ' ': -9.489415, 'No': -7.056842, ' NO': -13.455997}
{' No': -0.0064610923, '\n': -11.046161, ' ': -8.695029, 'No': -5.07541, ' NO': -12.549952}
{' No': -0.009075771, '\n': -8.687101, ' ': -8.100166, 'No': -4.7619176, ' no': -12.452412}
{' No': -0.0023489322, '\n': -10.482606, ' ': -8.413194, 'No': -6.172486, ' NO': -12.323129}
{' No': -0.0088544525, '\n': -9.540644, ' ': -7.9686356, 'No': -4.781197, ' no': -12.42902}
{' No': -0.0040106922, '\n': -10.590404, ' ': -8.678924, 'No': -5.574373, ' no': -11.624736}
{' No': -0.0043001436, ' ': -11.288145, 'No': -5.4721074, ' Yes': -9.51394, ' no': -14.440555}
{' No': -0.020378686, ' ': -10.401953, 'No': -3.9278092, ' Yes': -7.729456, 'Yes': -11.686655}
{' No': -0.026201712, ' ': -9.734175, 'No': -3.6684341, ' Yes': -8.216602, 'Yes': -11.89611}
{' No': -0.006431697, ' ': -10.824093, 'No': -5.0677147, ' Yes': -9.313548, ' NO': -13.667998}
{' No': -0.024795165, ' ': -9.465127, 'No': -3.8216126, ' Yes': -6.004699, 'Yes': -10.160871}
{' No': -0.035018504, ' ': -8.6148405, 'No': -4.1492248, ' Yes': -4.003011, 'Yes': -8.738694}
{' No': -0.027329959, ' ': -9.513357, 'No': -7.2521987, ' Yes': -3.6443264, 'Yes': -10.496169}
{' No': -0.01573536, ' ': -9.410855, 'No': -5.100082, ' Yes': -4.6715255, 'Yes': -9.622455}
{' No': -0.013712506, ' ': -8.739637, 'No': -5.2256517, ' Yes': -4.8307786, 'Yes': -9.732204}
{' No': -0.0023879472, ' ': -9.921428, 'No': -6.508169, ' Yes': -7.0842414, 'Yes': -13.037702}
{' No': -0.07825161, ' ': -7.820948, 'No': -5.253693, ' Yes': -2.6712978, 'Yes': -7.8076634}
{' No': -0.13527632, ' ': -7.564463, 'No': -5.0478334, ' Yes': -2.1318545, 'Yes': -7.2483587}
{' No': -0.025579087, ' ': -9.701117, 'No': -4.014043, ' Yes': -4.960178, 'Yes': -9.417808}
{' No': -0.036056027, ' ': -11.062148, 'No': -3.761554, ' Yes': -4.42809, 'Yes': -8.492942}
{' No': -0.3715885, ' ': -8.412413, 'No': -3.6299026, ' Yes': -1.2839, 'Yes': -5.0425744}
{' No': -0.020940261, ' ': -10.103123, 'No': -4.930705, ' Yes': -4.3168406, 'Yes': -9.201385}
{' No': -3.027032, 'No': -6.0360675, ' Yes': -0.074536644, ' yes': -7.9124937, 'Yes': -3.8911927}
{' No': -1.1873102, 'No': -4.102551, ' Yes': -0.40934092, ' yes': -6.9329805, 'Yes': -4.349585}
{' No': -0.02957124, ' ': -8.074992, 'No': -6.853526, ' Yes': -3.5877128, 'Yes': -10.095937}
{' No': -0.015933152, ' ': -8.501878, 'No': -4.768735, ' Yes': -4.959134, 'Yes': -9.627732}
{' No': -0.06190764, ' ': -7.4370847, 'No': -4.9151387, ' Yes': -2.965424, 'Yes': -7.674561}
{' No': -0.0044504073, ' ': -8.296541, 'No': -5.6954503, ' Yes': -7.141136, ' no': -11.125162}
{' No': -0.029774718, ' ': -7.2042856, 'No': -4.634076, ' Yes': -3.9901073, 'Yes': -8.453937}
{' No': -0.023820296, '\n': -8.333951, ' ': -6.6400633, 'No': -4.4922915, ' Yes': -4.569301}
{' No': -0.011410743, '\n': -11.449176, ' ': -8.7746105, 'No': -7.531773, ' Yes': -4.5439177}
{' No': -0.009766029, ' ': -8.690182, 'No': -5.346031, ' Yes': -5.351088, 'Yes': -10.594221}
{' No': -0.009718782, '\n': -9.453492, ' ': -8.168343, 'No': -5.266701, ' Yes': -5.493895}
{' No': -0.0025838183, '\n': -12.457171, ' ': -8.989263, 'No': -6.9148507, ' Yes': -6.53435}
{' No': -0.15661538, ' ': -6.8557644, 'No': -5.056606, ' Yes': -1.9923944, 'Yes': -6.9035554}
{' No': -0.12788117, ' ': -7.6403184, 'No': -6.3775377, ' Yes': -2.1407843, 'Yes': -8.463216}
{' No': -11.785979, ' ': -11.920703, ' Yes': -0.0036696354, ' yes': -10.227625, 'Yes': -5.624679}
{' No': -11.468819, ' ': -11.261554, ' Yes': -0.011668872, ' yes': -9.541451, 'Yes': -4.4660716}
{' YES': -11.667687, ' ': -11.455244, ' Yes': -0.013939981, ' yes': -9.571574, 'Yes': -4.2870893}
{' YES': -12.560041, ' ': -11.9833145, ' Yes': -0.004235793, ' yes': -10.348332, 'Yes': -5.47743}
{' ': -11.498814, ' Yes': -0.01194969, ' yes': -9.730827, 'Yes': -4.4401283, 'yes': -11.817975}
{' YES': -11.91763, ' ': -10.764117, ' Yes': -0.0077301627, ' yes': -9.032208, 'Yes': -4.887157}
{' YES': -12.274378, ' ': -11.441565, ' Yes': -0.0008832665, ' yes': -9.761127, 'Yes': -7.1231894}
{' YES': -12.192393, ' ': -10.907863, ' Yes': -0.006594883, ' yes': -9.407566, 'Yes': -5.042712}
{'\n': -10.5388365, ' ': -10.084754, ' Yes': -0.0057332464, ' yes': -9.302848, 'Yes': -5.195192}
{' YES': -12.552281, ' ': -11.735106, ' Yes': -0.0016106352, ' yes': -9.997896, 'Yes': -6.470064}
{'\n': -10.929555, ' ': -9.534167, ' Yes': -0.0057237744, ' yes': -9.696845, 'Yes': -5.195091}
{'\n': -9.873002, ' ': -9.381438, ' Yes': -0.007777618, ' yes': -7.9085608, 'Yes': -4.9323378}
{' ': -11.2903, ' Yes': -0.008139829, ' yes': -7.7481046, 'Yes': -4.8769827, 'yes': -10.819304}
{' YES': -12.868705, ' Yes': -0.01356151, ' yes': -9.391081, 'Yes': -4.314754, 'yes': -11.484672}
{' ': -10.666159, ' Yes': -0.026131472, ' yes': -8.014695, 'Yes': -3.673846, 'yes': -10.2480345}
{' ': -11.691317, ' Yes': -0.007170856, ' yes': -8.618094, 'Yes': -4.9711027, 'yes': -11.503683}
{' ': -10.808388, ' Yes': -0.02490118, ' yes': -8.640591, 'Yes': -3.7149663, 'yes': -10.460386}
{' ': -10.194681, ' Yes': -0.023755476, ' yes': -6.9903092, 'Yes': -3.7976143, 'yes': -9.695146}
{' YES': -11.592295, ' ': -10.332481, ' Yes': -0.002206449, ' yes': -7.6482267, 'Yes': -6.393056}
{' ': -9.897293, ' Yes': -0.010879436, ' yes': -7.753628, 'Yes': -4.5758586, 'yes': -10.645398}
{'\n': -10.746865, ' ': -9.756515, ' Yes': -0.0066638235, ' yes': -8.809342, 'Yes': -5.0520353}
{' ': -10.046084, ' Yes': -0.0059712054, ' yes': -7.5534716, 'Yes': -5.232749, 'yes': -10.571618}
{'\n': -9.98205, ' ': -8.940964, ' Yes': -0.012584895, ' yes': -8.466465, 'Yes': -4.415701}
{'\n': -8.757229, ' ': -8.47507, ' Yes': -0.015771706, ' yes': -5.63155, 'Yes': -4.4591327}
{'\n': -11.920493, ' ': -10.780388, ' Yes': -0.00087037886, ' yes': -10.172926, 'Yes': -7.133343}
{'\n': -11.503941, ' ': -10.17186, ' Yes': -0.00550697, ' yes': -9.680822, 'Yes': -5.227291}
{'\n': -10.491516, ' ': -10.063804, ' Yes': -0.004453642, ' yes': -9.9386215, 'Yes': -5.445429}
{' YES': -12.414073, ' ': -10.52886, ' Yes': -0.0011965778, ' yes': -10.015462, 'Yes': -6.7996716}
{'\n': -10.548852, ' ': -9.334102, ' Yes': -0.007420926, ' yes': -9.757373, 'Yes': -4.932018}
{'\n': -11.774769, ' ': -10.734743, ' Yes': -0.001669144, ' yes': -9.672916, 'Yes': -6.4559174}
{' No': -8.25236, ' ': -12.137307, ' Yes': -0.002025404, ' yes': -10.36762, 'Yes': -6.363889}
{' No': -8.349504, ' ': -11.105194, ' Yes': -0.008564346, ' yes': -9.435745, 'Yes': -4.806059}
{' No': -9.458042, ' ': -11.034328, ' Yes': -0.011648493, ' yes': -9.274618, 'Yes': -4.476031}
{' No': -8.365546, ' ': -11.828297, ' Yes': -0.0031919354, ' yes': -10.450769, 'Yes': -5.8384767}
{' No': -6.1240573, 'No': -9.552525, ' Yes': -0.013523262, ' yes': -9.475752, 'Yes': -4.506607}
{' No': -9.640291, ' ': -10.448526, ' Yes': -0.0068937815, ' yes': -8.356676, 'Yes': -5.03237}
{' YES': -12.819593, ' ': -11.251641, ' Yes': -0.00069327606, ' yes': -9.104593, 'Yes': -7.4833074}
{' ': -10.513461, ' Yes': -0.004950875, ' yes': -8.993848, 'Yes': -5.345306, 'yes': -12.123205}
{' No': -10.972243, ' ': -9.737172, ' Yes': -0.00537854, ' yes': -9.016732, 'Yes': -5.2700634}
{' No': -11.414256, ' ': -10.963546, ' Yes': -0.0010921472, ' yes': -9.799474, 'Yes': -6.904912}
{' No': -6.801903, ' ': -8.078271, ' Yes': -0.006462293, ' yes': -9.450973, 'Yes': -5.321064}
{'\n': -10.349825, ' ': -9.282703, ' Yes': -0.005463337, ' yes': -7.521309, 'Yes': -5.351929}
{' No': -8.592095, ' Yes': -0.010022831, ' yes': -7.352786, 'Yes': -4.7019954, 'yes': -10.441716}
{' No': -12.368025, ' Yes': -0.009375294, ' yes': -9.659937, 'Yes': -4.682591, 'yes': -12.105936}
{' ': -10.459276, ' Yes': -0.02223498, ' yes': -7.682753, 'Yes': -3.8420687, 'yes': -10.364041}
{' No': -10.595249, ' ': -11.581206, ' Yes': -0.0062105414, ' yes': -8.498348, 'Yes': -5.126402}
{' ': -10.133336, ' Yes': -0.02272241, ' yes': -7.7711067, 'Yes': -3.8194883, 'yes': -10.059883}
{' ': -10.101334, ' Yes': -0.02118893, ' yes': -6.5056953, 'Yes': -3.9462223, 'yes': -9.595917}
{' ': -10.142445, ' Yes': -0.0023049612, ' yes': -6.9069943, 'Yes': -6.6919365, 'yes': -11.494286}
{' ': -9.488825, ' Yes': -0.010038184, ' yes': -6.994317, 'Yes': -4.717521, 'yes': -10.187246}
{' ': -9.192439, ' Yes': -0.0078727, ' yes': -8.188648, 'Yes': -4.9026613, 'yes': -11.27691}
{' No': -9.090323, ' ': -8.917165, ' Yes': -0.004735076, ' yes': -6.9785123, 'Yes': -5.657548}
{'\n': -9.394244, ' ': -7.9894743, ' Yes': -0.0092076855, ' yes': -7.696366, 'Yes': -4.800219}
{'\n': -8.837178, ' ': -7.9305925, ' Yes': -0.0149527, ' yes': -5.014491, 'Yes': -4.893607}
{'\n': -12.358851, ' ': -10.899962, ' Yes': -0.00057512434, ' yes': -9.847106, 'Yes': -7.6103735}
{' No': -10.613971, ' ': -9.745152, ' Yes': -0.004719804, ' yes': -9.447341, 'Yes': -5.396226}
{' No': -8.976721, ' ': -8.783688, ' Yes': -0.0061617224, ' yes': -9.375814, 'Yes': -5.165942}
{' No': -8.811167, ' ': -9.600698, ' Yes': -0.0014482627, ' yes': -9.7613735, 'Yes': -6.75713}
{' No': -7.3922853, '\n': -9.485576, ' ': -7.828126, ' Yes': -0.0066177407, 'Yes': -5.2167425}
{'\n': -11.211051, ' ': -9.788669, ' Yes': -0.002198984, ' yes': -8.634746, 'Yes': -6.249162}
{' No': -0.0047539407, ' ': -10.228653, 'No': -5.359996, ' no': -13.239825, ' NO': -13.315445}
{' No': -0.017935323, ' ': -9.936745, 'No': -4.0332646, ' no': -12.817457, ' NO': -12.388213}
{' No': -0.023669843, ' ': -9.342484, 'No': -3.7596831, ' no': -12.764372, ' NO': -12.517}
{' No': -0.0055571967, ' ': -10.566174, 'No': -5.20087, ' no': -13.498638, ' NO': -13.595462}
{' No': -0.02778176, '\n': -11.760361, ' ': -9.079835, 'No': -3.6023514, ' no': -12.21678}
{' No': -0.0155657735, ' x': -12.094317, ' ': -8.821717, 'No': -4.1828175, ' no': -11.310173}
{' No': -0.0011950243, '\n': -12.511474, ' ': -9.730313, 'No': -6.79006, ' no': -12.58287}
{' No': -0.0074582193, '\n': -11.766122, ' ': -9.13352, 'No': -4.9191957, ' no': -12.618646}
{' No': -0.007979158, '\n': -9.973238, ' ': -8.696974, 'No': -4.8637567, ' no': -12.500009}
{' No': -0.0019709342, '\n': -12.412762, ' ': -9.603165, 'No': -6.269306, ' NO': -13.325513}
{' No': -0.007204237, '\n': -9.846832, ' ': -8.155283, 'No': -4.9870987, ' no': -12.588951}
{' No': -0.008216929, '\n': -9.137527, ' ': -8.344215, 'No': -4.85284, ' no': -10.949106}
{' No': -0.023751747, ' ': -9.032721, 'No': -3.761417, ' no': -9.708485, ' NO': -11.204295}
{' No': -0.018516839, ' ': -10.84615, 'No': -3.999836, ' Yes': -13.348608, ' no': -12.722079}
{' No': -0.057132956, '\n': -10.412646, ' ': -8.44957, 'No': -2.8966694, ' no': -10.649472}
{' No': -0.010076294, ' ': -9.582597, 'No': -4.6126094, ' no': -10.975548, ' NO': -12.248502}
{' No': -0.058169864, '\n': -10.523817, ' ': -8.578423, 'No': -2.8784842, ' Yes': -10.609851}
{' No': -0.06061304, '\n': -9.192653, ' ': -7.9790874, 'No': -2.8469176, ' no': -8.94738}
{' No': -0.0021225843, '\n': -10.776932, ' ': -8.314861, 'No': -6.3115706, ' no': -10.409325}
{' No': -0.012442456, '\n': -11.131899, ' ': -8.192579, 'No': -4.420144, ' no': -10.574024}
{' No': -0.01236509, '\n': -9.521861, ' ': -7.950116, 'No': -4.436155, ' no': -11.546906}
{' No': -0.0060150367, '\n': -10.128488, ' ': -7.814868, 'No': -5.203672, ' no': -10.08237}
{' No': -0.012189859, '\n': -8.675993, ' ': -7.461961, 'No': -4.48028, ' no': -10.5834255}
{' No': -0.014199309, '\n': -8.224831, ' ': -7.2583895, 'No': -4.3613744, ' no': -8.0416355}
{' No': -0.001032957, '\n': -11.040696, ' ': -9.150444, 'No': -7.0066285, ' no': -13.193406}
{' No': -0.0063710487, '\n': -11.111745, ' ': -8.425736, 'No': -5.0982175, ' NO': -12.508765}
{' No': -0.008410578, '\n': -8.791364, ' ': -7.9643106, 'No': -4.845788, ' NO': -12.398309}
{' No': -0.0023873483, '\n': -10.969544, ' ': -8.398412, 'No': -6.1507154, ' NO': -12.289732}
{' No': -0.007575083, '\n': -9.587361, ' ': -7.8130198, 'No': -4.953189, ' no': -12.342076}
{' No': -0.003644812, '\n': -10.4070425, ' ': -8.409844, 'No': -5.692243, ' no': -11.754173}
{' No': -0.008380587, ' ': -10.44873, 'No': -5.477613, ' Yes': -5.4928584, 'Yes': -10.915838}
{' No': -0.022151979, ' ': -9.617115, 'No': -4.0389214, ' Yes': -5.482488, 'Yes': -9.779121}
{' No': -0.03554346, ' ': -8.982649, 'No': -3.5917683, ' Yes': -4.94956, 'Yes': -8.839952}
{' No': -0.0055334005, ' ': -10.908031, 'No': -5.424402, ' Yes': -6.8276362, 'Yes': -11.979826}
{' No': -0.038530268, ' ': -8.9179945, 'No': -3.8082006, ' Yes': -4.183681, 'Yes': -8.444743}
{' No': -0.11533804, ' ': -8.09935, 'No': -4.267796, ' Yes': -2.3664024, 'Yes': -7.226532}
{' No': -1.3411881, ' ': -8.577289, 'No': -8.426587, ' Yes': -0.3046604, 'Yes': -7.455949}
{' No': -0.47330433, ' ': -8.2599325, 'No': -5.470388, ' Yes': -0.99291945, 'Yes': -6.1994796}
{' No': -0.4458881, ' ': -7.3959136, 'No': -5.553106, ' Yes': -1.0413929, 'Yes': -6.1496134}
{' No': -0.050480653, ' ': -8.905072, 'No': -6.6357994, ' Yes': -3.042975, 'Yes': -9.4800005}
{' No': -0.9135097, ' ': -6.9581184, 'No': -5.866373, ' Yes': -0.5251124, 'Yes': -5.679842}
{' No': -1.9455464, ' ': -7.420289, 'No': -6.706928, ' Yes': -0.16223831, 'Yes': -5.412797}
{' No': -0.026815172, ' ': -9.360086, 'No': -4.2354064, ' Yes': -4.4479594, 'Yes': -8.91322}
{' No': -0.28863934, ' ': -10.170511, 'No': -4.3972135, ' Yes': -1.445141, 'Yes': -5.946525}
{' No': -1.3083552, 'No': -4.9611545, ' Yes': -0.34195107, ' yes': -8.103412, 'Yes': -4.4431663}
{' No': -0.2650267, ' ': -9.370893, 'No': -5.1140194, ' Yes': -1.4902483, 'Yes': -6.6310883}
{' No': -4.5476594, 'No': -7.59965, ' Yes': -0.031576738, ' yes': -7.9011173, 'Yes': -3.9389803}
{' No': -3.4925926, 'No': -6.401295, ' Yes': -0.0508851, ' yes': -6.7442245, 'Yes': -4.1294146}
{' No': -0.17062968, ' ': -7.3867316, 'No': -6.7703605, ' Yes': -1.8667243, 'Yes': -8.330927}
{' No': -0.27049285, ' ': -7.3253274, 'No': -4.799509, ' Yes': -1.487595, 'Yes': -6.2232265}
