{' No': -0.07999569, ' Yes': -2.710546, 'No': -4.6041656, 'Yes': -8.152537, ' ': -9.752942}
{' Yes': -0.020354293, 'Yes': -4.2056913, ' No': -5.633937, ' ': -7.1322737, ' yes': -7.594216}
{' Yes': -0.014288968, 'Yes': -4.754239, ' yes': -6.0037103, ' No': -6.038539, ' ': -8.108304}
{' Yes': -0.03579369, ' No': -4.256031, 'Yes': -4.377177, ' yes': -5.0654774, ' ': -6.810866}
{' Yes': -0.0018993322, 'Yes': -6.5393596, ' No': -8.190288, ' yes': -9.215573, ' ': -9.989024}
{' Yes': -0.0019427494, 'Yes': -6.527214, ' No': -8.219381, ' yes': -9.002182, ' ': -9.776063}
{' Yes': -0.008964324, 'Yes': -4.7967906, ' No': -7.8379383, ' yes': -8.8383875, ' ': -9.346888}
{' Yes': -0.0124774, 'Yes': -4.8347716, ' No': -5.5350103, ' ': -8.390113, ' yes': -8.690457}
{' Yes': -0.011997525, 'Yes': -4.833346, ' No': -5.6730404, ' ': -8.322813, '\n': -9.071745}
{' Yes': -0.053624436, ' No': -3.2348187, 'Yes': -4.560567, ' ': -7.0219083, 'No': -7.313147}
{' Yes': -0.028218687, ' No': -3.6473439, 'Yes': -6.531831, ' ': -8.865748, ' yes': -9.49039}
{' Yes': -0.043600004, ' No': -3.2258623, 'Yes': -6.157998, ' ': -7.6276393, 'No': -8.926542}
{' Yes': -0.028928049, ' No': -4.194045, 'Yes': -4.475623, ' ': -6.8526235, '\n': -7.48107}
{' Yes': -0.18459874, ' No': -1.8759629, 'Yes': -4.7792335, ' ': -5.719198, 'No': -6.130376}
{' Yes': -0.0044520856, 'Yes': -5.511334, ' yes': -8.832326, ' No': -8.967739, ' ': -9.552853}
{' Yes': -0.03159919, ' No': -3.6608791, 'Yes': -5.5105896, ' ': -7.4991813, '\n': -8.174122}
{' No': -0.011934187, 'No': -4.4375854, ' ': -10.642411, ' NO': -12.171135, ' Yes': -12.551878}
{' No': -0.007610938, 'No': -4.884251, ' ': -11.384993, ' Yes': -13.0438795, ' no': -13.404256}
{' No': -0.046318024, 'No': -3.0965688, ' ': -10.319772, ' NO': -11.261111, ' no': -12.143175}
{' No': -0.046216827, 'No': -3.09852, ' ': -10.520375, ' NO': -11.599579, ' no': -12.061993}
{' No': -0.046843383, 'No': -3.085986, ' ': -10.109629, ' NO': -10.972702, ' no': -12.168495}
{' No': -0.05053131, 'No': -3.0116596, ' ': -9.978942, ' NO': -11.862241, ' no': -12.396745}
{' No': -0.015499245, 'No': -4.176962, ' ': -10.720828, ' NO': -12.013942, ' no': -12.5438795}
{' No': -0.016933339, 'No': -4.0879703, ' ': -11.348716, ' no': -13.032048, ' NO': -13.272547}
{' No': -0.07156013, 'No': -2.674923, ' ': -9.357504, ' NO': -10.9896965, ' Yes': -11.253976}
{' No': -0.05801554, 'No': -2.877956, ' ': -9.768981, ' Yes': -10.206828, ' NO': -12.011527}
{' No': -0.049008664, 'No': -3.0463402, ' ': -8.755648, ' Yes': -9.801354, ' no': -10.648502}
{' No': -0.036703218, 'No': -3.3304405, ' Yes': -9.077107, ' ': -9.185207, ' no': -10.948413}
{' No': -0.0011000226, 'No': -6.834216, ' ': -11.269698, ' NO': -12.774789, ' Yes': -12.808503}
{' No': -0.00136434, 'No': -6.615944, ' ': -11.0797825, ' no': -12.684694, '\n': -13.064694}
{' No': -0.010589102, 'No': -4.5593996, ' ': -10.1063175, ' NO': -11.755637, ' Yes': -11.886111}
{' No': -0.008281593, 'No': -4.8047214, ' ': -10.152608, ' no': -12.127409, ' Yes': -12.348177}
{' No': -0.011923327, 'No': -4.444676, ' ': -9.467758, '\n': -10.925831, ' NO': -11.700676}
{' No': -0.008932329, 'No': -4.7360764, ' ': -9.358059, '\n': -11.266693, ' Yes': -11.476104}
{' No': -0.002246533, 'No': -6.1098113, ' ': -11.201585, ' NO': -12.431954, '\n': -13.117749}
{' No': -0.0026309092, 'No': -5.9543447, ' ': -10.678839, ' NO': -12.700418, ' no': -12.741274}
{' No': -0.010818338, 'No': -4.555185, ' ': -8.667218, '\n': -9.777632, ' NO': -11.6109495}
{' No': -0.007959631, 'No': -4.854588, ' ': -9.200432, '\n': -10.79991, ' no': -12.292443}
{' No': -0.008042547, 'No': -4.851039, ' ': -9.384576, '\n': -9.500746, ' no': -11.184846}
{' No': -0.007972187, 'No': -4.860627, ' ': -9.106711, '\n': -10.199765, ' no': -10.566276}
{' No': -0.043433473, 'No': -3.1613953, ' ': -9.570388, ' no': -10.630572, ' NO': -10.885735}
{' No': -0.04314685, 'No': -3.1783817, ' Yes': -8.269724, ' no': -8.735985, ' ': -9.3652935}
{' No': -0.09291911, 'No': -2.4233196, ' ': -9.862721, ' no': -11.266377, ' NO': -11.334996}
{' No': -0.10672369, 'No': -2.2916906, ' no': -10.279428, ' ': -10.473135, ' Yes': -10.529795}
{' No': -0.18384056, 'No': -1.7883707, ' ': -8.040454, '\n': -8.521848, ' NO': -9.7705555}
{' No': -0.14053711, 'No': -2.036598, ' Yes': -8.460522, ' ': -8.462564, ' no': -9.686859}
{' No': -0.022778632, 'No': -3.7971008, ' ': -9.896735, ' no': -11.087989, ' NO': -11.247176}
{' No': -0.01148478, 'No': -4.4803185, ' no': -10.180235, ' ': -10.521381, ' Yes': -11.329518}
{' No': -0.15562187, 'No': -1.940496, ' ': -8.410335, '\n': -8.893746, ' NO': -10.409125}
{' No': -0.13183588, 'No': -2.0970743, ' Yes': -7.9606113, ' ': -8.557236, '\n': -10.047479}
{' No': -0.14576843, 'No': -2.0031025, ' ': -7.931194, ' no': -9.111641, '\n': -9.244421}
{' No': -0.105761416, 'No': -2.361165, ' Yes': -5.3963842, ' no': -7.6450624, ' ': -7.9240155}
{' No': -0.0024712374, 'No': -6.054303, ' ': -9.501218, ' no': -10.652249, '\n': -11.492623}
{' No': -0.0016251439, 'No': -6.506956, ' ': -9.483126, ' no': -10.265075, '\n': -11.462136}
{' No': -0.015341562, 'No': -4.198153, ' ': -8.791727, ' no': -11.00701, ' NO': -11.116507}
{' No': -0.01930552, 'No': -3.9699526, ' ': -8.725995, ' no': -10.065717, ' Yes': -11.0456705}
{' No': -0.01048917, 'No': -4.579949, ' ': -8.991837, '\n': -10.221239, ' NO': -11.85404}
{' No': -0.013209449, 'No': -4.352454, ' ': -8.859361, ' Yes': -9.699952, '\n': -10.497049}
{' No': -0.0039230827, 'No': -5.5656424, ' ': -9.790055, ' no': -11.226459, '\n': -11.529325}
{' No': -0.004987774, 'No': -5.335726, ' ': -9.2070055, ' no': -10.262699, '\n': -11.349694}
{' No': -0.012769132, 'No': -4.4070616, ' ': -7.939864, '\n': -9.114024, ' NO': -11.2714815}
{' No': -0.017639961, 'No': -4.078139, ' ': -7.9453435, '\n': -8.905176, ' no': -10.487731}
{' No': -0.01661585, 'No': -4.1651106, '\n': -7.688815, ' ': -8.003016, ' no': -9.035855}
{' No': -0.018343624, 'No': -4.0871606, ' no': -7.552664, ' ': -7.653509, '\n': -7.9966664}
{' No': -0.0020445779, 'No': -6.259662, ' ': -9.351532, '\n': -10.473484, ' NO': -11.887854}
{' No': -0.002393324, 'No': -6.0947046, ' ': -9.23433, '\n': -10.711518, ' NO': -12.0282135}
{' No': -0.014434089, 'No': -4.256555, ' ': -9.065581, '\n': -10.9421835, ' NO': -11.096556}
{' No': -0.014450899, 'No': -4.2600317, ' ': -8.63406, '\n': -10.78234, ' NO': -11.493782}
{' No': -0.011579083, 'No': -4.48653, ' ': -8.760484, '\n': -9.441657, ' NO': -11.7214575}
{' No': -0.017763302, 'No': -4.069773, ' ': -8.078325, '\n': -8.554433, ' Yes': -11.975688}
{' No': -0.0022526286, 'No': -6.1430507, ' ': -9.491905, '\n': -11.218554, ' NO': -11.673712}
{' No': -0.003384317, 'No': -5.7488694, ' ': -8.796402, '\n': -10.745979, ' NO': -11.594497}
{' No': -0.015093862, 'No': -4.2542524, ' ': -7.665156, '\n': -8.17283, ' NO': -11.418995}
{' No': -0.011982444, 'No': -4.4842095, ' ': -7.820345, '\n': -8.499683, ' no': -12.016512}
{' No': -0.0061202836, 'No': -5.132625, ' ': -9.060521, '\n': -9.598269, ' NO': -12.135842}
{' No': -0.006649003, 'No': -5.049778, ' ': -8.950146, '\n': -9.764074, ' no': -10.868671}
{' No': -0.4847575, ' Yes': -0.9864531, 'No': -4.7497263, 'Yes': -5.988299, ' ': -10.166324}
{' No': -0.11225186, ' Yes': -2.3506036, 'No': -4.6073384, 'Yes': -7.114943, ' ': -9.702971}
{' Yes': -0.6908689, ' No': -0.7933298, 'No': -3.4712818, 'Yes': -4.1927743, ' yes': -8.67321}
{' No': -0.10536343, ' Yes': -2.9689708, 'No': -3.0582538, 'Yes': -6.489589, ' ': -9.053958}
{' Yes': -0.5077637, ' No': -1.0240123, 'No': -3.8657784, 'Yes': -4.032248, ' yes': -8.888803}
{' Yes': -0.08429489, ' No': -3.037582, 'Yes': -3.5203583, 'No': -5.817947, ' yes': -8.854939}
{' Yes': -0.60921323, ' No': -0.8185065, 'No': -4.6701684, 'Yes': -5.185297, ' yes': -9.5692005}
{' Yes': -0.35719326, ' No': -1.2482455, 'Yes': -4.805229, 'No': -5.291088, ' yes': -9.720886}
{' Yes': -0.048645027, 'Yes': -3.63624, ' No': -3.9468496, 'No': -6.5300922, ' yes': -8.483778}
{' Yes': -0.03227406, 'Yes': -3.7510467, ' No': -4.882236, 'No': -7.654264, ' yes': -9.019931}
{' Yes': -0.02386095, 'Yes': -4.4471607, ' No': -4.5189743, 'No': -7.7728114, ' yes': -7.8410964}
{' Yes': -0.12621759, ' No': -2.2621067, 'Yes': -4.5332036, 'No': -5.7656517, ' yes': -8.161518}
{' Yes': -0.034937024, ' No': -3.4159222, 'Yes': -6.71188, ' yes': -8.66647, 'No': -9.752031}
{' Yes': -0.006711888, ' No': -5.2296443, 'Yes': -6.7403483, ' yes': -9.165009, ' ': -10.628963}
{' Yes': -0.5964844, ' No': -0.82692844, 'No': -5.0922575, 'Yes': -5.222196, ' ': -8.785853}
{' Yes': -0.082240194, ' No': -2.6474009, 'Yes': -4.962397, 'No': -7.156405, ' ': -8.711758}
{' Yes': -0.14251952, ' No': -2.1163354, 'Yes': -4.605143, 'No': -6.2623277, ' ': -8.675969}
{' Yes': -0.04642116, ' No': -3.3601131, 'Yes': -4.641634, 'No': -7.7386394, ' ': -8.190697}
{' Yes': -0.16623761, ' No': -1.8917395, 'Yes': -6.3055825, 'No': -7.883635, ' yes': -9.40868}
{' Yes': -0.13551532, ' No': -2.0832539, 'Yes': -6.3839664, 'No': -8.196619, ' ': -8.866949}
{' Yes': -0.047024537, ' No': -3.3794408, 'Yes': -4.5516515, 'No': -7.4077625, ' ': -7.973278}
{' Yes': -0.053356312, ' No': -3.136072, 'Yes': -4.902933, ' ': -7.74251, 'No': -7.752939}
{' Yes': -0.03803977, ' No': -3.505035, 'Yes': -5.1174827, ' yes': -7.629594, 'No': -8.022651}
{' Yes': -0.012628719, 'Yes': -5.00604, ' No': -5.322796, ' yes': -7.5553265, ' ': -8.345205}
{' Yes': -0.55654854, ' No': -0.9055934, 'No': -4.3706675, 'Yes': -4.6927047, ' yes': -7.5922713}
{' No': -0.5622117, ' Yes': -0.9067226, 'No': -3.9824994, 'Yes': -4.9998736, ' yes': -7.5881834}
{' No': -0.443661, ' Yes': -1.1989502, 'No': -3.089964, 'Yes': -4.504545, ' yes': -8.892111}
{' No': -0.3151226, ' Yes': -1.570999, 'No': -2.952797, 'Yes': -4.613266, ' yes': -8.81885}
{' Yes': -0.24741754, ' No': -2.1230698, 'Yes': -2.5823653, 'No': -3.81287, ' yes': -6.860225}
{' Yes': -0.079875536, 'Yes': -2.7248454, ' No': -4.7682567, 'No': -6.628125, ' yes': -6.8823423}
{' No': -0.3257764, ' Yes': -1.360166, 'No': -4.066646, 'Yes': -5.5147886, ' yes': -8.918431}
{' Yes': -0.053657327, ' No': -3.2103074, 'Yes': -4.5549808, 'No': -7.1306486, ' yes': -7.63471}
{' Yes': -0.08926392, 'Yes': -2.7954464, ' No': -3.8900087, 'No': -5.7642474, ' yes': -7.673242}
{' Yes': -0.038379624, 'Yes': -3.3977547, ' No': -5.7222, ' yes': -7.6640735, 'No': -8.175529}
{' Yes': -0.05020836, 'Yes': -3.3354733, ' No': -4.587066, ' yes': -6.3018603, 'No': -6.8342447}
{' Yes': -0.048192758, 'Yes': -3.2585177, ' No': -5.276468, ' yes': -6.08695, 'No': -7.2255225}
{' Yes': -0.10874938, ' No': -2.305727, 'Yes': -6.3019137, ' yes': -6.966507, 'No': -8.1780405}
{' Yes': -0.007172537, ' No': -5.441407, 'Yes': -6.3718424, ' yes': -6.9802637, ' ': -8.988737}
{' Yes': -0.59611744, ' No': -0.8372711, 'No': -4.8157177, 'Yes': -4.9549026, ' ': -7.650422}
{' Yes': -0.053981513, ' No': -3.2344875, 'Yes': -4.470016, 'No': -7.1951284, ' yes': -7.420682}
{' Yes': -0.020669626, ' No': -4.587522, 'Yes': -4.657947, ' yes': -8.093554, ' ': -8.440112}
{' Yes': -0.017241528, 'Yes': -4.4871817, ' No': -5.2768908, ' yes': -8.070873, ' ': -8.280647}
{' Yes': -0.23362754, ' No': -1.5925655, 'Yes': -5.7503605, 'No': -6.910755, ' yes': -7.6598873}
{' Yes': -0.06442045, ' No': -2.841724, 'Yes': -5.8103323, ' yes': -7.6703925, ' ': -8.051036}
{' Yes': -0.07007002, ' No': -2.9312358, 'Yes': -4.427921, 'No': -6.7848735, ' ': -7.3750362}
{' Yes': -0.021479798, 'Yes': -4.3491125, ' No': -4.944213, ' ': -7.4932127, ' yes': -8.107078}
{' Yes': -0.09414156, ' No': -2.5740666, 'Yes': -4.836245, ' yes': -5.7912755, 'No': -6.8429985}
{' Yes': -0.074089095, ' No': -2.989082, 'Yes': -4.3981876, ' yes': -5.291649, ' ': -6.3601513}
{' Yes': -0.029614646, ' No': -3.616679, 'Yes': -6.2513285, ' yes': -8.901937, ' ': -9.258237}
{' Yes': -0.020531813, ' No': -3.9765766, 'Yes': -6.648948, ' ': -9.049033, ' yes': -9.323537}
{' Yes': -0.19509993, ' No': -1.7973166, 'Yes': -4.8153257, 'No': -5.909983, ' ': -7.831635}
{' Yes': -0.5166614, ' No': -0.93574977, 'Yes': -5.1701493, 'No': -5.3802094, ' ': -7.2077165}
{' Yes': -0.042195506, ' No': -3.474101, 'Yes': -4.7115607, 'No': -7.6522813, ' ': -7.9581475}
{' Yes': -0.0689954, ' No': -2.9220111, 'Yes': -4.5237055, 'No': -7.129971, ' ': -7.412409}
{' Yes': -0.26192844, ' No': -1.4781568, 'Yes': -6.503511, 'No': -7.59822, ' ': -8.328631}
{' Yes': -0.28970417, ' No': -1.3943679, 'Yes': -6.3046823, ' ': -7.1049047, 'No': -7.2938004}
{' Yes': -0.019937813, 'Yes': -4.454621, ' No': -4.964018, ' ': -7.7698917, '\n': -7.8887787}
{' Yes': -0.012134412, 'Yes': -4.776155, ' No': -5.827874, ' ': -7.794191, '\n': -8.960556}
{' Yes': -0.010077979, ' No': -5.0412326, 'Yes': -5.7604585, ' yes': -8.551654, ' ': -9.175488}
{' Yes': -0.04959771, ' No': -3.1218138, 'Yes': -5.698235, ' ': -7.8911657, 'No': -8.330289}
{' Yes': -0.0067759757, 'Yes': -5.0171385, ' yes': -9.271233, ' YES': -11.249657, ' ': -11.430331}
{' Yes': -0.0070276293, 'Yes': -4.976691, ' yes': -9.44924, ' YES': -11.450882, ' ': -11.544413}
{' Yes': -0.021428218, 'Yes': -3.873805, ' yes': -8.076909, ' YES': -10.143344, ' ': -10.481488}
{' Yes': -0.028226348, 'Yes': -3.5929253, ' yes': -8.34739, ' YES': -10.290974, 'yes': -10.810588}
{' Yes': -0.01858509, 'Yes': -4.008312, ' yes': -8.663025, ' YES': -10.24951, ' ': -11.041943}
{' Yes': -0.03349367, 'Yes': -3.4218583, ' yes': -8.5172825, ' YES': -10.26201, ' ': -10.379253}
{' Yes': -0.009126901, 'Yes': -4.7186, ' yes': -9.112722, ' YES': -10.639002, ' ': -11.318331}
{' Yes': -0.011140745, 'Yes': -4.5132194, ' yes': -9.335821, ' YES': -11.122937, ' ': -11.927695}
{' Yes': -0.027464977, 'Yes': -3.6181152, ' yes': -8.592153, ' ': -10.63191, ' YES': -10.690413}
{' Yes': -0.028060025, 'Yes': -3.5931711, ' yes': -9.159621, ' ': -10.810332, ' YES': -11.004071}
{' Yes': -0.012361346, 'Yes': -4.430954, ' yes': -8.098833, ' ': -10.233614, ' YES': -10.627207}
{' Yes': -0.016507074, 'Yes': -4.133935, ' yes': -8.2314205, ' ': -10.119015, ' YES': -10.444758}
{' Yes': -0.0010528873, 'Yes': -7.0409064, ' yes': -8.870956, ' YES': -11.084416, ' ': -11.758366}
{' Yes': -0.001330022, 'Yes': -6.754765, ' yes': -8.915548, ' YES': -11.075336, ' ': -11.631742}
{' Yes': -0.00873822, 'Yes': -4.7814717, ' yes': -8.384669, ' YES': -10.349216, ' ': -10.4693575}
{' Yes': -0.009524458, 'Yes': -4.689496, ' yes': -8.471082, ' ': -10.3692045, ' YES': -10.450919}
{' Yes': -0.0110733025, 'Yes': -4.5485945, ' yes': -8.425214, ' ': -9.372901, '\n': -9.55729}
{' Yes': -0.010542959, 'Yes': -4.588004, ' yes': -8.571837, ' ': -9.743712, ' YES': -10.427691}
{' Yes': -0.0017975777, 'Yes': -6.400246, ' yes': -9.127168, ' YES': -11.147719, ' ': -12.03858}
{' Yes': -0.0020897898, 'Yes': -6.2402143, ' yes': -9.224097, ' YES': -10.871209, ' ': -11.106097}
{' Yes': -0.01225973, 'Yes': -4.4487066, ' yes': -8.578876, ' ': -8.744233, '\n': -9.238498}
{' Yes': -0.007881111, 'Yes': -4.87425, ' yes': -9.2976265, ' ': -9.477152, '\n': -10.912378}
{' Yes': -0.006463674, 'Yes': -5.152475, ' yes': -7.758506, '\n': -9.065726, ' ': -9.611862}
{' Yes': -0.009118901, 'Yes': -4.796951, ' yes': -7.3972945, ' ': -9.33637, '\n': -9.926215}
{' Yes': -0.017028157, 'Yes': -4.117959, ' yes': -7.5756135, ' YES': -10.150689, 'yes': -10.541908}
{' Yes': -0.023733255, 'Yes': -3.8196352, ' yes': -6.6373596, ' YES': -9.319572, 'yes': -9.742292}
{' Yes': -0.031982563, 'Yes': -3.469862, ' yes': -8.1392975, 'yes': -10.301738, ' YES': -10.780661}
{' Yes': -0.050652757, 'Yes': -3.019996, ' yes': -7.641647, 'yes': -9.909442, ' YES': -10.019193}
{' Yes': -0.07003678, 'Yes': -2.711209, ' yes': -7.1344166, ' YES': -9.069008, 'yes': -9.250605}
{' Yes': -0.07937164, 'Yes': -2.5907013, ' yes': -6.931218, 'yes': -8.976899, ' ': -9.168394}
{' Yes': -0.013552203, 'Yes': -4.3432736, ' yes': -7.8365746, ' YES': -10.485985, 'yes': -10.866892}
{' Yes': -0.014356084, 'Yes': -4.299543, ' yes': -7.4314203, ' YES': -10.258346, 'yes': -10.445397}
{' Yes': -0.077455625, 'Yes': -2.6034946, ' yes': -8.041236, 'yes': -9.451092, ' ': -9.675581}
{' Yes': -0.05087036, 'Yes': -3.0130131, ' yes': -8.081449, ' ': -9.818213, 'yes': -9.907817}
{' Yes': -0.040869158, 'Yes': -3.2485542, ' yes': -6.8611913, 'yes': -9.487606, ' ': -10.082506}
{' Yes': -0.052563373, 'Yes': -3.0182102, ' yes': -6.24507, 'yes': -8.876525, ' ': -9.1064415}
{' Yes': -0.0034766041, 'Yes': -6.031083, ' yes': -6.966697, ' ': -9.8331175, ' YES': -10.532218}
{' Yes': -0.0034121282, 'Yes': -6.09592, ' yes': -6.8328714, ' ': -10.324864, ' YES': -10.754333}
{' Yes': -0.013826417, 'Yes': -4.370186, ' yes': -7.046774, ' ': -9.205318, ' YES': -9.943934}
{' Yes': -0.016829256, 'Yes': -4.16544, ' yes': -6.9253864, ' ': -9.460449, 'yes': -9.869354}
{' Yes': -0.010168116, 'Yes': -4.6405735, ' yes': -8.140572, ' ': -9.311792, '\n': -10.048222}
{' Yes': -0.018473791, 'Yes': -4.0313044, ' yes': -7.8864675, ' ': -9.247558, '\n': -10.374181}
{' Yes': -0.0041315877, 'Yes': -5.654854, ' yes': -7.4915237, ' ': -10.725609, ' YES': -10.938019}
{' Yes': -0.0054714885, 'Yes': -5.373229, ' yes': -7.2452536, ' ': -9.9277525, ' YES': -10.635423}
{' Yes': -0.012994098, 'Yes': -4.399913, ' yes': -7.9947824, ' ': -8.63222, '\n': -9.565455}
{' Yes': -0.016228918, 'Yes': -4.1612844, ' yes': -8.35406, ' ': -8.656061, '\n': -9.794693}
{' Yes': -0.014733647, 'Yes': -4.5127745, ' yes': -5.770934, '\n': -8.402406, ' ': -8.57093}
{' Yes': -0.027935717, 'Yes': -3.8658164, ' yes': -5.131806, ' ': -8.264357, '\n': -8.616747}
{' Yes': -0.0021718643, 'Yes': -6.263951, ' yes': -8.896443, '\n': -9.946017, ' ': -9.971511}
{' Yes': -0.0019062002, 'Yes': -6.358177, ' yes': -9.190338, ' ': -10.311405, '\n': -10.848465}
{' Yes': -0.011148401, 'Yes': -4.539833, ' yes': -8.580935, ' ': -9.133619, '\n': -9.795401}
{' Yes': -0.010117841, 'Yes': -4.6270475, ' yes': -8.771543, ' ': -9.509745, ' YES': -10.590127}
{' Yes': -0.010407616, 'Yes': -4.6244097, '\n': -8.493571, ' ': -8.738889, ' yes': -8.842087}
{' Yes': -0.0141984625, 'Yes': -4.2892056, ' yes': -8.896542, '\n': -9.034517, ' ': -9.236149}
{' Yes': -0.0017828278, 'Yes': -6.421447, ' yes': -9.388889, ' ': -10.132035, ' YES': -11.013612}
{' Yes': -0.0030660718, 'Yes': -5.865935, ' yes': -9.062457, ' ': -9.630553, ' YES': -10.618836}
{' Yes': -0.014681023, 'Yes': -4.277584, '\n': -8.212572, ' ': -8.262729, ' yes': -8.865282}
{' Yes': -0.009876361, 'Yes': -4.6539917, ' ': -8.81668, ' yes': -9.461086, '\n': -9.678446}
{' Yes': -0.002675495, 'Yes': -6.0111628, ' yes': -8.999309, ' ': -9.930308, '\n': -10.2448}
{' Yes': -0.004515193, 'Yes': -5.465622, ' yes': -8.644842, ' ': -9.896151, '\n': -10.362976}
{' Yes': -0.064051166, ' No': -2.8642027, 'Yes': -5.4338975, 'No': -7.5568566, ' yes': -9.710371}
{' Yes': -0.052306715, ' No': -3.1053803, 'Yes': -5.195714, 'No': -7.591659, ' yes': -9.772092}
{' Yes': -0.027340986, 'Yes': -4.0289526, ' No': -4.7677317, 'No': -7.795422, ' yes': -8.635756}
{' Yes': -0.030446408, 'Yes': -3.9535668, ' No': -4.6055217, 'No': -7.657059, ' yes': -8.445712}
{' Yes': -0.028309302, 'Yes': -3.7889216, ' No': -5.3409066, 'No': -8.282061, ' yes': -8.748394}
{' Yes': -0.0805262, ' No': -3.2193239, 'Yes': -3.3732333, 'No': -5.9052277, ' yes': -8.576578}
{' Yes': -0.0695594, ' No': -2.7972243, 'Yes': -5.2619457, 'No': -6.9924083, ' yes': -9.864429}
{' Yes': -0.018783852, 'Yes': -4.6554794, ' No': -4.7326565, 'No': -8.567657, ' yes': -9.649634}
{' Yes': -0.05310354, 'Yes': -3.6149797, ' No': -3.7821245, 'No': -6.3629117, ' yes': -8.965597}
{' Yes': -0.04296732, 'Yes': -3.6494186, ' No': -4.2243466, 'No': -6.7752376, ' yes': -8.869083}
{' Yes': -0.031333163, ' No': -4.1103315, 'Yes': -4.317764, 'No': -7.1666574, ' yes': -8.432031}
{' Yes': -0.11309386, ' No': -2.4223914, 'Yes': -4.3088393, 'No': -5.485801, ' yes': -8.035722}
{' Yes': -0.001252434, 'Yes': -7.0118775, ' No': -8.3108, ' yes': -9.438983, ' ': -11.199755}
{' Yes': -0.0011544465, 'Yes': -6.8883133, ' yes': -9.4478035, ' No': -10.214924, ' ': -11.442226}
{' Yes': -0.009701207, 'Yes': -4.8921623, ' No': -6.288662, ' yes': -8.74251, ' ': -9.582705}
{' Yes': -0.005882825, 'Yes': -5.2060146, ' No': -8.41226, ' yes': -9.153946, ' ': -10.200616}
{' Yes': -0.020128334, ' No': -4.5767784, 'Yes': -4.701849, ' ': -8.512412, 'No': -8.828977}
{' Yes': -0.011471576, 'Yes': -4.6949525, ' No': -6.2790227, ' ': -8.656265, ' yes': -8.947891}
{' Yes': -0.066158436, ' No': -2.7805803, 'Yes': -6.363773, 'No': -8.78134, ' yes': -9.6439085}
{' Yes': -0.0026632429, 'Yes': -6.497036, ' No': -6.8619227, ' yes': -9.707201, ' ': -10.383274}
{' Yes': -0.13534647, ' No': -2.165351, 'Yes': -4.722062, 'No': -6.474657, ' ': -6.8904366}
{' Yes': -0.015819483, 'Yes': -4.645881, ' No': -5.255234, ' ': -7.5605145, '\n': -8.936902}
{' Yes': -0.012638556, ' No': -5.0097713, 'Yes': -5.2873654, ' yes': -7.973717, ' ': -8.312157}
{' Yes': -0.0064974483, 'Yes': -5.1734033, ' yes': -7.8920293, ' No': -8.526141, ' ': -8.848859}
{' Yes': -0.055038337, ' No': -3.4553905, 'Yes': -3.9248009, 'No': -6.466115, ' yes': -7.692922}
{' Yes': -0.025587218, 'Yes': -4.363819, ' No': -4.5385303, ' yes': -6.6322646, 'No': -7.8337245}
{' Yes': -0.034932148, 'Yes': -3.5698195, ' No': -5.204734, 'No': -7.9437075, ' yes': -8.325423}
{' Yes': -0.037164908, 'Yes': -3.360672, ' No': -6.9409585, ' yes': -7.3568444, 'No': -9.356932}
{' Yes': -0.09003146, 'Yes': -2.6071327, ' No': -4.6527014, 'No': -6.5603485, ' yes': -7.1877694}
{' Yes': -0.06202312, 'Yes': -2.8427713, ' yes': -7.108257, ' No': -7.2043095, 'No': -9.212889}
{' Yes': -0.5483277, ' No': -0.9094212, 'No': -4.618396, 'Yes': -4.7029257, ' ': -8.431559}
{' Yes': -0.012421393, 'Yes': -4.788588, ' No': -5.6599293, ' yes': -7.7641525, 'No': -9.702515}
{' Yes': -0.09723308, 'Yes': -2.5002654, ' No': -4.821947, 'No': -6.432256, ' yes': -7.537576}
{' Yes': -0.042558793, 'Yes': -3.1908607, ' yes': -7.8839736, ' No': -10.023886, 'yes': -10.040888}
{' Yes': -0.06992944, 'Yes': -2.8085806, ' No': -5.3112183, ' yes': -6.789964, 'No': -7.1055202}
{' Yes': -0.04602945, 'Yes': -3.2276871, ' No': -5.9751654, ' yes': -6.1498027, 'No': -7.957755}
{' Yes': -0.00294465, 'Yes': -6.276273, ' yes': -7.1008677, ' No': -8.925172, ' ': -9.595778}
{' Yes': -0.003028766, 'Yes': -6.2242274, ' yes': -7.029092, ' ': -9.631789, ' No': -9.662858}
{' Yes': -0.012873273, 'Yes': -4.5174317, ' No': -6.7843666, ' yes': -7.5931416, ' ': -8.815149}
{' Yes': -0.013206734, 'Yes': -4.427038, ' yes': -7.293102, ' No': -8.099023, ' ': -8.97312}
{' Yes': -0.016994871, 'Yes': -4.6331215, ' No': -5.071198, ' ': -7.8390713, ' yes': -8.249706}
{' Yes': -0.012198366, 'Yes': -4.557862, ' No': -6.8038163, ' yes': -8.236825, ' ': -8.567636}
{' Yes': -0.016361412, ' No': -4.3419456, 'Yes': -5.922472, ' yes': -8.106865, ' ': -8.877277}
{' Yes': -0.010994052, ' No': -4.8863945, 'Yes': -5.9296603, ' yes': -7.6492023, ' ': -8.619978}
{' Yes': -0.06426852, ' No': -3.0208912, 'Yes': -4.5872006, ' ': -6.4083095, 'No': -7.2106667}
{' Yes': -0.01939941, 'Yes': -4.0688834, ' ': -7.103696, ' yes': -7.6464458, ' No': -7.675497}
