{' No': -7.8954477, ' ': -11.721575, ' Yes': -0.0019776858, ' yes': -10.208998, 'Yes': -6.4668174}
{' No': -0.015518918, ' ': -8.426247, 'No': -4.708073, ' Yes': -5.105363, 'Yes': -9.762558}
{' No': -0.19900447, ' ': -7.0274134, 'No': -4.7452135, ' Yes': -1.7769749, 'Yes': -6.4713798}
{' No': -0.011199091, ' ': -7.9828663, 'No': -5.511531, ' Yes': -5.0108786, 'Yes': -10.258587}
{' No': -0.040066082, ' ': -6.9967446, 'No': -4.5189595, ' Yes': -3.613394, 'Yes': -8.08931}
{' No': -0.043059725, '\n': -7.4775286, ' ': -6.3748345, 'No': -4.3377047, ' Yes': -3.6493883}
{' No': -0.044615563, ' ': -8.561093, 'No': -7.02204, ' Yes': -3.1591, 'Yes': -9.939906}
{' No': -0.013582049, ' ': -8.67517, 'No': -5.22236, ' Yes': -4.84535, 'Yes': -10.063384}
{' No': -0.27985412, ' ': -6.865862, 'No': -5.013069, ' Yes': -1.4504875, 'Yes': -6.428171}
{' No': -0.015063063, ' ': -8.693664, 'No': -6.861976, ' Yes': -4.2901354, 'Yes': -10.815707}
{' No': -0.6650852, ' ': -6.6106186, 'No': -5.4976506, ' Yes': -0.7412304, 'Yes': -5.7223077}
{' No': -0.47498065, ' ': -7.2907004, 'No': -6.6042223, ' Yes': -0.98037285, 'Yes': -7.287013}
{' YES': -11.997132, ' ': -12.021224, ' Yes': -0.004393055, ' yes': -9.721151, 'Yes': -5.4476337}
{' YES': -11.201804, ' Yes': -0.017723804, ' yes': -8.904101, 'Yes': -4.051972, 'yes': -11.049098}
{' YES': -11.151568, ' Yes': -0.022091957, ' yes': -9.057115, 'Yes': -3.83109, 'yes': -10.948432}
{' YES': -12.072845, ' Yes': -0.006383169, ' yes': -9.8137865, 'Yes': -5.068488, 'yes': -12.198569}
{' ': -11.151316, ' Yes': -0.018591281, ' yes': -9.364788, 'Yes': -4.0014668, 'yes': -10.798042}
{' ': -10.959426, ' Yes': -0.00950803, ' yes': -8.76028, 'Yes': -4.6812477, 'yes': -11.335279}
{' YES': -11.711635, ' ': -11.207598, ' Yes': -0.0012748161, ' yes': -8.929771, 'Yes': -6.8011093}
{' ': -10.515209, ' Yes': -0.008250045, ' yes': -8.865665, 'Yes': -4.8259172, 'yes': -11.238393}
{'\n': -10.379453, ' ': -10.062595, ' Yes': -0.00741384, ' yes': -8.822744, 'Yes': -4.941992}
{' YES': -12.090371, ' ': -11.68404, ' Yes': -0.0013954965, ' yes': -9.645009, 'Yes': -6.6362715}
{'\n': -10.571824, ' ': -9.461726, ' Yes': -0.008805084, ' yes': -9.221325, 'Yes': -4.7630258}
{'\n': -9.849048, ' ': -9.300855, ' Yes': -0.009747732, ' yes': -7.4192457, 'Yes': -4.7232523}
{' ': -11.154512, ' Yes': -0.011124231, ' yes': -7.4200726, 'Yes': -4.5672364, 'yes': -9.984964}
{' YES': -12.467875, ' Yes': -0.018428374, ' yes': -8.945285, 'Yes': -4.011871, 'yes': -10.669248}
{' YES': -11.02599, ' Yes': -0.030074665, ' yes': -7.668084, 'Yes': -3.5388541, 'yes': -9.4613}
{' YES': -11.727198, ' Yes': -0.010909264, ' yes': -8.336263, 'Yes': -4.549815, 'yes': -10.550004}
{' ': -10.776663, ' Yes': -0.027725745, ' yes': -8.1072445, 'Yes': -3.6143095, 'yes': -9.560638}
{' ': -10.370353, ' Yes': -0.024014791, ' yes': -6.535583, 'Yes': -3.8133788, 'yes': -8.88231}
{' ': -9.705459, ' Yes': -0.0036316502, ' yes': -6.8292727, 'Yes': -6.020438, 'yes': -10.65489}
{' ': -9.441294, ' Yes': -0.012962334, ' yes': -6.964319, 'Yes': -4.4443226, 'yes': -9.456245}
{' ': -9.498672, ' Yes': -0.011624792, ' yes': -8.198598, 'Yes': -4.4979696, 'yes': -10.328887}
{' ': -9.642828, ' Yes': -0.006359595, ' yes': -7.16975, 'Yes': -5.218138, 'yes': -9.82229}
{' ': -8.92094, ' Yes': -0.014480835, ' yes': -8.256573, 'Yes': -4.278324, 'yes': -9.725229}
{'\n': -7.886728, ' ': -7.978185, ' Yes': -0.022952555, ' yes': -4.9987025, 'Yes': -4.2079177}
{'\n': -11.413656, ' ': -10.634707, ' Yes': -0.0014065988, ' yes': -9.304251, 'Yes': -6.671588}
{' YES': -11.490163, ' ': -10.251356, ' Yes': -0.0056098225, ' yes': -9.227959, 'Yes': -5.214577}
{'\n': -10.029858, ' ': -9.7234, ' Yes': -0.0075531024, ' yes': -9.301443, 'Yes': -4.918751}
{' YES': -12.02612, ' ': -10.874128, ' Yes': -0.0012646694, ' yes': -9.741053, 'Yes': -6.7460747}
{'\n': -10.510859, ' ': -9.461599, ' Yes': -0.008962461, ' yes': -9.655167, 'Yes': -4.7401786}
{'\n': -10.869363, ' ': -10.227148, ' Yes': -0.0023239567, ' yes': -9.520079, 'Yes': -6.125483}
{' No': -10.998465, ' ': -11.923007, ' Yes': -0.0023320834, ' yes': -10.088172, 'Yes': -6.0924444}
{' No': -9.322129, ' ': -10.560479, ' Yes': -0.014920635, ' yes': -8.777669, 'Yes': -4.2327323}
{' No': -10.148871, ' ': -10.227836, ' Yes': -0.022292698, ' yes': -8.815721, 'Yes': -3.8263602}
{' No': -11.686762, ' ': -12.06049, ' Yes': -0.003740711, ' yes': -10.120399, 'Yes': -5.6064224}
{' No': -8.868161, ' ': -10.21449, ' Yes': -0.018864695, ' yes': -9.208356, 'Yes': -3.9966726}
{' No': -9.9688, ' ': -10.2403965, ' Yes': -0.00892854, ' yes': -8.619252, 'Yes': -4.755205}
{' YES': -12.643292, ' ': -11.323074, ' Yes': -0.000767239, ' yes': -9.484201, 'Yes': -7.305718}
{' ': -10.373203, ' Yes': -0.005766518, ' yes': -8.960552, 'Yes': -5.190434, 'yes': -11.726612}
{'\n': -11.419813, ' ': -9.857047, ' Yes': -0.0068293866, ' yes': -8.880294, 'Yes': -5.0232725}
{' No': -12.636501, ' ': -11.25996, ' Yes': -0.001129683, ' yes': -9.766061, 'Yes': -6.858942}
{'\n': -10.7769575, ' ': -9.079133, ' Yes': -0.007672681, ' yes': -9.088557, 'Yes': -4.9102645}
{'\n': -10.036151, ' ': -9.219041, ' Yes': -0.0070814127, ' yes': -7.405665, 'Yes': -5.0747614}
{' No': -8.2469225, ' Yes': -0.01082129, ' yes': -7.2178984, 'Yes': -4.637862, 'yes': -10.220816}
{' No': -10.244403, ' Yes': -0.012259127, ' yes': -9.09435, 'Yes': -4.421433, 'yes': -11.302498}
{' ': -11.014964, ' Yes': -0.020340059, ' yes': -7.642946, 'Yes': -3.9331973, 'yes': -10.104291}
{' No': -9.941977, ' Yes': -0.0066115037, ' yes': -8.252558, 'Yes': -5.0748124, 'yes': -11.105711}
{' ': -10.001417, ' Yes': -0.03178596, ' yes': -7.6707644, 'Yes': -3.4842987, 'yes': -9.462175}
{' ': -9.933119, ' Yes': -0.020281542, ' yes': -6.274861, 'Yes': -4.0167737, 'yes': -9.230425}
{' ': -10.003218, ' Yes': -0.002206569, ' yes': -7.2065654, 'Yes': -6.576685, 'yes': -11.295203}
{' ': -9.174772, ' Yes': -0.010674224, ' yes': -7.2072186, 'Yes': -4.6356244, 'yes': -9.935171}
{' ': -8.972901, ' Yes': -0.0091894, ' yes': -8.342555, 'Yes': -4.74032, 'yes': -10.896909}
{' ': -8.846791, ' Yes': -0.0042122114, ' yes': -7.4516535, 'Yes': -5.6817727, 'yes': -10.390626}
{'\n': -9.394343, ' ': -8.110013, ' Yes': -0.011561597, ' yes': -7.601806, 'Yes': -4.5542154}
{'\n': -8.478613, ' ': -7.5252585, ' Yes': -0.017523188, ' yes': -5.1649914, 'Yes': -4.5422177}
{'\n': -11.98586, ' ': -10.579685, ' Yes': -0.0008991363, ' yes': -9.623213, 'Yes': -7.1380486}
{' No': -10.897481, ' ': -9.609445, ' Yes': -0.005544309, ' yes': -9.24873, 'Yes': -5.2345157}
{'\n': -9.627861, ' ': -8.752022, ' Yes': -0.007103323, ' yes': -9.230879, 'Yes': -5.002846}
{' No': -9.380285, ' ': -9.644485, ' Yes': -0.0012789923, ' yes': -9.591988, 'Yes': -6.85772}
{'\n': -8.81514, ' ': -8.1022005, ' Yes': -0.006433857, ' yes': -9.393072, 'Yes': -5.1502023}
{'\n': -10.766555, ' ': -9.768617, ' Yes': -0.0016456216, ' yes': -9.336581, 'Yes': -6.5211234}
{' No': -0.005893737, '\n': -13.40413, ' ': -10.346482, 'No': -5.1432223, ' NO': -13.454218}
{' No': -0.031926684, ' ': -9.752839, 'No': -3.462566, ' no': -12.540471, ' NO': -11.855986}
{' No': -0.045200333, ' ': -9.116401, 'No': -3.1220202, ' no': -12.946631, ' NO': -11.895635}
{' No': -0.008887469, ' ': -10.778436, 'No': -4.730319, ' no': -13.7005625, ' NO': -13.535593}
{' No': -0.040203575, '\n': -12.118977, ' ': -9.2549095, 'No': -3.2367654, ' NO': -12.391389}
{' No': -0.020787314, ' ': -9.291049, 'No': -3.889184, ' no': -12.04505, ' NO': -12.572881}
{' No': -0.0018378834, '\n': -11.763086, ' ': -9.938535, 'No': -6.3344355, ' no': -12.764635}
{' No': -0.010133432, '\n': -11.851341, ' ': -9.306481, 'No': -4.6076064, ' no': -12.782388}
{' No': -0.0101378895, '\n': -10.114265, ' ': -8.911602, 'No': -4.6151676, ' no': -12.628779}
{' No': -0.002332443, '\n': -12.522841, ' ': -9.979224, 'No': -6.0855265, ' NO': -13.190141}
{' No': -0.011290053, '\n': -9.974264, ' ': -8.4315815, 'No': -4.5143795, ' NO': -12.530005}
{' No': -0.012626787, '\n': -9.059672, ' ': -8.458545, 'No': -4.4077663, ' no': -10.7945175}
{' No': -0.02146208, ' ': -9.212806, 'No': -3.8597739, ' no': -10.293264, ' NO': -11.490991}
{' No': -0.024280462, ' ': -10.915267, 'No': -3.7313325, 'no': -13.082964, ' no': -12.547042}
{' No': -0.045168534, ' ': -9.359291, 'No': -3.1227326, 'no': -11.782048, ' no': -11.213463}
{' No': -0.0111444825, ' ': -10.174008, 'No': -4.5078545, ' no': -11.261521, ' NO': -12.354543}
{' No': -0.08138155, '\n': -10.765812, ' ': -8.683184, 'No': -2.5522676, ' no': -10.885622}
{' No': -0.05846664, '\n': -10.022952, ' ': -8.298622, 'No': -2.877349, ' no': -9.048106}
{' No': -0.0027846307, '\n': -10.464843, ' ': -8.61023, 'No': -5.9764357, ' no': -10.644255}
{' No': -0.016844228, '\n': -10.901545, ' ': -8.365316, 'No': -4.1094112, ' no': -10.799958}
{' No': -0.017929679, '\n': -9.380484, ' ': -7.9599133, 'No': -4.0560117, ' no': -11.984646}
{' No': -0.0072600106, '\n': -10.67697, ' ': -8.182907, 'No': -4.976378, ' no': -10.812366}
{' No': -0.018170012, '\n': -8.753802, ' ': -7.64556, 'No': -4.055203, ' no': -10.835392}
{' No': -0.020253016, '\n': -7.8783784, ' ': -7.20983, 'No': -3.9823291, ' no': -8.329424}
{' No': -0.0015662182, '\n': -10.695524, ' ': -9.219084, 'No': -6.544897, ' NO': -12.929042}
{' No': -0.008162185, '\n': -10.917843, ' ': -8.784431, 'No': -4.834496, ' NO': -12.731409}
{' No': -0.010572656, '\n': -8.821703, ' ': -8.097954, 'No': -4.5999317, ' NO': -12.700798}
{' No': -0.0025874036, '\n': -11.236209, ' ': -8.8192625, 'No': -6.0260744, ' NO': -12.56996}
{' No': -0.008920541, '\n': -8.669619, ' ': -7.834747, 'No': -4.7914467, ' no': -12.509392}
{' No': -0.003958331, '\n': -10.08606, ' ': -8.489232, 'No': -5.60101, ' no': -12.252269}
{' No': -0.0070883757, ' ': -10.187173, 'No': -4.9797044, ' Yes': -8.839629, ' NO': -13.4767275}
{' No': -0.030397007, ' ': -9.764863, 'No': -3.5227063, ' Yes': -7.9736238, 'Yes': -11.681036}
{' No': -0.03654456, ' ': -9.313052, 'No': -3.3363585, ' Yes': -8.466735, 'Yes': -11.930512}
{' No': -0.009618635, ' ': -10.940156, 'No': -4.656612, ' Yes': -9.843154, ' NO': -13.829184}
{' No': -0.051387653, ' ': -8.957259, 'No': -3.4146192, ' Yes': -4.0904174, 'Yes': -8.053742}
{' No': -0.07151806, ' ': -8.348805, 'No': -3.8508737, ' Yes': -3.0574396, 'Yes': -7.640638}
{' No': -0.0062739383, ' ': -9.497795, 'No': -6.8920627, ' Yes': -5.2695394, 'Yes': -11.813139}
{' No': -0.011015144, ' ': -9.087969, 'No': -4.755487, ' Yes': -6.115715, 'Yes': -10.967213}
{' No': -0.08102771, ' ': -7.880027, 'No': -5.108085, ' Yes': -2.6466806, 'Yes': -7.76197}
{' No': -0.0018437349, '\n': -13.119994, ' ': -9.762557, 'No': -6.5895414, ' Yes': -7.8131704}
{' No': -0.034615558, ' ': -7.512228, 'No': -4.933404, ' Yes': -3.6501513, 'Yes': -8.518414}
{' No': -0.03899479, ' ': -7.592923, 'No': -4.7462206, ' Yes': -3.553149, 'Yes': -8.472573}
{' No': -0.0206347, ' ': -9.399301, 'No': -3.9607325, ' Yes': -6.699988, ' no': -10.602027}
{' No': -0.025137203, ' ': -10.684732, 'No': -3.739456, ' Yes': -6.9024215, 'Yes': -10.714191}
{' No': -0.068309754, ' ': -8.993884, 'No': -3.7272277, ' Yes': -3.1914155, 'Yes': -7.2771373}
{' No': -0.036635015, ' ': -9.962366, 'No': -4.7570786, ' Yes': -3.608601, 'Yes': -8.402058}
{' No': -0.54289865, ' ': -8.13122, 'No': -3.499653, ' Yes': -0.9704843, 'Yes': -4.681252}
{' No': -0.43503192, 'No': -3.5286064, ' Yes': -1.147339, ' yes': -7.6127553, 'Yes': -5.303177}
{' No': -0.0038314164, ' ': -8.135854, 'No': -6.3905897, ' Yes': -6.3311515, ' no': -10.162908}
{' No': -0.015276862, ' ': -8.101076, 'No': -4.2760797, ' Yes': -7.0102124, ' no': -10.525463}
{' No': -0.10605457, ' ': -7.024824, 'No': -4.7686367, ' Yes': -2.4040282, 'Yes': -7.1771884}
{' No': -0.00510615, '\n': -10.718315, ' ': -7.988277, 'No': -5.436812, ' Yes': -7.9673724}
{' No': -0.023605824, '\n': -8.447122, ' ': -6.6881866, 'No': -4.35644, ' Yes': -4.7229385}
{' No': -0.023460833, '\n': -7.646511, ' ': -6.3756604, 'No': -4.283135, ' Yes': -5.0024095}
{' No': -0.0019794758, '\n': -10.938323, ' ': -8.968976, 'No': -7.077169, ' Yes': -6.925187}
{' No': -0.00674213, '\n': -11.302714, ' ': -8.660857, 'No': -5.0842834, ' Yes': -8.009414}
{' No': -0.019371333, '\n': -8.603846, ' ': -7.3504863, 'No': -4.848526, ' Yes': -4.5635877}
{' No': -0.0019302672, '\n': -11.691071, ' ': -8.723778, 'No': -6.688734, ' Yes': -7.5870934}
{' No': -0.018913228, '\n': -8.326317, ' ': -7.122133, 'No': -4.877243, ' Yes': -4.6084995}
{' No': -0.09370373, ' ': -7.1691256, 'No': -5.7970376, ' Yes': -2.461925, 'Yes': -8.323663}
{' YES': -11.740813, ' ': -11.417084, ' Yes': -0.0043479744, ' yes': -9.8748045, 'Yes': -5.457738}
{' YES': -11.040055, ' ': -10.928792, ' Yes': -0.0152007295, ' yes': -8.976352, 'Yes': -4.2057405}
{' YES': -10.801395, ' ': -10.780638, ' Yes': -0.018701864, ' yes': -9.235424, 'Yes': -3.9967499}
{' YES': -12.08139, ' ': -11.857595, ' Yes': -0.005834563, ' yes': -10.073071, 'Yes': -5.157127}
{' ': -10.731487, ' Yes': -0.015882947, ' yes': -9.322826, 'Yes': -4.1595535, 'yes': -10.874935}
{' YES': -11.4186325, ' ': -10.277654, ' Yes': -0.010436405, ' yes': -8.836857, 'Yes': -4.587709}
{' YES': -11.651464, ' ': -10.870192, ' Yes': -0.0015147005, ' yes': -9.054125, 'Yes': -6.601122}
{' YES': -11.348291, ' ': -10.162823, ' Yes': -0.008778266, ' yes': -9.111382, 'Yes': -4.7606454}
{'\n': -9.961788, ' ': -9.499682, ' Yes': -0.006863591, ' yes': -8.962489, 'Yes': -5.026143}
{' YES': -11.995002, ' ': -11.301273, ' Yes': -0.0014135223, ' yes': -9.919342, 'Yes': -6.6145134}
{'\n': -9.674592, ' ': -8.964553, ' Yes': -0.008187603, ' yes': -9.323928, 'Yes': -4.8470774}
{'\n': -9.506077, ' ': -9.101917, ' Yes': -0.009657514, ' yes': -7.620878, 'Yes': -4.7249246}
{' ': -10.557271, ' Yes': -0.014594228, ' yes': -7.5098305, 'Yes': -4.280093, 'yes': -9.960949}
{' YES': -12.339685, ' Yes': -0.02318519, ' yes': -9.277001, 'Yes': -3.7811847, 'yes': -10.789481}
{' ': -10.649357, ' Yes': -0.025696438, ' yes': -8.283012, 'Yes': -3.6876433, 'yes': -10.148733}
{' YES': -11.583829, ' Yes': -0.010569041, ' yes': -8.560165, 'Yes': -4.5771394, 'yes': -10.90304}
{' ': -10.539226, ' Yes': -0.02827595, ' yes': -8.308276, 'Yes': -3.592382, 'yes': -9.767175}
{' ': -10.073047, ' Yes': -0.026004523, ' yes': -6.817485, 'Yes': -3.7133424, 'yes': -9.193531}
{'\n': -10.639653, ' ': -9.418016, ' Yes': -0.0039264336, ' yes': -7.02615, 'Yes': -5.848746}
{' ': -8.909337, ' Yes': -0.016091775, ' yes': -6.852918, 'Yes': -4.2241716, 'yes': -9.376439}
{'\n': -10.294866, ' ': -9.324248, ' Yes': -0.0103411265, ' yes': -8.336026, 'Yes': -4.6162596}
{' ': -9.192619, ' Yes': -0.007348994, ' yes': -7.031568, 'Yes': -5.078651, 'yes': -9.768575}
{'\n': -9.090887, ' ': -8.367513, ' Yes': -0.018703567, ' yes': -7.90768, 'Yes': -4.032549}
{'\n': -7.748352, ' ': -7.849785, ' Yes': -0.023105644, ' yes': -5.0492606, 'Yes': -4.1821}
{'\n': -10.623135, ' ': -10.096615, ' Yes': -0.0013279326, ' yes': -9.737884, 'Yes': -6.736057}
{'\n': -10.994423, ' ': -9.552568, ' Yes': -0.0068246457, ' yes': -9.496798, 'Yes': -5.018141}
{'\n': -9.513376, ' ': -9.380272, ' Yes': -0.006673065, ' yes': -9.476494, 'Yes': -5.0520525}
{' YES': -11.582921, ' ': -10.198138, ' Yes': -0.0015308762, ' yes': -9.795133, 'Yes': -6.558438}
{'\n': -9.785477, ' ': -8.920462, ' Yes': -0.010660911, ' yes': -9.431034, 'Yes': -4.5744405}
{'\n': -10.624243, ' ': -9.812389, ' Yes': -0.0035002897, ' yes': -9.486345, 'Yes': -5.705057}
{' No': -7.533424, ' ': -11.569262, ' Yes': -0.0024833675, ' yes': -10.157329, 'Yes': -6.270475}
{' No': -8.273593, ' ': -10.244176, ' Yes': -0.014640134, ' yes': -8.592324, 'Yes': -4.2671556}
{' No': -7.6692414, ' ': -9.858198, ' Yes': -0.028370377, ' yes': -8.75585, 'Yes': -3.6033938}
{' No': -8.269526, ' ': -11.465135, ' Yes': -0.004874027, ' yes': -9.890387, 'Yes': -5.3957143}
{' No': -7.4426074, ' ': -10.034221, ' Yes': -0.018369058, ' yes': -9.09629, 'Yes': -4.051358}
{' No': -8.639673, ' ': -10.196522, ' Yes': -0.009317297, ' yes': -8.395918, 'Yes': -4.732048}
{' YES': -12.623639, ' ': -11.09709, ' Yes': -0.00078143517, ' yes': -9.281365, 'Yes': -7.3177752}
{' No': -11.279756, ' ': -10.352954, ' Yes': -0.005260552, ' yes': -8.998775, 'Yes': -5.285509}
{'\n': -11.56715, ' ': -9.9949665, ' Yes': -0.006668924, ' yes': -8.850256, 'Yes': -5.0471926}
{' No': -10.604556, ' ': -11.057832, ' Yes': -0.0011860142, ' yes': -9.659768, 'Yes': -6.835071}
{'\n': -10.854216, ' ': -9.154733, ' Yes': -0.007855577, ' yes': -9.008979, 'Yes': -4.88675}
{'\n': -10.16778, ' ': -9.231516, ' Yes': -0.00642426, ' yes': -7.45102, 'Yes': -5.178637}
{' No': -7.483414, ' Yes': -0.011609716, ' yes': -7.364971, 'Yes': -4.580974, 'yes': -10.273484}
{' No': -10.159552, ' Yes': -0.01126389, ' yes': -9.334576, 'Yes': -4.5044775, 'yes': -11.63086}
{' ': -11.009817, ' Yes': -0.019518167, ' yes': -7.698272, 'Yes': -3.9737911, 'yes': -10.191934}
{' No': -7.45108, ' Yes': -0.0075816903, ' yes': -8.295496, 'Yes': -5.0081954, 'yes': -11.219895}
{' ': -10.399827, ' Yes': -0.030836733, ' yes': -7.513331, 'Yes': -3.5171933, 'yes': -9.356075}
{' ': -10.040575, ' Yes': -0.020315727, ' yes': -6.3111405, 'Yes': -4.0112634, 'yes': -9.255859}
{' ': -9.770714, ' Yes': -0.0024499057, ' yes': -6.968995, 'Yes': -6.5546536, 'yes': -11.234146}
{' ': -9.184636, ' Yes': -0.0101424055, ' yes': -7.258733, 'Yes': -4.6873827, 'yes': -10.09172}
{' ': -8.810595, ' Yes': -0.010255913, ' yes': -8.171665, 'Yes': -4.6333637, 'yes': -10.788376}
{' No': -8.970093, ' ': -8.630985, ' Yes': -0.0046830936, ' yes': -7.243124, 'Yes': -5.626953}
{'\n': -8.866889, ' ': -7.850602, ' Yes': -0.010164084, ' yes': -7.535822, 'Yes': -4.7156487}
{' ': -7.712069, ' Yes': -0.017353784, ' yes': -5.0063634, 'Yes': -4.641768, 'yes': -8.537512}
{' No': -11.860643, ' ': -10.478766, ' Yes': -0.0007603211, ' yes': -9.545449, 'Yes': -7.349979}
{' No': -9.564476, ' ': -9.407214, ' Yes': -0.0051144185, ' yes': -9.261702, 'Yes': -5.3313074}
{' No': -8.96466, ' ': -8.545488, ' Yes': -0.0079736905, ' yes': -9.254009, 'Yes': -4.8993955}
{' No': -7.4367676, ' ': -9.219593, ' Yes': -0.0018353153, ' yes': -9.496027, 'Yes': -6.8511696}
{' No': -9.242893, '\n': -9.143126, ' ': -7.9780087, ' Yes': -0.007929471, 'Yes': -4.92701}
{'\n': -10.717989, ' ': -9.641233, ' Yes': -0.0016716531, ' yes': -9.162441, 'Yes': -6.5225453}
{' No': -0.00630393, ' ': -10.473429, 'No': -5.074976, ' no': -13.639459, ' NO': -13.472985}
{' No': -0.03176953, ' ': -9.641831, 'No': -3.4676652, ' no': -12.379375, ' NO': -11.9086485}
{' No': -0.05022703, ' ': -9.082764, 'No': -3.0188813, ' no': -12.779937, ' NO': -11.829526}
{' No': -0.007891501, ' ': -10.9949045, 'No': -4.84846, ' no': -13.704235, ' NO': -13.62761}
{' No': -0.04417901, '\n': -11.660076, ' ': -9.095293, 'No': -3.1447346, ' NO': -12.238655}
{' No': -0.022556394, ' ': -9.09461, 'No': -3.8090513, ' no': -11.662744, ' NO': -12.520258}
{' No': -0.0015370273, '\n': -11.958693, ' ': -9.991109, 'No': -6.5169578, ' no': -12.800339}
{' No': -0.0090809455, '\n': -12.112641, ' ': -9.377192, 'No': -4.716896, ' NO': -12.905469}
{' No': -0.0087589035, '\n': -10.325914, ' ': -9.060846, 'No': -4.760319, ' no': -12.79363}
{' No': -0.0025765868, '\n': -12.66335, ' ': -10.008439, 'No': -5.983102, ' NO': -13.2281885}
{' No': -0.009461155, '\n': -9.84399, ' ': -8.53709, 'No': -4.693085, ' NO': -12.77717}
{' No': -0.010332635, '\n': -9.631463, ' ': -8.635126, 'No': -4.6044335, ' no': -11.016841}
{' No': -0.02204613, ' ': -9.234236, 'No': -3.8327243, ' no': -10.343318, ' NO': -11.519516}
{' No': -0.0217057, ' ': -11.029785, 'No': -3.8421557, ' no': -12.551694, ' NO': -13.223807}
{' No': -0.0501658, ' ': -9.497913, 'No': -3.019673, 'no': -11.768154, ' no': -11.264307}
{' No': -0.012383796, ' ': -10.218373, 'No': -4.402293, ' no': -11.295691, ' NO': -12.265945}
{' No': -0.07510718, ' ': -8.972228, 'No': -2.6287627, 'no': -11.18977, ' no': -10.820065}
{' No': -0.06927727, ' ': -8.60744, 'No': -2.7108731, 'no': -10.209956, ' no': -8.929134}
{' No': -0.0024949007, '\n': -10.814344, ' ': -8.491262, 'No': -6.1028404, ' no': -10.7281885}
{' No': -0.01464449, '\n': -11.379792, ' ': -8.460856, 'No': -4.248325, ' no': -11.02895}
{' No': -0.016380435, '\n': -9.626195, ' ': -8.130663, 'No': -4.1433372, ' no': -11.9005995}
{' No': -0.0069300914, '\n': -11.007371, ' ': -8.306089, 'No': -5.01994, ' no': -10.590021}
{' No': -0.015675964, '\n': -8.340379, ' ': -7.4873877, 'No': -4.2184463, ' no': -10.941326}
{' No': -0.018670468, '\n': -8.476924, ' ': -7.473855, 'No': -4.045276, ' no': -8.612809}
{' No': -0.0015229991, '\n': -10.85905, ' ': -9.238574, 'No': -6.5718904, ' NO': -12.745347}
{' No': -0.007839612, '\n': -11.282804, ' ': -8.964621, 'No': -4.8715096, ' NO': -12.656298}
{' No': -0.008957708, '\n': -9.141057, ' ': -8.3229685, 'No': -4.7609105, ' NO': -12.741748}
{' No': -0.0025139018, '\n': -11.61007, ' ': -9.017374, 'No': -6.0437756, ' NO': -12.519128}
{' No': -0.010663621, '\n': -9.104674, ' ': -7.813709, 'No': -4.5972686, ' NO': -12.456767}
{' No': -0.0034663156, '\n': -10.571371, ' ': -8.795256, 'No': -5.7209473, ' no': -12.630633}
{' No': -0.0046806377, ' ': -10.543738, 'No': -5.4612484, ' Yes': -7.8496966, 'Yes': -13.267759}
{' No': -0.020502854, ' ': -9.701589, 'No': -3.922074, ' Yes': -7.7847333, 'Yes': -11.815126}
{' No': -0.033669714, ' ': -9.361655, 'No': -3.443141, ' Yes': -6.8887186, 'Yes': -10.461125}
{' No': -0.007335484, ' ': -10.958186, 'No': -5.03836, ' Yes': -7.131776, 'Yes': -12.198134}
{' No': -0.041979164, ' ': -9.220499, 'No': -3.550793, ' Yes': -4.4164777, 'Yes': -8.449257}
{' No': -0.13407831, ' ': -8.473954, 'No': -4.151536, ' Yes': -2.2201738, 'Yes': -7.029872}
{' No': -0.108090416, ' ': -9.035965, 'No': -7.346602, ' Yes': -2.2870417, 'Yes': -9.303645}
{' No': -0.019751826, ' ': -8.964028, 'No': -5.138944, ' Yes': -4.3065157, 'Yes': -9.5609045}
{' No': -1.3762034, ' ': -7.687555, 'No': -6.641315, ' Yes': -0.298067, 'Yes': -5.725689}
{' No': -0.0024747648, '\n': -12.883182, ' ': -9.822821, 'No': -6.875099, ' Yes': -6.5880413}
{' No': -0.22287199, ' ': -7.0405464, 'No': -5.238245, ' Yes': -1.6492903, 'Yes': -6.7287407}
{' No': -0.4954951, ' ': -7.143604, 'No': -5.3574657, ' Yes': -0.96131164, 'Yes': -6.127008}
{' No': -0.021255169, ' ': -9.408071, 'No': -4.111364, ' Yes': -5.4128547, 'Yes': -9.819812}
{' No': -0.016538829, ' ': -11.565303, 'No': -4.147907, ' Yes': -7.44959, 'Yes': -11.558941}
{' No': -0.11828489, ' ': -9.398794, 'No': -4.0119276, ' Yes': -2.3891454, 'Yes': -6.443846}
{' No': -0.057456754, ' ': -9.968908, 'No': -4.9405494, ' Yes': -3.0312037, 'Yes': -7.9376025}
{' No': -0.87596834, 'No': -3.9936285, ' Yes': -0.5922768, ' yes': -8.242759, 'Yes': -4.465856}
{' No': -1.0371424, 'No': -4.261103, ' Yes': -0.4766433, ' yes': -6.7631917, 'Yes': -4.70925}
{' No': -0.011478873, ' ': -7.957102, 'No': -6.6660366, ' Yes': -4.636524, ' no': -10.322191}
{' No': -0.012183884, ' ': -8.21565, 'No': -4.8406005, ' Yes': -5.556476, 'Yes': -10.282796}
{' No': -0.48421624, ' ': -6.520833, 'No': -5.466104, ' Yes': -0.9797473, 'Yes': -6.020852}
{' No': -0.006038905, '\n': -10.506884, ' ': -7.8278823, 'No': -5.558111, ' Yes': -6.378792}
