{' Yes': -0.002734724, 'Yes': -5.9330664, ' yes': -10.151877, '\n': -11.201728, ' YES': -11.638396}
{' Yes': -0.002512827, ' Wind': -6.5195265, 'Yes': -7.0768, ' No': -9.709844, ' yes': -10.021647}
{' Yes': -0.0019321182, 'Yes': -6.922563, ' Foot': -7.1842914, ' YES': -9.171849, ' yes': -9.921674}
{' Yes': -0.4169349, ' Foot': -1.0909842, 'Yes': -6.101682, 'Foot': -7.111465, ' Football': -7.841425}
{' Yes': -0.60031587, ' No': -0.96545106, ' Hate': -2.6907928, 'Yes': -7.0008626, ' Nope': -7.357089}
{' Yes': -0.6869278, ' No': -0.87868124, ' Hate': -2.556696, ' Nope': -6.454723, 'Yes': -6.928477}
{' Yes': -0.0022890107, ' No': -6.733621, 'Yes': -6.9789047, ' Slow': -9.76144, ' YES': -10.255389}
{' Yes': -0.0009677451, 'Yes': -7.1068106, ' YES': -9.684861, ' yes': -9.921774, '\n': -11.546781}
{' Yes': -0.0016438306, 'Yes': -7.0873213, ' Ring': -7.389438, ' yes': -9.647222, ' No': -9.801969}
{' Yes': -0.00082253676, 'Yes': -7.3502293, ' Ring': -9.84572, ' yes': -10.126404, ' YES': -10.296596}
{' Yes': -0.0016671148, ' Bear': -7.0760803, 'Yes': -7.242664, ' yes': -9.785543, ' YES': -10.986816}
{' Yes': -0.0012101826, 'Yes': -7.244868, ' Bear': -7.977484, ' yes': -9.580916, ' YES': -9.712662}
{' Yes': -0.0007261411, 'Yes': -7.3988314, ' YES': -9.387265, ' yes': -11.415237, ' No': -11.823232}
{' Yes': -0.0006007101, 'Yes': -7.743505, ' No': -9.196269, ' YES': -9.969799, ' yes': -11.453234}
{' Yes': -0.0012883609, 'Yes': -6.807444, ' yes': -9.202443, ' YES': -10.181737, '\n': -11.248415}
{' Yes': -0.001580606, 'Yes': -6.5914683, ' yes': -9.026898, ' YES': -9.907083, '\n': -11.206366}
{' Yes': -0.002440766, 'Yes': -6.2711325, ' Skin': -7.816258, ' yes': -9.976932, ' YES': -10.10336}
{' Yes': -0.00557074, 'Yes': -5.8921657, ' No': -6.682576, ' Skin': -6.743827, ' Ski': -8.946103}
{' Yes': -0.0015154175, 'Yes': -6.646987, ' So': -8.94947, ' yes': -10.243715, ' YES': -10.807624}
{' Yes': -0.004069102, 'Yes': -5.9831142, ' So': -6.669991, ' yes': -9.136425, ' YES': -9.847304}
{' Yes': -0.0011421539, 'Yes': -6.879475, ' Che': -9.606126, '\n': -11.245292, ' yes': -11.757472}
{' Yes': -0.0034060879, ' Che': -6.0255556, 'Yes': -7.058402, ' YES': -10.20943, '\n': -10.638521}
{' Yes': -0.0058895405, ' No': -5.6688166, ' Male': -6.681308, 'Yes': -6.960475, ' yes': -9.162684}
{' Yes': -0.0034425096, 'Yes': -6.3508525, ' Male': -7.0607543, ' yes': -8.113401, ' YES': -8.625598}
{' Yes': -0.001121924, 'Yes': -7.1753235, ' Done': -8.707874, ' No': -9.140974, ' yes': -10.375177}
{' Yes': -0.00095080055, 'Yes': -7.075661, ' No': -10.334359, ' yes': -10.363326, ' Done': -11.332199}
{' Yes': -0.0015184616, 'Yes': -6.873581, ' Bike': -7.9107594, ' YES': -10.067915, ' yes': -10.249079}
{' Yes': -0.010556028, ' Bike': -4.8483567, 'Yes': -6.6531563, ' No': -7.5406156, ' Bicycle': -8.212649}
{' Yes': -0.019006351, ' Dead': -4.313413, 'Yes': -6.0731435, ' No': -7.206986, ' yes': -7.713793}
{' Yes': -0.004865821, ' Dead': -6.4582405, 'Yes': -6.5235877, ' No': -6.9346423, ' yes': -8.245456}
{' Yes': -0.002350724, 'Yes': -6.155394, ' yes': -9.430834, ' Cave': -9.813917, ' YES': -9.964616}
{' Cave': -0.11363221, ' Yes': -2.2542076, 'Yes': -7.777708, ' C': -7.8840933, ' Cavern': -8.274748}
{' Yes': -0.010494471, ' Moon': -5.1507473, 'Yes': -6.010853, ' No': -6.4098353, ' yes': -8.735189}
{' Yes': -0.021119589, ' No': -4.2019973, ' Moon': -5.9148993, 'Yes': -6.063535, ' yes': -8.198067}
{' Yes': -0.08576905, ' Pain': -2.7597535, ' No': -4.6052656, ' Paint': -5.6585784, 'Yes': -6.23631}
{' Yes': -0.051919084, ' No': -3.15985, ' Pain': -5.6480756, 'Yes': -5.876551, ' Nope': -7.849197}
{' Yes': -0.0012043339, 'Yes': -6.7911515, ' No': -9.843361, ' yes': -10.938022, ' YES': -12.234053}
{' Yes': -0.00078286754, 'Yes': -7.5301423, ' Plus': -9.053311, ' No': -9.38968, '\n': -11.039212}
{' Yes': -0.060117293, ' Area': -2.9201384, 'Yes': -6.174398, ' Arena': -7.1787477, ' No': -7.5494547}
{' Yes': -0.010051792, ' Area': -4.9517517, 'Yes': -6.3162518, ' Sure': -8.011376, ' No': -8.220285}
{' Yes': -0.03971303, ' Dive': -3.3319051, 'Yes': -6.0445323, ' YES': -7.9218516, ' yes': -8.663886}
{' Yes': -0.027813198, ' Dive': -3.7348902, 'Yes': -6.09766, ' YES': -7.556244, ' yes': -8.496085}
{' Yes': -0.017509114, ' Hear': -4.153487, 'Yes': -6.5734916, ' Yeah': -9.698192, ' ': -10.216109}
{' Yes': -0.0021973113, 'Yes': -6.591734, ' Hear': -7.4073963, ' Yeah': -9.514379, ' YES': -10.3930435}
{' Yes': -0.010654524, ' Bush': -4.672258, 'Yes': -6.832462, ' yes': -10.269145, '\n': -10.409005}
{' Yes': -0.044249166, ' Bush': -3.1865332, 'Yes': -6.512816, 'Bush': -8.948981, '\n': -9.185803}
{' Yes': -0.004895945, ' Near': -6.0335574, 'Yes': -6.928386, ' No': -6.928943, ' yes': -8.713242}
{' Yes': -0.0050508548, ' Near': -5.952966, ' No': -6.4799514, 'Yes': -7.440719, ' yes': -9.167784}
{' Yes': -0.0069361553, ' Mile': -5.373133, 'Yes': -6.892302, ' No': -6.911147, ' YES': -9.709859}
{' Yes': -0.03220247, ' Mile': -3.6462085, ' No': -6.0496964, 'Yes': -6.555865, ' Miles': -7.1828427}
{' Yes': -0.22746567, ' Navy': -1.6066731, 'Yes': -6.180001, ' No': -8.617112, ' Naval': -8.839085}
{' Yes': -0.011515169, ' Navy': -4.9598413, 'Yes': -5.704248, ' No': -7.6371646, ' yes': -8.402747}
{' Okay': -0.7902442, ' Yes': -1.0236998, ' No': -1.767499, ' OK': -5.415004, ' Ok': -5.7361455}
{' No': -0.14580022, ' Yes': -2.2355564, ' Okay': -3.709578, 'No': -6.257065, ' Nope': -6.706498}
{' Yes': -0.0023502472, 'Yes': -6.8373165, ' No': -7.3641505, ' Math': -7.683098, ' YES': -9.6958885}
{' Yes': -0.0006540893, 'Yes': -7.585925, ' No': -9.283297, ' YES': -10.778788, ' Math': -11.764657}
{' Yes': -0.012087053, ' Beef': -4.6017303, 'Yes': -6.515107, ' yes': -8.49428, ' No': -9.1367235}
{' Yes': -0.003355909, ' Beef': -6.2400055, 'Yes': -6.9446893, ' No': -8.147335, ' yes': -9.660404}
{' Yes': -0.0009046837, 'Yes': -7.0516663, ' yes': -11.196625, ' YES': -11.442983, ' Milk': -11.727739}
{' Yes': -0.00082301453, 'Yes': -7.2468195, ' No': -9.406276, ' yes': -11.419217, ' YES': -11.809748}
{' Yes': -0.0023326813, 'Yes': -6.23463, ' Bass': -8.777432, ' yes': -9.601232, ' YES': -9.863715}
{' Yes': -0.00661672, 'Yes': -5.545788, ' Bass': -6.3889294, ' No': -7.2128043, ' yes': -9.180772}
{' Yes': -0.0039127343, ' Bird': -5.964799, 'Yes': -6.739703, ' yes': -9.647295, ' YES': -9.953198}
{' Yes': -0.0076568257, ' Bird': -5.1106076, 'Yes': -6.6777177, ' yes': -8.840788, ' YES': -9.205265}
{' Yes': -0.0019302672, 'Yes': -6.5753493, ' YES': -7.9246707, ' Live': -9.800433, ' yes': -9.831396}
{' Yes': -0.0014302961, 'Yes': -6.8001914, ' YES': -8.398746, ' yes': -10.036721, '\n': -11.603908}
{' Yes': -0.012941625, ' Need': -4.9182186, ' Indeed': -6.280845, 'Yes': -6.666108, ' yes': -7.4319215}
{' Yes': -0.009202392, ' Need': -5.330989, 'Yes': -6.555269, ' No': -6.785157, ' Indeed': -7.5337973}
{' Yes': -0.0036250101, ' Tool': -6.229346, 'Yes': -6.943199, ' Too': -8.249532, ' YES': -9.005554}
{' Yes': -0.121488705, ' Tool': -2.4396248, ' Too': -3.8757668, ' No': -6.3343725, 'Yes': -6.6620703}
{' Yes': -0.25872973, ' Po': -1.6314085, ' No': -3.570049, 'Yes': -6.14958, ' Nope': -6.8434863}
{' Yes': -0.25642696, ' Po': -1.5545741, ' No': -4.4181414, 'Yes': -6.218875, 'Po': -8.362661}
{' Yes': -0.0020722914, 'Yes': -6.9094872, ' Rock': -7.1610994, ' yes': -8.908193, ' YES': -9.832122}
{' Yes': -0.0046014753, ' Rock': -6.288621, 'Yes': -6.394589, ' yes': -8.082478, ' Rocket': -8.487663}
{' Yes': -0.0028004705, 'Yes': -6.2855377, ' Last': -7.171955, ' No': -9.228476, ' yes': -10.523237}
{' Yes': -0.0026729843, 'Yes': -6.151644, ' Last': -7.879843, ' YES': -9.877163, ' yes': -9.897423}
{' Yes': -0.002597742, ' Door': -6.6194797, 'Yes': -6.7850356, ' yes': -9.619035, ' Sure': -10.87296}
{' Yes': -0.0035868448, ' Door': -6.3760443, 'Yes': -6.448821, ' yes': -8.633838, ' No': -10.359972}
{' Yes': -0.017528586, ' No': -4.476732, 'Yes': -5.804195, ' To': -5.9985137, ' YES': -8.913647}
{' Yes': -0.030723143, ' No': -3.6474621, 'Yes': -5.660617, ' YES': -8.745248, ' yes': -9.118295}
{' Yes': -0.0038215437, 'Yes': -6.2331667, ' Maze': -6.401553, ' yes': -9.792487, ' YES': -10.024022}
{' Yes': -0.003578529, 'Yes': -5.954965, ' Maze': -7.265081, ' No': -8.989445, ' yes': -9.825132}
{' Yes': -0.04160826, ' Monk': -3.6537986, ' Monkey': -5.416108, ' No': -5.7899256, 'Yes': -5.87855}
{' Yes': -0.03810299, ' Monkey': -4.2407928, ' Monk': -4.3894343, ' Mon': -5.639856, 'Yes': -5.84107}
{' Yes': -0.0008349447, 'Yes': -7.243419, ' Camp': -9.796257, ' yes': -10.6851015, ' YES': -10.957305}
{' Yes': -0.006596683, ' Camp': -5.3714356, 'Yes': -6.5191298, ' yes': -8.919502, ' YES': -9.4076395}
{' Yes': -0.025963785, ' Most': -3.7023644, 'Yes': -7.1297426, ' Mostly': -9.438964, ' yes': -10.765954}
{' Yes': -0.0063972655, ' Most': -5.140188, 'Yes': -7.6947284, ' Mostly': -11.041013, ' yes': -11.043643}
{' Yes': -0.0015246698, 'Yes': -7.293379, ' Trip': -7.6711903, ' Tri': -8.922001, ' yes': -9.174216}
{' Yes': -0.0017635422, 'Yes': -6.986987, ' Tri': -8.152127, ' yes': -8.504523, ' Trip': -8.985911}
{' Yes': -0.0744576, ' Dusk': -2.8173392, ' No': -5.0388036, 'Yes': -5.3569946, ' D': -8.080101}
{' Yes': -0.0066522425, 'Yes': -5.943303, ' No': -6.2437506, ' Dusk': -6.283967, ' yes': -9.509529}
{' Yes': -0.0005450669, 'Yes': -7.7892256, ' YES': -10.149802, ' No': -10.591239, ' yes': -10.761983}
{' Yes': -0.00036110257, 'Yes': -8.039891, ' YES': -11.044325, ' yes': -11.195469, ' No': -12.657939}
{' Yes': -0.007131476, ' Lawn': -5.3283114, 'Yes': -6.327562, ' YES': -8.828655, ' No': -9.291759}
{' Yes': -0.5494687, ' Lawn': -1.1133553, ' No': -2.5067518, ' lawn': -5.106321, 'Yes': -6.5217495}
{' Yes': -0.014142176, ' Hill': -4.3431196, 'Yes': -7.504008, ' No': -8.153883, ' yes': -9.30388}
{' Yes': -0.13347201, ' Hill': -2.1147742, ' No': -5.979179, 'Yes': -7.123727, 'Hill': -8.492591}
{' Yes': -0.002180883, 'Yes': -6.482203, ' Take': -7.8419766, ' No': -9.183257, ' YES': -9.829294}
{' Yes': -0.0017429409, 'Yes': -6.780465, ' Take': -7.735013, ' YES': -9.884815, ' yes': -10.180481}
{' Yes': -0.0014347135, 'Yes': -6.8223457, ' No': -8.737089, ' Part': -9.397226, '\n': -10.148546}
{' Yes': -0.0019426292, 'Yes': -6.422524, ' yes': -9.511238, '\n': -9.676307, ' No': -9.97574}
{' Yes': -0.001736971, 'Yes': -6.860703, ' No': -7.545357, ' Pick': -9.417478, ' yes': -10.605298}
{' Yes': -0.0014230132, 'Yes': -7.1179366, ' Pick': -8.115146, ' No': -8.456856, ' yes': -10.177578}
{' Yes': -0.0009747258, 'Yes': -6.9847217, ' yes': -11.049046, ' YES': -11.232085, '\n': -11.501898}
{' Yes': -0.00060846336, 'Yes': -7.4700885, ' No': -11.2422695, ' yes': -11.624319, '\n': -11.82043}
{' Yes': -0.036436997, ' No': -3.37234, 'Yes': -6.719083, ' yes': -9.381032, ' YES': -9.656194}
{' Yes': -0.010284819, ' No': -5.0933075, 'Yes': -5.974224, ' De': -7.1090236, ' YES': -8.150476}
{' Yes': -0.000941016, 'Yes': -7.0956616, ' yes': -9.657459, ' YES': -10.175769, '\n': -12.21514}
{' Yes': -0.0035422214, 'Yes': -5.8789463, ' yes': -7.9270725, ' YES': -8.740734, ' Kiss': -9.110069}
{' Yes': -0.001023469, 'Yes': -7.082303, ' No': -9.064506, ' yes': -10.411273, ' Soda': -11.008286}
{' Yes': -0.0020419497, 'Yes': -6.464176, ' No': -8.194329, ' Soda': -9.376689, ' yes': -9.692552}
{' Yes': -0.0017556614, ' No': -6.8169174, 'Yes': -7.4981594, ' Gone': -9.962449, ' yes': -10.731082}
{' Yes': -0.45540887, ' No': -1.01068, ' Nope': -7.128754, 'Yes': -7.797123, 'No': -8.361458}
{' Yes': -0.0017919645, 'Yes': -6.9347267, ' Fire': -7.524863, ' YES': -9.013361, ' yes': -9.523202}
{' Yes': -0.0010191738, 'Yes': -7.249958, ' Fire': -8.815718, ' YES': -9.912331, ' yes': -10.280388}
{' Yes': -0.0011465683, 'Yes': -7.0231323, ' yes': -9.031387, ' YES': -9.709801, ' Read': -10.417744}
{' Yes': -0.0015157751, 'Yes': -6.8073587, ' yes': -8.487731, ' YES': -9.337131, ' Read': -10.58629}
{' Yes': -0.0010553306, 'Yes': -6.954375, ' yes': -9.780758, ' YES': -10.883995, ' Yep': -11.913039}
{' Yes': -0.0035076472, 'Yes': -6.2476306, ' Push': -6.8698573, ' yes': -8.576944, ' YES': -9.542101}
{' Yes': -0.00679644, ' Stop': -5.462221, 'Yes': -6.134737, ' Yep': -8.998224, ' YES': -9.047285}
{' Yes': -0.0038156197, ' Stop': -6.168927, 'Yes': -6.597735, ' Yep': -8.907527, ' YES': -9.588633}
{' Yes': -0.007843259, ' Late': -5.2217674, 'Yes': -6.2174034, ' YES': -8.952704, ' yes': -8.982567}
{' Yes': -0.0005745265, 'Yes': -7.7182236, ' No': -9.329964, ' yes': -10.97409, ' Late': -11.500843}
{' Yes': -0.0019910636, 'Yes': -6.420452, ' yes': -8.69865, ' No': -8.8923025, ' YES': -10.4106}
{' Yes': -0.0013845743, 'Yes': -6.715051, ' yes': -9.471241, ' No': -10.332173, ' YES': -10.476614}
{' Yes': -0.004303735, ' Wife': -5.8805504, 'Yes': -6.7409, ' YES': -9.116683, ' yes': -9.292916}
{' Yes': -0.16349354, ' Wife': -1.9409517, ' W': -5.48599, 'Yes': -6.700088, ' No': -7.9988422}
{' Yes': -0.005116336, ' Frog': -5.944266, 'Yes': -6.3290215, ' yes': -7.827113, ' YES': -9.2435875}
{' Yes': -0.0024860578, 'Yes': -6.7078133, ' Frog': -7.0518956, ' yes': -8.496504, ' YES': -9.274025}
{' Yes': -0.0016318901, 'Yes': -6.5218554, ' yes': -9.624969, ' YES': -10.502505, ' Duck': -10.703684}
{' Yes': -0.0042985873, ' Duck': -6.158263, 'Yes': -6.403525, ' yes': -8.382638, ' YES': -9.317322}
{' Yes': -0.003938643, 'Yes': -6.251833, ' Bank': -6.373619, ' yes': -8.657145, ' YES': -9.466207}
{' Yes': -0.001152418, 'Yes': -6.89324, ' YES': -9.761356, ' yes': -9.769802, ' Bank': -11.99549}
{' Yes': -0.0017674835, 'Yes': -6.4513636, ' yes': -9.841691, ' YES': -9.986886, ' Test': -10.298554}
{' Yes': -0.0027733322, ' Test': -6.651567, 'Yes': -6.6750546, ' yes': -9.528326, ' YES': -10.09169}
{' Yes': -0.0013320514, 'Yes': -6.9211125, ' Stay': -8.122819, ' yes': -10.7806225, ' YES': -11.504932}
{' Yes': -0.016731367, ' Stay': -4.2160053, 'Yes': -6.4456363, ' yes': -9.644335, ' YES': -10.114093}
{' Yes': -0.0032601648, 'Yes': -6.0138884, ' No': -7.8645225, ' yes': -8.486296, ' Ye': -9.353343}
{' Yes': -0.02891296, ' Ye': -4.2912364, 'Yes': -5.246398, ' East': -5.3998237, ' yes': -6.6811166}
{' Yes': -0.0013731144, ' No': -7.142019, 'Yes': -7.613664, ' High': -10.836127, ' Yeah': -10.934516}
{' Yes': -0.14455862, ' High': -2.0502229, ' No': -6.4655895, ' Yeah': -6.665202, 'Yes': -6.7969265}
{' Yes': -0.0030126232, ' No': -6.244548, 'Yes': -7.2573953, ' Draw': -8.215222, ' yes': -9.871572}
{' Yes': -0.49103564, ' Draw': -0.962536, 'Yes': -6.622461, ' Drew': -6.851082, ' Drawn': -7.0502577}
{' Yes': -0.6436343, ' King': -0.7746902, 'King': -5.3643255, ' Kings': -5.3764005, 'Yes': -6.522429}
{' Yes': -0.14595471, ' King': -2.0281224, 'Yes': -6.267889, 'King': -7.121154, ' Kings': -7.543415}
{' Yes': -0.0021418764, ' No': -6.588022, 'Yes': -7.321188, ' Lose': -10.022497, ' yes': -11.167425}
{' Yes': -0.004209457, ' No': -6.2554073, 'Yes': -6.8996906, ' Lose': -7.242668, ' Lo': -7.758047}
{' Yes': -0.0013099075, 'Yes': -6.8228273, ' Sure': -9.840278, ' Here': -10.143329, ' Yep': -10.164402}
{' Yes': -0.0004681379, 'Yes': -7.75414, ' yes': -11.409842, ' YES': -11.937662, ' Sure': -12.001147}
{' Yes': -0.0010243044, 'Yes': -6.9431014, ' yes': -10.511158, ' YES': -11.010929, ' ': -11.862293}
{' Yes': -0.005392082, 'Yes': -5.9336886, ' Sick': -6.1162252, ' yes': -8.435573, ' YES': -8.997226}
{' Yes': -0.025924696, ' Dirt': -3.8244226, 'Yes': -6.0172534, ' Dirty': -7.0968604, ' yes': -8.825503}
{' Yes': -0.0029843457, ' Dirt': -6.46741, 'Yes': -6.6885724, ' yes': -9.677059, ' No': -10.379941}
{' Yes': -0.0012290973, 'Yes': -7.0084996, ' Tears': -9.407041, ' YES': -9.6839695, ' yes': -9.703437}
{' Yes': -0.0018173438, 'Yes': -6.710798, ' Tears': -8.754367, ' yes': -8.804429, ' YES': -9.007182}
{' No': -0.0040163198, 'No': -5.5283103, '\n': -11.02869, ' Nope': -11.925367, ' ': -12.1466055}
{' Yes': -0.0007468994, 'Yes': -7.308085, ' No': -10.12895, ' yes': -10.969602, ' True': -11.893152}
{' Rain': -0.33420905, ' Yes': -2.109304, ' Train': -2.283342, ' Brain': -3.7799773, 'Rain': -3.8494713}
{' Rain': -0.29280254, ' Yes': -2.0325103, ' Train': -3.3425806, 'Rain': -3.5132535, ' Brain': -3.5192735}
{' Yes': -0.0005835929, 'Yes': -7.574959, ' No': -10.520353, ' yes': -11.413567, ' YES': -11.493562}
{' Yes': -0.0009328432, 'Yes': -7.1765556, ' No': -9.6823845, ' Verb': -10.253775, ' yes': -10.718523}
{' Yes': -0.008231954, ' Sure': -5.3336043, ' Absolutely': -6.6657767, 'Yes': -6.7567453, ' Yep': -8.754065}
{' Yes': -0.005649682, ' Sure': -5.7455916, 'Yes': -6.743565, ' Absolutely': -8.435575, ' Yep': -8.443041}
{' Yes': -0.0007847767, 'Yes': -7.3202105, ' yes': -9.6448345, ' YES': -10.465732, ' Yep': -11.714532}
{' Yes': -0.0009781829, 'Yes': -7.4283247, ' No': -8.170398, ' yes': -9.634694, ' YES': -11.029931}
{' Yes': -0.00051757385, 'Yes': -7.685751, ' No': -10.13479, ' yes': -11.303669, ' YES': -12.496616}
{' Yes': -0.0011826726, 'Yes': -7.080753, ' No': -8.434528, ' yes': -10.082896, ' Thin': -10.371505}
{' Yes': -0.11356958, ' No': -2.2649539, ' Tail': -6.1207714, 'Yes': -7.136772, 'No': -8.625173}
{' Yes': -0.020979945, ' No': -4.5244493, ' Tail': -4.7853837, 'Yes': -6.907467, ' yes': -8.930965}
{' Yes': -0.009090387, ' Land': -4.992719, 'Yes': -6.4208407, ' yes': -8.125641, ' YES': -9.490925}
{' Yes': -0.033363633, ' Land': -3.746548, 'Yes': -5.7295246, ' Island': -5.846112, ' yes': -7.1370177}
{' Yes': -0.0101337945, ' Feel': -4.7261906, 'Yes': -7.320316, ' yes': -9.121139, ' Yep': -9.319663}
{' Yes': -0.06738755, ' Feel': -2.8726184, ' F': -5.6205416, 'Yes': -6.747004, ' Fee': -7.304346}
{' Yes': -0.0016666369, 'Yes': -6.65302, ' Loud': -9.099636, ' YES': -9.492513, ' yes': -10.067779}
{' Yes': -0.23900786, ' Loud': -1.5810298, ' L': -5.935911, 'Yes': -6.615862, ' No': -7.8079424}
{' Yes': -0.001240379, 'Yes': -6.9616647, ' Sure': -9.01284, ' Star': -9.133385, ' yes': -10.285675}
{' Yes': -0.0014816872, 'Yes': -6.9122, ' Sure': -8.289893, ' Star': -8.876925, ' yes': -10.162051}
{' Yes': -0.0030309183, 'Yes': -6.1573696, ' Card': -7.3181534, ' yes': -9.030058, ' YES': -9.801589}
{' Yes': -0.0014600231, 'Yes': -6.682915, ' yes': -9.246175, ' Card': -10.140655, ' YES': -10.380375}
{' Yes': -0.3373207, ' Deer': -1.2638724, 'Yes': -6.8026133, ' Dear': -7.00608, ' De': -7.46231}
{' Yes': -0.2857027, ' Deer': -1.4156427, ' De': -6.42829, ' Dear': -6.703202, 'Yes': -6.786858}
{' Yes': -0.024908084, ' Look': -3.8661723, 'Yes': -5.9898143, ' YES': -7.678863, ' Yep': -8.574736}
{' Yes': -0.0018940766, 'Yes': -6.6437793, ' Look': -8.097567, ' YES': -8.950367, ' yes': -9.764682}
{' Yes': -0.0007940806, 'Yes': -7.393799, ' No': -9.276584, ' yes': -10.27867, ' YES': -10.68908}
{' Yes': -0.00093970477, 'Yes': -7.390876, ' Gl': -9.163028, ' yes': -9.633367, ' YES': -9.63428}
{' Yes': -0.0009841517, 'Yes': -7.1519156, ' Less': -9.220616, ' yes': -10.217326, ' YES': -10.224082}
{' Yes': -0.0013514466, 'Yes': -7.05367, ' Less': -8.301574, ' yes': -9.378537, ' YES': -9.517067}
{' Yes': -0.0019829404, 'Yes': -6.3842783, ' No': -9.441135, ' Sure': -9.768796, ' yes': -10.062755}
{' Yes': -0.0034041742, ' Code': -6.4950404, 'Yes': -6.5294523, ' Sure': -9.132108, ' YES': -9.230745}
{' Yes': -0.0006612456, 'Yes': -7.4674425, ' Sure': -9.578311, ' yes': -11.807912, ' YES': -12.124497}
{' Yes': -0.0017167891, 'Yes': -6.8777256, ' Sure': -7.5303783, ' YES': -10.234524, ' Shoes': -10.583031}
{' Yes': -0.49371466, ' Exit': -0.95416576, 'Yes': -6.308337, 'Exit': -6.978856, ' Ex': -6.9854856}
{' Exit': -0.31211022, ' Yes': -1.3416474, ' No': -6.1987505, 'Exit': -6.2926908, ' Ex': -6.4062886}
{' Yes': -0.004678244, ' Lion': -5.7536044, 'Yes': -6.627822, ' yes': -9.832812, ' No': -10.216768}
{' Yes': -0.0013206523, 'Yes': -6.921536, ' No': -8.367396, ' yes': -9.932921, ' Lion': -10.463711}
{' Yes': -0.1594265, ' Roof': -1.927964, 'Yes': -6.60759, ' yes': -8.42016, ' YES': -9.366522}
{' Roof': -0.13087519, ' Yes': -2.1119769, ' Ro': -7.6018677, ' roof': -7.684334, 'Yes': -8.178635}
{' Yes': -0.5722972, ' Want': -0.84127915, 'Want': -6.6404443, 'Yes': -6.783988, ' Wanted': -7.0558853}
{' Want': -0.5159035, ' Yes': -0.93255424, ' Wanted': -5.883555, 'Want': -6.111331, ' W': -6.72563}
{' Yes': -0.0015131489, 'Yes': -7.081212, ' Wind': -7.541651, ' yes': -9.68351, ' Yep': -10.857917}
{' Yes': -0.0037644643, ' Wind': -5.8786473, 'Yes': -7.373719, ' Window': -8.780068, ' yes': -9.709555}
{' Yes': -0.0008563592, 'Yes': -7.177425, ' yes': -10.123911, ' YES': -10.301292, ' Yep': -12.418023}
{' Yes': -0.13934682, ' Foot': -2.0795093, 'Yes': -5.961813, ' Football': -7.263999, ' YES': -7.559895}
{' Yes': -0.11829965, ' Hate': -2.8094997, ' No': -3.025713, 'Yes': -6.496858, ' Nope': -7.4651685}
{' Yes': -0.23238946, ' Hate': -2.1083012, ' No': -2.5152378, ' Nope': -6.161915, 'Yes': -6.4216805}
{' Yes': -0.00171428, ' No': -7.0626216, 'Yes': -7.109321, ' yes': -10.723502, ' YES': -11.803679}
{' Yes': -0.0011636941, 'Yes': -7.011299, ' yes': -9.2565155, ' YES': -9.666914, ' Slow': -10.204565}
{' Yes': -0.013270999, ' Ring': -4.7050204, 'Yes': -6.3841815, ' Bing': -7.7173553, ' yes': -8.12708}
{' Yes': -0.0055685854, ' Ring': -5.8789473, 'Yes': -6.6148863, ' yes': -8.675857, ' Gr': -8.801808}
{' Yes': -0.0006550439, 'Yes': -7.54209, ' yes': -9.809108, ' Bear': -10.114572, ' YES': -11.123353}
{' Yes': -0.0037340098, ' Bear': -5.9753404, 'Yes': -7.065417, ' yes': -8.873401, ' YES': -9.386754}
{' Yes': -0.0010983546, 'Yes': -7.204486, ' YES': -8.584026, ' No': -10.122554, ' yes': -10.756471}
{' Yes': -0.0006973329, 'Yes': -7.5985823, ' No': -9.256699, ' YES': -9.726768, ' yes': -10.989421}
{' Yes': -0.0019489004, 'Yes': -6.4467916, ' yes': -8.442811, ' YES': -9.389316, '\n': -11.523753}
{' Yes': -0.0023489322, 'Yes': -6.2213616, ' yes': -8.444329, ' YES': -9.507224, '\n': -11.308954}
{' Yes': -0.0126896845, ' Skin': -4.759207, 'Yes': -5.858692, ' Ski': -7.761284, ' Sk': -8.10938}
{' Yes': -0.015960889, ' Skin': -4.766903, 'Yes': -5.3589478, ' Ski': -7.0153084, ' No': -7.124033}
{' Yes': -0.0020426668, 'Yes': -6.561645, ' So': -7.684627, ' yes': -9.671297, ' YES': -10.335952}
{' Yes': -0.0022175608, 'Yes': -6.4333005, ' So': -7.846539, ' yes': -9.520425, ' Yep': -9.88139}
{' Yes': -0.0007972429, 'Yes': -7.1841927, ' Sure': -11.585638, ' yes': -11.601337, ' Yep': -12.097288}
{' Yes': -0.0023000615, ' Che': -6.7059855, 'Yes': -7.0267215, ' Yep': -10.168819, ' YES': -10.458794}
{' Yes': -0.002781522, 'Yes': -6.496893, ' No': -7.0943656, ' yes': -8.482558, ' Male': -9.294231}
{' Yes': -0.0043967664, 'Yes': -6.14267, ' Male': -7.096075, ' yes': -7.4703927, ' YES': -8.7835245}
{' Yes': -0.00071940065, 'Yes': -7.3788123, ' No': -10.078897, ' yes': -10.740778, ' YES': -11.78235}
{' Yes': -0.0010036626, 'Yes': -7.152605, ' No': -9.135048, ' yes': -9.93021, ' Done': -11.072653}
{' Yes': -0.024139527, ' Bike': -3.9258633, 'Yes': -6.2761245, ' Bicycle': -6.544117, ' B': -8.159946}
{' Yes': -0.010161073, ' Bike': -4.8487287, 'Yes': -6.7170334, ' Bicycle': -8.170981, ' No': -8.28364}
