{' No': -0.22724734, ' Yes': -1.6289539, 'No': -5.0760174, 'Yes': -7.1854076, ' ': -9.172646}
{' Yes': -0.10467006, ' No': -2.3765264, 'Yes': -5.4001293, 'No': -7.2540207, ' yes': -7.353758}
{' Yes': -0.011303856, 'Yes': -5.0645742, ' No': -5.6057153, ' yes': -7.1198144, ' ': -8.2737}
{' No': -0.20077083, ' Yes': -1.8411059, 'No': -3.890838, 'Yes': -5.9881797, ' yes': -8.819946}
{' Yes': -0.36692312, ' No': -1.2413853, 'Yes': -4.694987, 'No': -4.8688207, ' yes': -6.935822}
{' No': -0.10237506, 'No': -3.0183578, ' Yes': -3.0642223, 'Yes': -6.4380207, ' ': -9.726586}
{' No': -0.67854923, ' Yes': -0.8043885, 'No': -3.5308917, 'Yes': -4.1736856, ' yes': -7.902998}
{' Yes': -0.37290645, ' No': -1.4303157, 'Yes': -3.138413, 'No': -3.6181324, ' yes': -7.027497}
{' Yes': -0.06729396, 'Yes': -2.8517578, ' No': -5.319226, ' yes': -6.5781193, 'No': -7.4008865}
{' No': -0.03855443, ' Yes': -3.8623745, 'No': -4.1105223, 'Yes': -8.130162, ' ': -9.65351}
{' Yes': -0.042331986, ' No': -3.4459438, 'Yes': -4.762144, ' yes': -7.6334357, 'No': -7.7020164}
{' Yes': -0.256856, ' No': -1.8511192, 'Yes': -3.0280867, 'No': -3.914632, ' yes': -7.566579}
{' Yes': -0.036135375, 'Yes': -3.4255376, ' No': -6.294052, ' yes': -7.213589, 'No': -8.85408}
{' Yes': -0.05587987, 'Yes': -3.3623488, ' No': -4.189831, ' yes': -5.952478, 'No': -6.458561}
{' Yes': -0.047188547, 'Yes': -3.4194763, ' No': -4.697911, ' yes': -5.901455, 'No': -6.8938985}
{' No': -0.43612126, ' Yes': -1.0496503, 'No': -6.61104, 'Yes': -7.2402897, ' yes': -7.336374}
{' Yes': -0.0075269183, ' No': -5.3273454, ' yes': -6.6574516, 'Yes': -6.76256, ' ': -8.745016}
{' No': -0.43249133, ' Yes': -1.0881596, 'No': -4.6640244, 'Yes': -5.5837994, ' ': -7.342972}
{' Yes': -0.05618693, ' No': -3.1434958, 'Yes': -4.638605, ' yes': -7.332882, 'No': -7.3606853}
{' Yes': -0.25116605, ' No': -1.5599315, 'Yes': -4.8330464, 'No': -5.9794245, ' ': -7.1356153}
{' Yes': -0.04331489, ' No': -3.4588459, 'Yes': -4.658498, ' ': -7.5179825, 'No': -7.8202977}
{' No': -0.18391442, ' Yes': -1.8084317, 'No': -5.8066196, 'Yes': -7.3872013, ' ': -8.257381}
{' Yes': -0.15633288, ' No': -1.9604596, 'Yes': -6.0204053, ' ': -7.5414352, ' yes': -7.626175}
{' Yes': -0.22386381, ' No': -1.689749, 'Yes': -4.583063, 'No': -5.6853046, ' ': -6.517908}
{' Yes': -0.019354377, 'Yes': -4.637387, ' No': -4.823208, ' ': -7.201408, ' yes': -7.8619347}
{' Yes': -0.49412996, ' No': -0.982743, 'Yes': -5.243315, 'No': -5.4204907, ' yes': -5.7358594}
{' Yes': -0.0952214, ' No': -2.6569316, 'Yes': -4.664471, ' yes': -5.0158796, ' ': -5.979817}
{' Yes': -0.48701194, ' No': -0.9593937, 'Yes': -6.8242607, 'No': -7.2136345, ' ': -8.122227}
{' Yes': -0.024678165, ' No': -3.7744265, 'Yes': -6.853724, ' ': -8.651736, ' yes': -9.012102}
{' No': -0.6850964, ' Yes': -0.72608525, 'No': -5.001989, 'Yes': -5.420322, ' ': -7.2467294}
{' Yes': -0.16273345, ' No': -1.945965, 'Yes': -5.2371025, 'No': -6.8158894, ' ': -7.2342377}
{' No': -0.199105, ' Yes': -1.7817773, 'No': -4.688706, 'Yes': -6.44957, ' ': -7.1397653}
{' Yes': -0.07629001, ' No': -2.773689, 'Yes': -4.724008, ' ': -7.153024, 'No': -7.234651}
{' No': -0.10677647, ' Yes': -2.3094761, 'No': -6.5395117, ' ': -8.233092, 'Yes': -8.5430975}
{' Yes': -0.62183875, ' No': -0.776994, ' ': -6.7401896, 'Yes': -6.8671656, 'No': -7.0672407}
{' Yes': -0.7047301, ' No': -0.72266114, 'No': -4.754145, 'Yes': -4.960786, ' ': -6.0091715}
{' Yes': -0.019944321, ' No': -4.524617, 'Yes': -4.8733606, ' ': -7.095839, '\n': -8.566632}
{' Yes': -0.09780456, ' No': -2.4068732, 'Yes': -6.237712, ' ': -7.8490577, 'No': -8.07767}
{' Yes': -0.15784848, ' No': -1.9545118, 'Yes': -5.9928627, ' ': -7.121406, 'No': -7.5255165}
{' Yes': -0.0063709286, 'Yes': -5.0828056, ' yes': -9.320551, ' No': -10.675941, ' YES': -11.056349}
{' Yes': -0.0061976467, 'Yes': -5.1045995, ' yes': -9.45804, ' YES': -11.266035, ' ': -11.430838}
{' Yes': -0.019063454, 'Yes': -3.9912007, ' yes': -8.223159, ' YES': -9.919749, ' No': -10.264564}
{' Yes': -0.019475015, 'Yes': -3.9646268, ' yes': -8.435813, ' YES': -10.004118, ' ': -10.625077}
{' Yes': -0.020012788, 'Yes': -3.938622, ' yes': -8.545275, ' YES': -9.665473, ' No': -10.01433}
{' Yes': -0.028987808, 'Yes': -3.565466, ' yes': -8.566003, ' YES': -10.024925, ' ': -10.303335}
{' Yes': -0.00755142, 'Yes': -4.9127026, ' yes': -9.141253, ' YES': -10.457516, ' No': -11.093212}
{' Yes': -0.0114961155, 'Yes': -4.4837346, ' yes': -9.179804, ' YES': -11.007822, ' ': -11.467031}
{' Yes': -0.024985632, 'Yes': -3.7121823, ' yes': -8.668588, ' ': -10.483401, ' YES': -10.535098}
{' Yes': -0.025713746, 'Yes': -3.6809185, ' yes': -9.055386, ' YES': -10.611119, ' ': -10.613916}
{' Yes': -0.011862046, 'Yes': -4.4708176, ' yes': -8.168915, ' ': -10.465475, ' YES': -10.501294}
{' Yes': -0.014725421, 'Yes': -4.251965, ' yes': -8.14348, ' ': -10.133524, ' YES': -10.246253}
{' Yes': -0.00090683234, 'Yes': -7.245365, ' yes': -8.825308, ' YES': -10.792303, ' ': -11.490313}
{' Yes': -0.0010602257, 'Yes': -7.0050063, ' yes': -9.055327, ' YES': -10.942866, ' ': -11.435309}
{' Yes': -0.007023847, 'Yes': -5.010852, ' yes': -8.43988, ' YES': -10.048457, ' ': -10.085213}
{' Yes': -0.008362254, 'Yes': -4.822222, ' yes': -8.522486, ' ': -10.317465, ' YES': -10.384991}
{' Yes': -0.009482156, 'Yes': -4.709252, ' yes': -8.440437, ' ': -9.444658, '\n': -9.582248}
{' Yes': -0.009291668, 'Yes': -4.7105303, ' yes': -8.896804, ' ': -9.835427, ' YES': -10.440589}
{' Yes': -0.0017183406, 'Yes': -6.441528, ' yes': -9.266698, ' YES': -11.179822, ' ': -11.908831}
{' Yes': -0.0023227036, 'Yes': -6.121352, ' yes': -9.299039, ' YES': -11.07023, ' ': -11.324057}
{' Yes': -0.011379995, 'Yes': -4.527447, ' yes': -8.59696, ' ': -8.776541, '\n': -9.04782}
{' Yes': -0.0074753305, 'Yes': -4.9320626, ' yes': -9.295158, ' ': -9.301773, '\n': -10.56974}
{' Yes': -0.006728869, 'Yes': -5.1300635, ' yes': -7.645807, '\n': -8.697005, ' ': -9.337922}
{' Yes': -0.0095377555, 'Yes': -4.7577868, ' yes': -7.349772, ' ': -9.129153, '\n': -9.494063}
{' Yes': -0.015663853, 'Yes': -4.208735, ' yes': -7.4996357, ' YES': -9.938332, ' ': -10.492169}
{' Yes': -0.022839792, 'Yes': -3.8511977, ' yes': -6.8084455, ' YES': -9.11988, 'yes': -9.90924}
{' Yes': -0.026401691, 'Yes': -3.660322, ' yes': -8.218107, 'yes': -10.511387, ' YES': -10.657202}
{' Yes': -0.047337454, 'Yes': -3.0855453, ' yes': -7.780773, ' YES': -9.924037, 'yes': -10.069159}
{' Yes': -0.05757627, 'Yes': -2.906125, ' yes': -7.1005816, ' YES': -8.739223, ' ': -9.155316}
{' Yes': -0.07120779, 'Yes': -2.6962402, ' yes': -6.968035, ' YES': -9.199551, 'yes': -9.20391}
{' Yes': -0.011725623, 'Yes': -4.4970846, ' yes': -7.905778, ' No': -9.396884, ' YES': -10.574275}
{' Yes': -0.01285655, 'Yes': -4.4114237, ' yes': -7.4895086, ' YES': -10.234031, 'yes': -10.607404}
{' Yes': -0.07407478, 'Yes': -2.6490316, ' yes': -7.7631216, 'yes': -9.28828, ' ': -9.471806}
{' Yes': -0.04451192, 'Yes': -3.1447659, ' yes': -8.051083, ' ': -9.878609, 'yes': -10.02109}
{' Yes': -0.040944353, 'Yes': -3.2485857, ' yes': -6.8146825, 'yes': -9.507137, ' ': -9.810262}
{' Yes': -0.05433123, 'Yes': -2.9782774, ' yes': -6.449759, 'yes': -8.897744, ' ': -8.974067}
{' Yes': -0.0035015452, 'Yes': -6.1683803, ' yes': -6.716194, ' ': -9.392536, '\n': -10.323474}
{' Yes': -0.003024162, 'Yes': -6.2848687, ' yes': -6.8388677, ' ': -10.226814, ' YES': -10.654787}
{' Yes': -0.013599452, 'Yes': -4.392738, ' yes': -7.029285, ' ': -9.092891, ' YES': -9.613896}
{' Yes': -0.016319182, 'Yes': -4.199798, ' yes': -6.9175797, ' ': -9.316842, 'yes': -9.973944}
{' Yes': -0.008613762, 'Yes': -4.822895, ' yes': -8.079863, ' ': -9.066584, '\n': -9.737101}
{' Yes': -0.014863706, 'Yes': -4.2500243, ' yes': -8.057977, ' ': -9.314645, '\n': -10.225551}
{' Yes': -0.0044278367, 'Yes': -5.5906434, ' yes': -7.420304, ' ': -10.4262, ' YES': -10.654767}
{' Yes': -0.005580092, 'Yes': -5.3175, ' yes': -7.477378, ' ': -10.054564, ' YES': -10.694388}
{' Yes': -0.012746854, 'Yes': -4.427908, ' yes': -7.9765244, ' ': -8.487354, '\n': -8.999445}
{' Yes': -0.014593503, 'Yes': -4.2742405, ' yes': -8.344986, ' ': -8.584791, '\n': -9.249737}
{' Yes': -0.0151137095, 'Yes': -4.5175548, ' yes': -5.674928, '\n': -8.192161, ' ': -8.38173}
{' Yes': -0.028800745, 'Yes': -3.8809144, ' yes': -4.972383, ' ': -8.174473, '\n': -8.234564}
{' Yes': -0.0018261202, 'Yes': -6.483954, ' yes': -8.880363, ' ': -9.725434, '\n': -9.725964}
{' Yes': -0.0016591738, 'Yes': -6.513454, ' yes': -9.305894, ' ': -10.063911, '\n': -10.768478}
{' Yes': -0.009171896, 'Yes': -4.7416186, ' yes': -8.624903, ' ': -9.223838, '\n': -9.691352}
{' Yes': -0.009775118, 'Yes': -4.6641407, ' yes': -8.889106, ' ': -9.194449, ' YES': -10.578677}
{' Yes': -0.009142358, 'Yes': -4.765293, '\n': -8.369978, ' ': -8.671335, ' yes': -8.885498}
{' Yes': -0.011771941, 'Yes': -4.4825644, '\n': -8.932012, ' ': -8.995103, ' yes': -9.080676}
{' Yes': -0.001774945, 'Yes': -6.43403, ' yes': -9.342264, ' ': -10.188764, ' YES': -10.895661}
{' Yes': -0.0026756143, 'Yes': -6.016986, ' yes': -9.117135, ' ': -9.454215, '\n': -10.784564}
{' Yes': -0.015160305, 'Yes': -4.259312, '\n': -7.7679925, ' ': -8.113322, ' yes': -8.758804}
{' Yes': -0.01014903, 'Yes': -4.6311646, ' ': -8.724581, '\n': -9.339214, ' yes': -9.373346}
{' Yes': -0.0027332886, 'Yes': -6.022033, ' yes': -8.653298, '\n': -9.762229, ' ': -9.820779}
{' Yes': -0.0032367238, 'Yes': -5.8179317, ' yes': -8.70545, ' ': -10.006808, '\n': -10.440704}
{' Yes': -0.29541454, ' No': -1.3822066, 'Yes': -5.8257637, 'No': -6.4170833, ' ': -9.159672}
{' Yes': -0.009246186, ' No': -5.3144903, 'Yes': -5.4847655, ' yes': -9.855128, 'No': -10.08854}
{' Yes': -0.041463614, ' No': -3.6556203, 'Yes': -4.295343, 'No': -7.089308, ' yes': -8.61692}
{' Yes': -0.018109862, 'Yes': -4.0887294, ' No': -7.032947, ' yes': -8.494702, ' ': -10.07524}
{' Yes': -0.024441944, 'Yes': -4.064601, ' No': -5.0401735, 'No': -8.362786, ' yes': -8.750243}
{' Yes': -0.026960101, 'Yes': -3.6503446, ' No': -8.084383, ' yes': -8.456706, ' ': -9.855048}
{' Yes': -0.4012526, ' No': -1.1289366, 'Yes': -5.5909934, 'No': -5.749635, ' ': -8.79051}
{' Yes': -0.007755152, 'Yes': -4.918941, ' No': -8.058925, ' yes': -9.625493, ' ': -10.609498}
{' Yes': -0.09897106, ' No': -2.754666, 'Yes': -3.6539998, 'No': -5.4598894, ' ': -8.274097}
{' Yes': -0.025644884, 'Yes': -3.7033372, ' No': -7.791979, ' yes': -8.832563, ' ': -9.648525}
{' Yes': -0.01933007, 'Yes': -4.407609, ' No': -5.0555696, 'No': -8.259152, ' yes': -8.364768}
{' Yes': -0.015240249, 'Yes': -4.246241, ' yes': -7.6630483, ' No': -8.319466, ' ': -9.880691}
{' Yes': -0.0011515818, 'Yes': -7.304242, ' No': -8.065762, ' yes': -8.962184, ' ': -10.733873}
{' Yes': -0.0008419255, 'Yes': -7.242605, ' yes': -9.219858, ' ': -11.071367, ' No': -12.255751}
{' Yes': -0.014829646, ' No': -4.753885, 'Yes': -5.1648808, ' yes': -8.815499, ' ': -9.048968}
{' Yes': -0.004855878, 'Yes': -5.374683, ' yes': -8.91396, ' ': -10.146865, ' No': -10.716456}
{' Yes': -0.051648404, ' No': -3.2042785, 'Yes': -4.751256, 'No': -7.6636896, ' ': -7.8388796}
{' Yes': -0.0108197825, 'Yes': -4.5685263, ' yes': -8.768177, ' ': -9.129046, ' No': -9.353766}
{' Yes': -0.09623783, ' No': -2.4112706, 'Yes': -6.395613, 'No': -8.540445, ' ': -9.402663}
{' Yes': -0.0015658606, 'Yes': -6.609351, ' No': -9.144169, ' yes': -9.527089, ' ': -10.488685}
{' Yes': -0.14895579, ' No': -2.0746932, 'Yes': -4.7562895, ' ': -6.26632, 'No': -6.453917}
{' Yes': -0.008321203, 'Yes': -4.871389, ' ': -8.009086, ' yes': -8.995734, ' No': -9.385171}
{' Yes': -0.009352972, 'Yes': -5.4162245, ' No': -5.579349, ' yes': -7.492875, ' ': -8.06004}
{' Yes': -0.005558036, 'Yes': -5.3503227, ' yes': -7.4803543, ' ': -8.940006, '\n': -9.975432}
{' Yes': -0.06921256, ' No': -3.0479836, 'Yes': -4.089377, 'No': -6.38094, ' yes': -7.2924023}
{' Yes': -0.01899991, 'Yes': -4.372506, ' No': -5.442652, ' yes': -6.4475427, 'No': -8.810183}
{' Yes': -0.072763495, ' No': -3.270704, 'Yes': -3.521143, 'No': -6.0907507, ' yes': -8.33818}
{' Yes': -0.030175406, 'Yes': -3.552377, ' No': -7.582598, ' yes': -7.663188, 'No': -10.339828}
{' Yes': -0.06287756, 'Yes': -2.9036846, ' No': -5.4652843, ' yes': -7.1873374, 'No': -7.591661}
{' Yes': -0.049690668, 'Yes': -3.057402, ' yes': -6.7080727, 'yes': -9.371341, ' ': -9.728501}
{' Yes': -0.3245936, ' No': -1.3233042, 'Yes': -4.9840727, 'No': -5.601634, ' yes': -8.550864}
{' Yes': -0.009086057, 'Yes': -4.906001, ' No': -6.7663164, ' yes': -7.7570796, ' ': -10.674846}
{' Yes': -0.11196176, 'Yes': -2.7984126, ' No': -3.2585776, 'No': -5.2388844, ' yes': -7.422024}
{' Yes': -0.043582197, 'Yes': -3.1721604, ' yes': -7.492866, 'yes': -9.499249, ' ': -9.672421}
{' Yes': -0.056954186, 'Yes': -3.0492654, ' No': -5.2357664, ' yes': -6.485554, 'No': -7.2338533}
{' Yes': -0.036831528, 'Yes': -3.411982, ' yes': -5.8955917, ' No': -8.850643, 'yes': -8.950003}
{' Yes': -0.0031389568, 'Yes': -6.599908, ' yes': -6.7058797, ' No': -7.85254, ' ': -9.077168}
{' Yes': -0.002628878, 'Yes': -6.6391196, ' yes': -6.7124267, ' ': -9.589588, 'yes': -11.492497}
{' Yes': -0.015666699, 'Yes': -4.7012687, ' No': -5.2085795, ' yes': -7.5642695, ' ': -8.092777}
{' Yes': -0.010748507, 'Yes': -4.648772, ' yes': -7.013758, ' ': -8.935278, ' No': -10.155979}
{' Yes': -0.023821946, ' No': -4.1854486, 'Yes': -4.9442053, ' ': -7.3833857, ' yes': -8.174579}
{' Yes': -0.012733331, 'Yes': -4.4315047, ' yes': -7.839008, ' ': -8.413701, ' No': -9.372153}
{' Yes': -0.04742695, ' No': -3.1448638, 'Yes': -6.035916, ' yes': -7.8727155, ' ': -8.195536}
{' Yes': -0.0034577628, 'Yes': -6.145297, ' yes': -7.430242, ' No': -7.496364, ' ': -8.92246}
{' Yes': -0.07315824, ' No': -2.865162, 'Yes': -4.6813087, ' ': -5.994034, 'No': -7.2419124}
{' Yes': -0.014545119, 'Yes': -4.3127456, ' ': -7.7077093, ' yes': -7.818898, '\n': -9.041694}
{' Yes': -0.023362475, ' No': -4.707843, 'Yes': -4.7229757, ' yes': -5.5748363, ' ': -7.161168}
{' Yes': -0.02220012, 'Yes': -4.412867, ' yes': -4.749092, ' ': -7.4077435, ' No': -8.493816}
{' Yes': -0.001500373, 'Yes': -6.809386, ' No': -8.849551, ' yes': -9.027809, ' ': -9.324823}
{' Yes': -0.0012103018, 'Yes': -6.9203844, ' yes': -9.020067, ' ': -9.628555, ' No': -11.260054}
{' Yes': -0.009232169, 'Yes': -4.849602, ' No': -7.016241, ' ': -8.392936, ' yes': -8.781525}
{' Yes': -0.00772794, 'Yes': -4.930955, ' yes': -8.435645, ' ': -8.699502, ' No': -10.009652}
{' Yes': -0.029898027, ' No': -3.8577218, 'Yes': -4.959536, ' ': -7.1959863, '\n': -8.465812}
{' Yes': -0.011909637, 'Yes': -4.5273705, ' ': -7.8026347, '\n': -8.081345, ' No': -8.840194}
{' Yes': -0.08583809, ' No': -2.5215356, 'Yes': -6.7144504, ' ': -7.7090335, 'No': -8.939742}
{' Yes': -0.003585109, ' No': -6.4076796, 'Yes': -6.4953833, ' ': -8.204921, ' yes': -9.14545}
{' Yes': -0.12681009, ' No': -2.3010921, 'Yes': -4.5057883, ' ': -5.5260234, '\n': -6.2230334}
{' Yes': -0.010943008, 'Yes': -4.6575913, ' ': -7.1698365, '\n': -8.219168, ' No': -8.421012}
{' Yes': -0.008648753, ' No': -5.1937623, 'Yes': -6.037028, ' ': -8.053192, ' yes': -8.481216}
{' Yes': -0.004036483, 'Yes': -5.7483373, ' yes': -8.028961, ' ': -8.341133, ' No': -8.609201}
{' No': -0.007757494, 'No': -4.8666897, ' ': -10.834957, ' NO': -12.058391, ' no': -13.361869}
{' No': -0.006080461, 'No': -5.1099887, ' ': -10.773093, ' NO': -13.136323, ' no': -13.436197}
{' No': -0.025552731, 'No': -3.6823845, ' ': -10.323205, ' NO': -10.607428, ' no': -12.256696}
{' No': -0.025073025, 'No': -3.7014186, ' ': -9.912678, ' NO': -11.237701, ' no': -11.916022}
{' No': -0.030683989, 'No': -3.5021348, ' ': -9.980768, ' NO': -10.4524145, ' no': -12.59099}
{' No': -0.043707848, 'No': -3.1549766, ' ': -9.265388, ' NO': -11.208673, ' no': -11.732777}
{' No': -0.009534267, 'No': -4.6613855, ' ': -10.620034, ' NO': -11.808153, ' no': -13.077271}
{' No': -0.010172634, 'No': -4.595629, ' ': -10.808446, ' NO': -13.0615635, ' no': -13.113073}
{' No': -0.063023426, 'No': -2.7989717, ' ': -8.854922, ' NO': -10.678082, '\n': -10.86357}
{' No': -0.054394167, 'No': -2.9415836, ' ': -8.981317, '\n': -11.505563, ' no': -11.776227}
{' No': -0.03727874, 'No': -3.314361, ' ': -8.742906, ' NO': -10.7741, ' no': -10.890117}
{' No': -0.036140442, 'No': -3.3446522, ' ': -8.818104, ' no': -10.332716, ' NO': -11.335936}
{' No': -0.00096559647, 'No': -6.9691176, ' ': -11.057322, ' NO': -12.311058, ' no': -13.140602}
{' No': -0.00085540453, 'No': -7.1049128, ' ': -10.543605, ' no': -12.9035225, ' NO': -12.925056}
{' No': -0.00673157, 'No': -5.0135064, ' ': -10.055868, ' NO': -11.363791, ' no': -12.636498}
{' No': -0.005786481, 'No': -5.1671247, ' ': -9.809543, ' NO': -12.240925, ' no': -12.383647}
{' No': -0.0080092, 'No': -4.846527, ' ': -9.339729, '\n': -11.084356, ' NO': -11.286433}
{' No': -0.008598491, 'No': -4.77882, ' ': -9.002531, '\n': -10.796345, ' NO': -12.191353}
{' No': -0.001898018, 'No': -6.281813, ' ': -10.948397, ' NO': -12.2134905, '\n': -13.231078}
{' No': -0.0024959776, 'No': -6.0154047, ' ': -10.102847, ' NO': -12.428807, '\n': -12.555635}
{' No': -0.009485344, 'No': -4.697901, ' ': -8.383635, '\n': -9.504061, ' NO': -11.166995}
{' No': -0.008237723, 'No': -4.8317676, ' ': -8.618949, '\n': -10.19867, ' NO': -12.042458}
{' No': -0.0072489637, 'No': -4.9661894, ' ': -8.982072, '\n': -9.274615, ' NO': -11.046107}
{' No': -0.0074567776, 'No': -4.933551, ' ': -8.914841, '\n': -9.740319, ' no': -10.8512}
{' No': -0.029311644, 'No': -3.5491195, ' ': -9.406806, ' NO': -10.428346, ' no': -11.211766}
{' No': -0.02544781, 'No': -3.6956136, ' no': -8.853753, ' ': -9.315434, ' NO': -10.225303}
{' No': -0.07458584, 'No': -2.6344078, ' ': -9.906216, ' NO': -10.604446, ' no': -11.280942}
{' No': -0.07163049, 'No': -2.6732159, ' ': -10.189336, ' no': -10.559825, ' NO': -11.158365}
{' No': -0.14234537, 'No': -2.0257032, ' ': -7.9259424, '\n': -8.35464, ' NO': -9.322516}
{' No': -0.11576129, 'No': -2.2177835, ' ': -8.353479, ' no': -9.530805, '\n': -9.915939}
{' No': -0.015834136, 'No': -4.1593943, ' ': -9.742673, ' NO': -10.917344, ' no': -11.445277}
{' No': -0.012293278, 'No': -4.4140434, ' ': -9.77356, ' no': -10.207228, ' NO': -11.441112}
{' No': -0.1380817, 'No': -2.0523882, ' ': -8.169715, '\n': -8.927014, ' NO': -9.919419}
{' No': -0.08931475, 'No': -2.4633172, ' ': -8.637401, '\n': -10.216216, ' no': -10.533628}
{' No': -0.1396868, 'No': -2.0417197, ' ': -7.969402, '\n': -9.712745, ' no': -9.764646}
{' No': -0.09202237, 'No': -2.4425435, ' ': -7.9710183, ' no': -8.2371235, '\n': -9.000603}
{' No': -0.0019948257, 'No': -6.3191633, ' ': -8.858455, ' no': -10.581914, ' NO': -11.310261}
{' No': -0.0015779806, 'No': -6.517092, ' ': -9.609879, ' no': -10.956166, '\n': -11.645874}
{' No': -0.010153847, 'No': -4.6126146, ' ': -8.919655, ' NO': -10.698275, ' no': -11.446454}
{' No': -0.014154267, 'No': -4.285106, ' ': -8.435876, ' no': -10.272695, ' NO': -11.291855}
{' No': -0.009270911, 'No': -4.713231, ' ': -8.628741, '\n': -9.855809, ' NO': -11.272646}
{' No': -0.011102534, 'No': -4.525497, ' ': -8.736314, '\n': -10.286893, ' no': -11.646206}
{' No': -0.0032416254, 'No': -5.77153, ' ': -9.286089, '\n': -11.58267, ' NO': -11.601865}
{' No': -0.0043715034, 'No': -5.500917, ' ': -8.488495, ' no': -10.218121, '\n': -10.612087}
{' No': -0.0107799, 'No': -4.5901713, ' ': -7.7682333, '\n': -9.10311, ' NO': -10.832217}
{' No': -0.019121777, 'No': -4.0068173, ' ': -7.6028485, '\n': -8.477858, ' no': -10.713884}
{' No': -0.0150000155, 'No': -4.26417, ' ': -7.7918644, '\n': -8.162886, ' no': -9.534849}
{' No': -0.02146287, 'No': -3.9298775, ' ': -7.282176, '\n': -7.588693, ' no': -8.0039015}
{' No': -0.0020559852, 'No': -6.2618403, ' ': -9.145644, '\n': -10.695903, ' NO': -11.278883}
{' No': -0.0015421616, 'No': -6.563374, ' ': -9.196033, '\n': -10.913951, ' NO': -12.127894}
{' No': -0.01103226, 'No': -4.5312505, ' ': -8.785492, ' NO': -10.551388, '\n': -10.930109}
{' No': -0.011505161, 'No': -4.4965897, ' ': -8.393682, '\n': -10.104166, ' NO': -11.295838}
{' No': -0.009041009, 'No': -4.749159, ' ': -8.411448, '\n': -9.204639, ' NO': -11.312369}
{' No': -0.014481197, 'No': -4.2973714, ' ': -7.807177, '\n': -7.962555, ' NO': -12.108071}
{' No': -0.0021361432, 'No': -6.206632, ' ': -9.24865, ' NO': -11.401018, '\n': -11.788933}
{' No': -0.0024978304, 'No': -6.0919614, ' ': -8.544635, '\n': -10.648471, ' NO': -11.689955}
{' No': -0.013572686, 'No': -4.3917937, ' ': -7.2798, '\n': -7.873573, ' NO': -11.009071}
{' No': -0.013579635, 'No': -4.3753347, ' ': -7.463368, '\n': -8.081343, ' NO': -11.785598}
{' No': -0.004141463, 'No': -5.536692, ' ': -8.89604, '\n': -10.048355, ' NO': -11.826326}
{' No': -0.0057342057, 'No': -5.229279, ' ': -8.358339, '\n': -9.215235, ' no': -11.066273}
{' No': -0.03742012, ' Yes': -3.4750896, 'No': -5.188188, 'Yes': -8.831869, ' ': -10.399589}
{' No': -0.006608083, 'No': -5.134639, ' Yes': -7.3323197, ' ': -10.264515, 'Yes': -12.253772}
{' No': -0.21857192, ' Yes': -1.788331, 'No': -3.6526537, 'Yes': -5.8175263, ' ': -9.20824}
{' No': -0.045565713, 'No': -3.4049215, ' Yes': -4.514966, 'Yes': -8.258386, ' ': -9.141195}
{' Yes': -0.22553189, ' No': -1.705297, 'Yes': -4.2497625, 'No': -5.1954165, ' yes': -8.686753}
{' Yes': -0.6872052, ' No': -0.7689713, 'No': -3.9256866, 'Yes': -4.3227677, ' ': -7.892794}
{' No': -0.04889743, ' Yes': -3.2400992, 'No': -4.801182, 'Yes': -8.210074, ' ': -9.945385}
{' No': -0.029378856, ' Yes': -3.9983728, 'No': -4.5674763, 'Yes': -8.782275, ' ': -9.679279}
{' Yes': -0.055754766, ' No': -3.4967468, 'Yes': -3.8184364, 'No': -6.483468, ' yes': -8.465821}
{' No': -0.3453998, ' Yes': -1.3764609, 'No': -3.4160097, 'Yes': -5.084213, ' ': -7.651497}
{' Yes': -0.017909896, 'Yes': -4.3803706, ' No': -5.399662, ' yes': -7.891153, 'No': -8.577117}
{' No': -0.20688397, ' Yes': -1.7754893, 'No': -4.180452, 'Yes': -6.397794, ' ': -7.8199143}
{' Yes': -0.055921596, ' No': -2.9300935, 'Yes': -7.292497, ' yes': -8.678346, ' ': -9.736544}
{' No': -0.47956306, ' Yes': -0.96770316, 'No': -7.811108, 'Yes': -8.114113, ' ': -8.454948}
{' Yes': -0.25462356, ' No': -1.5158274, 'Yes': -5.630256, 'No': -6.6977406, ' ': -8.790968}
{' No': -0.2635572, ' Yes': -1.4916474, 'No': -5.3238864, 'Yes': -6.61654, ' ': -7.8513155}
{' Yes': -0.6366139, ' No': -0.76960945, 'Yes': -5.556709, 'No': -5.710367, ' ': -8.172693}
{' Yes': -0.6916411, ' No': -0.71016717, 'Yes': -5.719444, 'No': -5.7299843, ' ': -7.0384007}
{' No': -0.32374534, ' Yes': -1.2901816, 'No': -7.0867095, 'Yes': -7.8764195, ' ': -9.535013}
{' No': -0.016355658, ' Yes': -4.21311, 'No': -6.6932883, ' ': -8.8803425, 'Yes': -10.422665}
{' Yes': -0.1776077, ' No': -1.8822756, 'Yes': -4.908736, 'No': -6.4410844, ' ': -7.1138062}
{' No': -0.4317149, ' Yes': -1.0735929, 'No': -5.383966, 'Yes': -5.9627833, ' ': -6.5812716}
{' Yes': -0.051718455, ' No': -3.0823178, 'Yes': -5.729809, ' yes': -7.465929, ' ': -8.15328}
{' Yes': -0.20625997, ' No': -1.7224782, 'Yes': -5.407756, 'No': -6.666827, ' ': -6.909049}
