{' Yes': -0.0008259966, 'Yes': -7.33266, ' Spider': -9.466446, ' yes': -10.101548, ' The': -10.42057}
{' No': -0.08494215, ' Yes': -2.5146427, 'No': -7.7670226, ' ': -9.931675, 'Yes': -9.965849}
{' No': -0.0019165318, ' Yes': -6.9514284, 'No': -7.118507, '\n': -9.627017, ' ': -9.681714}
{' Yes': -0.012548499, ' No': -4.558132, ' Hunger': -6.7176304, 'Yes': -7.5805125, ' ': -9.17264}
{' Yes': -0.0009056383, 'Yes': -7.760381, ' No': -7.9502788, ' yes': -9.562291, ' ': -11.242997}
{' Yes': -0.011075171, ' No': -4.582099, 'Yes': -7.476487, '\n': -9.385407, ' yes': -9.877004}
{'\n': -0.9314414, ' Yes': -1.0086889, ' No': -1.4944086, ' ': -4.916991, 'Yes': -6.4910474}
{' Yes': -0.25769386, ' No': -1.5520265, ' Dagger': -4.710445, ' The': -6.1464972, 'Yes': -6.445599}
{' Yes': -0.2641656, ' No': -1.4665791, 'Yes': -7.1890407, 'No': -8.486689, ' yes': -8.601437}
{' No': -0.18273099, ' Yes': -1.7988006, 'No': -7.3177214, ' The': -8.484288, ' ': -8.632134}
{' Yes': -0.18855706, ' No': -1.7722973, 'Yes': -7.2899857, ' Direct': -7.930582, ' ': -8.429815}
{' Yes': -0.116968125, ' No': -2.2226639, 'Yes': -7.0728393, ' The': -7.6562233, ' yes': -8.112252}
{' Yes': -0.029201971, ' No': -3.579186, 'Yes': -7.497578, ' yes': -8.8281975, ' The': -9.621787}
{' Yes': -0.142978, ' No': -2.0719655, ' The': -5.3612585, 'Yes': -6.669778, ' yes': -8.19839}
{' Yes': -0.3007292, ' No': -1.4322217, ' Office': -4.8026576, 'Yes': -5.6512375, ' Off': -6.304388}
{' Yes': -0.553416, ' No': -0.8577448, 'Yes': -8.253215, ' The': -8.814815, ' ': -8.873002}
{' No': -0.4648721, ' Yes': -1.0695835, '\n': -4.656568, ' ': -5.3024764, ' It': -5.6309257}
{' No': -0.07184995, ' Yes': -2.7022038, 'No': -7.500913, ' The': -7.5142436, '\n': -7.6281066}
{' Yes': -0.487438, ' No': -0.960512, ' The': -6.4498897, 'Yes': -7.6570144, ' ': -8.006556}
{' No': -0.106836826, ' Yes': -2.7395787, ' Issue': -4.0002627, '\n': -5.4265523, 'No': -6.0552373}
{' Yes': -0.5095386, ' No': -0.92266077, 'Yes': -7.5294204, '\n': -8.057086, ' yes': -8.294366}
{' Yes': -0.028988115, ' No': -3.610733, 'Yes': -7.230425, ' The': -8.339184, ' yes': -8.396978}
{' Yes': -0.21702304, ' No': -1.6426325, 'Yes': -7.2876997, ' ': -8.275851, '\n': -8.318322}
{' No': -0.04943925, ' Yes': -3.0588732, 'No': -7.107706, 'Yes': -8.717503, ' The': -9.363275}
{' No': -0.0154675245, ' Yes': -4.240744, 'No': -7.097637, 'Yes': -10.102156, ' ': -10.50365}
{' Yes': -0.12490364, ' No': -2.2300444, ' The': -5.538535, 'Yes': -6.0111437, ' Sne': -6.3580313}
{' No': -0.39635336, ' Yes': -1.1659361, ' Sne': -4.42644, 'Yes': -6.9083047, 'No': -7.3213015}
{' No': -0.0022884128, 'No': -6.4940915, ' Yes': -7.717833, ' ': -8.896356, ' Worse': -9.70095}
{' Yes': -0.006421739, ' No': -5.3702273, 'Yes': -6.906116, '\n': -8.057836, ' yes': -8.607823}
{' Yes': -0.008437748, ' No': -4.867679, 'Yes': -7.7987394, ' Purple': -8.762069, ' ': -9.920295}
{' Yes': -0.13320075, ' No': -2.338931, ' Purple': -3.6288536, 'Yes': -7.3189116, ' Pur': -7.8544884}
{' Yes': -0.0049933465, ' No': -5.839755, ' Animal': -6.829429, 'Yes': -7.3020906, ' yes': -9.1069765}
{' Yes': -0.01983001, ' No': -4.2703104, ' Animal': -5.810712, 'Yes': -6.3584795, ' The': -8.053697}
{' Yes': -0.0052465904, ' No': -6.250776, 'Yes': -6.901553, ' The': -7.1260104, ' yes': -7.4376483}
{' Yes': -0.0065212674, ' No': -5.547897, 'Yes': -6.454685, ' yes': -7.2492123, ' YES': -8.959058}
{' Yes': -0.36268193, ' No': -1.1923596, 'Yes': -7.9988055, 'No': -8.351159, ' ': -10.130151}
{' Yes': -0.004262851, ' No': -5.6487665, 'Yes': -7.4733176, ' yes': -9.557363, ' The': -10.346493}
{' Yes': -0.023029765, ' No': -3.856951, 'Yes': -6.983907, '\n': -8.168967, ' yes': -8.465218}
{' Yes': -0.0026360492, 'Yes': -6.8623385, ' YES': -7.432336, ' ': -7.823932, '\n': -8.13848}
{' Yes': -0.14072928, ' No': -2.0514863, 'Yes': -6.417784, '\n': -7.511548, 'No': -8.14153}
{' Yes': -0.03208719, ' No': -3.5032325, 'Yes': -6.741622, ' yes': -8.788337, 'No': -10.158748}
{' No': -0.005791337, ' Yes': -5.451039, 'No': -7.1972375, ' Dis': -7.4535375, '\n': -9.747443}
{' No': -0.07602379, ' Yes': -2.6267574, 'No': -8.08653, '\n': -8.390006, ' ': -8.393948}
{' Yes': -0.009193911, ' No': -4.763403, 'Yes': -7.7796955, ' yes': -9.280083, '\n': -9.967047}
{' Yes': -0.027420191, ' No': -3.6782265, 'Yes': -6.642429, ' yes': -8.704077, ' The': -9.090924}
{' Yes': -0.023743818, ' No': -3.8080304, 'Yes': -7.273232, ' yes': -8.727021, ' The': -8.848672}
{' Yes': -0.01778672, ' No': -4.4191136, ' Hammer': -5.3935475, 'Yes': -7.222794, ' ': -9.110148}
{' No': -0.030119568, ' Yes': -3.5705953, 'No': -7.665167, ' The': -8.0648, ' Second': -8.646764}
{' Yes': -0.021788964, ' No': -3.9591, 'Yes': -6.994012, ' The': -7.312276, ' yes': -7.6220694}
{' No': -0.11941189, ' Yes': -2.2036805, 'No': -6.8287544, ' The': -7.423933, 'Yes': -8.50581}
{' Yes': -0.37463963, ' No': -1.1840974, ' The': -5.927328, 'Yes': -6.3258834, 'No': -7.2283597}
{' Yes': -0.05975421, ' No': -3.015593, ' Ex': -4.8412557, 'Yes': -7.5453, ' The': -8.037939}
{' No': -0.14820735, ' Yes': -1.9905536, 'No': -7.5832143, ' ': -8.550274, 'Yes': -9.050287}
{' Yes': -0.20492157, ' No': -1.693485, ' Dollar': -7.845838, 'Yes': -8.011362, ' ': -8.190204}
{' Yes': -0.0013986006, ' No': -7.088562, 'Yes': -7.7908187, ' yes': -9.451496, ' ': -10.402538}
{' Yes': -0.8392238, ' No': -1.24926, ' Planet': -1.2771741, 'Yes': -7.34066, 'Planet': -7.8113074}
{' Yes': -0.19258039, ' No': -1.7737132, ' Planet': -5.6846833, 'Yes': -6.6143446, 'No': -8.317837}
{' Yes': -0.043188483, ' No': -3.200478, 'Yes': -6.6636662, ' yes': -9.392971, 'No': -9.833535}
{' Yes': -0.002995523, ' No': -6.047793, 'Yes': -7.7224674, ' yes': -9.165672, ' ': -10.084121}
{' Yes': -0.0022117062, 'Yes': -6.6951966, ' Ass': -7.361433, ' Pres': -8.938177, ' yes': -9.936191}
{' Yes': -0.111328766, ' No': -2.2821968, 'Yes': -6.0833783, ' Ass': -8.16311, '\n': -8.377901}
{' No': -0.032171447, ' Yes': -3.6651576, ' Circ': -6.0864944, ' Circus': -6.3915253, 'No': -7.030819}
{' No': -0.39406458, ' Yes': -1.3757885, ' Circ': -3.2031846, ' Circus': -4.0517087, ' Cir': -4.772515}
{' No': -0.6617061, ' Yes': -0.73255086, 'Yes': -6.970484, 'No': -7.2108545, ' Not': -7.805186}
{' Yes': -0.009849696, ' No': -4.8028526, 'Yes': -6.7069283, ' yes': -8.714794, '\n': -9.202261}
{' Yes': -0.34658656, ' No': -1.2330782, 'Yes': -7.831522, ' Finger': -7.9536586, 'No': -8.352928}
{' Yes': -0.061970167, ' No': -3.0691264, ' Finger': -4.465733, 'Yes': -6.9904113, '\n': -8.081692}
{' Yes': -0.0020375284, 'Yes': -6.3926144, ' yes': -9.06148, ' The': -9.102089, ' ': -10.047384}
{' Yes': -0.09091491, ' No': -2.5376484, ' The': -5.948727, 'Yes': -6.49009, '\n': -6.668612}
{' Yes': -0.05244213, ' No': -3.0055954, 'Yes': -7.0656238, ' ': -8.353013, '\n': -8.556239}
{' Yes': -0.0018551423, 'Yes': -7.096467, ' The': -7.4841757, ' No': -8.701798, ' yes': -8.814191}
{' Yes': -0.33384904, ' No': -1.2685376, 'Yes': -6.9697986, 'No': -7.5655646, ' Cancer': -7.9563637}
{' No': -0.52860487, ' Yes': -0.89946216, 'Yes': -7.0408106, 'No': -7.3022733, ' The': -7.3235917}
{' Yes': -0.0061112866, 'Yes': -5.993174, ' Sc': -6.218466, ' yes': -6.994837, ' YES': -8.230575}
{' Yes': -0.019935198, ' No': -4.7716246, ' Sc': -5.009572, 'Yes': -5.7614074, ' yes': -7.295723}
{' No': -0.43103734, ' Yes': -1.0528845, 'No': -7.4902487, 'Yes': -8.058801, ' ': -8.818673}
{' No': -0.053302933, ' Yes': -3.02581, 'No': -6.218712, ' ': -6.9588375, 'Yes': -8.5933}
{' Yes': -0.1121099, ' No': -2.2538602, 'Yes': -7.3292193, ' The': -9.101084, 'No': -9.382627}
{' No': -0.48469162, ' Yes': -0.967247, '\n': -6.8668017, ' ': -7.1193194, 'Yes': -7.2825747}
{' Yes': -0.23561212, ' No': -1.5663006, 'Yes': -7.444028, 'No': -8.8061495, ' The': -9.2214}
{' Yes': -0.33094436, ' No': -1.2713549, 'Yes': -7.2561684, 'No': -8.215658, ' yes': -9.083284}
{' Yes': -0.0061296374, ' No': -5.166175, 'Yes': -7.98989, ' yes': -10.512158, ' Cow': -11.526222}
{' Yes': -0.011534765, ' No': -4.6512785, 'Yes': -6.5662007, ' yes': -8.995926, '\n': -9.089933}
{' Yes': -0.021455197, ' No': -3.9179468, 'Yes': -6.874764, ' yes': -9.336067, ' ': -9.359617}
{' No': -0.19024026, ' Yes': -1.7592251, 'No': -7.4791956, 'Yes': -8.750545, '\n': -9.02571}
{' No': -0.10773865, ' Yes': -2.302065, 'No': -6.95035, ' The': -8.02689, '\n': -8.170427}
{' Yes': -0.07687005, ' No': -2.6312466, 'Yes': -6.957878, ' ': -8.063053, ' The': -8.359192}
{' Yes': -0.13946605, ' No': -2.156638, ' Repeat': -4.2830477, 'Yes': -8.2423, ' ': -9.492787}
{' Yes': -0.014715682, ' No': -4.2792287, 'Yes': -7.8840084, ' The': -8.987316, ' yes': -9.017796}
{' Yes': -0.004196528, ' No': -5.7009377, 'Yes': -7.400402, ' The': -9.457022, ' yes': -9.5684395}
{' Yes': -0.0013991975, 'Yes': -7.0749955, ' No': -8.676925, ' yes': -8.7066965, ' YES': -9.307577}
{' Yes': -0.0014638434, 'Yes': -6.978972, ' No': -7.972243, ' yes': -9.785413, ' YES': -10.386784}
{' Yes': -0.017589733, ' Candle': -4.501871, ' No': -5.602495, 'Yes': -6.654892, ' Cand': -7.511425}
{' Yes': -0.3564863, ' No': -1.2165251, ' The': -6.476893, 'Yes': -7.055767, 'No': -7.6192966}
{' Yes': -0.17175952, ' No': -1.8664958, 'Yes': -6.6904564, '\n': -7.432986, ' The': -7.4585443}
{' Yes': -0.037638944, ' No': -3.7736006, 'Yes': -5.4774275, ' Bleach': -5.704501, ' Beach': -5.7254896}
{' Yes': -0.008579857, ' No': -5.143456, 'Yes': -6.17828, ' yes': -8.239691, ' The': -9.085577}
{' Yes': -0.10186002, ' No': -2.3639047, 'Yes': -6.3031344, 'No': -8.06275, ' The': -8.517287}
{' Yes': -0.0011683488, 'Yes': -7.413033, ' No': -7.872538, ' yes': -9.094361, ' The': -10.562814}
{' No': -0.2572205, ' Yes': -1.4925187, 'No': -6.6221576, 'Yes': -7.804929, ' ': -9.298643}
{' No': -0.6364108, ' Yes': -0.7603675, 'No': -6.889329, 'Yes': -6.8971205, ' The': -7.026929}
{' Yes': -0.67381907, ' No': -0.7181172, 'No': -6.735697, 'Yes': -7.047495, ' The': -8.275548}
{' No': -0.41612038, ' Yes': -1.0971278, 'No': -5.745494, 'Yes': -6.57059, ' Indian': -6.77395}
{' Yes': -0.004304993, ' No': -5.737776, 'Yes': -6.975471, ' ': -9.914445, ' yes': -10.106298}
{' Yes': -0.06924635, ' No': -2.7337933, 'Yes': -6.6579857, ' ': -8.561289, '\n': -8.734766}
{' Yes': -0.14935905, ' No': -2.0217247, 'Yes': -5.572929, 'No': -6.757694, ' Hungry': -7.1405253}
{' Yes': -0.045636643, ' No': -3.1472464, 'Yes': -6.9685836, '\n': -8.539058, ' The': -8.620704}
{' No': -0.0037791824, 'No': -6.043843, ' Yes': -6.7415185, ' ': -9.5429125, ' The': -9.639815}
{' No': -0.04685812, ' Yes': -3.205227, 'No': -5.615543, ' Number': -7.4083285, ' ': -7.6505923}
{' No': -0.4545784, ' Yes': -1.0153674, 'No': -6.6294975, 'Yes': -7.4080024, ' The': -7.9147043}
{' No': -0.037298046, ' Yes': -3.3663862, 'No': -6.612998, ' ': -8.120533, '\n': -8.7457285}
{' Yes': -0.0024876113, 'Yes': -6.037573, ' yes': -9.813679, ' ': -11.145706, ' YES': -11.520365}
{' Yes': -0.0016899823, 'Yes': -6.523624, ' yes': -9.052795, ' ': -10.277225, '\n': -10.893351}
{' Yes': -0.62023526, ' No': -0.78219974, ' The': -6.7058616, 'Yes': -6.7099414, 'No': -6.721898}
{' Yes': -0.11929893, ' No': -2.2509327, 'Yes': -5.691404, ' The': -6.6354594, ' yes': -6.915487}
{' Yes': -0.016409883, ' No': -4.2312384, 'Yes': -6.574738, ' ': -9.298143, '\n': -9.453286}
{' Yes': -0.025694724, ' No': -3.7815921, 'Yes': -6.333464, ' The': -7.849662, '\n': -8.956446}
{' Yes': -0.07263966, ' No': -2.7101595, 'Yes': -6.1338253, ' ': -7.925754, ' The': -8.295107}
{' Yes': -0.047249157, ' No': -3.2209554, 'Yes': -5.5756392, ' Neph': -7.1867046, ' The': -7.87263}
{' No': -0.31591687, ' Yes': -1.3136224, 'No': -6.7239976, 'Yes': -7.6648035, ' The': -8.778196}
{' No': -0.27062082, ' Yes': -1.4519583, 'No': -6.296643, 'Yes': -7.569721, ' The': -8.425306}
{' Yes': -0.0015145822, 'Yes': -6.6875954, ' No': -8.720366, ' yes': -9.984259, ' ': -10.618038}
{' Yes': -0.001384335, 'Yes': -6.996406, ' No': -8.22138, ' yes': -9.719356, ' ': -9.802364}
{' Yes': -0.05456688, ' No': -3.0146058, 'Yes': -5.756137, ' yes': -8.473212, ' The': -8.5088}
{' Yes': -0.06341741, ' No': -2.8464735, 'Yes': -5.8120418, ' yes': -8.928814, 'No': -9.383764}
{' No': -0.011332732, 'No': -4.8137465, ' Yes': -5.8188963, ' ': -9.610817, '\n': -10.173233}
{' Yes': -0.42724663, ' No': -1.0755011, ' Ending': -6.0106225, 'Yes': -6.5812955, ' The': -6.7950425}
{' Yes': -0.006621102, ' No': -5.338242, 'Yes': -6.5986414, ' The': -8.530419, ' Energy': -9.65748}
{' Yes': -0.06342675, ' Energy': -2.9073446, ' No': -5.5266223, 'Yes': -6.3550525, ' ': -8.374624}
{' Yes': -0.005608803, 'Yes': -5.9062304, ' No': -5.962439, ' yes': -9.015151, ' ': -9.795994}
{' Yes': -0.018854732, ' No': -4.0601125, 'Yes': -6.7653284, ' yes': -9.256191, ' ': -9.650322}
{' No': -0.034993753, ' Yes': -3.4328609, 'No': -6.745771, ' The': -7.4463434, ' ': -9.104808}
{' No': -0.0040538404, 'No': -6.1079717, ' Yes': -6.464655, ' Nope': -9.211384, ' Unfortunately': -9.761356}
{' Yes': -0.026689919, ' No': -3.7457104, 'Yes': -6.427639, ' The': -7.638087, ' yes': -8.582674}
{' No': -0.017422076, 'No': -4.331156, ' Yes': -6.0968113, '\n': -6.817793, ' ': -7.3947277}
{' Yes': -0.0021374582, 'Yes': -6.186204, ' yes': -10.55753, '\n': -10.6384, ' YES': -11.361605}
{' Yes': -0.00064883946, 'Yes': -7.4558926, ' yes': -10.092077, ' The': -11.645342, ' No': -11.700525}
{' Yes': -0.016972017, ' No': -4.2195473, 'Yes': -6.5853367, ' The': -7.7938347, ' yes': -8.6485615}
{' Yes': -0.018670589, ' No': -4.580014, ' Seller': -5.3243914, 'Yes': -6.1595335, ' yes': -7.3216276}
{' No': -0.449352, ' Yes': -1.0381181, ' Bl': -5.440511, 'No': -6.437795, ' ': -7.0875163}
{' No': -0.26458517, ' Yes': -1.4685665, 'No': -6.878864, 'Yes': -7.8183174, ' yes': -8.611681}
{' Yes': -0.055342685, ' No': -2.9542284, 'Yes': -6.8253865, ' The': -8.206977, ' yes': -9.137267}
{' Yes': -0.013932605, ' No': -4.4671702, 'Yes': -6.444469, ' ': -8.3069935, ' B': -8.477366}
{' Yes': -0.00559256, ' No': -5.5674915, 'Yes': -6.395008, ' yes': -10.598492, ' The': -10.744307}
{' Yes': -0.115202524, ' No': -2.2371182, 'Yes': -6.6314945, ' The': -8.052073, 'No': -8.617861}
{' Yes': -0.0024986647, 'Yes': -6.119359, ' The': -9.264003, ' No': -9.626843, ' yes': -9.880167}
{' Yes': -0.0024107113, 'Yes': -6.3919444, ' No': -7.404266, ' yes': -9.680621, ' YES': -11.0323}
{' Yes': -0.0013498942, 'Yes': -6.688649, ' yes': -10.141818, ' No': -10.376042, '\n': -11.371924}
{' Yes': -0.3724266, ' No': -1.1882073, 'Yes': -5.9405966, 'No': -6.3534665, '\n': -7.0903883}
{' No': -0.05894045, ' Yes': -2.906385, 'No': -6.3860064, ' The': -7.4481535, 'Yes': -8.976747}
{' No': -0.011034853, ' Yes': -5.1843266, 'No': -5.3624506, '\n': -8.195254, ' ': -8.439883}
{' Yes': -0.11523215, ' No': -2.251617, 'Yes': -6.075294, ' The': -7.3691344, 'No': -8.38406}
{' Yes': -0.020032065, 'Yes': -4.744975, ' No': -4.807214, ' Stars': -6.594624, ' yes': -7.491612}
{' Yes': -0.0033090804, 'Yes': -6.5074763, ' No': -6.6464453, ' yes': -8.37987, ' The': -8.747088}
{' Yes': -0.0667571, ' No': -2.8601644, ' Doctor': -5.3428574, 'Yes': -6.411388, ' The': -8.184784}
{' No': -0.038246963, ' Yes': -3.3868947, 'No': -5.6762967, 'Yes': -9.002587, ' The': -9.78733}
{' Yes': -0.15629302, ' No': -1.9588825, 'Yes': -6.062964, ' The': -7.650094, 'No': -7.824332}
{' Yes': -0.6924531, ' No': -0.6977632, 'Yes': -7.200889, 'No': -7.351312, ' ': -8.644081}
{' Yes': -0.5001778, ' No': -0.94623417, 'Yes': -6.005671, 'No': -6.575344, ' The': -7.035099}
{' No': -0.16985641, ' Yes': -1.8798459, 'No': -6.310523, 'Yes': -7.6725354, ' The': -7.770812}
{' Yes': -0.5704283, ' No': -0.8426565, 'Yes': -6.691144, 'No': -7.2181673, ' The': -7.417369}
{' Yes': -0.014703826, ' No': -5.053316, 'Yes': -5.1127815, ' The': -6.755987, ' States': -7.911211}
{' Yes': -0.17874154, ' No': -1.8492069, 'Yes': -5.3997726, 'No': -7.8216763, ' The': -7.9201303}
{' Yes': -0.015048421, ' No': -4.296315, 'Yes': -6.7429843, ' ': -10.008735, ' yes': -10.416161}
{' No': -0.20901772, ' Yes': -1.6777143, 'No': -6.8665833, 'Yes': -7.852845, ' The': -8.875367}
{' No': -0.008627231, ' Yes': -5.0998306, 'No': -6.4573116, ' Ex': -7.4694214, ' The': -9.268375}
{' Yes': -0.2433114, ' No': -1.5681728, 'Yes': -5.685183, ' The': -6.5295935, 'No': -7.0075617}
{' Yes': -0.028997626, ' No': -4.429062, ' Loving': -4.7333794, 'Yes': -5.569385, '\n': -6.0240173}
{' Yes': -0.08138549, ' No': -2.5884864, 'Yes': -6.3964434, ' The': -7.4272785, ' ': -8.560935}
{' No': -0.042673115, ' Yes': -3.2158697, 'No': -6.6178946, ' ': -9.073493, 'Yes': -9.601578}
{' No': -0.21340819, ' Yes': -1.6571622, 'No': -7.277073, ' The': -8.268555, 'Yes': -8.459673}
{' Yes': -0.22122811, ' No': -1.6818738, ' ': -5.6183305, 'Yes': -5.686626, ' Butter': -5.989861}
{' Yes': -0.0066123432, ' No': -5.5217223, 'Yes': -6.0145464, ' yes': -9.431125, 'No': -10.970921}
{' No': -0.07475822, ' Yes': -2.6662917, 'No': -6.1029463, 'Yes': -8.935218, ' ': -9.12642}
{' Yes': -0.014764796, ' No': -4.3417377, 'Yes': -6.7313666, ' ': -8.923266, ' The': -9.03283}
{' No': -0.24591419, ' Yes': -1.5361458, ' The': -6.8345194, 'No': -6.95854, 'Yes': -7.9221187}
{' No': -0.20532885, ' Yes': -1.7011535, 'No': -6.536309, ' The': -7.073672, 'Yes': -7.8025174}
{' Yes': -0.075607836, ' No': -3.2260687, ' She': -3.7449782, 'Yes': -5.020634, ' Sheet': -7.1693864}
{' Yes': -0.07601684, ' No': -2.6844056, 'Yes': -5.559819, ' The': -7.7782474, ' yes': -8.46749}
{' Yes': -0.058764767, ' No': -2.9368029, 'Yes': -5.8577547, ' yes': -7.9341626, ' The': -8.412288}
{' Yes': -0.057953328, ' No': -2.938767, 'Yes': -6.213711, ' The': -7.251671, ' yes': -8.194572}
{' Yes': -0.27157313, ' No': -1.4503946, 'Yes': -6.538005, ' Sunset': -7.332715, ' Sun': -7.886407}
{' Yes': -0.0653479, ' No': -2.7989311, 'Yes': -6.3514824, ' The': -8.338454, ' yes': -9.056789}
{' Yes': -0.1536555, ' No': -1.9623885, 'Yes': -7.038602, ' The': -7.371446, 'No': -8.649367}
{' Yes': -0.59447765, ' No': -0.816659, ' Minute': -5.4548535, 'Yes': -7.243069, 'No': -7.4203005}
{' Yes': -0.39009273, ' No': -1.138872, 'Yes': -6.454297, 'No': -7.033153, ' ': -9.11854}
{' Yes': -0.086852945, ' No': -2.5182397, 'Yes': -6.3047333, ' Car': -8.386066, 'No': -8.653017}
{' Yes': -0.040442124, ' No': -3.26775, 'Yes': -6.9323206, ' yes': -8.368796, ' The': -8.521803}
{' Yes': -0.04829378, ' No': -3.105955, 'Yes': -6.5431056, ' The': -7.4928102, ' yes': -8.975062}
{' Yes': -0.042555682, ' No': -3.2253902, 'Yes': -6.6885595, ' The': -7.90301, 'No': -9.2363615}
{' No': -0.028276132, ' Yes': -3.7597938, 'No': -5.5314403, '\n': -8.532976, ' Not': -8.564586}
{' No': -0.034185696, ' Yes': -3.4378684, 'No': -6.904623, ' The': -8.370085, 'Yes': -9.795155}
{' No': -0.031929947, ' Yes': -3.516524, 'No': -6.519226, '\n': -9.542873, 'Yes': -9.6924305}
{' Yes': -0.0009787799, 'Yes': -7.21853, ' No': -9.445202, ' yes': -9.512439, ' The': -9.73666}
{' Yes': -0.0020659585, 'Yes': -6.7656574, ' No': -7.1756306, ' yes': -9.961401, ' The': -10.017315}
{' Yes': -0.002089312, 'Yes': -6.3272266, ' France': -9.082336, ' yes': -9.410242, ' ': -10.312643}
{' Yes': -0.0025591974, 'Yes': -6.363334, ' No': -8.1026945, ' The': -8.654002, ' yes': -8.90964}
{' Yes': -0.49361518, ' No': -0.94921005, ' The': -7.1877847, 'Yes': -7.247792, 'No': -7.8356614}
{' Yes': -0.59685963, ' No': -0.9054457, ' Muscle': -3.730311, ' Mus': -4.338095, 'Yes': -6.1423216}
{' Yes': -0.5104411, ' No': -0.9258655, ' The': -6.5526595, 'Yes': -7.258083, 'No': -7.337212}
{' Yes': -0.7071363, ' Empire': -1.392971, ' No': -1.4352552, ' Emperor': -4.5077477, ' Em': -5.289242}
{' No': -0.2199931, ' Yes': -1.629293, 'No': -6.9222007, 'Yes': -8.276528, ' ': -9.676011}
{' No': -0.0029378326, 'No': -5.955317, ' Yes': -8.270796, ' ': -10.260473, '\n': -10.386328}
{' Yes': -0.012258523, ' No': -4.559772, 'Yes': -6.5519524, ' ': -9.296004, ' The': -10.020204}
{' Yes': -0.0027740505, ' No': -6.2932305, 'Yes': -7.100752, ' yes': -9.802727, ' The': -11.283702}
{' Yes': -0.008200404, ' No': -5.0080075, 'Yes': -6.6944027, ' ': -9.534102, ' yes': -9.772069}
{' Yes': -0.6750528, '\n': -1.2399886, ' No': -1.6879426, ' ': -5.1039143, 'Yes': -5.952589}
{' Yes': -0.08836213, ' No': -2.5208993, 'Yes': -6.090536, ' The': -7.0761437, ' yes': -8.1034355}
{' Yes': -0.22217935, ' No': -1.624441, 'Yes': -6.567898, 'No': -7.8737335, ' The': -8.721279}
{' No': -0.05147324, ' Yes': -3.019006, 'No': -6.9333434, ' ': -9.056706, ' The': -9.512246}
{' Yes': -0.07542271, ' No': -2.6467059, 'Yes': -6.7639294, ' The': -8.534655, 'No': -9.098352}
{' Yes': -0.04427265, ' No': -3.2037232, 'Yes': -6.354787, ' The': -7.5619593, ' yes': -8.641919}
{' Yes': -0.109502554, ' No': -2.2851238, 'Yes': -6.6313343, 'No': -8.572288, ' The': -8.891894}
{' Yes': -0.05163686, ' No': -3.0468166, 'Yes': -6.5997286, ' The': -6.7869897, ' yes': -9.315808}
{' Yes': -0.040189486, ' No': -3.3371348, 'Yes': -5.9549575, ' The': -7.802696, ' ': -8.112961}
{' Yes': -0.2599153, ' No': -1.4826801, 'Yes': -6.8592706, 'No': -7.9731336, ' ': -8.679272}
{' No': -0.417238, ' Yes': -1.1548384, '\n': -4.5051174, ' It': -5.583221, 'No': -5.61494}
{' No': -0.58425456, ' Yes': -0.8236364, ' The': -6.6662626, 'Yes': -7.2350554, 'No': -7.295773}
{' Yes': -0.14338633, ' No': -2.0536494, ' The': -5.8133707, 'Yes': -6.629155, ' yes': -8.07237}
{' No': -0.13957754, ' Yes': -2.2005687, ' Issue': -5.1905446, 'No': -5.7144175, '\n': -5.9331093}
{' Yes': -0.18428838, ' No': -1.7949336, 'Yes': -6.53993, 'No': -8.651682, ' ': -8.829297}
{' Yes': -0.07806341, ' No': -2.624807, 'Yes': -6.551303, ' The': -7.607993, ' ': -8.335124}
{' Yes': -0.25230515, ' No': -1.5121164, 'Yes': -6.5539103, 'No': -7.7365594, ' ': -8.446193}
{' No': -0.07238012, ' Yes': -2.7081852, 'No': -6.11194, 'Yes': -7.754438, ' The': -8.226774}
{' No': -0.015980452, ' Yes': -4.256682, 'No': -6.4694653, 'Yes': -9.833559, ' ': -10.483379}
{' Yes': -0.0898512, ' No': -2.5149708, 'Yes': -5.8909507, ' The': -6.4997, ' yes': -7.829538}
{' No': -0.27137467, ' Yes': -1.4816713, ' Sne': -5.1186337, 'No': -6.4061527, 'Yes': -6.728497}
{' No': -0.0054385276, 'No': -5.5233006, ' Yes': -6.6797047, ' ': -9.322956, ' Not': -10.485631}
{' Yes': -0.009705541, ' No': -5.0081773, 'Yes': -6.0986795, ' The': -8.347976, '\n': -8.428639}
{' Yes': -0.02386919, ' No': -3.8039956, 'Yes': -6.816431, ' ': -9.728088, ' yes': -10.101807}
{' Yes': -0.44517303, ' No': -1.030571, 'Yes': -6.875814, 'No': -7.29395, ' Purple': -7.714302}
{' Yes': -0.0038032944, 'Yes': -6.3712134, ' No': -6.479913, ' Animal': -8.556541, ' yes': -8.907892}
{' Yes': -0.043358147, ' No': -3.276518, 'Yes': -5.786362, ' The': -7.464417, ' Animal': -8.040119}
{' Yes': -0.0025960703, 'Yes': -6.261257, ' The': -8.32472, ' yes': -8.469395, ' No': -9.057644}
{' Yes': -0.006723889, ' No': -5.725342, 'Yes': -5.919014, ' yes': -7.674572, ' The': -8.955393}
{' Yes': -0.27229622, ' No': -1.4400991, 'Yes': -7.0880866, 'No': -7.603982, ' ': -9.811078}
{' Yes': -0.016794223, ' No': -4.207269, 'Yes': -6.5091243, ' yes': -9.498278, ' ': -9.703103}
{' Yes': -0.007769568, ' No': -5.3253317, 'Yes': -6.0737615, '\n': -8.707184, ' yes': -8.804737}
