{' Up': -0.13971002, ' up': -2.0480924, ' "': -7.462845, ' UP': -7.8543925, 'Up': -8.495467}
{' Down': -0.49567556, ' down': -1.006599, ' Up': -4.132867, ' up': -5.520881, 'down': -6.0102077}
{' Up': -0.18875326, ' up': -1.8148329, ' Down': -5.6743984, ' down': -6.068617, ' "': -6.4050083}
{' Down': -0.5251006, ' down': -0.9096946, 'down': -6.008476, 'Down': -6.3899493, ' "': -6.7501297}
{' Up': -0.19800441, ' up': -1.8334718, ' Down': -4.568442, ' down': -4.9869847, ' "': -7.1571965}
{' Down': -0.3237401, ' down': -1.3058892, ' "': -6.121855, 'down': -6.4289246, 'Down': -6.560583}
{' Up': -0.8555042, ' down': -1.2736046, ' up': -1.7983812, ' Down': -2.2055619, ' "': -4.0205812}
{' down': -0.6234893, ' up': -1.762348, ' Down': -1.9286594, ' Up': -1.9737872, ' "': -5.0871596}
{' Up': -0.27411076, ' up': -1.6044406, ' down': -4.010391, ' Down': -4.0341415, ' "': -6.55163}
{' down': -0.40134817, ' Down': -1.1201688, ' "': -6.399183, 'down': -6.475763, 'Down': -7.227426}
{' Down': -0.59527105, ' down': -1.1883192, ' Up': -2.1284628, ' up': -4.030698, ' "': -5.5435266}
{' Up': -0.29936096, ' up': -1.3585516, ' "': -7.1166487, ' UP': -7.9322014, 'Up': -8.261633}
{' Down': -1.0028074, ' down': -1.1336782, ' Up': -1.54734, ' up': -2.368549, 'down': -6.4874983}
{' Up': -0.10474763, ' up': -2.5153558, ' Down': -4.3878875, ' down': -6.0705543, ' "': -6.081998}
{' Up': -1.1566712, ' down': -1.2703091, ' Down': -1.3686063, ' up': -1.9297235, ' "': -6.37133}
{' up': -0.4711112, ' Up': -1.1088084, ' down': -3.390825, ' Down': -4.620376, 'up': -7.427096}
{' Up': -0.5485473, ' up': -1.4609505, ' Down': -2.3222654, ' down': -2.4163072, ' "': -7.3499737}
{' up': -0.7048419, ' Up': -0.818352, ' down': -3.216669, ' Down': -3.8510308, ' "': -6.506937}
{' Up': -0.31652978, ' up': -1.3595403, ' down': -5.1773276, ' Down': -5.257711, ' "': -6.266259}
{' Down': -0.6956107, ' down': -0.70834035, 'down': -5.7904286, 'Down': -6.342501, ' "': -6.4583707}
{' Up': -0.3380744, ' up': -1.3657634, ' down': -4.197533, ' Down': -4.287003, 'up': -7.03171}
{' Down': -0.4018363, ' down': -1.1258601, ' "': -6.220733, 'down': -6.25106, 'Down': -6.404781}
{' Up': -0.46604654, ' Down': -1.9117996, ' down': -2.10654, ' up': -2.345296, ' "': -5.114726}
{' down': -1.119241, ' Up': -1.2781403, ' up': -1.391286, ' Down': -1.9470112, ' "': -6.2900596}
{' Up': -0.2020595, ' up': -1.9350842, ' Down': -3.8521125, ' down': -4.1815877, ' "': -7.4495435}
{' down': -0.48265085, ' Down': -0.97319794, ' Up': -6.570017, ' "': -6.585388, 'down': -6.9447474}
{' Down': -0.72259, ' down': -1.0714613, ' Up': -1.9789777, ' up': -3.5503526, ' "': -6.2589326}
{' Up': -0.5846182, ' up': -0.8178621, ' "': -7.7817044, 'Up': -8.146715, ' UP': -8.2045965}
{' Up': -0.76006955, ' Down': -1.2349118, ' down': -1.968785, ' up': -2.31206, 'down': -7.0730553}
{' Up': -0.14552408, ' up': -2.148324, ' Down': -4.402152, ' down': -5.5574746, ' "': -6.63382}
{' Up': -0.8271671, ' up': -1.6103549, ' down': -1.7028996, ' Down': -1.7296311, ' "': -6.999946}
{' up': -0.5983201, ' Up': -0.8161813, ' down': -5.4236054, ' Down': -6.0024276, 'up': -7.7336545}
{' Up': -0.5339025, ' up': -1.4495424, ' Down': -2.3206265, ' down': -2.5440745, 'Up': -7.7256055}
{' Up': -0.68144095, ' up': -0.7636401, ' down': -4.1985555, ' Down': -4.5309243, ' "': -6.9945474}
{' Up': -0.28606677, ' up': -1.4578291, ' Down': -5.205275, ' down': -5.226996, ' "': -5.7470536}
{' Down': -0.64587015, ' down': -0.7615832, 'down': -5.624874, 'Down': -6.1628566, ' "': -6.2105155}
{' Up': -0.37961778, ' up': -1.2317295, ' down': -4.470438, ' Down': -4.699341, ' "': -6.815014}
{' Down': -0.4144438, ' down': -1.1036355, ' "': -6.1761336, 'down': -6.2150626, ' Up': -6.51579}
{' Up': -0.6412988, ' up': -1.6371312, ' down': -1.7957177, ' Down': -2.2234273, ' "': -5.7222943}
{' up': -1.0825573, ' Up': -1.1917205, ' down': -1.326864, ' Down': -2.4144397, ' "': -7.3031254}
{' Up': -0.28587484, ' up': -1.5375171, ' Down': -4.0657687, ' down': -4.2007117, 'Up': -7.6849546}
{' down': -0.4004648, ' Down': -1.2222748, ' Up': -3.8568358, ' up': -4.545835, 'down': -6.547382}
{' Down': -0.43036434, ' down': -1.6310536, ' Up': -2.0239139, ' up': -4.4182715, ' "': -4.951963}
{' Up': -0.23196813, ' up': -1.5884362, ' "': -6.550041, 'Up': -7.844263, ' Down': -8.004772}
{' Down': -0.7461941, ' Up': -0.8403027, ' down': -2.8038492, ' up': -3.4794283, ' "': -6.7443}
{' Up': -0.09544663, ' up': -2.9047058, ' Down': -3.580716, ' down': -5.5732865, ' "': -5.6874743}
{' Up': -0.6078373, ' up': -1.53326, ' Down': -2.00893, ' down': -2.2793844, ' "': -6.624009}
{' up': -0.60650957, ' Up': -0.84146637, ' down': -4.192016, ' Down': -5.002721, 'up': -7.484191}
{' Up': -0.49170002, ' up': -1.1819313, ' Down': -3.1266465, ' down': -3.32799, 'Up': -7.5438094}
{' Up': -0.3983139, ' up': -1.1440223, ' Down': -5.493031, ' down': -5.7357464, ' UP': -6.8105106}
{' Up': -0.22525388, ' up': -1.6491163, ' Down': -5.736459, ' down': -5.8853507, ' "': -6.128618}
{' Down': -0.6146177, ' down': -0.794927, 'down': -5.860679, 'Down': -6.2987337, ' "': -6.3708577}
{' Up': -0.29531685, ' up': -1.4597379, ' down': -4.5384083, ' Down': -4.597023, ' "': -7.1413326}
{' Down': -0.40731633, ' down': -1.1130239, ' "': -6.2670574, 'down': -6.4424596, 'Down': -6.6505604}
{' Up': -0.5319808, ' down': -1.854172, ' Down': -1.9193901, ' up': -2.261038, ' "': -5.6098137}
{' down': -0.63135844, ' Down': -1.4794153, ' Up': -2.038955, ' up': -2.2435658, ' "': -5.9986334}
{' Up': -0.2302655, ' up': -1.7375495, ' Down': -4.180878, ' down': -4.3614473, ' "': -7.5998077}
{' down': -0.32781565, ' Down': -1.2880569, 'down': -6.5914493, ' "': -6.758498, 'Down': -7.357269}
{' down': -0.82163024, ' Down': -1.0169941, ' Up': -1.9281346, ' up': -3.0762079, ' "': -5.433185}
{' up': -0.42748442, ' Up': -1.0709361, ' down': -6.038061, ' "': -6.970804, ' Down': -6.989994}
{' Up': -0.7713581, ' up': -1.6179177, ' Down': -1.6915603, ' down': -1.8824803, ' "': -7.1133265}
{' Up': -0.18772972, ' up': -2.2967212, ' Down': -2.9257839, ' down': -4.3414636, ' "': -5.8279743}
{' Up': -0.65449196, ' up': -1.4952552, ' down': -2.0633152, ' Down': -2.0743663, ' "': -6.518597}
{' up': -0.42041218, ' Up': -1.182976, ' down': -3.619375, ' Down': -4.7779465, 'up': -7.349935}
{' Up': -0.63284856, ' up': -0.9804857, ' down': -2.9910216, ' Down': -3.186483, ' UP': -7.641875}
{' Up': -0.6560777, ' up': -0.8166803, ' down': -3.855609, ' Down': -4.1475554, ' "': -7.061624}
{' Up': -0.16619171, ' up': -2.0304725, ' Down': -4.5579305, ' down': -4.870625, ' "': -5.947731}
{' Down': -0.74707973, ' down': -0.7530078, ' Up': -3.438156, ' up': -4.128174, ' "': -5.6830306}
{' Up': -0.23618826, ' up': -1.8884499, ' Down': -3.4111092, ' down': -3.7756815, ' "': -6.563538}
{' Down': -0.29933435, ' down': -1.3967426, ' Up': -5.486214, ' "': -5.7316227, 'Down': -6.358855}
{' Up': -0.3589185, ' up': -1.2294114, ' down': -5.229987, ' Down': -6.2120295, ' UP': -7.2653494}
{' down': -0.81109804, ' up': -1.1938627, ' Up': -1.8056468, ' Down': -2.50074, 'down': -6.2806726}
{' Up': -0.32480738, ' up': -1.3015338, ' down': -6.06149, ' Down': -6.6834707, 'up': -7.4325666}
{' down': -0.3832251, ' Down': -1.1565635, 'down': -6.2281823, 'Down': -6.781941, ' DOWN': -8.43899}
{' Down': -0.7744484, ' Up': -1.1679535, ' down': -1.6038514, ' up': -3.6996765, 'Down': -7.2953753}
{' Up': -0.3472911, ' up': -1.24113, ' down': -6.2379346, ' Down': -6.368966, 'Up': -8.131364}
{' Up': -0.34679234, ' up': -1.8179399, ' Down': -2.5699215, ' down': -2.9389591, 'Up': -8.061172}
{' Up': -0.07119461, ' up': -3.3953044, ' Down': -3.5278327, ' down': -5.3886323, ' "': -7.5400605}
{' Up': -0.30189484, ' up': -1.4368551, ' down': -4.499723, ' Down': -4.6590915, ' UP': -6.9495344}
{' down': -0.14462502, ' Down': -2.189026, ' up': -4.4475994, ' Up': -5.0385456, 'down': -5.808611}
{' Up': -0.42060578, ' up': -1.1387969, ' down': -4.4164877, ' Down': -4.656686, 'Up': -7.6481214}
{' down': -0.55465895, ' Down': -0.8655338, 'down': -6.090545, 'Down': -6.465267, ' Up': -7.453556}
{' Up': -0.17758422, ' up': -1.9584298, ' Down': -4.547823, ' down': -4.8785386, ' "': -6.068391}
{' down': -0.74450624, ' Down': -0.75243694, ' Up': -3.5089622, ' up': -4.2200847, ' "': -5.3834777}
{' Up': -0.27080318, ' up': -1.7154901, ' Down': -3.5473514, ' down': -3.6613615, ' "': -6.82686}
{' Down': -0.46292353, ' down': -1.0155395, ' "': -5.7469726, 'down': -6.171431, 'Down': -6.461436}
{' Up': -0.34035277, ' up': -1.3092592, ' down': -4.474361, ' Down': -5.2988143, ' UP': -7.431068}
{' down': -0.8677258, ' up': -1.1509537, ' Up': -1.6991239, ' Down': -2.5747113, 'down': -6.5777225}
{' Up': -0.29830748, ' up': -1.4047033, ' down': -5.07436, ' Down': -5.522278, 'up': -7.0753}
{' down': -0.25430724, ' Down': -1.5101075, 'down': -6.195589, 'Down': -6.9354534, ' DOWN': -8.356949}
{' Up': -0.9803396, ' down': -1.2478223, ' Down': -1.3700835, ' up': -2.5098653, 'down': -7.140785}
{' Up': -0.48037142, ' up': -0.98192394, ' down': -5.6053886, ' Down': -6.0444527, 'Up': -8.105431}
{' Up': -0.35881123, ' up': -1.5982654, ' Down': -2.9389234, ' down': -3.0970235, 'Up': -8.0765915}
{' Down': -0.86435354, ' Up': -1.163178, ' down': -1.4853425, ' up': -3.312937, ' "': -6.5827518}
{' Up': -0.34808952, ' up': -1.3482363, ' down': -3.9529097, ' Down': -4.390501, ' UP': -7.083559}
{' down': -0.34907433, ' up': -1.6417873, ' Up': -2.9503448, ' Down': -3.272078, ' e': -5.3309507}
{' Up': -0.5385476, ' up': -0.9673787, ' down': -3.7957687, ' Down': -4.4332237, 'Up': -7.401529}
{' down': -0.52588385, ' Down': -0.90679085, 'down': -6.2588553, 'Down': -6.5982556, ' Up': -6.8837595}
{' Up': -0.23816888, ' up': -1.6823922, ' Down': -4.448782, ' down': -4.5938416, ' "': -5.8638825}
{' down': -0.679926, ' Down': -0.74523365, ' Up': -4.8853817, ' up': -5.574606, ' "': -5.805351}
{' Up': -0.3272731, ' up': -1.3870568, ' down': -4.263636, ' Down': -4.359883, 'up': -6.9900002}
{' Down': -0.5780075, ' down': -0.8434609, 'down': -5.932652, ' "': -6.1306, 'Down': -6.2790966}
{' Up': -0.45377618, ' up': -1.0423936, ' down': -4.837897, ' Down': -5.9952316, 'Up': -7.579277}
{' up': -0.58278424, ' down': -1.414863, ' Up': -1.8122993, ' Down': -3.49546, 'up': -6.6493554}
{' Up': -0.3258854, ' up': -1.300018, ' down': -5.9883795, ' Down': -6.475711, 'up': -7.4013247}
{' down': -0.3105659, ' Down': -1.3345412, 'down': -6.177555, 'Down': -6.782005, ' DOWN': -8.774996}
{' Up': -1.0105368, ' down': -1.2548797, ' Down': -1.3074156, ' up': -2.5525653, 'down': -7.0366936}
{' Up': -0.6163047, ' up': -0.7799991, ' down': -7.4210777, ' Down': -8.076349, 'Up': -8.189489}
{' Up': -0.33129817, ' up': -1.5161833, ' Down': -3.449054, ' down': -3.5227003, 'Up': -7.796}
{' Up': -0.41487575, ' up': -1.7041442, ' Down': -2.5335984, ' down': -2.5804355, ' "': -6.60394}
{' Up': -0.33453023, ' up': -1.373564, ' down': -4.1192036, ' Down': -4.4010854, 'Up': -7.127178}
{' up': -0.530589, ' down': -1.5149524, ' Up': -1.7806348, ' Down': -4.0346017, ' e': -6.4364405}
{' Up': -0.45468655, ' up': -1.0482458, ' down': -4.9284396, ' Down': -5.2384562, 'Up': -7.051259}
{' down': -0.66209084, ' Down': -0.74201834, ' Up': -5.9067116, 'down': -6.132413, 'Down': -6.390728}
{' Up': -0.47321486, ' up': -1.8267304, ' Down': -2.268833, ' down': -2.2705095, ' "': -4.9530635}
{' down': -0.63273746, ' Down': -0.7929738, ' Up': -5.2838316, 'down': -5.595031, ' "': -5.744294}
{' Up': -0.44107652, ' up': -1.9038509, ' Down': -2.1613636, ' down': -2.4513838, ' "': -6.0529766}
{' Down': -0.37522134, ' down': -1.1868325, 'down': -5.774084, 'Down': -6.117967, ' "': -6.264232}
{' Up': -0.31178403, ' up': -1.3689759, ' down': -4.8855963, ' Down': -5.4853506, 'Up': -7.5043764}
{' down': -0.45100436, ' up': -1.7140373, ' Down': -2.2533267, ' Up': -2.6089442, 'down': -6.261994}
{' Up': -0.429971, ' up': -1.074054, ' down': -5.5663176, ' Down': -6.3966455, 'up': -6.7502203}
{' down': -0.43915966, ' Down': -1.0462114, 'down': -6.0684, 'Down': -6.5749993, ' DOWN': -8.511076}
{' down': -0.9779085, ' Up': -1.1934274, ' up': -1.7959245, ' Down': -1.8859361, 'down': -6.710645}
{' up': -0.7725785, ' Up': -1.3901514, ' down': -1.5354208, ' Down': -2.6443455, 'down': -6.795031}
{' Up': -0.58450645, ' up': -1.0080503, ' down': -3.063884, ' Down': -3.5193684, 'up': -7.5903707}
{' Down': -0.8148389, ' down': -0.86883026, ' Up': -2.229794, ' up': -3.640673, 'down': -6.095993}
{' Up': -0.27613512, ' up': -1.6509863, ' Down': -3.5513024, ' down': -3.999829, 'Up': -7.1582675}
{' down': -0.5257437, ' Down': -0.93243057, 'down': -5.2583065, ' Up': -5.3560867, ' up': -5.794695}
{' Up': -0.23944646, ' up': -1.7784957, ' Down': -3.5785844, ' down': -4.2739615, 'Up': -7.0651236}
{' Down': -0.45219043, ' down': -1.030592, 'down': -5.793276, 'Down': -6.130689, ' Up': -6.8089805}
{' Up': -0.25488472, ' up': -1.5972424, ' Down': -4.767124, ' down': -4.829714, ' "': -5.359594}
{' down': -0.53689843, ' Down': -0.9051789, ' "': -5.670851, 'down': -5.818593, ' Up': -6.2888947}
{' Up': -0.3345518, ' up': -1.558215, ' Down': -3.3504379, ' down': -3.3521202, ' "': -6.3868904}
{' Down': -0.42748517, ' down': -1.0786883, ' "': -5.569296, 'down': -6.089942, 'Down': -6.5681887}
{' Up': -0.4054975, ' up': -1.1456995, ' down': -4.6698484, ' Down': -5.73853, ' UP': -6.956547}
{' down': -0.10922316, ' Down': -2.601508, ' up': -3.911948, ' Up': -4.991568, 'down': -6.5044694}
{' Up': -0.23879473, ' up': -1.6451154, ' down': -4.695017, ' Down': -4.761025, ' "': -7.572878}
{' down': -0.43943566, ' Down': -1.0442197, 'down': -6.247295, 'Down': -6.850551, ' "': -7.6290736}
{' Up': -0.9985127, ' Down': -1.0253891, ' down': -1.5395073, ' up': -2.917128, ' "': -6.0146966}
{' up': -0.6527345, ' Up': -0.73989856, ' down': -7.01684, ' Down': -7.619802, ' "': -8.20703}
{' Up': -0.24119464, ' up': -2.1646984, ' Down': -2.6718032, ' down': -3.5421395, ' "': -7.67738}
{' Up': -0.79253584, ' Down': -1.212061, ' down': -1.80472, ' up': -2.5315914, ' "': -5.5921664}
{' Up': -0.6053355, ' up': -0.8879188, ' down': -3.4638388, ' Down': -4.8348045, 'Up': -6.9738097}
{' down': -0.05582125, ' Down': -3.0539117, 'down': -5.5572777, ' up': -6.2292123, ' Up': -7.564536}
{' Up': -0.71456057, ' up': -0.7315323, ' down': -3.8775587, ' Down': -5.0012484, 'up': -7.271725}
{' down': -0.20116173, ' Down': -1.7278703, 'down': -5.7395964, 'Down': -7.069236, ' DOWN': -8.399749}
{' Up': -0.30240887, ' up': -1.4770972, ' down': -4.2579904, ' Down': -4.310429, ' "': -5.5698795}
{' down': -0.6617578, ' Down': -0.76437324, ' Up': -4.8898916, ' up': -5.5342765, ' "': -5.8652983}
{' Up': -0.34571102, ' up': -1.4713157, ' down': -3.4533045, ' Down': -3.5752509, ' "': -6.998341}
{' Down': -0.5232989, ' down': -0.9179713, ' "': -5.7928224, 'down': -6.0711384, 'Down': -6.42244}
{' Up': -0.44657332, ' up': -1.154995, ' down': -3.4553986, ' Down': -4.481516, ' "': -7.295576}
{' down': -0.20493977, ' Down': -2.0645454, ' up': -3.282912, ' Up': -4.0005345, 'down': -6.4357743}
{' Up': -0.22431424, ' up': -1.6764473, ' down': -5.0391183, ' Down': -5.1222215, 'Up': -7.5483823}
{' down': -0.51373386, ' Down': -0.9209357, 'down': -6.2916956, 'Down': -6.716413, ' "': -7.946801}
{' Down': -0.9055194, ' Up': -1.0938644, ' down': -1.5345553, ' up': -3.1571462, ' "': -6.9827175}
{' up': -0.6586864, ' Up': -0.7312496, ' down': -7.9564056, 'Up': -8.4811535, 'up': -8.483631}
{' Up': -0.40931612, ' up': -1.6645098, ' Down': -2.4766228, ' down': -2.7987185, 'Up': -7.7794676}
{' Up': -0.2001108, ' up': -1.9467406, ' Down': -3.6872225, ' down': -4.424361, ' "': -7.148642}
{' Up': -0.37666622, ' up': -1.2427533, ' down': -4.215017, ' Down': -4.8547053, 'Up': -6.981509}
{' down': -0.07431686, ' Down': -3.0459373, ' up': -4.199557, 'down': -5.5064383, ' Up': -5.6170254}
{' Up': -0.58280355, ' up': -0.86822677, ' down': -4.300609, ' Down': -5.0084796, 'up': -7.4115562}
{' down': -0.41748926, ' Down': -1.0884259, 'down': -6.0178995, 'Down': -6.700667, ' Up': -7.9605565}
{' Up': -0.22834986, ' up': -1.7921888, ' Down': -4.031189, ' down': -4.3185954, ' "': -5.2731533}
{' Down': -0.64491975, ' down': -0.77109087, ' Up': -5.650639, ' "': -5.723237, 'down': -5.9918127}
{' Up': -0.36081067, ' up': -1.3801856, ' down': -3.7029433, ' Down': -3.778957, ' "': -6.4341173}
{' Down': -0.48543215, ' down': -0.9822831, ' "': -5.379414, 'down': -6.159584, 'Down': -6.448448}
{' Up': -0.36893484, ' up': -1.2535859, ' down': -4.2970357, ' Down': -4.9586163, ' UP': -7.207031}
{' Up': -0.805306, ' up': -1.3443323, ' down': -1.6099648, ' Down': -2.4190125, 'down': -7.5946326}
{' Up': -0.14673093, ' up': -2.0387158, ' Down': -5.941073, ' down': -6.2749295, 'Up': -7.2001424}
{' down': -0.64649206, ' Down': -0.76604277, ' Up': -5.3436494, 'down': -6.1186547, 'Down': -6.507742}
{' Down': -0.90505785, ' down': -1.1021957, ' Up': -1.5315608, ' up': -3.1682088, ' "': -5.719379}
{' Up': -0.67543995, ' up': -0.75021565, ' down': -4.461809, ' Down': -5.129322, ' "': -7.545728}
{' Up': -0.35780412, ' up': -1.4666774, ' Down': -3.330159, ' down': -3.4078698, ' "': -8.00664}
{' Up': -0.19455354, ' up': -2.5145075, ' Down': -2.6445255, ' down': -3.8079357, ' "': -6.3580775}
{' Up': -0.24758136, ' up': -1.6068876, ' down': -4.7501316, ' Down': -4.8417544, 'Up': -7.021354}
{' down': -0.13223684, ' Down': -2.1811926, ' up': -5.3640747, 'down': -5.802238, ' Up': -6.1282845}
{' Up': -0.610291, ' up': -0.8359723, ' down': -4.2982526, ' Down': -4.860972, 'up': -7.2121487}
{' down': -0.68140954, ' Down': -0.7149846, 'down': -6.2132316, 'Down': -6.425969, ' Up': -7.352788}
{' Up': -0.20951857, ' up': -1.760872, ' Down': -5.0014, ' down': -5.1063824, ' "': -5.780605}
{' Down': -0.64583766, ' down': -0.75977314, ' "': -5.942943, 'down': -6.1287837, 'Down': -6.5640407}
{' Up': -0.33989465, ' up': -1.5311577, ' down': -3.2884057, ' Down': -3.4675646, ' "': -6.531091}
{' Down': -0.45583647, ' down': -1.0239726, ' "': -5.817336, 'down': -6.2630224, 'Down': -6.490163}
{' Up': -0.35458246, ' up': -1.4208552, ' down': -3.3306239, ' Down': -4.0299096, ' "': -6.2842903}
{' down': -0.108769186, ' Down': -2.3520591, ' up': -5.6586556, ' Up': -6.2544346, 'down': -6.371598}
{' Up': -0.48243448, ' up': -0.9963581, ' down': -4.764819, ' Down': -5.787051, 'up': -7.1562757}
{' down': -0.3064038, ' Down': -1.3453671, 'down': -6.2709846, 'Down': -7.0311694, ' "': -7.489227}
{' down': -1.0942252, ' Up': -1.1425822, ' Down': -1.3653224, ' up': -2.4309466, ' "': -6.606933}
{' up': -0.34414807, ' Up': -1.2458012, ' down': -6.0577683, ' Down': -7.474, 'up': -8.370854}
{' Up': -0.6391463, ' up': -0.98045105, ' down': -2.8513958, ' Down': -3.2710087, 'up': -7.7812366}
{' Up': -0.6468834, ' Down': -1.399651, ' down': -2.0088732, ' up': -2.3857176, ' "': -6.1517296}
{' Up': -0.4520576, ' up': -1.1490753, ' down': -3.5537117, ' Down': -4.1478314, 'Up': -7.269055}
{' down': -0.13727687, ' Down': -2.5320103, ' up': -3.3347733, ' Up': -4.6604033, 'down': -5.875505}
{' Up': -0.51095146, ' up': -0.98787457, ' down': -4.0937705, ' Down': -4.6726046, 'up': -7.4807444}
{' down': -0.64625865, ' Down': -0.7514337, 'down': -6.1733346, 'Down': -6.498334, ' Up': -8.249167}
{' Up': -0.15596087, ' up': -2.0030658, ' Down': -5.445309, ' down': -5.9331994, ' "': -6.5767503}
{' Down': -0.71027124, ' down': -0.7160906, ' Up': -4.7211223, ' up': -5.6566157, 'down': -5.7228556}
{' Up': -0.14251924, ' up': -2.2068923, ' Down': -4.2379336, ' down': -5.0500965, 'Up': -7.480476}
{' Down': -0.16975406, ' down': -1.8989942, ' Up': -6.0065703, 'Down': -6.610986, ' "': -6.7337394}
{' Up': -0.31188703, ' up': -1.4878153, ' down': -3.6328287, ' Down': -4.260062, ' UP': -7.8193254}
{' up': -0.74225867, ' Up': -0.90693915, ' down': -2.3956802, ' Down': -3.6608796, 'up': -7.048542}
{' Up': -0.47344813, ' up': -1.0254252, ' down': -4.510706, ' Down': -5.2316, 'up': -7.110615}
{' down': -0.44916752, ' Down': -1.1496357, ' Up': -3.4566576, ' up': -4.630617, 'down': -6.4152107}
{' Down': -0.817067, ' Up': -0.967555, ' down': -1.886115, ' up': -3.7502184, ' "': -6.8450956}
{' Up': -0.31683117, ' up': -1.3232247, ' Down': -6.096767, ' down': -6.198041, 'Up': -7.9163504}
{' Up': -0.16711554, ' up': -2.603519, ' Down': -2.757661, ' down': -4.19358, 'Up': -7.625741}
{' Up': -0.10236924, ' Down': -2.7030618, ' up': -3.7721727, ' down': -5.1726375, ' "': -7.177577}
{' Up': -0.17904897, ' up': -1.8950428, ' Down': -5.0659757, ' down': -5.436125, ' "': -6.3976245}
{' Down': -0.39353442, ' down': -1.1636606, ' Up': -5.2510343, 'down': -5.975911, ' "': -6.2818685}
{' Up': -0.19645791, ' up': -1.8396655, ' Down': -4.56944, ' down': -4.9772215, 'Up': -7.350066}
{' Down': -0.28491828, ' down': -1.4174865, ' "': -6.411928, 'down': -6.5151787, 'Down': -6.5153904}
{' Up': -0.31796154, ' up': -1.5990132, ' down': -3.2179687, ' Down': -3.5600953, ' "': -7.6405473}
{' up': -0.7800224, ' Up': -0.8290031, ' down': -2.5569386, ' Down': -3.7308698, 'up': -7.0700827}
{' Up': -0.37670305, ' up': -1.2808169, ' down': -3.966333, ' Down': -4.216186, 'up': -7.2681537}
{' down': -0.42437217, ' Down': -1.2451482, ' Up': -3.27846, ' up': -4.117241, 'down': -6.3486576}
{' Up': -0.88998747, ' Down': -0.98283905, ' down': -1.7773641, ' up': -3.158107, ' "': -6.673457}
{' Up': -0.49856362, ' up': -0.9411811, ' down': -7.137151, ' Down': -7.5913153, 'up': -7.7573924}
{' Up': -0.19848074, ' up': -2.4153595, ' Down': -2.6926746, ' down': -3.8417072, 'Up': -7.735599}
{' Up': -0.2136571, ' Down': -2.1583915, ' up': -2.9869819, ' down': -3.7419827, ' "': -6.5136585}
{' Up': -0.19227158, ' up': -1.8119311, ' Down': -5.320609, ' down': -5.7289557, ' "': -6.1637425}
{' down': -0.52249104, ' Down': -0.9440513, ' Up': -5.3561034, 'down': -5.429939, ' "': -5.544185}
{' Up': -0.20786524, ' up': -1.7641662, ' Down': -4.7703366, ' down': -5.171562, 'up': -7.269411}
{' Down': -0.3102255, ' down': -1.345231, 'down': -6.2731237, 'Down': -6.412017, ' "': -6.468125}
{' Up': -0.4309758, ' up': -1.2581489, ' down': -3.1409194, ' Down': -3.873143, ' "': -7.500061}
{' up': -0.46025684, ' Up': -1.1318648, ' down': -3.325798, ' Down': -4.932211, 'up': -6.610754}
{' Up': -0.39812657, ' up': -1.1634179, ' down': -4.8070755, ' Down': -5.207407, 'up': -7.0036807}
{' down': -0.5025316, ' Down': -1.020495, ' Up': -3.7599607, ' up': -4.8727593, 'down': -6.481341}
{' Up': -0.60314167, ' Down': -1.4776858, ' down': -1.9487647, ' up': -2.531681, ' "': -6.9987965}
{' up': -0.63827705, ' Up': -0.755783, ' down': -7.1080036, 'up': -7.776861, ' Down': -7.9816628}
{' Up': -0.18269114, ' up': -2.0074437, ' Down': -3.8304152, ' down': -4.6089644, 'Up': -7.925069}
{' Up': -0.28343132, ' Down': -1.9355003, ' up': -2.8084767, ' down': -3.2284997, ' "': -6.7637415}
{' Up': -0.23251626, ' up': -2.0961711, ' Down': -2.987893, ' down': -3.6004665, ' "': -5.275788}
{' down': -0.4505975, ' Down': -1.0626104, ' "': -5.3142867, 'down': -5.343372, ' Up': -5.634721}
{' Up': -0.30687568, ' Down': -2.043524, ' up': -2.4590917, ' down': -3.101004, ' "': -6.6834483}
{' Down': -0.2614267, ' down': -1.49847, ' "': -6.0907817, 'down': -6.1374183, 'Down': -6.312499}
{' Up': -0.394636, ' up': -1.6157339, ' down': -2.6405046, ' Down': -2.9297082, ' "': -6.745395}
{' up': -0.7372767, ' Up': -1.2854868, ' down': -1.6255958, ' Down': -3.12703, 'up': -6.7923627}
{' Up': -0.38155234, ' up': -1.3593069, ' down': -3.4902425, ' Down': -3.6135201, 'up': -6.8267717}
{' Down': -0.59707326, ' down': -0.86278605, ' Up': -3.9233422, ' up': -5.5473614, 'down': -6.429056}
{' Up': -0.6769379, ' up': -1.6937854, ' down': -1.7295349, ' Down': -2.0619342, ' "': -6.69303}
{' down': -1.0301673, ' up': -1.0471542, ' Up': -1.7262104, ' Down': -2.2170987, 'down': -5.7774243}
{' Up': -0.34711394, ' up': -1.5006707, ' Down': -3.3200715, ' down': -3.4181871, 'Up': -7.830769}
{' Down': -0.76863384, ' down': -1.3960277, ' Up': -1.424922, ' up': -3.1186533, 'down': -6.320657}
{' Up': -0.19122311, ' up': -1.8842562, ' Down': -4.5853195, ' down': -4.960327, ' "': -5.647539}
{' Down': -0.42571196, ' down': -1.0801193, 'down': -6.072865, ' "': -6.2096295, 'Down': -6.500832}
{' Up': -0.15634152, ' up': -2.0563085, ' Down': -4.6284714, ' down': -5.304958, ' "': -7.351114}
{' Down': -0.26887947, ' down': -1.4686915, ' "': -6.001986, 'down': -6.560475, 'Down': -6.63292}
