{' !': -8.781245e-05, '!': -9.38345, ' @': -12.985971, ' ': -13.820295, '!.': -15.134049}
{' $': -0.0007539364, ' ': -8.6670265, ' $\\': -8.74067, '$': -8.824921, ' @': -8.966451}
{' $': -0.0012989854, ' @': -7.6402874, '$': -8.288704, ' ': -8.374459, ' $\\': -8.643841}
{' $': -0.0016006047, ' #': -6.8701496, '$': -8.459042, ' ': -8.961342, ' $\\': -9.00388}
{' $': -0.005851651, ' #': -5.2695327, '$': -8.145979, ' ': -8.6533985, ' $\\': -9.156419}
{' @': -0.001705805, '@': -6.4555287, ' ': -9.151869, '\n': -12.06539, ' @@': -12.475228}
{' @': -0.0020838173, '@': -6.242654, ' ': -9.197732, '\n': -11.524541, ' @@': -12.207745}
{' #': -9.687513e-05, '#': -9.479285, ' ': -11.094895, ' "#': -13.803412, '\n': -13.950099}
{' #': -0.00010665305, '#': -9.337291, ' ': -11.193137, '\n': -13.713813, '               ': -14.491709}
{' $': -0.0019797152, '$': -6.3807635, ' $\\': -8.411166, ' ': -10.775959, ' $$': -10.896026}
{' $': -0.002664557, '$': -6.027618, ' $\\': -8.753869, ' $$': -10.0417185, ' ': -10.575377}
{' !': -0.00021002105, ' @': -9.152001, '!': -9.275619, ' ': -11.886842, ' !!': -13.77478}
{' !': -0.00063679187, ' @': -7.5775275, '!': -9.163947, ' ': -11.222164, ' !!': -12.994346}
{' #': -0.00015863274, '#': -9.584866, ' @': -9.60275, ' ': -11.355555, '\n': -12.643097}
{' #': -0.00021634194, ' @': -9.001721, '#': -9.649523, ' ': -10.838807, '\n': -12.7039175}
{' $': -0.0017087897, '$': -6.705421, ' $\\': -8.72702, ' @': -8.899258, ' $$': -9.146421}
{' $': -0.0020865654, '$': -6.591182, ' @': -7.786638, ' $$': -9.134995, ' $\\': -9.209502}
{' !': -0.00042997237, ' #': -7.904555, '!': -9.823397, ' ': -12.590681, ' !!': -13.421205}
{' !': -0.004676927, ' #': -5.405466, '!': -8.848179, ' ': -10.9901085, ' !!': -11.9134445}
{' @': -0.00680082, ' #': -5.264407, '@': -6.5668554, ' ': -8.96886, ' @@': -10.546525}
{' @': -0.010561151, ' #': -4.7122364, '@': -6.5976825, ' ': -9.246326, ' @@': -10.64405}
{' $': -0.0038838924, ' #': -5.9762135, '$': -6.8676, ' $$': -9.216463, ' $\\': -9.244667}
{' $': -0.0070248065, ' #': -5.183637, '$': -6.7567854, ' $$': -9.357412, ' $\\': -9.805167}
{' !': -0.00024990342, '!': -8.485273, ' $': -10.456255, ' ': -11.707966, '!.': -12.805996}
{' !': -0.0007356825, ' $': -7.537764, '!': -8.73138, ' ': -10.59511, '!.': -12.412551}
{' @': -0.0012514812, '@': -6.850996, ' ': -9.511926, ' $': -9.545166, ' @@': -11.091467}
{' @': -0.0016495009, '@': -6.683675, ' $': -8.625604, ' ': -8.816178, ' @@': -10.889753}
{' #': -8.88872e-05, ' $': -10.15664, '#': -10.858858, ' ': -10.907365, ' \\': -12.629051}
{' #': -0.00013252322, ' $': -9.470546, '#': -10.720382, ' ': -10.785438, '\n': -13.005534}
{' @': -0.0024635883, '@': -6.072337, ' ': -8.980383, '\n': -12.037228, ' "@': -12.708021}
{' @': -0.0034008252, '@': -5.738975, ' ': -8.866435, '\n': -11.821393, ' !': -12.306902}
{' #': -0.00010522067, '#': -9.394291, ' ': -11.0408325, ' "#': -13.653908, '\n': -14.144253}
{' #': -9.604066e-05, '#': -9.410388, ' ': -11.362251, '\n': -14.387479, ' "#': -15.170248}
{' $': -0.0020192522, '$': -6.3758593, ' $\\': -8.315677, ' ': -10.517912, ' $$': -10.799126}
{' $': -0.0024342537, '$': -6.102989, ' $\\': -9.201927, ' $$': -10.069345, ' ': -10.486273}
{' !': -0.00011702421, '!': -9.3534775, ' @': -10.798061, ' ': -12.011753, ' <': -13.578387}
{' !': -0.0002364347, ' @': -8.838621, '!': -9.523715, ' ': -11.226041, ' !!': -13.495527}
{' #': -0.00015434122, '#': -9.17257, ' @': -10.207377, ' ': -11.682412, '\n': -13.112305}
{' #': -0.00027065416, ' @': -8.66115, '#': -9.393732, ' ': -11.515464, '\n': -13.39865}
{' $': -0.0012395435, '$': -6.8981013, ' $\\': -8.957094, ' $$': -10.056074, ' ': -10.869166}
{' $': -0.0015360115, '$': -6.660624, ' $\\': -9.201063, ' $$': -9.861376, ' @': -9.949066}
{' !': -0.00036360786, ' #': -8.081925, '!': -9.962201, ' ': -12.374051, ' !!': -14.401942}
{' !': -0.0018257626, ' #': -6.346382, '!': -9.747959, ' ': -11.814309, ' !!': -13.722349}
{' @': -0.005883065, ' #': -5.5002794, '@': -6.44002, ' ': -8.971689, ' @@': -11.369155}
{' @': -0.034063336, ' #': -3.4504716, '@': -6.45595, ' ': -8.908836, ' @@': -11.569244}
{' $': -0.0031189863, ' #': -6.4174333, '$': -6.7386837, ' $\\': -9.164898, ' $$': -9.257924}
{' $': -0.011818741, ' #': -4.56687, '$': -6.814622, ' $$': -9.065112, ' $\\': -9.773702}
{' !': -0.00011976601, '!': -9.129254, ' ': -12.048287, ' $': -13.048195, '!.': -13.741805}
{' !': -0.00013085242, '!': -9.218398, ' ': -11.00125, ' $': -11.562692, '!.': -13.481302}
{' @': -0.0025840565, '@': -6.117277, ' ': -8.456339, ' $': -9.42851, '\n': -10.787139}
{' @': -0.0022091982, '@': -6.3360353, ' $': -8.441669, ' ': -8.802333, '\n': -10.88351}
{' #': -9.4967785e-05, '#': -10.231603, ' $': -10.666076, ' ': -11.172146, ' \\': -11.7680235}
{' #': -0.00013502566, ' $': -9.73161, '#': -10.147554, ' ': -10.853568, ' \\': -12.576846}
{' !': -0.00010474478, '!': -9.220199, ' ': -12.445939, '!.': -13.699956, ' @': -14.810279}
{' !': -0.0001351458, '!': -8.964145, ' ': -12.200049, '!.': -13.81417, ' @': -13.892363}
{' !': -0.00031441596, ' #': -8.681075, '!': -8.884519, ' ': -12.568419, '!.': -13.344007}
{' !': -0.0004968193, ' #': -8.102704, '!': -8.58838, ' ': -12.213747, '!.': -13.47517}
{' !': -0.0002629028, '!': -8.512694, ' $': -9.83413, ' ': -12.291861, '!.': -13.134701}
{' !': -0.00034226198, '!': -8.47381, ' $': -9.015582, ' ': -11.901246, '!.': -13.0919485}
{' @': -0.0183999, ' !': -4.147283, '@': -6.1314864, ' ': -8.493454, '  ': -11.620341}
{' @': -0.033628784, ' !': -3.483572, '@': -6.1537356, ' ': -8.540835, '!': -11.47275}
{' @': -0.021762347, ' #': -3.9947922, '@': -5.851893, ' ': -8.568921, '@#': -10.870057}
{' @': -0.02814487, ' #': -3.6938877, '@': -5.9534197, ' ': -8.533959, '@#': -10.177594}
{' @': -0.0041846167, '@': -6.040603, ' $': -6.414341, ' ': -9.1160965, '\n': -11.338209}
{' @': -0.0056571155, ' $': -5.800681, '@': -6.0213504, ' ': -8.990012, '\n': -10.9455185}
{' #': -0.011427021, ' !': -4.4967136, '#': -8.59132, ' ': -10.785219, '!': -12.286648}
{' #': -0.021489482, ' !': -3.8625443, '#': -8.467616, ' ': -10.768473, '!': -11.662992}
{' #': -0.00025014277, ' @': -8.817974, '#': -9.683947, ' ': -10.347469, '  ': -13.060444}
{' #': -0.00047028364, ' @': -7.933083, '#': -9.644535, ' ': -10.202872, '  ': -12.898642}
{' #': -0.0003244323, ' $': -8.231029, '#': -10.305066, ' ': -11.289391, '#$': -12.249443}
{' #': -0.0006937529, ' $': -7.3818884, '#': -10.33332, ' ': -10.858758, '#$': -11.770608}
{' $': -0.14144783, ' !': -2.0351532, '$': -7.222758, '$.': -8.701471, ' ': -8.849368}
{' $': -0.06570551, ' !': -2.7750616, '$': -7.0165777, ' ': -9.004186, '$.': -9.301693}
{' $': -0.0013975269, ' @': -7.568181, '$.': -7.9204345, ' ': -8.291236, '$': -9.17256}
{' $': -0.0012046933, ' @': -8.113781, '$': -8.17794, '$.': -8.348842, ' ': -8.517694}
{' $': -0.02259797, ' #': -3.8433032, '$': -8.000461, '$.': -8.161849, ' ': -8.638667}
{' $': -0.0104658, ' #': -4.6290684, '$': -8.118242, ' ': -8.858358, '$.': -9.152969}
{' !': -0.00017818765, '!': -8.901083, ' @': -10.278061, ' ': -11.98407, '!.': -14.255239}
{' !': -0.00023190197, '!': -8.5508795, ' @': -10.399791, ' ': -11.949245, '!.': -13.901256}
{' !': -0.0074815173, ' #': -4.9245744, '!': -8.6829815, ' ': -11.697728, '#': -12.018763}
{' !': -0.0064114826, ' #': -5.090701, '!': -8.416686, ' ': -11.903046, '#': -12.035695}
{' !': -0.0021629632, ' $': -6.2660465, '!': -8.369541, '$': -10.91237, ' ': -11.911947}
{' !': -0.001991303, ' $': -6.3996673, '!': -8.138814, '$': -10.752112, ' ': -11.590002}
{' @': -0.10850554, ' !': -2.3022425, '@': -6.0176754, ' ': -8.223642, '!': -10.26945}
{' @': -0.07278644, ' !': -2.6976414, '@': -5.9793816, ' ': -8.39752, '!': -10.356886}
{' @': -0.07055307, ' #': -2.7365172, '@': -5.7964587, ' ': -8.46278, '@#': -10.399329}
{' @': -0.054953635, ' #': -2.9944885, '@': -5.7822676, ' ': -8.361876, '@#': -10.124961}
{' @': -0.009411335, ' $': -5.089291, '@': -5.8141904, ' ': -8.882247, '\n': -10.695615}
{' @': -0.011010324, ' $': -4.816121, '@': -5.944303, ' ': -8.853799, '\n': -10.718391}
{' #': -0.03495437, ' !': -3.3848782, '#': -7.783224, ' ': -10.569455, '!': -11.009753}
{' #': -0.05179328, ' !': -2.992801, '#': -8.215039, ' ': -10.501405, '!': -10.845709}
{' #': -0.0008965109, ' @': -7.2227435, '#': -9.108833, ' ': -10.0906925, '\n': -12.5674925}
{' #': -0.0018830296, ' @': -6.355573, '#': -9.442291, ' ': -9.92264, '  ': -12.669171}
{' #': -0.0013189797, ' $': -6.7032304, '#': -9.802833, ' ': -11.102737, '#$': -11.439514}
{' #': -0.0023718148, ' $': -6.0812654, '#': -10.225776, ' ': -10.732284, '#$': -11.293449}
{' $': -0.28490338, ' !': -1.3986176, '$': -7.831509, '$.': -8.237236, ' ': -8.86874}
{' $': -0.19721204, ' !': -1.7251432, '$': -7.91237, ' ': -8.734445, '$.': -9.039767}
{' $': -0.0026242766, ' @': -6.3672214, '$.': -7.7313, ' ': -8.424581, '$': -9.14901}
{' $': -0.0059243767, ' @': -5.339592, '$.': -7.933559, '$': -8.102991, ' ': -8.265605}
{' $': -0.033093315, ' #': -3.4506118, '$.': -7.890122, '$': -8.664893, ' ': -8.684007}
{' $': -0.049911574, ' #': -3.0441415, '$.': -7.954926, '$': -7.961727, ' ': -8.453863}
{' @': -0.020509057, ' !': -4.0464644, '@': -5.9243646, ' ': -9.063611, '  ': -12.373195}
{' @': -0.14359266, ' !': -2.0269792, '@': -6.282483, ' ': -9.050147, '!': -10.74553}
{' #': -0.0011812402, ' !': -6.960921, '#': -8.470633, ' ': -10.961247, '\n': -13.652098}
{' #': -0.008366579, ' !': -4.837178, '#': -7.895092, ' ': -10.718654, '!': -13.418857}
{' $': -0.0098827435, '$': -5.2134066, ' !': -5.469292, ' $\\': -9.553812, ' ': -9.841127}
{' $': -0.088490725, ' !': -2.5953648, '$': -4.6204753, ' ': -9.466146, ' $\\': -9.969425}
{' !': -0.0037930612, ' @': -5.7797313, '!': -7.315515, '@': -10.962944, ' ': -11.557317}
{' !': -0.015879313, ' @': -4.1868863, '!': -7.6752872, '@': -9.486351, ' ': -11.095245}
{' #': -0.011615022, ' @': -4.4861484, '#': -8.690825, ' ': -9.853003, '@': -10.364575}
{' #': -0.024807015, ' @': -3.7249541, '#': -8.630422, '@': -9.248016, ' ': -9.53778}
{' $': -0.032649457, ' @': -3.4838135, '$': -6.8742633, '@': -9.0846815, ' ': -9.361222}
{' $': -0.07447089, ' @': -2.661772, '$': -6.635687, '@': -8.217875, ' ': -8.981667}
{' !': -0.031920593, ' #': -3.4725885, '!': -7.9424024, '#': -11.122827, ' ': -11.902272}
{' !': -0.09081465, ' #': -2.4489613, '!': -7.902174, '#': -10.016283, ' ': -11.497733}
{' @': -0.23293728, ' #': -1.5884326, '@': -5.7659626, ' ': -8.592869, '@#': -9.172285}
{' @': -0.4711891, ' #': -0.98514324, '@': -6.2499576, ' ': -8.690799, '@#': -9.148076}
{' $': -0.065585084, ' #': -2.7643538, '$': -8.155035, ' $\\': -9.782969, ' $(': -9.916141}
{' $': -0.3444261, ' #': -1.2351428, '$': -7.9400353, ' $(': -9.76078, '#$': -10.119004}
{' !': -0.010126689, ' $': -4.6793485, '!': -7.2293777, '$': -10.640801, ' ': -10.821851}
{' !': -0.037723865, ' $': -3.3156989, '!': -7.4278316, '$': -9.557087, ' ': -10.451124}
{' @': -0.015204119, ' $': -4.319851, '@': -6.505175, ' ': -8.6389675, ' @@': -10.859051}
{' @': -0.041038495, ' $': -3.24197, '@': -7.2217402, ' ': -8.4319315, '$': -10.42724}
{' #': -0.02048825, ' $': -3.9102683, ' ': -9.514721, '#': -9.525402, '#$': -10.490723}
{' #': -0.036104787, ' $': -3.347201, ' ': -9.165261, '#': -9.574453, '#$': -10.772297}
{' !': -0.6844977, ' @': -0.7049903, '@': -6.590158, ' ': -9.421379, '!': -9.534738}
{' !': -0.08347523, ' @': -2.5290186, '@': -8.528437, '!': -9.020855, ' ': -10.560951}
{' #': -0.046980623, ' !': -3.0955722, '#': -7.3997755, ' ': -10.748535, '!': -12.072886}
{' !': -0.59598345, ' #': -0.8016549, '#': -8.134367, '!': -9.536217, ' ': -10.662502}
{' $': -0.2725167, ' !': -1.473759, '$': -4.6946073, ' ': -9.171206, '!': -9.279416}
{' !': -0.14791347, ' $': -2.001845, '$': -6.1967697, '!': -8.160328, ' ': -9.959499}
{' !': -0.04240598, ' @': -3.192846, '!': -8.16132, '@': -8.763699, ' ': -11.064738}
{' !': -0.21585882, ' @': -1.6440339, '@': -7.3223634, '!': -8.353825, ' ': -10.120339}
{' #': -0.26726478, ' @': -1.4551309, '@': -7.162265, '#': -8.703822, ' ': -9.117009}
{' #': -0.3974799, ' @': -1.1185303, '@': -7.0540724, ' ': -8.925332, '#': -9.05318}
{' $': -0.1950593, ' @': -1.7460082, '$': -6.5914207, '@': -6.9560113, ' ': -8.64326}
{' @': -0.6455223, ' $': -0.74959487, '@': -6.318431, '$': -7.139777, ' ': -8.712291}
{' !': -0.3122372, ' #': -1.3168645, '!': -9.063416, '#': -9.396738, ' ': -11.366621}
{' #': -0.49459332, ' !': -0.9419199, '#': -8.431324, '!': -9.69076, ' ': -11.036209}
{' #': -0.5612959, ' @': -0.8488783, '@': -6.6886415, ' ': -8.901986, '#': -9.049672}
{' #': -0.13090535, ' @': -2.1028595, '@': -8.1599655, '#': -8.854429, ' ': -9.325478}
{' #': -0.61285055, ' $': -0.78176534, '$': -8.059376, '#$': -9.338348, ' $(': -9.727617}
{' #': -0.15513541, ' $': -1.9419796, '$': -9.3022375, '#$': -9.744685, '#': -9.966626}
{' !': -0.05114089, ' $': -3.0135012, '!': -7.4876623, '$': -9.201913, ' ': -10.507927}
{' !': -0.20216274, ' $': -1.7040663, '!': -7.452542, '$': -7.855055, ' ': -9.86837}
{' @': -0.16310154, ' $': -1.9060863, '@': -7.023438, ' ': -8.00252, ' $$': -9.0453825}
{' @': -0.42572448, ' $': -1.0652183, '@': -7.296265, '$': -7.8624463, ' ': -8.242501}
{' #': -0.15735905, ' $': -1.930644, ' ': -9.23204, '$': -9.249042, '#$': -9.3870735}
{' #': -0.49702922, ' $': -0.939601, '$': -7.9956326, ' ': -8.837704, '$.': -9.153889}
{' !': -0.002710456, '!': -6.511469, ' @': -6.9523525, ' ': -8.845289, ' !!': -10.427634}
{' !': -0.002505714, '!': -6.5177407, ' @': -7.0313196, ' ': -9.49466, ' !!': -10.833965}
{' !': -0.27982906, ' #': -1.4131984, '!': -8.19032, '#': -8.466822, ' ': -8.751842}
{' !': -0.21671791, ' #': -1.6388102, '!': -8.174356, '#': -8.525712, ' ': -9.128139}
{' !': -0.041958462, ' $': -3.2737927, '!': -6.4432526, '$': -6.8180447, ' ': -8.592175}
{' !': -0.02022394, ' $': -4.051016, '!': -6.3173428, '$': -7.6854434, ' ': -8.853312}
{' @': -0.019694928, ' !': -4.3601623, '@': -5.087444, ' ': -8.241252, '\n': -9.388352}
{' @': -0.02414631, ' !': -4.109584, '@': -5.0088873, ' ': -7.982559, '\n': -8.855823}
{' @': -0.08593934, ' #': -2.5603635, '@': -5.490726, ' ': -7.848043, '\n': -8.678649}
{' @': -0.11191923, ' #': -2.2918887, '@': -5.5877275, ' ': -7.8093185, '\n': -8.434}
{' @': -0.019062605, ' $': -4.5878854, '@': -4.874306, ' ': -8.145253, '\n': -8.275599}
{' @': -0.03173854, ' $': -3.769396, '@': -4.9700966, '\n': -8.172864, ' ': -8.185017}
{' #': -0.004741005, ' !': -5.424632, '#': -8.44259, ' ': -9.822278, '\n': -11.162517}
{' #': -0.0043236716, ' !': -5.529222, '#': -8.414697, ' ': -9.686821, '\n': -11.140267}
{' #': -0.0003067838, ' @': -9.161293, '#': -9.313484, ' ': -9.72149, '\n': -10.831381}
{' #': -0.00029414485, ' @': -9.244835, '#': -9.326929, ' ': -9.744393, '\n': -10.779981}
{' #': -0.00061454397, ' $': -7.677152, '#': -9.755774, ' ': -10.397398, '\n': -10.736826}
{' #': -0.0010719212, ' $': -7.0195823, '#': -9.675104, ' ': -10.29818, '\n': -10.30952}
{' $': -0.22586511, ' !': -1.7121665, ' w': -4.748349, '$': -4.9357495, ' ': -6.344969}
{' $': -0.108955, ' !': -2.3605344, '$': -5.245235, '$.': -6.8538113, '$,': -7.1533694}
{' $': -0.01842121, ' @': -4.82452, '$': -5.6061, '$.': -6.0355496, '$,': -6.880742}
{' $': -0.018182212, ' @': -4.799644, '$': -5.6451845, '$.': -5.700918, '$,': -7.175479}
{' $': -0.36621767, ' #': -1.2023269, '$': -6.3664284, ' ': -6.5628347, '$.': -7.248138}
{' $': -0.20627806, ' #': -1.7051011, '$': -6.5345707, '$.': -7.0421767, '$,': -7.2822866}
{' !': -0.0039804117, ' @': -6.27641, '!': -6.4341917, ' ': -8.163459, ' !!': -10.233563}
{' !': -0.0041360743, ' @': -6.1287394, '!': -6.470426, ' ': -8.407195, ' !!': -9.951955}
{' !': -0.4900993, ' #': -0.9515824, '#': -7.7860394, '!': -7.834833, ' ': -8.13355}
{' !': -0.16824742, ' #': -1.8718531, '!': -7.490156, '#': -8.573792, ' ': -8.636404}
{' !': -0.04324138, ' $': -3.2642877, '!': -6.0731287, '$': -7.0123763, ' ': -7.857269}
{' !': -0.029018672, ' $': -3.711941, '!': -5.826385, '$': -7.382007, ' ': -8.208685}
{' @': -0.027966548, ' !': -3.9677591, '@': -4.861247, ' ': -7.6790495, '\n': -8.89513}
{' @': -0.02267644, ' !': -4.2509613, '@': -4.9131966, ' ': -7.6252713, '\n': -9.188367}
{' @': -0.118068956, ' #': -2.2483885, '@': -5.433344, ' ': -7.425525, '\n': -8.506768}
{' @': -0.079310015, ' #': -2.6360402, '@': -5.677672, ' ': -7.5875816, '\n': -8.37682}
{' @': -0.018518114, ' $': -4.5569224, '@': -4.99624, ' ': -7.9636073, '\n': -8.419984}
{' @': -0.019620461, ' $': -4.4159865, '@': -5.073535, ' ': -7.957096, '\n': -8.369255}
{' #': -0.004661296, ' !': -5.4731174, '#': -8.434519, ' ': -9.061763, '  ': -10.504203}
{' #': -0.0031057738, ' !': -5.9004197, '#': -8.497656, ' ': -9.439891, '  ': -10.8612}
{' #': -0.00052258343, ' @': -8.39295, '#': -9.097805, ' ': -9.190612, '\n': -10.529849}
{' #': -0.00043975122, ' @': -8.544234, '#': -9.241296, ' ': -9.332583, '\n': -10.776827}
{' #': -0.0005968926, ' $': -7.9270134, ' ': -9.585815, '#': -9.698745, '\n': -10.178926}
{' #': -0.00066291733, ' $': -7.6932397, ' ': -9.724134, '#': -9.868478, '\n': -10.160476}
{' $': -0.16262713, ' !': -1.978957, '$': -5.2759447, ' w': -6.0164094, '$.': -6.339232}
{' $': -0.16743352, ' !': -1.9482523, '$': -5.1183305, '$.': -6.4519525, ' w': -6.734648}
{' $': -0.01448017, ' @': -5.040546, '$.': -5.8317137, '$': -6.0946503, ' ': -7.1170645}
{' $': -0.021505741, ' @': -4.3838234, '$.': -5.794501, '$': -5.8039236, ' ': -7.2624445}
{' $': -0.31966817, ' #': -1.3190025, ' ': -6.3577576, '$': -6.6655335, '$.': -6.927204}
{' $': -0.27671623, ' #': -1.4440097, '$': -6.517465, ' ': -6.548819, '$.': -6.9210396}
{' @': -0.023745585, '@': -3.8637247, ' !': -6.468127, ' ': -7.8633704, '\n': -9.197234}
{' @': -0.03456558, '@': -3.7613854, ' !': -4.7143083, ' ': -6.956261, '\n': -8.996301}
{' #': -0.00089054485, '#': -7.4939857, ' !': -8.313655, ' ': -10.018039, '\n': -11.121455}
{' #': -0.0008453845, '#': -7.6614494, ' !': -8.194155, ' ': -9.780634, '\n': -11.308292}
{' $': -0.025511213, '$': -3.935547, ' !': -5.3890343, ' ': -8.111056, '$,': -8.396101}
{' $': -0.030591251, '$': -3.812293, ' !': -5.045291, ' ': -7.44006, '$,': -8.539265}
{' !': -0.0076457127, '!': -5.1466837, ' @': -6.479005, ' ': -8.894861, '\n': -10.588731}
{' !': -0.01578291, ' @': -4.5105104, '!': -5.444062, '@': -8.866839, ' ': -9.015519}
{' #': -0.009648185, ' @': -4.715522, '#': -7.853762, ' ': -9.368665, '\n': -9.394074}
{' #': -0.012440705, ' @': -4.449729, '#': -7.846659, ' ': -9.253563, '\n': -9.435452}
{' $': -0.036501594, ' @': -3.6138136, '$': -4.9298368, '@': -7.825876, ' ': -8.327882}
{' $': -0.09941205, ' @': -2.438413, '$': -5.2480497, '@': -7.0021825, ' ': -8.253627}
{' !': -0.014786999, ' #': -4.4313483, '!': -5.9762354, ' ': -8.795089, '#': -10.635364}
{' !': -0.15235588, ' #': -1.980889, '!': -5.840182, '#': -8.524014, ' ': -8.682539}
{' @': -0.08482152, ' #': -2.6637113, '@': -4.5357623, ' ': -8.046786, '\n': -8.618229}
{' @': -0.38341016, ' #': -1.1700752, '@': -4.9481835, ' ': -8.148677, '#': -8.510103}
{' $': -0.07305423, ' #': -2.7076309, '$': -6.009892, '$,': -7.51104, ' $(': -8.584616}
{' #': -0.46083513, ' $': -1.0014006, '$': -6.9449563, '#$': -8.517748, '$,': -8.864291}
{' !': -0.0037880978, '!': -6.024175, ' $': -6.876163, ' ': -8.654448, ' w': -10.028032}
{' !': -0.011602421, ' $': -4.7361465, '!': -6.086132, ' ': -8.416557, '$': -9.291526}
{' @': -0.008494251, '@': -5.136334, ' $': -6.1747036, ' ': -8.603379, '\n': -9.256275}
{' @': -0.010820386, '@': -5.2766395, ' $': -5.283453, ' ': -8.43314, '\n': -8.990855}
{' #': -0.00092484785, ' $': -7.386499, '#': -8.989336, ' ': -9.494705, '\n': -10.203138}
{' #': -0.0025424669, ' $': -6.1122947, ' ': -9.251208, '#': -9.296656, '\n': -9.979641}
{' @': -0.042896517, '@': -3.2230377, ' !': -7.1777906, ' ': -7.5533385, '\n': -8.66115}
{' @': -0.036901597, '@': -3.642105, ' !': -4.806984, ' ': -7.0152755, '\n': -8.991952}
{' #': -0.00078644656, '#': -7.334915, ' !': -9.923333, ' ': -10.166477, '\n': -10.9534}
{' #': -0.00087169197, '#': -7.562656, ' !': -8.14058, ' ': -10.340437, '\n': -11.87935}
{' $': -0.02653156, '$': -3.7864819, ' !': -6.213619, ' ': -7.999214, '$,': -8.229364}
{' $': -0.027443655, '$': -4.0037985, ' !': -4.9712286, ' ': -7.5272765, ' $$': -8.297977}
{' !': -0.008921323, '!': -4.824425, ' @': -8.016593, ' ': -8.417429, '\n': -9.622989}
{' !': -0.008897688, '!': -5.402332, ' @': -5.578651, ' ': -8.542758, '\n': -9.23597}
{' #': -0.0025430648, ' @': -6.241799, '#': -7.8046536, '\n': -9.547078, ' ': -9.892859}
{' #': -0.0058334833, ' @': -5.273091, '#': -7.696867, '\n': -9.43658, ' ': -9.608197}
{' $': -0.011916029, '$': -5.0234685, ' @': -5.6838255, ' None': -8.162448, '$,': -8.278007}
{' $': -0.03256915, ' @': -3.704808, '$': -5.2300177, '@': -8.08432, ' ': -8.2947235}
{' !': -0.040106036, ' #': -3.3035471, '!': -6.0884814, ' ': -8.926918, '#': -9.608732}
{' !': -0.20704794, ' #': -1.6900706, '!': -6.205432, '#': -8.287184, ' ': -8.836342}
{' @': -0.26159695, ' #': -1.524626, '@': -4.4653416, ' ': -8.31055, '@#': -8.655841}
{' @': -0.50158197, ' #': -0.9468201, '@': -5.183432, '#': -8.452722, ' ': -8.463665}
{' $': -0.20010476, ' #': -1.726222, '$': -6.151887, '$,': -7.794059, ' $(': -8.543123}
{' #': -0.40198052, ' $': -1.1111252, '$': -6.8613787, '#$': -8.822881, '#': -9.124139}
{' !': -0.00674627, '!': -5.2228165, ' w': -7.8694067, ' ': -7.9094324, ' $': -8.115322}
{' !': -0.007348994, '!': -5.426826, ' $': -6.4846363, ' ': -7.6166434, ' w': -7.739276}
{' @': -0.016834408, '@': -4.602066, ' $': -5.3374395, ' ': -7.8623614, '\n': -8.181528}
{' @': -0.017926646, '@': -4.7635493, ' $': -4.826619, ' ': -8.087381, '\n': -8.225713}
{' #': -0.000845744, ' $': -8.2749195, '#': -8.381695, ' ': -9.066958, '\n': -9.232301}
{' #': -0.0015390556, ' $': -6.7726645, '#': -8.759053, '\n': -9.487162, ' ': -9.665507}
{' !': -0.003022368, ' @': -6.1523137, '!': -7.1517687, ' ': -10.228068, '@': -10.814461}
{' !': -0.004410895, ' @': -5.642638, '!': -7.188737, ' ': -10.319316, '@': -10.970748}
{' #': -0.20923145, ' !': -1.6709166, '#': -7.5140924, '!': -9.805795, ' ': -9.888078}
{' #': -0.31937835, ' !': -1.2991986, '#': -7.691305, '!': -9.351186, ' ': -9.917466}
{' !': -0.31332242, ' $': -1.3228191, '$': -6.268339, '!': -7.959299, ' ': -8.861761}
{' !': -0.1085834, ' $': -2.2916524, '$': -7.0067997, '!': -7.400121, ' ': -8.947736}
{' !': -0.18762308, ' @': -1.7775832, '@': -7.0967126, '!': -7.2562056, ' ': -8.241156}
{' !': -0.36713547, ' @': -1.1877265, '@': -6.737771, '!': -7.524102, ' ': -8.014829}
{' #': -0.45762098, ' @': -1.0126022, '@': -6.093488, ' ': -7.5672507, '#': -7.592705}
{' #': -0.39535773, ' @': -1.1272092, '@': -6.715086, '#': -7.73641, ' ': -7.8337855}
{' @': -0.17528073, ' $': -1.865262, '@': -5.5350766, '$': -7.3860207, ' ': -7.8669453}
{' @': -0.17364728, ' $': -1.8733791, '@': -5.7134204, '\n': -7.371998, '$': -7.549133}
{' #': -0.066895574, ' !': -2.7443705, '#': -8.134813, ' ': -10.147247, '!': -10.2068615}
{' #': -0.03545595, ' !': -3.366741, '#': -8.38279, ' ': -10.257167, '!': -10.525487}
{' #': -0.0007215482, '#': -7.890572, ' @': -8.449398, ' ': -9.783627, '\n': -10.304122}
{' #': -0.000599397, '#': -8.064665, ' @': -8.911716, ' ': -9.65732, '\n': -9.802704}
{' #': -0.0038764123, ' $': -5.674454, '#': -8.4781685, ' ': -9.644589, '\n': -9.740712}
{' #': -0.0055451486, ' $': -5.293164, '#': -8.178175, '\n': -9.307407, ' ': -9.853481}
{' !': -0.22392525, ' $': -1.6206137, '!': -6.637018, '$': -7.4523034, ' ': -7.5827193}
{' !': -0.25071406, ' $': -1.5156239, '!': -6.9567266, '$': -7.5806317, ' ': -8.089934}
{' $': -0.07006305, ' @': -2.804722, '$': -6.565386, ' ': -6.7517433, ' $$': -6.8633833}
