{' ': -10.764524, ' Generally': -7.858884, ' Yes': -0.005441524, ' yes': -9.020902, 'Yes': -5.327934}
{' No': -5.361329, '\n': -3.7986577, ' ': -5.140743, ' Yes': -0.05637689, 'Yes': -3.969791}
{'\n': -5.5386033, ' ': -5.83354, ' Yes': -0.01171917, ' yes': -7.591681, 'Yes': -5.5199685}
{' No': -6.8761683, '\n': -5.2854414, ' ': -5.838346, ' Yes': -0.015610939, 'Yes': -5.202644}
{' No': -0.5353015, '\n': -3.3005087, ' ': -4.195984, 'No': -3.4718764, ' Yes': -1.1379683}
{' No': -1.3312236, '\n': -3.9722357, 'No': -4.191392, ' Yes': -0.39914808, 'Yes': -4.104429}
{'\n': -5.5974703, ' ': -6.0429525, ' Yes': -0.021813823, ' yes': -5.270198, 'Yes': -4.615562}
{'\n': -5.907628, ' ': -6.332551, ' Yes': -0.02512608, ' yes': -5.178387, 'Yes': -4.2762494}
{' No': -8.490089, ' Generally': -5.6020694, ' A': -8.257555, ' Yes': -0.008186522, 'Yes': -5.5850315}
{' No': -7.6772103, ' Generally': -5.653485, ' Cats': -9.304852, ' Yes': -0.008051859, 'Yes': -5.6516614}
{' No': -6.4897947, ' ': -7.714889, ' Generally': -3.7358603, ' Yes': -0.047708046, 'Yes': -3.9993336}
{' No': -8.05931, ' ': -7.746291, ' Generally': -4.035449, ' Yes': -0.041470572, 'Yes': -3.8848372}
{' No': -6.328072, '\n': -5.4051123, ' Generally': -5.994757, ' Yes': -0.02807149, 'Yes': -4.1422925}
{'\n': -5.1524644, ' ': -5.8780756, ' Generally': -5.2753325, ' Yes': -0.043269143, 'Yes': -3.702769}
{' No': -6.844964, ' Generally': -3.729683, ' A': -8.283821, ' Yes': -0.034664057, 'Yes': -4.834984}
{' No': -8.192311, ' Generally': -6.463998, ' Yes': -0.016895028, ' yes': -9.221625, 'Yes': -4.230131}
{' No': -1.1231931, '\n': -3.541736, ' Generally': -2.7036488, 'No': -3.1438954, ' Yes': -0.7038853}
{' No': -4.8745112, '\n': -4.5823684, ' Generally': -4.1207576, ' Yes': -0.07069181, 'Yes': -3.587951}
{'\n': -7.614078, ' ': -7.306878, ' Generally': -4.2965546, ' Yes': -0.034649067, 'Yes': -4.0511246}
{' No': -6.70244, ' ': -6.829833, ' Generally': -3.3005, ' Yes': -0.06818717, 'Yes': -3.8369997}
{' No': -8.101928, '\n': -7.427032, ' ': -8.012107, ' Yes': -0.0035587293, 'Yes': -6.339988}
{'\n': -6.467398, ' ': -8.099738, ' Generally': -7.8371778, ' Yes': -0.0048023327, 'Yes': -6.0978346}
{' No': -0.6228949, '\n': -3.8944535, 'No': -3.6609695, ' Yes': -0.93626285, 'Yes': -5.056151}
{' No': -6.069923, '\n': -5.0181804, ' ': -6.317733, ' Yes': -0.029925909, 'Yes': -4.111982}
{' No': -0.7611002, '\n': -1.3988086, ' ': -3.5081873, 'No': -3.3493187, ' Yes': -1.6098988}
{' No': -4.11635, '\n': -0.8454435, ' ': -3.4702127, ' Yes': -0.69348687, 'Yes': -4.002586}
{' No': -4.444161, '\n': -7.8717957, ' ': -7.3595276, ' Yes': -0.016376922, 'Yes': -5.836555}
{' No': -8.858155, '\n': -8.266179, ' ': -8.243168, ' Yes': -0.0037621902, 'Yes': -5.8361077}
{' No': -0.35824037, '\n': -2.9658854, ' ': -4.237982, 'No': -1.8882294, ' Yes': -2.6467783}
{' No': -2.3287017, '\n': -2.5265472, 'No': -3.8951764, ' Yes': -0.34029266, 'Yes': -2.6827455}
{'\n': -6.2501035, ' ': -6.289134, ' Yes': -0.020243648, ' yes': -5.834763, 'Yes': -4.5170755}
{'\n': -5.409533, ' ': -5.6793346, ' Yes': -0.03497579, ' yes': -6.112416, 'Yes': -3.7902553}
{' No': -5.569887, ' Generally': -4.8233433, ' A': -5.514383, ' Yes': -0.04256837, 'Yes': -3.7903135}
{' No': -4.0637627, ' Generally': -3.50017, ' Yes': -0.114942856, ' yes': -5.4951735, 'Yes': -3.227436}
{' No': -4.368565, ' Generally': -7.5583158, 'No': -6.269982, ' Yes': -0.052368708, 'Yes': -3.353001}
{' No': -4.898363, ' Generally': -4.796028, 'No': -6.211088, ' Yes': -0.07074369, 'Yes': -3.0138168}
{' No': -6.859392, ' ': -7.466943, ' Yes': -0.044033933, ' yes': -7.424126, 'Yes': -3.220109}
{' No': -4.7285953, ' Generally': -4.922626, 'No': -5.5600944, ' Yes': -0.10863463, 'Yes': -2.5397413}
{' No': -2.4771404, ' ': -7.279253, 'No': -5.9238987, ' Yes': -0.10352359, 'Yes': -4.573578}
{' No': -4.0774393, ' Generally': -5.623267, 'No': -6.6315928, ' Yes': -0.041323587, 'Yes': -4.034491}
{' No': -0.33823195, '\n': -4.8408294, ' Generally': -5.544441, 'No': -1.3673152, ' Yes': -4.6328216}
{' No': -3.9311352, ' Generally': -3.873308, 'No': -4.36088, ' Yes': -0.1984539, 'Yes': -2.168007}
{' No': -3.4411867, 'No': -4.63602, ' Yes': -0.12410916, ' yes': -5.275556, 'Yes': -2.788183}
{' No': -0.77415365, ' Generally': -2.9870136, ' Cats': -3.8015509, 'No': -1.831645, ' Yes': -1.2836237}
{'\n': -7.8757534, ' ': -7.4297314, ' Yes': -0.0072295703, ' yes': -5.4695363, 'Yes': -6.3350754}
{'\n': -7.658891, ' ': -7.907834, ' Yes': -0.0077184513, ' yes': -5.33932, 'Yes': -6.2618628}
{' No': -4.173524, '\n': -4.5370455, ' Yes': -0.0633078, ' yes': -5.634478, 'Yes': -3.741992}
{'\n': -5.71206, ' ': -7.201016, ' Yes': -0.034707006, ' yes': -5.896807, 'Yes': -3.619767}
{' No': -1.2483969, '\n': -1.1209517, ' ': -3.8457649, 'No': -3.0453749, ' Yes': -1.2330618}
{' No': -5.7830257, '\n': -1.6661931, ' ': -4.6974945, ' Yes': -0.28457856, 'Yes': -3.1806529}
{' No': -7.6634865, '\n': -6.785591, ' Yes': -0.009986952, ' yes': -6.467582, 'Yes': -5.1534863}
{'\n': -6.9768243, ' Generally': -8.150769, ' Yes': -0.009722575, ' yes': -7.10077, 'Yes': -4.921071}
{' No': -0.4751872, '\n': -2.1725366, ' ': -4.4578466, 'No': -1.6810837, ' Yes': -2.9020462}
{' No': -3.3314922, '\n': -2.3158293, ' ': -4.623198, ' Yes': -0.27577114, 'Yes': -2.5299215}
{'\n': -5.391106, ' ': -6.184039, ' Yes': -0.05998083, ' yes': -3.3134387, 'Yes': -4.292658}
{'\n': -6.064973, ' ': -6.8575163, ' Yes': -0.0365254, ' yes': -4.210939, 'Yes': -4.1343284}
{'\n': -5.5620933, ' ': -7.090735, ' Yes': -0.008505373, ' yes': -7.9437118, 'Yes': -5.7986608}
{'\n': -4.70796, ' ': -6.7367, ' Generally': -7.007877, ' Yes': -0.014690581, 'Yes': -5.8505473}
{' No': -6.637461, '\n': -2.8925507, ' ': -4.909765, ' Yes': -0.08738834, 'Yes': -4.081115}
{'\n': -2.0816734, ' ': -4.770991, ' Generally': -5.911967, ' Yes': -0.16832803, 'Yes': -4.118674}
{' No': -3.4052835, '\n': -1.9855508, ' ': -3.8514202, ' Yes': -0.24387245, 'Yes': -4.1481385}
{' No': -4.523864, '\n': -1.6427126, ' ': -4.119546, ' Yes': -0.270957, 'Yes': -4.4975023}
{' No': -6.262882, '\n': -4.3121204, ' ': -5.1466694, ' Yes': -0.026428618, 'Yes': -5.4708524}
{'\n': -3.7586749, ' ': -5.3644357, ' Generally': -7.397931, ' Yes': -0.036335744, 'Yes': -5.03576}
{' No': -0.2201765, '\n': -2.9720132, ' ': -4.5414767, 'No': -3.1956022, ' Yes': -2.4527223}
{' No': -1.2810234, '\n': -2.2807562, ' ': -3.876627, 'No': -4.8452415, ' Yes': -0.5511725}
{'\n': -4.256672, ' ': -5.1104774, ' Yes': -0.037639875, ' yes': -5.8085246, 'Yes': -4.4539876}
{'\n': -4.6730366, ' ': -5.570673, ' Generally': -5.939821, ' Yes': -0.03343395, 'Yes': -4.3914375}
{' No': -0.018443918, ' ': -9.491371, ' Generally': -6.243676, 'No': -4.128916, ' A': -10.352598}
{' No': -0.039790366, ' Not': -7.8912506, ' Generally': -3.8808203, ' Typically': -7.8846364, 'No': -4.0895243}
{' No': -0.082593456, ' ': -7.7868586, ' Generally': -6.3103957, 'No': -2.5683303, ' A': -9.343704}
{' No': -0.07758612, ' Not': -9.137896, ' ': -7.586684, ' Generally': -5.8273454, 'No': -2.6505613}
{' No': -0.08621946, '\n': -6.672574, ' ': -6.895965, ' Generally': -7.328452, 'No': -2.5345435}
{' No': -0.08187624, '\n': -6.2585707, ' ': -6.257085, ' Generally': -5.785493, 'No': -2.6669555}
{' No': -0.021597644, ' ': -9.041258, ' Generally': -6.683148, 'No': -3.919812, ' A': -9.7757225}
{' No': -0.05341793, ' Generally': -4.7627435, ' Typically': -8.6094675, ' Cats': -8.570544, 'No': -3.158873}
{' No': -0.11123624, '\n': -5.9485617, ' ': -6.1795187, ' Generally': -5.7120237, 'No': -2.34345}
{' No': -0.10514517, '\n': -5.575053, ' ': -5.6169314, ' Generally': -4.644562, 'No': -2.5866096}
{' No': -0.08360775, ' ': -7.225232, ' Generally': -4.512925, 'No': -2.7270937, ' A': -6.8625484}
{' No': -0.13434954, ' ': -6.387468, ' Generally': -4.8509307, ' Cats': -6.4723325, 'No': -2.188789}
{' No': -0.0056208516, '\n': -7.8488474, ' ': -7.057226, 'No': -5.464836, ' A': -10.043959}
{' No': -0.0070731277, '\n': -7.2720017, ' ': -7.4201417, ' Generally': -7.775506, 'No': -5.254536}
{' No': -0.07214876, '\n': -5.604691, ' ': -6.276298, ' Generally': -8.081353, 'No': -2.7605834}
{' No': -0.055004083, '\n': -6.4533515, ' ': -6.3673563, ' Generally': -7.2359633, 'No': -3.014715}
{' No': -0.12265765, '\n': -3.2593133, ' ': -5.0484085, 'No': -2.6675339, ' A': -7.5237503}
{' No': -0.25894022, '\n': -2.0355818, ' ': -4.253086, ' Generally': -6.960545, 'No': -2.5195546}
{' No': -0.0096313935, '\n': -9.18117, ' ': -6.925422, 'No': -4.774829, ' no': -10.5985365}
{' No': -0.014937092, '\n': -9.427128, ' ': -7.931784, ' Generally': -9.523235, 'No': -4.253121}
{' No': -0.21012716, '\n': -4.5637755, ' ': -4.952113, 'No': -1.7693046, ' A': -7.662348}
{' No': -0.23066133, '\n': -4.144141, ' ': -4.7917705, ' Cats': -7.344914, 'No': -1.7160033}
{' No': -0.043325283, '\n': -6.8052096, ' ': -5.7611175, 'No': -3.311708, ' A': -7.3057094}
{' No': -0.069115855, '\n': -6.234871, ' ': -5.65293, ' Generally': -6.6721063, 'No': -2.847873}
{' No': -0.10733161, ' ': -6.6793327, ' Generally': -7.0103693, 'No': -2.3345006, ' no': -6.99139}
{' No': -0.13751033, '\n': -6.5882816, ' Generally': -5.289254, ' Cats': -6.549451, 'No': -2.1556396}
{' No': -0.102786504, ' ': -7.586062, ' Generally': -8.645515, 'No': -2.3350956, ' no': -9.847546}
{' No': -0.19146873, ' Not': -8.58704, ' ': -8.032287, ' Generally': -5.479886, 'No': -1.7788978}
{' No': -0.14292951, '\n': -8.347554, ' ': -6.790364, ' Generally': -6.631186, 'No': -2.0406134}
{' No': -0.2022929, '\n': -7.543377, ' ': -6.8191004, ' Generally': -5.4937334, 'No': -1.7399553}
{' No': -0.029976577, ' ': -8.203308, ' Generally': -8.983328, 'No': -3.5407414, ' no': -10.2618685}
{' No': -0.047422074, ' ': -8.422899, ' Generally': -7.0898886, ' Cats': -9.18299, 'No': -3.1034672}
{' No': -0.5828999, '\n': -6.314839, ' ': -6.7211366, ' Generally': -5.744847, 'No': -0.8356236}
{' No': -0.5919951, ' Generally': -4.039789, ' Cats': -5.109244, 'No': -0.89602655, ' It': -5.758798}
{' No': -0.13590586, '\n': -7.8320475, ' ': -7.336683, ' Generally': -6.064182, 'No': -2.0970511}
{' No': -0.22594468, ' Not': -5.9694805, ' Generally': -3.7280562, ' Cats': -5.724993, 'No': -1.8193132}
{' No': -0.026800662, '\n': -6.841066, ' ': -5.224888, 'No': -4.231453, ' no': -5.285547}
{' No': -0.02280973, '\n': -6.9274917, ' ': -5.6184554, 'No': -4.184599, ' no': -6.045553}
{' No': -0.09602115, '\n': -5.622155, ' ': -5.902255, 'No': -2.4784043, ' no': -7.2558665}
{' No': -0.10437395, '\n': -5.004617, ' ': -5.839868, ' Generally': -6.9237084, 'No': -2.4347973}
{' No': -0.19874348, '\n': -3.731622, ' ': -5.3143153, 'No': -1.8996521, ' no': -7.2058825}
{' No': -0.28643292, '\n': -2.2031732, ' ': -4.728045, 'No': -2.0552258, ' no': -7.586621}
{' No': -0.024632225, '\n': -7.900826, ' ': -6.652396, 'No': -3.801392, ' no': -8.25616}
{' No': -0.04030596, '\n': -7.7301207, ' ': -7.425374, 'No': -3.2714193, ' no': -8.367628}
{' No': -0.36092457, '\n': -3.3897617, ' ': -4.8034453, 'No': -1.3597801, ' no': -6.0650187}
{' No': -0.32523257, '\n': -3.2777655, ' ': -4.6277266, 'No': -1.493886, ' no': -5.7735577}
{' No': -0.07455289, '\n': -5.227729, ' ': -5.493787, 'No': -3.1333869, ' no': -4.0999727}
{' No': -0.11328489, '\n': -4.4148307, ' ': -5.267959, 'No': -2.6484354, ' no': -4.1534343}
{' No': -0.011572812, '\n': -5.836669, ' ': -6.681945, ' Generally': -9.640006, 'No': -4.9433427}
{' No': -0.018673867, '\n': -5.1698823, ' ': -6.549292, ' Generally': -7.2513547, 'No': -4.5614057}
{' No': -0.0811692, '\n': -3.4557245, ' ': -5.2194443, ' Generally': -8.797959, 'No': -3.2054918}
{' No': -0.10816419, '\n': -3.1530898, ' ': -5.138869, ' Generally': -7.078964, 'No': -2.9471552}
{' No': -0.076235905, '\n': -3.6496, ' ': -5.3684473, 'No': -3.1699076, ' A': -7.941959}
{' No': -0.08722534, '\n': -3.3622613, ' ': -5.027424, ' Cats': -7.4006557, 'No': -3.1973057}
{' No': -0.017509237, '\n': -5.6847334, ' ': -5.6902366, 'No': -4.5708404, ' A': -9.2653475}
{' No': -0.03195721, '\n': -5.0405154, ' ': -5.6221957, ' Generally': -7.671846, 'No': -3.8825126}
{' No': -0.06015426, '\n': -4.3788376, ' ': -5.2764993, 'No': -3.2124925, ' A': -8.431505}
{' No': -0.052324485, '\n': -5.017956, ' ': -5.247343, ' Cats': -8.078936, 'No': -3.2638838}
{' No': -0.042257123, '\n': -5.021915, ' ': -5.304846, 'No': -3.5893383, ' A': -6.9708743}
{' No': -0.06494203, '\n': -4.6022077, ' ': -5.184047, ' Generally': -6.76433, 'No': -3.115376}
{' No': -0.04187648, ' Generally': -4.4115357, 'No': -3.6642022, ' A': -6.8771844, ' It': -7.6710377}
{' No': -0.041377444, '\n': -6.9435964, ' Generally': -5.315948, ' Cats': -6.540494, 'No': -3.45626}
{' No': -0.12374592, ' Not': -7.3572965, ' Generally': -4.571326, 'No': -2.2941523, ' It': -6.62616}
{' No': -0.1682893, ' Not': -6.3057303, ' Generally': -3.4665143, ' Cats': -5.442484, 'No': -2.2373638}
{' No': -0.12074473, '\n': -4.815973, ' ': -6.3982406, ' Generally': -6.3324027, 'No': -2.3049812}
{' No': -0.19844715, '\n': -3.5108576, ' ': -4.8996406, ' Generally': -4.474444, 'No': -2.1576242}
{' No': -0.09365752, ' Generally': -4.5273805, 'No': -2.5834455, ' A': -7.3489537, ' It': -7.5262923}
{' No': -0.13805678, ' On': -7.465047, ' Generally': -4.55235, ' Cats': -6.304019, 'No': -2.1754522}
{' No': -0.1823468, '\n': -3.883032, ' ': -5.551778, ' Generally': -5.3297772, 'No': -2.0193295}
{' No': -0.1858472, '\n': -3.280135, ' ': -5.085352, ' Generally': -3.877307, 'No': -2.4475963}
{' No': -0.20227051, ' Generally': -3.0242116, 'No': -2.197605, ' A': -5.3822923, ' Yes': -5.1946583}
{' No': -0.25865647, ' Generally': -2.4831095, 'No': -2.2921798, ' C': -5.0000157, ' Yes': -4.962819}
{' No': -0.008096323, '\n': -6.7318726, ' ': -7.306829, 'No': -5.238202, ' A': -7.756746}
{' No': -0.020240728, '\n': -5.177078, ' ': -6.7142954, ' Generally': -5.6182985, 'No': -4.967008}
{' No': -0.083230086, '\n': -4.359553, ' ': -5.8441095, 'No': -2.7609072, ' A': -7.914268}
{' No': -0.079962246, '\n': -3.801207, ' ': -5.151568, ' Generally': -6.11771, 'No': -3.1235986}
{' No': -0.27110973, '\n': -1.9129878, ' ': -4.2333117, 'No': -2.608617, ' A': -7.049268}
{' No': -0.91436666, '\n': -0.63014686, ' ': -3.4679174, ' Generally': -7.1109977, 'No': -3.4502132}
{' No': -0.012846107, '\n': -8.607527, ' ': -7.640568, 'No': -4.438913, ' It': -9.297792}
{' No': -0.01999795, '\n': -7.2382517, ' ': -7.203376, ' Generally': -7.547961, 'No': -4.064782}
{' No': -0.25778535, '\n': -3.5682557, ' ': -4.879289, 'No': -1.6653533, ' A': -6.780164}
{' No': -0.25918996, '\n': -2.5984159, ' ': -4.1889687, 'No': -2.0145628, ' N': -6.3280306}
{' No': -0.06873475, ' ': -5.8061533, ' Generally': -5.677062, 'No': -2.939136, ' A': -5.7978873}
{' No': -0.081616156, '\n': -5.097264, ' ': -5.098187, ' Generally': -5.937053, 'No': -2.8235633}
{' No': -0.115406334, ' Generally': -5.4338684, 'No': -2.3660207, ' A': -5.271288, ' It': -6.5200477}
{' No': -0.21497253, '\n': -4.8323765, ' Generally': -3.8325365, ' Cats': -5.399458, 'No': -1.98211}
{' No': -0.16780856, ' ': -8.35325, ' Generally': -8.83623, 'No': -1.8723793, ' It': -8.992568}
{' No': -0.21569042, ' Not': -6.8917136, ' Generally': -4.5903506, ' Cats': -6.8380446, 'No': -1.7302969}
{' No': -0.15031566, '\n': -7.337299, ' ': -7.4487805, ' Generally': -8.527438, 'No': -1.9827378}
{' No': -0.2888609, '\n': -6.215993, ' ': -6.651182, ' Generally': -6.202531, 'No': -1.4189496}
{' No': -0.048207395, '\n': -10.29651, ' ': -8.394874, ' Generally': -10.21796, 'No': -3.064788}
{' No': -0.08962946, ' Not': -8.26046, ' Generally': -5.898135, 'No': -2.5114796, ' Yes': -8.034396}
{' No': -0.39196086, '\n': -5.7279725, ' ': -6.627945, 'No': -1.1460044, ' It': -7.970209}
{' No': -0.42264345, '\n': -5.6843257, ' Generally': -4.858089, ' Cats': -5.3139873, 'No': -1.1317519}
{' No': -0.27836728, '\n': -6.474782, ' ': -7.155209, ' Cats': -6.5965014, 'No': -1.4387639}
{' No': -0.2915487, '\n': -7.5440345, ' Generally': -6.316427, ' Cats': -5.878285, 'No': -1.4015722}
{' No': -0.0047428017, '\n': -8.03645, ' ': -6.8896313, 'No': -5.9085627, ' no': -8.112174}
{' No': -0.005429898, '\n': -7.246146, ' ': -7.1394744, 'No': -5.706342, ' no': -8.69157}
{' No': -0.12491552, '\n': -5.219861, ' ': -6.252675, ' Generally': -7.139851, 'No': -2.2249043}
{' No': -0.120226, '\n': -4.2493815, ' ': -6.000564, ' Generally': -6.4718966, 'No': -2.3689003}
{' No': -0.30138618, '\n': -2.0649953, ' ': -4.983593, 'No': -2.0785048, ' A': -7.6811647}
{' No': -0.8073468, '\n': -0.7439103, ' ': -4.2073197, 'No': -2.8233438, ' N': -6.7519727}
{' No': -0.02494096, '\n': -6.346945, ' ': -6.9082913, ' Generally': -8.047879, 'No': -3.8621466}
{' No': -0.03277244, '\n': -5.8479047, ' ': -7.084055, ' Generally': -6.6605473, 'No': -3.6260664}
{' No': -0.4285066, '\n': -2.4440322, ' ': -4.790216, 'No': -1.3831251, ' no': -7.0036635}
{' No': -0.38975602, '\n': -1.7572315, ' ': -4.1571035, 'No': -2.0943134, ' N': -4.9978204}
{' No': -0.08073825, '\n': -4.9533114, ' ': -5.4741087, 'No': -2.9254878, ' no': -5.488754}
{' No': -0.15059195, '\n': -3.513568, ' Generally': -4.641864, 'No': -2.6315014, ' Yes': -4.6821966}
{' No': -0.017271305, '\n': -4.945963, ' ': -6.2449183, 'No': -5.0144997, ' A': -7.3917027}
{' No': -0.04317261, '\n': -3.6738794, ' ': -5.499271, ' Generally': -5.9989367, 'No': -4.706888}
{' No': -0.13510218, '\n': -2.744809, ' ': -4.7223043, ' Generally': -6.5600348, 'No': -2.9919822}
{' No': -0.43890104, '\n': -1.2135955, ' ': -3.892388, ' Generally': -6.007604, 'No': -3.4067202}
{' No': -0.16647314, '\n': -2.4915671, ' ': -4.5835814, 'No': -2.846784, ' A': -6.859039}
{' No': -0.30187228, '\n': -1.5505714, ' ': -3.7916412, ' Cats': -6.6773005, 'No': -3.8139248}
{' No': -0.031914253, '\n': -4.556208, ' ': -5.1916337, 'No': -4.248091, ' A': -7.5795937}
{' No': -0.0732173, '\n': -3.2504919, ' ': -4.720571, ' Generally': -6.280838, 'No': -3.9096904}
{' No': -0.06670351, '\n': -4.0247607, ' ': -5.3325043, 'No': -3.2158926, ' A': -6.8991194}
{' No': -0.083956964, '\n': -3.2487955, ' ': -4.2537146, ' Generally': -7.11701, 'No': -3.7044117}
{' No': -0.07599703, '\n': -4.052525, ' ': -4.720288, 'No': -3.3022258, ' A': -5.4264984}
{' No': -0.08012787, '\n': -3.790415, ' ': -4.5984826, ' Generally': -5.952581, 'No': -3.273146}
{' No': -1.0810773, ' Generally': -1.739246, 'No': -4.6310325, ' Yes': -0.8112236, ' It': -4.35926}
{' No': -0.13422874, ' Generally': -2.6248236, 'No': -3.6663198, ' C': -4.6110086, ' Yes': -5.1756086}
{' No': -0.29857513, ' Generally': -2.393378, 'No': -2.7545743, ' Yes': -2.4712033, ' It': -5.0989327}
{' No': -0.11795252, ' Generally': -4.2807903, 'No': -2.5216255, ' C': -4.7708435, ' Yes': -5.4090347}
{' No': -0.13466455, ' Generally': -4.8564644, 'No': -2.4225159, ' Yes': -4.0824637, ' It': -5.210102}
{' No': -0.107918896, ' ': -6.2342806, ' Generally': -5.772225, 'No': -2.4418077, ' C': -5.3158827}
{' No': -0.8873149, ' Generally': -1.431779, ' Typically': -5.209075, 'No': -4.433585, ' Yes': -1.1777374}
{' No': -0.09606315, ' Generally': -3.60613, 'No': -3.3215444, ' C': -3.8557124, ' Yes': -5.780496}
{' No': -0.18352392, '\n': -4.7986207, ' Generally': -3.395201, 'No': -2.3104694, ' Yes': -5.043777}
{' No': -0.23752117, ' Generally': -3.3177936, 'No': -2.5029802, ' Yes': -4.1688447, ' It': -3.9798763}
{' No': -0.46966413, ' Generally': -2.4289994, 'No': -3.0642226, ' A': -5.0528316, ' Yes': -1.5278078}
{' No': -0.21844941, ' Generally': -3.3384364, 'No': -2.1929765, ' C': -3.580943, ' Yes': -4.5636697}
{' No': -0.1632209, ' ': -6.541657, ' Generally': -4.834186, 'No': -5.3533187, ' Yes': -2.0169082}
{' No': -0.011571968, ' Generally': -6.3754897, 'No': -5.0408535, ' C': -6.82797, ' Yes': -7.1425414}
{' No': -0.08426305, '\n': -6.34948, ' ': -6.3704205, ' Generally': -5.866392, 'No': -2.6467094}
{' No': -0.06748307, ' ': -6.5161347, ' Generally': -6.323836, 'No': -2.839013, ' C': -6.322024}
{' No': -0.12838905, '\n': -3.9384263, ' ': -5.326097, 'No': -2.3789973, ' A': -6.3697104}
{' No': -0.19197032, '\n': -2.7080853, ' ': -4.679982, 'No': -2.3441424, ' C': -6.6722436}
{' No': -0.017297989, ' ': -7.3492885, ' Generally': -8.686731, 'No': -4.2071967, ' Yes': -6.838602}
{' No': -0.01842285, ' ': -8.052003, ' Generally': -9.149051, 'No': -4.0603366, ' C': -7.9794364}
{' No': -0.3364963, '\n': -4.377111, ' ': -4.782242, 'No': -1.3410987, ' A': -6.634309}
{' No': -0.23420587, '\n': -4.6779633, ' ': -5.0746913, 'No': -1.6516348, ' C': -7.7381916}
{' No': -0.08602066, ' Generally': -5.0587244, 'No': -3.4318895, ' A': -5.252492, ' Yes': -3.436713}
{' No': -0.080815405, ' Generally': -5.592719, 'No': -2.989602, ' C': -4.4083776, ' Yes': -5.517189}
{' No': -0.2835591, ' Generally': -3.513448, 'No': -1.933776, ' Yes': -3.2821248, ' It': -4.5815916}
{' No': -0.35568523, ' Generally': -3.7000563, 'No': -2.1988382, ' C': -2.9655826, ' Yes': -2.871791}
{' No': -0.13030459, ' ': -7.8312016, ' Generally': -6.9305267, 'No': -2.1250994, ' Yes': -6.991367}
{' No': -0.23268782, ' Generally': -5.048085, 'No': -1.6533592, ' C': -6.2210836, ' Yes': -5.331862}
{' No': -0.28203765, ' Generally': -4.4179306, 'No': -1.672205, ' Yes': -3.331249, ' It': -5.4663177}
{' No': -0.30319127, ' Generally': -5.15062, 'No': -1.4145803, ' C': -5.8268228, ' Yes': -5.2808485}
{' No': -0.08037904, ' Generally': -6.138271, 'No': -3.0443492, ' Yes': -3.6445384, 'Yes': -7.742894}
{' No': -0.22251116, ' Generally': -4.2530913, 'No': -2.8244455, ' C': -4.355793, ' Yes': -2.229429}
{' No': -0.72036034, ' ': -6.1319356, ' Generally': -4.2867813, 'No': -0.72731453, ' It': -5.3346715}
{' No': -0.7908399, ' Generally': -2.7063422, 'No': -1.1347635, ' C': -3.1663034, ' It': -3.3743532}
{' No': -0.18289207, ' ': -6.8967395, ' Generally': -5.672565, 'No': -1.8582841, ' Yes': -5.2125263}
{' No': -1.4186677, ' Generally': -2.2424285, 'No': -3.0211074, ' C': -2.7775884, ' Yes': -0.7025364}
{' No': -0.09922476, ' ': -5.4168553, 'No': -4.126288, ' Yes': -2.729308, ' no': -5.531121}
{' No': -0.04011975, ' ': -5.619339, 'No': -4.1744294, ' Yes': -4.2934995, ' no': -6.400104}
{' No': -0.18731093, ' ': -5.643787, ' Generally': -4.42917, 'No': -2.212301, ' Yes': -3.3368373}
{' No': -0.12371422, '\n': -5.4306865, ' ': -5.7477407, ' Generally': -5.6697702, 'No': -2.2905633}
{' No': -0.24724947, '\n': -3.745521, ' ': -5.217752, 'No': -1.6785296, ' A': -6.4870696}
{' No': -0.23554212, '\n': -2.8646827, ' ': -4.8751273, 'No': -1.9414136, ' C': -7.536323}
{' No': -0.061791223, ' ': -6.985825, ' Generally': -6.582806, 'No': -3.3620152, ' Yes': -3.8463962}
{' No': -0.06377172, ' Generally': -5.7601347, 'No': -3.0188856, ' C': -5.8934493, ' Yes': -5.505042}
{' No': -0.4480285, '\n': -3.564478, ' ': -5.201214, 'No': -1.1268729, ' no': -6.6143937}
{' No': -0.39000824, '\n': -3.5608819, ' ': -4.841199, 'No': -1.2702286, ' no': -5.7991467}
{' No': -0.13440427, '\n': -4.9597273, 'No': -3.0572042, ' Yes': -3.4099035, ' no': -4.2201033}
{' No': -0.19153117, '\n': -4.0603704, 'No': -2.7776709, ' C': -4.0837736, ' Yes': -3.3569362}
{' No': -0.091233194, '\n': -6.12391, ' Generally': -5.312903, 'No': -4.454932, ' Yes': -2.7481582}
{' No': -0.024773777, '\n': -5.302779, ' ': -6.546881, ' Generally': -6.267932, 'No': -4.271081}
{' No': -0.095202126, '\n': -4.276976, ' ': -5.453505, ' Generally': -5.727495, 'No': -2.7349305}
{' No': -0.07963063, '\n': -4.244574, ' ': -5.8553033, ' Generally': -6.1562543, 'No': -2.902802}
{' No': -0.076676965, '\n': -4.635862, ' ': -5.620733, 'No': -2.8748643, ' A': -6.3735504}
{' No': -0.059726946, '\n': -4.554636, ' ': -5.7354045, 'No': -3.15176, ' C': -7.0740395}
{' No': -0.052455388, '\n': -5.201694, ' ': -5.3482904, 'No': -3.9033158, ' Yes': -4.1097655}
{' No': -0.039627258, '\n': -5.6027493, ' ': -6.0603313, 'No': -3.4687119, ' C': -7.110657}
{' No': -0.08701959, '\n': -5.03859, ' ': -5.692478, ' Generally': -8.06185, 'No': -2.624247}
