{' Generally': -9.161838, ' Yes': -0.0017084321, ' yes': -10.110803, 'Yes': -6.519433, ' In': -11.086627}
{' No': -0.6093216, 'No': -3.4520836, ' Yes': -0.8919087, ' yes': -6.494144, 'Yes': -4.438528}
{' No': -0.4234655, 'No': -4.447677, ' Yes': -1.110664, ' yes': -7.693176, 'Yes': -5.779018}
{' No': -0.16029489, ' Generally': -7.4670925, 'No': -2.424501, ' Yes': -2.8816826, 'Yes': -6.277684}
{' No': -0.07941958, 'No': -2.619821, ' Yes': -5.803119, 'Yes': -9.102572, ' no': -8.4817}
{' No': -0.37981844, ' ': -5.5080886, ' Yes': -1.5109771, ' yes': -3.5626817, ' no': -2.8832955}
{' No': -0.52797204, 'No': -3.7385128, ' Yes': -1.0047807, ' yes': -5.137276, 'Yes': -4.915833}
{' No': -0.1037948, '\n': -4.2656827, 'No': -2.6769643, ' Yes': -4.9394517, ' no': -5.387564}
{' No': -0.2593003, '\n': -5.9993796, 'No': -4.5253487, ' Yes': -1.5541553, 'Yes': -6.5135937}
{' No': -0.25347337, '\n': -3.4449918, ' ': -5.064748, 'No': -1.927309, ' Yes': -3.5367355}
{' No': -0.53132737, '\n': -5.6623197, 'No': -4.4378595, ' Yes': -0.9706831, ' yes': -4.819047}
{' No': -0.06141011, ' ': -8.551994, 'No': -5.979819, ' Yes': -2.8891325, ' no': -7.738225}
{' No': -0.83239317, '\n': -5.0812564, 'No': -4.870647, ' Yes': -0.61081636, 'Yes': -5.2167277}
{' No': -0.828568, '\n': -5.171786, 'No': -4.550837, ' Yes': -0.62535137, 'Yes': -4.703232}
{' No': -0.13383141, '\n': -6.2829585, ' ': -6.6994967, 'No': -5.2830772, ' Yes': -2.1528609}
{' No': -0.15385234, '\n': -4.155712, 'No': -3.5012016, ' Yes': -2.415262, 'Yes': -5.8370657}
{' No': -2.5415514, 'No': -6.7724233, ' Yes': -0.09634394, ' yes': -5.4877586, 'Yes': -5.032423}
{'\n': -10.655092, ' ': -11.210485, ' Yes': -0.0015834725, ' yes': -9.987677, 'Yes': -6.51886}
{' No': -6.1132054, ' ': -9.044678, ' Yes': -0.0116876885, ' yes': -7.978608, 'Yes': -4.7446985}
{' No': -6.352282, '\n': -7.6577363, ' Yes': -0.015969066, ' yes': -7.5803494, 'Yes': -4.373175}
{' No': -6.404882, ' ': -11.250244, ' Yes': -0.0034139229, ' yes': -9.417169, 'Yes': -6.4405417}
{' No': -2.9052906, '\n': -6.065002, 'No': -5.375414, ' Yes': -0.091665365, 'Yes': -3.6988049}
{' No': -8.921145, ' ': -9.992874, ' Yes': -0.006002025, ' yes': -8.0975275, 'Yes': -5.2269263}
{'\n': -7.5489764, ' ': -8.137707, ' Yes': -0.0023535916, ' yes': -7.7479715, 'Yes': -6.8489604}
{'\n': -8.427385, ' ': -8.205242, ' Yes': -0.007974772, ' yes': -7.68278, 'Yes': -4.9907284}
{'\n': -5.08102, ' ': -6.17101, ' Yes': -0.027331611, ' yes': -7.1380253, 'Yes': -4.0467196}
{' No': -9.971535, ' ': -10.066199, ' Yes': -0.001269203, ' yes': -9.107951, 'Yes': -6.858858}
{' No': -4.8635883, '\n': -4.912965, ' ': -5.2562823, ' Yes': -0.08772254, 'Yes': -2.8436542}
{' No': -9.767924, ' ': -8.839126, ' Yes': -0.005321252, ' yes': -6.311, 'Yes': -5.7594023}
{' No': -7.7155437, ' Yes': -0.027079148, ' yes': -5.0837407, 'Yes': -3.9330792, 'yes': -8.3142185}
{' No': -6.806951, ' Yes': -0.021393022, ' yes': -6.551499, 'Yes': -3.998016, 'yes': -9.338221}
{' No': -5.996294, ' ': -8.419481, ' Yes': -0.030643858, ' yes': -6.2105465, 'Yes': -3.689886}
{' No': -5.872726, ' Yes': -0.01622716, ' yes': -6.7889457, 'Yes': -4.43877, 'yes': -9.103869}
{' No': -1.919774, 'No': -3.933562, ' Yes': -0.21995063, ' yes': -7.7971487, 'Yes': -3.5124216}
{' No': -6.928965, ' Yes': -0.040150337, ' yes': -7.6643505, 'Yes': -3.2813709, 'yes': -8.443035}
{' ': -6.2606626, ' Yes': -0.2557089, ' yes': -1.5199664, 'Yes': -5.8219357, 'yes': -7.054146}
{'\n': -6.968385, ' ': -7.499238, ' Yes': -0.03419273, ' yes': -4.599939, 'Yes': -3.8392656}
{'\n': -4.2991557, ' ': -5.974694, ' Yes': -0.0789432, ' yes': -4.0442715, 'Yes': -3.2014081}
{'\n': -8.233338, ' Yes': -0.0092232665, ' yes': -5.7163568, 'Yes': -5.220853, 'yes': -9.216484}
{' No': -4.709886, '\n': -3.816578, ' Yes': -0.17526424, ' yes': -3.8485963, 'Yes': -2.3287678}
{'\n': -7.22336, ' ': -8.028933, ' Yes': -0.030515417, ' yes': -3.711, 'Yes': -5.4888606}
{'\n': -9.57215, ' ': -9.023154, ' Yes': -0.0026420858, ' yes': -7.1766562, 'Yes': -6.4550114}
{'\n': -5.867713, ' ': -7.615108, ' Yes': -0.017476907, ' yes': -7.154033, 'Yes': -4.3431125}
{'\n': -5.37095, ' ': -6.4445667, ' Yes': -0.023881888, ' yes': -7.019059, 'Yes': -4.122604}
{'\n': -7.6550517, ' ': -7.5646477, ' Yes': -0.0036280607, ' yes': -8.152815, 'Yes': -6.078106}
{'\n': -5.066033, ' ': -6.7726593, ' Yes': -0.036674898, ' yes': -6.252331, 'Yes': -3.6494734}
{'\n': -8.2841015, ' ': -8.346023, ' Yes': -0.014523166, ' yes': -5.19496, 'Yes': -4.8191686}
{' No': -8.57892, ' Yes': -0.0011019327, ' yes': -10.444817, 'Yes': -7.0689435, ' In': -11.968029}
{' No': -2.8357666, 'No': -6.4017496, ' Yes': -0.07234654, ' yes': -8.17843, 'Yes': -4.7855215}
{' No': -3.7579534, '\n': -6.905374, 'No': -6.9176383, ' Yes': -0.044607215, 'Yes': -4.093666}
{' No': -3.2108746, 'No': -8.347063, ' Yes': -0.043928545, ' The': -8.358278, 'Yes': -6.3419614}
{' No': -2.29145, '\n': -6.058376, 'No': -4.5897307, ' Yes': -0.15317881, 'Yes': -3.6464398}
{' No': -3.2750735, 'No': -6.57962, ' Yes': -0.05180533, ' The': -7.6243224, 'Yes': -4.7486453}
{' No': -6.3514624, '\n': -7.7700033, ' Yes': -0.0038410497, ' yes': -7.5281115, 'Yes': -7.125781}
{' No': -3.8006673, ' ': -7.526621, ' Yes': -0.03142788, ' yes': -7.33606, 'Yes': -5.040591}
{' No': -6.151307, '\n': -5.5431166, ' ': -6.5712843, ' Yes': -0.025267644, 'Yes': -4.1333284}
{' No': -1.3105494, ' ': -8.209421, 'No': -7.212765, ' Yes': -0.31758374, 'Yes': -6.830759}
{' No': -0.8811696, '\n': -3.8599951, 'No': -2.9993544, ' Yes': -0.77287984, 'Yes': -3.3334956}
{' No': -1.9747057, 'No': -6.675326, ' Yes': -0.15736303, ' yes': -6.472856, 'Yes': -5.812974}
{' No': -3.844797, 'No': -6.6863623, ' Yes': -0.05004504, ' yes': -4.873497, 'Yes': -4.055395}
{' No': -0.5675959, 'No': -3.3362002, ' Yes': -0.95117515, ' yes': -6.9550047, 'Yes': -4.664638}
{' No': -3.4425497, 'No': -6.4231324, ' Yes': -0.06394307, ' yes': -5.649573, 'Yes': -3.7424939}
{' No': -1.6207737, 'No': -5.386105, ' Yes': -0.23789817, ' yes': -7.478943, 'Yes': -4.783211}
{' No': -0.42934147, ' Generally': -7.2678657, 'No': -2.57648, ' Yes': -1.3420993, 'Yes': -4.6522055}
{' No': -0.54889643, 'No': -3.0919394, ' Yes': -1.0157601, ' yes': -7.0258937, 'Yes': -4.3140025}
{' No': -4.2286167, ' ': -6.0499587, ' Yes': -0.19740286, ' yes': -1.8497925, 'Yes': -6.2873635}
{' No': -2.6270444, 'No': -5.7227955, ' Yes': -0.11371215, ' yes': -4.5009036, 'Yes': -4.1024795}
{' No': -4.5441546, '\n': -4.253402, ' Yes': -0.09012186, ' yes': -4.097347, 'Yes': -3.2335083}
{' No': -3.4748313, '\n': -5.7233057, ' Yes': -0.047457766, ' yes': -5.716635, 'Yes': -4.8999186}
{' No': -0.69634444, '\n': -3.24839, 'No': -2.2522411, ' Yes': -1.1983968, 'Yes': -3.355322}
{' No': -1.85112, '\n': -5.7348957, ' Yes': -0.20424654, ' yes': -4.2254353, 'Yes': -5.38615}
{' No': -4.865986, ' ': -8.623347, ' Yes': -0.011044073, ' yes': -6.5268407, 'Yes': -6.5851026}
{' No': -4.0475426, '\n': -6.0254087, ' Yes': -0.033102002, ' yes': -7.165779, 'Yes': -4.5428214}
{' No': -5.0816836, '\n': -5.68736, ' Yes': -0.027856588, ' yes': -6.938016, 'Yes': -4.1656013}
{' No': -6.468459, '\n': -7.350397, ' ': -7.720713, ' Yes': -0.0053682337, 'Yes': -6.062571}
{' No': -3.8901024, '\n': -5.148077, ' Yes': -0.07094599, ' yes': -5.9569836, 'Yes': -3.3081245}
{' No': -6.981395, ' Yes': -0.01272331, ' yes': -5.463058, 'Yes': -4.9599338, 'yes': -8.812602}
{' No': -5.858402, '\n': -10.096146, ' Yes': -0.0049992763, ' yes': -9.891488, 'Yes': -6.2665405}
{' No': -2.4651456, 'No': -6.2573686, ' Yes': -0.10150759, ' yes': -8.302723, 'Yes': -4.7538533}
{' No': -1.8051958, '\n': -6.736885, 'No': -5.292226, ' Yes': -0.20678434, 'Yes': -4.2230177}
{' No': -3.206681, 'No': -8.555868, ' Yes': -0.04366003, ' yes': -9.720633, 'Yes': -6.3035493}
{' No': -1.8073097, '\n': -5.789048, 'No': -4.18642, ' Yes': -0.23784608, 'Yes': -3.597213}
{' No': -5.9593544, '\n': -9.337174, ' Yes': -0.01090842, ' yes': -8.086479, 'Yes': -4.8912835}
{' No': -2.962712, '\n': -6.932126, ' Yes': -0.056359548, ' yes': -7.412709, 'Yes': -6.9390206}
{' No': -4.493374, ' ': -8.003269, ' Yes': -0.01938452, ' yes': -7.4021378, 'Yes': -5.037268}
{' No': -5.7185364, '\n': -5.2936115, ' ': -6.5179076, ' Yes': -0.02582738, 'Yes': -4.2298107}
{' No': -3.7493966, ' ': -9.147527, ' Yes': -0.025392111, ' yes': -8.811627, 'Yes': -6.7332892}
{' No': -1.8285396, '\n': -4.4699454, 'No': -4.310515, ' Yes': -0.27312347, 'Yes': -3.173169}
{' No': -6.476376, ' ': -9.112419, ' Yes': -0.006376388, ' yes': -6.446589, 'Yes': -5.8164306}
{' No': -2.3350377, 'No': -5.146765, ' Yes': -0.13929996, ' yes': -5.2920136, 'Yes': -3.8545766}
{' No': -3.1906664, 'No': -6.0401783, ' Yes': -0.07034707, ' yes': -6.392294, 'Yes': -3.8033657}
{' No': -3.173538, 'No': -6.3059998, ' Yes': -0.07073569, ' yes': -6.104774, 'Yes': -3.8300643}
{' No': -1.2607181, 'No': -4.754605, ' Yes': -0.36307022, ' yes': -7.644755, 'Yes': -4.4679303}
{' No': -1.4757037, ' ': -7.809076, 'No': -3.493301, ' Yes': -0.345451, 'Yes': -3.4636645}
{' No': -4.887329, 'No': -7.8283963, ' Yes': -0.03249391, ' yes': -7.2776375, 'Yes': -3.76635}
{' No': -4.388311, ' ': -6.4149027, ' Yes': -0.20055564, ' yes': -1.8147085, 'Yes': -6.153077}
{' No': -5.8369513, '\n': -6.770596, ' Yes': -0.036278512, ' yes': -4.6338487, 'Yes': -3.883164}
{' No': -5.8057265, '\n': -4.784, ' Yes': -0.075908415, ' yes': -3.733646, 'Yes': -3.3697104}
{' No': -6.1152077, '\n': -7.15062, ' Yes': -0.013625012, ' yes': -5.5723653, 'Yes': -5.053508}
{' No': -1.6471334, '\n': -3.5083728, 'No': -3.5001907, ' Yes': -0.41531798, 'Yes': -2.7794805}
{' No': -8.233862, '\n': -7.112311, ' Yes': -0.028139843, ' yes': -3.8610291, 'Yes': -5.2961507}
{' No': -2.084794, 'No': -8.007128, ' Yes': -0.13741966, ' yes': -6.533662, 'Yes': -6.3502417}
{' No': -1.6363391, '\n': -5.3256245, 'No': -5.4188724, ' Yes': -0.24348255, 'Yes': -4.570333}
{' No': -4.684993, '\n': -5.4580927, ' ': -6.817958, ' Yes': -0.029744137, 'Yes': -4.2996225}
{' No': -5.365714, '\n': -7.181649, ' ': -7.7143626, ' Yes': -0.008742789, 'Yes': -5.9987035}
{' No': -2.7953362, '\n': -5.060778, ' Yes': -0.1051357, ' yes': -6.0202274, 'Yes': -3.6603458}
{' No': -7.1996126, '\n': -8.701234, ' Yes': -0.015256224, ' yes': -5.2102118, 'Yes': -4.790822}
{' No': -3.2403512, 'No': -8.669018, ' Yes': -0.042074833, 'Yes': -6.6150403, ' In': -9.164261}
{' No': -0.54428804, 'No': -4.041948, ' Yes': -0.9317869, 'Yes': -5.4886065, ' It': -6.727744}
{' No': -0.32976592, '\n': -6.5526557, 'No': -3.376967, ' Yes': -1.4352136, 'Yes': -5.208142}
{' No': -0.1415003, ' Generally': -7.8919735, 'No': -4.853313, ' Yes': -2.108774, ' In': -7.243839}
{' No': -0.222091, '\n': -5.2853775, 'No': -2.467069, ' Yes': -2.285762, 'Yes': -5.6264315}
{' No': -0.72411627, ' Generally': -6.8974977, 'No': -4.090131, ' Yes': -0.7147341, 'Yes': -5.4212904}
{' No': -1.5176176, '\n': -7.6395426, ' Yes': -0.25112665, ' yes': -7.3353148, 'Yes': -7.1454744}
{' No': -0.38992205, ' ': -6.8226094, 'No': -4.445155, ' Yes': -1.1854924, 'Yes': -5.974507}
{' No': -4.452988, '\n': -5.38045, ' ': -6.6127114, ' Yes': -0.036753424, 'Yes': -4.1031117}
{' No': -0.07228266, ' ': -8.165887, 'No': -5.7928066, ' Yes': -2.7186697, 'Yes': -8.999882}
{' No': -0.21525191, '\n': -4.290243, ' ': -4.6232853, 'No': -2.3128586, ' Yes': -2.758751}
{' No': -1.4943534, 'No': -6.141625, ' Yes': -0.2644951, ' yes': -6.598347, 'Yes': -5.9345922}
{' No': -0.28076378, 'No': -3.3751755, ' Yes': -1.6048795, 'Yes': -5.698524, ' no': -6.4159446}
{' No': -0.2315331, 'No': -2.8431244, ' Yes': -1.9464626, ' yes': -7.8338237, 'Yes': -5.4617863}
{' No': -0.8618456, 'No': -3.6431377, ' Yes': -0.6342723, ' yes': -5.9993176, 'Yes': -4.0961595}
{' No': -0.5836945, 'No': -4.11881, ' Yes': -0.8695354, ' yes': -7.840341, 'Yes': -5.1326632}
{' No': -0.22016767, ' Generally': -6.8060684, 'No': -2.0879464, ' Yes': -2.703541, 'Yes': -5.821048}
{' No': -0.18439302, 'No': -2.3496284, ' Yes': -2.672054, ' yes': -8.45758, 'Yes': -5.737015}
{' No': -2.2483387, ' Yes': -0.2137624, ' yes': -2.5601351, 'Yes': -6.2443757, ' no': -5.625181}
{' No': -1.5197523, 'No': -4.8875976, ' Yes': -0.29043168, ' yes': -4.7108316, 'Yes': -4.446998}
{' No': -1.1127378, '\n': -3.9191535, 'No': -3.6360185, ' Yes': -0.5522652, 'Yes': -3.5254648}
{' No': -1.1417396, '\n': -5.719712, 'No': -5.1814675, ' Yes': -0.41008443, 'Yes': -5.2638745}
{' No': -0.44173878, '\n': -3.052298, 'No': -1.9231802, ' Yes': -2.0475852, 'Yes': -4.0695925}
{' No': -1.0398103, '\n': -5.357294, 'No': -5.0748787, ' Yes': -0.4835588, ' yes': -4.5774574}
{' No': -1.6771067, 'No': -7.702081, ' Yes': -0.21116227, ' yes': -6.8001113, 'Yes': -6.6344733}
{' No': -2.6333435, '\n': -5.533253, 'No': -6.533105, ' Yes': -0.093026, 'Yes': -4.653321}
{' No': -3.1103272, '\n': -5.272644, ' ': -6.7648664, ' Yes': -0.07059906, 'Yes': -4.209706}
{' No': -0.26838544, '\n': -6.26592, ' ': -6.6243052, 'No': -5.4943185, ' Yes': -1.4837537}
{' No': -0.52130216, '\n': -3.7639205, 'No': -3.4452105, ' Yes': -1.1024332, 'Yes': -4.273587}
{' No': -2.7515082, 'No': -7.0795507, ' Yes': -0.07824464, ' yes': -5.659482, 'Yes': -5.089891}
{' No': -6.486661, '\n': -10.228597, ' Yes': -0.0037718231, ' yes': -9.628679, 'Yes': -6.178343}
{' No': -1.4617277, ' ': -7.959699, 'No': -5.0012403, ' Yes': -0.28650725, 'Yes': -4.7009435}
{' No': -0.52811474, '\n': -6.993468, 'No': -3.8443513, ' Yes': -0.96998644, 'Yes': -4.911082}
{' No': -1.6963326, 'No': -6.573562, ' Yes': -0.20775776, ' yes': -9.274381, 'Yes': -6.0226603}
{' No': -0.17575663, '\n': -5.005045, 'No': -2.541464, ' Yes': -2.6499693, 'Yes': -5.8547497}
{' No': -3.2806907, 'No': -6.7795973, ' Yes': -0.049384583, ' yes': -7.9197407, 'Yes': -4.7807093}
{' No': -4.5591574, '\n': -6.6792383, ' Yes': -0.014157592, ' yes': -7.42406, 'Yes': -6.742612}
{' No': -1.855875, ' ': -7.1400905, 'No': -5.824083, ' Yes': -0.185749, 'Yes': -4.8327026}
{' No': -6.189104, '\n': -4.969296, ' ': -6.203888, ' Yes': -0.030724188, 'Yes': -4.0263696}
{' No': -0.75471747, ' ': -8.190941, 'No': -6.6962724, ' Yes': -0.64021355, 'Yes': -6.9634323}
{' No': -0.25553137, '\n': -3.9869518, ' ': -4.5849667, 'No': -2.5741215, ' Yes': -2.2036116}
{' No': -3.2578766, 'No': -7.7541842, ' Yes': -0.047249906, ' yes': -6.0276093, 'Yes': -5.4886193}
{' No': -0.52600384, 'No': -3.2787142, ' Yes': -1.0323515, ' yes': -5.9148946, 'Yes': -4.621337}
{' No': -0.6139159, 'No': -3.3503182, ' Yes': -0.89166015, ' yes': -7.0630527, 'Yes': -4.4213667}
{' No': -1.2836714, 'No': -4.0992303, ' Yes': -0.38412955, ' yes': -6.0805535, 'Yes': -3.8231363}
{' No': -0.82994276, 'No': -4.198742, ' Yes': -0.62192345, ' yes': -7.282064, 'Yes': -4.546829}
{' No': -0.2659084, ' ': -7.128155, 'No': -1.8738776, ' Yes': -2.6209729, 'Yes': -5.3194475}
{' No': -0.6088482, 'No': -2.4113193, ' Yes': -1.080936, ' yes': -7.781535, 'Yes': -3.6499953}
{' No': -3.7480254, ' ': -5.622598, ' Yes': -0.19641662, ' yes': -1.9314954, 'Yes': -5.982837}
{' No': -2.3269715, 'No': -5.330418, ' Yes': -0.15044639, ' yes': -4.5678425, 'Yes': -3.8281407}
{' No': -3.682051, '\n': -3.9672968, ' Yes': -0.11956068, ' yes': -4.062258, 'Yes': -3.1175904}
{' No': -3.1929085, '\n': -6.530806, ' Yes': -0.056508504, ' yes': -5.7461457, 'Yes': -4.8545256}
{' No': -0.2700741, '\n': -3.2576268, ' ': -4.939891, 'No': -1.9539728, ' Yes': -3.2877247}
{' No': -3.9696672, '\n': -5.456466, ' Yes': -0.048164237, ' yes': -4.243952, 'Yes': -4.8503203}
{' No': -3.9644253, ' ': -8.755763, ' Yes': -0.022866566, ' yes': -6.6066523, 'Yes': -6.297605}
{' No': -3.8405457, '\n': -5.357771, ' Yes': -0.042152543, ' yes': -7.235201, 'Yes': -4.3381424}
{' No': -5.4459963, '\n': -5.4871116, ' ': -6.6589675, ' Yes': -0.029685378, 'Yes': -4.0015764}
{' No': -4.366119, '\n': -6.497346, ' ': -7.050748, ' Yes': -0.019181564, 'Yes': -5.662318}
{' No': -2.049432, '\n': -4.480876, 'No': -5.2670107, ' Yes': -0.19568388, 'Yes': -3.5973635}
{' No': -6.626652, ' ': -8.005435, ' Yes': -0.015385263, ' yes': -5.5769863, 'Yes': -4.679848}
{' No': -10.326216, ' Generally': -9.587719, ' Yes': -0.0014461143, 'Yes': -6.693937, ' In': -10.5917}
{' No': -4.1888924, ' Generally': -7.0903306, 'No': -7.3761253, ' Yes': -0.027421845, 'Yes': -4.72184}
{' No': -5.4135404, '\n': -7.359799, ' ': -7.456171, ' Yes': -0.026997577, 'Yes': -3.9262075}
{' No': -5.405772, ' Generally': -7.653533, ' Yes': -0.007853415, 'Yes': -6.1550527, ' In': -8.556568}
{' No': -4.362426, '\n': -6.1049, ' Generally': -6.2785897, ' Yes': -0.052565634, 'Yes': -3.4975476}
{' No': -4.711716, ' Generally': -6.575222, ' Yes': -0.02087258, ' The': -7.7476234, 'Yes': -4.9075913}
{' No': -7.9251413, ' ': -8.382985, ' Yes': -0.0020213425, ' yes': -7.6863184, 'Yes': -7.242343}
{' No': -5.348728, ' ': -7.669247, ' Yes': -0.0122722825, ' yes': -7.4010715, 'Yes': -5.1535573}
{'\n': -5.7371993, ' ': -6.4407306, ' Yes': -0.023340084, ' yes': -6.771648, 'Yes': -4.099066}
{' No': -5.9080157, ' ': -9.087131, ' Yes': -0.004575608, ' yes': -8.545413, 'Yes': -6.5458593}
{' No': -4.4131675, '\n': -4.9670787, ' ': -5.0090466, ' Yes': -0.10352412, 'Yes': -2.7241485}
{' No': -4.3820677, ' ': -8.552021, ' Yes': -0.017640568, ' yes': -6.5911365, 'Yes': -5.859201}
{' No': -6.0628285, ' Generally': -7.703867, ' Yes': -0.024068091, ' yes': -5.45407, 'Yes': -4.166415}
{' No': -1.7637529, 'No': -4.1485143, ' Yes': -0.23530482, ' yes': -6.4923425, 'Yes': -3.9142594}
{' No': -4.222774, 'No': -7.0825605, ' Yes': -0.038537454, ' yes': -6.3550487, 'Yes': -3.9297116}
{' No': -1.1278491, 'No': -4.7848697, ' Yes': -0.41498125, ' yes': -7.9223547, 'Yes': -5.062528}
{' No': -1.9783881, ' Generally': -5.55809, 'No': -4.035568, ' Yes': -0.20500799, 'Yes': -3.766844}
{' No': -1.5094736, 'No': -4.001846, ' Yes': -0.3008154, ' yes': -6.3918896, 'Yes': -4.0211463}
{'\n': -7.1923447, ' ': -6.5034447, ' Yes': -0.07171278, ' yes': -2.7585127, 'Yes': -6.1110744}
{' No': -6.084762, ' ': -7.1136622, ' Yes': -0.029137962, ' yes': -4.837266, 'Yes': -4.117967}
{'\n': -4.853656, ' ': -6.1347036, ' Yes': -0.07092789, ' yes': -4.2217283, 'Yes': -3.1823876}
{' No': -4.9297075, '\n': -6.438992, ' Yes': -0.019938603, ' yes': -6.089133, 'Yes': -4.85575}
{' No': -3.5118532, '\n': -3.8505716, ' Yes': -0.18049917, ' yes': -4.57479, 'Yes': -2.4345596}
{' No': -4.310574, '\n': -6.858332, ' Yes': -0.0336789, ' yes': -4.416062, 'Yes': -5.326733}
{' No': -7.328932, ' ': -8.630129, ' Yes': -0.0032203388, ' yes': -7.036211, 'Yes': -6.6454353}
{' No': -6.143032, '\n': -6.2013, ' Yes': -0.015346646, ' yes': -7.3591366, 'Yes': -4.6424084}
{'\n': -5.96337, ' ': -6.970397, ' Yes': -0.021143937, ' yes': -7.0505667, 'Yes': -4.15454}
{'\n': -8.171491, ' ': -7.941964, ' Yes': -0.0029879923, ' yes': -8.217671, 'Yes': -6.2477655}
{' No': -6.107744, '\n': -5.365307, ' Yes': -0.04476946, ' yes': -5.9867134, 'Yes': -3.430935}
{' No': -8.450218, ' Yes': -0.011613334, ' yes': -5.5929937, 'Yes': -4.9477344, 'yes': -8.783817}
{' No': -2.6929383, '\n': -9.649415, 'No': -7.8191514, ' Yes': -0.07317421, 'Yes': -6.174302}
{' No': -0.42913315, ' ': -7.681688, 'No': -3.9075458, ' Yes': -1.1323307, 'Yes': -5.328818}
{' No': -0.3739877, '\n': -6.3430734, 'No': -3.843939, ' Yes': -1.2675214, 'Yes': -5.2066846}
{' No': -0.26696244, 'No': -5.3910275, ' Yes': -1.4776425, ' The': -8.387437, 'Yes': -7.1771984}
{' No': -1.5320342, '\n': -5.5468407, 'No': -3.8664954, ' Yes': -0.3135435, 'Yes': -3.6572168}
{' No': -3.4660337, 'No': -7.0511518, ' Yes': -0.041801523, ' yes': -8.175828, 'Yes': -4.866394}
{' No': -0.06404157, '\n': -6.5701313, ' ': -7.1688595, 'No': -6.4883924, ' Yes': -2.8462965}
{' No': -1.1725719, ' ': -6.9915175, 'No': -5.414347, ' Yes': -0.3884781, 'Yes': -5.247725}
{' No': -1.3475068, '\n': -4.665187, 'No': -5.141238, ' Yes': -0.34267345, 'Yes': -4.5245714}
{' No': -0.10598849, ' ': -8.128851, 'No': -6.1190076, ' Yes': -2.3258066, 'Yes': -8.550018}
{' No': -0.4665372, '\n': -4.353147, 'No': -2.8440835, ' Yes': -1.3032776, 'Yes': -4.0543704}
{' No': -3.358142, 'No': -8.0021, ' Yes': -0.041934345, ' yes': -6.3682833, 'Yes': -5.6118402}
{' No': -0.9414006, 'No': -3.6213455, ' Yes': -0.5742626, ' yes': -5.778261, 'Yes': -4.199501}
{' No': -0.46472383, 'No': -3.3286533, ' Yes': -1.1214945, ' yes': -7.398462, 'Yes': -4.749094}
{' No': -1.2756089, 'No': -4.413731, ' Yes': -0.3711461, ' yes': -6.59914, 'Yes': -4.1090646}
{' No': -0.19752128, ' ': -8.377302, 'No': -4.0250607, ' Yes': -1.8405724, 'Yes': -6.1884403}
{' No': -0.94573665, ' Generally': -7.4045467, 'No': -3.2223344, ' Yes': -0.5941931, 'Yes': -4.064938}
{' No': -0.35881191, 'No': -2.8874965, ' Yes': -1.4409842, ' yes': -8.324932, 'Yes': -4.779756}
{' No': -1.3709663, ' ': -5.880471, ' Yes': -0.42427656, ' yes': -2.6061022, ' no': -4.629053}
{' No': -2.4284692, 'No': -5.674829, ' Yes': -0.1281306, ' yes': -4.801579, 'Yes': -4.088984}
{' No': -2.643678, '\n': -4.1573844, ' Yes': -0.16295938, ' yes': -4.1080694, 'Yes': -3.2944574}
{' No': -0.43332854, '\n': -5.515817, 'No': -4.4118786, ' Yes': -1.1110095, 'Yes': -5.63948}
{' No': -1.02219, '\n': -3.3848138, 'No': -2.7750068, ' Yes': -0.7396181, 'Yes': -3.057945}
{' No': -3.6149695, '\n': -6.2190785, ' Yes': -0.0544899, ' yes': -4.139422, 'Yes': -5.036992}
{' No': -0.2805833, 'No': -6.020272, ' Yes': -1.4264841, ' yes': -7.7706084, 'Yes': -7.3929734}
{' No': -0.39267465, '\n': -5.2159758, 'No': -4.294696, ' Yes': -1.2029202, 'Yes': -5.551451}
{' No': -1.9643085, '\n': -4.8836045, 'No': -5.8040676, ' Yes': -0.18120845, 'Yes': -4.4068117}
{' No': -0.82028013, '\n': -6.2164607, 'No': -6.2000732, ' Yes': -0.5934906, 'Yes': -6.367296}
{' No': -0.8901879, '\n': -4.541536, 'No': -4.067739, ' Yes': -0.6165806, 'Yes': -4.047302}
{' No': -3.8323042, 'No': -7.9256153, ' Yes': -0.03588327, ' yes': -5.610935, 'Yes': -4.74086}
{' No': -1.9094329, ' Not': -2.1498656, ' Generally': -1.6840587, ' In': -2.9483142, ' It': -1.1690955}
{' No': -1.4131612, ' Not': -2.111907, ' Usually': -2.938348, ' Generally': -2.0244303, ' It': -1.2984476}
{' No': -0.512164, ' Not': -2.5582724, 'No': -3.0416439, ' Yes': -3.4626195, ' It': -2.0029762}
{' No': -2.0263696, ' Not': -2.316914, ' Generally': -1.4186827, ' In': -2.3429687, ' It': -1.3706213}
{' No': -0.61525685, ' Not': -2.5198035, ' Generally': -2.5988688, 'No': -2.6279142, ' It': -2.146139}
{' No': -0.54280126, ' Generally': -1.9213984, ' Yes': -2.8999674, ' In': -3.2036335, ' It': -3.1656458}
{' No': -0.54993427, ' Not': -2.8436544, ' Generally': -2.8248024, ' In': -3.8104742, ' It': -1.553253}
{' No': -0.78260446, ' Except': -2.0413725, ' Generally': -2.3930647, ' In': -3.251529, ' It': -1.8859293}
{' No': -0.40440297, '\n': -3.6298854, 'No': -3.716792, ' Yes': -1.6664022, ' It': -3.2236414}
{' No': -0.7449479, ' Generally': -1.9659313, ' The': -3.3542597, ' In': -2.8847868, ' It': -1.9422709}
